"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"199"	"150"	"230"	"2"	"129"	"7"	"0"	"0"	"1"	"1"	"3"	"7"	"380"	"0"	"380"	"0"
"200"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"201"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"202"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"203"	"151"	"194"	"9"	"196"	"29"	"64"	"16"	"5"	"9"	"11"	"27"	"560"	"0"	"560"	"0"
"204"	"152"	"308"	"8"	"136"	"45"	"3"	"4"	"1"	"1"	"6"	"45"	"557"	"0"	"557"	"0"
"205"	"153"	"168"	"8"	"367"	"66"	"40"	"19"	"11"	"12"	"7"	"43"	"741"	"0"	"741"	"0"
"206"	"154"	"240"	"4"	"271"	"28"	"9"	"5"	"3"	"4"	"5"	"81"	"650"	"0"	"650"	"0"
"207"	"155"	"200"	"2"	"234"	"11"	"16"	"6"	"2"	"16"	"2"	"59"	"548"	"0"	"548"	"0"
"208"	"155A"	"113"	"3"	"204"	"17"	"17"	"4"	"3"	"8"	"3"	"60"	"432"	"0"	"432"	"0"
"209"	"156"	"73"	"1"	"163"	"108"	"45"	"22"	"11"	"14"	"15"	"82"	"534"	"0"	"534"	"0"
"210"	"157"	"95"	"5"	"132"	"72"	"67"	"14"	"4"	"7"	"12"	"96"	"504"	"0"	"504"	"0"
"211"	"158"	"148"	"11"	"249"	"156"	"17"	"2"	"3"	"3"	"2"	"22"	"613"	"0"	"613"	"0"
"212"	"158A"	"113"	"5"	"219"	"65"	"35"	"5"	"3"	"1"	"2"	"8"	"456"	"0"	"456"	"0"
"213"	"159"	"136"	"8"	"365"	"80"	"12"	"9"	"5"	"9"	"1"	"28"	"653"	"0"	"653"	"0"
"214"	"159A"	"60"	"1"	"169"	"142"	"7"	"8"	"2"	"5"	"3"	"12"	"409"	"0"	"409"	"0"
"215"	"160"	"26"	"1"	"295"	"313"	"14"	"3"	"1"	"8"	"2"	"5"	"668"	"0"	"668"	"0"
"216"	"161"	"224"	"7"	"355"	"79"	"44"	"3"	"2"	"4"	"3"	"64"	"785"	"0"	"785"	"0"
"217"	"162"	"352"	"4"	"343"	"99"	"5"	"5"	"4"	"6"	"4"	"26"	"848"	"0"	"848"	"0"
"218"	"163"	"189"	"2"	"236"	"22"	"3"	"3"	"0"	"5"	"0"	"42"	"502"	"0"	"502"	"0"
"219"	"163A"	"86"	"4"	"204"	"31"	"7"	"2"	"2"	"3"	"6"	"9"	"354"	"0"	"354"	"0"
"220"	"164"	"61"	"4"	"363"	"138"	"76"	"17"	"3"	"7"	"2"	"72"	"743"	"0"	"743"	"0"
"221"	"165"	"135"	"4"	"271"	"114"	"29"	"10"	"0"	"13"	"9"	"131"	"716"	"0"	"716"	"0"
"222"	"166"	"119"	"4"	"242"	"59"	"10"	"6"	"1"	"3"	"2"	"5"	"451"	"0"	"451"	"0"
"223"	"167"	"194"	"3"	"194"	"39"	"7"	"7"	"6"	"4"	"7"	"30"	"491"	"0"	"491"	"0"
"224"	"168"	"50"	"7"	"255"	"91"	"192"	"15"	"6"	"5"	"17"	"65"	"703"	"0"	"703"	"0"
"225"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"226"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"228"	"169"	"171"	"5"	"81"	"62"	"140"	"27"	"9"	"7"	"12"	"76"	"590"	"0"	"590"	"0"
"229"	"170"	"187"	"5"	"167"	"138"	"106"	"8"	"5"	"11"	"11"	"57"	"695"	"0"	"695"	"0"
"230"	"171"	"150"	"3"	"14"	"102"	"33"	"2"	"2"	"1"	"5"	"163"	"475"	"0"	"475"	"0"
"231"	"172"	"61"	"5"	"200"	"30"	"200"	"11"	"4"	"10"	"8"	"46"	"575"	"0"	"575"	"0"
"232"	"173"	"228"	"21"	"58"	"20"	"32"	"5"	"2"	"7"	"4"	"188"	"565"	"0"	"565"	"0"
"233"	"174"	"283"	"12"	"99"	"19"	"45"	"7"	"1"	"7"	"8"	"139"	"620"	"0"	"620"	"0"
"234"	"175"	"91"	"1"	"152"	"23"	"214"	"23"	"9"	"15"	"15"	"74"	"617"	"0"	"617"	"0"
"235"	"176"	"96"	"2"	"209"	"64"	"58"	"8"	"0"	"4"	"3"	"43"	"487"	"0"	"487"	"0"
"236"	"176A"	"42"	"5"	"112"	"17"	"49"	"18"	"2"	"6"	"6"	"36"	"293"	"0"	"293"	"0"
"237"	"177"	"48"	"3"	"191"	"227"	"287"	"20"	"12"	"6"	"18"	"55"	"867"	"0"	"867"	"0"
"238"	"178"	"161"	"7"	"210"	"27"	"93"	"10"	"8"	"6"	"9"	"82"	"613"	"0"	"613"	"0"
"239"	"179"	"35"	"2"	"111"	"210"	"58"	"8"	"1"	"0"	"10"	"36"	"471"	"0"	"471"	"0"
"240"	"180"	"124"	"5"	"116"	"111"	"72"	"18"	"6"	"3"	"3"	"34"	"492"	"0"	"492"	"0"
"241"	"181"	"134"	"9"	"69"	"171"	"40"	"3"	"5"	"2"	"3"	"51"	"487"	"0"	"487"	"0"
"242"	"182"	"22"	"15"	"260"	"44"	"55"	"8"	"5"	"8"	"0"	"23"	"440"	"0"	"440"	"0"
"243"	"183"	"94"	"1"	"312"	"63"	"117"	"7"	"2"	"5"	"8"	"40"	"649"	"0"	"649"	"0"
"244"	"184"	"165"	"2"	"144"	"55"	"113"	"6"	"1"	"4"	"7"	"63"	"560"	"0"	"560"	"0"
"245"	"185"	"119"	"8"	"71"	"159"	"135"	"11"	"4"	"2"	"8"	"67"	"584"	"0"	"584"	"0"
"246"	"186"	"31"	"3"	"231"	"199"	"15"	"5"	"0"	"5"	"3"	"47"	"539"	"0"	"539"	"0"
"247"	"187"	"20"	"6"	"237"	"50"	"128"	"14"	"2"	"5"	"6"	"65"	"533"	"0"	"533"	"0"
"248"	"188"	"64"	"4"	"304"	"267"	"36"	"3"	"6"	"9"	"7"	"59"	"759"	"0"	"759"	"0"
"249"	"189"	"79"	"6"	"251"	"60"	"17"	"7"	"7"	"6"	"3"	"37"	"473"	"0"	"473"	"0"
"250"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"251"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"252"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"253"	"190"	"20"	"6"	"440"	"133"	"35"	"8"	"2"	"6"	"10"	"11"	"671"	"0"	"671"	"0"
"254"	"191"	"25"	"3"	"165"	"253"	"16"	"6"	"2"	"2"	"4"	"5"	"481"	"0"	"481"	"0"
"255"	"192"	"6"	"1"	"75"	"180"	"62"	"3"	"1"	"1"	"2"	"6"	"337"	"0"	"337"	"0"
"256"	"193"	"173"	"13"	"274"	"60"	"144"	"11"	"5"	"8"	"14"	"92"	"794"	"0"	"794"	"0"
"257"	"194"	"245"	"11"	"193"	"77"	"83"	"5"	"1"	"4"	"3"	"14"	"636"	"0"	"636"	"0"
"258"	"195"	"84"	"4"	"214"	"11"	"54"	"11"	"1"	"8"	"6"	"43"	"436"	"0"	"436"	"0"
"259"	"196"	"146"	"8"	"307"	"13"	"27"	"7"	"2"	"17"	"4"	"79"	"610"	"0"	"610"	"0"
"260"	"197"	"221"	"2"	"210"	"46"	"8"	"8"	"2"	"6"	"0"	"100"	"603"	"0"	"603"	"0"
"261"	"198"	"177"	"7"	"158"	"50"	"9"	"8"	"3"	"5"	"7"	"143"	"567"	"0"	"567"	"0"
"262"	"199"	"112"	"5"	"248"	"74"	"23"	"6"	"5"	"7"	"8"	"104"	"592"	"0"	"592"	"0"
"263"	"200"	"112"	"0"	"245"	"13"	"24"	"7"	"2"	"0"	"8"	"56"	"467"	"0"	"467"	"0"
"264"	"201"	"232"	"1"	"140"	"84"	"7"	"4"	"1"	"2"	"1"	"64"	"536"	"0"	"536"	"0"
"265"	"202"	"235"	"3"	"132"	"96"	"3"	"2"	"0"	"2"	"1"	"48"	"522"	"0"	"522"	"0"
"266"	"203"	"136"	"1"	"259"	"41"	"46"	"6"	"4"	"10"	"6"	"147"	"656"	"0"	"656"	"0"
"267"	"204"	"180"	"2"	"94"	"61"	"0"	"1"	"1"	"1"	"3"	"91"	"434"	"0"	"434"	"0"
"268"	"205"	"144"	"3"	"132"	"63"	"3"	"4"	"2"	"5"	"2"	"114"	"472"	"0"	"472"	"0"
"269"	"206"	"133"	"3"	"223"	"11"	"50"	"6"	"1"	"9"	"4"	"13"	"453"	"0"	"453"	"0"
"270"	"207"	"149"	"2"	"195"	"5"	"9"	"8"	"2"	"11"	"2"	"53"	"436"	"0"	"436"	"0"
"271"	"208"	"31"	"3"	"303"	"16"	"79"	"9"	"2"	"2"	"1"	"15"	"461"	"0"	"461"	"0"
"272"	"209"	"210"	"7"	"154"	"90"	"97"	"19"	"11"	"7"	"11"	"79"	"685"	"0"	"685"	"0"
"273"	"210"	"163"	"10"	"186"	"122"	"104"	"9"	"2"	"7"	"20"	"199"	"822"	"0"	"822"	"0"
"274"	"211"	"193"	"5"	"66"	"103"	"19"	"6"	"3"	"8"	"5"	"128"	"536"	"0"	"536"	"0"
"275"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"276"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"277"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"278"	"212"	"188"	"5"	"112"	"130"	"10"	"3"	"1"	"3"	"5"	"173"	"630"	"0"	"630"	"0"
"279"	"213"	"125"	"3"	"93"	"120"	"13"	"6"	"2"	"1"	"2"	"181"	"546"	"0"	"546"	"0"
"280"	"214"	"217"	"5"	"35"	"32"	"33"	"5"	"4"	"8"	"13"	"191"	"543"	"0"	"543"	"0"
"281"	"215"	"212"	"5"	"27"	"20"	"21"	"3"	"1"	"2"	"8"	"65"	"364"	"0"	"364"	"0"
"282"	"216"	"105"	"7"	"147"	"91"	"8"	"5"	"8"	"3"	"7"	"288"	"669"	"0"	"669"	"0"
"283"	"217"	"94"	"0"	"35"	"8"	"1"	"1"	"2"	"2"	"1"	"344"	"488"	"0"	"488"	"0"
"284"	"218"	"92"	"1"	"77"	"5"	"0"	"2"	"2"	"5"	"5"	"664"	"853"	"0"	"853"	"0"
"285"	"219"	"42"	"2"	"17"	"0"	"1"	"2"	"7"	"5"	"11"	"847"	"934"	"0"	"934"	"0"
"286"	"220"	"82"	"8"	"61"	"19"	"9"	"14"	"3"	"4"	"6"	"410"	"616"	"0"	"616"	"0"
"287"	"221"	"82"	"7"	"38"	"16"	"10"	"8"	"8"	"3"	"6"	"209"	"387"	"0"	"387"	"0"
"288"	"222"	"34"	"4"	"112"	"7"	"17"	"3"	"5"	"12"	"16"	"259"	"469"	"0"	"469"	"0"
"289"	"223"	"74"	"6"	"100"	"12"	"53"	"6"	"7"	"9"	"10"	"539"	"816"	"0"	"816"	"0"
"290"	"224"	"39"	"1"	"91"	"6"	"13"	"12"	"2"	"7"	"4"	"183"	"358"	"0"	"358"	"0"
"291"	"225"	"44"	"9"	"39"	"23"	"185"	"18"	"9"	"3"	"18"	"458"	"806"	"0"	"806"	"0"
"292"	"226"	"30"	"2"	"113"	"6"	"93"	"14"	"9"	"10"	"3"	"532"	"812"	"0"	"812"	"0"
"293"	"227"	"32"	"1"	"43"	"22"	"2"	"5"	"1"	"1"	"4"	"425"	"536"	"0"	"536"	"0"
"294"	"3"	"203"	"9"	"99"	"142"	"11"	"11"	"3"	"7"	"3"	"44"	"532"	"0"	"532"	"0"
"295"	"POSTAL BALLET"	"101"	"3"	"90"	"41"	"53"	"0"	"0"	"0"	"0"	"26"	"314"	"11"	"325"	"-"
"296"	"Total Votes Polled"	"36702"	"2712"	"60530"	"13110"	"13440"	"2179"	"898"	"1696"	"1438"	"16667"	"149372"	"11"	"149383"	"0"
"297"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"298"	""	"Abhay Kumar Sarjan"	"Md.
Ahtashamu l Haq Ansari"	"Narendra Kumar Singh Alias Bogo Singh"	"Ravindra Prasad Singh"	"Vidhya Rani"	"Amit Kumar Singh"	"Dr. Kranti Singh"	"Sanjay Kumar"	"Anil Kumar Singh"	"Sarvesh Kumar"	""	""	""	""
"299"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"300"	"Place :                     Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Date :                       24-11-2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
