"SL..NO..OF.POLLING.STATION"	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"TOTAL.OF.VALID.VOTES"	"NO..OF.REJECTED.VOTES"	"TOTAL"	"NO..OF.TENDERED.VOTES"
"108"	"69"	"2"	"0"	"51"	"49"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"41"	"2"	"0"	"6"	"0"	"5"	"5"	"0"	"0"	"169"	"0"	"169"	"0"
"109"	"70"	"12"	"0"	"498"	"80"	"14"	"11"	"1"	"3"	"0"	"3"	"1"	"2"	"6"	"3"	"2"	"2"	"8"	"2"	"7"	"8"	"1"	"2"	"666"	"0"	"666"	"0"
"110"	"71"	"4"	"3"	"154"	"133"	"5"	"0"	"0"	"2"	"1"	"3"	"0"	"2"	"2"	"4"	"2"	"1"	"2"	"1"	"2"	"8"	"0"	"1"	"330"	"0"	"330"	"0"
"111"	"72"	"1"	"0"	"78"	"57"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"16"	"1"	"6"	"1"	"1"	"3"	"1"	"0"	"175"	"0"	"175"	"0"
"112"	"73"	"1"	"1"	"72"	"39"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"2"	"125"	"0"	"125"	"0"
"113"	"74"	"18"	"11"	"124"	"71"	"5"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"244"	"0"	"244"	"0"
"114"	"75"	"22"	"2"	"205"	"80"	"5"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"8"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"334"	"0"	"334"	"0"
"115"	"76"	"39"	"2"	"226"	"112"	"1"	"1"	"0"	"1"	"1"	"2"	"2"	"2"	"1"	"7"	"0"	"1"	"2"	"0"	"4"	"5"	"0"	"0"	"409"	"0"	"409"	"0"
"116"	"77"	"8"	"3"	"186"	"159"	"13"	"2"	"1"	"1"	"0"	"1"	"1"	"3"	"4"	"0"	"11"	"0"	"1"	"1"	"0"	"2"	"1"	"11"	"409"	"0"	"409"	"0"
"117"	"78"	"11"	"5"	"134"	"68"	"7"	"3"	"3"	"0"	"1"	"0"	"2"	"3"	"4"	"8"	"2"	"6"	"9"	"2"	"3"	"0"	"0"	"3"	"274"	"0"	"274"	"0"
"118"	"79"	"19"	"5"	"166"	"134"	"7"	"1"	"3"	"9"	"2"	"1"	"2"	"4"	"6"	"6"	"5"	"10"	"6"	"7"	"12"	"12"	"4"	"4"	"425"	"0"	"425"	"0"
"119"	"80"	"28"	"11"	"223"	"138"	"3"	"2"	"0"	"4"	"1"	"0"	"0"	"2"	"3"	"0"	"0"	"1"	"1"	"2"	"5"	"1"	"0"	"11"	"436"	"0"	"436"	"0"
"120"	"81"	"7"	"9"	"47"	"204"	"3"	"4"	"3"	"34"	"2"	"0"	"0"	"4"	"3"	"2"	"1"	"8"	"1"	"1"	"2"	"2"	"1"	"138"	"476"	"0"	"476"	"0"
"121"	"Total"	"175"	"53"	"2216"	"1391"	"72"	"28"	"11"	"55"	"8"	"12"	"12"	"25"	"43"	"145"	"46"	"33"	"50"	"18"	"47"	"52"	"9"	"180"	"4681"	"0"	"4681"	"0"
"122"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                            Signature of Returni"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"124"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"125"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"126"	"BF"	"1594"	"360"	"15124"	"9261"	"577"	"373"	"129"	"593"	"82"	"115"	"146"	"189"	"317"	"469"	"425"	"355"	"376"	"156"	"346"	"419"	"121"	"3148"	"34675"	"0"	"34675"	"0"
"127"	"82"	"7"	"5"	"230"	"65"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"0"	"1"	"2"	"2"	"0"	"3"	"329"	"0"	"329"	"0"
"128"	"82K"	"14"	"3"	"178"	"84"	"3"	"14"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"3"	"3"	"5"	"3"	"1"	"4"	"320"	"0"	"320"	"0"
"129"	"83"	"7"	"2"	"24"	"64"	"9"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"5"	"2"	"3"	"8"	"2"	"4"	"4"	"1"	"94"	"233"	"0"	"233"	"0"
"130"	"84"	"23"	"22"	"265"	"130"	"5"	"12"	"0"	"4"	"2"	"0"	"5"	"3"	"4"	"2"	"1"	"3"	"5"	"3"	"12"	"13"	"3"	"12"	"529"	"0"	"529"	"0"
"131"	"85"	"9"	"2"	"344"	"137"	"4"	"26"	"2"	"0"	"3"	"3"	"2"	"4"	"2"	"3"	"0"	"1"	"5"	"3"	"4"	"5"	"2"	"6"	"567"	"0"	"567"	"0"
"132"	"86"	"27"	"11"	"223"	"35"	"10"	"1"	"1"	"9"	"1"	"2"	"1"	"1"	"6"	"7"	"5"	"8"	"4"	"1"	"4"	"1"	"0"	"22"	"380"	"0"	"380"	"0"
"133"	"87"	"34"	"5"	"96"	"306"	"15"	"5"	"4"	"5"	"2"	"3"	"1"	"4"	"7"	"3"	"11"	"13"	"12"	"3"	"4"	"22"	"4"	"142"	"701"	"0"	"701"	"0"
"134"	"88"	"24"	"3"	"111"	"267"	"5"	"7"	"0"	"3"	"1"	"5"	"4"	"5"	"6"	"0"	"1"	"3"	"8"	"5"	"6"	"11"	"3"	"111"	"589"	"0"	"589"	"0"
"135"	"89"	"15"	"7"	"119"	"110"	"10"	"4"	"2"	"2"	"2"	"3"	"1"	"3"	"3"	"5"	"4"	"8"	"20"	"8"	"8"	"17"	"11"	"262"	"624"	"0"	"624"	"0"
"136"	"90"	"12"	"6"	"229"	"91"	"5"	"1"	"0"	"2"	"1"	"0"	"3"	"2"	"2"	"6"	"0"	"4"	"11"	"2"	"7"	"5"	"1"	"14"	"404"	"0"	"404"	"0"
"137"	"91"	"8"	"3"	"350"	"85"	"6"	"1"	"1"	"0"	"0"	"4"	"2"	"3"	"3"	"3"	"0"	"4"	"3"	"2"	"0"	"5"	"3"	"0"	"486"	"0"	"486"	"0"
"138"	"92"	"11"	"6"	"74"	"63"	"1"	"7"	"4"	"4"	"1"	"1"	"2"	"2"	"2"	"0"	"3"	"10"	"13"	"1"	"4"	"2"	"4"	"353"	"568"	"0"	"568"	"0"
"139"	"93"	"27"	"23"	"146"	"75"	"6"	"7"	"2"	"14"	"2"	"2"	"0"	"5"	"2"	"4"	"1"	"11"	"6"	"0"	"0"	"8"	"2"	"152"	"495"	"0"	"495"	"0"
"140"	"94"	"19"	"7"	"218"	"133"	"10"	"5"	"1"	"6"	"2"	"1"	"3"	"10"	"8"	"1"	"8"	"8"	"7"	"4"	"8"	"9"	"3"	"135"	"606"	"0"	"606"	"0"
"141"	"Total"	"1831"	"465"	"17731"	"10906"	"667"	"470"	"146"	"645"	"99"	"139"	"170"	"233"	"366"	"511"	"461"	"434"	"481"	"194"	"414"	"526"	"159"	"4458"	"41506"	"0"	"41506"	"0"
"142"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                       Signature of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"144"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"145"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"146"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"147"	"95"	"5"	"0"	"48"	"79"	"4"	"30"	"2"	"1"	"1"	"0"	"3"	"2"	"2"	"3"	"1"	"2"	"5"	"1"	"3"	"5"	"2"	"46"	"245"	"0"	"245"	"0"
"148"	"96"	"14"	"4"	"329"	"202"	"7"	"2"	"2"	"3"	"2"	"0"	"2"	"7"	"3"	"3"	"2"	"7"	"12"	"10"	"7"	"13"	"5"	"103"	"739"	"0"	"739"	"0"
"149"	"97"	"14"	"31"	"116"	"73"	"8"	"6"	"7"	"19"	"2"	"4"	"5"	"9"	"2"	"2"	"7"	"9"	"8"	"2"	"4"	"4"	"2"	"157"	"491"	"0"	"491"	"0"
"150"	"98"	"11"	"4"	"46"	"174"	"4"	"3"	"0"	"9"	"0"	"2"	"0"	"6"	"2"	"1"	"6"	"11"	"8"	"2"	"4"	"2"	"3"	"266"	"564"	"0"	"564"	"0"
"151"	"99"	"13"	"1"	"33"	"6"	"3"	"0"	"1"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"3"	"2"	"0"	"1"	"1"	"225"	"297"	"0"	"297"	"0"
"152"	"100"	"20"	"2"	"254"	"25"	"1"	"9"	"1"	"1"	"2"	"0"	"1"	"3"	"1"	"4"	"2"	"1"	"6"	"2"	"6"	"4"	"0"	"16"	"361"	"0"	"361"	"0"
"153"	"101"	"9"	"4"	"281"	"43"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"4"	"4"	"5"	"3"	"0"	"10"	"369"	"0"	"369"	"0"
"154"	"102"	"10"	"3"	"316"	"110"	"4"	"2"	"0"	"9"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"3"	"2"	"1"	"2"	"0"	"5"	"473"	"0"	"473"	"0"
"155"	"103"	"13"	"3"	"469"	"47"	"4"	"7"	"0"	"16"	"4"	"1"	"0"	"0"	"2"	"5"	"0"	"9"	"6"	"5"	"2"	"2"	"1"	"14"	"610"	"0"	"610"	"0"
"156"	"104"	"12"	"2"	"180"	"88"	"5"	"12"	"5"	"2"	"4"	"2"	"0"	"8"	"5"	"1"	"3"	"7"	"12"	"7"	"11"	"13"	"9"	"117"	"505"	"0"	"505"	"0"
"157"	"105"	"11"	"5"	"166"	"150"	"5"	"4"	"2"	"6"	"1"	"1"	"0"	"1"	"4"	"5"	"3"	"5"	"1"	"1"	"1"	"3"	"0"	"36"	"411"	"0"	"411"	"0"
"158"	"106"	"20"	"6"	"234"	"59"	"6"	"2"	"1"	"2"	"0"	"1"	"4"	"4"	"5"	"5"	"1"	"6"	"3"	"2"	"2"	"4"	"1"	"79"	"447"	"0"	"447"	"0"
"159"	"107"	"51"	"10"	"257"	"81"	"4"	"12"	"3"	"1"	"2"	"1"	"1"	"3"	"3"	"2"	"1"	"0"	"5"	"4"	"1"	"4"	"1"	"31"	"478"	"0"	"478"	"0"
"160"	"108"	"26"	"8"	"668"	"36"	"4"	"5"	"2"	"2"	"1"	"4"	"5"	"10"	"13"	"12"	"5"	"13"	"31"	"15"	"32"	"16"	"9"	"45"	"962"	"0"	"962"	"0"
"161"	"Total"	"229"	"83"	"3397"	"1173"	"61"	"95"	"26"	"74"	"20"	"16"	"24"	"54"	"45"	"45"	"32"	"73"	"107"	"59"	"79"	"76"	"34"	"1150"	"6952"	"0"	"6952"	"0"
"162"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                       Signature of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"FORM- 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"FINAL RESULT SHEET [SEE RULE 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY, 2010  FROM 118- CHAPRA  ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"Total No, of Electors in the Assembly constituency- 254790                                                                                                            Round No. 9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"168"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"169"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"170"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"171"	"109"	"37"	"5"	"208"	"33"	"4"	"55"	"1"	"7"	"1"	"0"	"2"	"1"	"3"	"6"	"2"	"7"	"8"	"2"	"0"	"4"	"4"	"44"	"434"	"0"	"434"	"0"
"172"	"110"	"108"	"5"	"208"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"2"	"1"	"2"	"2"	"0"	"5"	"395"	"0"	"395"	"0"
"173"	"111"	"38"	"1"	"247"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"325"	"0"	"325"	"0"
"174"	"112"	"62"	"2"	"212"	"19"	"5"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"0"	"4"	"1"	"1"	"314"	"0"	"314"	"0"
"175"	"112K"	"14"	"3"	"244"	"47"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"1"	"0"	"2"	"320"	"0"	"320"	"0"
"176"	"113"	"15"	"10"	"300"	"70"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"2"	"2"	"11"	"5"	"3"	"8"	"0"	"21"	"457"	"0"	"457"	"0"
"177"	"114"	"11"	"3"	"219"	"69"	"1"	"0"	"0"	"2"	"1"	"0"	"4"	"3"	"2"	"0"	"0"	"2"	"3"	"1"	"3"	"5"	"1"	"8"	"338"	"0"	"338"	"0"
"178"	"115"	"18"	"7"	"250"	"110"	"5"	"1"	"4"	"3"	"0"	"0"	"1"	"7"	"2"	"7"	"4"	"3"	"18"	"11"	"16"	"21"	"2"	"38"	"528"	"0"	"528"	"0"
"179"	"116"	"8"	"2"	"260"	"89"	"2"	"1"	"0"	"7"	"1"	"0"	"1"	"1"	"1"	"4"	"1"	"2"	"4"	"2"	"2"	"11"	"0"	"9"	"408"	"0"	"408"	"0"
"180"	"117"	"13"	"0"	"334"	"77"	"4"	"0"	"0"	"2"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"7"	"0"	"9"	"3"	"0"	"8"	"465"	"0"	"465"	"0"
"181"	"118"	"10"	"4"	"144"	"198"	"5"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"3"	"2"	"1"	"1"	"8"	"6"	"10"	"10"	"0"	"6"	"413"	"0"	"413"	"0"
"182"	"119"	"22"	"4"	"104"	"142"	"3"	"11"	"1"	"5"	"7"	"2"	"6"	"8"	"3"	"4"	"4"	"11"	"17"	"8"	"18"	"27"	"7"	"222"	"636"	"0"	"636"	"0"
"183"	"120"	"39"	"5"	"204"	"60"	"2"	"2"	"4"	"8"	"0"	"3"	"76"	"3"	"1"	"0"	"3"	"4"	"6"	"5"	"9"	"8"	"1"	"19"	"462"	"0"	"462"	"0"
"184"	"121"	"11"	"6"	"203"	"59"	"6"	"4"	"2"	"0"	"0"	"4"	"2"	"6"	"7"	"1"	"1"	"7"	"6"	"4"	"5"	"2"	"1"	"87"	"424"	"0"	"424"	"0"
"185"	"Total"	"406"	"57"	"3137"	"1065"	"44"	"76"	"13"	"34"	"14"	"11"	"95"	"33"	"27"	"28"	"19"	"46"	"93"	"46"	"80"	"107"	"17"	"471"	"5919"	"0"	"5919"	"0"
"186"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                       Signature of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"188"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"189"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"190"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"191"	"121K"	"14"	"3"	"282"	"34"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"0"	"1"	"9"	"0"	"1"	"1"	"0"	"28"	"379"	"0"	"379"	"0"
"192"	"122"	"7"	"1"	"173"	"181"	"28"	"2"	"2"	"7"	"1"	"4"	"1"	"1"	"4"	"2"	"6"	"2"	"6"	"3"	"6"	"9"	"2"	"9"	"457"	"0"	"457"	"0"
"193"	"122K"	"14"	"4"	"170"	"177"	"12"	"3"	"2"	"4"	"0"	"1"	"2"	"1"	"6"	"3"	"8"	"0"	"3"	"1"	"5"	"5"	"0"	"5"	"426"	"0"	"426"	"0"
"194"	"123"	"4"	"4"	"196"	"112"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"6"	"1"	"9"	"3"	"2"	"6"	"351"	"0"	"351"	"0"
"195"	"124"	"40"	"3"	"241"	"195"	"19"	"1"	"2"	"15"	"4"	"2"	"7"	"6"	"7"	"8"	"3"	"7"	"18"	"7"	"11"	"17"	"3"	"28"	"644"	"0"	"644"	"0"
"196"	"125"	"18"	"8"	"111"	"134"	"11"	"0"	"2"	"0"	"1"	"0"	"1"	"2"	"5"	"4"	"3"	"1"	"8"	"2"	"14"	"23"	"1"	"11"	"360"	"0"	"360"	"0"
"197"	"125K"	"12"	"1"	"158"	"89"	"3"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"2"	"2"	"3"	"0"	"6"	"2"	"0"	"4"	"291"	"0"	"291"	"0"
"198"	"126"	"9"	"1"	"148"	"182"	"7"	"0"	"0"	"2"	"0"	"1"	"0"	"2"	"6"	"0"	"0"	"1"	"9"	"2"	"5"	"16"	"1"	"35"	"427"	"0"	"427"	"0"
"199"	"126K"	"2"	"2"	"103"	"125"	"6"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"3"	"1"	"4"	"3"	"5"	"1"	"10"	"14"	"0"	"29"	"312"	"0"	"312"	"0"
"200"	"127"	"12"	"1"	"275"	"45"	"5"	"3"	"4"	"3"	"3"	"0"	"8"	"2"	"2"	"5"	"2"	"3"	"9"	"0"	"3"	"6"	"1"	"4"	"396"	"0"	"396"	"0"
"201"	"128"	"10"	"6"	"210"	"41"	"4"	"1"	"2"	"1"	"0"	"2"	"3"	"3"	"4"	"3"	"1"	"8"	"6"	"0"	"0"	"3"	"1"	"6"	"315"	"0"	"315"	"0"
"202"	"129"	"19"	"4"	"333"	"221"	"31"	"4"	"0"	"24"	"0"	"1"	"1"	"6"	"1"	"7"	"43"	"4"	"4"	"1"	"5"	"7"	"0"	"23"	"739"	"0"	"739"	"0"
"203"	"130"	"8"	"3"	"250"	"34"	"7"	"1"	"1"	"1"	"0"	"3"	"21"	"0"	"1"	"6"	"2"	"1"	"2"	"2"	"3"	"3"	"2"	"2"	"353"	"0"	"353"	"0"
"204"	"130K"	"11"	"3"	"91"	"32"	"1"	"0"	"6"	"1"	"0"	"0"	"74"	"1"	"3"	"3"	"0"	"1"	"6"	"6"	"1"	"6"	"3"	"7"	"256"	"0"	"256"	"0"
"205"	"Total"	"180"	"44"	"2741"	"1602"	"137"	"18"	"22"	"62"	"10"	"16"	"120"	"26"	"48"	"45"	"74"	"34"	"94"	"26"	"79"	"115"	"16"	"197"	"5706"	"0"	"5706"	"0"
"206"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                       Signature of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"208"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"209"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"210"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"211"	"131"	"0"	"2"	"277"	"67"	"3"	"1"	"2"	"2"	"2"	"3"	"11"	"1"	"3"	"1"	"1"	"0"	"3"	"3"	"8"	"7"	"1"	"38"	"436"	"0"	"436"	"0"
"212"	"131K"	"3"	"1"	"282"	"69"	"6"	"1"	"0"	"1"	"2"	"1"	"6"	"3"	"4"	"2"	"0"	"2"	"2"	"0"	"0"	"2"	"0"	"6"	"393"	"0"	"393"	"0"
"213"	"132"	"10"	"7"	"253"	"166"	"7"	"1"	"1"	"3"	"1"	"0"	"1"	"1"	"3"	"2"	"3"	"4"	"1"	"2"	"4"	"3"	"0"	"3"	"476"	"0"	"476"	"0"
"214"	"132K"	"4"	"1"	"237"	"30"	"2"	"3"	"0"	"3"	"1"	"0"	"1"	"3"	"2"	"0"	"4"	"1"	"2"	"5"	"1"	"2"	"0"	"4"	"306"	"0"	"306"	"0"
"215"	"133"	"7"	"0"	"361"	"154"	"4"	"8"	"1"	"1"	"1"	"0"	"1"	"4"	"3"	"6"	"2"	"3"	"8"	"5"	"8"	"5"	"3"	"10"	"595"	"0"	"595"	"0"
"216"	"134"	"8"	"1"	"190"	"58"	"1"	"0"	"1"	"5"	"1"	"1"	"24"	"2"	"4"	"2"	"0"	"2"	"7"	"4"	"9"	"4"	"3"	"7"	"334"	"0"	"334"	"0"
"217"	"134K"	"5"	"3"	"250"	"57"	"3"	"1"	"0"	"0"	"2"	"2"	"10"	"0"	"3"	"3"	"2"	"2"	"4"	"6"	"0"	"6"	"1"	"4"	"364"	"0"	"364"	"0"
"218"	"135"	"17"	"10"	"120"	"183"	"5"	"2"	"1"	"22"	"0"	"3"	"12"	"1"	"0"	"0"	"1"	"0"	"6"	"4"	"6"	"7"	"1"	"0"	"401"	"0"	"401"	"0"
