"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"198"	"173"	""	"206"	"7"	"1"	"4"	"38"	"0"	"4"	"190"	"6"	"2"	"0"	"24"	"4"	"486"
"199"	"174"	""	"153"	"4"	"2"	"81"	"4"	"1"	"0"	"18"	"1"	"3"	"3"	"8"	"12"	"290"
"200"	"175"	""	"3"	"2"	"2"	"10"	"18"	"4"	"3"	"666"	"6"	"0"	"1"	"0"	"3"	"718"
"201"	"176"	""	"9"	"1"	"2"	"2"	"64"	"1"	"4"	"386"	"3"	"0"	"0"	"1"	"3"	"476"
"202"	"177"	""	"21"	"5"	"1"	"69"	"354"	"9"	"2"	"247"	"11"	"6"	"7"	"2"	"10"	"744"
"203"	"178"	""	"166"	"5"	"1"	"79"	"62"	"8"	"9"	"316"	"3"	"9"	"6"	"5"	"16"	"685"
"204"	"179"	""	"11"	"3"	"2"	"1"	"66"	"5"	"3"	"472"	"3"	"4"	"1"	"6"	"2"	"579"
"205"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM  51-Sikti CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	""	""	"Candidate Details"	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"BOOTH_ NO"	"BOOTH_ EXT"	"ANANDI PRASAD YADAV"	"GOPAL KUMAR MANDAL"	"MANTU BHAGAT"	"VIJAY KUMAR MANDAL"	"SHAGUF TA"	"JAI NARAYA N SADA"	"FAROOQ UE AHAMAD"	"AZIMUDD IN"	"KALPANA DEVI"	"PALTU MANDAL"	"MAHEND RA PRASAD MANDAL"	"MURLIDH AR MANDAL"	"LUKMAN"	"TOTAL"
"209"	"180"	""	"231"	"12"	"6"	"108"	"25"	"4"	"4"	"138"	"3"	"6"	"12"	"14"	"14"	"577"
"210"	"181"	""	"226"	"6"	"3"	"215"	"61"	"12"	"2"	"32"	"4"	"14"	"9"	"37"	"18"	"639"
"211"	"182"	""	"232"	"5"	"3"	"62"	"21"	"3"	"2"	"57"	"3"	"7"	"7"	"57"	"11"	"470"
"212"	"183"	""	"189"	"18"	"10"	"311"	"53"	"10"	"3"	"5"	"12"	"17"	"2"	"31"	"30"	"691"
"213"	"184"	""	"312"	"7"	"4"	"60"	"160"	"10"	"7"	"72"	"10"	"4"	"5"	"36"	"10"	"697"
"214"	"185"	""	"230"	"4"	"2"	"169"	"34"	"11"	"32"	"11"	"1"	"6"	"2"	"12"	"24"	"538"
"215"	"186"	""	"338"	"6"	"1"	"4"	"62"	"1"	"4"	"43"	"2"	"3"	"9"	"161"	"23"	"657"
"216"	"187"	""	"260"	"10"	"1"	"131"	"110"	"4"	"2"	"32"	"2"	"0"	"3"	"51"	"7"	"613"
"217"	"188"	""	"426"	"13"	"5"	"62"	"154"	"8"	"5"	"147"	"13"	"8"	"5"	"20"	"12"	"878"
"218"	"189"	""	"317"	"12"	"1"	"153"	"49"	"6"	"6"	"98"	"8"	"12"	"2"	"21"	"15"	"700"
"219"	"190"	""	"269"	"9"	"3"	"6"	"27"	"5"	"8"	"97"	"2"	"2"	"6"	"10"	"8"	"452"
"220"	"191"	""	"0"	"0"	"1"	"7"	"59"	"4"	"6"	"311"	"6"	"4"	"3"	"1"	"5"	"407"
"221"	"192"	""	"98"	"10"	"2"	"13"	"241"	"6"	"1"	"14"	"4"	"0"	"0"	"3"	"2"	"394"
"222"	"193"	""	"19"	"4"	"3"	"17"	"449"	"5"	"1"	"8"	"3"	"2"	"2"	"4"	"1"	"518"
"223"	"194"	""	"41"	"10"	"4"	"47"	"508"	"15"	"4"	"101"	"10"	"11"	"9"	"8"	"11"	"779"
"224"	"195"	""	"16"	"9"	"2"	"45"	"336"	"7"	"3"	"49"	"4"	"1"	"5"	"17"	"14"	"508"
"225"	"196"	""	"349"	"6"	"3"	"25"	"86"	"1"	"5"	"15"	"2"	"2"	"1"	"13"	"5"	"513"
"226"	"197"	""	"241"	"9"	"5"	"27"	"292"	"6"	"6"	"17"	"3"	"5"	"5"	"7"	"10"	"633"
"227"	"198"	""	"274"	"2"	"3"	"148"	"185"	"4"	"3"	"7"	"3"	"9"	"3"	"109"	"21"	"771"
"228"	"199"	""	"159"	"7"	"4"	"145"	"11"	"2"	"0"	"34"	"4"	"9"	"2"	"12"	"13"	"402"
"229"	"200"	""	"492"	"10"	"5"	"140"	"78"	"8"	"3"	"0"	"5"	"7"	"4"	"22"	"13"	"787"
"230"	"201"	""	"320"	"13"	"8"	"117"	"287"	"14"	"0"	"6"	"7"	"2"	"4"	"179"	"11"	"968"
"231"	"202"	""	"13"	"2"	"4"	"8"	"357"	"11"	"5"	"95"	"1"	"1"	"1"	"2"	"1"	"501"
"232"	"203"	""	"3"	"1"	"2"	"6"	"253"	"11"	"11"	"66"	"9"	"17"	"6"	"6"	"13"	"404"
"233"	"Postal Ball"	""	"3"	"0"	"0"	"2"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"40"
"234"	"134957"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
