"X."	"No..of.valid.votes.caste.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"153"	"138"	"85"	"11"	"416"	"22"	"6"	"13"	"8"	"1"	"4"	"0"	"2"	"5"	"3"	"11"	"3"	"4"	"12"	"2"	"608"
"154"	"139"	"90"	"234"	"120"	"5"	"8"	"11"	"2"	"0"	"8"	"2"	"1"	"9"	"2"	"6"	"1"	"13"	"18"	"11"	"541"
"155"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"BOOTH_NO"	"DAMODAR RAWAT"	"MOHAMMAD IRFAN"	"BINOD PRASAD YADAV"	"SHANKAR PRASAD"	"ASHOK SAO"	"AABID KAUSER"	"KAPILDEV RAVIDAS"	"KUNDAN KUMAR MATHURI"	"KAILASH GOSAI"	"DEONANDAN BESRA"	"PRADIP SINGH"	"RAJENDRA PRASAD"	"SAYED AFAQUE ALAM JAJBI"	"CHANDRIKA KUMAR"	"PERMESHWAR YADAV"	"BALKRISHN PANDIT"	"RAJEEV KUMAR YADAV"	"SURYAVAST"	"Total Valid Votes"
"157"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"158"	"140"	"78"	"7"	"87"	"17"	"2"	"8"	"4"	"0"	"4"	"0"	"2"	"3"	"1"	"8"	"2"	"10"	"10"	"2"	"245"
"159"	"141"	"320"	"12"	"50"	"21"	"3"	"34"	"2"	"0"	"0"	"1"	"0"	"1"	"3"	"3"	"0"	"3"	"6"	"3"	"462"
"160"	"142"	"103"	"13"	"234"	"27"	"2"	"15"	"3"	"1"	"4"	"1"	"2"	"2"	"2"	"5"	"1"	"4"	"31"	"8"	"458"
"161"	"143"	"53"	"1"	"167"	"4"	"0"	"7"	"3"	"0"	"0"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"18"	"2"	"261"
"162"	"144"	"199"	"6"	"226"	"15"	"1"	"24"	"4"	"1"	"2"	"1"	"2"	"5"	"2"	"4"	"1"	"2"	"8"	"1"	"504"
"163"	"145"	"86"	"3"	"17"	"1"	"3"	"110"	"3"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"2"	"0"	"5"	"0"	"235"
"164"	"146"	"92"	"10"	"51"	"1"	"0"	"12"	"1"	"0"	"3"	"2"	"1"	"1"	"2"	"6"	"1"	"0"	"3"	"4"	"190"
"165"	"147"	"188"	"15"	"300"	"11"	"15"	"24"	"4"	"2"	"6"	"3"	"2"	"6"	"2"	"15"	"3"	"19"	"10"	"4"	"629"
"166"	"148"	"45"	"8"	"141"	"4"	"12"	"7"	"2"	"2"	"1"	"0"	"0"	"5"	"2"	"9"	"2"	"14"	"9"	"6"	"269"
"167"	"149"	"6"	"0"	"286"	"7"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"
"168"	"150"	"204"	"7"	"169"	"7"	"23"	"40"	"8"	"1"	"4"	"4"	"6"	"6"	"4"	"12"	"5"	"37"	"5"	"1"	"543"
"169"	"151"	"31"	"442"	"12"	"6"	"0"	"12"	"4"	"1"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"4"	"20"	"7"	"561"
"170"	"152"	"309"	"66"	"89"	"15"	"8"	"53"	"7"	"0"	"1"	"8"	"3"	"2"	"5"	"1"	"3"	"27"	"15"	"4"	"616"
"171"	"153"	"153"	"164"	"17"	"17"	"5"	"43"	"15"	"5"	"4"	"94"	"12"	"6"	"6"	"5"	"10"	"26"	"19"	"11"	"612"
"172"	"154"	"34"	"15"	"169"	"4"	"1"	"8"	"1"	"2"	"5"	"13"	"0"	"1"	"4"	"3"	"1"	"6"	"15"	"4"	"286"
"173"	"155"	"3"	"1"	"13"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22"
"174"	"156"	"31"	"13"	"285"	"11"	"1"	"17"	"8"	"1"	"3"	"7"	"3"	"5"	"1"	"11"	"0"	"5"	"15"	"2"	"419"
"175"	"157"	"137"	"119"	"36"	"8"	"3"	"107"	"12"	"2"	"3"	"4"	"7"	"9"	"4"	"1"	"1"	"11"	"45"	"3"	"512"
"176"	"158"	"66"	"36"	"126"	"16"	"8"	"25"	"12"	"3"	"10"	"10"	"3"	"4"	"4"	"7"	"3"	"29"	"30"	"6"	"398"
"177"	"159"	"54"	"19"	"69"	"5"	"5"	"47"	"9"	"0"	"4"	"0"	"4"	"5"	"6"	"2"	"0"	"57"	"32"	"2"	"320"
"178"	"160"	"138"	"13"	"163"	"19"	"5"	"25"	"4"	"4"	"1"	"5"	"3"	"6"	"7"	"14"	"5"	"12"	"45"	"7"	"476"
"179"	"161"	"193"	"10"	"66"	"11"	"8"	"66"	"12"	"13"	"14"	"42"	"10"	"16"	"11"	"6"	"4"	"39"	"29"	"2"	"552"
"180"	"162"	"44"	"1"	"184"	"3"	"3"	"8"	"0"	"0"	"0"	"0"	"1"	"5"	"2"	"1"	"2"	"0"	"4"	"0"	"258"
"181"	"163"	"93"	"35"	"276"	"32"	"12"	"45"	"109"	"2"	"11"	"2"	"5"	"3"	"8"	"17"	"1"	"15"	"10"	"1"	"677"
"182"	"164"	"18"	"0"	"217"	"5"	"0"	"7"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"17"	"1"	"274"
"183"	"165"	"83"	"18"	"280"	"30"	"9"	"24"	"9"	"2"	"7"	"5"	"3"	"22"	"6"	"11"	"5"	"8"	"43"	"5"	"570"
"184"	"166"	"79"	"17"	"258"	"7"	"0"	"13"	"3"	"0"	"1"	"0"	"2"	"4"	"6"	"14"	"1"	"4"	"22"	"15"	"446"
"185"	"167"	"131"	"8"	"234"	"4"	"0"	"11"	"4"	"0"	"1"	"0"	"3"	"0"	"0"	"9"	"0"	"3"	"19"	"6"	"433"
"186"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"BOOTH_NO"	"DAMODAR RAWAT"	"MOHAMMAD IRFAN"	"BINOD PRASAD YADAV"	"SHANKAR PRASAD"	"ASHOK SAO"	"AABID KAUSER"	"KAPILDEV RAVIDAS"	"KUNDAN KUMAR MATHURI"	"KAILASH GOSAI"	"DEONANDAN BESRA"	"PRADIP SINGH"	"RAJENDRA PRASAD"	"SAYED AFAQUE ALAM JAJBI"	"CHANDRIKA KUMAR"	"PERMESHWAR YADAV"	"BALKRISHN PANDIT"	"RAJEEV KUMAR YADAV"	"SURYAVAST"	"Total Valid Votes"
"188"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"189"	"168"	"45"	"14"	"30"	"1"	"4"	"174"	"18"	"8"	"7"	"9"	"10"	"8"	"3"	"3"	"6"	"20"	"5"	"2"	"367"
"190"	"169"	"180"	"14"	"71"	"8"	"0"	"11"	"8"	"1"	"4"	"2"	"3"	"3"	"4"	"4"	"1"	"8"	"31"	"2"	"355"
"191"	"170"	"182"	"21"	"305"	"20"	"8"	"37"	"8"	"2"	"1"	"3"	"2"	"19"	"7"	"5"	"6"	"9"	"7"	"4"	"646"
"192"	"171"	"212"	"141"	"42"	"2"	"0"	"48"	"5"	"2"	"1"	"1"	"3"	"3"	"1"	"1"	"4"	"7"	"30"	"6"	"509"
"193"	"172"	"102"	"132"	"17"	"7"	"1"	"35"	"4"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"15"	"0"	"317"
"194"	"173"	"200"	"3"	"82"	"2"	"0"	"21"	"12"	"0"	"3"	"0"	"1"	"7"	"0"	"2"	"0"	"3"	"9"	"5"	"350"
"195"	"174"	"34"	"5"	"15"	"3"	"5"	"241"	"9"	"9"	"6"	"5"	"5"	"3"	"3"	"1"	"0"	"7"	"16"	"3"	"370"
"196"	"175"	"172"	"7"	"113"	"2"	"10"	"17"	"7"	"2"	"3"	"2"	"0"	"6"	"2"	"5"	"0"	"6"	"3"	"1"	"358"
"197"	"176"	"109"	"9"	"146"	"6"	"5"	"30"	"3"	"1"	"5"	"4"	"2"	"10"	"15"	"26"	"9"	"45"	"24"	"12"	"461"
"198"	"177"	"145"	"17"	"94"	"2"	"1"	"27"	"12"	"3"	"3"	"1"	"4"	"2"	"5"	"15"	"1"	"29"	"5"	"2"	"368"
"199"	"178"	"186"	"4"	"42"	"3"	"1"	"8"	"4"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"3"	"21"	"23"	"3"	"302"
"200"	"179"	"183"	"10"	"278"	"11"	"2"	"5"	"1"	"1"	"2"	"0"	"1"	"1"	"0"	"2"	"0"	"1"	"16"	"0"	"514"
"201"	"180"	"176"	"13"	"204"	"26"	"5"	"32"	"6"	"4"	"2"	"4"	"2"	"11"	"0"	"5"	"2"	"12"	"15"	"5"	"524"
"202"	"181"	"157"	"32"	"129"	"4"	"23"	"13"	"4"	"0"	"0"	"2"	"0"	"4"	"0"	"13"	"8"	"25"	"18"	"9"	"441"
"203"	"182"	"222"	"7"	"24"	"1"	"4"	"18"	"13"	"1"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"4"	"4"	"3"	"306"
"204"	"183"	"162"	"22"	"143"	"4"	"3"	"17"	"3"	"2"	"3"	"0"	"1"	"14"	"1"	"4"	"1"	"6"	"14"	"0"	"400"
"205"	"184"	"340"	"2"	"7"	"0"	"1"	"23"	"8"	"2"	"1"	"0"	"0"	"11"	"1"	"5"	"2"	"10"	"4"	"0"	"417"
"206"	"185"	"50"	"16"	"181"	"5"	"0"	"6"	"6"	"4"	"5"	"2"	"4"	"24"	"3"	"9"	"2"	"13"	"96"	"15"	"441"
"207"	"186"	"159"	"37"	"183"	"14"	"4"	"41"	"9"	"2"	"5"	"0"	"2"	"5"	"1"	"7"	"1"	"3"	"25"	"2"	"500"
"208"	"187"	"344"	"14"	"44"	"1"	"0"	"20"	"4"	"2"	"1"	"0"	"3"	"8"	"0"	"11"	"2"	"12"	"8"	"1"	"475"
"209"	"188"	"43"	"56"	"273"	"17"	"3"	"6"	"8"	"4"	"4"	"0"	"0"	"6"	"3"	"4"	"2"	"14"	"16"	"6"	"465"
"210"	"189"	"228"	"13"	"49"	"3"	"15"	"28"	"10"	"4"	"2"	"1"	"1"	"9"	"0"	"7"	"1"	"19"	"54"	"1"	"445"
"211"	"190"	"354"	"22"	"150"	"9"	"6"	"47"	"3"	"1"	"1"	"4"	"1"	"3"	"3"	"3"	"1"	"8"	"7"	"1"	"624"
"212"	"191"	"85"	"77"	"96"	"5"	"10"	"8"	"10"	"4"	"2"	"3"	"1"	"9"	"1"	"3"	"5"	"14"	"271"	"15"	"619"
"213"	"192"	"268"	"46"	"59"	"11"	"5"	"88"	"10"	"5"	"4"	"1"	"2"	"1"	"2"	"5"	"3"	"12"	"40"	"3"	"565"
"214"	"193"	"209"	"13"	"225"	"9"	"2"	"35"	"10"	"3"	"2"	"2"	"5"	"3"	"2"	"3"	"3"	"8"	"76"	"3"	"613"
"215"	"194"	"34"	"3"	"450"	"8"	"1"	"4"	"2"	"0"	"1"	"1"	"0"	"2"	"2"	"10"	"2"	"1"	"9"	"0"	"530"
"216"	"195"	"184"	"9"	"71"	"23"	"2"	"29"	"14"	"2"	"2"	"2"	"3"	"2"	"4"	"4"	"3"	"6"	"126"	"10"	"496"
"217"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"BOOTH_NO"	"DAMODAR RAWAT"	"MOHAMMAD IRFAN"	"BINOD PRASAD YADAV"	"SHANKAR PRASAD"	"ASHOK SAO"	"AABID KAUSER"	"KAPILDEV RAVIDAS"	"KUNDAN KUMAR MATHURI"	"KAILASH GOSAI"	"DEONANDAN BESRA"	"PRADIP SINGH"	"RAJENDRA PRASAD"	"SAYED AFAQUE ALAM JAJBI"	"CHANDRIKA KUMAR"	"PERMESHWAR YADAV"	"BALKRISHN PANDIT"	"RAJEEV KUMAR YADAV"	"SURYAVAST"	"Total Valid Votes"
"219"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"220"	"196"	"162"	"95"	"106"	"9"	"3"	"25"	"16"	"3"	"2"	"1"	"1"	"2"	"2"	"6"	"2"	"10"	"15"	"1"	"461"
"221"	"197"	"191"	"10"	"207"	"15"	"5"	"16"	"3"	"1"	"4"	"2"	"2"	"0"	"4"	"5"	"2"	"6"	"20"	"3"	"496"
"222"	"198"	"93"	"11"	"181"	"6"	"4"	"12"	"4"	"0"	"3"	"0"	"3"	"3"	"2"	"7"	"2"	"4"	"10"	"1"	"346"
"223"	"199"	"98"	"3"	"6"	"6"	"1"	"6"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"1"	"128"
"224"	"200"	"141"	"5"	"336"	"8"	"3"	"0"	"29"	"2"	"12"	"2"	"2"	"8"	"9"	"15"	"8"	"9"	"20"	"11"	"620"
"225"	"201"	"177"	"8"	"217"	"6"	"180"	"42"	"5"	"3"	"7"	"1"	"7"	"5"	"5"	"6"	"4"	"24"	"29"	"3"	"729"
"226"	"202"	"174"	"12"	"237"	"12"	"147"	"41"	"10"	"2"	"4"	"2"	"5"	"9"	"2"	"3"	"5"	"18"	"16"	"1"	"700"
"227"	"203"	"401"	"25"	"86"	"0"	"4"	"27"	"1"	"9"	"0"	"0"	"3"	"2"	"1"	"3"	"1"	"7"	"33"	"38"	"641"
"228"	"204"	"329"	"9"	"23"	"2"	"2"	"27"	"3"	"2"	"4"	"0"	"0"	"2"	"1"	"1"	"0"	"2"	"18"	"1"	"426"
"229"	"205"	"170"	"95"	"35"	"1"	"2"	"49"	"6"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"18"	"9"	"393"
"230"	"206"	"230"	"30"	"19"	"1"	"1"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"16"	"2"	"328"
"231"	"207"	"359"	"11"	"25"	"2"	"2"	"62"	"8"	"1"	"0"	"1"	"3"	"0"	"0"	"2"	"3"	"9"	"22"	"1"	"511"
"232"	"208"	"141"	"11"	"26"	"0"	"4"	"22"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"8"	"20"	"0"	"237"
"233"	"209"	"359"	"15"	"24"	"1"	"5"	"58"	"2"	"3"	"0"	"1"	"4"	"3"	"0"	"2"	"2"	"28"	"84"	"3"	"594"
"234"	"210"	"199"	"3"	"20"	"4"	"1"	"39"	"5"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"0"	"3"	"64"	"3"	"346"
"235"	"211"	"234"	"12"	"76"	"3"	"4"	"55"	"0"	"3"	"2"	"1"	"16"	"1"	"1"	"2"	"1"	"6"	"51"	"0"	"468"
"236"	"212"	"188"	"5"	"145"	"3"	"11"	"43"	"2"	"2"	"3"	"0"	"0"	"4"	"8"	"8"	"5"	"8"	"107"	"7"	"549"
"237"	"213"	"257"	"25"	"37"	"5"	"6"	"45"	"6"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"9"	"37"	"0"	"431"
"238"	"214"	"183"	"91"	"22"	"4"	"5"	"41"	"11"	"8"	"3"	"4"	"2"	"5"	"3"	"5"	"3"	"15"	"71"	"3"	"479"
"239"	"215"	"294"	"12"	"102"	"0"	"3"	"40"	"2"	"0"	"1"	"0"	"4"	"3"	"2"	"1"	"5"	"1"	"27"	"1"	"498"
"240"	"216"	"190"	"22"	"23"	"1"	"2"	"35"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"3"	"35"	"0"	"317"
"241"	"217"	"206"	"19"	"39"	"0"	"5"	"42"	"0"	"0"	"1"	"0"	"5"	"0"	"0"	"1"	"1"	"3"	"66"	"1"	"389"
"242"	"218"	"97"	"17"	"28"	"0"	"5"	"18"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"24"	"0"	"197"
"243"	"219"	"90"	"247"	"93"	"2"	"3"	"30"	"2"	"0"	"2"	"0"	"5"	"0"	"1"	"5"	"0"	"6"	"15"	"1"	"502"
"244"	"220"	"69"	"110"	"32"	"3"	"2"	"11"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"39"	"1"	"271"
"245"	"221"	"283"	"4"	"67"	"5"	"5"	"25"	"10"	"1"	"2"	"2"	"4"	"64"	"5"	"4"	"2"	"7"	"2"	"2"	"494"
"246"	"222"	"143"	"197"	"75"	"5"	"3"	"20"	"3"	"1"	"0"	"0"	"1"	"2"	"4"	"2"	"2"	"2"	"12"	"1"	"473"
"247"	"223"	"150"	"70"	"411"	"12"	"6"	"14"	"8"	"4"	"1"	"0"	"3"	"3"	"4"	"2"	"0"	"6"	"13"	"2"	"709"
"248"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"BOOTH_NO"	"DAMODAR RAWAT"	"MOHAMMAD IRFAN"	"BINOD PRASAD YADAV"	"SHANKAR PRASAD"	"ASHOK SAO"	"AABID KAUSER"	"KAPILDEV RAVIDAS"	"KUNDAN KUMAR MATHURI"	"KAILASH GOSAI"	"DEONANDAN BESRA"	"PRADIP SINGH"	"RAJENDRA PRASAD"	"SAYED AFAQUE ALAM JAJBI"	"CHANDRIKA KUMAR"	"PERMESHWAR YADAV"	"BALKRISHN PANDIT"	"RAJEEV KUMAR YADAV"	"SURYAVAST"	"Total Valid Votes"
"250"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"251"	"224"	"35"	"183"	"58"	"2"	"1"	"9"	"0"	"1"	"0"	"3"	"1"	"3"	"0"	"2"	"4"	"2"	"4"	"1"	"309"
"252"	"225"	"130"	"11"	"29"	"1"	"0"	"10"	"34"	"0"	"0"	"0"	"3"	"7"	"0"	"0"	"0"	"0"	"4"	"1"	"230"
"253"	"226"	"285"	"190"	"39"	"8"	"3"	"50"	"112"	"2"	"5"	"6"	"8"	"7"	"2"	"8"	"7"	"13"	"3"	"1"	"749"
"254"	"227"	"498"	"18"	"66"	"31"	"6"	"54"	"15"	"4"	"2"	"2"	"4"	"2"	"3"	"7"	"0"	"9"	"5"	"1"	"727"
"255"	"228"	"142"	"232"	"141"	"7"	"5"	"41"	"7"	"8"	"5"	"4"	"3"	"9"	"2"	"6"	"4"	"27"	"63"	"16"	"722"
"256"	"229"	"241"	"4"	"38"	"5"	"4"	"51"	"9"	"3"	"1"	"2"	"9"	"1"	"2"	"2"	"0"	"19"	"18"	"3"	"412"
"257"	"230"	"125"	"1"	"116"	"11"	"20"	"26"	"4"	"3"	"9"	"0"	"4"	"6"	"4"	"5"	"3"	"14"	"18"	"3"	"372"
"258"	"231"	"25"	"4"	"93"	"2"	"1"	"4"	"4"	"0"	"1"	"0"	"1"	"0"	"5"	"5"	"0"	"1"	"17"	"1"	"164"
"259"	"232"	"163"	"10"	"383"	"9"	"4"	"28"	"6"	"11"	"3"	"3"	"3"	"3"	"3"	"6"	"2"	"23"	"55"	"3"	"718"
"260"	"233"	"101"	"360"	"97"	"7"	"11"	"56"	"8"	"3"	"8"	"1"	"3"	"1"	"4"	"4"	"5"	"10"	"11"	"7"	"697"
"261"	"234"	"198"	"46"	"161"	"4"	"1"	"32"	"1"	"0"	"5"	"2"	"4"	"4"	"3"	"3"	"1"	"10"	"9"	"6"	"490"
"262"	"235"	"130"	"16"	"387"	"12"	"6"	"26"	"5"	"3"	"3"	"2"	"2"	"5"	"7"	"11"	"3"	"9"	"17"	"1"	"645"
"263"	"236"	"42"	"25"	"254"	"10"	"6"	"11"	"3"	"3"	"0"	"3"	"0"	"4"	"1"	"6"	"2"	"8"	"39"	"7"	"424"
"264"	"237"	"127"	"22"	"231"	"8"	"3"	"17"	"7"	"3"	"3"	"4"	"2"	"1"	"1"	"5"	"1"	"8"	"20"	"0"	"463"
"265"	"238"	"187"	"110"	"372"	"12"	"2"	"31"	"4"	"3"	"1"	"1"	"0"	"1"	"4"	"2"	"2"	"1"	"11"	"0"	"744"
"266"	"239"	"216"	"12"	"89"	"145"	"18"	"57"	"15"	"1"	"4"	"2"	"3"	"2"	"10"	"5"	"6"	"22"	"36"	"4"	"647"
"267"	"240"	"247"	"86"	"137"	"55"	"3"	"52"	"9"	"3"	"4"	"1"	"3"	"4"	"14"	"10"	"4"	"19"	"18"	"11"	"680"
"268"	"241"	"187"	"15"	"86"	"127"	"19"	"22"	"7"	"3"	"2"	"0"	"3"	"2"	"3"	"2"	"1"	"4"	"4"	"2"	"489"
"269"	"242"	"73"	"11"	"104"	"5"	"3"	"186"	"19"	"4"	"1"	"30"	"8"	"1"	"1"	"2"	"2"	"6"	"14"	"6"	"476"
"270"	"243"	"180"	"6"	"96"	"15"	"7"	"32"	"3"	"1"	"1"	"1"	"1"	"4"	"5"	"3"	"1"	"6"	"9"	"4"	"375"
"271"	"244"	"202"	"2"	"6"	"4"	"1"	"87"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"5"	"1"	"314"
"272"	"245"	"25"	"3"	"1"	"0"	"0"	"25"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"55"
"273"	"246"	"178"	"10"	"20"	"1"	"1"	"152"	"5"	"4"	"2"	"2"	"2"	"3"	"1"	"2"	"1"	"14"	"30"	"6"	"434"
"274"	"247"	"52"	"21"	"71"	"4"	"9"	"465"	"29"	"5"	"4"	"4"	"8"	"3"	"2"	"2"	"3"	"13"	"13"	"6"	"714"
"275"	"248"	"164"	"11"	"64"	"17"	"5"	"230"	"42"	"11"	"11"	"7"	"16"	"7"	"11"	"14"	"6"	"41"	"16"	"1"	"674"
"276"	"249"	"108"	"12"	"153"	"8"	"4"	"199"	"10"	"7"	"4"	"0"	"3"	"4"	"0"	"1"	"0"	"15"	"7"	"5"	"540"
"277"	"250"	"133"	"49"	"130"	"25"	"7"	"34"	"6"	"4"	"7"	"3"	"3"	"2"	"6"	"7"	"8"	"57"	"2"	"1"	"484"
"278"	"251"	"139"	"26"	"216"	"7"	"7"	"54"	"7"	"1"	"3"	"3"	"4"	"3"	"2"	"8"	"3"	"18"	"18"	"12"	"531"
"279"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"BOOTH_NO"	"DAMODAR RAWAT"	"MOHAMMAD IRFAN"	"BINOD PRASAD YADAV"	"SHANKAR PRASAD"	"ASHOK SAO"	"AABID KAUSER"	"KAPILDEV RAVIDAS"	"KUNDAN KUMAR MATHURI"	"KAILASH GOSAI"	"DEONANDAN BESRA"	"PRADIP SINGH"	"RAJENDRA PRASAD"	"SAYED AFAQUE ALAM JAJBI"	"CHANDRIKA KUMAR"	"PERMESHWAR YADAV"	"BALKRISHN PANDIT"	"RAJEEV KUMAR YADAV"	"SURYAVAST"	"Total Valid Votes"
"281"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"282"	"252"	"133"	"40"	"98"	"9"	"3"	"47"	"13"	"2"	"3"	"6"	"1"	"2"	"7"	"6"	"2"	"4"	"6"	"6"	"388"
"283"	"253"	"71"	"194"	"35"	"3"	"0"	"50"	"12"	"7"	"0"	"2"	"4"	"1"	"6"	"7"	"3"	"4"	"21"	"8"	"428"
"284"	"254"	"156"	"29"	"118"	"32"	"12"	"25"	"7"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"4"	"11"	"2"	"400"
"285"	"255"	"29"	"2"	"84"	"4"	"2"	"5"	"3"	"0"	"1"	"0"	"1"	"2"	"1"	"4"	"0"	"4"	"10"	"2"	"154"
"286"	"256"	"166"	"157"	"56"	"7"	"1"	"77"	"9"	"6"	"3"	"3"	"3"	"7"	"9"	"20"	"6"	"25"	"5"	"3"	"563"
"287"	"257"	"66"	"203"	"101"	"10"	"2"	"25"	"10"	"4"	"3"	"3"	"4"	"3"	"6"	"8"	"5"	"8"	"12"	"10"	"483"
"288"	"258"	"146"	"36"	"94"	"6"	"6"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"18"	"1"	"318"
"289"	"259"	"52"	"9"	"118"	"6"	"7"	"19"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"7"	"2"	"227"
"290"	"260"	"118"	"12"	"187"	"13"	"5"	"43"	"9"	"1"	"6"	"6"	"1"	"1"	"3"	"7"	"2"	"29"	"9"	"3"	"455"
"291"	"261"	"109"	"44"	"161"	"9"	"23"	"29"	"1"	"2"	"1"	"2"	"6"	"1"	"5"	"8"	"3"	"5"	"5"	"4"	"418"
"292"	"262"	"218"	"9"	"85"	"42"	"4"	"43"	"11"	"2"	"1"	"1"	"1"	"3"	"4"	"6"	"2"	"4"	"9"	"5"	"450"
"293"	"263"	"69"	"2"	"73"	"0"	"1"	"16"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"3"	"0"	"1"	"2"	"2"	"174"
"294"	"264"	"289"	"18"	"30"	"55"	"4"	"63"	"5"	"4"	"0"	"0"	"3"	"4"	"0"	"3"	"1"	"23"	"1"	"1"	"504"
"295"	"265"	"295"	"14"	"18"	"2"	"9"	"45"	"2"	"0"	"1"	"2"	"0"	"1"	"1"	"1"	"1"	"3"	"12"	"0"	"407"
"296"	"266"	"283"	"65"	"33"	"9"	"22"	"56"	"7"	"2"	"3"	"0"	"2"	"3"	"2"	"2"	"5"	"13"	"8"	"4"	"519"
"297"	"267"	"440"	"2"	"12"	"1"	"3"	"21"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"5"	"3"	"0"	"490"
"298"	"268"	"91"	"57"	"87"	"15"	"3"	"35"	"13"	"5"	"5"	"2"	"0"	"1"	"5"	"0"	"2"	"7"	"2"	"2"	"332"
"299"	"Total"	"48080"	"8286"	"37876"	"2927"	"1664"	"8736"	"1781"	"541"	"772"	"580"	"607"	"947"	"770"	"1475"	"604"	"3066"	"4430"	"968"	"124110"
"300"	"Postal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"301"	"Gtotal"	"48080"	"8286"	"37876"	"2927"	"1664"	"8736"	"1781"	"541"	"772"	"580"	"607"	"947"	"770"	"1475"	"604"	"3066"	"4430"	"968"	"124110"
