"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"103&  Hkksj s  ¼v -t k-½  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"166"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"167"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"168"	"111"	"251"	"134"	"42"	"33"	"2"	"5"	"79"	"4"	"6"	"5"	"5"	"31"	"597"	""	"597"	""
"169"	"112"	"71"	"69"	"8"	"4"	"1"	"2"	"70"	"3"	"2"	"2"	"1"	"12"	"245"	""	"245"	""
"170"	"113"	"98"	"135"	"5"	"1"	"0"	"1"	"2"	"2"	"1"	"2"	"2"	"3"	"252"	""	"252"	""
"171"	"114"	"72"	"184"	"46"	"13"	"1"	"2"	"8"	"3"	"8"	"4"	"19"	"36"	"396"	""	"396"	""
"172"	"115"	"96"	"153"	"18"	"13"	"2"	"3"	"6"	"0"	"6"	"1"	"3"	"5"	"306"	""	"306"	""
"173"	"116"	"43"	"100"	"46"	"18"	"4"	"3"	"4"	"1"	"0"	"5"	"10"	"4"	"238"	""	"238"	""
"174"	"117"	"78"	"218"	"24"	"17"	"2"	"5"	"7"	"1"	"3"	"10"	"5"	"15"	"385"	""	"385"	""
"175"	"118"	"72"	"255"	"17"	"7"	"1"	"2"	"2"	"1"	"17"	"1"	"8"	"10"	"393"	""	"393"	""
"176"	"119"	"33"	"148"	"44"	"4"	"3"	"2"	"69"	"3"	"2"	"6"	"3"	"4"	"321"	""	"321"	""
"177"	"119¼d½"	"90"	"205"	"30"	"17"	"3"	"11"	"76"	"5"	"4"	"4"	"9"	"7"	"461"	""	"461"	""
"178"	"120"	"78"	"231"	"156"	"16"	"10"	"5"	"50"	"1"	"12"	"5"	"9"	"5"	"578"	""	"578"	""
"179"	"121"	"33"	"35"	"39"	"2"	"3"	"3"	"20"	"0"	"7"	"3"	"7"	"21"	"173"	""	"173"	""
"180"	"122"	"112"	"222"	"47"	"7"	"6"	"5"	"2"	"3"	"52"	"2"	"3"	"9"	"470"	""	"470"	""
"181"	"123"	"58"	"302"	"89"	"12"	"5"	"4"	"40"	"8"	"9"	"13"	"22"	"46"	"608"	""	"608"	""
"182"	"; ksx"	"1185"	"2391"	"611"	"164"	"43"	"53"	"435"	"35"	"129"	"63"	"106"	"208"	"5423"	""	"5423"	""
"183"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"6914"	"22290"	"7556"	"2431"	"292"	"391"	"1466"	"303"	"766"	"586"	"1151"	"1576"	"45722"	""	"45722"	""
"184"	"d qy  ; ksx"	"8099"	"24681"	"8167"	"2595"	"335"	"444"	"1901"	"338"	"895"	"649"	"1257"	"1784"	"51145"	""	"51145"	""
"185"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"186"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"187"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"188"	"124"	"29"	"99"	"52"	"5"	"0"	"1"	"28"	"0"	"2"	"2"	"4"	"0"	"222"	""	"222"	""
"189"	"125"	"38"	"329"	"62"	"11"	"7"	"6"	"109"	"9"	"6"	"8"	"20"	"47"	"652"	""	"652"	""
"190"	"126"	"44"	"126"	"56"	"12"	"1"	"5"	"78"	"4"	"2"	"5"	"4"	"12"	"349"	""	"349"	""
"191"	"127"	"185"	"307"	"28"	"12"	"5"	"7"	"45"	"3"	"5"	"3"	"5"	"30"	"635"	""	"635"	""
"192"	"128"	"47"	"201"	"9"	"0"	"1"	"5"	"36"	"1"	"0"	"3"	"3"	"3"	"309"	""	"309"	""
"193"	"129"	"25"	"230"	"68"	"4"	"6"	"11"	"78"	"2"	"4"	"8"	"17"	"29"	"482"	""	"482"	""
"194"	"130"	"60"	"80"	"68"	"4"	"2"	"0"	"1"	"0"	"1"	"2"	"8"	"18"	"244"	""	"244"	""
"195"	"131"	"13"	"232"	"32"	"4"	"0"	"1"	"10"	"0"	"1"	"0"	"2"	"6"	"301"	""	"301"	""
"196"	"132"	"84"	"252"	"112"	"6"	"6"	"5"	"22"	"0"	"26"	"5"	"16"	"16"	"550"	""	"550"	""
"197"	"133"	"14"	"154"	"83"	"3"	"2"	"6"	"75"	"3"	"24"	"10"	"9"	"24"	"407"	""	"407"	""
"198"	"134"	"24"	"28"	"87"	"5"	"3"	"0"	"37"	"0"	"2"	"5"	"4"	"2"	"197"	""	"197"	""
"199"	"135"	"322"	"177"	"83"	"6"	"6"	"5"	"29"	"2"	"3"	"7"	"5"	"20"	"665"	""	"665"	""
"200"	"136"	"58"	"253"	"113"	"6"	"10"	"21"	"154"	"12"	"10"	"8"	"18"	"32"	"695"	""	"695"	""
"201"	"137"	"20"	"130"	"58"	"4"	"0"	"11"	"77"	"5"	"7"	"10"	"6"	"13"	"341"	""	"341"	""
"202"	"; ksx"	"963"	"2598"	"911"	"82"	"49"	"84"	"779"	"41"	"93"	"76"	"121"	"252"	"6049"	""	"6049"	""
"203"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"8099"	"24681"	"8167"	"2595"	"335"	"444"	"1901"	"338"	"895"	"649"	"1257"	"1784"	"51145"	""	"51145"	""
"204"	"d qy  ; ksx"	"9062"	"27279"	"9078"	"2677"	"384"	"528"	"2680"	"379"	"988"	"725"	"1378"	"2036"	"57194"	""	"57194"	""
"205"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"206"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"207"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"208"	"138"	"247"	"210"	"12"	"11"	"1"	"6"	"14"	"2"	"5"	"4"	"6"	"21"	"539"	""	"539"	""
"209"	"139"	"234"	"244"	"19"	"59"	"2"	"1"	"1"	"4"	"14"	"3"	"5"	"23"	"609"	""	"609"	""
"210"	"140"	"24"	"53"	"4"	"5"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"2"	"93"	""	"93"	""
"211"	"141"	"465"	"73"	"5"	"2"	"1"	"1"	"0"	"2"	"6"	"1"	"3"	"34"	"593"	""	"593"	""
"212"	"142"	"69"	"334"	"38"	"9"	"1"	"5"	"133"	"3"	"8"	"5"	"11"	"17"	"633"	""	"633"	""
"213"	"143"	"94"	"191"	"145"	"13"	"2"	"3"	"6"	"0"	"14"	"6"	"7"	"12"	"493"	""	"493"	""
"214"	"144"	"41"	"392"	"140"	"5"	"2"	"2"	"11"	"2"	"10"	"5"	"17"	"38"	"665"	""	"665"	""
"215"	"145"	"72"	"225"	"20"	"2"	"1"	"0"	"3"	"0"	"3"	"0"	"4"	"4"	"334"	""	"334"	""
"216"	"146"	"77"	"314"	"98"	"7"	"5"	"6"	"21"	"5"	"22"	"12"	"16"	"25"	"608"	""	"608"	""
"217"	"147"	"121"	"219"	"148"	"11"	"2"	"9"	"12"	"1"	"4"	"4"	"10"	"8"	"549"	""	"549"	""
"218"	"148"	"40"	"313"	"23"	"7"	"8"	"13"	"65"	"4"	"7"	"8"	"11"	"20"	"519"	""	"519"	""
"219"	"149"	"46"	"194"	"37"	"5"	"0"	"1"	"20"	"1"	"2"	"3"	"1"	"2"	"312"	""	"312"	""
"220"	"150"	"14"	"161"	"84"	"2"	"0"	"0"	"10"	"0"	"1"	"2"	"4"	"4"	"282"	""	"282"	""
"221"	"151"	"40"	"360"	"73"	"3"	"1"	"2"	"18"	"0"	"3"	"1"	"0"	"3"	"504"	""	"504"	""
"222"	"; ksx"	"1584"	"3283"	"846"	"141"	"26"	"50"	"314"	"24"	"101"	"55"	"96"	"213"	"6733"	""	"6733"	""
"223"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"9062"	"27279"	"9078"	"2677"	"384"	"528"	"2680"	"379"	"988"	"725"	"1378"	"2036"	"57194"	""	"57194"	""
"224"	"d qy  ; ksx"	"10646"	"30562"	"9924"	"2818"	"410"	"578"	"2994"	"403"	"1089"	"780"	"1474"	"2249"	"63927"	""	"63927"	""
"225"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"226"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"228"	"152"	"56"	"24"	"124"	"5"	"1"	"4"	"0"	"1"	"2"	"2"	"6"	"19"	"244"	""	"244"	""
"229"	"153"	"2"	"213"	"90"	"5"	"2"	"3"	"20"	"2"	"1"	"6"	"4"	"14"	"362"	""	"362"	""
"230"	"154"	"16"	"76"	"97"	"5"	"1"	"3"	"17"	"2"	"6"	"10"	"3"	"9"	"245"	""	"245"	""
"231"	"155"	"49"	"85"	"116"	"14"	"13"	"21"	"171"	"8"	"7"	"12"	"5"	"12"	"513"	""	"513"	""
"232"	"156"	"16"	"188"	"108"	"5"	"2"	"2"	"5"	"4"	"3"	"7"	"15"	"13"	"368"	""	"368"	""
"233"	"157"	"129"	"158"	"76"	"14"	"15"	"5"	"31"	"2"	"1"	"3"	"14"	"8"	"456"	""	"456"	""
"234"	"158"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"235"	"159"	"60"	"104"	"34"	"3"	"0"	"2"	"2"	"0"	"0"	"3"	"5"	"9"	"222"	""	"222"	""
"236"	"160"	"41"	"145"	"102"	"13"	"5"	"15"	"93"	"3"	"5"	"5"	"6"	"6"	"439"	""	"439"	""
"237"	"161"	"15"	"113"	"7"	"1"	"5"	"28"	"509"	"20"	"12"	"8"	"11"	"16"	"745"	""	"745"	""
"238"	"162"	"13"	"33"	"46"	"3"	"3"	"19"	"164"	"6"	"9"	"3"	"6"	"10"	"315"	""	"315"	""
"239"	"163"	"40"	"94"	"80"	"9"	"3"	"22"	"181"	"8"	"12"	"6"	"13"	"25"	"493"	""	"493"	""
"240"	"164"	"32"	"225"	"65"	"5"	"7"	"11"	"148"	"4"	"8"	"10"	"6"	"11"	"532"	""	"532"	""
"241"	"165"	"50"	"274"	"78"	"7"	"7"	"16"	"83"	"7"	"5"	"8"	"20"	"27"	"582"	""	"582"	""
"242"	"; ksx"	"519"	"1732"	"1023"	"89"	"64"	"151"	"1424"	"67"	"71"	"83"	"114"	"179"	"5516"	""	"5516"	""
"243"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"10646"	"30562"	"9924"	"2818"	"410"	"578"	"2994"	"403"	"1089"	"780"	"1474"	"2249"	"63927"	""	"63927"	""
"244"	"d qy  ; ksx"	"11165"	"32294"	"10947"	"2907"	"474"	"729"	"4418"	"470"	"1160"	"863"	"1588"	"2428"	"69443"	""	"69443"	""
"245"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"246"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"247"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"248"	"166"	"48"	"218"	"36"	"10"	"9"	"31"	"287"	"7"	"11"	"3"	"9"	"9"	"678"	""	"678"	""
"249"	"167"	"7"	"26"	"4"	"3"	"3"	"6"	"168"	"3"	"2"	"0"	"1"	"2"	"225"	""	"225"	""
"250"	"168"	"18"	"31"	"102"	"5"	"4"	"13"	"282"	"4"	"7"	"6"	"3"	"4"	"479"	""	"479"	""
"251"	"169"	"70"	"284"	"34"	"13"	"7"	"16"	"109"	"7"	"5"	"10"	"25"	"23"	"603"	""	"603"	""
"252"	"170"	"60"	"72"	"119"	"2"	"4"	"2"	"25"	"2"	"3"	"3"	"10"	"9"	"311"	""	"311"	""
"253"	"171"	"18"	"305"	"41"	"4"	"2"	"11"	"64"	"5"	"2"	"2"	"12"	"14"	"480"	""	"480"	""
"254"	"172"	"6"	"172"	"36"	"6"	"7"	"2"	"2"	"8"	"3"	"3"	"14"	"10"	"269"	""	"269"	""
"255"	"173"	"114"	"376"	"33"	"15"	"3"	"7"	"10"	"2"	"58"	"9"	"12"	"15"	"654"	""	"654"	""
"256"	"174"	"76"	"229"	"45"	"3"	"2"	"6"	"13"	"2"	"28"	"4"	"10"	"19"	"437"	""	"437"	""
"257"	"175"	"18"	"215"	"49"	"42"	"4"	"5"	"61"	"2"	"11"	"1"	"6"	"2"	"416"	""	"416"	""
"258"	"176"	"17"	"149"	"97"	"9"	"1"	"2"	"29"	"2"	"4"	"3"	"10"	"9"	"332"	""	"332"	""
"259"	"177"	"22"	"151"	"56"	"25"	"2"	"3"	"10"	"6"	"9"	"7"	"8"	"10"	"309"	""	"309"	""
"260"	"178"	"29"	"108"	"117"	"4"	"2"	"1"	"1"	"0"	"1"	"3"	"4"	"1"	"271"	""	"271"	""
"261"	"179"	"59"	"315"	"145"	"25"	"7"	"7"	"40"	"3"	"8"	"14"	"24"	"28"	"675"	""	"675"	""
"262"	"; ksx"	"562"	"2651"	"914"	"166"	"57"	"112"	"1101"	"53"	"152"	"68"	"148"	"155"	"6139"	""	"6139"	""
"263"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"11165"	"32294"	"10947"	"2907"	"474"	"729"	"4418"	"470"	"1160"	"863"	"1588"	"2428"	"69443"	""	"69443"	""
"264"	"d qy  ; ksx"	"11727"	"34945"	"11861"	"3073"	"531"	"841"	"5519"	"523"	"1312"	"931"	"1736"	"2583"	"75582"	""	"75582"	""
"265"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"266"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"267"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"268"	"180"	"54"	"307"	"191"	"9"	"7"	"4"	"6"	"5"	"3"	"6"	"17"	"21"	"630"	""	"630"	""
"269"	"181"	"85"	"220"	"90"	"7"	"5"	"8"	"10"	"3"	"12"	"31"	"15"	"14"	"500"	""	"500"	""
"270"	"182"	"110"	"294"	"151"	"11"	"7"	"8"	"13"	"6"	"10"	"12"	"21"	"28"	"671"	""	"671"	""
"271"	"183"	"57"	"225"	"53"	"6"	"1"	"5"	"33"	"3"	"12"	"2"	"10"	"18"	"425"	""	"425"	""
"272"	"184"	"29"	"95"	"135"	"13"	"6"	"7"	"67"	"4"	"18"	"13"	"11"	"25"	"423"	""	"423"	""
"273"	"185"	"21"	"343"	"95"	"4"	"3"	"7"	"13"	"2"	"14"	"7"	"3"	"22"	"534"	""	"534"	""
"274"	"186"	"48"	"252"	"19"	"6"	"4"	"13"	"105"	"6"	"18"	"1"	"3"	"11"	"486"	""	"486"	""
"275"	"187"	"6"	"167"	"15"	"3"	"4"	"4"	"38"	"2"	"2"	"2"	"2"	"2"	"247"	""	"247"	""
"276"	"188"	"41"	"388"	"40"	"7"	"6"	"9"	"55"	"3"	"12"	"5"	"24"	"31"	"621"	""	"621"	""
"277"	"189"	"9"	"128"	"33"	"10"	"0"	"2"	"64"	"5"	"6"	"2"	"3"	"8"	"270"	""	"270"	""
"278"	"190"	"29"	"205"	"93"	"9"	"2"	"10"	"158"	"3"	"2"	"4"	"7"	"7"	"529"	""	"529"	""
"279"	"191"	"47"	"423"	"46"	"4"	"6"	"8"	"20"	"9"	"6"	"7"	"27"	"68"	"671"	""	"671"	""
"280"	"192"	"7"	"64"	"106"	"4"	"3"	"6"	"109"	"8"	"4"	"2"	"9"	"14"	"336"	""	"336"	""
"281"	"193"	"44"	"501"	"74"	"11"	"4"	"8"	"41"	"5"	"8"	"9"	"21"	"18"	"744"	""	"744"	""
"282"	"; ksx"	"587"	"3612"	"1141"	"104"	"58"	"99"	"732"	"64"	"127"	"103"	"173"	"287"	"7087"	""	"7087"	""
"283"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"11727"	"34945"	"11861"	"3073"	"531"	"841"	"5519"	"523"	"1312"	"931"	"1736"	"2583"	"75582"	""	"75582"	""
"284"	"d qy  ; ksx"	"12314"	"38557"	"13002"	"3177"	"589"	"940"	"6251"	"587"	"1439"	"1034"	"1909"	"2870"	"82669"	""	"82669"	""
"285"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"286"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"287"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"288"	"194"	"15"	"193"	"170"	"6"	"6"	"3"	"9"	"5"	"1"	"10"	"21"	"24"	"463"	""	"463"	""
"289"	"195"	"22"	"303"	"156"	"3"	"5"	"5"	"1"	"2"	"0"	"2"	"5"	"8"	"512"	""	"512"	""
"290"	"196"	"2"	"31"	"195"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"234"	""	"234"	""
"291"	"197"	"24"	"315"	"34"	"5"	"5"	"10"	"98"	"2"	"7"	"7"	"17"	"28"	"552"	""	"552"	""
"292"	"198"	"22"	"331"	"52"	"14"	"5"	"1"	"21"	"3"	"4"	"8"	"19"	"8"	"488"	""	"488"	""
"293"	"199"	"19"	"195"	"33"	"5"	"3"	"7"	"48"	"1"	"1"	"5"	"14"	"19"	"350"	""	"350"	""
"294"	"200"	"25"	"282"	"19"	"5"	"1"	"5"	"7"	"0"	"2"	"0"	"2"	"3"	"351"	""	"351"	""
"295"	"201"	"33"	"376"	"72"	"11"	"7"	"6"	"8"	"2"	"6"	"5"	"20"	"30"	"576"	""	"576"	""
"296"	"202"	"36"	"200"	"41"	"17"	"3"	"1"	"8"	"0"	"1"	"0"	"2"	"7"	"316"	""	"316"	""
"297"	"203"	"57"	"547"	"25"	"12"	"4"	"10"	"10"	"5"	"3"	"9"	"12"	"22"	"716"	""	"716"	""
"298"	"204"	"43"	"343"	"76"	"5"	"1"	"7"	"47"	"4"	"4"	"6"	"9"	"29"	"574"	""	"574"	""
"299"	"205"	"13"	"103"	"25"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	"149"	""	"149"	""
"300"	"206"	"23"	"116"	"13"	"11"	"2"	"2"	"8"	"1"	"2"	"1"	"2"	"10"	"191"	""	"191"	""
"301"	"207"	"29"	"274"	"232"	"13"	"2"	"3"	"1"	"2"	"1"	"6"	"12"	"11"	"586"	""	"586"	""
"302"	"; ksx"	"363"	"3609"	"1143"	"111"	"44"	"62"	"266"	"28"	"33"	"60"	"137"	"202"	"6058"	""	"6058"	""
"303"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"12314"	"38557"	"13002"	"3177"	"589"	"940"	"6251"	"587"	"1439"	"1034"	"1909"	"2870"	"82669"	""	"82669"	""
"304"	"d qy  ; ksx"	"12677"	"42166"	"14145"	"3288"	"633"	"1002"	"6517"	"615"	"1472"	"1094"	"2046"	"3072"	"88727"	""	"88727"	""
"305"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"306"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"307"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"308"	"208"	"39"	"314"	"117"	"34"	"2"	"2"	"25"	"3"	"4"	"2"	"6"	"9"	"557"	""	"557"	""
"309"	"209"	"179"	"261"	"48"	"3"	"0"	"2"	"34"	"1"	"6"	"1"	"0"	"4"	"539"	""	"539"	""
"310"	"210"	"12"	"229"	"30"	"4"	"1"	"2"	"5"	"1"	"0"	"8"	"15"	"20"	"327"	""	"327"	""
"311"	"211"	"28"	"380"	"23"	"9"	"8"	"7"	"21"	"4"	"3"	"5"	"19"	"14"	"521"	""	"521"	""
"312"	"212"	"12"	"210"	"61"	"6"	"4"	"9"	"115"	"6"	"7"	"8"	"16"	"26"	"480"	""	"480"	""
"313"	"213"	"56"	"452"	"53"	"9"	"3"	"2"	"3"	"1"	"7"	"3"	"10"	"15"	"614"	""	"614"	""
"314"	"214"	"15"	"204"	"15"	"1"	"2"	"0"	"0"	"2"	"2"	"2"	"10"	"10"	"263"	""	"263"	""
"315"	"215"	"24"	"258"	"16"	"0"	"4"	"2"	"6"	"1"	"14"	"6"	"13"	"21"	"365"	""	"365"	""
"316"	"216"	"35"	"236"	"172"	"8"	"1"	"4"	"30"	"1"	"8"	"7"	"9"	"13"	"524"	""	"524"	""
"317"	"217"	"14"	"431"	"28"	"3"	"0"	"2"	"15"	"1"	"9"	"1"	"6"	"7"	"517"	""	"517"	""
"318"	"218"	"32"	"296"	"63"	"2"	"4"	"8"	"30"	"3"	"11"	"5"	"8"	"14"	"476"	""	"476"	""
"319"	"219"	"20"	"130"	"15"	"1"	"0"	"3"	"11"	"1"	"1"	"1"	"8"	"13"	"204"	""	"204"	""
"320"	"220"	"36"	"262"	"27"	"4"	"3"	"5"	"12"	"3"	"51"	"5"	"9"	"8"	"425"	""	"425"	""
"321"	"221"	"52"	"518"	"84"	"10"	"2"	"5"	"36"	"3"	"14"	"12"	"25"	"32"	"793"	""	"793"	""
"322"	"; ksx"	"554"	"4181"	"752"	"94"	"34"	"53"	"343"	"31"	"137"	"66"	"154"	"206"	"6605"	""	"6605"	""
"323"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"12677"	"42166"	"14145"	"3288"	"633"	"1002"	"6517"	"615"	"1472"	"1094"	"2046"	"3072"	"88727"	""	"88727"	""
"324"	"d qy  ; ksx"	"13231"	"46347"	"14897"	"3382"	"667"	"1055"	"6860"	"646"	"1609"	"1160"	"2200"	"3278"	"95332"	""	"95332"	""
"325"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"326"	""	"vuhy  dqekj"	"bnznso eka>h"	"cPpu nkl"	"l R; t hr
dqekj"	"l qj sUnz j ke"	"vfuy  dqekj
j ke"	"ft r sUnz ek¡>h"	"fnfXot ;
dqekj"	"i q\"i k nsoh"	"fcuhr k oSBk"	"foU/k; kpy  j ke"	"f' kodyh nsoh"	""	""	""	""
"327"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"328"	"222"	"13"	"178"	"49"	"5"	"0"	"2"	"2"	"2"	"9"	"4"	"8"	"10"	"282"	""	"282"	""
"329"	"223"	"26"	"136"	"123"	"21"	"1"	"17"	"147"	"5"	"10"	"9"	"21"	"34"	"550"	""	"550"	""
"330"	"224"	"12"	"140"	"103"	"1"	"0"	"3"	"2"	"0"	"17"	"2"	"4"	"6"	"290"	""	"290"	""
"331"	"225"	"40"	"402"	"80"	"12"	"6"	"5"	"10"	"0"	"12"	"6"	"8"	"12"	"593"	""	"593"	""
"332"	"226"	"12"	"316"	"37"	"1"	"2"	"8"	"21"	"3"	"8"	"8"	"12"	"31"	"459"	""	"459"	""
