"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"128"	"111"	""	"19"	"206"	"76"	"1"	"3"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"5"	"0"	"5"	"0"	"1"	"2"	"333"
"129"	"112"	""	"26"	"317"	"20"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"371"
"130"	"113"	""	"4"	"69"	"113"	"0"	"0"	"14"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"205"
"131"	"114"	""	"5"	"131"	"165"	"2"	"2"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"320"
"132"	"115"	""	"1"	"220"	"29"	"0"	"1"	"8"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"17"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"280"
"133"	"116"	""	"29"	"29"	"420"	"2"	"1"	"39"	"0"	"1"	"0"	"1"	"1"	"3"	"1"	"2"	"0"	"2"	"0"	"0"	"2"	"0"	"2"	"535"
"134"	"117"	""	"42"	"19"	"659"	"10"	"2"	"12"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"2"	"0"	"3"	"1"	"1"	"2"	"0"	"2"	"760"
"135"	"118"	""	"22"	"39"	"280"	"7"	"0"	"24"	"2"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"3"	"3"	"8"	"396"
"136"	"119"	""	"23"	"104"	"182"	"2"	"2"	"13"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"335"
"137"	"120"	""	"25"	"181"	"97"	"0"	"2"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"311"
"138"	"121"	""	"13"	"193"	"123"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"0"	"1"	"0"	"4"	"345"
"139"	"122"	""	"21"	"271"	"14"	"0"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"312"
"140"	"123"	""	"9"	"299"	"4"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"320"
"141"	"124"	""	"9"	"276"	"5"	"1"	"3"	"2"	"1"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"305"
"142"	"125"	""	"14"	"271"	"5"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"8"	"0"	"0"	"2"	"307"
"143"	"126"	""	"14"	"61"	"151"	"2"	"3"	"175"	"2"	"1"	"3"	"1"	"2"	"6"	"4"	"1"	"3"	"4"	"3"	"2"	"2"	"0"	"5"	"445"
"144"	"127"	""	"21"	"30"	"266"	"2"	"2"	"64"	"3"	"1"	"0"	"2"	"1"	"13"	"3"	"2"	"2"	"3"	"2"	"0"	"0"	"2"	"8"	"427"
"145"	"BOOTH NO"	""	"AKHOURY ONKAR NATH"	"JALALUDDIN ANSARI"	"PREM KUMAR"	"MANORANJAN KUMAR PATHAK"	"MOHAMD ALLAUDDIN ANSARI"	"RAJ KUMAR PRASAD"	"ANIL KUMAR SRIVASTAVA"	"KEDAR PRASAD"	"MANOJ KUMAR"	"RAM PRASAD GUPTA"	"SANJIT KUMAR"	"SURENDRA YADAV"	"ANIL KUMAR"	"GOPAL LAL MAHTO"	"BAMBAM SINGH"	"RAJIV NAYAN SINHA"	"RAJENDRA PRASAD"	"RAMLAKHAN BHAGAT"	"VINOD KUMAR SINGH"	"SUMAN SINGH"	"SURENDRA SINGH"	"Total Valid  Votes"
"146"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"147"	"128"	""	"53"	"43"	"375"	"10"	"1"	"121"	"3"	"3"	"3"	"3"	"0"	"16"	"2"	"0"	"3"	"4"	"0"	"1"	"1"	"0"	"5"	"647"
"148"	"129"	""	"7"	"470"	"10"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"496"
"149"	"130"	""	"4"	"392"	"16"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"5"	"0"	"0"	"2"	"427"
"150"	"131"	""	"10"	"478"	"11"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"2"	"3"	"0"	"5"	"0"	"0"	"2"	"521"
"151"	"131"	"A"	"2"	"407"	"5"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"2"	"3"	"1"	"2"	"0"	"0"	"0"	"430"
"152"	"132"	""	"12"	"309"	"18"	"0"	"1"	"2"	"2"	"2"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"353"
"153"	"133"	""	"6"	"250"	"4"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"266"
"154"	"134"	""	"10"	"662"	"19"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"8"	"2"	"12"	"0"	"2"	"1"	"720"
"155"	"135"	""	"6"	"280"	"5"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"297"
"156"	"136"	""	"6"	"294"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"3"	"2"	"0"	"0"	"1"	"319"
"157"	"137"	""	"29"	"119"	"298"	"9"	"4"	"47"	"5"	"3"	"2"	"0"	"5"	"1"	"1"	"1"	"3"	"4"	"2"	"4"	"7"	"0"	"1"	"545"
"158"	"138"	""	"91"	"51"	"289"	"3"	"3"	"40"	"5"	"2"	"2"	"3"	"1"	"1"	"2"	"4"	"1"	"4"	"1"	"3"	"2"	"1"	"16"	"525"
"159"	"139"	""	"40"	"302"	"249"	"6"	"0"	"14"	"1"	"1"	"0"	"2"	"2"	"0"	"2"	"3"	"2"	"2"	"0"	"4"	"1"	"1"	"3"	"635"
"160"	"140"	""	"19"	"54"	"352"	"3"	"0"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"3"	"0"	"1"	"444"
"161"	"141"	""	"24"	"36"	"204"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"7"	"278"
"162"	"142"	""	"29"	"20"	"202"	"2"	"0"	"10"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"
"163"	"143"	""	"28"	"75"	"401"	"8"	"2"	"19"	"1"	"1"	"0"	"0"	"1"	"2"	"6"	"4"	"1"	"4"	"1"	"1"	"2"	"0"	"2"	"559"
"164"	"144"	""	"43"	"126"	"260"	"3"	"1"	"87"	"0"	"1"	"1"	"1"	"1"	"15"	"1"	"3"	"3"	"1"	"1"	"6"	"2"	"2"	"6"	"564"
"165"	"145"	""	"37"	"81"	"264"	"0"	"0"	"12"	"2"	"1"	"0"	"1"	"1"	"0"	"2"	"2"	"0"	"1"	"10"	"1"	"6"	"0"	"4"	"425"
"166"	"146"	""	"23"	"17"	"272"	"4"	"0"	"22"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"1"	"1"	"1"	"0"	"0"	"3"	"2"	"2"	"354"
"167"	"147"	""	"16"	"25"	"256"	"3"	"1"	"13"	"0"	"0"	"0"	"1"	"1"	"1"	"7"	"4"	"3"	"0"	"7"	"4"	"14"	"6"	"6"	"368"
"168"	"147"	"A"	"16"	"53"	"407"	"24"	"2"	"53"	"1"	"1"	"1"	"0"	"0"	"1"	"5"	"1"	"2"	"1"	"3"	"2"	"5"	"1"	"2"	"581"
"169"	"148"	""	"11"	"89"	"141"	"3"	"0"	"20"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"12"	"0"	"3"	"289"
"170"	"149"	""	"16"	"43"	"295"	"19"	"0"	"30"	"0"	"1"	"0"	"1"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"415"
"171"	"150"	""	"19"	"11"	"225"	"8"	"3"	"234"	"6"	"2"	"5"	"4"	"22"	"4"	"13"	"13"	"13"	"7"	"4"	"1"	"3"	"2"	"4"	"603"
"172"	"151"	""	"28"	"18"	"409"	"8"	"3"	"65"	"1"	"3"	"1"	"3"	"6"	"1"	"4"	"5"	"0"	"4"	"1"	"0"	"6"	"1"	"2"	"569"
"173"	"152"	""	"21"	"46"	"237"	"11"	"1"	"48"	"4"	"1"	"1"	"3"	"4"	"5"	"4"	"11"	"10"	"3"	"4"	"2"	"17"	"4"	"1"	"438"
"174"	"BOOTH NO"	""	"AKHOURY ONKAR NATH"	"JALALUDDIN ANSARI"	"PREM KUMAR"	"MANORANJAN KUMAR PATHAK"	"MOHAMD ALLAUDDIN ANSARI"	"RAJ KUMAR PRASAD"	"ANIL KUMAR SRIVASTAVA"	"KEDAR PRASAD"	"MANOJ KUMAR"	"RAM PRASAD GUPTA"	"SANJIT KUMAR"	"SURENDRA YADAV"	"ANIL KUMAR"	"GOPAL LAL MAHTO"	"BAMBAM SINGH"	"RAJIV NAYAN SINHA"	"RAJENDRA PRASAD"	"RAMLAKHAN BHAGAT"	"VINOD KUMAR SINGH"	"SUMAN SINGH"	"SURENDRA SINGH"	"Total Valid  Votes"
"175"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"176"	"153"	""	"24"	"208"	"179"	"3"	"1"	"11"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"1"	"0"	"436"
"177"	"154"	""	"32"	"45"	"234"	"12"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"1"	"0"	"3"	"1"	"0"	"347"
"178"	"155"	""	"44"	"117"	"337"	"14"	"2"	"23"	"2"	"2"	"2"	"1"	"4"	"3"	"1"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"557"
"179"	"156"	""	"17"	"29"	"291"	"2"	"1"	"10"	"2"	"0"	"0"	"1"	"0"	"4"	"1"	"1"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"364"
"180"	"156"	"A"	"12"	"63"	"207"	"4"	"3"	"6"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"303"
"181"	"157"	""	"18"	"51"	"289"	"4"	"1"	"7"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"374"
"182"	"158"	""	"16"	"39"	"259"	"4"	"0"	"5"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"2"	"0"	"4"	"337"
"183"	"159"	""	"23"	"39"	"319"	"5"	"1"	"3"	"1"	"0"	"1"	"0"	"3"	"0"	"1"	"4"	"1"	"0"	"4"	"4"	"54"	"3"	"4"	"470"
"184"	"160"	""	"19"	"85"	"414"	"3"	"4"	"9"	"1"	"0"	"0"	"2"	"2"	"2"	"2"	"2"	"0"	"7"	"0"	"3"	"7"	"2"	"10"	"574"
"185"	"161"	""	"18"	"168"	"209"	"2"	"0"	"9"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"3"	"4"	"0"	"2"	"11"	"8"	"4"	"10"	"452"
"186"	"162"	""	"59"	"27"	"213"	"0"	"1"	"3"	"0"	"1"	"2"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"4"	"1"	"5"	"0"	"3"	"325"
"187"	"163"	""	"23"	"376"	"132"	"2"	"1"	"4"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"6"	"2"	"2"	"2"	"0"	"0"	"4"	"560"
"188"	"164"	""	"75"	"81"	"358"	"7"	"0"	"8"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"2"	"3"	"1"	"1"	"3"	"545"
"189"	"165"	""	"29"	"70"	"392"	"3"	"1"	"11"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"10"	"2"	"526"
"190"	"166"	""	"14"	"491"	"140"	"3"	"0"	"8"	"0"	"3"	"2"	"2"	"3"	"3"	"2"	"2"	"2"	"5"	"9"	"17"	"6"	"7"	"4"	"723"
"191"	"167"	""	"37"	"50"	"348"	"1"	"3"	"7"	"2"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"3"	"4"	"1"	"1"	"1"	"8"	"4"	"476"
"192"	"168"	""	"23"	"119"	"515"	"13"	"2"	"9"	"3"	"2"	"2"	"0"	"1"	"1"	"2"	"3"	"2"	"3"	"1"	"1"	"5"	"12"	"4"	"723"
"193"	"169"	""	"69"	"70"	"255"	"3"	"1"	"10"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"2"	"1"	"2"	"1"	"0"	"2"	"1"	"1"	"423"
"194"	"170"	""	"51"	"72"	"255"	"2"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"2"	"394"
"195"	"171"	""	"53"	"56"	"208"	"0"	"1"	"19"	"0"	"0"	"1"	"2"	"1"	"1"	"1"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"2"	"351"
"196"	"172"	""	"71"	"78"	"406"	"46"	"1"	"15"	"1"	"0"	"3"	"2"	"1"	"4"	"3"	"5"	"1"	"3"	"17"	"6"	"11"	"3"	"13"	"690"
"197"	"173"	""	"37"	"22"	"254"	"2"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"330"
"198"	"174"	""	"26"	"24"	"187"	"4"	"0"	"7"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"3"	"3"	"0"	"2"	"0"	"17"	"281"
"199"	"175"	""	"93"	"99"	"289"	"6"	"2"	"4"	"3"	"1"	"0"	"0"	"1"	"2"	"1"	"5"	"2"	"2"	"1"	"2"	"1"	"1"	"0"	"515"
"200"	"176"	""	"40"	"15"	"322"	"3"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"0"	"2"	"1"	"0"	"6"	"1"	"2"	"400"
"201"	"177"	""	"23"	"92"	"275"	"2"	"0"	"1"	"1"	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"4"	"407"
"202"	"177"	"A"	"16"	"287"	"112"	"0"	"0"	"1"	"4"	"0"	"0"	"1"	"2"	"1"	"1"	"2"	"15"	"7"	"1"	"14"	"0"	"0"	"4"	"468"
"203"	"BOOTH NO"	""	"AKHOURY ONKAR NATH"	"JALALUDDIN ANSARI"	"PREM KUMAR"	"MANORANJAN KUMAR PATHAK"	"MOHAMD ALLAUDDIN ANSARI"	"RAJ KUMAR PRASAD"	"ANIL KUMAR SRIVASTAVA"	"KEDAR PRASAD"	"MANOJ KUMAR"	"RAM PRASAD GUPTA"	"SANJIT KUMAR"	"SURENDRA YADAV"	"ANIL KUMAR"	"GOPAL LAL MAHTO"	"BAMBAM SINGH"	"RAJIV NAYAN SINHA"	"RAJENDRA PRASAD"	"RAMLAKHAN BHAGAT"	"VINOD KUMAR SINGH"	"SUMAN SINGH"	"SURENDRA SINGH"	"Total Valid  Votes"
"204"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"205"	"178"	""	"36"	"367"	"197"	"2"	"2"	"7"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"2"	"1"	"0"	"2"	"0"	"3"	"0"	"1"	"625"
"206"	"179"	""	"26"	"491"	"51"	"4"	"2"	"2"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"1"	"1"	"3"	"3"	"1"	"0"	"2"	"593"
"207"	"180"	""	"27"	"367"	"96"	"3"	"1"	"2"	"3"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"4"	"4"	"21"	"2"	"1"	"4"	"541"
"208"	"181"	""	"124"	"317"	"317"	"8"	"3"	"9"	"0"	"4"	"2"	"7"	"2"	"1"	"2"	"0"	"5"	"3"	"4"	"1"	"2"	"3"	"4"	"818"
"209"	"182"	""	"17"	"187"	"69"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"2"	"1"	"3"	"2"	"3"	"1"	"1"	"295"
"210"	"183"	""	"28"	"49"	"306"	"3"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"5"	"0"	"0"	"11"	"12"	"65"	"9"	"9"	"502"
"211"	"184"	""	"46"	"91"	"301"	"4"	"0"	"56"	"3"	"3"	"0"	"2"	"11"	"2"	"8"	"1"	"3"	"9"	"2"	"1"	"2"	"1"	"4"	"550"
"212"	"185"	""	"36"	"47"	"177"	"0"	"1"	"26"	"0"	"5"	"2"	"4"	"2"	"1"	"1"	"3"	"10"	"5"	"0"	"1"	"0"	"2"	"4"	"327"
"213"	"186"	""	"28"	"45"	"270"	"22"	"4"	"44"	"3"	"4"	"6"	"2"	"5"	"4"	"3"	"14"	"2"	"11"	"3"	"1"	"8"	"2"	"5"	"486"
"214"	"187"	""	"58"	"98"	"219"	"8"	"2"	"32"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"5"	"1"	"1"	"431"
"215"	"188"	""	"105"	"106"	"441"	"15"	"2"	"44"	"1"	"1"	"1"	"2"	"2"	"0"	"2"	"1"	"3"	"2"	"3"	"3"	"6"	"1"	"13"	"754"
"216"	"189"	""	"17"	"116"	"333"	"7"	"0"	"30"	"3"	"0"	"1"	"2"	"3"	"0"	"2"	"0"	"2"	"0"	"9"	"21"	"36"	"5"	"10"	"597"
"217"	"190"	""	"40"	"36"	"299"	"4"	"0"	"9"	"1"	"0"	"0"	"0"	"2"	"2"	"3"	"2"	"2"	"1"	"0"	"2"	"2"	"0"	"9"	"414"
"218"	"191"	""	"44"	"12"	"185"	"1"	"0"	"5"	"0"	"0"	"0"	"1"	"1"	"3"	"3"	"11"	"0"	"3"	"2"	"0"	"4"	"1"	"49"	"325"
"219"	"192"	""	"84"	"48"	"412"	"1"	"2"	"6"	"0"	"0"	"7"	"1"	"1"	"1"	"4"	"1"	"0"	"2"	"2"	"2"	"7"	"1"	"22"	"604"
"220"	"193"	""	"36"	"36"	"195"	"4"	"1"	"6"	"1"	"1"	"2"	"0"	"0"	"2"	"2"	"4"	"0"	"1"	"2"	"0"	"6"	"0"	"19"	"318"
"221"	"193"	"A"	"24"	"49"	"208"	"2"	"2"	"7"	"1"	"1"	"2"	"0"	"0"	"0"	"2"	"3"	"1"	"0"	"0"	"2"	"8"	"0"	"36"	"348"
"222"	"194"	""	"43"	"77"	"350"	"13"	"1"	"10"	"2"	"0"	"0"	"0"	"2"	"0"	"3"	"1"	"0"	"0"	"3"	"5"	"13"	"12"	"22"	"557"
"223"	"195"	""	"38"	"91"	"479"	"8"	"5"	"20"	"0"	"1"	"2"	"0"	"4"	"1"	"0"	"9"	"3"	"1"	"0"	"0"	"11"	"0"	"21"	"694"
"224"	"196"	""	"32"	"112"	"200"	"7"	"6"	"14"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"3"	"1"	"2"	"2"	"5"	"4"	"3"	"25"	"421"
"225"	"197"	""	"55"	"44"	"221"	"4"	"0"	"8"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"5"	"0"	"4"	"1"	"0"	"6"	"1"	"34"	"385"
"226"	"198"	""	"50"	"80"	"208"	"1"	"1"	"7"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"5"	"2"	"2"	"3"	"0"	"4"	"1"	"40"	"408"
"227"	"199"	""	"35"	"49"	"334"	"5"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"3"	"9"	"0"	"4"	"1"	"2"	"7"	"3"	"27"	"484"
"228"	"200"	""	"36"	"50"	"455"	"8"	"4"	"1"	"2"	"1"	"3"	"1"	"1"	"0"	"0"	"3"	"2"	"4"	"2"	"1"	"6"	"0"	"19"	"599"
"229"	"201"	""	"15"	"30"	"268"	"1"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"1"	"1"	"14"	"350"
"230"	"202"	""	"25"	"56"	"197"	"3"	"0"	"20"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"309"
"231"	"203"	""	"15"	"118"	"146"	"4"	"1"	"10"	"2"	"1"	"2"	"1"	"2"	"1"	"0"	"0"	"4"	"1"	"1"	"1"	"0"	"0"	"0"	"310"
"232"	"BOOTH NO"	""	"AKHOURY ONKAR NATH"	"JALALUDDIN ANSARI"	"PREM KUMAR"	"MANORANJAN KUMAR PATHAK"	"MOHAMD ALLAUDDIN ANSARI"	"RAJ KUMAR PRASAD"	"ANIL KUMAR SRIVASTAVA"	"KEDAR PRASAD"	"MANOJ KUMAR"	"RAM PRASAD GUPTA"	"SANJIT KUMAR"	"SURENDRA YADAV"	"ANIL KUMAR"	"GOPAL LAL MAHTO"	"BAMBAM SINGH"	"RAJIV NAYAN SINHA"	"RAJENDRA PRASAD"	"RAMLAKHAN BHAGAT"	"VINOD KUMAR SINGH"	"SUMAN SINGH"	"SURENDRA SINGH"	"Total Valid  Votes"
"233"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"234"	"204"	""	"48"	"9"	"196"	"3"	"0"	"8"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"0"	"12"	"0"	"5"	"290"
"235"	"204"	"A"	"29"	"20"	"262"	"5"	"1"	"12"	"0"	"2"	"1"	"1"	"4"	"10"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"353"
"236"	"205"	""	"17"	"51"	"354"	"2"	"0"	"7"	"3"	"0"	"1"	"2"	"4"	"5"	"3"	"2"	"0"	"3"	"4"	"5"	"7"	"0"	"7"	"477"
"237"	"206"	""	"28"	"109"	"256"	"14"	"3"	"37"	"1"	"1"	"1"	"0"	"3"	"36"	"10"	"5"	"3"	"8"	"0"	"0"	"0"	"0"	"1"	"516"
"238"	"207"	""	"14"	"52"	"209"	"9"	"0"	"11"	"1"	"2"	"1"	"0"	"5"	"2"	"2"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"2"	"315"
"239"	"208"	""	"80"	"169"	"341"	"9"	"3"	"10"	"0"	"1"	"1"	"0"	"1"	"3"	"2"	"2"	"0"	"3"	"6"	"5"	"4"	"2"	"2"	"644"
"240"	"209"	""	"61"	"94"	"351"	"10"	"0"	"23"	"2"	"1"	"1"	"4"	"2"	"11"	"3"	"3"	"2"	"2"	"1"	"2"	"1"	"0"	"2"	"576"
"241"	"210"	""	"9"	"233"	"302"	"4"	"0"	"48"	"2"	"0"	"2"	"2"	"2"	"28"	"3"	"4"	"4"	"4"	"5"	"5"	"12"	"2"	"3"	"674"
"242"	"Total"	""	"7638"	"27099"	"55554"	"1355"	"252"	"4088"	"285"	"207"	"211"	"240"	"292"	"359"	"368"	"953"	"444"	"516"	"418"	"488"	"902"	"272"	"1005"	"102946"
"243"	"POSTAL BALLOT"	""	"26"	"102"	"64"	"1"	"3"	"10"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"244"	"Grand Total"	""	"7664"	"27201"	"55618"	"1356"	"255"	"4098"	"285"	"207"	"211"	"241"	"292"	"359"	"368"	"953"	"444"	"516"	"418"	"488"	"902"	"272"	"1005"	"102946"
