"Total.No..of.Electors.in.Assembly.Constituency........198785"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"07- Chanpatia Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"132"	"71"	"68"	"28"	"44"	"183"	"7"	"6"	"3"	"1"	"1"	"3"	"2"	"2"	"0"	"2"	"2"	"6"	"9"	"42"	"409"	"0"	"409"	"0"	""
"133"	"72"	"71"	"17"	"51"	"134"	"9"	"22"	"2"	"4"	"3"	"1"	"3"	"7"	"27"	"8"	"8"	"5"	"9"	"8"	"389"	"0"	"389"	"0"	""
"134"	"73"	"189"	"14"	"9"	"167"	"33"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"2"	"1"	"7"	"1"	"1"	"469"	"0"	"469"	"0"	""
"135"	"74"	"201"	"60"	"15"	"232"	"14"	"16"	"2"	"1"	"0"	"0"	"5"	"0"	"1"	"0"	"0"	"15"	"5"	"23"	"590"	"0"	"590"	"0"	""
"136"	"75"	"69"	"14"	"47"	"161"	"9"	"34"	"3"	"3"	"3"	"0"	"1"	"3"	"1"	"7"	"6"	"9"	"4"	"81"	"455"	"0"	"455"	"0"	""
"137"	"76"	"18"	"16"	"52"	"347"	"43"	"15"	"48"	"7"	"3"	"2"	"0"	"4"	"2"	"1"	"2"	"3"	"0"	"10"	"573"	"0"	"573"	"0"	""
"138"	"77"	"265"	"22"	"5"	"127"	"22"	"8"	"4"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"28"	"2"	"4"	"490"	"0"	"490"	"0"	""
"139"	"78"	"17"	"17"	"29"	"442"	"17"	"97"	"5"	"1"	"6"	"5"	"3"	"3"	"4"	"8"	"9"	"31"	"17"	"5"	"716"	"0"	"716"	"0"	""
"140"	"79"	"13"	"24"	"9"	"500"	"17"	"70"	"3"	"0"	"4"	"3"	"0"	"2"	"2"	"2"	"5"	"42"	"0"	"5"	"701"	"0"	"701"	"0"	""
"141"	"80"	"2"	"3"	"4"	"207"	"50"	"17"	"1"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"1"	"3"	"0"	"4"	"298"	"0"	"298"	"0"	""
"142"	"81"	"13"	"2"	"39"	"122"	"4"	"44"	"2"	"2"	"1"	"0"	"0"	"0"	"2"	"4"	"4"	"9"	"1"	"2"	"251"	"0"	"251"	"0"	""
"143"	"82"	"117"	"13"	"10"	"251"	"43"	"7"	"0"	"3"	"2"	"2"	"0"	"4"	"4"	"6"	"1"	"44"	"7"	"2"	"516"	"0"	"516"	"0"	""
"144"	"83"	"93"	"35"	"9"	"387"	"99"	"41"	"6"	"5"	"4"	"4"	"3"	"3"	"2"	"3"	"8"	"12"	"13"	"14"	"741"	"0"	"741"	"0"	""
"145"	"84"	"15"	"14"	"7"	"238"	"20"	"40"	"6"	"8"	"6"	"10"	"4"	"5"	"4"	"3"	"5"	"17"	"4"	"1"	"407"	"0"	"407"	"0"	""
"146"	"Total"	"1151"	"279"	"330"	"3498"	"387"	"457"	"85"	"35"	"35"	"33"	"22"	"34"	"55"	"47"	"52"	"231"	"72"	"202"	"7005"	"0"	"7005"	"0"	""
"147"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"07- Chanpatia Legislative Assembly Constituency (Round - 7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"156"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"157"	"85"	"46"	"15"	"7"	"314"	"47"	"9"	"4"	"1"	"2"	"1"	"0"	"2"	"2"	"4"	"1"	"5"	"4"	"0"	"464"	"0"	"464"	"0"	""
"158"	"86"	"243"	"16"	"10"	"212"	"42"	"41"	"8"	"5"	"6"	"5"	"3"	"7"	"4"	"10"	"3"	"27"	"14"	"12"	"668"	"0"	"668"	"0"	""
"159"	"87"	"25"	"23"	"7"	"393"	"31"	"58"	"5"	"2"	"2"	"5"	"1"	"3"	"2"	"2"	"3"	"3"	"5"	"3"	"573"	"0"	"573"	"0"	""
"160"	"88"	"30"	"6"	"2"	"294"	"17"	"5"	"2"	"0"	"0"	"3"	"1"	"1"	"2"	"2"	"1"	"15"	"4"	"3"	"388"	"0"	"388"	"0"	""
"161"	"88 A"	"37"	"6"	"9"	"282"	"18"	"3"	"1"	"1"	"0"	"2"	"2"	"1"	"2"	"0"	"0"	"2"	"1"	"1"	"368"	"0"	"368"	"0"	""
"162"	"89"	"189"	"15"	"3"	"382"	"27"	"5"	"3"	"0"	"2"	"3"	"5"	"6"	"2"	"4"	"6"	"23"	"17"	"27"	"719"	"0"	"719"	"0"	""
"163"	"90"	"143"	"10"	"20"	"113"	"38"	"11"	"2"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"4"	"2"	"0"	"347"	"0"	"347"	"0"	""
"164"	"91"	"166"	"9"	"17"	"205"	"34"	"21"	"0"	"4"	"2"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"0"	"1"	"465"	"0"	"465"	"0"	""
"165"	"92"	"79"	"13"	"12"	"234"	"91"	"122"	"6"	"3"	"1"	"7"	"5"	"9"	"2"	"4"	"15"	"55"	"8"	"8"	"674"	"0"	"674"	"0"	""
"166"	"93"	"58"	"7"	"13"	"136"	"66"	"11"	"3"	"1"	"1"	"3"	"2"	"4"	"0"	"8"	"6"	"6"	"1"	"1"	"327"	"0"	"327"	"0"	""
"167"	"94"	"89"	"5"	"2"	"124"	"32"	"23"	"3"	"0"	"4"	"7"	"2"	"6"	"2"	"6"	"3"	"16"	"7"	"2"	"333"	"0"	"333"	"0"	""
"168"	"95"	"201"	"28"	"12"	"327"	"30"	"97"	"1"	"0"	"3"	"4"	"3"	"5"	"8"	"4"	"7"	"28"	"10"	"15"	"783"	"0"	"783"	"0"	""
"169"	"96"	"387"	"23"	"7"	"140"	"25"	"81"	"3"	"1"	"3"	"1"	"0"	"2"	"1"	"3"	"6"	"9"	"13"	"6"	"711"	"0"	"711"	"0"	""
"170"	"97"	"282"	"15"	"15"	"247"	"33"	"10"	"3"	"3"	"3"	"5"	"4"	"7"	"8"	"7"	"7"	"42"	"31"	"5"	"727"	"0"	"727"	"0"	""
"171"	"Total"	"1975"	"191"	"136"	"3403"	"531"	"497"	"44"	"21"	"29"	"46"	"28"	"55"	"39"	"55"	"60"	"236"	"117"	"84"	"7547"	"0"	"7547"	"0"	""
"172"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"07- Chanpatia Legislative Assembly Constituency (Round - 8)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"181"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"182"	"98"	"246"	"10"	"3"	"132"	"56"	"24"	"2"	"1"	"2"	"1"	"2"	"4"	"3"	"2"	"7"	"19"	"11"	"3"	"528"	"0"	"528"	"0"	""
"183"	"99"	"18"	"20"	"3"	"256"	"23"	"61"	"1"	"0"	"2"	"7"	"7"	"4"	"2"	"3"	"11"	"25"	"24"	"7"	"474"	"0"	"474"	"0"	""
"184"	"100"	"111"	"48"	"19"	"401"	"41"	"24"	"9"	"23"	"2"	"9"	"1"	"6"	"12"	"4"	"3"	"16"	"8"	"8"	"745"	"0"	"745"	"0"	""
"185"	"101"	"262"	"18"	"15"	"291"	"51"	"4"	"2"	"4"	"1"	"4"	"3"	"5"	"6"	"4"	"0"	"16"	"4"	"5"	"695"	"0"	"695"	"0"	""
"186"	"102"	"50"	"5"	"1"	"282"	"29"	"12"	"4"	"0"	"2"	"3"	"2"	"4"	"3"	"6"	"2"	"12"	"9"	"14"	"440"	"0"	"440"	"0"	""
"187"	"103"	"180"	"28"	"4"	"263"	"45"	"11"	"3"	"4"	"1"	"0"	"5"	"5"	"2"	"1"	"1"	"10"	"8"	"7"	"578"	"0"	"578"	"0"	""
"188"	"104"	"217"	"12"	"7"	"326"	"15"	"35"	"8"	"2"	"1"	"3"	"1"	"2"	"8"	"4"	"6"	"22"	"7"	"5"	"681"	"0"	"681"	"0"	""
"189"	"105"	"304"	"13"	"3"	"216"	"36"	"35"	"0"	"2"	"0"	"1"	"1"	"2"	"7"	"1"	"1"	"8"	"15"	"3"	"648"	"0"	"648"	"0"	""
"190"	"106"	"226"	"19"	"3"	"254"	"40"	"198"	"3"	"2"	"8"	"2"	"1"	"4"	"5"	"0"	"6"	"3"	"7"	"4"	"785"	"0"	"785"	"0"	""
"191"	"107"	"31"	"16"	"7"	"507"	"73"	"28"	"7"	"2"	"2"	"7"	"4"	"5"	"4"	"6"	"4"	"14"	"13"	"7"	"737"	"0"	"737"	"0"	""
"192"	"108"	"3"	"12"	"16"	"162"	"9"	"16"	"3"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"3"	"0"	"232"	"0"	"232"	"0"	""
"193"	"109"	"43"	"10"	"3"	"126"	"27"	"3"	"0"	"0"	"0"	"2"	"0"	"0"	"5"	"1"	"2"	"5"	"6"	"5"	"238"	"0"	"238"	"0"	""
"194"	"110"	"16"	"26"	"17"	"352"	"62"	"43"	"1"	"0"	"0"	"2"	"1"	"3"	"3"	"8"	"2"	"5"	"231"	"11"	"783"	"0"	"783"	"0"	""
"195"	"111"	"134"	"55"	"13"	"337"	"27"	"56"	"17"	"10"	"2"	"7"	"1"	"7"	"4"	"7"	"8"	"14"	"4"	"13"	"716"	"0"	"716"	"0"	""
"196"	"Total"	"1841"	"292"	"114"	"3905"	"534"	"550"	"60"	"53"	"24"	"48"	"30"	"51"	"64"	"47"	"55"	"170"	"350"	"92"	"8280"	"0"	"8280"	"0"	""
"197"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"07- Chanpatia Legislative Assembly Constituency (Round - 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"207"	"112"	"49"	"34"	"6"	"356"	"52"	"106"	"2"	"2"	"2"	"8"	"3"	"6"	"2"	"9"	"10"	"26"	"0"	"4"	"677"	"0"	"677"	"0"	""
"208"	"113"	"94"	"19"	"19"	"192"	"29"	"6"	"1"	"1"	"6"	"1"	"1"	"2"	"2"	"2"	"2"	"37"	"16"	"7"	"437"	"0"	"437"	"0"	""
"209"	"114"	"149"	"18"	"25"	"220"	"10"	"71"	"1"	"7"	"1"	"4"	"0"	"3"	"2"	"4"	"9"	"43"	"8"	"3"	"578"	"0"	"578"	"0"	""
"210"	"115"	"26"	"15"	"5"	"298"	"33"	"74"	"5"	"12"	"1"	"4"	"1"	"6"	"34"	"3"	"3"	"4"	"3"	"3"	"530"	"0"	"530"	"0"	""
"211"	"116"	"10"	"17"	"14"	"309"	"39"	"146"	"3"	"4"	"3"	"3"	"0"	"4"	"0"	"7"	"6"	"0"	"5"	"1"	"571"	"0"	"571"	"0"	""
"212"	"117"	"55"	"32"	"5"	"268"	"20"	"94"	"4"	"2"	"2"	"4"	"2"	"7"	"3"	"2"	"8"	"5"	"2"	"3"	"518"	"0"	"518"	"0"	""
"213"	"118"	"46"	"9"	"5"	"201"	"15"	"93"	"4"	"4"	"1"	"4"	"0"	"2"	"2"	"2"	"3"	"17"	"3"	"0"	"411"	"0"	"411"	"0"	""
"214"	"119"	"26"	"26"	"15"	"402"	"68"	"72"	"4"	"7"	"12"	"9"	"14"	"11"	"4"	"10"	"7"	"52"	"3"	"45"	"787"	"0"	"787"	"0"	""
"215"	"120"	"12"	"10"	"23"	"255"	"34"	"7"	"1"	"7"	"0"	"0"	"2"	"0"	"1"	"3"	"3"	"8"	"1"	"4"	"371"	"0"	"371"	"0"	""
"216"	"121"	"111"	"21"	"6"	"124"	"43"	"89"	"6"	"3"	"2"	"4"	"2"	"3"	"1"	"1"	"4"	"5"	"4"	"3"	"432"	"0"	"432"	"0"	""
"217"	"122"	"2"	"12"	"7"	"334"	"26"	"2"	"0"	"2"	"1"	"7"	"0"	"1"	"4"	"0"	"1"	"10"	"4"	"4"	"417"	"0"	"417"	"0"	""
"218"	"123"	"57"	"16"	"14"	"160"	"22"	"39"	"2"	"0"	"2"	"2"	"27"	"2"	"4"	"1"	"2"	"2"	"0"	"1"	"353"	"0"	"353"	"0"	""
"219"	"124"	"105"	"13"	"17"	"283"	"54"	"16"	"3"	"6"	"2"	"7"	"2"	"0"	"1"	"6"	"6"	"11"	"4"	"7"	"543"	"0"	"543"	"0"	""
"220"	"125"	"47"	"16"	"5"	"298"	"88"	"22"	"6"	"3"	"2"	"5"	"1"	"3"	"1"	"2"	"4"	"44"	"6"	"3"	"556"	"0"	"556"	"0"	""
"221"	"Total"	"789"	"258"	"166"	"3700"	"533"	"837"	"42"	"60"	"37"	"62"	"55"	"50"	"61"	"52"	"68"	"264"	"59"	"88"	"7181"	"0"	"7181"	"0"	""
"222"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"07- Chanpatia Legislative Assembly Constituency (Round - 10)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"231"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"232"	"126"	"182"	"26"	"5"	"439"	"35"	"29"	"6"	"2"	"2"	"3"	"2"	"1"	"2"	"3"	"5"	"8"	"5"	"4"	"759"	"0"	"759"	"0"	""
"233"	"127"	"68"	"20"	"5"	"265"	"37"	"25"	"6"	"1"	"2"	"3"	"2"	"2"	"1"	"9"	"6"	"19"	"6"	"2"	"479"	"0"	"479"	"0"	""
"234"	"128"	"83"	"4"	"15"	"202"	"50"	"22"	"0"	"0"	"1"	"2"	"1"	"1"	"6"	"3"	"4"	"15"	"5"	"3"	"417"	"0"	"417"	"0"	""
"235"	"129"	"251"	"9"	"6"	"73"	"18"	"3"	"1"	"0"	"1"	"0"	"1"	"1"	"2"	"2"	"2"	"28"	"3"	"0"	"401"	"0"	"401"	"0"	""
"236"	"130"	"107"	"19"	"5"	"395"	"28"	"13"	"7"	"3"	"2"	"2"	"2"	"4"	"1"	"4"	"4"	"15"	"14"	"14"	"639"	"0"	"639"	"0"	""
"237"	"131"	"90"	"19"	"7"	"124"	"29"	"12"	"1"	"2"	"2"	"3"	"2"	"1"	"1"	"3"	"4"	"46"	"4"	"10"	"360"	"0"	"360"	"0"	""
"238"	"132"	"171"	"19"	"6"	"133"	"24"	"8"	"1"	"1"	"4"	"2"	"2"	"0"	"3"	"0"	"3"	"10"	"10"	"25"	"422"	"0"	"422"	"0"	""
"239"	"133"	"154"	"65"	"14"	"325"	"34"	"5"	"6"	"70"	"4"	"1"	"2"	"2"	"3"	"4"	"3"	"16"	"5"	"4"	"717"	"0"	"717"	"0"	""
"240"	"134"	"55"	"7"	"3"	"222"	"28"	"4"	"2"	"6"	"2"	"7"	"6"	"0"	"4"	"4"	"2"	"188"	"5"	"8"	"553"	"0"	"553"	"0"	""
"241"	"135"	"37"	"13"	"9"	"226"	"23"	"21"	"11"	"11"	"0"	"4"	"2"	"2"	"3"	"5"	"2"	"58"	"0"	"1"	"428"	"0"	"428"	"0"	""
"242"	"136"	"99"	"48"	"9"	"174"	"63"	"12"	"67"	"2"	"7"	"6"	"14"	"5"	"4"	"8"	"6"	"58"	"35"	"68"	"685"	"0"	"685"	"0"	""
"243"	"137"	"180"	"9"	"12"	"256"	"52"	"108"	"10"	"1"	"5"	"3"	"4"	"9"	"7"	"8"	"13"	"25"	"40"	"29"	"771"	"0"	"771"	"0"	""
"244"	"138"	"160"	"1"	"37"	"97"	"12"	"46"	"43"	"0"	"2"	"4"	"3"	"2"	"7"	"9"	"8"	"5"	"13"	"10"	"459"	"0"	"459"	"0"	""
"245"	"139"	"43"	"67"	"31"	"433"	"84"	"42"	"10"	"1"	"5"	"11"	"15"	"27"	"8"	"15"	"13"	"37"	"15"	"25"	"882"	"0"	"882"	"0"	""
"246"	"Total"	"1680"	"326"	"164"	"3364"	"517"	"350"	"171"	"100"	"39"	"51"	"58"	"57"	"52"	"77"	"75"	"528"	"160"	"203"	"7972"	"0"	"7972"	"0"	""
"247"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"07- Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Total No. of Electors in Assembly Constituency -      198785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"07- Chanpatia Legislative Assembly Constituency (Round - 11)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Polling Station No."	"EJAJ HUSSAIN"	"OM PRAKASH SHRIVAST WA"	"KAMESHW AR    NATH TIWARI"	"CHANDRA MOHAN RAI"	"TRIBHUVA N  PRASAD SHARMA"	"SHEKH SHARFUD DIN"	"ASHWANI KUMAR YADAV"	"TRIVENI NATH SHUKAL"	"NARMADA PRASAD SAH"	"PRAMOD KUMAR KESHRI"	"BRIJ BIHARI PRASAD"	"OM PRAKASH SHARMA"	"MOHMAD ZEYAUDDI N"	"LALAN SAH"	"VIJAY RAM"	"VEER MAHTO"	"SRIMAAN MISHRA"	"SUNIL KUMAR"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"256"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"257"	"140"	"20"	"8"	"5"	"262"	"34"	"5"	"2"	"3"	"5"	"3"	"0"	"8"	"5"	"2"	"1"	"17"	"6"	"1"	"387"	"0"	"387"	"0"	""
"258"	"141"	"64"	"11"	"2"	"311"	"47"	"6"	"3"	"2"	"5"	"7"	"2"	"3"	"9"	"3"	"7"	"32"	"4"	"9"	"527"	"0"	"527"	"0"	""
"259"	"142"	"67"	"21"	"11"	"342"	"82"	"11"	"24"	"1"	"2"	"8"	"0"	"4"	"2"	"5"	"12"	"8"	"3"	"3"	"606"	"0"	"606"	"0"	""
"260"	"143"	"177"	"30"	"12"	"400"	"25"	"3"	"3"	"2"	"6"	"4"	"4"	"2"	"5"	"0"	"4"	"20"	"5"	"1"	"703"	"0"	"703"	"0"	""
"261"	"144"	"35"	"14"	"8"	"322"	"24"	"14"	"4"	"0"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"5"	"6"	"5"	"448"	"0"	"448"	"0"	""
"262"	"145"	"102"	"27"	"5"	"437"	"36"	"2"	"6"	"3"	"5"	"4"	"0"	"3"	"0"	"7"	"4"	"51"	"11"	"4"	"707"	"0"	"707"	"0"	""
"263"	"146"	"235"	"26"	"7"	"205"	"191"	"45"	"10"	"0"	"10"	"8"	"6"	"11"	"7"	"7"	"12"	"17"	"26"	"9"	"832"	"0"	"832"	"0"	""
"264"	"147"	"120"	"24"	"19"	"335"	"134"	"26"	"9"	"4"	"2"	"6"	"7"	"15"	"12"	"6"	"6"	"16"	"5"	"3"	"749"	"0"	"749"	"0"	""
"265"	"148"	"225"	"24"	"7"	"390"	"39"	"3"	"3"	"0"	"4"	"3"	"0"	"0"	"4"	"4"	"0"	"38"	"14"	"8"	"766"	"0"	"766"	"0"	""
