"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…86 - Keoti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment … 232621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"174"	"156"	"148"	"242"	"115"	"8"	"10"	"2"	"4"	"60"	"4"	"13"	"3"	"1"	"4"	"466"	"-"	"466"	""
"175"	"157"	"148A"	"183"	"209"	"4"	"30"	"5"	"2"	"19"	"5"	"5"	"5"	"11"	"15"	"493"	"-"	"493"	""
"176"	"158"	"149"	"234"	"220"	"9"	"1"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"7"	"481"	"-"	"481"	""
"177"	"159"	"150"	"182"	"184"	"9"	"6"	"0"	"2"	"1"	"1"	"1"	"1"	"3"	"5"	"395"	"-"	"395"	""
"178"	"160"	"151"	"157"	"202"	"3"	"9"	"1"	"1"	"1"	"1"	"1"	"3"	"1"	"3"	"383"	"-"	"383"	""
"179"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"180"	""	""	"Ashok Kumar Yadav"	"Faraz Fatmi"	"Madhu Ranjan Prasad"	"Md.
Mohasin"	"Md. Junaid Sattar"	"Md.
Mojahidul Islam"	"Rambabu Sahu"	"Wasi  Ahmed Khan"	"Nazre Alam"	"Nesar Ahmad"	"Bal Krishna
Jha"	"Sadre Alam"	""	""	""	""
"181"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"182"	"161"	"152"	"52"	"283"	"2"	"19"	"1"	"0"	"3"	"1"	"2"	"8"	"3"	"7"	"381"	"-"	"381"	""
"183"	"162"	"152A"	"247"	"192"	"14"	"7"	"1"	"2"	"1"	"2"	"3"	"7"	"5"	"9"	"490"	"-"	"490"	""
"184"	"163"	"153"	"251"	"259"	"9"	"9"	"4"	"2"	"2"	"6"	"1"	"56"	"4"	"3"	"606"	"-"	"606"	""
"185"	"164"	"154"	"7"	"57"	"4"	"23"	"0"	"4"	"1"	"2"	"2"	"104"	"6"	"5"	"215"	"-"	"215"	""
"186"	"165"	"155"	"77"	"299"	"9"	"13"	"2"	"2"	"31"	"3"	"3"	"7"	"7"	"12"	"465"	"-"	"465"	""
"187"	"166"	"156"	"133"	"344"	"14"	"17"	"2"	"1"	"4"	"0"	"3"	"6"	"13"	"14"	"551"	"-"	"551"	""
"188"	"167"	"157"	"68"	"407"	"26"	"23"	"3"	"4"	"3"	"3"	"0"	"8"	"8"	"7"	"560"	"-"	"560"	""
"189"	"168"	"158"	"238"	"322"	"19"	"32"	"6"	"2"	"3"	"2"	"3"	"4"	"4"	"21"	"656"	"-"	"656"	""
"190"	"169"	"159"	"208"	"124"	"12"	"14"	"0"	"2"	"7"	"3"	"2"	"6"	"9"	"44"	"431"	"-"	"431"	""
"191"	"170"	"160"	"276"	"28"	"3"	"50"	"2"	"1"	"4"	"0"	"3"	"4"	"11"	"36"	"418"	"-"	"418"	""
"192"	"171"	"161"	"208"	"61"	"2"	"59"	"0"	"1"	"1"	"1"	"1"	"4"	"5"	"14"	"357"	"-"	"357"	""
"193"	"172"	"162"	"178"	"142"	"6"	"8"	"2"	"2"	"0"	"1"	"1"	"1"	"3"	"9"	"353"	"-"	"353"	""
"194"	"173"	"163"	"357"	"245"	"9"	"1"	"1"	"0"	"2"	"1"	"6"	"2"	"6"	"13"	"643"	"-"	"643"	""
"195"	"174"	"164"	"279"	"109"	"7"	"3"	"0"	"1"	"1"	"3"	"2"	"3"	"10"	"13"	"431"	"-"	"431"	""
"196"	"175"	"165"	"212"	"138"	"9"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"7"	"13"	"386"	"-"	"386"	""
"197"	"176"	"166"	"213"	"45"	"8"	"21"	"1"	"1"	"4"	"2"	"2"	"1"	"3"	"2"	"303"	"-"	"303"	""
"198"	"177"	"166A"	"238"	"99"	"2"	"32"	"1"	"0"	"2"	"2"	"1"	"4"	"0"	"18"	"399"	"-"	"399"	""
"199"	"178"	"167"	"111"	"321"	"5"	"41"	"3"	"4"	"1"	"0"	"2"	"2"	"6"	"7"	"503"	"-"	"503"	""
"200"	"179"	"168"	"192"	"113"	"3"	"21"	"5"	"2"	"7"	"4"	"0"	"0"	"9"	"12"	"368"	"-"	"368"	""
"201"	"180"	"169"	"352"	"246"	"11"	"13"	"2"	"1"	"1"	"5"	"0"	"3"	"15"	"21"	"670"	"-"	"670"	""
"202"	"181"	"170"	"319"	"175"	"8"	"17"	"0"	"3"	"8"	"4"	"2"	"2"	"10"	"8"	"556"	"-"	"556"	""
"203"	"182"	"171"	"225"	"185"	"11"	"15"	"2"	"0"	"9"	"3"	"3"	"2"	"17"	"9"	"481"	"-"	"481"	""
"204"	"183"	"172"	"165"	"165"	"5"	"216"	"5"	"3"	"6"	"6"	"5"	"2"	"4"	"14"	"596"	"-"	"596"	""
"205"	"184"	"173"	"61"	"125"	"6"	"342"	"4"	"1"	"6"	"1"	"2"	"6"	"3"	"7"	"564"	"-"	"564"	""
"206"	"185"	"174"	"239"	"150"	"18"	"255"	"8"	"9"	"5"	"5"	"4"	"2"	"3"	"15"	"713"	"-"	"713"	""
"207"	"186"	"175"	"155"	"134"	"3"	"29"	"1"	"2"	"1"	"0"	"0"	"0"	"11"	"9"	"345"	"-"	"345"	""
"208"	"187"	"175A"	"126"	"250"	"9"	"20"	"4"	"2"	"1"	"1"	"3"	"2"	"9"	"8"	"435"	"-"	"435"	""
"209"	"188"	"176"	"155"	"29"	"6"	"18"	"2"	"0"	"0"	"1"	"1"	"2"	"2"	"9"	"225"	"-"	"225"	""
"210"	"189"	"176A"	"214"	"99"	"4"	"20"	"2"	"0"	"1"	"1"	"1"	"3"	"11"	"11"	"367"	"-"	"367"	""
"211"	"190"	"177"	"403"	"191"	"18"	"32"	"0"	"6"	"5"	"4"	"4"	"0"	"5"	"9"	"677"	"-"	"677"	""
"212"	"191"	"178"	"135"	"123"	"11"	"19"	"2"	"0"	"1"	"0"	"1"	"1"	"10"	"11"	"314"	"-"	"314"	""
"213"	"192"	"178A"	"221"	"146"	"8"	"3"	"1"	"0"	"7"	"0"	"1"	"2"	"0"	"0"	"389"	"-"	"389"	""
"214"	"193"	"179"	"203"	"265"	"6"	"54"	"4"	"3"	"0"	"2"	"0"	"0"	"10"	"8"	"555"	"-"	"555"	""
"215"	"194"	"180"	"359"	"288"	"17"	"7"	"4"	"5"	"5"	"0"	"2"	"10"	"15"	"22"	"734"	"-"	"734"	""
"216"	"195"	"181"	"18"	"307"	"6"	"17"	"1"	"1"	"0"	"0"	"0"	"1"	"5"	"1"	"357"	"-"	"357"	""
"217"	"196"	"181A"	"12"	"280"	"1"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"321"	"-"	"321"	""
"218"	"197"	"182"	"96"	"335"	"12"	"107"	"8"	"3"	"3"	"5"	"4"	"2"	"6"	"14"	"595"	"-"	"595"	""
"219"	"198"	"183"	"198"	"147"	"7"	"13"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"18"	"389"	"-"	"389"	""
"220"	"199"	"184"	"217"	"184"	"6"	"16"	"1"	"1"	"0"	"2"	"3"	"5"	"9"	"16"	"460"	"-"	"460"	""
"221"	"200"	"184A"	"178"	"132"	"9"	"17"	"5"	"2"	"3"	"2"	"3"	"1"	"5"	"8"	"365"	"-"	"365"	""
"222"	"201"	"185"	"152"	"88"	"7"	"60"	"3"	"0"	"0"	"0"	"1"	"2"	"1"	"9"	"323"	"-"	"323"	""
"223"	"202"	"185A"	"107"	"38"	"1"	"61"	"0"	"0"	"0"	"2"	"1"	"2"	"6"	"18"	"236"	"-"	"236"	""
"224"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"225"	""	""	"Ashok Kumar Yadav"	"Faraz Fatmi"	"Madhu Ranjan Prasad"	"Md.
Mohasin"	"Md. Junaid Sattar"	"Md.
Mojahidul Islam"	"Rambabu Sahu"	"Wasi  Ahmed Khan"	"Nazre Alam"	"Nesar Ahmad"	"Bal Krishna
Jha"	"Sadre Alam"	""	""	""	""
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"227"	"203"	"186"	"50"	"414"	"16"	"50"	"1"	"6"	"2"	"1"	"1"	"8"	"4"	"5"	"558"	"-"	"558"	""
"228"	"204"	"187"	"26"	"339"	"11"	"7"	"1"	"5"	"1"	"0"	"2"	"4"	"15"	"13"	"424"	"-"	"424"	""
"229"	"205"	"188"	"19"	"432"	"13"	"17"	"1"	"0"	"1"	"1"	"1"	"2"	"2"	"4"	"493"	"-"	"493"	""
"230"	"206"	"189"	"183"	"345"	"15"	"27"	"0"	"2"	"1"	"5"	"2"	"6"	"10"	"25"	"621"	"-"	"621"	""
"231"	"207"	"190"	"197"	"246"	"5"	"0"	"1"	"0"	"1"	"0"	"3"	"3"	"10"	"18"	"484"	"-"	"484"	""
"232"	"208"	"191"	"149"	"140"	"3"	"9"	"3"	"0"	"0"	"1"	"0"	"4"	"2"	"5"	"316"	"-"	"316"	""
"233"	"209"	"192"	"255"	"312"	"11"	"5"	"4"	"2"	"5"	"9"	"5"	"5"	"8"	"7"	"628"	"-"	"628"	""
"234"	"210"	"193"	"126"	"272"	"8"	"18"	"1"	"0"	"1"	"4"	"1"	"9"	"2"	"14"	"456"	"-"	"456"	""
"235"	"211"	"194"	"136"	"114"	"5"	"39"	"0"	"1"	"0"	"0"	"0"	"0"	"7"	"5"	"307"	"-"	"307"	""
"236"	"212"	"195"	"249"	"336"	"9"	"8"	"1"	"2"	"2"	"3"	"2"	"2"	"8"	"5"	"627"	"-"	"627"	""
"237"	"213"	"196"	"9"	"380"	"11"	"42"	"6"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"451"	"-"	"451"	""
"238"	"214"	"197"	"231"	"197"	"5"	"9"	"1"	"1"	"0"	"1"	"3"	"7"	"6"	"6"	"467"	"-"	"467"	""
"239"	"215"	"198"	"367"	"209"	"8"	"6"	"3"	"0"	"1"	"3"	"0"	"3"	"7"	"14"	"621"	"-"	"621"	""
"240"	"216"	"199"	"353"	"150"	"9"	"7"	"3"	"1"	"3"	"2"	"1"	"2"	"5"	"20"	"556"	"-"	"556"	""
"241"	"217"	"200"	"120"	"198"	"8"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"2"	"332"	"-"	"332"	""
"242"	"218"	"201"	"520"	"244"	"17"	"14"	"0"	"4"	"3"	"5"	"0"	"3"	"5"	"12"	"827"	"-"	"827"	""
"243"	"219"	"202"	"288"	"188"	"9"	"21"	"1"	"3"	"0"	"0"	"4"	"5"	"8"	"10"	"537"	"-"	"537"	""
"244"	"220"	"203"	"294"	"206"	"9"	"3"	"4"	"0"	"2"	"3"	"1"	"2"	"2"	"1"	"527"	"-"	"527"	""
"245"	"221"	"204"	"216"	"192"	"10"	"4"	"1"	"1"	"4"	"0"	"4"	"1"	"6"	"7"	"446"	"-"	"446"	""
"246"	"222"	"205"	"309"	"187"	"10"	"4"	"0"	"2"	"1"	"1"	"2"	"11"	"6"	"11"	"544"	"-"	"544"	""
"247"	"223"	"206"	"166"	"296"	"13"	"38"	"6"	"2"	"1"	"3"	"0"	"6"	"9"	"17"	"557"	"-"	"557"	""
"248"	"224"	"207"	"21"	"664"	"7"	"16"	"0"	"1"	"0"	"1"	"1"	"0"	"4"	"2"	"717"	"-"	"717"	""
"249"	"225"	"208"	"9"	"223"	"6"	"18"	"1"	"0"	"7"	"2"	"2"	"6"	"5"	"11"	"290"	"-"	"290"	""
"250"	"226"	"208A"	"11"	"184"	"2"	"21"	"2"	"3"	"3"	"0"	"3"	"2"	"7"	"8"	"246"	"-"	"246"	""
"251"	"227"	"209"	"199"	"279"	"14"	"19"	"3"	"3"	"5"	"2"	"2"	"9"	"4"	"8"	"547"	"-"	"547"	""
"252"	"228"	"210"	"59"	"292"	"15"	"62"	"2"	"1"	"2"	"0"	"1"	"7"	"5"	"23"	"469"	"-"	"469"	""
"253"	"229"	"211"	"2"	"102"	"1"	"20"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"129"	"-"	"129"	""
"254"	"230"	"212"	"203"	"197"	"7"	"42"	"1"	"2"	"4"	"1"	"4"	"6"	"5"	"11"	"483"	"-"	"483"	""
"255"	"231"	"213"	"247"	"449"	"12"	"12"	"5"	"3"	"6"	"3"	"4"	"6"	"19"	"20"	"786"	"-"	"786"	""
"256"	"232"	"214"	"151"	"91"	"2"	"61"	"1"	"1"	"2"	"1"	"1"	"0"	"11"	"9"	"331"	"-"	"331"	""
"257"	"233"	"214A"	"188"	"204"	"12"	"12"	"2"	"3"	"1"	"1"	"1"	"1"	"7"	"9"	"441"	"-"	"441"	""
"258"	"234"	"215"	"243"	"104"	"9"	"61"	"1"	"0"	"3"	"1"	"2"	"0"	"3"	"12"	"439"	"-"	"439"	""
"259"	"235"	"216"	"386"	"195"	"15"	"61"	"3"	"4"	"10"	"7"	"5"	"2"	"16"	"21"	"725"	"-"	"725"	""
"260"	"236"	"217"	"107"	"48"	"1"	"106"	"8"	"0"	"3"	"2"	"2"	"1"	"2"	"5"	"285"	"-"	"285"	""
"261"	"237"	"218"	"176"	"134"	"9"	"11"	"1"	"1"	"0"	"2"	"1"	"4"	"5"	"17"	"361"	"-"	"361"	""
"262"	"238"	"218A"	"75"	"104"	"4"	"5"	"0"	"0"	"1"	"1"	"0"	"2"	"4"	"20"	"216"	"-"	"216"	""
"263"	"239"	"219"	"176"	"190"	"8"	"27"	"3"	"4"	"3"	"4"	"2"	"4"	"1"	"7"	"429"	"-"	"429"	""
"264"	"240"	"220"	"18"	"324"	"8"	"99"	"0"	"0"	"2"	"2"	"2"	"3"	"4"	"4"	"466"	"-"	"466"	""
"265"	"241"	"221"	"140"	"112"	"5"	"66"	"2"	"2"	"2"	"5"	"3"	"8"	"15"	"36"	"396"	"-"	"396"	""
"266"	"242"	"222"	"287"	"155"	"4"	"11"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"464"	"-"	"464"	""
"267"	"243"	"223"	"301"	"99"	"2"	"10"	"0"	"1"	"7"	"1"	"3"	"2"	"0"	"2"	"428"	"-"	"428"	""
"268"	"244"	"224"	"8"	"345"	"5"	"8"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"15"	"386"	"-"	"386"	""
"269"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"270"	""	""	"Ashok Kumar Yadav"	"Faraz Fatmi"	"Madhu Ranjan Prasad"	"Md.
Mohasin"	"Md. Junaid Sattar"	"Md.
Mojahidul Islam"	"Rambabu Sahu"	"Wasi  Ahmed Khan"	"Nazre Alam"	"Nesar Ahmad"	"Bal Krishna
Jha"	"Sadre Alam"	""	""	""	""
"271"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"272"	"245"	"225"	"2"	"292"	"7"	"30"	"6"	"1"	"1"	"1"	"0"	"0"	"3"	"8"	"351"	"-"	"351"	""
"273"	"246"	"226"	"112"	"309"	"11"	"36"	"4"	"5"	"5"	"3"	"5"	"0"	"9"	"7"	"506"	"-"	"506"	""
"274"	"247"	"227"	"490"	"113"	"10"	"4"	"2"	"7"	"36"	"6"	"3"	"10"	"6"	"24"	"711"	"-"	"711"	""
"275"	"248"	"228"	"251"	"238"	"12"	"28"	"2"	"1"	"11"	"4"	"3"	"6"	"6"	"27"	"589"	"-"	"589"	""
"276"	"Tot al  No.  of
vot es recording at  polling
St at ions"	""	"45790"	"45757"	"1985"	"5679"	"415"	"636"	"1917"	"606"	"584"	"991"	"1546"	"2833"	"108739"	"-"	"108739"	""
"277"	"No.  of vot es recorded on post al  ballot
papers (To be elect ion  from  an assembly
const it uency)"	""	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"0"	""
"278"	"Total Votes polled"	""	"45791"	"45762"	"1985"	"5679"	"415"	"636"	"1917"	"606"	"584"	"991"	"1546"	"2833"	"108739"	"-"	"108739"	""
"279"	"Place :    DARBHANGA                                                                                                                                     Assistant  Returning Officer                                                                   Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Date  :    24/ 11/ 2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"86  - Keot i                                                                                        86  - Keot i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
