"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total..Valid.Votes"
"196"	"158"	"172"	"0"	"1"	"27"	"2"	"0"	"2"	"2"	""	"2"	"0"	"4"	"4"	"9"	"225"
"197"	"159"	"104"	"3"	"1"	"126"	"5"	"1"	"Page 10 of21"	"8"	"2"	"2"	"3"	"2"	"3"	"11"	"265"
"198"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"201"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"202"	"160"	"43"	"17"	"43"	"82"	"1"	"1"	"2"	"2"	""	"7"	"5"	"1"	"6"	"2"	"212"
"203"	"161"	"134"	"9"	"3"	"175"	"3"	"0"	"1"	"2"	""	"3"	"2"	"0"	"0"	"6"	"338"
"204"	"161A"	"97"	"1"	"4"	"193"	"2"	"0"	"0"	"3"	""	"2"	"2"	"3"	"3"	"7"	"317"
"205"	"162"	"303"	"10"	"3"	"82"	"4"	"0"	"2"	"7"	""	"1"	"0"	"7"	"9"	"4"	"432"
"206"	"163"	"250"	"31"	"3"	"120"	"2"	"3"	"1"	"3"	""	"5"	"5"	"3"	"5"	"6"	"437"
"207"	"164"	"183"	"5"	"2"	"220"	"6"	"0"	"7"	"1"	""	"1"	"7"	"8"	"9"	"10"	"459"
"208"	"165"	"57"	"1"	"14"	"198"	"4"	"0"	"2"	"10"	""	"5"	"3"	"3"	"4"	"18"	"319"
"209"	"166"	"280"	"4"	"4"	"260"	"6"	"3"	"14"	"22"	""	"5"	"10"	"8"	"7"	"15"	"638"
"210"	"167"	"15"	"1"	"2"	"190"	"2"	"4"	"0"	"13"	""	"3"	"3"	"0"	"0"	"5"	"238"
"211"	"168"	"216"	"6"	"3"	"21"	"0"	"1"	"0"	"3"	""	"2"	"3"	"7"	"2"	"12"	"276"
"212"	"169"	"220"	"3"	"2"	"175"	"6"	"1"	"3"	"3"	""	"3"	"8"	"8"	"8"	"12"	"452"
"213"	"170"	"95"	"0"	"20"	"240"	"5"	"1"	"0"	"11"	""	"7"	"3"	"0"	"2"	"9"	"393"
"214"	"171"	"400"	"25"	"11"	"301"	"8"	"1"	"2"	"16"	""	"7"	"9"	"5"	"7"	"15"	"807"
"215"	"172"	"314"	"3"	"8"	"196"	"6"	"0"	"1"	"7"	""	"2"	"4"	"4"	"8"	"18"	"571"
"216"	"173"	"368"	"6"	"8"	"138"	"1"	"2"	"1"	"6"	""	"3"	"7"	"4"	"7"	"15"	"566"
"217"	"174"	"119"	"5"	"2"	"446"	"5"	"4"	"Page 11 of21"	"8"	"7"	"7"	"8"	"5"	"7"	"26"	"643"
"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"221"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"222"	"175"	"42"	"2"	"3"	"225"	"3"	"0"	"1"	"6"	""	"0"	"2"	"1"	"1"	"4"	"290"
"223"	"176"	"89"	"2"	"14"	"133"	"4"	"0"	"0"	"19"	""	"2"	"2"	"1"	"5"	"7"	"278"
"224"	"177"	"92"	"3"	"3"	"225"	"6"	"0"	"0"	"15"	""	"3"	"2"	"2"	"2"	"12"	"365"
"225"	"178"	"31"	"10"	"3"	"208"	"6"	"1"	"1"	"30"	""	"5"	"2"	"7"	"5"	"11"	"320"
"226"	"179"	"88"	"3"	"7"	"288"	"8"	"3"	"2"	"16"	""	"1"	"4"	"2"	"5"	"9"	"436"
"227"	"180"	"143"	"1"	"3"	"229"	"6"	"0"	"2"	"5"	""	"3"	"13"	"6"	"9"	"16"	"436"
"228"	"181"	"36"	"4"	"2"	"354"	"5"	"0"	"0"	"6"	""	"2"	"12"	"2"	"4"	"3"	"430"
"229"	"182"	"48"	"5"	"10"	"470"	"11"	"1"	"7"	"8"	""	"7"	"11"	"1"	"6"	"13"	"598"
"230"	"183"	"42"	"10"	"0"	"279"	"7"	"3"	"0"	"5"	""	"3"	"6"	"2"	"4"	"4"	"365"
"231"	"184"	"66"	"3"	"2"	"114"	"4"	"0"	"1"	"3"	""	"5"	"2"	"4"	"8"	"10"	"222"
"232"	"185"	"124"	"3"	"3"	"107"	"6"	"3"	"1"	"1"	""	"0"	"2"	"4"	"3"	"2"	"259"
"233"	"186"	"119"	"5"	"4"	"250"	"1"	"1"	"1"	"3"	""	"2"	"0"	"1"	"4"	"4"	"395"
"234"	"187"	"30"	"1"	"18"	"114"	"3"	"0"	"1"	"1"	""	"1"	"3"	"1"	"2"	"3"	"178"
"235"	"188"	"271"	"6"	"5"	"44"	"1"	"3"	"2"	"2"	""	"0"	"2"	"4"	"1"	"8"	"349"
"236"	"189"	"332"	"19"	"5"	"164"	"9"	"2"	"0"	"2"	""	"4"	"6"	"7"	"1"	"21"	"572"
"237"	"190"	"207"	"6"	"15"	"225"	"10"	"2"	"Page 12 of21"	"8"	"9"	"3"	"7"	"4"	"8"	"11"	"509"
"238"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"241"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"242"	"191"	"64"	"4"	"9"	"151"	"1"	"0"	"0"	"3"	""	"0"	"2"	"1"	"0"	"1"	"236"
"243"	"192"	"30"	"1"	"15"	"362"	"7"	"1"	"4"	"4"	""	"4"	"7"	"0"	"2"	"4"	"441"
"244"	"193"	"13"	"0"	"8"	"345"	"5"	"1"	"4"	"1"	""	"4"	"1"	"1"	"0"	"6"	"389"
"245"	"194"	"159"	"21"	"15"	"373"	"13"	"1"	"7"	"16"	""	"7"	"18"	"8"	"11"	"57"	"706"
"246"	"195"	"132"	"3"	"9"	"431"	"3"	"4"	"2"	"7"	""	"3"	"8"	"2"	"2"	"11"	"617"
"247"	"196"	"12"	"1"	"8"	"213"	"4"	"1"	"0"	"0"	""	"1"	"5"	"0"	"0"	"7"	"252"
"248"	"197"	"261"	"4"	"3"	"114"	"2"	"2"	"3"	"5"	""	"5"	"7"	"3"	"14"	"40"	"463"
"249"	"198"	"245"	"9"	"4"	"13"	"1"	"2"	"0"	"2"	""	"3"	"2"	"4"	"7"	"23"	"315"
"250"	"199"	"344"	"9"	"3"	"194"	"1"	"0"	"0"	"3"	""	"6"	"2"	"4"	"3"	"9"	"578"
"251"	"200"	"128"	"2"	"5"	"223"	"6"	"1"	"1"	"6"	""	"6"	"35"	"1"	"7"	"32"	"453"
"252"	"201"	"37"	"7"	"7"	"308"	"8"	"3"	"2"	"16"	""	"3"	"5"	"4"	"0"	"2"	"402"
"253"	"202"	"200"	"5"	"14"	"279"	"4"	"5"	"14"	"10"	""	"10"	"8"	"8"	"12"	"41"	"610"
"254"	"203"	"139"	"3"	"4"	"320"	"5"	"0"	"2"	"6"	""	"2"	"14"	"1"	"3"	"9"	"508"
"255"	"204"	"204"	"5"	"3"	"206"	"4"	"0"	"3"	"4"	""	"0"	"5"	"1"	"5"	"8"	"448"
"256"	"205"	"63"	"1"	"18"	"186"	"5"	"4"	"18"	"8"	""	"1"	"5"	"2"	"4"	"12"	"327"
"257"	"206"	"113"	"52"	"7"	"260"	"4"	"2"	"Page 13 of11"	"8"	"5"	"0"	"4"	"2"	"4"	"10"	"464"
"258"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"261"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"262"	"207"	"14"	"1"	"6"	"616"	"4"	"1"	"0"	"8"	""	"3"	"2"	"2"	"7"	"3"	"667"
"263"	"208"	"148"	"5"	"8"	"95"	"3"	"2"	"2"	"1"	""	"2"	"4"	"7"	"3"	"4"	"284"
"264"	"209"	"11"	"0"	"5"	"386"	"0"	"2"	"1"	"0"	""	"1"	"5"	"0"	"1"	"4"	"416"
"265"	"210"	"179"	"8"	"0"	"63"	"0"	"0"	"0"	"2"	""	"1"	"0"	"1"	"1"	"1"	"256"
"266"	"211"	"197"	"4"	"3"	"134"	"3"	"0"	"2"	"5"	""	"1"	"3"	"4"	"5"	"5"	"366"
"267"	"212"	"269"	"6"	"9"	"112"	"0"	"3"	"1"	"5"	""	"5"	"3"	"5"	"9"	"7"	"434"
"268"	"213"	"19"	"2"	"5"	"524"	"7"	"2"	"2"	"4"	""	"6"	"10"	"1"	"6"	"5"	"593"
"269"	"214"	"12"	"0"	"8"	"387"	"1"	"0"	"0"	"11"	""	"6"	"1"	"0"	"1"	"8"	"435"
"270"	"215"	"103"	"7"	"6"	"154"	"3"	"1"	"4"	"6"	""	"2"	"0"	"1"	"1"	"7"	"295"
"271"	"216"	"281"	"5"	"5"	"87"	"2"	"2"	"1"	"6"	""	"2"	"4"	"5"	"6"	"27"	"433"
"272"	"217"	"180"	"3"	"2"	"41"	"1"	"1"	"1"	"1"	""	"3"	"3"	"2"	"1"	"8"	"247"
"273"	"218"	"177"	"4"	"37"	"202"	"5"	"0"	"9"	"10"	""	"4"	"4"	"1"	"0"	"5"	"458"
"274"	"219"	"16"	"0"	"6"	"187"	"0"	"0"	"0"	"2"	""	"4"	"0"	"1"	"1"	"0"	"217"
"275"	"220"	"79"	"4"	"24"	"248"	"7"	"5"	"4"	"7"	""	"4"	"4"	"2"	"3"	"8"	"399"
"276"	"221"	"129"	"8"	"22"	"141"	"2"	"0"	"0"	"6"	""	"4"	"3"	"3"	"0"	"8"	"326"
"277"	"222"	"29"	"8"	"34"	"206"	"3"	"1"	"Page 14 of11"	"8"	"4"	"4"	"18"	"1"	"1"	"2"	"312"
"278"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"281"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"282"	"223"	"13"	"9"	"15"	"283"	"3"	"2"	"27"	"9"	""	"3"	"1"	"1"	"0"	"7"	"373"
"283"	"224"	"192"	"12"	"3"	"90"	"5"	"2"	"1"	"3"	""	"1"	"3"	"3"	"2"	"8"	"325"
"284"	"225"	"237"	"2"	"10"	"186"	"28"	"0"	"6"	"5"	""	"3"	"4"	"1"	"3"	"6"	"491"
"285"	"226"	"99"	"1"	"9"	"459"	"8"	"1"	"5"	"17"	""	"8"	"5"	"7"	"4"	"17"	"640"
"286"	"227"	"279"	"9"	"6"	"253"	"3"	"0"	"6"	"12"	""	"10"	"14"	"7"	"14"	"57"	"670"
"287"	"228"	"48"	"2"	"17"	"433"	"8"	"2"	"0"	"12"	""	"4"	"20"	"1"	"6"	"11"	"564"
"288"	"229"	"122"	"8"	"21"	"520"	"9"	"0"	"2"	"11"	""	"7"	"4"	"13"	"14"	"30"	"761"
"289"	"230"	"20"	"1"	"12"	"368"	"1"	"0"	"1"	"3"	""	"1"	"2"	"2"	"1"	"2"	"414"
"290"	"231"	"23"	"1"	"5"	"292"	"7"	"1"	"0"	"11"	""	"2"	"10"	"0"	"4"	"11"	"367"
"291"	"232"	"159"	"5"	"12"	"347"	"11"	"2"	"2"	"4"	""	"12"	"15"	"8"	"11"	"28"	"616"
"292"	"233"	"305"	"5"	"5"	"121"	"1"	"1"	"3"	"5"	""	"2"	"24"	"5"	"7"	"12"	"496"
"293"	"234"	"28"	"1"	"12"	"320"	"1"	"0"	"1"	"16"	""	"2"	"4"	"2"	"3"	"2"	"392"
"294"	"235"	"48"	"1"	"17"	"559"	"9"	"1"	"1"	"14"	""	"6"	"2"	"1"	"7"	"9"	"675"
"295"	"236"	"232"	"15"	"11"	"286"	"1"	"1"	"6"	"21"	""	"6"	"7"	"9"	"12"	"23"	"630"
"296"	"237"	"434"	"13"	"9"	"113"	"5"	"1"	"7"	"8"	""	"3"	"17"	"14"	"28"	"33"	"685"
"297"	"238"	"166"	"6"	"10"	"263"	"2"	"1"	"Page 15 of71"	"8"	"34"	"2"	"6"	"3"	"5"	"5"	"510"
"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"301"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"302"	"239"	"126"	"3"	"7"	"244"	"4"	"0"	"0"	"4"	""	"3"	"6"	"3"	"2"	"6"	"408"
"303"	"240"	"153"	"2"	"9"	"281"	"7"	"2"	"3"	"1"	""	"4"	"2"	"9"	"4"	"17"	"494"
"304"	"241"	"416"	"6"	"4"	"100"	"4"	"1"	"2"	"14"	""	"0"	"1"	"1"	"0"	"3"	"552"
"305"	"242"	"129"	"6"	"13"	"312"	"2"	"1"	"2"	"1"	""	"0"	"5"	"1"	"5"	"13"	"490"
"306"	"243"	"236"	"11"	"10"	"142"	"2"	"0"	"6"	"14"	""	"7"	"6"	"6"	"7"	"17"	"464"
"307"	"244"	"24"	"0"	"3"	"275"	"1"	"3"	"6"	"4"	""	"1"	"1"	"0"	"0"	"2"	"320"
"308"	"245"	"125"	"25"	"10"	"334"	"3"	"4"	"3"	"10"	""	"4"	"5"	"5"	"7"	"9"	"544"
"309"	"246"	"27"	"2"	"13"	"411"	"13"	"3"	"20"	"8"	""	"2"	"3"	"3"	"0"	"3"	"508"
"310"	"247"	"460"	"14"	"3"	"41"	"7"	"3"	"0"	"6"	""	"4"	"4"	"7"	"9"	"23"	"581"
"311"	"248"	"143"	"2"	"5"	"240"	"6"	"0"	"0"	"6"	""	"1"	"8"	"5"	"7"	"22"	"445"
"312"	"249"	"58"	"8"	"6"	"302"	"11"	"1"	"1"	"1"	""	"9"	"1"	"0"	"1"	"9"	"408"
"313"	"250"	"253"	"7"	"0"	"3"	"1"	"0"	"0"	"0"	""	"3"	"2"	"0"	"1"	"5"	"275"
"314"	"251"	"121"	"7"	"13"	"388"	"12"	"5"	"3"	"14"	""	"9"	"10"	"3"	"10"	"23"	"618"
"315"	"252"	"353"	"31"	"12"	"63"	"2"	"4"	"17"	"4"	""	"0"	"5"	"2"	"4"	"5"	"502"
"316"	"253"	"108"	"4"	"16"	"91"	"1"	"1"	"1"	"0"	""	"5"	"4"	"4"	"2"	"8"	"245"
"317"	"254"	"287"	"5"	"4"	"169"	"3"	"1"	"Page 16 of31"	"8"	"6"	"3"	"2"	"4"	"6"	"16"	"509"
"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"321"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"322"	"255"	"73"	"13"	"12"	"404"	"15"	"3"	"15"	"17"	""	"9"	"13"	"10"	"10"	"36"	"630"
"323"	"256"	"227"	"3"	"6"	"71"	"1"	"3"	"13"	"2"	""	"2"	"3"	"4"	"3"	"11"	"349"
"324"	"257"	"102"	"3"	"0"	"58"	"1"	"0"	"1"	"0"	""	"0"	"0"	"4"	"6"	"3"	"178"
"325"	"258"	"89"	"0"	"2"	"118"	"3"	"0"	"0"	"6"	""	"10"	"2"	"3"	"2"	"15"	"250"
"326"	"259"	"216"	"14"	"68"	"84"	"1"	"0"	"3"	"6"	""	"5"	"4"	"3"	"8"	"17"	"429"
"327"	"260"	"252"	"1"	"1"	"12"	"0"	"0"	"0"	"1"	""	"1"	"5"	"1"	"6"	"21"	"301"
"328"	"261"	"216"	"9"	"12"	"198"	"2"	"3"	"2"	"7"	""	"5"	"4"	"1"	"6"	"36"	"501"
"329"	"262"	"107"	"13"	"15"	"123"	"4"	"3"	"2"	"9"	""	"4"	"4"	"1"	"7"	"9"	"301"
"330"	"263"	"30"	"1"	"12"	"246"	"4"	"1"	"5"	"5"	""	"3"	"4"	"1"	"1"	"6"	"319"
"331"	"264"	"18"	"0"	"27"	"313"	"1"	"1"	"17"	"55"	""	"2"	"1"	"2"	"2"	"5"	"444"
"332"	"265"	"27"	"4"	"12"	"249"	"4"	"0"	"3"	"53"	""	"0"	"3"	"0"	"4"	"6"	"365"
"333"	"266"	"196"	"19"	"7"	"233"	"7"	"2"	"11"	"12"	""	"6"	"10"	"4"	"5"	"9"	"521"
"334"	"267"	"190"	"4"	"5"	"325"	"2"	"3"	"1"	"16"	""	"6"	"11"	"9"	"16"	"52"	"640"
"335"	"268"	"147"	"2"	"11"	"187"	"6"	"6"	"16"	"22"	""	"12"	"11"	"8"	"13"	"46"	"487"
"336"	"269"	"26"	"0"	"15"	"187"	"3"	"0"	"0"	"2"	""	"3"	"5"	"2"	"3"	"7"	"253"
"337"	"269A"	"37"	"1"	"6"	"150"	"2"	"0"	"Page 17 of11"	"8"	"0"	"2"	"4"	"1"	"2"	"6"	"212"
"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"341"	""	"Arun Kumar"	"Arjun Prasad"	"Basundhara Kumari"	"Harinarayan Singh"	"Om Prakash Prasad"	"Maheshwar Das"	"Sunaina Devi"	"Anil Singh"	""	"Amar Kant Paswan"	"Chandra Uday Kumar"	"Dharmendra Kumar"	"Ram Pravesh Prasad"	"Santosh Kumar"	""
"342"	"270"	"42"	"7"	"7"	"184"	"5"	"2"	"26"	"3"	""	"0"	"0"	"1"	"0"	"1"	"278"
"343"	"271"	"83"	"3"	"2"	"122"	"3"	"2"	"29"	"5"	""	"2"	"4"	"2"	"5"	"5"	"267"
"344"	"272"	"101"	"4"	"26"	"175"	"2"	"3"	"8"	"7"	""	"5"	"2"	"2"	"3"	"4"	"342"
"345"	"273"	"198"	"0"	"27"	"162"	"4"	"1"	"0"	"7"	""	"0"	"0"	"0"	"1"	"8"	"408"
"346"	"274"	"62"	"1"	"5"	"342"	"4"	"0"	"4"	"2"	""	"2"	"3"	"2"	"3"	"18"	"448"
"347"	"275"	"75"	"29"	"10"	"301"	"13"	"5"	"10"	"11"	""	"11"	"19"	"7"	"11"	"25"	"527"
"348"	"276"	"21"	"1"	"29"	"86"	"5"	"4"	"4"	"9"	""	"0"	"1"	"3"	"1"	"2"	"166"
"349"	"277"	"87"	"1"	"1"	"260"	"4"	"0"	"0"	"1"	""	"2"	"0"	"0"	"3"	"8"	"367"
"350"	"278"	"390"	"7"	"1"	"12"	"3"	"1"	"2"	"2"	""	"4"	"2"	"6"	"4"	"9"	"443"
"351"	"279"	"80"	"0"	"13"	"120"	"1"	"1"	"0"	"1"	""	"0"	"2"	"1"	"1"	"6"	"226"
"352"	"Total:"	"41785"	"2169"	"2797"	"56827"	"1489"	"439"	"1381"	"4542"	""	"1000"	"1406"	"1183"	"1417"	"3668"	"120103"
"353"	"Page 18 of 18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
