"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X260646.29.260675.40.Laukaha"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"164"	"111"	"80"	"27"	"3"	"13"	"19"	"114"	"12"	"3"	"3"	"2"	"6"	"10"	"8"	"42"	"342"	""	"342"	""
"165"	"112"	"186"	"28"	"5"	"2"	"11"	"143"	"2"	"3"	"4"	"1"	"2"	"3"	"19"	"15"	"424"	""	"424"	""
"166"	"113"	"265"	"34"	"9"	"8"	"17"	"192"	"46"	"6"	"12"	"3"	"9"	"8"	"13"	"33"	"655"	""	"655"	""
"167"	"114"	"18"	"16"	"10"	"1"	"8"	"128"	"8"	"3"	"3"	"2"	"1"	"9"	"4"	"6"	"217"	""	"217"	""
"168"	"115"	"61"	"108"	"8"	"8"	"12"	"176"	"5"	"3"	"1"	"1"	"2"	"10"	"5"	"4"	"404"	""	"404"	""
"169"	"116"	"38"	"8"	"3"	"3"	"3"	"28"	"394"	"33"	"4"	"5"	"4"	"8"	"4"	"18"	"553"	""	"553"	""
"170"	"117"	"147"	"34"	"5"	"15"	"23"	"223"	"92"	"10"	"9"	"4"	"7"	"12"	"10"	"23"	"614"	""	"614"	""
"171"	"118"	"84"	"8"	"85"	"106"	"20"	"120"	"11"	"7"	"10"	"6"	"1"	"5"	"6"	"4"	"473"	""	"473"	""
"172"	"119"	"53"	"13"	"18"	"164"	"11"	"174"	"28"	"12"	"10"	"4"	"5"	"6"	"6"	"11"	"515"	""	"515"	""
"173"	"120"	"30"	"13"	"2"	"35"	"28"	"230"	"30"	"4"	"5"	"3"	"1"	"6"	"12"	"12"	"411"	""	"411"	""
"174"	"121"	"145"	"8"	"5"	"21"	"16"	"147"	"44"	"8"	"15"	"4"	"6"	"9"	"15"	"18"	"461"	""	"461"	""
"175"	"122"	"152"	"28"	"9"	"121"	"29"	"192"	"123"	"14"	"4"	"5"	"3"	"12"	"3"	"10"	"705"	""	"705"	""
"176"	"123"	"51"	"7"	"7"	"155"	"3"	"43"	"20"	"12"	"5"	"4"	"4"	"3"	"6"	"21"	"341"	""	"341"	""
"177"	"124"	"160"	"9"	"5"	"2"	"22"	"314"	"16"	"7"	"8"	"1"	"3"	"10"	"4"	"4"	"565"	""	"565"	""
"178"	"Total -9"	"1470"	"341"	"174"	"654"	"222"	"2224"	"831"	"125"	"93"	"45"	"54"	"111"	"115"	"221"	"6680"	"0"	"6680"	"0"
"179"	"Place : Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Date   : 24.11.2010                                                                                                                                                                                                9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"185"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"186"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"187"	"B.F."	"14756"	"7006"	"1067"	"3753"	"2707"	"22073"	"11059"	"1083"	"1083"	"433"	"481"	"1155"	"1468"	"1701"	"69825"	"0"	"69825"	"0"
"188"	"124A"	"82"	"8"	"1"	"9"	"4"	"144"	"24"	"4"	"2"	"1"	"2"	"7"	"8"	"3"	"299"	""	"299"	""
"189"	"125"	"400"	"32"	"5"	"49"	"10"	"51"	"54"	"14"	"4"	"4"	"11"	"7"	"8"	"25"	"674"	""	"674"	""
"190"	"126"	"284"	"15"	"7"	"20"	"5"	"58"	"125"	"8"	"12"	"2"	"5"	"2"	"9"	"18"	"570"	""	"570"	""
"191"	"127"	"340"	"16"	"7"	"12"	"20"	"53"	"59"	"9"	"8"	"4"	"4"	"11"	"12"	"31"	"586"	""	"586"	""
"192"	"128"	"194"	"21"	"5"	"11"	"9"	"100"	"30"	"5"	"4"	"1"	"4"	"7"	"1"	"5"	"397"	""	"397"	""
"193"	"129"	"16"	"5"	"45"	"3"	"7"	"225"	"36"	"4"	"4"	"0"	"0"	"7"	"5"	"2"	"359"	""	"359"	""
"194"	"130"	"19"	"49"	"23"	"135"	"9"	"193"	"36"	"9"	"7"	"4"	"2"	"10"	"10"	"15"	"521"	""	"521"	""
"195"	"131"	"43"	"40"	"10"	"101"	"18"	"207"	"7"	"10"	"11"	"5"	"2"	"21"	"10"	"21"	"506"	""	"506"	""
"196"	"132"	"17"	"15"	"10"	"116"	"9"	"128"	"14"	"13"	"2"	"2"	"2"	"3"	"35"	"8"	"374"	""	"374"	""
"197"	"133"	"22"	"24"	"17"	"107"	"34"	"342"	"55"	"6"	"10"	"6"	"10"	"19"	"16"	"43"	"711"	""	"711"	""
"198"	"134"	"14"	"35"	"19"	"112"	"15"	"186"	"26"	"10"	"12"	"7"	"5"	"12"	"12"	"24"	"489"	""	"489"	""
"199"	"135"	"18"	"6"	"5"	"180"	"3"	"99"	"130"	"10"	"7"	"5"	"9"	"6"	"2"	"23"	"503"	""	"503"	""
"200"	"136"	"15"	"22"	"6"	"144"	"20"	"203"	"38"	"7"	"7"	"1"	"3"	"12"	"11"	"8"	"497"	""	"497"	""
"201"	"137"	"28"	"74"	"44"	"58"	"20"	"129"	"3"	"1"	"7"	"4"	"3"	"9"	"5"	"5"	"390"	""	"390"	""
"202"	"Total -10"	"1492"	"362"	"204"	"1057"	"183"	"2118"	"637"	"110"	"97"	"46"	"62"	"133"	"144"	"231"	"6876"	"0"	"6876"	"0"
"203"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"205"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"207"	"B.F."	"16248"	"7368"	"1271"	"4810"	"2890"	"24191"	"11696"	"1193"	"1180"	"479"	"543"	"1288"	"1612"	"1932"	"76701"	"0"	"76701"	"0"
"208"	"138"	"6"	"36"	"50"	"25"	"20"	"118"	"4"	"5"	"4"	"6"	"4"	"10"	"8"	"3"	"299"	""	"299"	""
"209"	"139"	"95"	"17"	"300"	"35"	"8"	"108"	"17"	"3"	"4"	"11"	"7"	"13"	"8"	"4"	"630"	""	"630"	""
"210"	"140"	"11"	"13"	"11"	"5"	"15"	"131"	"158"	"6"	"2"	"2"	"1"	"5"	"3"	"7"	"370"	""	"370"	""
"211"	"141"	"29"	"42"	"87"	"37"	"13"	"186"	"118"	"17"	"5"	"4"	"8"	"11"	"7"	"15"	"579"	""	"579"	""
"212"	"142"	"14"	"48"	"77"	"18"	"14"	"124"	"19"	"9"	"4"	"11"	"2"	"10"	"5"	"8"	"363"	""	"363"	""
"213"	"143"	"274"	"22"	"3"	"6"	"34"	"39"	"1"	"2"	"3"	"1"	"1"	"9"	"57"	"13"	"465"	""	"465"	""
"214"	"144"	"44"	"57"	"18"	"15"	"66"	"217"	"13"	"7"	"11"	"8"	"1"	"33"	"11"	"17"	"518"	""	"518"	""
"215"	"145"	"154"	"33"	"5"	"13"	"60"	"96"	"2"	"1"	"3"	"3"	"2"	"3"	"2"	"2"	"379"	""	"379"	""
"216"	"146"	"254"	"65"	"14"	"7"	"53"	"159"	"7"	"2"	"2"	"3"	"2"	"7"	"5"	"10"	"590"	""	"590"	""
"217"	"147"	"47"	"69"	"1"	"4"	"26"	"334"	"36"	"6"	"4"	"1"	"3"	"20"	"4"	"9"	"564"	""	"564"	""
"218"	"148"	"43"	"128"	"3"	"1"	"23"	"88"	"4"	"4"	"6"	"3"	"3"	"7"	"8"	"11"	"332"	""	"332"	""
"219"	"149"	"269"	"41"	"5"	"43"	"34"	"164"	"65"	"8"	"5"	"3"	"4"	"10"	"3"	"3"	"657"	""	"657"	""
"220"	"150"	"309"	"68"	"1"	"5"	"9"	"5"	"4"	"2"	"1"	"0"	"0"	"7"	"0"	"2"	"413"	""	"413"	""
"221"	"151"	"262"	"139"	"13"	"26"	"26"	"291"	"88"	"16"	"8"	"3"	"2"	"14"	"12"	"16"	"916"	""	"916"	""
"222"	"Total -11"	"1811"	"778"	"588"	"240"	"401"	"2060"	"536"	"88"	"62"	"59"	"40"	"159"	"133"	"120"	"7075"	"0"	"7075"	"0"
"223"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"225"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"226"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"227"	"B.F."	"18059"	"8146"	"1859"	"5050"	"3291"	"26251"	"12232"	"1281"	"1242"	"538"	"583"	"1447"	"1745"	"2052"	"83776"	"0"	"83776"	"0"
"228"	"152"	"7"	"96"	"5"	"73"	"12"	"187"	"62"	"3"	"8"	"6"	"3"	"12"	"10"	"12"	"496"	""	"496"	""
"229"	"153"	"82"	"70"	"6"	"18"	"25"	"207"	"10"	"10"	"7"	"1"	"4"	"5"	"46"	"4"	"495"	""	"495"	""
"230"	"154"	"52"	"99"	"8"	"3"	"20"	"324"	"32"	"8"	"7"	"4"	"5"	"7"	"11"	"9"	"589"	""	"589"	""
"231"	"155"	"17"	"24"	"3"	"5"	"3"	"46"	"265"	"9"	"4"	"3"	"0"	"5"	"6"	"13"	"403"	""	"403"	""
"232"	"156"	"11"	"125"	"5"	"14"	"78"	"406"	"77"	"14"	"10"	"12"	"4"	"54"	"52"	"20"	"882"	""	"882"	""
"233"	"157"	"120"	"82"	"5"	"30"	"23"	"144"	"94"	"6"	"5"	"6"	"6"	"104"	"17"	"21"	"663"	""	"663"	""
"234"	"158"	"68"	"136"	"9"	"8"	"10"	"375"	"20"	"12"	"12"	"6"	"7"	"7"	"12"	"21"	"703"	""	"703"	""
"235"	"159"	"14"	"42"	"51"	"4"	"20"	"251"	"43"	"3"	"5"	"4"	"3"	"9"	"9"	"4"	"462"	""	"462"	""
"236"	"160"	"4"	"80"	"4"	"7"	"10"	"156"	"3"	"4"	"5"	"3"	"4"	"5"	"4"	"8"	"297"	""	"297"	""
"237"	"161"	"272"	"7"	"0"	"0"	"4"	"14"	"5"	"2"	"0"	"1"	"0"	"0"	"2"	"1"	"308"	""	"308"	""
"238"	"162"	"80"	"43"	"11"	"5"	"428"	"62"	"5"	"7"	"8"	"3"	"1"	"7"	"4"	"1"	"665"	""	"665"	""
"239"	"163"	"197"	"196"	"10"	"27"	"110"	"162"	"18"	"8"	"6"	"3"	"4"	"9"	"7"	"11"	"768"	""	"768"	""
"240"	"164"	"85"	"48"	"13"	"7"	"124"	"264"	"6"	"7"	"7"	"7"	"7"	"13"	"9"	"8"	"605"	""	"605"	""
"241"	"165"	"41"	"97"	"7"	"18"	"45"	"183"	"118"	"23"	"4"	"9"	"6"	"14"	"10"	"31"	"606"	""	"606"	""
"242"	"Total -12"	"1050"	"1145"	"137"	"219"	"912"	"2781"	"758"	"116"	"88"	"68"	"54"	"251"	"199"	"164"	"7942"	"0"	"7942"	"0"
"243"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"245"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"246"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"247"	"B.F."	"19109"	"9291"	"1996"	"5269"	"4203"	"29032"	"12990"	"1397"	"1330"	"606"	"637"	"1698"	"1944"	"2216"	"91718"	"0"	"91718"	"0"
"248"	"166"	"105"	"179"	"20"	"5"	"26"	"173"	"25"	"3"	"7"	"5"	"4"	"17"	"11"	"6"	"586"	""	"586"	""
"249"	"167"	"53"	"141"	"5"	"52"	"8"	"217"	"2"	"1"	"6"	"1"	"2"	"16"	"9"	"5"	"518"	""	"518"	""
"250"	"168"	"23"	"49"	"5"	"6"	"33"	"302"	"9"	"5"	"8"	"3"	"4"	"10"	"6"	"7"	"470"	""	"470"	""
"251"	"168A"	"24"	"35"	"0"	"0"	"12"	"320"	"15"	"3"	"7"	"0"	"0"	"7"	"3"	"2"	"428"	""	"428"	""
"252"	"169"	"11"	"20"	"60"	"4"	"3"	"95"	"5"	"1"	"3"	"1"	"1"	"4"	"1"	"5"	"214"	""	"214"	""
"253"	"170"	"315"	"13"	"12"	"15"	"48"	"118"	"30"	"3"	"3"	"2"	"0"	"0"	"2"	"3"	"564"	""	"564"	""
"254"	"171"	"82"	"60"	"6"	"5"	"14"	"231"	"158"	"15"	"7"	"2"	"1"	"9"	"3"	"4"	"597"	""	"597"	""
"255"	"172"	"12"	"124"	"53"	"1"	"13"	"71"	"1"	"1"	"0"	"1"	"2"	"4"	"2"	"8"	"293"	""	"293"	""
"256"	"173"	"34"	"12"	"114"	"4"	"9"	"113"	"8"	"4"	"6"	"9"	"4"	"13"	"7"	"14"	"351"	""	"351"	""
"257"	"174"	"229"	"152"	"6"	"4"	"11"	"142"	"9"	"6"	"2"	"2"	"6"	"15"	"11"	"12"	"607"	""	"607"	""
"258"	"175"	"61"	"47"	"4"	"6"	"16"	"116"	"120"	"6"	"3"	"2"	"3"	"4"	"4"	"4"	"396"	""	"396"	""
"259"	"176"	"59"	"168"	"7"	"2"	"5"	"74"	"7"	"2"	"1"	"1"	"1"	"4"	"4"	"3"	"338"	""	"338"	""
"260"	"177"	"218"	"67"	"5"	"9"	"10"	"35"	"43"	"4"	"8"	"4"	"4"	"7"	"5"	"16"	"435"	""	"435"	""
"261"	"178"	"311"	"32"	"2"	"3"	"12"	"68"	"26"	"2"	"5"	"2"	"2"	"1"	"5"	"11"	"482"	""	"482"	""
"262"	"Total -13"	"1537"	"1099"	"299"	"116"	"220"	"2075"	"458"	"56"	"66"	"35"	"34"	"111"	"73"	"100"	"6279"	"0"	"6279"	"0"
"263"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"265"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"266"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"267"	"B.F."	"20646"	"10390"	"2295"	"5385"	"4423"	"31107"	"13448"	"1453"	"1396"	"641"	"671"	"1809"	"2017"	"2316"	"97997"	"0"	"97997"	"0"
"268"	"179"	"365"	"54"	"11"	"5"	"76"	"62"	"12"	"10"	"4"	"5"	"3"	"10"	"43"	"27"	"687"	""	"687"	""
"269"	"180"	"48"	"185"	"11"	"13"	"22"	"329"	"100"	"7"	"8"	"3"	"6"	"12"	"10"	"20"	"774"	""	"774"	""
"270"	"181"	"386"	"33"	"5"	"1"	"69"	"91"	"13"	"4"	"8"	"5"	"4"	"12"	"13"	"18"	"662"	""	"662"	""
"271"	"182"	"105"	"35"	"9"	"7"	"25"	"102"	"29"	"2"	"5"	"1"	"2"	"13"	"8"	"12"	"355"	""	"355"	""
"272"	"183"	"39"	"4"	"0"	"4"	"12"	"133"	"18"	"6"	"3"	"2"	"4"	"9"	"86"	"12"	"332"	""	"332"	""
"273"	"184"	"117"	"99"	"1"	"11"	"29"	"320"	"34"	"6"	"2"	"0"	"2"	"13"	"14"	"7"	"655"	""	"655"	""
"274"	"185"	"201"	"46"	"8"	"12"	"8"	"143"	"5"	"4"	"4"	"1"	"5"	"16"	"64"	"17"	"534"	""	"534"	""
"275"	"186"	"12"	"35"	"5"	"1"	"13"	"579"	"16"	"4"	"6"	"2"	"6"	"4"	"3"	"8"	"694"	""	"694"	""
"276"	"187"	"74"	"101"	"8"	"5"	"11"	"212"	"237"	"16"	"11"	"10"	"9"	"10"	"16"	"29"	"749"	""	"749"	""
"277"	"188"	"109"	"169"	"5"	"52"	"9"	"202"	"6"	"7"	"11"	"4"	"3"	"8"	"6"	"5"	"596"	""	"596"	""
"278"	"189"	"25"	"153"	"7"	"7"	"20"	"277"	"62"	"6"	"8"	"4"	"5"	"7"	"6"	"11"	"598"	""	"598"	""
"279"	"190"	"62"	"58"	"4"	"8"	"9"	"460"	"123"	"11"	"11"	"7"	"3"	"5"	"8"	"11"	"780"	""	"780"	""
"280"	"191"	"84"	"105"	"12"	"9"	"30"	"220"	"6"	"4"	"7"	"2"	"2"	"6"	"11"	"10"	"508"	""	"508"	""
"281"	"192"	"177"	"62"	"1"	"11"	"26"	"178"	"8"	"3"	"5"	"3"	"2"	"9"	"11"	"15"	"511"	""	"511"	""
"282"	"Total -14"	"1804"	"1139"	"87"	"146"	"359"	"3308"	"669"	"90"	"93"	"49"	"56"	"134"	"299"	"202"	"8435"	"0"	"8435"	"0"
"283"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"285"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"286"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"287"	"B.F."	"22450"	"11529"	"2382"	"5531"	"4782"	"34415"	"14117"	"1543"	"1489"	"690"	"727"	"1943"	"2316"	"2518"	"106432"	"0"	"106432"	"0"
"288"	"193"	"173"	"14"	"4"	"11"	"177"	"112"	"4"	"6"	"2"	"1"	"0"	"9"	"2"	"7"	"522"	""	"522"	""
"289"	"194"	"13"	"16"	"0"	"22"	"85"	"139"	"1"	"2"	"2"	"2"	"2"	"3"	"1"	"3"	"291"	""	"291"	""
"290"	"195"	"7"	"16"	"0"	"9"	"1"	"297"	"5"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"339"	""	"339"	""
"291"	"196"	"28"	"25"	"2"	"7"	"18"	"319"	"11"	"10"	"14"	"5"	"5"	"11"	"17"	"39"	"511"	""	"511"	""
"292"	"197"	"126"	"36"	"6"	"7"	"14"	"196"	"8"	"3"	"9"	"0"	"0"	"5"	"1"	"5"	"416"	""	"416"	""
"293"	"198"	"99"	"69"	"4"	"4"	"10"	"222"	"17"	"4"	"1"	"0"	"3"	"3"	"2"	"6"	"444"	""	"444"	""
"294"	"199"	"79"	"103"	"10"	"9"	"18"	"219"	"34"	"8"	"5"	"8"	"2"	"7"	"4"	"16"	"522"	""	"522"	""
"295"	"199A"	"30"	"61"	"4"	"5"	"10"	"196"	"42"	"7"	"2"	"2"	"9"	"7"	"7"	"10"	"392"	""	"392"	""
"296"	"200"	"99"	"38"	"3"	"8"	"3"	"163"	"8"	"6"	"7"	"1"	"0"	"5"	"4"	"3"	"348"	""	"348"	""
"297"	"200A"	"72"	"43"	"2"	"10"	"5"	"137"	"16"	"3"	"6"	"4"	"2"	"15"	"2"	"5"	"322"	""	"322"	""
"298"	"201"	"38"	"57"	"10"	"9"	"14"	"471"	"7"	"14"	"15"	"2"	"4"	"11"	"0"	"9"	"661"	""	"661"	""
"299"	"202"	"57"	"87"	"5"	"3"	"7"	"187"	"5"	"5"	"6"	"1"	"4"	"9"	"14"	"9"	"399"	""	"399"	""
"300"	"203"	"129"	"108"	"7"	"10"	"20"	"314"	"12"	"8"	"10"	"5"	"6"	"8"	"12"	"5"	"654"	""	"654"	""
"301"	"204"	"468"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"472"	""	"472"	""
"302"	"Total -15"	"1418"	"673"	"57"	"114"	"382"	"2975"	"170"	"76"	"80"	"31"	"37"	"95"	"67"	"118"	"6293"	"0"	"6293"	"0"
"303"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"305"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"306"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"307"	"B.F."	"23868"	"12202"	"2439"	"5645"	"5164"	"37390"	"14287"	"1619"	"1569"	"721"	"764"	"2038"	"2383"	"2636"	"112725"	"0"	"112725"	"0"
"308"	"205"	"208"	"21"	"1"	"10"	"16"	"96"	"17"	"1"	"1"	"3"	"1"	"3"	"1"	"13"	"392"	""	"392"	""
"309"	"206"	"61"	"9"	"1"	"13"	"10"	"213"	"13"	"2"	"13"	"2"	"2"	"7"	"13"	"16"	"375"	""	"375"	""
"310"	"207"	"81"	"212"	"25"	"13"	"29"	"281"	"10"	"9"	"19"	"3"	"4"	"17"	"21"	"38"	"762"	""	"762"	""
"311"	"208"	"46"	"78"	"2"	"7"	"18"	"174"	"4"	"8"	"8"	"2"	"1"	"3"	"5"	"8"	"364"	""	"364"	""
"312"	"209"	"226"	"22"	"11"	"3"	"36"	"78"	"4"	"1"	"1"	"0"	"0"	"5"	"3"	"12"	"402"	""	"402"	""
"313"	"210"	"135"	"28"	"32"	"78"	"82"	"120"	"17"	"13"	"4"	"4"	"5"	"14"	"8"	"16"	"556"	""	"556"	""
"314"	"211"	"325"	"15"	"9"	"3"	"3"	"8"	"5"	"2"	"2"	"3"	"1"	"1"	"1"	"1"	"379"	""	"379"	""
"315"	"212"	"16"	"23"	"13"	"2"	"7"	"156"	"2"	"1"	"0"	"3"	"0"	"6"	"0"	"1"	"230"	""	"230"	""
"316"	"213"	"11"	"52"	"9"	"7"	"11"	"200"	"85"	"6"	"7"	"3"	"2"	"6"	"6"	"3"	"408"	""	"408"	""
"317"	"213A"	"12"	"115"	"0"	"4"	"17"	"215"	"7"	"2"	"4"	"0"	"1"	"4"	"2"	"4"	"387"	""	"387"	""
"318"	"214"	"28"	"50"	"10"	"2"	"9"	"206"	"29"	"5"	"12"	"2"	"4"	"5"	"10"	"11"	"383"	""	"383"	""
"319"	"215"	"13"	"97"	"31"	"2"	"16"	"190"	"8"	"4"	"1"	"3"	"0"	"6"	"9"	"7"	"387"	""	"387"	""
"320"	"216"	"116"	"175"	"10"	"80"	"29"	"65"	"2"	"5"	"6"	"1"	"2"	"2"	"2"	"5"	"500"	""	"500"	""
"321"	"217"	"254"	"146"	"31"	"20"	"15"	"163"	"14"	"2"	"4"	"1"	"6"	"10"	"34"	"9"	"709"	""	"709"	""
"322"	"Total -16"	"1532"	"1043"	"185"	"244"	"298"	"2165"	"217"	"61"	"82"	"30"	"29"	"89"	"115"	"144"	"6234"	"0"	"6234"	"0"
"323"	""	""	""	""	""	""	"260646+29=260675
40-Laukaha"	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"325"	""	"Chitaranjan Prasad Yadav"	"Dev Narayan Mandal"	"Pramod Kumar Priyedarshi"	"Rupesh Kumar"	"Satya Narayan Yadav"	"Hari Prasad sah"	"Tajmmul Hussain"	"Indra Kala Devi"	"Dev Kumar Sah"	"Balak Das"	"Braham Deo Mandal"	"Rambalak Paswan"	"Shiv Nath Saday"	"Shibu Yadav"	""	""	""	""
"326"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"327"	"B.F."	"25400"	"13245"	"2624"	"5889"	"5462"	"39555"	"14504"	"1680"	"1651"	"751"	"793"	"2127"	"2498"	"2780"	"118959"	"0"	"118959"	"0"
"328"	"218"	"63"	"85"	"5"	"14"	"17"	"109"	"6"	"6"	"6"	"0"	"1"	"4"	"3"	"7"	"326"	""	"326"	""
"329"	"219"	"84"	"107"	"3"	"18"	"20"	"83"	"8"	"1"	"4"	"1"	"1"	"9"	"2"	"3"	"344"	""	"344"	""
"330"	"220"	"308"	"17"	"2"	"3"	"10"	"34"	"3"	"2"	"4"	"0"	"0"	"4"	"4"	"3"	"394"	""	"394"	""
