"No..of.vailed.Votes.Caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"232"	"196"	""	"70"	"287"	"6"	"7"	"1"	"2"	"0"	"2"	"2"	"70"	"447"
"233"	"196"	"A"	"100"	"287"	"6"	"3"	"3"	"9"	"3"	"2"	"12"	"23"	"448"
"234"	"197"	""	"289"	"238"	"4"	"10"	"0"	"8"	"4"	"5"	"17"	"212"	"787"
"235"	"198"	""	"173"	"165"	"3"	"5"	"4"	"3"	"5"	"20"	"11"	"25"	"414"
"236"	"199"	""	"203"	"80"	"4"	"5"	"0"	"5"	"2"	"0"	"4"	"14"	"317"
"237"	"15"	""	"1489"	"1473"	"28"	"56"	"14"	"31"	"19"	"33"	"56"	"363"	"3562"
"238"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"239"	""	""	"CHANDRIKA RAI"	"CHHOTE LAL RAI"	"MURLI MANOHAR SINGH"	"RAMNATH VIDYARTHI"	"SANDHAYA RAY"	"KRISHNA ROY"	"SARBA RAI"	"ASHUTOSH ROY"	"BRIJ BIHARI SINGH"	"RITESH KUMAR ROUSHAN"	"TOTAL VALID VOTES"
"240"	"BOOTH_ NO"	"BOOTH_ EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"TOTAL"
"241"	"Total"	""	"39939"	"44579"	"1842"	"3692"	"858"	"1176"	"482"	"1112"	"2385"	"4617"	"100682"
"242"	"Postal Ballot"	""	"200"	"249"	"4"	"8"	"1"	"0"	"0"	"2"	"0"	"2"	"466"
"243"	"Grand Total"	""	"40139"	"44828"	"1846"	"3700"	"859"	"1176"	"482"	"1114"	"2385"	"4619"	"101148"
