"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"99&  cSd q. Bi qj  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"143"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"144"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"145"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"146"	"99"	"19"	"106"	"227"	"5"	"1"	"3"	"5"	"5"	"10"	""	"1"	"2"	"17"	"18"	"39"	"458"	""	"458"	""
"147"	"99  ¼d½"	"18"	"149"	"212"	"11"	"1"	"1"	"1"	"6"	"4"	""	"4"	"4"	"8"	"11"	"17"	"447"	""	"447"	""
"148"	"100"	"17"	"228"	"316"	"5"	"8"	"5"	"3"	"13"	"9"	""	"3"	"4"	"18"	"15"	"38"	"682"	""	"682"	""
"149"	"101"	"36"	"245"	"271"	"6"	"16"	"4"	"4"	"13"	"10"	""	"2"	"5"	"10"	"15"	"20"	"657"	""	"657"	""
"150"	"102"	"18"	"249"	"264"	"7"	"0"	"4"	"2"	"8"	"5"	""	"3"	"2"	"14"	"19"	"12"	"607"	""	"607"	""
"151"	"103"	"47"	"294"	"390"	"8"	"29"	"11"	"4"	"10"	"3"	""	"5"	"5"	"5"	"6"	"15"	"832"	""	"832"	""
"152"	"104"	"24"	"62"	"424"	"8"	"4"	"5"	"1"	"6"	"3"	""	"0"	"2"	"10"	"3"	"5"	"557"	""	"557"	""
"153"	"105"	"6"	"85"	"487"	"7"	"4"	"3"	"5"	"10"	"3"	""	"1"	"3"	"1"	"0"	"6"	"621"	""	"621"	""
"154"	"106"	"7"	"149"	"303"	"6"	"3"	"1"	"3"	"6"	"5"	""	"2"	"3"	"9"	"10"	"12"	"519"	""	"519"	""
"155"	"107"	"15"	"164"	"269"	"7"	"2"	"4"	"3"	"1"	"3"	""	"5"	"1"	"17"	"11"	"19+"	"521"	""	"521"	""
"156"	"108"	"34"	"181"	"509"	"10"	"6"	"14"	"3"	"14"	"2"	""	"3"	"1"	"1"	"3"	"7"	"788"	""	"788"	""
"157"	"109"	"3"	"32"	"275"	"6"	"1"	"2"	"1"	"3"	"1"	""	"0"	"1"	"0"	"0"	"0"	"325"	""	"325"	""
"158"	"110"	"50"	"192"	"552"	"16"	"8"	"10"	"7"	"15"	"13"	""	"9"	"10"	"21"	"6"	"18"	"927"	""	"927"	""
"159"	"111"	"19"	"108"	"370"	"7"	"5"	"1"	"3"	"3"	"4"	""	"2"	"0"	"23"	"11"	"8"	"564"	""	"564"	""
"160"	"; ksx"	"313"	"2244"	"4869"	"109"	"88"	"68"	"45"	"113"	"75"	""	"40"	"43"	"154"	"128"	"216"	"8505"	""	"8505"	""
"161"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"1620"	"12360"	"31291"	"968"	"393"	"382"	"280"	"731"	"454"	""	"186"	"253"	"957"	"701"	"1521"	"52097"	"0"	"52097"	""
"162"	"d qy  ; ksx"	"1933"	"14604"	"36160"	"1077"	"481"	"450"	"325"	"844"	""	"529"	"226"	"296"	"1111"	"829"	"1737"	"60602"	""	"60602"	""
"163"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"164"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"165"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"166"	"112"	"8"	"102"	"244"	"2"	"2"	"1"	"7"	"8"	"8"	""	"4"	"1"	"8"	"5"	"9"	"409"	""	"409"	""
"167"	"113"	"26"	"277"	"377"	"6"	"3"	"2"	"2"	"7"	"4"	""	"1"	"0"	"3"	"6"	"7"	"721"	""	"721"	""
"168"	"114"	"17"	"139"	"346"	"6"	"2"	"2"	"2"	"10"	"2"	""	"2"	"2"	"7"	"7"	"9"	"553"	""	"553"	""
"169"	"115"	"15"	"175"	"214"	"5"	"1"	"4"	"2"	"7"	"4"	""	"3"	"2"	"6"	"9"	"11"	"458"	""	"458"	""
"170"	"116"	"21"	"202"	"216"	"6"	"1"	"1"	"5"	"10"	"2"	""	"1"	"4"	"11"	"8"	"14"	"502"	""	"502"	""
"171"	"117"	"16"	"228"	"169"	"5"	"2"	"0"	"4"	"6"	"5"	""	"1"	"0"	"5"	"6"	"15"	"462"	""	"462"	""
"172"	"118"	"9"	"124"	"74"	"2"	"1"	"2"	"2"	"1"	"0"	""	"0"	"0"	"1"	"2"	"4"	"222"	""	"222"	""
"173"	"119"	"25"	"123"	"168"	"7"	"3"	"9"	"4"	"7"	"2"	""	"0"	"0"	"9"	"4"	"4"	"365"	""	"365"	""
"174"	"120"	"16"	"195"	"176"	"6"	"5"	"5"	"5"	"9"	"5"	""	"0"	"3"	"5"	"4"	"10"	"444"	""	"444"	""
"175"	"121"	"19"	"422"	"175"	"13"	"3"	"7"	"7"	"8"	"10"	""	"10"	"9"	"23"	"43"	"76"	"825"	""	"825"	""
"176"	"122"	"28"	"240"	"239"	"4"	"5"	"2"	"2"	"15"	"4"	""	"1"	"4"	"8"	"2"	"12"	"566"	""	"566"	""
"177"	"123"	"11"	"98"	"92"	"3"	"0"	"0"	"0"	"3"	"0"	""	"1"	"0"	"7"	"4"	"5"	"224"	""	"224"	""
"178"	"124"	"2"	"86"	"104"	"7"	"1"	"2"	"1"	"1"	"2"	""	"2"	"2"	"3"	"5"	"45"	"263"	""	"263"	""
"179"	"125"	"13"	"75"	"201"	"7"	"1"	"6"	"1"	"7"	"9"	""	"1"	"7"	"18"	"20"	"37"	"403"	""	"403"	""
"180"	"; ksx"	"226"	"2486"	"2795"	"79"	"30"	"43"	"44"	"99"	"57"	""	"27"	"34"	"114"	"125"	"258"	"6417"	""	"6417"	""
"181"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"1933"	"14604"	"36160"	"1077"	"481"	"450"	"325"	"844"	"529"	""	"226"	"296"	"1111"	"829"	"1737"	"60602"	"0"	"60602"	""
"182"	"d qy  ; ksx"	"2159"	"17090"	"38955"	"1156"	"511"	"493"	"369"	"943"	"586"	""	"253"	"330"	"1225"	"954"	"1995"	"67019"	""	"67019"	""
"183"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"184"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"185"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"186"	"126"	"19"	"218"	"172"	"4"	"3"	"2"	"2"	"4"	"2"	""	"1"	"3"	"3"	"1"	"10"	"444"	""	"444"	""
"187"	"127"	"12"	"78"	"200"	"4"	"3"	"2"	"3"	"12"	"3"	""	"4"	"5"	"12"	"11"	"36"	"385"	""	"385"	""
"188"	"128"	"10"	"59"	"360"	"27"	"4"	"5"	"3"	"17"	"4"	""	"2"	"5"	"11"	"6"	"8"	"521"	""	"521"	""
"189"	"129"	"27"	"266"	"347"	"15"	"2"	"6"	"5"	"9"	"2"	""	"5"	"3"	"1"	"3"	"12"	"703"	""	"703"	""
"190"	"130"	"27"	"181"	"337"	"10"	"4"	"3"	"2"	"4"	"6"	""	"1"	"1"	"8"	"3"	"13"	"600"	""	"600"	""
"191"	"131"	"5"	"180"	"146"	"6"	"1"	"0"	"0"	"0"	"1"	""	"0"	"1"	"7"	"1"	"7"	"355"	""	"355"	""
"192"	"132"	"23"	"280"	"272"	"4"	"2"	"4"	"1"	"6"	"3"	""	"2"	"4"	"3"	"8"	"12"	"624"	""	"624"	""
"193"	"133"	"25"	"170"	"258"	"33"	"2"	"6"	"5"	"9"	"3"	""	"4"	"6"	"17"	"12"	"35"	"585"	""	"585"	""
"194"	"134"	"13"	"93"	"236"	"8"	"0"	"1"	"0"	"3"	"1"	""	"0"	"1"	"4"	"2"	"6"	"368"	""	"368"	""
"195"	"135"	"33"	"116"	"259"	"14"	"5"	"4"	"3"	"5"	"5"	""	"0"	"1"	"2"	"1"	"5"	"453"	""	"453"	""
"196"	"136"	"27"	"165"	"237"	"13"	"8"	"7"	"3"	"6"	"6"	""	"1"	"0"	"8"	"4"	"17"	"502"	""	"502"	""
"197"	"137"	"21"	"193"	"186"	"5"	"2"	"2"	"4"	"4"	"5"	""	"2"	"3"	"8"	"11"	"29"	"475"	""	"475"	""
"198"	"138"	"41"	"207"	"273"	"19"	"8"	"3"	"2"	"7"	"7"	""	"3"	"0"	"8"	"8"	"13"	"599"	""	"599"	""
"199"	"139"	"15"	"145"	"312"	"5"	"3"	"2"	"1"	"5"	"6"	""	"2"	"1"	"8"	"4"	"9"	"518"	""	"518"	""
"200"	"; ksx"	"298"	"2351"	"3595"	"167"	"47"	"47"	"34"	"91"	"54"	""	"27"	"34"	"100"	"75"	"212"	"7132"	""	"7132"	""
"201"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"2159"	"17090"	"38955"	"1156"	"511"	"493"	"369"	"943"	"586"	""	"253"	"330"	"1225"	"954"	"1995"	"67019"	"0"	"67019"	""
"202"	"d qy  ; ksx"	"2457"	"19441"	"42550"	"1323"	"558"	"540"	"403"	"1034"	""	"640"	"280"	"364"	"1325"	"1029"	"2207"	"74151"	""	"74151"	""
"203"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"205"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"207"	"140"	"25"	"231"	"262"	"14"	"5"	"4"	"4"	"6"	"5"	""	"3"	"1"	"14"	"3"	"15"	"592"	""	"592"	""
"208"	"141"	"7"	"100"	"337"	"8"	"2"	"2"	"1"	"8"	"7"	""	"0"	"3"	"2"	"1"	"11"	"489"	""	"489"	""
"209"	"142"	"8"	"153"	"193"	"24"	"3"	"5"	"9"	"7"	"5"	""	"6"	"5"	"9"	"10"	"22"	"459"	""	"459"	""
"210"	"143"	"16"	"189"	"392"	"11"	"7"	"2"	"3"	"5"	"5"	""	"1"	"2"	"21"	"20"	"31"	"705"	""	"705"	""
"211"	"144"	"20"	"120"	"339"	"16"	"2"	"4"	"6"	"8"	"6"	""	"5"	"12"	"15"	"9"	"13"	"575"	""	"575"	""
"212"	"145"	"26"	"284"	"281"	"9"	"7"	"4"	"3"	"14"	"9"	""	"3"	"4"	"11"	"13"	"27"	"695"	""	"695"	""
"213"	"146"	"12"	"131"	"187"	"9"	"1"	"4"	"2"	"5"	"1"	""	"1"	"5"	"8"	"7"	"10"	"383"	""	"383"	""
"214"	"147"	"24"	"79"	"251"	"53"	"2"	"2"	"4"	"7"	"4"	""	"2"	"1"	"5"	"0"	"10"	"444"	""	"444"	""
"215"	"148"	"20"	"243"	"341"	"7"	"2"	"1"	"7"	"13"	"6"	""	"2"	"4"	"12"	"9"	"11"	"678"	""	"678"	""
"216"	"149"	"8"	"63"	"382"	"13"	"4"	"2"	"1"	"7"	"3"	""	"1"	"1"	"7"	"4"	"9"	"505"	""	"505"	""
"217"	"150"	"10"	"90"	"424"	"6"	"5"	"3"	"2"	"6"	"1"	""	"0"	"2"	"6"	"5"	"19"	"579"	""	"579"	""
"218"	"151"	"9"	"82"	"431"	"24"	"0"	"10"	"4"	"3"	"6"	""	"3"	"3"	"12"	"10"	"11"	"608"	""	"608"	""
"219"	"152"	"9"	"122"	"259"	"13"	"0"	"4"	"2"	"5"	"1"	""	"1"	"4"	"20"	"14"	"9"	"463"	""	"463"	""
"220"	"153"	"10"	"238"	"166"	"9"	"5"	"2"	"6"	"4"	"2"	""	"1"	"7"	"17"	"14"	"44"	"525"	""	"525"	""
"221"	"; ksx"	"204"	"2125"	"4245"	"216"	"45"	"49"	"54"	"98"	"61"	""	"29"	"54"	"159"	"119"	"242"	"7700"	""	"7700"	""
"222"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"2457"	"19441"	"42550"	"1323"	"558"	"540"	"403"	"1034"	"640"	""	"280"	"364"	"1325"	"1029"	"2207"	"74151"	"0"	"74151"	"0"
"223"	"d qy  ; ksx"	"2661"	"21566"	"46795"	"1539"	"603"	"589"	"457"	"1132"	"701"	""	"309"	"418"	"1484"	"1148"	"2449"	"81851"	""	"81851"	""
"224"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"226"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"228"	"154"	"15"	"125"	"420"	"16"	"1"	"4"	"2"	"5"	"9"	""	"2"	"2"	"13"	"9"	"24"	"647"	""	"647"	""
"229"	"155"	"11"	"172"	"362"	"11"	"3"	"2"	"3"	"5"	"6"	""	"1"	"1"	"12"	"8"	"41"	"638"	""	"638"	""
"230"	"156"	"17"	"226"	"278"	"10"	"5"	"4"	"8"	"8"	"6"	""	"9"	"3"	"6"	"11"	"26"	"617"	""	"617"	""
"231"	"157"	"23"	"138"	"204"	"4"	"4"	"1"	"3"	"7"	"4"	""	"6"	"3"	"14"	"10"	"16"	"437"	""	"437"	""
"232"	"158"	"7"	"119"	"490"	"11"	"6"	"6"	"8"	"8"	"7"	""	"5"	"3"	"16"	"4"	"11"	"701"	""	"701"	""
"233"	"159"	"15"	"288"	"141"	"5"	"1"	"1"	"0"	"2"	"5"	""	"2"	"4"	"6"	"13"	"16"	"499"	""	"499"	""
"234"	"160"	"15"	"234"	"60"	"3"	"0"	"0"	"1"	"1"	"0"	""	"1"	"1"	"5"	"7"	"12"	"340"	""	"340"	""
"235"	"161"	"11"	"104"	"147"	"16"	"4"	"3"	"2"	"3"	"2"	""	"0"	"1"	"0"	"0"	"26"	"319"	""	"319"	""
"236"	"162"	"12"	"105"	"111"	"7"	"0"	"2"	"4"	"7"	"0"	""	"2"	"2"	"5"	"3"	"29"	"289"	""	"289"	""
"237"	"163"	"9"	"143"	"402"	"6"	"1"	"2"	"4"	"10"	"3"	""	"0"	"3"	"22"	"6"	"39"	"650"	""	"650"	""
"238"	"164"	"7"	"140"	"340"	"14"	"70"	"6"	"5"	"10"	"2"	""	"3"	"3"	"10"	"9"	"33"	"652"	""	"652"	""
"239"	"165"	"9"	"122"	"314"	"9"	"1"	"2"	"3"	"5"	"2"	""	"1"	"2"	"6"	"5"	"32"	"513"	""	"513"	""
"240"	"166"	"10"	"126"	"191"	"13"	"29"	"1"	"2"	"9"	"0"	""	"2"	"6"	"9"	"7"	"42"	"447"	""	"447"	""
"241"	"167"	"10"	"253"	"195"	"3"	"3"	"1"	"3"	"1"	"1"	""	"2"	"1"	"4"	"7"	"4"	"488"	""	"488"	""
"242"	"; ksx"	"171"	"2295"	"3655"	"128"	"128"	"35"	"48"	"81"	"47"	""	"36"	"35"	"128"	"99"	"351"	"7237"	""	"7237"	""
"243"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"2661"	"21566"	"46795"	"1539"	"603"	"589"	"457"	"1132"	"701"	""	"309"	"418"	"1484"	"1148"	"2449"	"81851"	"0"	"81851"	"0"
"244"	"d qy  ; ksx"	"2832"	"23861"	"50450"	"1667"	"731"	"624"	"505"	"1213"	"748"	""	"345"	"453"	"1612"	"1247"	"2800"	"89088"	""	"89088"	""
"245"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"246"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"247"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"248"	"168"	"14"	"276"	"54"	"8"	"1"	"2"	"2"	"1"	"2"	""	"1"	"2"	"4"	"10"	"4"	"381"	""	"381"	""
"249"	"169"	"11"	"52"	"307"	"11"	"11"	"2"	"3"	"7"	"3"	""	"1"	"0"	"4"	"1"	"1"	"414"	""	"414"	""
"250"	"170"	"39"	"438"	"188"	"11"	"3"	"4"	"4"	"6"	"3"	""	"2"	"4"	"7"	"10"	"17"	"736"	""	"736"	""
"251"	"171"	"10"	"50"	"475"	"3"	"1"	"9"	"0"	"10"	"4"	""	"4"	"4"	"19"	"4"	"34"	"627"	""	"627"	""
"252"	"172"	"11"	"70"	"229"	"9"	"8"	"2"	"2"	"11"	"7"	""	"2"	"6"	"23"	"9"	"18"	"407"	""	"407"	""
"253"	"173"	"16"	"144"	"231"	"21"	"4"	"4"	"4"	"3"	"6"	""	"5"	"4"	"8"	"7"	"7"	"464"	""	"464"	""
"254"	"174"	"12"	"171"	"372"	"16"	"7"	"6"	"4"	"6"	"2"	""	"1"	"3"	"10"	"11"	"20"	"641"	""	"641"	""
"255"	"175"	"14"	"259"	"346"	"12"	"8"	"3"	"4"	"5"	"5"	""	"1"	"4"	"21"	"26"	"25"	"733"	""	"733"	""
"256"	"176"	"11"	"173"	"296"	"5"	"4"	"2"	"2"	"9"	"2"	""	"1"	"2"	"17"	"6"	"14"	"544"	""	"544"	""
"257"	"177"	"24"	"184"	"419"	"9"	"4"	"3"	"5"	"5"	"4"	""	"2"	"4"	"12"	"7"	"11"	"693"	""	"693"	""
"258"	"178"	"17"	"81"	"210"	"6"	"1"	"2"	"0"	"6"	"0"	""	"0"	"0"	"2"	"1"	"1"	"327"	""	"327"	""
"259"	"179"	"12"	"198"	"260"	"11"	"3"	"2"	"0"	"5"	"1"	""	"0"	"2"	"4"	"5"	"4"	"507"	""	"507"	""
"260"	"180"	"6"	"101"	"321"	"12"	"4"	"1"	"0"	"4"	"25"	""	"3"	"1"	"12"	"2"	"4"	"496"	""	"496"	""
"261"	"181"	"17"	"164"	"275"	"20"	"5"	"9"	"6"	"1"	"10"	""	"4"	"9"	"36"	"31"	"47"	"634"	""	"634"	""
"262"	"; ksx"	"214"	"2361"	"3983"	"154"	"64"	"51"	"36"	"79"	"74"	""	"27"	"45"	"179"	"130"	"207"	"7604"	""	"7604"	""
"263"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"2832"	"23861"	"50450"	"1667"	"731"	"624"	"505"	"1213"	"748"	""	"345"	"453"	"1612"	"1247"	"2800"	"89088"	"0"	"89088"	"0"
"264"	"d qy  ; ksx"	"3046"	"26222"	"54433"	"1821"	"795"	"675"	"541"	"1292"	""	"822"	"372"	"498"	"1791"	"1377"	"3007"	"96692"	""	"96692"	""
"265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"267"	""	"d`\".k fcgkj h
i zl kn ; kno"	"nsonÙk
i zl kn"	"eat hr  dqekj
fl ag"	"euu dqekj
feJ"	"eksgu i zl kn"	"vkn' kZ dqekj"	"i q.ksZUnqukj k; .k fr okj h
mQZ ¼Hkksy k fr okj h½"	"egEkn
fQj kst"	"eksgu egr ks"	""	"; ksxsUnz fl ag
; kno"	"j foj at u
dqekj  ; kno"	"vfu: )  fl ag"	"j at hr  fl ag"	"l axhr k fl ag"	""	""	""	""
"268"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"269"	"182"	"19"	"112"	"394"	"19"	"7"	"3"	"0"	"4"	"10"	""	"3"	"2"	"13"	"5"	"11"	"602"	""	"602"	""
"270"	"183"	"27"	"84"	"439"	"14"	"2"	"2"	"6"	"14"	"11"	""	"6"	"4"	"15"	"10"	"13"	"647"	""	"647"	""
"271"	"184"	"12"	"75"	"272"	"16"	"3"	"6"	"3"	"5"	"3"	""	"6"	"1"	"21"	"13"	"17"	"453"	""	"453"	""
"272"	"185"	"12"	"32"	"413"	"23"	"3"	"5"	"4"	"13"	"5"	""	"3"	"8"	"25"	"17"	"23"	"586"	""	"586"	""
"273"	"186"	"8"	"28"	"324"	"11"	"0"	"6"	"1"	"10"	"4"	""	"1"	"3"	"9"	"3"	"20"	"428"	""	"428"	""
"274"	"187"	"12"	"71"	"230"	"9"	"2"	"2"	"2"	"7"	"7"	""	"1"	"0"	"5"	"8"	"27"	"383"	""	"383"	""
"275"	"188"	"13"	"68"	"360"	"17"	"4"	"5"	"7"	"12"	"14"	""	"6"	"6"	"9"	"12"	"40"	"573"	""	"573"	""
"276"	"189"	"3"	"18"	"108"	"8"	"3"	"3"	"0"	"9"	"0"	""	"0"	"3"	"11"	"2"	"6"	"174"	""	"174"	""
"277"	"190"	"14"	"66"	"483"	"15"	"5"	"4"	"6"	"20"	"11"	""	"4"	"4"	"27"	"11"	"23"	"693"	""	"693"	""
"278"	"191"	"43"	"127"	"244"	"14"	"9"	"90"	"8"	"16"	"10"	""	"7"	"4"	"19"	"17"	"17"	"625"	""	"625"	""
"279"	"192"	"19"	"140"	"361"	"8"	"5"	"10"	"1"	"8"	"6"	""	"0"	"1"	"9"	"4"	"5"	"577"	""	"577"	""
"280"	"193"	"13"	"139"	"249"	"4"	"4"	"6"	"0"	"6"	"6"	""	"2"	"4"	"11"	"14"	"37"	"495"	""	"495"	""
"281"	"194"	"49"	"225"	"415"	"13"	"5"	"9"	"4"	"15"	"2"	""	"2"	"8"	"7"	"9"	"12"	"775"	""	"775"	""
"282"	"195"	"16"	"240"	"367"	"25"	"4"	"5"	"4"	"11"	"10"	""	"2"	"2"	"11"	"18"	"25"	"740"	""	"740"	""
"283"	"; ksx"	"260"	"1425"	"4659"	"196"	"56"	"156"	"46"	"150"	"99"	""	"43"	"50"	"192"	"143"	"276"	"7751"	""	"7751"	""
"284"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"3046"	"26222"	"54433"	"1821"	"795"	"675"	"541"	"1292"	"822"	""	"372"	"498"	"1791"	"1377"	"3007"	"96692"	"0"	"96692"	"0"
"285"	"d qy  ; ksx"	"3306"	"27647"	"59092"	"2017"	"851"	"831"	"587"	"1442"	"921"	""	"415"	"548"	"1983"	"1520"	"3283"	"104443"	""	"104443"	""
