"No....Name.of.Assembly.Constituency...222.Kutumba.sc."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"210"	"No. & Name of Assembly Constituency - 222 Kutumba(sc)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"SEGI D"	"BOOTH_ NO"	"BOOTH_ EXT"	"Manoram a Devi"	"Rajesh Kumar"	"Ramchandra Prasad"	"Lalan Ram"	"Suresh Paswan"	"Ganesh Paswan"	"Ravindra Paswan"	"Uday Paswan"	"Santosh Kumar"	"SanSanto sh Kumar Deepak"	"TOTAL"	"SLNO"
"212"	"222"	"194"	""	"4"	"9"	"1"	"79"	"110"	"3"	"5"	"0"	"3"	"4"	"412"	"197"
"213"	"222"	"195"	""	"20"	"116"	"5"	"85"	"73"	"5"	"3"	"0"	"1"	"6"	"509"	"198"
"214"	"222"	"196"	""	"0"	"0"	"0"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"213"	"199"
"215"	"222"	"197"	""	"18"	"33"	"4"	"44"	"99"	"5"	"5"	"4"	"3"	"9"	"421"	"200"
"216"	"222"	"198"	""	"12"	"24"	"2"	"103"	"142"	"10"	"2"	"2"	"4"	"9"	"508"	"201"
"217"	"222"	"199"	""	"7"	"67"	"4"	"64"	"41"	"1"	"2"	"2"	"4"	"8"	"399"	"202"
"218"	"222"	"200"	""	"12"	"31"	"4"	"227"	"49"	"7"	"2"	"12"	"12"	"27"	"583"	"203"
"219"	"222"	"201"	""	"1"	"50"	"4"	"60"	"64"	"3"	"1"	"1"	"3"	"2"	"390"	"204"
"220"	"222"	"202"	""	"4"	"59"	"4"	"138"	"3"	"1"	"4"	"2"	"9"	"1"	"427"	"205"
"221"	"222"	"203"	""	"17"	"74"	"9"	"341"	"136"	"4"	"5"	"8"	"14"	"26"	"837"	"206"
"222"	"222"	"204"	""	"5"	"13"	"1"	"51"	"161"	"6"	"3"	"0"	"6"	"11"	"461"	"207"
"223"	"222"	"205"	""	"12"	"8"	"4"	"203"	"234"	"13"	"4"	"2"	"6"	"3"	"694"	"208"
"224"	"222"	"206"	""	"12"	"102"	"6"	"56"	"116"	"9"	"0"	"8"	"3"	"8"	"526"	"209"
"225"	"222"	"207"	""	"8"	"82"	"7"	"166"	"202"	"20"	"9"	"13"	"13"	"31"	"758"	"210"
"226"	"222"	"208"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"211"
"227"	"222"	"209"	""	"15"	"113"	"7"	"131"	"102"	"5"	"5"	"4"	"7"	"10"	"608"	"212"
"228"	"222"	"210"	""	"18"	"37"	"11"	"126"	"75"	"7"	"9"	"5"	"12"	"15"	"525"	"213"
"229"	"222"	"211"	""	"6"	"17"	"1"	"135"	"17"	"4"	"4"	"2"	"1"	"7"	"405"	"214"
"230"	"222"	"212"	""	"19"	"22"	"3"	"56"	"98"	"9"	"5"	"3"	"6"	"11"	"444"	"215"
"231"	"222"	"213"	""	"7"	"46"	"2"	"72"	"26"	"5"	"0"	"3"	"3"	"2"	"379"	"216"
"232"	"222"	"214"	""	"18"	"58"	"4"	"81"	"81"	"7"	"3"	"4"	"4"	"5"	"479"	"217"
"233"	"222"	"215"	""	"2"	"92"	"1"	"44"	"56"	"1"	"0"	"2"	"2"	"3"	"418"	"218"
"234"	"222"	"216"	""	"15"	"10"	"5"	"226"	"146"	"7"	"8"	"4"	"9"	"5"	"651"	"219"
"235"	"222"	"217"	""	"2"	"3"	"2"	"155"	"112"	"4"	"2"	"3"	"2"	"1"	"503"	"220"
"236"	"222"	"218"	""	"9"	"41"	"5"	"302"	"198"	"4"	"4"	"5"	"8"	"11"	"805"	"221"
"237"	"222"	"219"	""	"15"	"30"	"7"	"287"	"101"	"8"	"12"	"6"	"10"	"15"	"710"	"222"
"238"	"222"	"220"	""	"20"	"12"	"6"	"223"	"187"	"19"	"12"	"5"	"12"	"8"	"724"	"223"
"239"	"222"	"221"	""	"4"	"30"	"1"	"196"	"65"	"1"	"0"	"0"	"3"	"2"	"523"	"224"
"240"	"No. & Name of Assembly Constituency - 222 Kutumba(sc)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"SEGI D"	"BOOTH_ NO"	"BOOTH_ EXT"	"Manoram a Devi"	"Rajesh Kumar"	"Ramchandra Prasad"	"Lalan Ram"	"Suresh Paswan"	"Ganesh Paswan"	"Ravindra Paswan"	"Uday Paswan"	"Santosh Kumar"	"SanSanto sh Kumar Deepak"	"TOTAL"	"SLNO"
"242"	"222"	"222"	""	"16"	"8"	"2"	"157"	"31"	"6"	"4"	"2"	"3"	"16"	"467"	"225"
"243"	"222"	"223"	""	"2"	"2"	"3"	"111"	"17"	"3"	"4"	"3"	"5"	"4"	"377"	"226"
"244"	"222"	"224"	""	"25"	"12"	"4"	"181"	"130"	"12"	"9"	"7"	"26"	"47"	"677"	"227"
"245"	"222"	"225"	""	"4"	"18"	"5"	"210"	"141"	"9"	"2"	"1"	"3"	"5"	"623"	"228"
"246"	"222"	"226"	""	"2"	"6"	"1"	"259"	"10"	"3"	"1"	"0"	"3"	"3"	"514"	"229"
"247"	"222"	"227"	""	"12"	"5"	"7"	"234"	"130"	"21"	"5"	"8"	"10"	"22"	"681"	"230"
"248"	"222"	"228"	""	"7"	"4"	"1"	"189"	"20"	"1"	"2"	"1"	"9"	"6"	"468"	"231"
"249"	"222"	"229"	""	"30"	"11"	"8"	"155"	"156"	"11"	"6"	"5"	"9"	"18"	"638"	"232"
"250"	"222"	"230"	""	"2"	"19"	"2"	"116"	"149"	"4"	"4"	"2"	"7"	"9"	"544"	"233"
"251"	"222"	"231"	""	"7"	"5"	"1"	"90"	"22"	"1"	"3"	"2"	"4"	"1"	"367"	"234"
"252"	"222"	"232"	""	"2"	"42"	"4"	"214"	"85"	"8"	"5"	"7"	"15"	"17"	"631"	"235"
"253"	"222"	"233"	""	"14"	"13"	"4"	"362"	"133"	"8"	"4"	"4"	"14"	"8"	"797"	"236"
"254"	"222"	"234"	""	"19"	"25"	"10"	"349"	"170"	"13"	"17"	"6"	"10"	"33"	"886"	"237"
"255"	"222"	"235"	""	"7"	"10"	"4"	"231"	"165"	"12"	"11"	"8"	"14"	"21"	"718"	"238"
"256"	"222"	"236"	""	"37"	"7"	"8"	"133"	"139"	"20"	"14"	"14"	"24"	"29"	"661"	"239"
"257"	"222"	"237"	""	"12"	"7"	"1"	"52"	"183"	"20"	"4"	"5"	"9"	"17"	"547"	"240"
"258"	"222"	"238"	""	"7"	"1"	"1"	"28"	"275"	"13"	"2"	"0"	"5"	"5"	"575"	"241"
"259"	"222"	"239"	""	"10"	"9"	"4"	"117"	"134"	"14"	"7"	"7"	"12"	"22"	"575"	"242"
"260"	"222"	"240"	""	"17"	"18"	"5"	"106"	"203"	"17"	"10"	"8"	"10"	"7"	"641"	"243"
"261"	"222"	"241"	""	"3"	"6"	"2"	"217"	"142"	"8"	"4"	"6"	"8"	"7"	"644"	"244"
"262"	"222"	""	""	"0"	"0"	"0"	"5"	"8"	"0"	"0"	"0"	"0"	"1"	"14"	""
"263"	""	"Total"	""	"3535"	"8477"	"1087"	"42559"	"28649"	"2075"	"1375"	"952"	"1914"	"2837"	"122884"	""
