"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"107"	"77"	"70"	"159"	""	"117"	""	"6"	"39"	"9"	"6"	"0"	"1"	"1"	"1"	"2"	"2"	"3"	"4"	"14"	"3"	"3"	"8"	"1"	"3"	"0"	"452"	"0"	"452"	""	"0"
"108"	"78"	"135"	"46"	""	"7"	""	"3"	"8"	"3"	"1"	"0"	"54"	"3"	"2"	"2"	"16"	"3"	"3"	"99"	"6"	"5"	"2"	"3"	"0"	"1"	"402"	"0"	"402"	""	"0"
"109"	"78 A"	"33"	"74"	""	"18"	""	"15"	"16"	"1"	"2"	"6"	"118"	"0"	"2"	"0"	"8"	"62"	"2"	"18"	"1"	"11"	"2"	"0"	"0"	"1"	"390"	"0"	"390"	""	"0"
"110"	"79"	"137"	"201"	""	"28"	""	"19"	"47"	"6"	"1"	"2"	"25"	"4"	"3"	"2"	"7"	"8"	"16"	"20"	"19"	"25"	"11"	"4"	"4"	"3"	"592"	"0"	"592"	""	"0"
"111"	"80"	"47"	"22"	""	"5"	""	"358"	"60"	"19"	"58"	"3"	"6"	"2"	"4"	"6"	"28"	"1"	"5"	"21"	"1"	"2"	"2"	"5"	"1"	"5"	"661"	"0"	"661"	""	"0"
"112"	"81"	"122"	"114"	""	"71"	""	"7"	"27"	"8"	"1"	"0"	"89"	"3"	"7"	"3"	"29"	"1"	"8"	"8"	"9"	"8"	"10"	"1"	"2"	"6"	"534"	"0"	"534"	""	"0"
"113"	"82"	"79"	"12"	""	"295"	""	"13"	"2"	"0"	"1"	"1"	"10"	"0"	"0"	"0"	"3"	"10"	"2"	"3"	"1"	"1"	"6"	"0"	"1"	"0"	"440"	"0"	"440"	""	"0"
"114"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"115"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"116"	"TOTAL"	"11652"	"10841"	""	"1895"	""	"1618"	"4753"	"402"	"571"	"335"	"2228"	"106"	"164"	"165"	"714"	"1260"	"411"	"2381"	"375"	"346"	"456"	"130"	"195"	"195"	"41193"	"0"	"41193"	""	"0"
"117"	"BF"	"11652"	"10841"	""	"1895"	""	"1618"	"4753"	"402"	"571"	"335"	"2228"	"106"	"164"	"165"	"714"	"1260"	"411"	"2381"	"375"	"346"	"456"	"130"	"195"	"195"	"41193"	"0"	"41193"	""	"0"
"118"	"83"	"70"	"18"	""	"207"	""	"5"	"13"	"0"	"0"	"0"	"63"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"0"	"1"	"0"	"1"	"0"	"385"	"0"	"385"	""	"0"
"119"	"84"	"44"	"179"	""	"89"	""	"4"	"8"	"9"	"1"	"4"	"41"	"2"	"1"	"2"	"30"	"19"	"0"	"16"	"4"	"6"	"3"	"1"	"1"	"0"	"464"	"0"	"464"	""	"0"
"120"	"85"	"99"	"90"	""	"22"	""	"28"	"143"	"17"	"4"	"0"	"10"	"0"	"1"	"4"	"89"	"2"	"3"	"10"	"6"	"6"	"12"	"8"	"4"	"8"	"566"	"0"	"566"	""	"0"
"121"	"86"	"68"	"501"	""	"7"	""	"11"	"48"	"3"	"2"	"2"	"102"	"6"	"4"	"0"	"3"	"2"	"3"	"9"	"4"	"6"	"9"	"1"	"1"	"2"	"794"	"0"	"794"	""	"0"
"122"	"87"	"155"	"297"	""	"15"	""	"25"	"88"	"6"	"4"	"0"	"5"	"3"	"2"	"3"	"47"	"13"	"2"	"17"	"4"	"2"	"2"	"0"	"2"	"2"	"694"	"0"	"694"	""	"0"
"123"	"88"	"16"	"29"	""	"1"	""	"7"	"96"	"2"	"5"	"3"	"109"	"4"	"1"	"2"	"23"	"13"	"5"	"220"	"14"	"2"	"4"	"4"	"0"	"13"	"573"	"0"	"573"	""	"0"
"124"	"89"	"117"	"108"	""	"20"	""	"23"	"136"	"8"	"1"	"0"	"32"	"4"	"3"	"0"	"32"	"16"	"13"	"100"	"7"	"2"	"3"	"2"	"4"	"7"	"638"	"0"	"638"	""	"0"
"125"	"90"	"229"	"79"	""	"6"	""	"57"	"96"	"11"	"4"	"2"	"10"	"2"	"2"	"5"	"10"	"65"	"12"	"18"	"4"	"2"	"0"	"1"	"1"	"3"	"619"	"0"	"619"	""	"0"
"126"	"91"	"134"	"235"	""	"28"	""	"17"	"133"	"11"	"0"	"1"	"83"	"0"	"2"	"1"	"25"	"4"	"7"	"9"	"3"	"6"	"8"	"1"	"2"	"3"	"713"	"0"	"713"	""	"0"
"127"	"92"	"139"	"209"	""	"27"	""	"13"	"313"	"12"	"3"	"0"	"7"	"3"	"4"	"3"	"0"	"3"	"6"	"3"	"8"	"4"	"1"	"3"	"3"	"2"	"766"	"0"	"766"	""	"0"
"128"	"93"	"165"	"235"	""	"4"	""	"9"	"172"	"9"	"2"	"3"	"9"	"1"	"12"	"109"	"6"	"20"	"11"	"25"	"10"	"10"	"18"	"3"	"5"	"3"	"841"	"0"	"841"	""	"0"
"129"	"94"	"53"	"520"	""	"9"	""	"11"	"87"	"7"	"3"	"9"	"72"	"3"	"5"	"28"	"4"	"3"	"10"	"23"	"5"	"3"	"8"	"1"	"0"	"1"	"865"	"0"	"865"	""	"0"
"130"	"95"	"72"	"373"	""	"9"	""	"9"	"49"	"2"	"0"	"1"	"22"	"0"	"4"	"4"	"2"	"3"	"10"	"6"	"2"	"12"	"4"	"2"	"0"	"3"	"589"	"0"	"589"	""	"0"
"131"	"96"	"57"	"462"	""	"7"	""	"3"	"62"	"2"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"5"	"0"	"1"	"0"	"0"	"0"	"1"	"609"	"0"	"609"	""	"0"
"132"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"133"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"134"	"TOTAL"	"13070"	"14176"	""	"2346"	""	"1840"	"6197"	"501"	"600"	"362"	"2793"	"134"	"206"	"327"	"987"	"1427"	"495"	"2844"	"448"	"408"	"529"	"157"	"219"	"243"	"50309"	"0"	"50309"	""	"0"
"135"	"BF"	"13070"	"14176"	""	"2346"	""	"1840"	"6197"	"501"	"600"	"362"	"2793"	"134"	"206"	"327"	"987"	"1427"	"495"	"2844"	"448"	"408"	"529"	"157"	"219"	"243"	"50309"	"0"	"50309"	""	"0"
"136"	"97"	"250"	"237"	""	"1"	""	"23"	"10"	"6"	"1"	"1"	"100"	"0"	"0"	"1"	"0"	"0"	"4"	"1"	"4"	"7"	"9"	"5"	"0"	"1"	"661"	"0"	"661"	""	"0"
"137"	"98"	"251"	"144"	""	"0"	""	"15"	"11"	"5"	"2"	"0"	"53"	"0"	"1"	"0"	"0"	"1"	"1"	"4"	"1"	"2"	"28"	"1"	"0"	"0"	"520"	"0"	"520"	""	"0"
"138"	"99"	"274"	"154"	""	"4"	""	"29"	"11"	"4"	"4"	"5"	"153"	"4"	"1"	"0"	"2"	"2"	"2"	"5"	"3"	"5"	"12"	"3"	"0"	"2"	"679"	"0"	"679"	""	"0"
"139"	"100"	"259"	"81"	""	"0"	""	"16"	"9"	"2"	"2"	"0"	"25"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"3"	"1"	"1"	"1"	"405"	"0"	"405"	""	"0"
"140"	"101"	"235"	"91"	""	"1"	""	"51"	"5"	"7"	"1"	"0"	"8"	"1"	"6"	"4"	"3"	"5"	"4"	"4"	"3"	"4"	"1"	"2"	"1"	"1"	"438"	"0"	"438"	""	"0"
"141"	"102"	"245"	"140"	""	"1"	""	"56"	"8"	"6"	"0"	"0"	"18"	"2"	"2"	"1"	"0"	"5"	"3"	"4"	"5"	"2"	"1"	"0"	"0"	"2"	"501"	"0"	"501"	""	"0"
"142"	"103"	"130"	"225"	""	"13"	""	"11"	"16"	"8"	"3"	"2"	"26"	"3"	"1"	"1"	"2"	"4"	"8"	"5"	"1"	"2"	"8"	"0"	"0"	"1"	"470"	"0"	"470"	""	"0"
"143"	"104"	"173"	"221"	""	"7"	""	"11"	"19"	"7"	"0"	"2"	"38"	"4"	"1"	"0"	"0"	"1"	"2"	"7"	"2"	"2"	"4"	"0"	"2"	"1"	"504"	"0"	"504"	""	"0"
"144"	"105"	"221"	"104"	""	"19"	""	"10"	"34"	"6"	"1"	"1"	"10"	"5"	"0"	"0"	"2"	"2"	"1"	"1"	"2"	"0"	"3"	"0"	"0"	"1"	"423"	"0"	"423"	""	"0"
"145"	"106"	"164"	"116"	""	"17"	""	"5"	"10"	"3"	"0"	"1"	"7"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"7"	"0"	"1"	"2"	"341"	"0"	"341"	""	"0"
"146"	"107"	"142"	"120"	""	"2"	""	"14"	"22"	"2"	"0"	"2"	"8"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"2"	"1"	"1"	"0"	"1"	"322"	"0"	"322"	""	"0"
"147"	"108"	"205"	"208"	""	"7"	""	"6"	"5"	"3"	"0"	"3"	"1"	"0"	"1"	"0"	"1"	"5"	"10"	"5"	"3"	"3"	"3"	"0"	"1"	"1"	"471"	"0"	"471"	""	"0"
"148"	"109"	"155"	"216"	""	"4"	""	"12"	"53"	"4"	"2"	"2"	"3"	"0"	"1"	"1"	"0"	"2"	"5"	"3"	"3"	"4"	"2"	"0"	"1"	"0"	"473"	"0"	"473"	""	"0"
"149"	"110"	"62"	"179"	""	"2"	""	"19"	"18"	"6"	"4"	"1"	"1"	"3"	"1"	"0"	"0"	"1"	"5"	"19"	"1"	"1"	"0"	"0"	"0"	"0"	"323"	"0"	"323"	""	"0"
"150"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"151"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"152"	"TOTAL"	"15836"	"16412"	""	"2424"	""	"2118"	"6428"	"570"	"620"	"382"	"3244"	"160"	"221"	"335"	"997"	"1457"	"541"	"2909"	"477"	"445"	"611"	"170"	"226"	"257"	"56840"	"0"	"56840"	""	"0"
"153"	"BF"	"15836"	"16412"	""	"2424"	""	"2118"	"6428"	"570"	"620"	"382"	"3244"	"160"	"221"	"335"	"997"	"1457"	"541"	"2909"	"477"	"445"	"611"	"170"	"226"	"257"	"56840"	"0"	"56840"	""	"0"
"154"	"111"	"127"	"72"	""	"1"	""	"17"	"13"	"2"	"0"	"0"	"145"	"1"	"2"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"385"	"0"	"385"	""	"0"
"155"	"112"	"82"	"79"	""	"0"	""	"12"	"3"	"0"	"1"	"1"	"161"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"4"	"10"	"0"	"0"	"2"	"3"	"363"	"0"	"363"	""	"0"
"156"	"113"	"116"	"59"	""	"3"	""	"11"	"12"	"9"	"2"	"1"	"147"	"1"	"0"	"1"	"1"	"1"	"0"	"6"	"2"	"3"	"7"	"2"	"3"	"1"	"388"	"0"	"388"	""	"0"
"157"	"114"	"57"	"80"	""	"0"	""	"11"	"7"	"2"	"1"	"4"	"150"	"2"	"3"	"1"	"3"	"9"	"2"	"4"	"4"	"0"	"0"	"1"	"0"	"1"	"342"	"0"	"342"	""	"0"
"158"	"115"	"306"	"143"	""	"2"	""	"13"	"9"	"3"	"0"	"0"	"25"	"1"	"0"	"0"	"0"	"1"	"2"	"4"	"4"	"5"	"8"	"0"	"0"	"0"	"526"	"0"	"526"	""	"0"
"159"	"116"	"133"	"92"	""	"3"	""	"34"	"17"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"5"	"9"	"2"	"3"	"1"	"1"	"1"	"3"	"0"	"0"	"307"	"0"	"307"	""	"0"
"160"	"117"	"212"	"161"	""	"1"	""	"5"	"14"	"11"	"4"	"6"	"160"	"2"	"1"	"0"	"2"	"3"	"1"	"8"	"2"	"3"	"4"	"1"	"1"	"3"	"605"	"0"	"605"	""	"0"
"161"	"118"	"224"	"80"	""	"1"	""	"41"	"239"	"9"	"16"	"5"	"73"	"2"	"2"	"2"	"3"	"17"	"5"	"11"	"7"	"4"	"13"	"5"	"2"	"6"	"767"	"0"	"767"	""	"0"
"162"	"119"	"232"	"213"	""	"0"	""	"11"	"30"	"2"	"2"	"1"	"112"	"1"	"2"	"2"	"0"	"2"	"1"	"4"	"0"	"2"	"2"	"4"	"0"	"1"	"624"	"0"	"624"	""	"0"
"163"	"120"	"173"	"40"	""	"10"	""	"13"	"6"	"6"	"0"	"3"	"113"	"1"	"0"	"1"	"1"	"3"	"0"	"4"	"1"	"0"	"37"	"0"	"0"	"1"	"413"	"0"	"413"	""	"0"
"164"	"121"	"210"	"56"	""	"1"	""	"4"	"5"	"0"	"3"	"0"	"97"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"9"	"2"	"12"	"5"	"0"	"1"	"410"	"0"	"410"	""	"0"
"165"	"122"	"243"	"280"	""	"10"	""	"3"	"17"	"3"	"1"	"4"	"140"	"2"	"3"	"2"	"2"	"4"	"1"	"16"	"1"	"3"	"32"	"1"	"2"	"1"	"771"	"0"	"771"	""	"0"
"166"	"123"	"360"	"74"	""	"2"	""	"7"	"7"	"1"	"1"	"0"	"44"	"0"	"1"	"0"	"0"	"0"	"3"	"4"	"4"	"2"	"16"	"2"	"2"	"2"	"532"	"0"	"532"	""	"0"
"167"	"124"	"165"	"175"	""	"68"	""	"4"	"108"	"6"	"3"	"3"	"12"	"4"	"6"	"1"	"16"	"13"	"6"	"40"	"12"	"3"	"7"	"2"	"6"	"8"	"668"	"0"	"668"	""	"0"
"168"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"169"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"170"	"TOTAL"	"18476"	"18016"	""	"2526"	""	"2304"	"6915"	"625"	"654"	"410"	"4623"	"181"	"243"	"345"	"1032"	"1521"	"566"	"3017"	"528"	"484"	"750"	"196"	"244"	"285"	"63941"	"0"	"63941"	""	"0"
"171"	"BF"	"18476"	"18016"	""	"2526"	""	"2304"	"6915"	"625"	"654"	"410"	"4623"	"181"	"243"	"345"	"1032"	"1521"	"566"	"3017"	"528"	"484"	"750"	"196"	"244"	"285"	"63941"	"0"	"63941"	""	"0"
"172"	"125"	"124"	"113"	""	"16"	""	"7"	"19"	"7"	"2"	"1"	"43"	"0"	"1"	"3"	"1"	"3"	"9"	"15"	"2"	"3"	"4"	"1"	"1"	"3"	"378"	"0"	"378"	""	"0"
"173"	"126"	"156"	"237"	""	"19"	""	"12"	"97"	"21"	"1"	"1"	"46"	"1"	"1"	"0"	"4"	"4"	"6"	"14"	"1"	"1"	"1"	"0"	"0"	"1"	"624"	"0"	"624"	""	"0"
"174"	"127"	"212"	"198"	""	"12"	""	"11"	"5"	"27"	"5"	"4"	"24"	"1"	"1"	"8"	"150"	"7"	"2"	"27"	"6"	"5"	"2"	"2"	"0"	"7"	"716"	"0"	"716"	""	"0"
"175"	"128"	"134"	"158"	""	"0"	""	"1"	"1"	"2"	"2"	"3"	"173"	"3"	"0"	"4"	"0"	"3"	"7"	"6"	"0"	"1"	"0"	"0"	"2"	"2"	"502"	"0"	"502"	""	"0"
"176"	"129"	"160"	"110"	""	"3"	""	"1"	"78"	"5"	"1"	"1"	"67"	"3"	"2"	"1"	"2"	"7"	"7"	"9"	"5"	"1"	"1"	"1"	"0"	"1"	"466"	"0"	"466"	""	"0"
"177"	"130"	"175"	"184"	""	"7"	""	"9"	"68"	"2"	"7"	"5"	"172"	"0"	"5"	"4"	"3"	"4"	"6"	"8"	"5"	"7"	"9"	"1"	"2"	"6"	"689"	"0"	"689"	""	"0"
"178"	"131"	"94"	"256"	""	"5"	""	"7"	"9"	"3"	"1"	"9"	"50"	"1"	"3"	"0"	"1"	"1"	"1"	"3"	"4"	"5"	"10"	"0"	"0"	"0"	"463"	"0"	"463"	""	"0"
"179"	"132"	"287"	"205"	""	"3"	""	"10"	"79"	"4"	"21"	"10"	"27"	"5"	"4"	"2"	"3"	"20"	"8"	"21"	"1"	"1"	"2"	"0"	"2"	"0"	"715"	"0"	"715"	""	"0"
"180"	"133"	"62"	"147"	""	"6"	""	"5"	"219"	"7"	"2"	"3"	"41"	"0"	"3"	"2"	"2"	"23"	"1"	"70"	"3"	"3"	"6"	"2"	"4"	"6"	"617"	"0"	"617"	""	"0"
"181"	"134"	"193"	"254"	""	"13"	""	"12"	"92"	"12"	"3"	"3"	"26"	"1"	"5"	"6"	"11"	"7"	"9"	"32"	"1"	"10"	"4"	"0"	"3"	"1"	"698"	"0"	"698"	""	"0"
"182"	"135"	"154"	"196"	""	"9"	""	"8"	"75"	"22"	"3"	"1"	"86"	"4"	"10"	"1"	"10"	"23"	"8"	"27"	"4"	"4"	"18"	"1"	"3"	"6"	"673"	"0"	"673"	""	"0"
"183"	"136"	"33"	"82"	""	"2"	""	"21"	"42"	"0"	"0"	"1"	"479"	"1"	"0"	"1"	"1"	"4"	"2"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"676"	"0"	"676"	""	"0"
"184"	"137"	"125"	"126"	""	"3"	""	"1"	"19"	"3"	"2"	"4"	"91"	"0"	"2"	"1"	"1"	"28"	"5"	"8"	"4"	"2"	"5"	"1"	"0"	"1"	"432"	"0"	"432"	""	"0"
"185"	"138"	"171"	"214"	""	"7"	""	"7"	"55"	"8"	"1"	"3"	"2"	"0"	"3"	"2"	"4"	"4"	"6"	"5"	"1"	"3"	"2"	"1"	"0"	"2"	"501"	"0"	"501"	""	"0"
"186"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"187"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"188"	"TOTAL"	"20556"	"20496"	""	"2631"	""	"2416"	"7773"	"748"	"705"	"459"	"5950"	"201"	"283"	"380"	"1225"	"1659"	"643"	"3267"	"565"	"532"	"814"	"206"	"261"	"321"	"72091"	"0"	"72091"	""	"0"
"189"	"BF"	"20556"	"20496"	""	"2631"	""	"2416"	"7773"	"748"	"705"	"459"	"5950"	"201"	"283"	"380"	"1225"	"1659"	"643"	"3267"	"565"	"532"	"814"	"206"	"261"	"321"	"72091"	"0"	"72091"	""	"0"
"190"	"138 A"	"179"	"215"	""	"6"	""	"9"	"36"	"17"	"1"	"1"	"2"	"2"	"2"	"0"	"0"	"2"	"1"	"7"	"5"	"5"	"6"	"1"	"2"	"5"	"504"	"0"	"504"	""	"0"
"191"	"139"	"224"	"203"	""	"7"	""	"26"	"192"	"7"	"0"	"3"	"1"	"9"	"4"	"4"	"4"	"17"	"11"	"40"	"16"	"14"	"2"	"4"	"3"	"7"	"798"	"0"	"798"	""	"0"
"192"	"140"	"129"	"97"	""	"2"	""	"17"	"112"	"2"	"5"	"2"	"5"	"0"	"1"	"2"	"12"	"8"	"1"	"6"	"1"	"3"	"14"	"0"	"0"	"1"	"420"	"0"	"420"	""	"0"
"193"	"141"	"94"	"393"	""	"1"	""	"5"	"42"	"10"	"2"	"0"	"2"	"1"	"2"	"5"	"92"	"0"	"2"	"85"	"3"	"0"	"3"	"2"	"0"	"8"	"752"	"0"	"752"	""	"0"
"194"	"142"	"243"	"272"	""	"6"	""	"10"	"86"	"13"	"2"	"2"	"4"	"1"	"5"	"4"	"2"	"68"	"11"	"98"	"2"	"6"	"2"	"0"	"1"	"0"	"838"	"0"	"838"	""	"0"
"195"	"143"	"203"	"52"	""	"5"	""	"82"	"21"	"13"	"21"	"3"	"4"	"1"	"3"	"3"	"17"	"55"	"17"	"18"	"3"	"3"	"0"	"2"	"0"	"1"	"527"	"0"	"527"	""	"0"
"196"	"144"	"202"	"61"	""	"2"	""	"45"	"21"	"1"	"6"	"0"	"2"	"0"	"0"	"0"	"3"	"0"	"1"	"4"	"2"	"2"	"0"	"0"	"0"	"1"	"353"	"0"	"353"	""	"0"
"197"	"145"	"148"	"69"	""	"2"	""	"12"	"9"	"10"	"27"	"1"	"3"	"5"	"2"	"7"	"152"	"14"	"9"	"25"	"8"	"3"	"2"	"1"	"4"	"8"	"521"	"0"	"521"	""	"0"
"198"	"146"	"83"	"175"	""	"3"	""	"12"	"88"	"7"	"58"	"11"	"2"	"4"	"3"	"5"	"6"	"8"	"2"	"114"	"9"	"3"	"10"	"23"	"2"	"8"	"636"	"0"	"636"	""	"0"
"199"	"147"	"110"	"47"	""	"41"	""	"5"	"208"	"4"	"2"	"0"	"1"	"0"	"0"	"2"	"23"	"12"	"3"	"2"	"2"	"3"	"7"	"0"	"1"	"1"	"474"	"0"	"474"	""	"0"
"200"	"148"	"52"	"125"	""	"3"	""	"10"	"1"	"2"	"30"	"1"	"3"	"1"	"3"	"2"	"53"	"38"	"16"	"9"	"3"	"8"	"1"	"0"	"0"	"1"	"362"	"0"	"362"	""	"0"
"201"	"149"	"62"	"141"	""	"12"	""	"8"	"82"	"7"	"4"	"4"	"5"	"2"	"5"	"6"	"14"	"193"	"25"	"42"	"9"	"10"	"6"	"3"	"1"	"5"	"646"	"0"	"646"	""	"0"
"202"	"150"	"146"	"213"	""	"9"	""	"23"	"71"	"9"	"17"	"10"	"4"	"3"	"4"	"1"	"8"	"113"	"8"	"127"	"2"	"1"	"3"	"2"	"0"	"7"	"781"	"0"	"781"	""	"0"
"203"	"151"	"119"	"3"	""	"2"	""	"51"	"1"	"1"	"4"	"0"	"0"	"1"	"0"	"0"	"2"	"65"	"3"	"8"	"6"	"0"	"0"	"2"	"1"	"1"	"270"	"0"	"270"	""	"0"
"204"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	""	"NO. OF TENDERED VOTES"
"205"	""	"Anand Bhushan Pandey"	"Dr. Pramod Kumar Singh"	""	"Ramyash Singh"	""	"Vijay Shankar Pandey"	"Vijya Laxmi Devi"	"Santan Paswan"	"Akaloo Ram"	"Indrajit Bhai Patel"	"Enamul Khan"	"Jageshwar Singh"	"Mamta Devi"	"Ramesh Bind"	"Vikrama Bind"	"Subas Prasad"	"Akshaiwar Singh"	"Arun Kumar"	"Kundal Singh"	"Dulari Devi"	"Manoj Prasad"	"Rajeev Ranjan Kumar"	"Satish Kumar"	"Surendra Prasad"	""	""	""	""	""
"206"	"TOTAL"	"22550"	"22562"	""	"2732"	""	"2731"	"8743"	"851"	"884"	"497"	"5988"	"231"	"317"	"421"	"1613"	"2252"	"753"	"3852"	"636"	"593"	"870"	"246"	"276"	"375"	"79973"	"0"	"79973"	""	"0"
"207"	"BF"	"22550"	"22562"	""	"2732"	""	"2731"	"8743"	"851"	"884"	"497"	"5988"	"231"	"317"	"421"	"1613"	"2252"	"753"	"3852"	"636"	"593"	"870"	"246"	"276"	"375"	"79973"	"0"	"79973"	""	"0"
"208"	"152"	"176"	"99"	""	"3"	""	"28"	"1"	"5"	"1"	"2"	"2"	"1"	"6"	"5"	"15"	"56"	"16"	"30"	"4"	"2"	"2"	"0"	"0"	"1"	"455"	"0"	"455"	""	"0"
"209"	"153"	"58"	"34"	""	"1"	""	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"50"	"1"	"2"	"2"	"2"	"3"	"3"	"0"	"1"	"168"	"0"	"168"	""	"0"
"210"	"154"	"85"	"45"	""	"18"	""	"64"	"25"	"3"	"1"	"1"	"0"	"2"	"3"	"1"	"0"	"27"	"4"	"0"	"7"	"1"	"25"	"4"	"0"	"1"	"317"	"0"	"317"	""	"0"
"211"	"155"	"89"	"54"	""	"3"	""	"22"	"11"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"15"	"1"	"15"	"2"	"2"	"1"	"1"	"0"	"2"	"223"	"0"	"223"	""	"0"
