"X."	"No..of.valid.votes.caste.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"201"	"183"	""	"9"	"52"	"64"	"100"	"11"	"7"	"3"	""	"4"	"7"	"23"	"7"	"13"	"300"
"202"	"184"	""	"6"	"213"	"14"	"39"	"3"	"3"	"0"	""	"1"	"0"	"4"	"4"	"8"	"295"
"203"	"185"	""	"9"	"10"	"72"	"45"	"3"	"6"	"4"	""	"4"	"3"	"43"	"9"	"7"	"215"
"204"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"BOOTH_ NO"	"BOOTH
_EXT"	"NEPALI SINGH"	"PRITHWI RAJ HEMBROM"	"PHALGUNI PRASAD YADAV"	"BIJAY KUMAR SINGH"	"SHASHI BHUSHAN PRASAD SINGH"	"ONKAR NATH BARNWAL"	"KALU MARANDI"	""	"NARESH SINGH"	"BALMAKUND MANDAL"	"SUMIT KUMAR SINGH"	"PRASADI PASWAN"	"FALGUNI KUMAR"	"TOTAL VALID VOTES"
"206"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	"15"
"207"	"186"	""	"13"	"4"	"33"	"270"	"4"	"12"	"3"	""	"4"	"7"	"65"	"12"	"30"	"457"
"208"	"187"	""	"15"	"124"	"107"	"71"	"9"	"8"	"0"	""	"3"	"6"	"22"	"2"	"10"	"377"
"209"	"188"	""	"2"	"85"	"35"	"187"	"8"	"6"	"1"	""	"1"	"1"	"11"	"2"	"3"	"342"
"210"	"189"	""	"17"	"81"	"6"	"48"	"7"	"2"	"1"	""	"1"	"2"	"35"	"6"	"8"	"214"
"211"	"190"	""	"8"	"167"	"43"	"11"	"1"	"0"	"2"	""	"1"	"2"	"12"	"7"	"2"	"256"
"212"	"191"	""	"8"	"52"	"28"	"26"	"2"	"5"	"1"	""	"2"	"3"	"48"	"14"	"6"	"195"
"213"	"192"	""	"17"	"215"	"68"	"49"	"12"	"31"	"4"	""	"6"	"7"	"38"	"11"	"26"	"484"
"214"	"193"	""	"5"	"129"	"19"	"71"	"12"	"12"	"3"	""	"2"	"7"	"158"	"30"	"27"	"475"
"215"	"194"	""	"14"	"67"	"107"	"65"	"7"	"8"	"6"	""	"1"	"8"	"51"	"10"	"14"	"358"
"216"	"195"	""	"16"	"28"	"17"	"22"	"10"	"25"	"3"	""	"1"	"4"	"140"	"7"	"4"	"277"
"217"	"196"	""	"24"	"173"	"160"	"47"	"20"	"41"	"2"	""	"3"	"8"	"125"	"5"	"13"	"621"
"218"	"197"	""	"35"	"210"	"120"	"47"	"7"	"5"	"11"	""	"3"	"14"	"50"	"15"	"14"	"531"
"219"	"198"	""	"9"	"50"	"19"	"104"	"10"	"11"	"5"	""	"4"	"5"	"20"	"56"	"7"	"300"
"220"	"199"	""	"26"	"95"	"91"	"63"	"3"	"7"	"2"	""	"0"	"5"	"43"	"33"	"11"	"379"
"221"	"200"	""	"28"	"68"	"186"	"42"	"4"	"7"	"7"	""	"4"	"8"	"163"	"21"	"23"	"561"
"222"	"201"	""	"97"	"27"	"134"	"20"	"10"	"6"	"2"	""	"4"	"5"	"107"	"36"	"25"	"473"
"223"	"202"	""	"8"	"148"	"11"	"20"	"1"	"1"	"1"	""	"0"	"3"	"37"	"1"	"2"	"233"
"224"	"203"	""	"7"	"29"	"37"	"104"	"4"	"4"	"2"	""	"0"	"0"	"41"	"16"	"2"	"246"
"225"	"204"	""	"19"	"14"	"83"	"114"	"19"	"11"	"13"	""	"25"	"10"	"118"	"20"	"27"	"473"
"226"	"205"	""	"14"	"243"	"44"	"60"	"2"	"7"	"1"	""	"8"	"2"	"22"	"6"	"11"	"420"
"227"	"206"	""	"38"	"87"	"116"	"81"	"20"	"10"	"5"	""	"9"	"6"	"89"	"47"	"13"	"521"
"228"	"207"	""	"30"	"96"	"142"	"87"	"31"	"14"	"6"	""	"8"	"9"	"40"	"73"	"14"	"550"
"229"	"208"	""	"3"	"11"	"129"	"45"	"18"	"0"	"1"	""	"3"	"4"	"79"	"7"	"4"	"304"
"230"	"209"	""	"4"	"14"	"244"	"29"	"6"	"3"	"0"	""	"3"	"1"	"150"	"4"	"5"	"463"
"231"	"210"	""	"15"	"194"	"112"	"43"	"2"	"1"	"2"	""	"1"	"2"	"18"	"3"	"13"	"406"
"232"	"211"	""	"11"	"50"	"230"	"42"	"4"	"3"	"3"	""	"2"	"6"	"132"	"12"	"15"	"510"
"233"	"212"	""	"0"	"24"	"419"	"19"	"1"	"10"	"0"	""	"2"	"2"	"65"	"1"	"1"	"544"
"234"	"213"	""	"3"	"33"	"89"	"37"	"5"	"7"	"2"	""	"2"	"8"	"87"	"26"	"14"	"313"
"235"	"214"	""	"5"	"4"	"117"	"21"	"6"	"3"	"1"	""	"0"	"0"	"10"	"6"	"14"	"187"
"236"	"215"	""	"9"	"54"	"159"	"63"	"5"	"10"	"5"	""	"7"	"10"	"18"	"10"	"19"	"369"
"237"	"216"	""	"10"	"9"	"121"	"107"	"5"	"2"	"6"	""	"4"	"6"	"18"	"8"	"11"	"307"
"238"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"BOOTH_ NO"	"BOOTH
_EXT"	"NEPALI SINGH"	"PRITHWI RAJ HEMBROM"	"PHALGUNI PRASAD YADAV"	"BIJAY KUMAR SINGH"	"SHASHI BHUSHAN PRASAD SINGH"	"ONKAR NATH BARNWAL"	"KALU MARANDI"	""	"NARESH SINGH"	"BALMAKUND MANDAL"	"SUMIT KUMAR SINGH"	"PRASADI PASWAN"	"FALGUNI KUMAR"	"TOTAL VALID VOTES"
"240"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	"15"
"241"	"217"	""	"4"	"319"	"131"	"4"	"2"	"3"	"2"	""	"2"	"6"	"13"	"8"	"13"	"507"
"242"	"218"	""	"48"	"28"	"93"	"60"	"3"	"2"	"0"	""	"3"	"2"	"24"	"9"	"11"	"283"
"243"	"219"	""	"14"	"83"	"249"	"64"	"13"	"14"	"2"	""	"6"	"10"	"35"	"18"	"22"	"530"
"244"	"220"	""	"23"	"93"	"209"	"74"	"14"	"6"	"4"	""	"7"	"10"	"87"	"14"	"35"	"576"
"245"	"221"	""	"34"	"32"	"111"	"112"	"9"	"6"	"5"	""	"8"	"8"	"27"	"6"	"17"	"375"
"246"	"222"	""	"11"	"14"	"43"	"49"	"1"	"3"	"4"	""	"4"	"2"	"47"	"18"	"7"	"203"
"247"	"223"	""	"5"	"78"	"74"	"71"	"18"	"7"	"9"	""	"8"	"4"	"57"	"10"	"16"	"357"
"248"	"224"	""	"8"	"79"	"121"	"35"	"17"	"2"	"1"	""	"3"	"5"	"21"	"15"	"12"	"319"
"249"	"225"	""	"14"	"23"	"126"	"59"	"6"	"8"	"0"	""	"6"	"13"	"189"	"21"	"26"	"491"
"250"	"226"	""	"27"	"277"	"97"	"54"	"7"	"47"	"6"	""	"5"	"8"	"79"	"8"	"12"	"627"
"251"	"227"	""	"6"	"57"	"180"	"39"	"10"	"6"	"1"	""	"5"	"13"	"111"	"5"	"10"	"443"
"252"	"228"	""	"27"	"63"	"81"	"85"	"4"	"4"	"1"	""	"3"	"4"	"171"	"9"	"10"	"462"
"253"	"229"	""	"16"	"17"	"132"	"75"	"7"	"2"	"0"	""	"2"	"5"	"180"	"9"	"5"	"450"
"254"	"230"	""	"20"	"123"	"19"	"35"	"4"	"3"	"1"	""	"2"	"4"	"41"	"10"	"3"	"265"
"255"	"231"	""	"4"	"57"	"182"	"66"	"4"	"4"	"1"	""	"1"	"1"	"56"	"13"	"5"	"394"
"256"	"232"	""	"3"	"64"	"97"	"69"	"1"	"6"	"0"	""	"0"	"0"	"30"	"10"	"1"	"281"
"257"	"233"	""	"66"	"49"	"93"	"83"	"9"	"2"	"3"	""	"2"	"2"	"17"	"22"	"17"	"365"
"258"	"234"	""	"24"	"67"	"141"	"100"	"14"	"13"	"5"	""	"3"	"8"	"46"	"25"	"30"	"476"
"259"	"235"	""	"17"	"135"	"64"	"38"	"2"	"4"	"2"	""	"2"	"0"	"43"	"21"	"6"	"334"
"260"	"236"	""	"14"	"24"	"6"	"59"	"10"	"5"	"1"	""	"1"	"3"	"70"	"8"	"4"	"205"
"261"	"237"	""	"17"	"170"	"66"	"73"	"7"	"7"	"6"	""	"5"	"7"	"44"	"40"	"19"	"461"
"262"	"238"	""	"7"	"129"	"72"	"29"	"2"	"13"	"3"	""	"4"	"7"	"52"	"29"	"17"	"364"
"263"	"239"	""	"23"	"91"	"18"	"48"	"2"	"4"	"3"	""	"5"	"6"	"37"	"4"	"10"	"251"
"264"	"240"	""	"7"	"18"	"34"	"90"	"3"	"7"	"1"	""	"4"	"4"	"24"	"115"	"6"	"313"
"265"	"241"	""	"12"	"24"	"172"	"40"	"12"	"9"	"7"	""	"6"	"4"	"149"	"11"	"11"	"457"
"266"	"242"	""	"1"	"7"	"11"	"7"	"2"	"1"	"1"	""	"2"	"0"	"52"	"53"	"1"	"138"
"267"	"243"	""	"11"	"11"	"18"	"2"	"4"	"0"	"3"	""	"5"	"6"	"152"	"98"	"17"	"327"
"268"	"244"	""	"5"	"50"	"8"	"10"	"12"	"2"	"2"	""	"2"	"7"	"39"	"69"	"8"	"214"
"269"	"245"	""	"12"	"9"	"11"	"19"	"3"	"6"	"5"	""	"5"	"5"	"66"	"134"	"22"	"297"
"270"	"246"	""	"23"	"115"	"12"	"19"	"10"	"2"	"3"	""	"9"	"5"	"87"	"313"	"27"	"625"
"271"	"247"	""	"10"	"20"	"10"	"70"	"6"	"9"	"8"	""	"8"	"7"	"34"	"130"	"28"	"340"
"272"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"BOOTH_ NO"	"BOOTH
_EXT"	"NEPALI SINGH"	"PRITHWI RAJ HEMBROM"	"PHALGUNI PRASAD YADAV"	"BIJAY KUMAR SINGH"	"SHASHI BHUSHAN PRASAD SINGH"	"ONKAR NATH BARNWAL"	"KALU MARANDI"	""	"NARESH SINGH"	"BALMAKUND MANDAL"	"SUMIT KUMAR SINGH"	"PRASADI PASWAN"	"FALGUNI KUMAR"	"TOTAL VALID VOTES"
"274"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	"15"
"275"	"248"	""	"46"	"41"	"27"	"34"	"4"	"8"	"6"	""	"6"	"6"	"18"	"223"	"23"	"442"
"276"	"249"	""	"17"	"16"	"52"	"8"	"4"	"1"	"3"	""	"5"	"4"	"62"	"72"	"5"	"249"
"277"	"250"	""	"6"	"198"	"41"	"59"	"13"	"10"	"8"	""	"15"	"18"	"37"	"97"	"40"	"542"
"278"	"251"	""	"25"	"7"	"88"	"40"	"10"	"8"	"6"	""	"2"	"9"	"24"	"104"	"14"	"337"
"279"	"252"	""	"17"	"131"	"94"	"85"	"3"	"5"	"10"	""	"4"	"11"	"48"	"12"	"13"	"433"
"280"	"253"	""	"4"	"5"	"11"	"87"	"7"	"4"	"6"	""	"4"	"6"	"50"	"4"	"7"	"195"
"281"	"254"	""	"4"	"82"	"18"	"116"	"4"	"7"	"2"	""	"2"	"2"	"129"	"5"	"4"	"375"
"282"	"255"	""	"27"	"14"	"40"	"72"	"17"	"6"	"7"	""	"12"	"17"	"75"	"15"	"27"	"329"
"283"	"256"	""	"25"	"126"	"27"	"130"	"9"	"19"	"26"	""	"12"	"22"	"119"	"22"	"48"	"585"
"284"	"257"	""	"17"	"41"	"70"	"116"	"7"	"15"	"6"	""	"11"	"7"	"185"	"32"	"40"	"547"
"285"	"258"	""	"15"	"3"	"44"	"62"	"11"	"5"	"2"	""	"3"	"5"	"37"	"33"	"8"	"228"
"286"	"259"	""	"19"	"187"	"122"	"98"	"10"	"6"	"4"	""	"7"	"7"	"53"	"10"	"34"	"557"
"287"	"260"	""	"21"	"87"	"49"	"124"	"6"	"15"	"4"	""	"0"	"5"	"29"	"25"	"15"	"380"
"288"	"261"	""	"38"	"64"	"95"	"93"	"11"	"9"	"5"	""	"5"	"20"	"51"	"39"	"60"	"490"
"289"	"262"	""	"24"	"17"	"36"	"129"	"7"	"16"	"9"	""	"8"	"11"	"232"	"15"	"23"	"527"
"290"	"263"	""	"12"	"125"	"24"	"17"	"4"	"2"	"1"	""	"1"	"2"	"4"	"1"	"1"	"194"
"291"	"264"	""	"7"	"56"	"57"	"120"	"7"	"13"	"28"	""	"8"	"10"	"36"	"8"	"15"	"365"
"292"	"265"	""	"24"	"142"	"19"	"6"	"4"	"8"	"40"	""	"5"	"8"	"50"	"17"	"6"	"329"
"293"	"266"	""	"16"	"9"	"43"	"94"	"5"	"3"	"13"	""	"7"	"9"	"67"	"26"	"17"	"309"
"294"	"267"	""	"12"	"63"	"56"	"33"	"6"	"6"	"22"	""	"4"	"3"	"83"	"10"	"23"	"321"
"295"	"268"	""	"3"	"3"	"38"	"34"	"1"	"1"	"1"	""	"4"	"4"	"17"	"27"	"15"	"148"
"296"	"269"	""	"15"	"21"	"79"	"100"	"5"	"5"	"82"	""	"8"	"14"	"36"	"10"	"16"	"391"
"297"	"270"	""	"14"	"6"	"43"	"30"	"10"	"3"	"17"	""	"8"	"3"	"54"	"7"	"3"	"198"
"298"	"271"	""	"25"	"142"	"61"	"63"	"10"	"9"	"1"	""	"4"	"1"	"17"	"29"	"15"	"377"
"299"	"272"	""	"16"	"16"	"37"	"75"	"5"	"4"	"1"	""	"5"	"6"	"89"	"12"	"14"	"280"
"300"	"273"	""	"43"	"50"	"89"	"55"	"11"	"30"	"4"	""	"4"	"9"	"84"	"14"	"32"	"425"
"301"	"274"	""	"9"	"1"	"25"	"53"	"2"	"9"	"1"	""	"3"	"5"	"38"	"8"	"5"	"159"
"302"	"275"	""	"13"	"67"	"8"	"2"	"2"	"1"	"2"	""	"1"	"0"	"140"	"38"	"13"	"287"
"303"	"276"	""	"47"	"16"	"106"	"112"	"5"	"13"	"12"	""	"8"	"5"	"114"	"99"	"17"	"554"
"304"	"277"	""	"0"	"11"	"1"	"32"	"1"	"23"	"0"	""	"0"	"1"	"95"	"9"	"1"	"174"
"305"	"278"	""	"4"	"7"	"10"	"2"	"0"	"132"	"1"	""	"1"	"2"	"48"	"0"	"4"	"211"
"306"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"BOOTH_ NO"	"BOOTH
_EXT"	"NEPALI SINGH"	"PRITHWI RAJ HEMBROM"	"PHALGUNI PRASAD YADAV"	"BIJAY KUMAR SINGH"	"SHASHI BHUSHAN PRASAD SINGH"	"ONKAR NATH BARNWAL"	"KALU MARANDI"	""	"NARESH SINGH"	"BALMAKUND MANDAL"	"SUMIT KUMAR SINGH"	"PRASADI PASWAN"	"FALGUNI KUMAR"	"TOTAL VALID VOTES"
"308"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	"11"	"12"	"13"	"14"	"15"
"309"	"279"	""	"66"	"34"	"18"	"19"	"4"	"8"	"0"	""	"1"	"4"	"112"	"24"	"6"	"296"
"310"	"280"	""	"13"	"58"	"10"	"38"	"6"	"9"	"7"	""	"5"	"10"	"128"	"42"	"27"	"353"
"311"	"281"	""	"9"	"12"	"96"	"28"	"6"	"3"	"4"	""	"2"	"3"	"36"	"9"	"14"	"222"
"312"	"282"	""	"24"	"17"	"55"	"31"	"3"	"2"	"1"	""	"6"	"2"	"12"	"4"	"6"	"163"
"313"	"283"	""	"14"	"6"	"69"	"66"	"5"	"2"	"10"	""	"3"	"3"	"29"	"3"	"8"	"218"
"314"	"284"	""	"50"	"124"	"77"	"108"	"9"	"9"	"4"	""	"4"	"14"	"110"	"29"	"42"	"580"
"315"	"285"	""	"7"	"132"	"18"	"29"	"2"	"3"	"19"	""	"5"	"2"	"73"	"11"	"30"	"331"
"316"	"286"	""	"47"	"45"	"73"	"67"	"9"	"7"	"13"	""	"4"	"5"	"147"	"17"	"41"	"475"
"317"	""	""	"0"	"0"	"2"	"3"	"0"	"0"	"0"	""	"0"	"0"	"3"	"0"	"0"	"8"
"318"	"Postal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"Total                           8506           16427        20261        21621         3508          2729          1329          1355          1798         21809         4614          4302        108259"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
