"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"195"	"174"	"21"	""	"11"	""	"225"	""	"35"	""	""	"217"	""	"42"	""	"51"	""	"9"	""	"21"	""	"632"	""
"196"	"175"	"6"	""	"11"	""	"226"	""	"38"	""	""	"175"	""	"11"	""	"38"	""	"2"	""	"7"	""	"514"	""
"197"	"176"	"12"	""	"8"	""	"318"	""	"107"	""	""	"256"	""	"20"	""	"34"	""	"6"	""	"14"	""	"775"	""
"198"	"177"	"16"	""	"5"	""	"194"	""	"80"	""	""	"250"	""	"22"	""	"53"	""	"8"	""	"25"	""	"653"	""
"199"	"178"	"9"	""	"8"	""	"297"	""	"37"	""	""	"260"	""	"11"	""	"11"	""	"4"	""	"5"	""	"642"	""
"200"	"179"	"6"	""	"1"	""	"185"	""	"127"	""	""	"155"	""	"14"	""	"22"	""	"3"	""	"12"	""	"525"	""
"201"	"180"	"10"	""	"3"	""	"61"	""	"150"	""	""	"191"	""	"14"	""	"32"	""	"2"	""	"11"	""	"474"	""
"202"	"181"	"8"	""	"0"	""	"109"	""	"54"	""	""	"265"	""	"11"	""	"35"	""	"3"	""	"7"	""	"492"	""
"203"	"182"	"18"	""	"7"	""	"206"	""	"170"	""	""	"78"	""	"14"	""	"15"	""	"8"	""	"13"	""	"529"	""
"204"	"183"	"9"	""	"3"	""	"118"	""	"200"	""	""	"203"	""	"15"	""	"32"	""	"3"	""	"18"	""	"601"	""
"205"	"184"	"18"	""	"9"	""	"306"	""	"112"	""	""	"155"	""	"18"	""	"51"	""	"12"	""	"24"	""	"705"	""
"206"	"185"	"19"	""	"3"	""	"239"	""	"40"	""	""	"365"	""	"33"	""	"46"	""	"10"	""	"13"	""	"768"	""
"207"	"186"	"15"	""	"6"	""	"202"	""	"92"	""	""	"377"	""	"22"	""	"61"	""	"4"	""	"22"	""	"801"	""
"208"	"187"	"14"	""	"8"	""	"194"	""	"195"	""	""	"137"	""	"28"	""	"24"	""	"10"	""	"5"	""	"615"	""
"209"	"188"	"6"	""	"6"	""	"239"	""	"107"	""	""	"161"	""	"15"	""	"31"	""	"9"	""	"18"	""	"592"	""
"210"	"189"	"17"	""	"5"	""	"371"	""	"57"	""	""	"182"	""	"41"	""	"77"	""	"18"	""	"45"	""	"813"	""
"211"	"190"	"24"	""	"15"	""	"403"	""	"64"	""	""	"80"	""	"14"	""	"37"	""	"10"	""	"22"	""	"669"	""
"212"	"190A"	"9"	""	"0"	""	"112"	""	"61"	""	""	"11"	""	"3"	""	"4"	""	"4"	""	"3"	""	"207"	""
"213"	"191"	"2"	""	"0"	""	"47"	""	"136"	""	""	"213"	""	"22"	""	"30"	""	"4"	""	"4"	""	"458"	""
"214"	"192"	"19"	""	"4"	""	"181"	""	"79"	""	""	"194"	""	"22"	""	"34"	""	"6"	""	"7"	""	"546"	""
"215"	"193"	"8"	""	"4"	""	"125"	""	"139"	""	""	"164"	""	"12"	""	"40"	""	"5"	""	"16"	""	"513"	""
"216"	"194"	"7"	""	"3"	""	"162"	""	"187"	""	""	"177"	""	"19"	""	"23"	""	"5"	""	"23"	""	"606"	""
"217"	"195"	"17"	""	"3"	""	"104"	""	"137"	""	""	"252"	""	"13"	""	"60"	""	"9"	""	"22"	""	"617"	""
"218"	"196"	"7"	""	"3"	""	"177"	""	"19"	""	""	"205"	""	"16"	""	"19"	""	"3"	""	"5"	""	"454"	""
"219"	"Total:"	"2032"	""	"1139"	""	"23421"	""	"34151"	""	""	"46460"	""	"2983"	""	"7093"	""	"1196"	""	"2827"	""	"121302"	""
"220"	"Postal Ballot"	""	"1"	""	"0"	""	"1"	""	""	"17"	""	"9"	""	"1"	""	"0"	""	"0"	""	"0"	""	"29"
"221"	"Grand Total:"	""	"2033"	""	"1139"	""	"23422"	""	"34168"	""	""	"46469"	""	"2984"	""	"7093"	""	"1196"	""	"2827"	""	"121331"
"222"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Date: 24/11/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
