"er.nku.dsUnz.l.a....k"	"v..kksd.dqekj.i.zl.kn"	"j.kek...k.ekW.h"	"X..kekZuUn.j.ke"	"f..ko.dqekj.ekW.h"	"l.qeh.k.nsoh"	"ek.kqj.h.nsoh"	"j.ke.i.qdkj.gfj.t.u"	"l.R..nso.j.ke"	"uUn.t.h.j.ke"	"j..kqukFk.j.ke"	"j.ket.hr.Hkkj.r.h"	"j.ke.l.dy.j.ke"	"Jh...kadj.pkS.kj.h"	"l.fPknkl.uUn.l.k.kq"	"dqy..fof.kekU..er"	"i.zfr..ksfi.r..er.ksa.dh.dqy..l.a....k"	"X..ksx"	"fufonr..er.ksa.dh.dqy..l.a....k"
"269"	NA	79	1389	45	359	44	144	106	1672	145	81	79	64	67	94	4368	0	0	0
"270"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"271"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"272"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"273"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"274"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"275"	147	4	171	4	3	5	12	2	196	5	2	3	2	3	3	415	NA	NA	NA
"276"	148	2	56	20	41	5	14	7	237	5	5	5	3	2	1	403	NA	NA	NA
"277"	149	1	224	3	8	5	10	2	43	1	3	3	6	11	8	328	NA	NA	NA
"278"	150	3	122	2	8	23	9	6	268	6	6	2	4	3	12	474	NA	NA	NA
"279"	151	5	208	2	31	5	8	5	82	16	6	6	2	12	14	402	NA	NA	NA
"280"	152	3	96	6	74	10	18	4	95	6	18	11	7	6	13	367	NA	NA	NA
"281"	153	6	213	4	46	25	8	6	51	4	8	4	5	14	21	415	NA	NA	NA
"282"	154	9	102	3	53	10	16	5	172	15	16	5	10	6	14	436	NA	NA	NA
"283"	NA	33	1192	44	264	88	95	37	1144	58	64	39	39	57	86	3240	0	0	0
"284"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"285"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"286"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"287"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"288"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"289"	155	5	181	6	147	9	20	8	234	15	9	7	3	7	15	666	NA	NA	NA
"290"	156	13	263	10	48	20	12	6	112	7	6	4	2	15	6	524	NA	NA	NA
"291"	157	0	18	2	106	7	22	3	163	14	3	8	3	4	8	361	NA	NA	NA
"292"	157	2	7	6	213	4	8	3	124	9	11	9	3	1	1	401	NA	NA	NA
"293"	158	7	43	6	229	9	22	9	195	6	25	23	6	8	13	601	NA	NA	NA
"294"	159	54	199	11	23	4	9	5	173	7	3	1	4	6	5	504	NA	NA	NA
"295"	160	4	96	5	96	10	15	8	209	18	5	12	11	7	9	505	NA	NA	NA
"296"	161	7	80	3	95	12	11	8	110	11	10	14	8	8	13	390	NA	NA	NA
"297"	NA	92	887	49	957	75	119	50	1320	87	72	78	40	56	70	3952	0	0	0
"298"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"299"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"300"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"302"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"303"	161	6	94	2	48	6	9	12	125	24	10	4	9	12	14	375	NA	NA	NA
"304"	162	6	211	3	0	6	7	5	123	5	2	4	2	11	14	399	NA	NA	NA
"305"	163	5	134	2	33	4	16	13	183	21	4	4	6	5	11	441	NA	NA	NA
"306"	164	8	321	7	39	12	5	5	39	5	5	4	1	3	9	463	NA	NA	NA
"307"	165	7	132	28	18	6	12	12	190	15	5	1	5	2	3	436	NA	NA	NA
"308"	166	14	141	11	40	3	31	12	330	18	10	7	4	2	7	630	NA	NA	NA
"309"	167	8	111	8	56	6	14	10	266	13	16	8	12	13	30	571	NA	NA	NA
"310"	168	17	136	211	23	20	15	3	21	5	8	7	12	15	14	507	NA	NA	NA
"311"	NA	71	1280	272	257	63	109	72	1277	106	60	39	51	63	102	3822	0	0	0
"312"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"313"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"314"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"315"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"316"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"317"	169	2	369	6	27	3	6	3	88	4	1	3	6	7	7	532	NA	NA	NA
"318"	170	6	84	4	27	4	11	2	121	7	9	8	3	3	1	290	NA	NA	NA
"319"	171	24	279	17	34	10	6	1	7	0	2	2	7	8	11	408	NA	NA	NA
"320"	172	22	195	17	8	7	2	3	26	7	1	3	6	7	9	313	NA	NA	NA
"321"	173	6	205	6	14	2	3	3	1	1	3	2	1	5	11	263	NA	NA	NA
"322"	174	8	357	6	74	6	5	7	68	4	5	0	3	3	0	546	NA	NA	NA
"323"	175	15	292	7	24	11	24	9	181	8	3	3	8	24	15	624	NA	NA	NA
"324"	176	5	212	2	56	10	7	5	74	2	3	2	1	7	4	390	NA	NA	NA
"325"	NA	88	1993	65	264	53	64	33	566	33	27	23	35	64	58	3366	0	0	0
"326"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"327"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"328"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"329"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"330"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"331"	177	6	132	4	90	9	14	4	141	13	4	8	5	5	0	435	NA	NA	NA
"332"	178	7	117	5	256	16	22	13	181	9	23	40	22	8	13	732	NA	NA	NA
"333"	179	0	209	30	5	5	10	4	186	9	3	1	0	3	8	473	NA	NA	NA
"334"	180	4	138	7	51	1	11	2	65	7	6	2	3	4	6	307	NA	NA	NA
"335"	181	12	203	20	80	13	15	5	130	12	12	26	7	28	31	594	NA	NA	NA
"336"	182	6	165	8	25	6	10	3	129	7	5	3	5	5	16	393	NA	NA	NA
"337"	182	4	219	4	30	1	2	1	35	4	2	4	7	24	13	350	NA	NA	NA
"338"	183	2	167	3	40	4	3	1	18	2	1	3	1	12	3	260	NA	NA	NA
"339"	NA	41	1350	81	577	55	87	33	885	63	56	87	50	89	90	3544	0	0	0
"340"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"341"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"342"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"343"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"344"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"345"	183	1	106	9	54	5	11	1	165	6	5	5	2	6	11	387	NA	NA	NA
"346"	184	5	186	2	8	1	3	9	60	3	2	2	1	9	6	297	NA	NA	NA
"347"	185	3	153	1	6	9	1	1	51	3	2	5	0	3	2	240	NA	NA	NA
"348"	186	4	32	8	257	6	7	2	60	3	8	5	4	0	5	401	NA	NA	NA
"349"	186	6	152	8	66	8	7	10	61	5	8	10	9	8	19	377	NA	NA	NA
"350"	187	15	209	12	124	8	7	1	68	8	5	7	2	13	6	485	NA	NA	NA
"351"	188	9	41	8	233	7	12	1	45	4	17	7	2	6	6	398	NA	NA	NA
"352"	189	4	116	4	138	4	8	3	112	10	13	10	8	10	18	458	NA	NA	NA
"353"	NA	47	995	52	886	48	56	28	622	42	60	51	28	55	73	3043	0	0	0
"354"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"355"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"356"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"357"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"358"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"359"	190	6	200	6	42	4	3	3	35	7	7	7	4	9	16	349	NA	NA	NA
"360"	191	10	314	40	58	3	8	3	70	4	4	10	8	8	19	559	NA	NA	NA
"361"	192	6	95	4	188	12	26	15	206	21	24	23	11	12	17	660	NA	NA	NA
"362"	193	8	321	7	52	7	2	2	14	2	8	2	5	12	13	455	NA	NA	NA
"363"	194	14	192	8	57	7	13	9	183	11	5	8	2	6	4	519	NA	NA	NA
"364"	195	5	145	7	57	14	19	4	105	15	8	15	6	10	12	422	NA	NA	NA
"365"	196	3	146	1	10	3	0	1	2	0	0	0	1	2	3	172	NA	NA	NA
"366"	197	6	164	6	112	10	4	5	30	5	12	10	5	14	24	407	NA	NA	NA
"367"	NA	58	1577	79	576	60	75	42	645	65	68	75	42	73	108	3543	0	0	0
"368"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"369"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"370"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"371"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"372"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"373"	198	11	168	9	123	11	4	1	9	1	14	5	8	19	11	394	NA	NA	NA
"374"	199	5	182	6	59	12	33	12	206	12	14	7	9	9	13	579	NA	NA	NA
"375"	200	8	147	3	52	11	6	5	82	4	1	4	6	5	4	338	NA	NA	NA
"376"	201	27	238	14	300	35	26	10	105	13	28	16	12	10	13	847	NA	NA	NA
"377"	202	20	334	9	78	8	8	5	57	2	13	3	9	17	15	578	NA	NA	NA
"378"	203	14	262	6	73	8	14	6	241	17	9	11	6	16	12	695	NA	NA	NA
"379"	204	4	7	1	157	6	8	2	176	10	17	14	5	8	11	426	NA	NA	NA
"380"	205	7	18	2	103	5	12	5	133	6	15	7	2	4	13	332	NA	NA	NA
"381"	NA	96	1356	50	945	96	111	46	1009	65	111	67	57	88	92	4189	0	0	0
"382"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"383"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"384"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"385"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"386"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"387"	206	5	394	6	52	12	2	0	10	1	3	3	1	8	5	502	NA	NA	NA
"388"	207	8	252	11	97	8	6	6	121	12	14	5	8	11	11	570	NA	NA	NA
"389"	208	5	280	7	65	6	4	2	31	6	9	8	1	7	18	449	NA	NA	NA
"390"	209	2	162	4	5	5	17	7	110	7	2	6	8	13	12	360	NA	NA	NA
"391"	209	3	123	5	18	2	8	8	197	9	4	5	5	5	7	399	NA	NA	NA
"392"	210	8	156	78	178	22	35	14	168	13	15	12	16	17	38	770	NA	NA	NA
"393"	211	7	216	13	43	12	22	11	265	14	14	7	8	5	26	663	NA	NA	NA
"394"	212	4	90	6	33	4	8	12	224	16	3	6	2	5	11	424	NA	NA	NA
"395"	NA	42	1673	130	491	71	102	60	1126	78	64	52	49	71	128	4137	0	0	0
"396"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"397"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"398"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"399"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"400"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"401"	212	3	95	6	89	9	8	11	150	9	7	10	5	14	14	430	NA	NA	NA
"402"	213	26	250	82	136	15	18	7	123	9	29	17	15	23	16	766	NA	NA	NA
"403"	214	2	263	6	49	10	1	0	15	4	13	6	5	4	5	383	NA	NA	NA
"404"	214	2	119	11	7	5	14	10	170	13	6	0	3	2	14	376	NA	NA	NA
"405"	215	23	226	11	111	20	17	10	150	11	26	4	12	10	21	652	NA	NA	NA
"406"	216	6	346	20	32	12	22	6	186	15	10	4	11	12	22	704	NA	NA	NA
"407"	217	3	234	9	56	8	14	13	130	23	20	7	15	14	26	572	NA	NA	NA
"408"	218	6	203	15	65	5	16	8	87	11	6	8	10	8	8	456	NA	NA	NA
"409"	NA	71	1736	160	545	84	110	65	1011	95	117	56	76	87	126	4339	0	0	0
"410"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"411"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"412"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"413"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"414"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"415"	219	3	97	10	27	9	9	5	243	8	2	6	2	4	2	427	NA	NA	NA
"416"	220	1	115	4	70	7	8	7	103	1	5	4	1	2	3	331	NA	NA	NA
"417"	221	6	166	12	61	19	15	21	283	19	17	8	13	11	11	662	NA	NA	NA
"418"	222	6	105	8	107	8	8	3	59	5	6	4	2	2	0	323	NA	NA	NA
"419"	223	7	269	9	27	1	6	4	78	6	3	3	4	6	1	424	NA	NA	NA
"420"	224	11	74	5	119	14	17	14	127	13	22	19	20	5	24	484	NA	NA	NA
"421"	225	7	202	7	20	8	15	4	154	9	4	8	7	9	11	465	NA	NA	NA
"422"	226	2	99	7	58	25	8	5	31	2	3	1	1	4	1	247	NA	NA	NA
"423"	NA	43	1127	62	489	91	86	63	1078	63	62	53	50	43	53	3363	0	0	0
"424"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"425"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"426"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"427"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"428"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"429"	227	6	95	3	41	5	10	3	64	8	6	5	13	16	14	289	NA	NA	NA
"430"	228	2	55	8	31	9	6	2	230	6	13	5	3	1	6	377	NA	NA	NA
"431"	229	2	132	6	63	8	8	1	40	4	1	4	7	8	7	291	NA	NA	NA
"432"	230	16	101	21	130	27	11	4	46	5	8	6	2	4	11	392	NA	NA	NA
"433"	230	6	165	31	16	45	20	4	120	10	1	2	5	5	2	432	NA	NA	NA
"434"	231	3	157	7	40	23	11	6	17	9	3	10	5	5	4	300	NA	NA	NA
"435"	232	8	226	15	20	14	10	9	50	10	2	4	8	14	10	400	NA	NA	NA
"436"	233	10	339	11	50	16	16	9	90	12	17	6	12	27	26	641	NA	NA	NA
"437"	NA	53	1270	102	391	147	92	38	657	64	51	42	55	80	80	3122	0	0	0
"438"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"439"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"440"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"441"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"442"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"443"	234	13	279	11	88	32	22	4	80	9	11	11	5	16	29	610	NA	NA	NA
"444"	235	2	162	2	19	7	1	3	2	0	5	5	6	5	5	224	NA	NA	NA
"445"	236	3	107	4	55	12	11	4	199	11	8	7	3	5	4	433	NA	NA	NA
"446"	237	1	41	1	26	2	4	1	17	3	6	3	2	3	2	112	NA	NA	NA
"447"	238	2	69	4	22	2	1	5	12	2	2	1	3	4	5	134	NA	NA	NA
"448"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
"449"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
"450"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
"451"	NA	21	658	22	210	55	39	17	310	25	32	27	19	33	45	1513	0	0	0
"452"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"453"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"454"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
