"BOOTH.NO"	"ATAUR.RAHMAN"	"AWADHESH.PRASAD.KUSHWAHA"	"NAWIN.KUMAR.SINGH"	"RAJ.MANGAL.PRASAD"	"SANJEEV.KUMAR.SINGH"	"SUBHODH.YADAV"	"AKHTAR.ALI"	"NAGENDRA.SAHANI"	"RAJENDRA.PASWAN"	"VIKRAM.KUMAR"	"SHASHI.BHUSAN.KUMAR"	"SURENDRA.RAI"	"ABHAY.KUMAR.YADAV"	"DINESH.PATHAK"	"DEVILAL.PRASAD"	"NAWAL.KISHOR"	"VIRENDRA.NARAYAN.SINGH"	"SHIVAJI.SINGH"	"SAHDEO.PASWAN"	"SURESH.PRASAD.YADAV"	"ALAUDDIN.AZAD"	"KANHAIA.SINGH"	"TOTAL"
"251"	230	10	203	1	8	14	125	3	0	0	3	1	5	2	1	10	0	11	107	13	3	5	6	531
"252"	231	7	331	6	22	10	102	4	93	10	3	6	19	2	4	5	16	1	0	3	2	2	0	648
"253"	232	2	78	1	5	5	109	4	3	0	1	5	5	2	0	5	3	0	1	0	0	3	2	234
"254"	233	13	105	1	29	10	248	5	3	7	4	7	5	0	4	2	9	2	2	1	0	2	2	461
"255"	234	4	29	1	42	3	232	2	1	1	2	3	1	2	0	0	0	3	0	2	1	0	2	331
"256"	235	3	64	1	6	4	256	3	4	2	2	5	1	0	0	1	3	0	1	0	2	0	4	362
"257"	236	8	197	0	21	4	67	3	5	2	2	7	5	0	1	1	9	1	2	0	0	2	3	340
"258"	237	4	18	3	8	4	221	7	12	0	2	3	6	0	0	6	3	2	0	2	1	0	5	307
"259"	238	33	36	1	7	10	269	7	149	7	3	5	5	1	0	1	1	22	4	4	7	8	11	591
"260"	239	4	15	0	6	12	151	7	9	6	5	100	1	4	0	6	14	5	6	6	15	125	21	518
"261"	240	2	54	1	8	4	18	1	1	0	1	4	1	0	4	3	12	4	0	3	2	15	5	143
"262"	241	2	234	3	99	1	175	2	22	2	1	13	2	0	2	1	3	2	2	1	3	2	5	577
"263"	242	3	213	0	22	5	133	5	0	2	2	2	1	1	1	1	1	1	0	2	0	2	2	399
"264"	243	6	17	0	3	4	269	1	16	2	0	2	0	2	0	0	2	0	0	0	0	0	1	325
"265"	244	14	72	4	23	12	465	12	2	1	1	10	6	4	1	2	0	5	3	1	2	3	4	647
"266"	245	9	103	7	12	5	195	4	12	2	2	8	10	0	3	0	3	6	2	1	2	0	5	391
"267"	246	3	113	1	11	7	238	2	1	4	2	11	9	5	0	8	14	4	2	1	1	0	5	442
"268"	247	8	336	4	23	5	57	4	9	1	1	3	4	0	0	2	2	3	1	2	0	2	1	468
"269"	248	5	172	6	19	23	55	2	1	1	0	2	0	0	0	5	5	3	1	0	0	7	1	308
"270"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"271"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
"272"	NA	5287	40099	886	9254	6348	28212	1449	4249	819	642	1196	1845	1218	2413	3037	3472	2749	1543	2100	2255	1760	1525	122358
"273"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"274"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"275"	NA	5287	40099	886	9254	6348	28212	1449	4249	819	642	1196	1845	1218	2413	3037	3472	2749	1543	2100	2255	1760	1525	122358
"276"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"277"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"278"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
