"Candidates.Name.BOOTH.NO"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"139"	"123"	"13"	"8"	"20"	"16"	"499"	"43"	"8"	"5"	"6"	"8"	"12"	"7"	"2"	"2"	"1"	"7"	"4"	"1"	"7"	"2"	"671"
"140"	"124"	"5"	"13"	"0"	"6"	"152"	"270"	"3"	"2"	"3"	"6"	"7"	"5"	"10"	"8"	"5"	"8"	"2"	"2"	"4"	"5"	"516"
"141"	"125"	"16"	"33"	"17"	"21"	"257"	"45"	"9"	"5"	"4"	"7"	"5"	"5"	"8"	"8"	"3"	"6"	"12"	"3"	"14"	"4"	"482"
"142"	"126"	"9"	"12"	"14"	"18"	"350"	"73"	"9"	"5"	"5"	"6"	"1"	"8"	"9"	"22"	"0"	"0"	"5"	"3"	"8"	"5"	"562"
"143"	"127"	"10"	"30"	"5"	"12"	"594"	"51"	"9"	"5"	"3"	"4"	"4"	"7"	"7"	"192"	"3"	"9"	"22"	"7"	"23"	"13"	"1010"
"144"	"128"	"7"	"4"	"6"	"10"	"155"	"186"	"3"	"11"	"2"	"3"	"18"	"6"	"6"	"8"	"3"	"9"	"24"	"9"	"7"	"9"	"486"
"145"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	""	"ASHOK PASWAN"	"TARNI RISHIDEO"	"DEO NARAYAN PASWAN"	"BHIKHA PASWAN"	"RATNESH SADA"	"SARITA DEVI"	"AMIR RAM"	"CHANDAN RISHIDEO"	"MANOJ PASWAN"	"MAHENDRA HAJRA"	"VEDANAND RAM"	"INDU DEVI"	"UPENDRA NARAYAN HAJRA"	"KAILASH SADA"	"BHUMI PASWAN"	"MANOJ PASWAN"	"MANOJ PASWAN"	"RAGHUNANDAN CHOUDHARY"	"SHIV SHANKAR DAS"	"SURYA NARAYAN PASWAN"	"TOTAL"
"147"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"148"	"129"	"19"	"22"	"5"	"3"	"205"	"159"	"4"	"13"	"9"	"5"	"5"	"1"	"5"	"3"	"3"	"6"	"5"	"1"	"2"	"0"	"475"
"149"	"130"	"8"	"6"	"25"	"6"	"206"	"227"	"13"	"18"	"13"	"12"	"18"	"17"	"11"	"11"	"10"	"32"	"1"	"3"	"5"	"2"	"644"
"150"	"131"	"3"	"114"	"3"	"5"	"181"	"42"	"5"	"1"	"0"	"4"	"11"	"5"	"1"	"2"	"6"	"6"	"0"	"1"	"0"	"2"	"392"
"151"	"132"	"2"	"206"	"4"	"6"	"183"	"5"	"1"	"1"	"1"	"0"	"4"	"2"	"1"	"1"	"0"	"13"	"5"	"1"	"4"	"3"	"443"
"152"	"133"	"6"	"149"	"13"	"5"	"142"	"26"	"6"	"2"	"1"	"1"	"3"	"1"	"1"	"0"	"1"	"8"	"1"	"3"	"7"	"1"	"377"
"153"	"134"	"14"	"33"	"5"	"18"	"121"	"240"	"11"	"3"	"3"	"3"	"5"	"5"	"4"	"1"	"2"	"21"	"0"	"1"	"1"	"3"	"494"
"154"	"135"	"19"	"10"	"12"	"12"	"479"	"25"	"12"	"7"	"2"	"3"	"2"	"0"	"3"	"3"	"3"	"27"	"8"	"3"	"3"	"3"	"636"
"155"	"136"	"21"	"107"	"11"	"17"	"253"	"10"	"2"	"1"	"0"	"1"	"1"	"0"	"3"	"8"	"1"	"5"	"9"	"3"	"7"	"2"	"462"
"156"	"137"	"4"	"86"	"5"	"3"	"125"	"53"	"5"	"2"	"7"	"1"	"3"	"6"	"6"	"6"	"3"	"18"	"3"	"5"	"6"	"9"	"356"
"157"	"138"	"1"	"4"	"3"	"4"	"230"	"23"	"4"	"1"	"3"	"1"	"1"	"3"	"3"	"2"	"1"	"1"	"1"	"2"	"1"	"2"	"291"
"158"	"139"	"2"	"5"	"1"	"4"	"296"	"32"	"6"	"0"	"0"	"1"	"1"	"6"	"3"	"1"	"2"	"13"	"1"	"0"	"3"	"6"	"383"
"159"	"140"	"8"	"6"	"10"	"1"	"164"	"116"	"18"	"25"	"0"	"2"	"0"	"2"	"3"	"1"	"9"	"4"	"9"	"4"	"8"	"17"	"407"
"160"	"141"	"16"	"10"	"9"	"4"	"259"	"107"	"12"	"3"	"0"	"1"	"3"	"1"	"1"	"5"	"3"	"5"	"5"	"0"	"6"	"4"	"454"
"161"	"142"	"10"	"5"	"3"	"3"	"131"	"211"	"4"	"6"	"6"	"1"	"5"	"2"	"6"	"2"	"7"	"2"	"16"	"7"	"4"	"9"	"440"
"162"	"143"	"6"	"22"	"7"	"10"	"425"	"37"	"13"	"8"	"7"	"10"	"7"	"12"	"8"	"16"	"4"	"13"	"5"	"2"	"11"	"7"	"630"
"163"	"144"	"11"	"35"	"5"	"6"	"332"	"32"	"6"	"4"	"2"	"1"	"5"	"14"	"8"	"7"	"1"	"17"	"2"	"0"	"2"	"7"	"497"
"164"	"145"	"18"	"5"	"9"	"11"	"309"	"236"	"9"	"9"	"11"	"6"	"15"	"7"	"4"	"6"	"3"	"12"	"17"	"6"	"16"	"13"	"722"
"165"	"146"	"9"	"19"	"5"	"9"	"509"	"14"	"5"	"3"	"2"	"1"	"2"	"3"	"3"	"3"	"0"	"7"	"1"	"1"	"1"	"10"	"607"
"166"	"147"	"9"	"14"	"5"	"1"	"537"	"51"	"8"	"2"	"6"	"1"	"3"	"3"	"1"	"2"	"1"	"8"	"6"	"3"	"4"	"2"	"667"
"167"	"148"	"9"	"37"	"60"	"5"	"210"	"81"	"9"	"4"	"5"	"4"	"7"	"9"	"6"	"9"	"8"	"9"	"10"	"4"	"17"	"21"	"524"
"168"	"149"	"13"	"8"	"127"	"8"	"278"	"30"	"7"	"2"	"6"	"7"	"3"	"2"	"5"	"1"	"8"	"2"	"20"	"9"	"13"	"20"	"569"
"169"	"150"	"8"	"89"	"70"	"9"	"326"	"141"	"18"	"7"	"9"	"6"	"8"	"11"	"10"	"12"	"14"	"29"	"0"	"2"	"5"	"6"	"780"
"170"	"151"	"10"	"5"	"20"	"5"	"461"	"93"	"8"	"7"	"7"	"2"	"1"	"2"	"7"	"4"	"7"	"2"	"8"	"9"	"10"	"5"	"673"
"171"	"152"	"21"	"11"	"11"	"0"	"381"	"43"	"7"	"3"	"4"	"1"	"2"	"2"	"7"	"9"	"4"	"2"	"4"	"0"	"2"	"1"	"515"
"172"	"153"	"2"	"46"	"10"	"11"	"304"	"74"	"11"	"5"	"5"	"3"	"7"	"6"	"7"	"11"	"3"	"15"	"5"	"5"	"8"	"13"	"551"
"173"	"154"	"3"	"22"	"71"	"6"	"406"	"66"	"9"	"9"	"10"	"6"	"10"	"13"	"11"	"14"	"8"	"12"	"4"	"2"	"2"	"2"	"686"
"174"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	""	"ASHOK PASWAN"	"TARNI RISHIDEO"	"DEO NARAYAN PASWAN"	"BHIKHA PASWAN"	"RATNESH SADA"	"SARITA DEVI"	"AMIR RAM"	"CHANDAN RISHIDEO"	"MANOJ PASWAN"	"MAHENDRA HAJRA"	"VEDANAND RAM"	"INDU DEVI"	"UPENDRA NARAYAN HAJRA"	"KAILASH SADA"	"BHUMI PASWAN"	"MANOJ PASWAN"	"MANOJ PASWAN"	"RAGHUNANDAN CHOUDHARY"	"SHIV SHANKAR DAS"	"SURYA NARAYAN PASWAN"	"TOTAL"
"176"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"177"	"155"	"11"	"39"	"68"	"8"	"454"	"35"	"7"	"1"	"2"	"5"	"4"	"5"	"6"	"6"	"7"	"8"	"3"	"0"	"5"	"7"	"681"
"178"	"156"	"5"	"77"	"16"	"6"	"329"	"25"	"9"	"0"	"2"	"5"	"4"	"8"	"10"	"7"	"2"	"37"	"10"	"15"	"17"	"22"	"606"
"179"	"157"	"11"	"30"	"121"	"10"	"240"	"89"	"13"	"2"	"1"	"0"	"3"	"3"	"3"	"5"	"3"	"0"	"7"	"4"	"3"	"8"	"556"
"180"	"158"	"10"	"11"	"112"	"4"	"274"	"41"	"5"	"3"	"4"	"4"	"6"	"2"	"6"	"6"	"2"	"8"	"13"	"5"	"8"	"4"	"528"
"181"	"159"	"17"	"19"	"10"	"9"	"421"	"32"	"6"	"1"	"3"	"2"	"1"	"4"	"2"	"4"	"0"	"4"	"6"	"2"	"4"	"2"	"549"
"182"	"160"	"0"	"114"	"4"	"0"	"110"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"236"
"183"	"161"	"12"	"34"	"7"	"4"	"377"	"14"	"5"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"4"	"1"	"0"	"1"	"1"	"463"
"184"	"162"	"8"	"58"	"4"	"8"	"401"	"57"	"12"	"1"	"9"	"4"	"4"	"4"	"9"	"4"	"3"	"12"	"4"	"1"	"7"	"3"	"613"
"185"	"163"	"13"	"58"	"8"	"8"	"303"	"110"	"10"	"3"	"5"	"2"	"3"	"1"	"4"	"3"	"1"	"7"	"3"	"1"	"4"	"2"	"549"
"186"	"164"	"3"	"2"	"5"	"1"	"161"	"148"	"2"	"4"	"2"	"4"	"3"	"5"	"3"	"3"	"4"	"3"	"6"	"3"	"12"	"4"	"378"
"187"	"165"	"9"	"13"	"37"	"7"	"96"	"247"	"2"	"9"	"7"	"4"	"7"	"7"	"6"	"0"	"2"	"7"	"1"	"0"	"3"	"5"	"469"
"188"	"165 A"	"5"	"8"	"9"	"6"	"209"	"140"	"7"	"4"	"3"	"4"	"6"	"2"	"3"	"3"	"8"	"7"	"17"	"3"	"7"	"7"	"458"
"189"	"166"	"12"	"13"	"46"	"0"	"320"	"149"	"18"	"11"	"16"	"6"	"7"	"6"	"9"	"6"	"8"	"3"	"12"	"4"	"4"	"0"	"650"
"190"	"167"	"16"	"29"	"26"	"3"	"402"	"24"	"8"	"2"	"6"	"5"	"1"	"8"	"5"	"6"	"2"	"5"	"16"	"8"	"15"	"6"	"593"
"191"	"168"	"15"	"33"	"118"	"7"	"426"	"99"	"19"	"8"	"12"	"6"	"6"	"9"	"13"	"13"	"2"	"7"	"10"	"5"	"10"	"6"	"824"
"192"	"169"	"7"	"6"	"14"	"1"	"227"	"145"	"10"	"4"	"9"	"1"	"5"	"3"	"8"	"5"	"2"	"3"	"14"	"5"	"10"	"3"	"482"
"193"	"170"	"3"	"10"	"10"	"4"	"374"	"32"	"4"	"2"	"2"	"2"	"9"	"3"	"1"	"4"	"3"	"3"	"6"	"3"	"16"	"10"	"501"
"194"	"171"	"3"	"7"	"7"	"2"	"483"	"47"	"3"	"7"	"3"	"3"	"0"	"5"	"6"	"3"	"0"	"2"	"1"	"1"	"5"	"3"	"591"
"195"	"172"	"10"	"13"	"12"	"5"	"297"	"49"	"4"	"3"	"1"	"1"	"1"	"2"	"3"	"6"	"4"	"4"	"3"	"3"	"6"	"3"	"430"
"196"	"173"	"2"	"141"	"14"	"6"	"130"	"66"	"6"	"3"	"2"	"5"	"8"	"15"	"5"	"3"	"11"	"6"	"0"	"9"	"2"	"6"	"440"
"197"	"174"	"12"	"4"	"10"	"5"	"496"	"25"	"18"	"4"	"3"	"1"	"1"	"4"	"2"	"6"	"0"	"1"	"4"	"1"	"6"	"2"	"605"
"198"	"175"	"7"	"17"	"81"	"3"	"199"	"120"	"10"	"5"	"7"	"5"	"8"	"3"	"7"	"16"	"6"	"19"	"8"	"1"	"13"	"15"	"550"
"199"	"176"	"5"	"59"	"24"	"6"	"164"	"90"	"5"	"3"	"2"	"3"	"6"	"5"	"5"	"0"	"0"	"4"	"18"	"9"	"21"	"24"	"453"
"200"	"177"	"16"	"10"	"158"	"14"	"379"	"54"	"12"	"3"	"6"	"8"	"3"	"7"	"7"	"13"	"3"	"14"	"12"	"3"	"10"	"4"	"736"
"201"	"178"	"6"	"16"	"108"	"9"	"400"	"28"	"11"	"3"	"3"	"7"	"5"	"4"	"7"	"13"	"4"	"18"	"11"	"3"	"24"	"25"	"705"
"202"	"179"	"3"	"13"	"80"	"9"	"259"	"71"	"11"	"10"	"10"	"7"	"8"	"8"	"7"	"18"	"9"	"19"	"4"	"2"	"4"	"4"	"556"
"203"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	"ASHOK PASWAN"	"TARNI RISHIDEO"	"DEO NARAYAN PASWAN"	"BHIKHA PASWAN"	"RATNESH SADA"	"SARITA DEVI"	"AMIR RAM"	"CHANDAN RISHIDEO"	"MANOJ PASWAN"	"MAHENDRA HAJRA"	"VEDANAND RAM"	"INDU DEVI"	"UPENDRA NARAYAN HAJRA"	"KAILASH SADA"	"BHUMI PASWAN"	"MANOJ PASWAN"	"MANOJ PASWAN"	"RAGHUNANDAN CHOUDHARY"	"SHIV SHANKAR DAS"	"SURYA NARAYAN PASWAN"	"TOTAL"
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"206"	"180"	"5"	"28"	"23"	"6"	"495"	"50"	"4"	"2"	"5"	"2"	"2"	"4"	"8"	"2"	"5"	"2"	"8"	"5"	"14"	"6"	"676"
"207"	"181"	"28"	"11"	"37"	"5"	"529"	"145"	"12"	"11"	"10"	"11"	"8"	"16"	"14"	"11"	"9"	"6"	"27"	"13"	"17"	"10"	"930"
"208"	"182"	"3"	"7"	"11"	"7"	"425"	"53"	"8"	"4"	"5"	"1"	"1"	"1"	"3"	"2"	"3"	"10"	"4"	"0"	"0"	"3"	"551"
"209"	"183"	"5"	"13"	"43"	"5"	"393"	"46"	"15"	"2"	"3"	"1"	"2"	"2"	"3"	"6"	"1"	"7"	"7"	"2"	"6"	"5"	"567"
"210"	"184"	"23"	"12"	"84"	"12"	"441"	"36"	"13"	"2"	"7"	"4"	"5"	"5"	"3"	"9"	"6"	"5"	"15"	"7"	"9"	"8"	"706"
"211"	"185"	"11"	"111"	"7"	"5"	"219"	"146"	"3"	"4"	"4"	"3"	"12"	"1"	"3"	"5"	"7"	"15"	"5"	"3"	"5"	"2"	"571"
"212"	"186"	"10"	"115"	"45"	"6"	"254"	"33"	"16"	"4"	"7"	"6"	"8"	"10"	"7"	"14"	"11"	"24"	"4"	"3"	"5"	"9"	"591"
"213"	"187"	"6"	"125"	"13"	"3"	"112"	"16"	"3"	"2"	"2"	"6"	"1"	"8"	"6"	"3"	"4"	"7"	"0"	"2"	"8"	"4"	"331"
"214"	"188"	"6"	"12"	"8"	"3"	"52"	"230"	"7"	"8"	"4"	"3"	"18"	"7"	"8"	"2"	"2"	"3"	"4"	"5"	"2"	"2"	"386"
"215"	"189"	"7"	"61"	"4"	"4"	"10"	"146"	"8"	"2"	"5"	"0"	"3"	"0"	"2"	"1"	"4"	"0"	"3"	"0"	"0"	"2"	"262"
"216"	"190"	"15"	"130"	"15"	"9"	"335"	"48"	"11"	"5"	"4"	"4"	"11"	"23"	"6"	"14"	"9"	"31"	"13"	"11"	"13"	"23"	"730"
"217"	"191"	"14"	"80"	"13"	"7"	"164"	"131"	"7"	"4"	"3"	"3"	"6"	"5"	"3"	"3"	"4"	"8"	"7"	"2"	"5"	"5"	"474"
"218"	"192"	"3"	"67"	"7"	"2"	"116"	"52"	"7"	"2"	"3"	"2"	"2"	"0"	"0"	"0"	"2"	"5"	"2"	"2"	"1"	"1"	"276"
"219"	"193"	"3"	"106"	"29"	"3"	"88"	"4"	"2"	"3"	"1"	"1"	"2"	"0"	"3"	"12"	"6"	"11"	"9"	"94"	"23"	"12"	"412"
"220"	"194"	"8"	"68"	"12"	"2"	"120"	"57"	"2"	"2"	"5"	"3"	"5"	"3"	"8"	"6"	"0"	"27"	"4"	"30"	"6"	"4"	"372"
"221"	"195"	"11"	"277"	"20"	"1"	"3"	"16"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"2"	"4"	"4"	"4"	"3"	"4"	"1"	"357"
"222"	"196"	"5"	"125"	"29"	"5"	"106"	"35"	"3"	"2"	"0"	"1"	"1"	"2"	"3"	"2"	"2"	"4"	"15"	"18"	"25"	"26"	"409"
"223"	"197"	"3"	"21"	"67"	"10"	"170"	"28"	"10"	"5"	"6"	"6"	"8"	"8"	"1"	"6"	"5"	"14"	"6"	"7"	"9"	"11"	"401"
"224"	"198"	"4"	"29"	"13"	"2"	"318"	"22"	"4"	"1"	"0"	"2"	"1"	"0"	"2"	"3"	"1"	"3"	"0"	"0"	"1"	"0"	"406"
"225"	"199"	"13"	"191"	"26"	"3"	"67"	"110"	"5"	"12"	"6"	"5"	"1"	"1"	"9"	"6"	"2"	"8"	"5"	"2"	"2"	"2"	"476"
"226"	"200"	"2"	"192"	"14"	"7"	"74"	"36"	"2"	"3"	"3"	"1"	"4"	"2"	"5"	"5"	"15"	"5"	"0"	"9"	"1"	"0"	"380"
"227"	"201"	"5"	"33"	"27"	"3"	"505"	"73"	"9"	"4"	"4"	"0"	"0"	"1"	"4"	"7"	"3"	"3"	"4"	"3"	"4"	"2"	"694"
"228"	"202"	"8"	"14"	"145"	"6"	"216"	"93"	"15"	"6"	"5"	"2"	"6"	"2"	"8"	"7"	"7"	"13"	"26"	"8"	"17"	"28"	"632"
"229"	"203"	"15"	"13"	"75"	"10"	"56"	"236"	"13"	"17"	"11"	"7"	"20"	"6"	"13"	"2"	"12"	"11"	"21"	"7"	"3"	"19"	"567"
"230"	"204"	"8"	"33"	"212"	"8"	"40"	"45"	"3"	"2"	"3"	"5"	"3"	"2"	"8"	"6"	"2"	"19"	"7"	"2"	"6"	"1"	"415"
"231"	"205"	"28"	"100"	"31"	"5"	"248"	"40"	"4"	"4"	"3"	"2"	"2"	"3"	"4"	"3"	"1"	"1"	"4"	"3"	"4"	"3"	"493"
"232"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	""	"ASHOK PASWAN"	"TARNI RISHIDEO"	"DEO NARAYAN PASWAN"	"BHIKHA PASWAN"	"RATNESH SADA"	"SARITA DEVI"	"AMIR RAM"	"CHANDAN RISHIDEO"	"MANOJ PASWAN"	"MAHENDRA HAJRA"	"VEDANAND RAM"	"INDU DEVI"	"UPENDRA NARAYAN HAJRA"	"KAILASH SADA"	"BHUMI PASWAN"	"MANOJ PASWAN"	"MANOJ PASWAN"	"RAGHUNANDAN CHOUDHARY"	"SHIV SHANKAR DAS"	"SURYA NARAYAN PASWAN"	"TOTAL"
"234"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"235"	"206"	"37"	"96"	"28"	"13"	"249"	"191"	"14"	"13"	"12"	"5"	"2"	"5"	"13"	"5"	"3"	"12"	"5"	"4"	"4"	"2"	"713"
"236"	"207"	"2"	"18"	"24"	"3"	"101"	"230"	"6"	"6"	"4"	"0"	"5"	"0"	"9"	"2"	"2"	"4"	"2"	"3"	"1"	"1"	"423"
"237"	"208"	"9"	"5"	"4"	"10"	"137"	"112"	"3"	"13"	"13"	"4"	"7"	"6"	"9"	"6"	"9"	"9"	"14"	"4"	"8"	"9"	"391"
"238"	"209"	"12"	"35"	"5"	"4"	"143"	"211"	"9"	"6"	"6"	"1"	"4"	"2"	"4"	"7"	"3"	"10"	"2"	"2"	"9"	"3"	"478"
"239"	"210"	"32"	"96"	"21"	"13"	"168"	"205"	"9"	"10"	"11"	"7"	"14"	"7"	"14"	"10"	"4"	"9"	"7"	"4"	"6"	"5"	"652"
"240"	"211"	"12"	"45"	"29"	"3"	"218"	"147"	"8"	"3"	"1"	"3"	"4"	"3"	"4"	"2"	"6"	"5"	"11"	"6"	"6"	"2"	"518"
"241"	"212"	"9"	"48"	"5"	"4"	"115"	"233"	"5"	"5"	"5"	"1"	"1"	"1"	"1"	"0"	"1"	"4"	"2"	"0"	"3"	"1"	"444"
"242"	"213"	"10"	"5"	"19"	"4"	"187"	"24"	"4"	"1"	"3"	"3"	"1"	"1"	"2"	"6"	"0"	"2"	"9"	"1"	"2"	"2"	"286"
"243"	"214"	"5"	"15"	"5"	"4"	"335"	"47"	"7"	"2"	"5"	"4"	"8"	"13"	"1"	"10"	"6"	"17"	"6"	"1"	"2"	"7"	"500"
"244"	"215"	"16"	"114"	"22"	"9"	"339"	"7"	"8"	"8"	"4"	"1"	"6"	"14"	"4"	"8"	"7"	"21"	"3"	"3"	"1"	"1"	"596"
"245"	"216"	"17"	"107"	"17"	"0"	"194"	"15"	"6"	"1"	"1"	"0"	"2"	"4"	"5"	"3"	"7"	"4"	"18"	"5"	"11"	"11"	"428"
"246"	"217"	"10"	"40"	"8"	"7"	"283"	"38"	"3"	"5"	"4"	"5"	"5"	"7"	"5"	"7"	"13"	"18"	"3"	"4"	"8"	"8"	"481"
"247"	"218"	"5"	"9"	"35"	"5"	"151"	"161"	"25"	"13"	"9"	"5"	"8"	"7"	"16"	"11"	"30"	"29"	"2"	"0"	"1"	"4"	"526"
"248"	"219"	"13"	"38"	"12"	"9"	"154"	"221"	"11"	"11"	"14"	"11"	"13"	"4"	"16"	"10"	"9"	"19"	"7"	"1"	"4"	"4"	"581"
"249"	"220"	"4"	"17"	"15"	"8"	"108"	"333"	"44"	"3"	"12"	"2"	"20"	"4"	"9"	"4"	"6"	"19"	"7"	"3"	"3"	"18"	"639"
"250"	"221"	"32"	"104"	"22"	"10"	"219"	"102"	"22"	"5"	"8"	"6"	"6"	"4"	"11"	"11"	"5"	"12"	"5"	"3"	"3"	"5"	"595"
"251"	"222"	"6"	"90"	"154"	"9"	"275"	"47"	"7"	"1"	"3"	"8"	"5"	"10"	"3"	"10"	"13"	"23"	"10"	"5"	"9"	"7"	"695"
"252"	"223"	"13"	"35"	"14"	"5"	"262"	"249"	"14"	"6"	"11"	"10"	"8"	"6"	"10"	"9"	"10"	"23"	"7"	"5"	"10"	"14"	"721"
"253"	"224"	"11"	"213"	"72"	"6"	"182"	"19"	"7"	"1"	"1"	"3"	"3"	"2"	"3"	"8"	"6"	"4"	"8"	"8"	"6"	"11"	"574"
"254"	"225"	"3"	"88"	"6"	"4"	"149"	"26"	"3"	"0"	"2"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"4"	"295"
"255"	"226"	"0"	"1"	"10"	"1"	"12"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"0"	"2"	"3"	"35"
"256"	"227"	"10"	"77"	"5"	"2"	"267"	"169"	"12"	"4"	"6"	"9"	"7"	"2"	"4"	"9"	"7"	"13"	"7"	"5"	"8"	"8"	"631"
"257"	"228"	"5"	"14"	"7"	"2"	"247"	"104"	"10"	"5"	"3"	"5"	"0"	"2"	"2"	"5"	"66"	"3"	"4"	"2"	"2"	"3"	"491"
"258"	"229"	"4"	"105"	"11"	"2"	"113"	"149"	"6"	"3"	"4"	"0"	"1"	"0"	"4"	"3"	"1"	"7"	"2"	"3"	"2"	"1"	"421"
"259"	"230"	"3"	"2"	"6"	"2"	"146"	"71"	"3"	"0"	"3"	"4"	"6"	"8"	"20"	"5"	"9"	"5"	"0"	"0"	"3"	"5"	"301"
"260"	"231"	"3"	"9"	"0"	"3"	"111"	"45"	"2"	"3"	"3"	"1"	"8"	"14"	"4"	"3"	"3"	"14"	"2"	"2"	"1"	"7"	"238"
"261"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	""	"ASHOK PASWAN"	"TARNI RISHIDEO"	"DEO NARAYAN PASWAN"	"BHIKHA PASWAN"	"RATNESH SADA"	"SARITA DEVI"	"AMIR RAM"	"CHANDAN RISHIDEO"	"MANOJ PASWAN"	"MAHENDRA HAJRA"	"VEDANAND RAM"	"INDU DEVI"	"UPENDRA NARAYAN HAJRA"	"KAILASH SADA"	"BHUMI PASWAN"	"MANOJ PASWAN"	"MANOJ PASWAN"	"RAGHUNANDAN CHOUDHARY"	"SHIV SHANKAR DAS"	"SURYA NARAYAN PASWAN"	"TOTAL"
"263"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"264"	"Postal Ballot"	"0"	"1"	"1"	"0"	"9"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"17"
"265"	"Total"	"2366"	"10433"	"4633"	"1476"	"56633"	"25188"	"1930"	"1134"	"1073"	"909"	"1492"	"1214"	"1230"	"1452"	"1054"	"2423"	"1411"	"805"	"1289"	"1403"	"119548"
