"X."	"Candidates..Name"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.Valid.Votes"
"194"	"123"	"339"	"6"	"266"	"37"	"4"	"1"	"7"	"7"	"4"	"5"	"13"	"14"	"16"	"38"	"757"
"195"	"Round
Total"	"3255"	"174"	"3631"	"1006"	"81"	"33"	"66"	"55"	"138"	"61"	"46"	"104"	"142"	"255"	"9047"
"196"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"199"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"200"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"202"	"Round - 10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"124"	"321"	"11"	"186"	"7"	"2"	"0"	"3"	"1"	"1"	"1"	"1"	"0"	"2"	"5"	"541"
"204"	"125"	"352"	"10"	"186"	"22"	"7"	"1"	"2"	"4"	"1"	"5"	"5"	"4"	"7"	"41"	"647"
"205"	"126"	"262"	"8"	"378"	"39"	"5"	"3"	"8"	"9"	"13"	"6"	"14"	"31"	"14"	"47"	"837"
"206"	"127"	"58"	"23"	"357"	"58"	"0"	"0"	"8"	"3"	"14"	"4"	"3"	"9"	"10"	"28"	"575"
"207"	"128"	"73"	"38"	"352"	"66"	"6"	"4"	"6"	"2"	"6"	"7"	"2"	"13"	"10"	"25"	"610"
"208"	"129"	"442"	"6"	"8"	"18"	"7"	"23"	"1"	"2"	"1"	"3"	"1"	"2"	"12"	"7"	"533"
"209"	"130"	"163"	"19"	"216"	"16"	"2"	"7"	"5"	"2"	"0"	"8"	"3"	"5"	"170"	"30"	"646"
"210"	"131"	"163"	"3"	"36"	"11"	"6"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"17"	"16"	"255"
"211"	"132"	"251"	"7"	"22"	"15"	"2"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"12"	"9"	"323"
"212"	"133"	"328"	"20"	"5"	"68"	"22"	"4"	"2"	"4"	"1"	"0"	"1"	"3"	"28"	"18"	"504"
"213"	"134"	"23"	"21"	"340"	"37"	"4"	"2"	"3"	"4"	"7"	"4"	"1"	"16"	"4"	"10"	"476"
"214"	"135"	"150"	"18"	"368"	"57"	"1"	"2"	"5"	"3"	"5"	"6"	"4"	"12"	"11"	"30"	"672"
"215"	"136"	"17"	"8"	"316"	"6"	"0"	"0"	"2"	"1"	"2"	"1"	"2"	"6"	"9"	"3"	"373"
"216"	"137"	"91"	"6"	"106"	"51"	"0"	"1"	"0"	"3"	"6"	"0"	"2"	"4"	"5"	"17"	"292"
"217"	"Round
Total"	"2694"	"198"	"2876"	"471"	"64"	"49"	"45"	"41"	"57"	"47"	"39"	"106"	"311"	"286"	"7284"
"218"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"221"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"222"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"224"	"Round - 11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"138"	"54"	"9"	"364"	"57"	"1"	"1"	"1"	"4"	"12"	"0"	"3"	"5"	"6"	"3"	"520"
"226"	"139"	"158"	"17"	"155"	"80"	"2"	"4"	"1"	"2"	"3"	"2"	"4"	"6"	"3"	"7"	"444"
"227"	"140"	"45"	"26"	"517"	"14"	"5"	"4"	"10"	"5"	"8"	"2"	"6"	"14"	"19"	"7"	"682"
"228"	"141"	"193"	"6"	"216"	"14"	"0"	"2"	"4"	"3"	"5"	"2"	"0"	"5"	"7"	"4"	"461"
"229"	"142"	"281"	"12"	"101"	"12"	"1"	"3"	"1"	"3"	"4"	"12"	"2"	"7"	"8"	"31"	"478"
"230"	"143"	"271"	"32"	"158"	"22"	"0"	"1"	"6"	"4"	"0"	"2"	"2"	"5"	"1"	"15"	"519"
"231"	"144"	"280"	"14"	"314"	"33"	"6"	"5"	"8"	"4"	"16"	"2"	"2"	"2"	"7"	"11"	"704"
"232"	"145"	"41"	"9"	"625"	"18"	"7"	"7"	"11"	"5"	"62"	"3"	"1"	"13"	"2"	"8"	"812"
"233"	"146"	"209"	"17"	"158"	"26"	"6"	"3"	"5"	"16"	"106"	"5"	"9"	"18"	"8"	"36"	"622"
"234"	"147"	"176"	"9"	"198"	"14"	"1"	"2"	"3"	"5"	"5"	"4"	"4"	"2"	"36"	"27"	"486"
"235"	"148"	"375"	"20"	"165"	"14"	"3"	"1"	"9"	"3"	"7"	"0"	"4"	"11"	"7"	"57"	"676"
"236"	"149"	"20"	"8"	"348"	"30"	"2"	"2"	"6"	"2"	"9"	"2"	"1"	"14"	"0"	"20"	"464"
"237"	"150"	"181"	"20"	"327"	"18"	"6"	"1"	"11"	"14"	"39"	"11"	"6"	"23"	"20"	"35"	"712"
"238"	"151"	"191"	"28"	"412"	"18"	"6"	"1"	"1"	"5"	"22"	"4"	"9"	"12"	"16"	"26"	"751"
"239"	"Round
Total"	"2475"	"227"	"4058"	"370"	"46"	"37"	"77"	"75"	"298"	"51"	"53"	"137"	"140"	"287"	"8331"
"240"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"243"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"244"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"246"	"Round - 12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"152"	"61"	"11"	"336"	"18"	"3"	"1"	"13"	"6"	"32"	"3"	"2"	"4"	"17"	"6"	"513"
"248"	"153"	"165"	"19"	"392"	"59"	"3"	"0"	"7"	"5"	"24"	"4"	"2"	"6"	"10"	"24"	"720"
"249"	"154"	"72"	"9"	"278"	"47"	"1"	"4"	"4"	"1"	"3"	"2"	"6"	"3"	"4"	"7"	"441"
"250"	"155"	"333"	"11"	"361"	"14"	"5"	"0"	"3"	"5"	"4"	"7"	"5"	"20"	"13"	"12"	"793"
"251"	"156"	"137"	"11"	"469"	"21"	"4"	"1"	"7"	"2"	"3"	"6"	"6"	"13"	"6"	"27"	"713"
"252"	"157"	"63"	"12"	"599"	"21"	"8"	"1"	"12"	"4"	"6"	"1"	"3"	"17"	"6"	"12"	"765"
"253"	"158"	"149"	"9"	"416"	"36"	"3"	"1"	"7"	"2"	"4"	"2"	"2"	"13"	"9"	"26"	"679"
"254"	"159"	"425"	"10"	"117"	"69"	"6"	"5"	"4"	"9"	"6"	"3"	"1"	"4"	"4"	"10"	"673"
"255"	"160"	"268"	"17"	"254"	"37"	"8"	"3"	"8"	"3"	"4"	"1"	"4"	"6"	"3"	"5"	"621"
"256"	"161"	"250"	"11"	"267"	"9"	"31"	"0"	"6"	"3"	"9"	"5"	"5"	"7"	"50"	"17"	"670"
"257"	"162"	"52"	"18"	"661"	"18"	"8"	"7"	"6"	"4"	"24"	"1"	"1"	"4"	"4"	"9"	"817"
"258"	"163"	"311"	"8"	"195"	"16"	"4"	"1"	"3"	"3"	"0"	"2"	"4"	"4"	"48"	"15"	"614"
"259"	"164"	"79"	"13"	"613"	"33"	"2"	"2"	"2"	"0"	"9"	"5"	"3"	"11"	"4"	"18"	"794"
"260"	"165"	"69"	"25"	"670"	"26"	"9"	"0"	"4"	"5"	"8"	"3"	"7"	"27"	"15"	"15"	"883"
"261"	"Round
Total"	"2434"	"184"	"5628"	"424"	"95"	"26"	"86"	"52"	"136"	"45"	"51"	"139"	"193"	"203"	"9696"
"262"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"265"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"266"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"268"	"Round - 13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"166"	"386"	"8"	"155"	"23"	"3"	"0"	"5"	"3"	"3"	"4"	"4"	"6"	"9"	"33"	"642"
"270"	"167"	"217"	"16"	"382"	"25"	"12"	"8"	"6"	"6"	"6"	"4"	"2"	"12"	"15"	"41"	"752"
"271"	"168"	"462"	"13"	"160"	"14"	"2"	"1"	"4"	"5"	"2"	"6"	"3"	"5"	"11"	"32"	"720"
"272"	"169"	"416"	"20"	"145"	"10"	"2"	"1"	"0"	"1"	"4"	"5"	"1"	"0"	"3"	"16"	"624"
"273"	"170"	"403"	"23"	"319"	"9"	"4"	"5"	"5"	"5"	"5"	"2"	"2"	"6"	"4"	"12"	"804"
"274"	"171"	"241"	"12"	"250"	"27"	"0"	"2"	"3"	"3"	"2"	"6"	"4"	"18"	"9"	"21"	"598"
"275"	"172"	"180"	"25"	"460"	"22"	"3"	"5"	"10"	"7"	"4"	"13"	"14"	"35"	"20"	"39"	"837"
"276"	"173"	"52"	"14"	"552"	"16"	"9"	"2"	"11"	"2"	"1"	"16"	"1"	"2"	"2"	"5"	"685"
"277"	"174"	"60"	"4"	"269"	"19"	"1"	"2"	"0"	"0"	"3"	"15"	"2"	"0"	"1"	"1"	"377"
"278"	"175"	"166"	"2"	"301"	"26"	"0"	"1"	"2"	"0"	"3"	"4"	"0"	"4"	"2"	"9"	"520"
"279"	"176"	"252"	"21"	"730"	"30"	"6"	"4"	"9"	"9"	"5"	"7"	"2"	"10"	"10"	"28"	"1123"
"280"	"177"	"172"	"6"	"473"	"56"	"5"	"3"	"4"	"2"	"6"	"3"	"2"	"18"	"13"	"25"	"788"
"281"	"178"	"50"	"9"	"390"	"27"	"2"	"1"	"5"	"2"	"3"	"4"	"2"	"10"	"3"	"8"	"516"
"282"	"179"	"274"	"13"	"374"	"19"	"8"	"3"	"4"	"7"	"4"	"0"	"2"	"10"	"3"	"29"	"750"
"283"	"Round
Total"	"3331"	"186"	"4960"	"323"	"57"	"38"	"68"	"52"	"51"	"89"	"41"	"136"	"105"	"299"	"9736"
"284"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"287"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"288"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"290"	"Round - 14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"180"	"99"	"13"	"225"	"20"	"2"	"4"	"3"	"4"	"3"	"3"	"5"	"9"	"14"	"15"	"419"
"292"	"181"	"441"	"10"	"291"	"18"	"3"	"0"	"6"	"4"	"2"	"23"	"4"	"7"	"5"	"17"	"831"
"293"	"182"	"143"	"16"	"376"	"66"	"2"	"2"	"5"	"12"	"10"	"8"	"4"	"11"	"9"	"20"	"684"
"294"	"183"	"263"	"12"	"163"	"10"	"4"	"1"	"8"	"6"	"2"	"2"	"1"	"6"	"3"	"20"	"501"
"295"	"184"	"113"	"13"	"405"	"20"	"4"	"1"	"10"	"4"	"9"	"2"	"4"	"10"	"6"	"13"	"614"
"296"	"185"	"216"	"7"	"283"	"21"	"1"	"5"	"8"	"5"	"30"	"11"	"4"	"8"	"9"	"23"	"631"
"297"	"186"	"154"	"7"	"288"	"57"	"3"	"1"	"7"	"1"	"2"	"5"	"1"	"3"	"1"	"4"	"534"
"298"	"187"	"274"	"15"	"318"	"35"	"2"	"1"	"3"	"9"	"9"	"7"	"9"	"26"	"22"	"50"	"780"
"299"	"188"	"303"	"15"	"132"	"25"	"4"	"5"	"5"	"1"	"3"	"77"	"4"	"9"	"8"	"13"	"604"
"300"	"189"	"356"	"25"	"300"	"22"	"5"	"4"	"15"	"9"	"3"	"11"	"9"	"12"	"10"	"20"	"801"
"301"	"190"	"133"	"7"	"254"	"9"	"2"	"4"	"7"	"7"	"10"	"62"	"1"	"13"	"7"	"18"	"534"
"302"	"191"	"133"	"25"	"383"	"16"	"5"	"9"	"11"	"13"	"11"	"54"	"11"	"27"	"29"	"38"	"765"
"303"	"192"	"211"	"15"	"368"	"24"	"10"	"6"	"14"	"5"	"8"	"3"	"1"	"9"	"6"	"11"	"691"
"304"	"193"	"269"	"33"	"290"	"23"	"4"	"7"	"9"	"7"	"8"	"10"	"6"	"6"	"3"	"14"	"689"
"305"	"Round
Total"	"3108"	"213"	"4076"	"366"	"51"	"50"	"111"	"87"	"110"	"278"	"64"	"156"	"132"	"276"	"9078"
"306"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"309"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"310"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"312"	"Round - 15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"194"	"216"	"6"	"99"	"7"	"1"	"0"	"5"	"1"	"4"	"17"	"0"	"3"	"4"	"15"	"378"
"314"	"195"	"384"	"10"	"226"	"26"	"2"	"4"	"1"	"0"	"2"	"12"	"3"	"12"	"7"	"17"	"706"
"315"	"196"	"283"	"11"	"287"	"12"	"0"	"3"	"2"	"5"	"3"	"2"	"1"	"5"	"14"	"20"	"648"
"316"	"197"	"145"	"15"	"383"	"13"	"4"	"4"	"4"	"1"	"4"	"13"	"0"	"6"	"5"	"9"	"606"
"317"	"198"	"393"	"14"	"258"	"8"	"2"	"2"	"10"	"42"	"1"	"4"	"3"	"5"	"6"	"16"	"764"
"318"	"199"	"304"	"13"	"161"	"9"	"6"	"1"	"12"	"49"	"10"	"14"	"6"	"20"	"29"	"49"	"683"
"319"	"200"	"337"	"12"	"133"	"7"	"1"	"5"	"5"	"20"	"6"	"5"	"0"	"3"	"4"	"13"	"551"
"320"	"201"	"232"	"18"	"252"	"15"	"0"	"1"	"8"	"5"	"6"	"23"	"15"	"24"	"21"	"59"	"679"
"321"	"202"	"419"	"15"	"101"	"7"	"4"	"2"	"0"	"23"	"1"	"3"	"2"	"6"	"2"	"12"	"597"
"322"	"203"	"225"	"20"	"343"	"15"	"3"	"4"	"9"	"4"	"10"	"38"	"6"	"9"	"8"	"14"	"708"
"323"	"204"	"226"	"9"	"439"	"23"	"6"	"2"	"13"	"4"	"4"	"13"	"1"	"5"	"10"	"8"	"763"
"324"	"205"	"280"	"16"	"177"	"4"	"5"	"8"	"7"	"4"	"10"	"89"	"1"	"5"	"6"	"2"	"614"
"325"	"206"	"332"	"16"	"229"	"16"	"7"	"2"	"2"	"4"	"4"	"3"	"1"	"5"	"141"	"20"	"782"
"326"	"207"	"183"	"17"	"397"	"13"	"4"	"2"	"5"	"5"	"4"	"4"	"6"	"15"	"8"	"14"	"677"
"327"	"Round
Total"	"3959"	"192"	"3485"	"175"	"45"	"40"	"83"	"167"	"69"	"240"	"45"	"123"	"265"	"268"	"9156"
"328"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	""	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"331"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"DEVANTI YADAV"	"BHARTENDU PRASAD
YADAV"	"SHAHJAHAN SHAD"	"ASLAM BEG"	"KAPILDEO ROY"	"SITANSHU SHEKHAR
PINTU"	"ANANT KUMAR ROY"	"DINESH KUSHWAHA"	"BHAGWAT MISHRA VIYOGI"	"RAGHUNANDA N PASWAN"	"SURENDRA KUMAR
RISHIDEO"	"HADIS"	""
"332"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"334"	"Round - 16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"208"	"225"	"23"	"585"	"68"	"7"	"4"	"14"	"2"	"7"	"29"	"3"	"6"	"8"	"18"	"999"
"336"	"209"	"324"	"14"	"379"	"17"	"6"	"4"	"7"	"8"	"6"	"1"	"6"	"9"	"11"	"9"	"801"
"337"	"210"	"265"	"18"	"299"	"16"	"2"	"4"	"2"	"4"	"9"	"95"	"3"	"5"	"11"	"17"	"750"
"338"	"211"	"344"	"12"	"122"	"27"	"2"	"2"	"4"	"1"	"1"	"3"	"5"	"13"	"21"	"21"	"578"
"339"	"212"	"450"	"9"	"105"	"5"	"4"	"6"	"3"	"3"	"3"	"0"	"2"	"1"	"8"	"14"	"613"
"340"	"213"	"260"	"12"	"292"	"25"	"2"	"0"	"2"	"2"	"5"	"2"	"6"	"10"	"8"	"42"	"668"
"341"	"214"	"420"	"19"	"203"	"15"	"3"	"1"	"6"	"9"	"8"	"2"	"8"	"8"	"11"	"27"	"740"
"342"	"215"	"254"	"23"	"362"	"25"	"5"	"2"	"6"	"3"	"4"	"2"	"6"	"7"	"7"	"17"	"723"
"343"	"216"	"361"	"14"	"235"	"19"	"1"	"2"	"5"	"1"	"2"	"0"	"0"	"1"	"3"	"4"	"648"
"344"	"217"	"312"	"9"	"248"	"20"	"1"	"1"	"2"	"0"	"1"	"2"	"1"	"7"	"6"	"17"	"627"
"345"	"218"	"294"	"9"	"86"	"9"	"3"	"3"	"0"	"2"	"1"	"2"	"5"	"7"	"11"	"55"	"487"
"346"	"Round
Total"	"3509"	"162"	"2916"	"246"	"36"	"29"	"51"	"35"	"47"	"138"	"45"	"74"	"105"	"241"	"7634"
"347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"Total:"	"54165"	"3418"	"61102"	"8782"	"2418"	"671"	"1264"	"1187"	"3406"	"1451"	"922"	"1948"	"2327"	"6022"	"149083"
"349"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Postal Ballot"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"10"
"351"	"Grand Total"	"54169"	"3418"	"61106"	"8782"	"2418"	"671"	"1264"	"1187"	"3408"	"1451"	"922"	"1948"	"2327"	"6022"	"149093"
"352"	"Place:                                                                                                                                                                                                                                                                                                                           Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Date: 24/11/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Memo No. 330 / Araria, Dated 24.11.2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"Copy forwarded to the Secretary, Election Commission of India, New Delhi/Chief Election officer, Bihar/Commissioner, Purnea Division Purnea/"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"District Election officer-cum-District Magistrate, Araria for information and necessary action."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Assembly Constituency :046---Narpatganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
