"Candidates.Name"	"IRSHAD.AHMAD.KHAN"	"OMPRAKASH.MEHTA"	"DILIP.KUMAR.YADAV"	"RAJKUMAR.ORAON"	"LESHI.SINGH"	"SHIVCHARAN.MEHTA"	"NAVIN.KR..MAHTO"	"PATWARI.HANSDA"	"YAMUNA.PD..MURMU"	"LAKSHMAN.MANDAL"	"UPENDRA.NATH.SAGAR"	"CHANDRADEV.PASWAN"	"NAVIN.KUMAR.SINGH"	"MD..NAUSAD"	"PRAFUL.CHANDRA.ROY"	"BALRAM.SINGH"	"BHAVENDRA.KUMAR"	"YOGENDRA.SINGH"	"VINAY.KUMAR.PODDAR"	"Total.Valid.Votes"
"142"	"110"	"49"	"3"	"174"	"1"	"154"	"4"	"2"	"21"	"5"	"1"	"7"	"7"	"1"	"7"	"20"	"9"	"4"	"0"	"2"	"471"
"143"	"110A"	"16"	"7"	"89"	"7"	"243"	"2"	"5"	"22"	"3"	"0"	"2"	"3"	"0"	"3"	"2"	"0"	"4"	"2"	"0"	"410"
"144"	"111"	"95"	"3"	"53"	"8"	"305"	"4"	"0"	"60"	"2"	"2"	"4"	"10"	"0"	"10"	"20"	"15"	"0"	"1"	"3"	"595"
"145"	"112"	"3"	"2"	"53"	"76"	"331"	"3"	"1"	"70"	"22"	"2"	"11"	"6"	"6"	"13"	"6"	"20"	"1"	"3"	"4"	"633"
"146"	"113"	"5"	"7"	"17"	"46"	"321"	"8"	"3"	"44"	"8"	"6"	"1"	"9"	"21"	"3"	"3"	"11"	"0"	"2"	"0"	"515"
"147"	"114"	"7"	"1"	"62"	"14"	"280"	"3"	"1"	"32"	"4"	"1"	"3"	"7"	"4"	"1"	"3"	"20"	"1"	"0"	"6"	"450"
"148"	"115"	"11"	"6"	"331"	"13"	"89"	"4"	"3"	"24"	"0"	"3"	"7"	"10"	"8"	"13"	"2"	"0"	"11"	"8"	"13"	"556"
"149"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Candidates Name"	"IRSHAD AHMAD KHAN"	"OMPRAKASH MEHTA"	"DILIP KUMAR YADAV"	"RAJKUMAR ORAON"	"LESHI SINGH"	"SHIVCHARAN MEHTA"	"NAVIN KR. MAHTO"	"PATWARI HANSDA"	"YAMUNA PD. MURMU"	"LAKSHMAN MANDAL"	"UPENDRA NATH SAGAR"	"CHANDRADEV PASWAN"	"NAVIN KUMAR SINGH"	"MD. NAUSAD"	"PRAFUL CHANDRA ROY"	"BALRAM SINGH"	"BHAVENDRA KUMAR"	"YOGENDRA SINGH"	"VINAY KUMAR PODDAR"	"Total Valid Votes"
"151"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"153"	"115A"	"8"	"3"	"229"	"2"	"86"	"0"	"1"	"15"	"0"	"0"	"0"	"5"	"0"	"3"	"1"	"3"	"9"	"11"	"4"	"380"
"154"	"116"	"9"	"3"	"21"	"18"	"228"	"2"	"0"	"13"	"3"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"4"	"2"	"0"	"307"
"155"	"116A"	"6"	"9"	"25"	"111"	"132"	"3"	"5"	"63"	"6"	"2"	"5"	"3"	"7"	"5"	"4"	"22"	"4"	"5"	"15"	"432"
"156"	"117"	"13"	"14"	"198"	"3"	"383"	"5"	"1"	"52"	"5"	"5"	"9"	"31"	"7"	"19"	"9"	"28"	"18"	"8"	"11"	"819"
"157"	"118"	"25"	"5"	"21"	"15"	"362"	"3"	"3"	"33"	"2"	"8"	"4"	"10"	"6"	"0"	"6"	"6"	"1"	"1"	"2"	"513"
"158"	"119"	"8"	"3"	"84"	"38"	"253"	"1"	"2"	"45"	"6"	"7"	"4"	"7"	"21"	"5"	"3"	"4"	"5"	"6"	"7"	"509"
"159"	"120"	"14"	"10"	"65"	"179"	"434"	"6"	"3"	"28"	"20"	"2"	"4"	"4"	"8"	"4"	"13"	"4"	"12"	"5"	"3"	"818"
"160"	"121"	"4"	"0"	"5"	"108"	"164"	"1"	"0"	"16"	"1"	"0"	"3"	"0"	"4"	"3"	"4"	"3"	"2"	"0"	"0"	"318"
"161"	"122"	"52"	"4"	"120"	"16"	"347"	"1"	"4"	"30"	"2"	"1"	"6"	"9"	"4"	"16"	"12"	"4"	"21"	"13"	"41"	"703"
"162"	"123"	"35"	"5"	"92"	"10"	"297"	"1"	"2"	"32"	"3"	"2"	"2"	"9"	"4"	"6"	"3"	"2"	"16"	"6"	"1"	"528"
"163"	"123A"	"13"	"10"	"142"	"4"	"256"	"1"	"1"	"21"	"1"	"7"	"1"	"4"	"7"	"3"	"1"	"1"	"6"	"1"	"1"	"481"
"164"	"124"	"175"	"10"	"74"	"15"	"286"	"4"	"3"	"52"	"8"	"17"	"10"	"9"	"13"	"14"	"14"	"24"	"8"	"1"	"3"	"740"
"165"	"125"	"201"	"15"	"37"	"84"	"282"	"3"	"6"	"22"	"1"	"3"	"2"	"4"	"42"	"6"	"0"	"7"	"7"	"2"	"5"	"729"
"166"	"126"	"156"	"16"	"4"	"37"	"294"	"3"	"2"	"52"	"3"	"2"	"7"	"6"	"9"	"3"	"1"	"16"	"12"	"6"	"1"	"630"
"167"	"127"	"564"	"15"	"112"	"4"	"100"	"2"	"4"	"9"	"4"	"2"	"1"	"2"	"2"	"4"	"5"	"20"	"23"	"3"	"8"	"884"
"168"	"128"	"8"	"2"	"47"	"75"	"154"	"1"	"2"	"25"	"2"	"4"	"5"	"5"	"35"	"12"	"2"	"22"	"2"	"2"	"6"	"411"
"169"	"129"	"90"	"11"	"126"	"12"	"208"	"6"	"13"	"42"	"1"	"3"	"4"	"8"	"5"	"1"	"8"	"16"	"4"	"3"	"6"	"567"
"170"	"130"	"33"	"3"	"36"	"22"	"463"	"5"	"3"	"88"	"7"	"3"	"3"	"9"	"3"	"8"	"5"	"8"	"15"	"10"	"7"	"731"
"171"	"131"	"4"	"3"	"91"	"44"	"208"	"5"	"3"	"39"	"49"	"4"	"8"	"12"	"10"	"13"	"10"	"21"	"7"	"8"	"10"	"549"
"172"	"131A"	"11"	"14"	"31"	"9"	"197"	"5"	"10"	"41"	"7"	"3"	"7"	"9"	"11"	"11"	"0"	"13"	"1"	"3"	"1"	"384"
"173"	"132"	"459"	"11"	"24"	"1"	"43"	"0"	"0"	"5"	"2"	"1"	"1"	"0"	"3"	"10"	"1"	"24"	"4"	"1"	"2"	"592"
"174"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Candidates Name"	"IRSHAD AHMAD KHAN"	"OMPRAKASH MEHTA"	"DILIP KUMAR YADAV"	"RAJKUMAR ORAON"	"LESHI SINGH"	"SHIVCHARAN MEHTA"	"NAVIN KR. MAHTO"	"PATWARI HANSDA"	"YAMUNA PD. MURMU"	"LAKSHMAN MANDAL"	"UPENDRA NATH SAGAR"	"CHANDRADEV PASWAN"	"NAVIN KUMAR SINGH"	"MD. NAUSAD"	"PRAFUL CHANDRA ROY"	"BALRAM SINGH"	"BHAVENDRA KUMAR"	"YOGENDRA SINGH"	"VINAY KUMAR PODDAR"	"Total Valid Votes"
"176"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"178"	"133"	"45"	"7"	"78"	"54"	"485"	"3"	"0"	"77"	"15"	"5"	"6"	"22"	"9"	"10"	"2"	"21"	"6"	"1"	"4"	"850"
"179"	"134"	"21"	"16"	"55"	"9"	"312"	"22"	"4"	"61"	"1"	"2"	"8"	"17"	"111"	"4"	"7"	"2"	"7"	"1"	"1"	"661"
"180"	"135"	"3"	"11"	"7"	"2"	"281"	"67"	"1"	"35"	"0"	"0"	"2"	"3"	"59"	"1"	"4"	"5"	"5"	"1"	"2"	"489"
"181"	"136"	"13"	"3"	"187"	"6"	"322"	"11"	"4"	"38"	"3"	"4"	"5"	"13"	"1"	"13"	"3"	"14"	"5"	"3"	"3"	"651"
"182"	"137"	"11"	"8"	"139"	"6"	"363"	"3"	"3"	"50"	"5"	"2"	"3"	"5"	"2"	"2"	"5"	"9"	"5"	"5"	"5"	"631"
"183"	"138"	"8"	"3"	"6"	"1"	"83"	"165"	"3"	"8"	"0"	"1"	"1"	"2"	"6"	"1"	"0"	"0"	"1"	"3"	"4"	"296"
"184"	"138A"	"37"	"7"	"26"	"1"	"230"	"307"	"6"	"26"	"10"	"5"	"3"	"6"	"1"	"6"	"7"	"15"	"5"	"1"	"7"	"706"
"185"	"139"	"119"	"4"	"117"	"5"	"267"	"7"	"0"	"33"	"4"	"2"	"2"	"9"	"14"	"3"	"10"	"11"	"0"	"0"	"0"	"607"
"186"	"140"	"19"	"6"	"42"	"8"	"374"	"2"	"9"	"58"	"7"	"1"	"1"	"6"	"9"	"3"	"2"	"5"	"0"	"0"	"1"	"553"
"187"	"141"	"46"	"10"	"50"	"5"	"255"	"87"	"1"	"51"	"5"	"1"	"8"	"14"	"89"	"8"	"3"	"11"	"5"	"2"	"2"	"653"
"188"	"142"	"524"	"22"	"111"	"1"	"117"	"2"	"2"	"9"	"5"	"2"	"3"	"10"	"8"	"5"	"7"	"52"	"24"	"7"	"7"	"918"
"189"	"143"	"269"	"9"	"111"	"13"	"62"	"1"	"2"	"48"	"3"	"3"	"1"	"5"	"1"	"5"	"2"	"17"	"16"	"1"	"7"	"576"
"190"	"144"	"357"	"10"	"28"	"1"	"54"	"0"	"2"	"9"	"7"	"2"	"5"	"4"	"1"	"3"	"6"	"22"	"23"	"4"	"2"	"540"
"191"	"145"	"485"	"13"	"106"	"4"	"95"	"81"	"1"	"17"	"1"	"0"	"4"	"4"	"12"	"12"	"4"	"18"	"19"	"3"	"6"	"885"
"192"	"146"	"587"	"16"	"67"	"33"	"54"	"2"	"3"	"9"	"0"	"1"	"2"	"7"	"3"	"0"	"1"	"3"	"10"	"2"	"2"	"802"
"193"	"147"	"13"	"8"	"53"	"7"	"246"	"106"	"6"	"71"	"11"	"6"	"6"	"3"	"53"	"3"	"8"	"19"	"6"	"5"	"8"	"638"
"194"	"147A"	"25"	"9"	"31"	"6"	"174"	"25"	"1"	"33"	"2"	"3"	"2"	"5"	"20"	"2"	"2"	"3"	"7"	"4"	"5"	"359"
"195"	"148"	"17"	"0"	"17"	"7"	"174"	"8"	"1"	"23"	"4"	"2"	"1"	"2"	"14"	"5"	"3"	"8"	"5"	"2"	"7"	"300"
"196"	"148A"	"10"	"4"	"40"	"5"	"437"	"22"	"1"	"45"	"4"	"1"	"6"	"7"	"74"	"8"	"4"	"3"	"8"	"8"	"2"	"689"
"197"	"149"	"125"	"10"	"264"	"14"	"168"	"4"	"7"	"24"	"5"	"3"	"3"	"16"	"5"	"13"	"5"	"14"	"12"	"11"	"10"	"713"
"198"	"150"	"12"	"8"	"9"	"7"	"348"	"6"	"2"	"54"	"6"	"2"	"3"	"2"	"3"	"7"	"1"	"3"	"64"	"5"	"1"	"543"
"199"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Candidates Name"	"IRSHAD AHMAD KHAN"	"OMPRAKASH MEHTA"	"DILIP KUMAR YADAV"	"RAJKUMAR ORAON"	"LESHI SINGH"	"SHIVCHARAN MEHTA"	"NAVIN KR. MAHTO"	"PATWARI HANSDA"	"YAMUNA PD. MURMU"	"LAKSHMAN MANDAL"	"UPENDRA NATH SAGAR"	"CHANDRADEV PASWAN"	"NAVIN KUMAR SINGH"	"MD. NAUSAD"	"PRAFUL CHANDRA ROY"	"BALRAM SINGH"	"BHAVENDRA KUMAR"	"YOGENDRA SINGH"	"VINAY KUMAR PODDAR"	"Total Valid Votes"
"201"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"203"	"151"	"43"	"9"	"61"	"8"	"496"	"5"	"0"	"48"	"6"	"7"	"2"	"10"	"3"	"2"	"7"	"11"	"67"	"15"	"16"	"816"
"204"	"152"	"272"	"11"	"71"	"8"	"215"	"6"	"1"	"24"	"8"	"7"	"4"	"12"	"12"	"12"	"17"	"40"	"149"	"4"	"3"	"876"
"205"	"153"	"9"	"13"	"7"	"7"	"350"	"2"	"1"	"44"	"2"	"1"	"1"	"8"	"11"	"3"	"3"	"15"	"160"	"6"	"9"	"652"
"206"	"154"	"459"	"10"	"30"	"0"	"35"	"7"	"3"	"5"	"3"	"2"	"4"	"1"	"2"	"2"	"1"	"6"	"7"	"5"	"1"	"583"
"207"	"155"	"36"	"9"	"97"	"38"	"201"	"2"	"1"	"24"	"1"	"2"	"0"	"5"	"2"	"1"	"4"	"3"	"6"	"3"	"0"	"435"
"208"	"156"	"51"	"9"	"81"	"5"	"499"	"6"	"7"	"84"	"8"	"7"	"15"	"21"	"11"	"10"	"5"	"23"	"20"	"4"	"9"	"875"
"209"	"157"	"226"	"14"	"64"	"12"	"319"	"5"	"3"	"62"	"3"	"2"	"4"	"3"	"4"	"4"	"6"	"16"	"12"	"4"	"4"	"767"
"210"	"158"	"442"	"5"	"39"	"6"	"25"	"2"	"0"	"5"	"0"	"1"	"0"	"1"	"0"	"0"	"7"	"10"	"24"	"1"	"2"	"570"
"211"	"159"	"640"	"7"	"27"	"0"	"11"	"3"	"0"	"4"	"0"	"2"	"1"	"0"	"1"	"4"	"5"	"13"	"35"	"0"	"1"	"754"
"212"	"160"	"27"	"14"	"316"	"22"	"304"	"4"	"3"	"47"	"8"	"6"	"1"	"8"	"8"	"3"	"10"	"4"	"21"	"4"	"3"	"813"
"213"	"161"	"3"	"3"	"400"	"11"	"114"	"5"	"1"	"11"	"7"	"5"	"4"	"8"	"5"	"9"	"1"	"14"	"46"	"4"	"7"	"658"
"214"	"162"	"12"	"13"	"9"	"185"	"316"	"5"	"2"	"76"	"9"	"5"	"2"	"5"	"6"	"4"	"5"	"7"	"18"	"7"	"3"	"689"
"215"	"163"	"2"	"0"	"4"	"0"	"374"	"0"	"0"	"12"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"399"
"216"	"164"	"18"	"6"	"9"	"2"	"341"	"3"	"1"	"25"	"2"	"1"	"1"	"3"	"9"	"3"	"2"	"1"	"3"	"5"	"1"	"436"
"217"	"164A"	"2"	"6"	"14"	"3"	"223"	"3"	"2"	"23"	"3"	"0"	"3"	"6"	"1"	"1"	"1"	"17"	"50"	"2"	"0"	"360"
"218"	"165"	"360"	"6"	"37"	"2"	"155"	"3"	"3"	"29"	"4"	"8"	"2"	"9"	"3"	"4"	"3"	"18"	"4"	"0"	"0"	"650"
"219"	"166"	"10"	"4"	"12"	"0"	"346"	"0"	"0"	"44"	"5"	"0"	"4"	"10"	"9"	"2"	"3"	"6"	"5"	"1"	"3"	"464"
"220"	"167"	"51"	"6"	"22"	"3"	"277"	"3"	"1"	"56"	"5"	"3"	"8"	"4"	"7"	"2"	"6"	"10"	"4"	"1"	"2"	"471"
"221"	"168"	"643"	"22"	"47"	"6"	"28"	"5"	"1"	"10"	"159"	"7"	"6"	"5"	"2"	"4"	"4"	"7"	"16"	"6"	"6"	"984"
"222"	"169"	"5"	"23"	"13"	"21"	"180"	"1"	"12"	"71"	"37"	"2"	"8"	"1"	"3"	"10"	"4"	"14"	"4"	"2"	"5"	"416"
"223"	"170"	"190"	"10"	"79"	"43"	"183"	"2"	"1"	"30"	"12"	"2"	"3"	"1"	"1"	"5"	"4"	"2"	"28"	"0"	"1"	"597"
"224"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Candidates Name"	"IRSHAD AHMAD KHAN"	"OMPRAKASH MEHTA"	"DILIP KUMAR YADAV"	"RAJKUMAR ORAON"	"LESHI SINGH"	"SHIVCHARAN MEHTA"	"NAVIN KR. MAHTO"	"PATWARI HANSDA"	"YAMUNA PD. MURMU"	"LAKSHMAN MANDAL"	"UPENDRA NATH SAGAR"	"CHANDRADEV PASWAN"	"NAVIN KUMAR SINGH"	"MD. NAUSAD"	"PRAFUL CHANDRA ROY"	"BALRAM SINGH"	"BHAVENDRA KUMAR"	"YOGENDRA SINGH"	"VINAY KUMAR PODDAR"	"Total Valid Votes"
"226"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"228"	"171"	"167"	"15"	"134"	"5"	"171"	"6"	"11"	"40"	"4"	"7"	"6"	"22"	"7"	"6"	"15"	"8"	"13"	"8"	"13"	"658"
"229"	"172"	"12"	"80"	"238"	"58"	"268"	"4"	"9"	"40"	"5"	"5"	"4"	"8"	"9"	"3"	"19"	"2"	"5"	"1"	"1"	"771"
"230"	"173"	"220"	"25"	"68"	"10"	"358"	"4"	"3"	"33"	"9"	"1"	"3"	"4"	"5"	"5"	"11"	"20"	"19"	"10"	"10"	"818"
"231"	"174"	"357"	"13"	"139"	"25"	"102"	"3"	"1"	"22"	"3"	"2"	"3"	"9"	"6"	"9"	"6"	"39"	"27"	"7"	"3"	"776"
"232"	"175"	"3"	"1"	"20"	"9"	"191"	"6"	"1"	"29"	"4"	"0"	"2"	"4"	"1"	"6"	"0"	"3"	"7"	"0"	"1"	"288"
"233"	"176"	"243"	"9"	"16"	"5"	"252"	"3"	"2"	"18"	"1"	"2"	"6"	"2"	"2"	"2"	"7"	"10"	"23"	"8"	"6"	"617"
"234"	"177"	"151"	"4"	"110"	"40"	"256"	"4"	"4"	"20"	"5"	"7"	"8"	"20"	"6"	"7"	"7"	"37"	"7"	"0"	"8"	"701"
"235"	"178"	"20"	"7"	"137"	"9"	"280"	"6"	"35"	"99"	"8"	"2"	"4"	"7"	"17"	"11"	"8"	"13"	"2"	"1"	"6"	"672"
"236"	"179"	"33"	"16"	"61"	"15"	"384"	"7"	"6"	"86"	"9"	"0"	"11"	"24"	"10"	"7"	"5"	"22"	"6"	"3"	"3"	"708"
"237"	"180"	"112"	"71"	"46"	"10"	"401"	"4"	"57"	"82"	"12"	"5"	"13"	"15"	"15"	"12"	"8"	"28"	"18"	"13"	"14"	"936"
"238"	"181"	"17"	"5"	"29"	"9"	"525"	"3"	"34"	"73"	"9"	"3"	"13"	"42"	"16"	"4"	"3"	"15"	"5"	"1"	"1"	"807"
"239"	"182"	"405"	"10"	"37"	"4"	"34"	"0"	"0"	"18"	"1"	"1"	"0"	"1"	"3"	"3"	"7"	"18"	"12"	"1"	"2"	"557"
"240"	"183"	"435"	"13"	"53"	"0"	"21"	"1"	"1"	"10"	"2"	"1"	"1"	"1"	"1"	"2"	"4"	"18"	"24"	"4"	"2"	"594"
"241"	"184"	"294"	"7"	"56"	"2"	"28"	"1"	"0"	"8"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"3"	"1"	"2"	"407"
"242"	"185"	"14"	"4"	"12"	"16"	"233"	"4"	"0"	"53"	"4"	"5"	"2"	"2"	"0"	"2"	"21"	"3"	"0"	"1"	"0"	"376"
"243"	"186"	"45"	"3"	"65"	"3"	"251"	"4"	"1"	"35"	"4"	"5"	"9"	"9"	"3"	"8"	"16"	"12"	"5"	"2"	"14"	"494"
"244"	"187"	"23"	"10"	"41"	"0"	"82"	"0"	"0"	"31"	"5"	"2"	"34"	"1"	"5"	"7"	"380"	"8"	"10"	"8"	"6"	"653"
"245"	"188"	"24"	"46"	"40"	"14"	"82"	"3"	"3"	"65"	"38"	"4"	"30"	"2"	"5"	"15"	"135"	"6"	"6"	"7"	"2"	"527"
"246"	"189"	"68"	"8"	"6"	"6"	"309"	"4"	"1"	"48"	"6"	"5"	"17"	"10"	"3"	"8"	"97"	"21"	"6"	"3"	"6"	"632"
"247"	"190"	"376"	"23"	"64"	"4"	"68"	"2"	"1"	"6"	"2"	"4"	"10"	"2"	"2"	"6"	"66"	"27"	"7"	"2"	"2"	"674"
"248"	"191"	"133"	"3"	"2"	"1"	"45"	"0"	"1"	"5"	"2"	"0"	"1"	"0"	"1"	"0"	"2"	"3"	"2"	"1"	"1"	"203"
"249"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Candidates Name"	"IRSHAD AHMAD KHAN"	"OMPRAKASH MEHTA"	"DILIP KUMAR YADAV"	"RAJKUMAR ORAON"	"LESHI SINGH"	"SHIVCHARAN MEHTA"	"NAVIN KR. MAHTO"	"PATWARI HANSDA"	"YAMUNA PD. MURMU"	"LAKSHMAN MANDAL"	"UPENDRA NATH SAGAR"	"CHANDRADEV PASWAN"	"NAVIN KUMAR SINGH"	"MD. NAUSAD"	"PRAFUL CHANDRA ROY"	"BALRAM SINGH"	"BHAVENDRA KUMAR"	"YOGENDRA SINGH"	"VINAY KUMAR PODDAR"	"Total Valid Votes"
"251"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"253"	"192"	"42"	"32"	"135"	"8"	"288"	"7"	"6"	"62"	"20"	"7"	"17"	"14"	"13"	"15"	"105"	"15"	"10"	"3"	"7"	"806"
"254"	"193"	"600"	"23"	"40"	"5"	"26"	"1"	"2"	"4"	"1"	"1"	"1"	"1"	"2"	"3"	"11"	"38"	"37"	"3"	"3"	"802"
"255"	"194"	"10"	"4"	"111"	"8"	"344"	"6"	"1"	"89"	"3"	"1"	"15"	"9"	"11"	"8"	"78"	"11"	"0"	"1"	"3"	"713"
"256"	"195"	"21"	"95"	"2"	"125"	"160"	"2"	"2"	"66"	"9"	"7"	"6"	"3"	"4"	"6"	"38"	"19"	"2"	"7"	"3"	"577"
"257"	"196"	"401"	"47"	"8"	"9"	"66"	"3"	"1"	"15"	"5"	"2"	"6"	"5"	"4"	"8"	"64"	"18"	"12"	"3"	"7"	"684"
"258"	"197"	"272"	"119"	"8"	"8"	"226"	"13"	"4"	"72"	"15"	"3"	"10"	"9"	"113"	"5"	"14"	"23"	"28"	"5"	"20"	"967"
"259"	"198"	"85"	"80"	"104"	"13"	"248"	"24"	"24"	"64"	"7"	"1"	"12"	"9"	"50"	"6"	"28"	"18"	"8"	"1"	"12"	"794"
"260"	"199"	"303"	"14"	"58"	"10"	"163"	"2"	"3"	"38"	"5"	"4"	"5"	"8"	"5"	"14"	"13"	"45"	"14"	"1"	"5"	"710"
"261"	"200"	"16"	"21"	"266"	"95"	"301"	"5"	"1"	"65"	"4"	"3"	"6"	"11"	"16"	"14"	"37"	"10"	"30"	"4"	"7"	"912"
"262"	"201"	"20"	"19"	"32"	"23"	"329"	"9"	"3"	"23"	"4"	"0"	"3"	"7"	"16"	"1"	"11"	"4"	"11"	"7"	"4"	"526"
"263"	"202"	"207"	"15"	"182"	"19"	"97"	"3"	"0"	"34"	"8"	"2"	"9"	"5"	"19"	"15"	"15"	"33"	"10"	"2"	"5"	"680"
"264"	"203"	"461"	"34"	"17"	"5"	"155"	"11"	"1"	"18"	"1"	"1"	"5"	"5"	"31"	"2"	"14"	"9"	"20"	"11"	"11"	"812"
"265"	"204"	"50"	"13"	"57"	"9"	"335"	"7"	"2"	"89"	"9"	"2"	"12"	"10"	"29"	"2"	"19"	"17"	"9"	"3"	"7"	"681"
"266"	"205"	"255"	"22"	"5"	"10"	"205"	"5"	"4"	"30"	"7"	"5"	"5"	"6"	"4"	"9"	"7"	"35"	"49"	"1"	"4"	"668"
"267"	"206"	"17"	"3"	"25"	"19"	"437"	"5"	"0"	"26"	"3"	"0"	"2"	"1"	"2"	"3"	"6"	"2"	"6"	"0"	"4"	"561"
"268"	"206A"	"60"	"10"	"44"	"28"	"278"	"5"	"0"	"42"	"3"	"3"	"7"	"9"	"5"	"6"	"5"	"6"	"0"	"0"	"1"	"512"
"269"	"207"	"25"	"41"	"92"	"11"	"519"	"5"	"5"	"69"	"11"	"1"	"9"	"15"	"3"	"6"	"50"	"17"	"17"	"6"	"2"	"904"
"270"	"208"	"4"	"7"	"63"	"10"	"207"	"1"	"3"	"66"	"7"	"1"	"2"	"3"	"3"	"3"	"26"	"3"	"2"	"0"	"3"	"414"
"271"	"209"	"5"	"1"	"0"	"26"	"355"	"2"	"0"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"398"
"272"	"210"	"109"	"13"	"127"	"21"	"254"	"4"	"5"	"33"	"3"	"9"	"11"	"4"	"5"	"8"	"35"	"8"	"5"	"0"	"2"	"656"
"273"	"211"	"17"	"30"	"66"	"16"	"168"	"4"	"0"	"48"	"9"	"2"	"15"	"10"	"6"	"6"	"72"	"13"	"6"	"8"	"3"	"499"
"274"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Candidates Name"	"IRSHAD AHMAD KHAN"	"OMPRAKASH MEHTA"	"DILIP KUMAR YADAV"	"RAJKUMAR ORAON"	"LESHI SINGH"	"SHIVCHARAN MEHTA"	"NAVIN KR. MAHTO"	"PATWARI HANSDA"	"YAMUNA PD. MURMU"	"LAKSHMAN MANDAL"	"UPENDRA NATH SAGAR"	"CHANDRADEV PASWAN"	"NAVIN KUMAR SINGH"	"MD. NAUSAD"	"PRAFUL CHANDRA ROY"	"BALRAM SINGH"	"BHAVENDRA KUMAR"	"YOGENDRA SINGH"	"VINAY KUMAR PODDAR"	"Total Valid Votes"
"276"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"278"	"212"	"14"	"19"	"26"	"9"	"186"	"0"	"2"	"35"	"4"	"3"	"6"	"9"	"5"	"9"	"42"	"13"	"94"	"9"	"6"	"491"
"279"	"213"	"432"	"8"	"42"	"2"	"53"	"0"	"0"	"12"	"3"	"1"	"5"	"5"	"2"	"3"	"18"	"28"	"4"	"0"	"1"	"619"
"280"	"213A"	"277"	"6"	"52"	"13"	"11"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"7"	"6"	"4"	"0"	"1"	"382"
"281"	"214"	"48"	"16"	"244"	"10"	"248"	"10"	"3"	"39"	"5"	"7"	"12"	"12"	"15"	"14"	"11"	"15"	"4"	"6"	"15"	"734"
"282"	"215"	"93"	"55"	"153"	"3"	"17"	"0"	"0"	"8"	"2"	"2"	"4"	"2"	"3"	"6"	"7"	"21"	"15"	"10"	"9"	"410"
"283"	"216"	"9"	"19"	"51"	"2"	"337"	"1"	"2"	"87"	"6"	"2"	"4"	"4"	"23"	"3"	"14"	"5"	"13"	"1"	"5"	"588"
