"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Assembly Constituency :053---Thakurganj                                                                                                                         No of Voters :196516"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favour ofTotal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"BOOTH NO"	"GOPAL KUMAR
AGARWAL"	"JAHIDUR RAHMAN"	"NAVEEN YADAV"	"NAUSHAD ALAM"	"MUHAMMAD MEHAR ALI"	"GANESH PRASAD RAI"	"POONAM DEVI"	"AMIT KUMAR BHAGAT"	"AWADH BIHARI SINGH"	"CHITRANJAN SINGH"	"JAGDISH PRASAD
SINGH"	"Total"
"230"	"187"	"213"	"32"	"26"	"89"	"4"	"5"	"114"	"4"	"55"	"6"	"79"	"627"
"231"	"188"	"288"	"5"	"97"	"216"	"9"	"4"	"37"	"7"	"9"	"6"	"27"	"705"
"232"	"189"	"274"	"6"	"200"	"131"	"7"	"4"	"215"	"13"	"27"	"11"	"38"	"926"
"233"	"190"	"455"	"15"	"97"	"52"	"4"	"39"	"103"	"9"	"23"	"9"	"60"	"866"
"234"	"191"	"212"	"9"	"171"	"8"	"3"	"2"	"75"	"6"	"33"	"3"	"68"	"590"
"235"	"192"	"265"	"23"	"43"	"22"	"4"	"9"	"130"	"8"	"67"	"16"	"75"	"662"
"236"	"193"	"150"	"96"	"67"	"26"	"1"	"3"	"107"	"6"	"14"	"6"	"188"	"664"
"237"	"194"	"178"	"37"	"32"	"29"	"3"	"2"	"122"	"11"	"60"	"5"	"192"	"671"
"238"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Assembly Constituency :053---Thakurganj                                                                                                                         No of Voters :196516"	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"No of valid votes caste in favour ofTotal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"BOOTH NO"	"GOPAL KUMAR
AGARWAL"	"JAHIDUR RAHMAN"	"NAVEEN YADAV"	"NAUSHAD ALAM"	"MUHAMMAD MEHAR ALI"	"GANESH PRASAD RAI"	"POONAM DEVI"	"AMIT KUMAR BHAGAT"	"AWADH BIHARI SINGH"	"CHITRANJAN SINGH"	"JAGDISH PRASAD
SINGH"	"Total"
"244"	"195"	"400"	"19"	"83"	"3"	"5"	"21"	"80"	"2"	"63"	"3"	"56"	"735"
"245"	"196"	"215"	"4"	"108"	"43"	"1"	"3"	"124"	"5"	"8"	"1"	"106"	"618"
"246"	"197"	"148"	"13"	"75"	"137"	"1"	"7"	"81"	"5"	"8"	"4"	"43"	"522"
"247"	"198"	"217"	"17"	"40"	"236"	"6"	"12"	"164"	"6"	"8"	"7"	"179"	"892"
"248"	"199"	"200"	"7"	"41"	"18"	"2"	"2"	"107"	"6"	"20"	"4"	"178"	"585"
"249"	"200"	"210"	"25"	"53"	"312"	"13"	"4"	"86"	"9"	"20"	"4"	"35"	"771"
"250"	"201"	"150"	"4"	"75"	"71"	"2"	"2"	"221"	"13"	"8"	"5"	"12"	"563"
"251"	"202"	"66"	"12"	"51"	"336"	"7"	"2"	"13"	"6"	"5"	"3"	"5"	"506"
"252"	"203"	"223"	"7"	"40"	"131"	"8"	"0"	"100"	"9"	"91"	"12"	"39"	"660"
"253"	"204"	"187"	"13"	"24"	"218"	"5"	"2"	"108"	"8"	"27"	"5"	"41"	"638"
"254"	"205"	"145"	"3"	"14"	"8"	"1"	"0"	"26"	"7"	"67"	"8"	"51"	"330"
"255"	"206"	"181"	"7"	"62"	"49"	"4"	"4"	"113"	"15"	"21"	"10"	"51"	"517"
"256"	"206A"	"217"	"5"	"137"	"8"	"2"	"6"	"44"	"3"	"27"	"6"	"24"	"479"
"257"	"207"	"54"	"6"	"22"	"372"	"4"	"4"	"15"	"15"	"9"	"5"	"22"	"528"
"258"	"Total:"	"29402"	"15652"	"6653"	"36365"	"11461"	"1573"	"10715"	"1740"	"9030"	"1173"	"4748"	"128512"
"259"	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Postal Ballot"	"7"	"0"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"15"
"261"	"Grand Total:"	"29409"	"15652"	"6653"	"36372"	"11462"	"1573"	"10715"	"1740"	"9030"	"1173"	"4748"	"128527"
"262"	"Place:                                                                                                                                                     Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"Date: 24/11/2010                                                                                                                 Assembly Constituency :053---Thakurganj"	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                                                                                                                     Page -1 of 1"	""	""	""	""	""	""	""	""	""	""	""	""
