"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"169"	"154"	"228"	"2"	"2"	"5"	"55"	"4"	"2"	"2"	"1"	"1"	"3"	"175"	"9"	"489"	"0"	"489"	"0"
"170"	"155"	"166"	"3"	"2"	"6"	"6"	"0"	"2"	"3"	"3"	"1"	"8"	"225"	"9"	"434"	"0"	"434"	"0"
"171"	"156"	"505"	"0"	"3"	"26"	"41"	"2"	"1"	"0"	"0"	"0"	"2"	"44"	"3"	"627"	"0"	"627"	"0"
"172"	"157"	"541"	"0"	"0"	"19"	"55"	"0"	"2"	"0"	"0"	"0"	"0"	"32"	"2"	"651"	"0"	"651"	"0"
"173"	"158"	"154"	"7"	"6"	"16"	"6"	"2"	"3"	"2"	"1"	"4"	"7"	"545"	"13"	"766"	"0"	"766"	"0"
"174"	"159"	"251"	"1"	"5"	"3"	"135"	"10"	"2"	"3"	"11"	"1"	"7"	"175"	"9"	"613"	"0"	"613"	"0"
"175"	"160"	"287"	"12"	"2"	"10"	"60"	"1"	"2"	"1"	"7"	"1"	"5"	"262"	"12"	"662"	"0"	"662"	"0"
"176"	"161"	"106"	"7"	"2"	"9"	"45"	"4"	"0"	"2"	"2"	"1"	"7"	"348"	"5"	"538"	"0"	"538"	"0"
"177"	"162"	"255"	"5"	"1"	"12"	"36"	"1"	"0"	"1"	"1"	"1"	"2"	"347"	"7"	"669"	"0"	"669"	"0"
"178"	"163"	"129"	"7"	"2"	"3"	"80"	"2"	"6"	"4"	"3"	"2"	"4"	"131"	"9"	"382"	"0"	"382"	"0"
"179"	"164"	"295"	"7"	"4"	"5"	"26"	"2"	"2"	"3"	"2"	"7"	"2"	"131"	"22"	"508"	"0"	"508"	"0"
"180"	"165"	"228"	"17"	"3"	"9"	"21"	"1"	"0"	"2"	"6"	"8"	"9"	"256"	"26"	"586"	"0"	"586"	"0"
"181"	"166"	"127"	"5"	"3"	"6"	"32"	"1"	"1"	"2"	"6"	"3"	"2"	"244"	"17"	"449"	"0"	"449"	"0"
"182"	"167"	"461"	"17"	"3"	"4"	"18"	"0"	"1"	"1"	"0"	"3"	"2"	"74"	"9"	"593"	"0"	"593"	"0"
"183"	"168"	"118"	"50"	"5"	"3"	"51"	"7"	"1"	"2"	"2"	"1"	"4"	"167"	"4"	"415"	"0"	"415"	"0"
"184"	"169"	"167"	"20"	"2"	"8"	"22"	"2"	"2"	"3"	"2"	"2"	"3"	"236"	"14"	"483"	"0"	"483"	"0"
"185"	"170"	"305"	"14"	"1"	"5"	"21"	"2"	"6"	"4"	"3"	"3"	"4"	"278"	"22"	"668"	"0"	"668"	"0"
"186"	"171"	"140"	"7"	"1"	"10"	"37"	"4"	"3"	"1"	"2"	"7"	"4"	"372"	"22"	"610"	"0"	"610"	"0"
"187"	"172"	"243"	"9"	"1"	"6"	"8"	"3"	"1"	"1"	"1"	"16"	"2"	"129"	"8"	"428"	"0"	"428"	"0"
"188"	"173"	"335"	"8"	"6"	"12"	"78"	"1"	"1"	"1"	"8"	"1"	"9"	"336"	"18"	"814"	"0"	"814"	"0"
"189"	"174"	"251"	"10"	"2"	"18"	"141"	"3"	"3"	"1"	"4"	"0"	"5"	"324"	"21"	"783"	"0"	"783"	"0"
"190"	"175"	"132"	"5"	"0"	"2"	"36"	"1"	"3"	"0"	"1"	"7"	"1"	"254"	"12"	"454"	"0"	"454"	"0"
"191"	"176"	"86"	"7"	"4"	"2"	"25"	"3"	"0"	"4"	"2"	"5"	"11"	"533"	"17"	"699"	"0"	"699"	"0"
"192"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"193"	""	"ASHA DEVI"	"JAWAHAR PRASAD SINGH"	"PARMESHW AR SINGH"	"VIJAY SINGH YADAV"	"SACHCHIDA NAND RAI"	"RAKESH KUMAR GOPE"	"ASHOK KUMAR JAISWAL"	"GANESH RAY"	"MOHAMMED NAUSHAD"	"RAMESH SINGH"	"RAM BHAJAN SINGH YADAV"	"RIT LAL RAY"	"BINOD SINGH"	""	""	""	""
"194"	"177"	"300"	"13"	"2"	"7"	"25"	"2"	"4"	"0"	"1"	"4"	"3"	"133"	"10"	"504"	"0"	"504"	"0"
"195"	"178"	"162"	"9"	"3"	"3"	"42"	"1"	"10"	"3"	"4"	"1"	"6"	"299"	"4"	"547"	"0"	"547"	"0"
"196"	"179"	"169"	"2"	"2"	"16"	"15"	"0"	"0"	"2"	"2"	"2"	"3"	"266"	"10"	"489"	"0"	"489"	"0"
"197"	"180"	"304"	"5"	"0"	"25"	"15"	"1"	"2"	"1"	"2"	"6"	"2"	"145"	"16"	"524"	"0"	"524"	"0"
"198"	"181"	"37"	"5"	"1"	"1"	"10"	"1"	"0"	"0"	"1"	"1"	"9"	"219"	"10"	"295"	"0"	"295"	"0"
"199"	"182"	"285"	"3"	"0"	"19"	"24"	"0"	"4"	"2"	"3"	"40"	"2"	"99"	"2"	"483"	"0"	"483"	"0"
"200"	"182A"	"244"	"10"	"1"	"15"	"38"	"2"	"7"	"2"	"3"	"10"	"2"	"94"	"4"	"432"	"0"	"432"	"0"
"201"	"183"	"249"	"7"	"2"	"4"	"19"	"1"	"1"	"2"	"1"	"3"	"6"	"178"	"5"	"478"	"0"	"478"	"0"
"202"	"184"	"122"	"5"	"2"	"8"	"37"	"1"	"2"	"2"	"2"	"5"	"5"	"304"	"15"	"510"	"0"	"510"	"0"
"203"	"185"	"269"	"3"	"2"	"10"	"25"	"2"	"8"	"1"	"1"	"1"	"6"	"491"	"26"	"845"	"0"	"845"	"0"
"204"	"186"	"157"	"2"	"0"	"2"	"2"	"0"	"1"	"0"	"1"	"4"	"1"	"195"	"6"	"371"	"0"	"371"	"0"
"205"	"187"	"95"	"6"	"2"	"2"	"1"	"0"	"2"	"5"	"2"	"2"	"9"	"379"	"23"	"528"	"0"	"528"	"0"
"206"	"188"	"91"	"5"	"0"	"1"	"2"	"1"	"2"	"1"	"0"	"1"	"6"	"350"	"6"	"466"	"0"	"466"	"0"
"207"	"189"	"225"	"1"	"2"	"10"	"31"	"0"	"0"	"0"	"4"	"7"	"5"	"203"	"25"	"513"	"0"	"513"	"0"
"208"	"190"	"96"	"6"	"1"	"18"	"26"	"4"	"3"	"0"	"4"	"3"	"6"	"124"	"21"	"312"	"0"	"312"	"0"
"209"	"191"	"458"	"3"	"1"	"15"	"28"	"6"	"6"	"0"	"0"	"10"	"0"	"90"	"4"	"621"	"0"	"621"	"0"
"210"	"192"	"336"	"3"	"5"	"6"	"34"	"1"	"3"	"2"	"2"	"3"	"2"	"185"	"13"	"595"	"0"	"595"	"0"
"211"	"193"	"278"	"7"	"0"	"18"	"9"	"3"	"3"	"1"	"0"	"2"	"1"	"191"	"7"	"520"	"0"	"520"	"0"
"212"	"194"	"355"	"6"	"0"	"19"	"37"	"2"	"4"	"0"	"0"	"1"	"0"	"27"	"1"	"452"	"0"	"452"	"0"
"213"	"195"	"245"	"10"	"1"	"7"	"9"	"2"	"4"	"4"	"1"	"1"	"4"	"247"	"31"	"566"	"0"	"566"	"0"
"214"	"196"	"269"	"5"	"1"	"5"	"25"	"2"	"5"	"1"	"4"	"1"	"1"	"196"	"9"	"524"	"0"	"524"	"0"
"215"	"197"	"250"	"1"	"0"	"13"	"15"	"3"	"2"	"0"	"1"	"0"	"0"	"35"	"11"	"331"	"0"	"331"	"0"
"216"	"197A"	"147"	"1"	"2"	"5"	"87"	"0"	"0"	"0"	"2"	"0"	"2"	"19"	"1"	"266"	"0"	"266"	"0"
"217"	"198"	"252"	"0"	"0"	"11"	"41"	"0"	"2"	"1"	"1"	"0"	"0"	"15"	"0"	"323"	"0"	"323"	"0"
"218"	"198A"	"281"	"0"	"0"	"9"	"23"	"0"	"1"	"0"	"1"	"0"	"0"	"14"	"0"	"329"	"0"	"329"	"0"
"219"	"199"	"226"	"0"	"2"	"25"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"1"	"288"	"0"	"288"	"0"
"220"	"199A"	"249"	"2"	"0"	"14"	"31"	"1"	"0"	"0"	"0"	"0"	"0"	"6"	"2"	"305"	"0"	"305"	"0"
"221"	"200"	"461"	"1"	"4"	"31"	"26"	"0"	"3"	"0"	"0"	"0"	"1"	"8"	"5"	"540"	"0"	"540"	"0"
"222"	"201"	"323"	"0"	"0"	"19"	"30"	"1"	"2"	"0"	"0"	"0"	"0"	"13"	"0"	"388"	"0"	"388"	"0"
"223"	"201A"	"303"	"0"	"0"	"28"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"9"	"1"	"353"	"0"	"353"	"0"
"224"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"225"	""	"ASHA DEVI"	"JAWAHAR PRASAD SINGH"	"PARMESHW AR SINGH"	"VIJAY SINGH YADAV"	"SACHCHIDA NAND RAI"	"RAKESH KUMAR GOPE"	"ASHOK KUMAR JAISWAL"	"GANESH RAY"	"MOHAMMED NAUSHAD"	"RAMESH SINGH"	"RAM BHAJAN SINGH YADAV"	"RIT LAL RAY"	"BINOD SINGH"	""	""	""	""
"226"	"202"	"224"	"1"	"1"	"17"	"87"	"0"	"2"	"1"	"4"	"1"	"1"	"42"	"8"	"389"	"0"	"389"	"0"
"227"	"203"	"206"	"4"	"0"	"10"	"25"	"0"	"5"	"1"	"2"	"1"	"0"	"77"	"4"	"335"	"0"	"335"	"0"
"228"	"204"	"270"	"9"	"1"	"18"	"28"	"1"	"6"	"4"	"2"	"1"	"6"	"151"	"10"	"507"	"0"	"507"	"0"
"229"	"205"	"372"	"3"	"1"	"17"	"56"	"1"	"0"	"0"	"1"	"1"	"1"	"47"	"4"	"504"	"0"	"504"	"0"
"230"	"206"	"237"	"5"	"3"	"8"	"60"	"5"	"3"	"2"	"6"	"8"	"5"	"153"	"4"	"499"	"0"	"499"	"0"
"231"	"207"	"473"	"5"	"3"	"14"	"19"	"7"	"1"	"3"	"1"	"4"	"8"	"114"	"15"	"667"	"0"	"667"	"0"
"232"	"208"	"178"	"4"	"4"	"3"	"61"	"1"	"3"	"3"	"1"	"0"	"0"	"213"	"11"	"482"	"0"	"482"	"0"
"233"	"209"	"448"	"1"	"0"	"45"	"15"	"1"	"3"	"1"	"0"	"2"	"1"	"12"	"0"	"529"	"0"	"529"	"0"
"234"	"210"	"182"	"0"	"0"	"21"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"210"	"0"	"210"	"0"
"235"	"211"	"98"	"2"	"7"	"7"	"60"	"4"	"3"	"3"	"2"	"2"	"5"	"321"	"10"	"524"	"0"	"524"	"0"
"236"	"212"	"127"	"2"	"2"	"22"	"36"	"2"	"3"	"1"	"0"	"3"	"6"	"175"	"5"	"384"	"0"	"384"	"0"
"237"	"213"	"139"	"5"	"2"	"7"	"13"	"2"	"4"	"1"	"0"	"3"	"1"	"133"	"4"	"314"	"0"	"314"	"0"
"238"	"214"	"202"	"2"	"0"	"18"	"15"	"2"	"3"	"1"	"1"	"3"	"3"	"142"	"2"	"394"	"0"	"394"	"0"
"239"	"215"	"261"	"3"	"0"	"15"	"13"	"3"	"0"	"1"	"0"	"0"	"0"	"42"	"4"	"342"	"0"	"342"	"0"
"240"	"216"	"322"	"2"	"1"	"9"	"27"	"2"	"2"	"0"	"0"	"3"	"4"	"118"	"2"	"492"	"0"	"492"	"0"
"241"	"217"	"261"	"4"	"0"	"24"	"16"	"1"	"2"	"0"	"3"	"2"	"2"	"215"	"3"	"533"	"0"	"533"	"0"
"242"	"218"	"256"	"4"	"5"	"10"	"14"	"1"	"8"	"1"	"0"	"3"	"2"	"193"	"9"	"506"	"0"	"506"	"0"
"243"	"219"	"361"	"4"	"1"	"26"	"34"	"2"	"11"	"1"	"3"	"1"	"2"	"189"	"15"	"650"	"0"	"650"	"0"
"244"	"220"	"164"	"0"	"0"	"15"	"18"	"0"	"5"	"1"	"1"	"0"	"5"	"185"	"10"	"404"	"0"	"404"	"0"
"245"	"220A"	"194"	"1"	"0"	"17"	"15"	"0"	"0"	"1"	"3"	"0"	"2"	"127"	"4"	"364"	"0"	"364"	"0"
"246"	"221"	"223"	"6"	"1"	"11"	"4"	"5"	"1"	"2"	"2"	"1"	"6"	"355"	"11"	"628"	"0"	"628"	"0"
"247"	"222"	"238"	"5"	"1"	"2"	"3"	"0"	"4"	"0"	"0"	"1"	"2"	"278"	"9"	"543"	"0"	"543"	"0"
"248"	"223"	"178"	"1"	"2"	"8"	"6"	"1"	"0"	"1"	"0"	"0"	"1"	"119"	"0"	"317"	"0"	"317"	"0"
"249"	"224"	"184"	"3"	"4"	"16"	"14"	"0"	"7"	"1"	"1"	"0"	"5"	"233"	"19"	"487"	"0"	"487"	"0"
"250"	"225"	"168"	"3"	"1"	"9"	"12"	"3"	"3"	"4"	"0"	"1"	"6"	"167"	"6"	"383"	"0"	"383"	"0"
"251"	"226"	"164"	"1"	"0"	"6"	"8"	"0"	"1"	"0"	"1"	"2"	"2"	"110"	"4"	"299"	"0"	"299"	"0"
"252"	"226A"	"165"	"1"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"99"	"5"	"282"	"0"	"282"	"0"
"253"	"227"	"299"	"3"	"1"	"24"	"14"	"2"	"4"	"1"	"1"	"2"	"3"	"150"	"12"	"516"	"0"	"516"	"0"
"254"	"228"	"219"	"0"	"0"	"13"	"11"	"1"	"1"	"0"	"1"	"0"	"1"	"238"	"5"	"490"	"0"	"490"	"0"
"255"	"229"	"240"	"0"	"4"	"13"	"10"	"3"	"6"	"1"	"1"	"5"	"3"	"297"	"6"	"589"	"0"	"589"	"0"
"256"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"257"	""	"ASHA DEVI"	"JAWAHAR PRASAD SINGH"	"PARMESHW AR SINGH"	"VIJAY SINGH YADAV"	"SACHCHIDA NAND RAI"	"RAKESH KUMAR GOPE"	"ASHOK KUMAR JAISWAL"	"GANESH RAY"	"MOHAMMED NAUSHAD"	"RAMESH SINGH"	"RAM BHAJAN SINGH YADAV"	"RIT LAL RAY"	"BINOD SINGH"	""	""	""	""
"258"	"230"	"221"	"0"	"0"	"29"	"20"	"1"	"1"	"1"	"1"	"1"	"1"	"165"	"3"	"444"	"0"	"444"	"0"
"259"	"231"	"194"	"4"	"0"	"10"	"9"	"0"	"3"	"0"	"0"	"1"	"1"	"67"	"3"	"292"	"0"	"292"	"0"
"260"	"232"	"265"	"3"	"1"	"18"	"32"	"2"	"4"	"0"	"2"	"0"	"2"	"147"	"1"	"477"	"0"	"477"	"0"
"261"	"233"	"252"	"3"	"1"	"25"	"22"	"0"	"2"	"1"	"1"	"1"	"2"	"162"	"4"	"476"	"0"	"476"	"0"
"262"	"234"	"254"	"3"	"0"	"16"	"6"	"0"	"4"	"0"	"1"	"2"	"1"	"116"	"10"	"413"	"0"	"413"	"0"
"263"	"235"	"307"	"2"	"0"	"22"	"25"	"1"	"4"	"1"	"3"	"3"	"5"	"111"	"9"	"493"	"0"	"493"	"0"
"264"	"236"	"215"	"2"	"1"	"6"	"21"	"0"	"3"	"1"	"1"	"2"	"0"	"66"	"2"	"320"	"0"	"320"	"0"
"265"	"237"	"341"	"3"	"1"	"20"	"15"	"2"	"2"	"2"	"2"	"5"	"10"	"168"	"11"	"582"	"0"	"582"	"0"
"266"	"238"	"138"	"4"	"2"	"12"	"6"	"0"	"0"	"1"	"2"	"2"	"1"	"124"	"4"	"296"	"0"	"296"	"0"
"267"	"239"	"174"	"4"	"0"	"17"	"23"	"1"	"2"	"0"	"2"	"1"	"2"	"277"	"4"	"507"	"0"	"507"	"0"
"268"	"240"	"252"	"1"	"2"	"11"	"9"	"0"	"4"	"1"	"1"	"0"	"6"	"123"	"9"	"419"	"0"	"419"	"0"
"269"	"241"	"302"	"2"	"2"	"7"	"13"	"0"	"1"	"0"	"1"	"0"	"3"	"185"	"7"	"523"	"0"	"523"	"0"
"270"	"242"	"248"	"0"	"0"	"14"	"6"	"1"	"0"	"1"	"0"	"1"	"1"	"94"	"5"	"371"	"0"	"371"	"0"
"271"	"243"	"234"	"7"	"2"	"7"	"75"	"1"	"3"	"0"	"2"	"3"	"2"	"336"	"24"	"696"	"0"	"696"	"0"
"272"	"244"	"253"	"9"	"1"	"10"	"19"	"2"	"3"	"3"	"2"	"6"	"7"	"372"	"21"	"708"	"0"	"708"	"0"
"273"	"245"	"552"	"5"	"3"	"4"	"29"	"1"	"0"	"0"	"1"	"3"	"3"	"127"	"12"	"740"	"0"	"740"	"0"
"274"	"246"	"244"	"15"	"5"	"5"	"17"	"2"	"2"	"1"	"1"	"5"	"3"	"113"	"12"	"425"	"0"	"425"	"0"
"275"	"247"	"37"	"41"	"3"	"29"	"36"	"1"	"1"	"6"	"1"	"2"	"5"	"233"	"15"	"410"	"0"	"410"	"0"
"276"	"248"	"202"	"3"	"0"	"5"	"10"	"2"	"0"	"0"	"0"	"2"	"6"	"241"	"15"	"486"	"0"	"486"	"0"
"277"	"249"	"238"	"3"	"5"	"15"	"22"	"1"	"4"	"5"	"4"	"15"	"13"	"288"	"22"	"635"	"0"	"635"	"0"
"278"	"250"	"122"	"2"	"5"	"6"	"51"	"1"	"2"	"1"	"2"	"4"	"1"	"307"	"1"	"505"	"0"	"505"	"0"
"279"	"251"	"28"	"1"	"1"	"14"	"23"	"2"	"0"	"0"	"0"	"0"	"1"	"163"	"2"	"235"	"0"	"235"	"0"
"280"	"252"	"16"	"0"	"0"	"4"	"10"	"0"	"0"	"1"	"2"	"1"	"1"	"110"	"3"	"148"	"0"	"148"	"0"
"281"	"253"	"255"	"4"	"0"	"5"	"27"	"2"	"5"	"1"	"3"	"5"	"5"	"133"	"12"	"457"	"0"	"457"	"0"
"282"	"254"	"337"	"2"	"0"	"8"	"6"	"0"	"1"	"1"	"0"	"2"	"7"	"117"	"11"	"492"	"0"	"492"	"0"
"283"	"255"	"203"	"0"	"0"	"5"	"10"	"0"	"2"	"1"	"0"	"1"	"0"	"35"	"3"	"260"	"0"	"260"	"0"
"284"	"256"	"331"	"14"	"3"	"7"	"23"	"3"	"6"	"4"	"6"	"6"	"8"	"135"	"12"	"558"	"0"	"558"	"0"
"285"	"257"	"150"	"0"	"0"	"8"	"9"	"1"	"0"	"0"	"0"	"0"	"2"	"42"	"8"	"220"	"0"	"220"	"0"
"286"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"287"	""	"ASHA DEVI"	"JAWAHAR PRASAD SINGH"	"PARMESHW AR SINGH"	"VIJAY SINGH YADAV"	"SACHCHIDA NAND RAI"	"RAKESH KUMAR GOPE"	"ASHOK KUMAR JAISWAL"	"GANESH RAY"	"MOHAMMED NAUSHAD"	"RAMESH SINGH"	"RAM BHAJAN SINGH YADAV"	"RIT LAL RAY"	"BINOD SINGH"	""	""	""	""
"288"	"No. of votes recorded on postal ballot
papers"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"9"	"12"	"0"
"289"	"Total"	"59425"	"1112"	"474"	"3608"	"11495"	"551"	"1303"	"351"	"621"	"629"	"1006"	"41506"	"2969"	"125050"	"9"	"125059"	"0"
