"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…87 - Jale"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment … 241909"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"151"	"133"	"122"	"7"	"4"	"12"	"3"	"18"	""	"390"	"2"	"0"	"0"	"19"	"1"	"5"	""	"1"	"462"	"-"	"462"	""	""
"152"	"134"	"123"	"3"	"10"	"50"	"4"	"89"	""	"453"	"3"	"5"	"4"	"32"	"5"	"10"	""	"8"	"676"	"-"	"676"	""	""
"153"	"135"	"124"	"16"	"18"	"44"	"2"	"81"	""	"198"	"6"	"4"	"1"	"7"	"10"	"15"	""	"9"	"411"	"-"	"411"	""	""
"154"	"136"	"124A"	"11"	"5"	"114"	"2"	"92"	""	"118"	"7"	"10"	"5"	"9"	"18"	"16"	""	"18"	"425"	"-"	"425"	""	""
"155"	"137"	"125"	"4"	"4"	"7"	"4"	"385"	""	"151"	"1"	"6"	"4"	"3"	"10"	"17"	""	"19"	"615"	"-"	"615"	""	""
"156"	"138"	"126"	"2"	"0"	"5"	"5"	"367"	""	"78"	"5"	"10"	"4"	"2"	"5"	"16"	""	"5"	"504"	"-"	"504"	""	""
"157"	"139"	"126A"	"3"	"2"	"9"	"3"	"250"	""	"83"	"5"	"4"	"13"	"5"	"9"	"21"	""	"15"	"422"	"-"	"422"	""	""
"158"	"140"	"127"	"4"	"4"	"97"	"2"	"48"	""	"31"	"3"	"3"	"0"	"2"	"1"	"2"	""	"4"	"201"	"-"	"201"	""	""
"159"	"141"	"128"	"13"	"18"	"58"	"9"	"243"	""	"81"	"10"	"2"	"9"	"5"	"15"	"13"	""	"27"	"503"	"-"	"503"	""	""
"160"	"142"	"129"	"1"	"2"	"42"	"1"	"61"	""	"80"	"2"	"1"	"4"	"1"	"3"	"2"	""	"3"	"203"	"-"	"203"	""	""
"161"	"143"	"130"	"3"	"2"	"78"	"1"	"53"	""	"100"	"2"	"0"	"0"	"1"	"1"	"6"	""	"2"	"249"	"-"	"249"	""	""
"162"	"144"	"131"	"127"	"7"	"15"	"9"	"271"	""	"158"	"4"	"6"	"8"	"12"	"12"	"23"	""	"21"	"673"	"-"	"673"	""	""
"163"	"145"	"132"	"52"	"24"	"116"	"14"	"305"	""	"140"	"17"	"5"	"5"	"8"	"12"	"19"	""	"12"	"729"	"-"	"729"	""	""
"164"	"146"	"133"	"27"	"7"	"37"	"2"	"171"	""	"50"	"2"	"2"	"6"	"8"	"6"	"15"	""	"14"	"347"	"-"	"347"	""	""
"165"	"147"	"134"	"9"	"4"	"52"	"5"	"79"	""	"278"	"6"	"5"	"7"	"12"	"7"	"2"	""	"17"	"483"	"-"	"483"	""	""
"166"	"148"	"135"	"18"	"5"	"37"	"3"	"36"	""	"398"	"5"	"7"	"5"	"102"	"4"	"4"	""	"7"	"631"	"-"	"631"	""	""
"167"	"149"	"136"	"15"	"7"	"38"	"2"	"77"	""	"348"	"7"	"5"	"4"	"20"	"18"	"11"	""	"34"	"586"	"-"	"586"	""	""
"168"	"150"	"137"	"25"	"15"	"81"	"10"	"83"	""	"38"	"1"	"5"	"3"	"7"	"7"	"11"	""	"12"	"298"	"-"	"298"	""	""
"169"	"151"	"137A"	"3"	"8"	"188"	"5"	"21"	""	"9"	"1"	"1"	"1"	"2"	"6"	"3"	""	"2"	"250"	"-"	"250"	""	""
"170"	"152"	"138"	"21"	"9"	"267"	"9"	"24"	""	"58"	"0"	"3"	"0"	"0"	"0"	"4"	""	"5"	"400"	"-"	"400"	""	""
"171"	"153"	"139"	"11"	"7"	"108"	"7"	"59"	""	"99"	"6"	"4"	"2"	"4"	"8"	"11"	""	"11"	"337"	"-"	"337"	""	""
"172"	"154"	"140"	"10"	"34"	"81"	"5"	"158"	""	"201"	"16"	"7"	"6"	"93"	"11"	"17"	""	"12"	"651"	"-"	"651"	""	""
"173"	"155"	"141"	"5"	"5"	"12"	"2"	"61"	""	"132"	"4"	"2"	"4"	"88"	"11"	"4"	""	"15"	"345"	"-"	"345"	""	""
"174"	"156"	"142"	"9"	"8"	"23"	"5"	"75"	""	"226"	"13"	"8"	"8"	"184"	"14"	"6"	""	"6"	"585"	"-"	"585"	""	""
"175"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"176"	""	""	"Anil Ram"	"Aftab Alam"	"Ahmad Ali
Tamann e"	"Ir fanurahm an"	"Ramn iwas Pd."	""	"Vijay Kumar Mishra"	"Chandra Bhushan Pratap
Singh"	"Lal  Babu Yadav"	"Amitabh Jha"	"Jiwesh Kumar"	"Md. Nasim Haidar"	"Prabhash Kumar
Jha"	""	"Rajeev Kumar Ranjan"	""	""	""	""	""
"177"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	"19"	""
"178"	"157"	"143"	"16"	"25"	"40"	"3"	"80"	""	"89"	"8"	"5"	"4"	"9"	"9"	"9"	""	"18"	"315"	"-"	"315"	""	""
"179"	"158"	"144"	"6"	"10"	"14"	"5"	"28"	""	"154"	"10"	"8"	"14"	"193"	"9"	"7"	""	"14"	"472"	"-"	"472"	""	""
"180"	"159"	"145"	"2"	"3"	"34"	"0"	"29"	""	"145"	"2"	"1"	"2"	"11"	"1"	"8"	""	"1"	"239"	"-"	"239"	""	""
"181"	"160"	"146"	"8"	"26"	"35"	"6"	"105"	""	"208"	"9"	"4"	"1"	"4"	"4"	"7"	""	"7"	"424"	"-"	"424"	""	""
"182"	"161"	"147"	"2"	"1"	"5"	"0"	"49"	""	"54"	"2"	"1"	"3"	"8"	"0"	"4"	""	"1"	"130"	"-"	"130"	""	""
"183"	"162"	"148"	"4"	"7"	"19"	"2"	"35"	""	"91"	"4"	"2"	"4"	"27"	"3"	"2"	""	"1"	"201"	"-"	"201"	""	""
"184"	"163"	"149"	"20"	"17"	"33"	"7"	"179"	""	"328"	"10"	"10"	"5"	"15"	"16"	"22"	""	"25"	"687"	"-"	"687"	""	""
"185"	"164"	"150"	"2"	"13"	"83"	"0"	"96"	""	"62"	"7"	"1"	"4"	"3"	"7"	"7"	""	"3"	"288"	"-"	"288"	""	""
"186"	"165"	"151"	"6"	"9"	"14"	"2"	"81"	""	"221"	"3"	"6"	"4"	"2"	"7"	"4"	""	"4"	"363"	"-"	"363"	""	""
"187"	"166"	"152"	"11"	"6"	"25"	"6"	"34"	""	"338"	"12"	"2"	"0"	"3"	"8"	"3"	""	"8"	"456"	"-"	"456"	""	""
"188"	"167"	"153"	"8"	"8"	"19"	"3"	"324"	""	"43"	"4"	"14"	"6"	"4"	"9"	"16"	""	"4"	"462"	"-"	"462"	""	""
"189"	"168"	"154"	"12"	"28"	"135"	"6"	"153"	""	"91"	"4"	"5"	"5"	"10"	"11"	"24"	""	"22"	"506"	"-"	"506"	""	""
"190"	"169"	"155"	"5"	"11"	"19"	"2"	"79"	""	"208"	"1"	"3"	"2"	"5"	"6"	"5"	""	"15"	"361"	"-"	"361"	""	""
"191"	"170"	"156"	"8"	"4"	"258"	"10"	"17"	""	"103"	"1"	"2"	"2"	"2"	"7"	"3"	""	"12"	"429"	"-"	"429"	""	""
"192"	"171"	"157"	"4"	"10"	"41"	"3"	"2"	""	"102"	"1"	"1"	"1"	"1"	"1"	"0"	""	"1"	"168"	"-"	"168"	""	""
"193"	"172"	"158"	"8"	"9"	"266"	"3"	"66"	""	"200"	"6"	"3"	"3"	"3"	"9"	"11"	""	"4"	"591"	"-"	"591"	""	""
"194"	"173"	"159"	"5"	"6"	"53"	"4"	"84"	""	"126"	"6"	"0"	"5"	"69"	"4"	"8"	""	"8"	"378"	"-"	"378"	""	""
"195"	"174"	"160"	"1"	"12"	"70"	"2"	"75"	""	"128"	"4"	"2"	"5"	"10"	"6"	"9"	""	"6"	"330"	"-"	"330"	""	""
"196"	"175"	"161"	"4"	"28"	"180"	"17"	"112"	""	"58"	"5"	"4"	"6"	"4"	"14"	"18"	""	"19"	"469"	"-"	"469"	""	""
"197"	"176"	"162"	"41"	"35"	"157"	"10"	"177"	""	"273"	"8"	"8"	"4"	"5"	"12"	"16"	""	"6"	"752"	"-"	"752"	""	""
"198"	"177"	"163"	"6"	"20"	"55"	"6"	"162"	""	"198"	"6"	"3"	"5"	"3"	"11"	"8"	""	"12"	"495"	"-"	"495"	""	""
"199"	"178"	"164"	"15"	"177"	"88"	"8"	"7"	""	"82"	"3"	"1"	"0"	"1"	"2"	"7"	""	"4"	"395"	"-"	"395"	""	""
"200"	"179"	"165"	"13"	"19"	"55"	"4"	"100"	""	"188"	"18"	"8"	"5"	"7"	"13"	"12"	""	"18"	"460"	"-"	"460"	""	""
"201"	"180"	"166"	"3"	"52"	"222"	"6"	"7"	""	"74"	"4"	"1"	"1"	"3"	"11"	"6"	""	"11"	"401"	"-"	"401"	""	""
"202"	"181"	"167"	"3"	"66"	"172"	"8"	"1"	""	"2"	"0"	"3"	"1"	"1"	"3"	"4"	""	"8"	"272"	"-"	"272"	""	""
"203"	"182"	"168"	"9"	"116"	"143"	"10"	"32"	""	"214"	"7"	"17"	"11"	"8"	"23"	"10"	""	"22"	"622"	"-"	"622"	""	""
"204"	"183"	"169"	"8"	"88"	"140"	"3"	"77"	""	"129"	"5"	"4"	"4"	"10"	"15"	"11"	""	"17"	"511"	"-"	"511"	""	""
"205"	"184"	"170"	"15"	"167"	"89"	"5"	"49"	""	"166"	"3"	"2"	"2"	"3"	"5"	"13"	""	"8"	"527"	"-"	"527"	""	""
"206"	"185"	"171"	"5"	"8"	"457"	"10"	"2"	""	"20"	"1"	"1"	"2"	"0"	"8"	"1"	""	"6"	"521"	"-"	"521"	""	""
"207"	"186"	"172"	"2"	"23"	"464"	"17"	"6"	""	"5"	"1"	"1"	"0"	"1"	"3"	"3"	""	"8"	"534"	"-"	"534"	""	""
"208"	"187"	"173"	"9"	"22"	"272"	"7"	"69"	""	"120"	"6"	"3"	"1"	"5"	"6"	"5"	""	"5"	"530"	"-"	"530"	""	""
"209"	"188"	"174"	"2"	"23"	"125"	"6"	"10"	""	"224"	"2"	"1"	"1"	"1"	"3"	"4"	""	"4"	"406"	"-"	"406"	""	""
"210"	"189"	"175"	"5"	"50"	"327"	"5"	"17"	""	"38"	"0"	"2"	"2"	"5"	"7"	"4"	""	"2"	"464"	"-"	"464"	""	""
"211"	"190"	"176"	"1"	"62"	"117"	"2"	"23"	""	"75"	"3"	"2"	"1"	"6"	"4"	"2"	""	"6"	"304"	"-"	"304"	""	""
"212"	"191"	"177"	"8"	"15"	"185"	"16"	"42"	""	"334"	"21"	"7"	"3"	"8"	"16"	"9"	""	"13"	"677"	"-"	"677"	""	""
"213"	"192"	"178"	"14"	"17"	"84"	"5"	"71"	""	"372"	"8"	"5"	"2"	"7"	"7"	"11"	""	"15"	"618"	"-"	"618"	""	""
"214"	"193"	"179"	"11"	"21"	"72"	"8"	"79"	""	"407"	"9"	"6"	"5"	"3"	"12"	"7"	""	"11"	"651"	"-"	"651"	""	""
"215"	"194"	"180"	"16"	"29"	"79"	"5"	"102"	""	"328"	"10"	"6"	"3"	"5"	"15"	"17"	""	"11"	"626"	"-"	"626"	""	""
"216"	"195"	"181"	"24"	"28"	"88"	"8"	"248"	""	"243"	"7"	"8"	"5"	"2"	"9"	"14"	""	"5"	"689"	"-"	"689"	""	""
"217"	"196"	"182"	"8"	"92"	"180"	"2"	"17"	""	"12"	"5"	"3"	"1"	"3"	"9"	"8"	""	"5"	"345"	"-"	"345"	""	""
"218"	"197"	"183"	"11"	"8"	"98"	"4"	"83"	""	"235"	"8"	"7"	"5"	"4"	"2"	"12"	""	"3"	"480"	"-"	"480"	""	""
"219"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"220"	""	""	"Anil Ram"	"Aftab Alam"	"Ahmad Ali
Tamann e"	"Ir fanurahm an"	"Ramn iwas Pd."	""	"Vijay Kumar Mishra"	"Chandra Bhushan Pratap
Singh"	"Lal  Babu Yadav"	"Amitabh Jha"	"Jiwesh Kumar"	"Md. Nasim Haidar"	"Prabhash Kumar
Jha"	""	"Rajeev Kumar Ranjan"	""	""	""	""	""
"221"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	"19"	""
"222"	"198"	"184"	"8"	"16"	"88"	"11"	"170"	""	"149"	"5"	"1"	"5"	"9"	"6"	"22"	""	"13"	"503"	"-"	"503"	""	""
"223"	"199"	"185"	"23"	"34"	"173"	"13"	"182"	""	"171"	"12"	"16"	"5"	"15"	"20"	"97"	""	"31"	"792"	"-"	"792"	""	""
"224"	"200"	"186"	"5"	"7"	"26"	"4"	"176"	""	"46"	"2"	"0"	"2"	"1"	"3"	"7"	""	"14"	"293"	"-"	"293"	""	""
"225"	"201"	"186A"	"3"	"18"	"35"	"7"	"134"	""	"127"	"7"	"4"	"6"	"1"	"7"	"9"	""	"9"	"367"	"-"	"367"	""	""
"226"	"202"	"187"	"12"	"28"	"212"	"3"	"37"	""	"78"	"8"	"4"	"3"	"6"	"5"	"5"	""	"4"	"405"	"-"	"405"	""	""
"227"	"203"	"188"	"3"	"21"	"141"	"2"	"32"	""	"57"	"2"	"2"	"0"	"2"	"0"	"1"	""	"2"	"265"	"-"	"265"	""	""
"228"	"204"	"189"	"6"	"9"	"59"	"1"	"77"	""	"300"	"4"	"4"	"0"	"2"	"6"	"3"	""	"6"	"477"	"-"	"477"	""	""
"229"	"205"	"190"	"3"	"14"	"112"	"3"	"40"	""	"266"	"5"	"8"	"3"	"6"	"5"	"5"	""	"7"	"477"	"-"	"477"	""	""
"230"	"206"	"191"	"6"	"34"	"155"	"3"	"14"	""	"114"	"2"	"1"	"0"	"3"	"3"	"3"	""	"3"	"341"	"-"	"341"	""	""
"231"	"207"	"192"	"10"	"32"	"209"	"3"	"7"	""	"101"	"3"	"2"	"0"	"0"	"3"	"1"	""	"3"	"374"	"-"	"374"	""	""
"232"	"208"	"193"	"8"	"38"	"309"	"8"	"22"	""	"32"	"1"	"0"	"1"	"2"	"7"	"4"	""	"5"	"437"	"-"	"437"	""	""
"233"	"209"	"194"	"12"	"31"	"154"	"9"	"23"	""	"134"	"6"	"1"	"1"	"2"	"6"	"3"	""	"6"	"388"	"-"	"388"	""	""
"234"	"210"	"195"	"12"	"10"	"51"	"1"	"116"	""	"151"	"2"	"2"	"6"	"8"	"9"	"12"	""	"5"	"385"	"-"	"385"	""	""
"235"	"211"	"196"	"16"	"31"	"55"	"6"	"87"	""	"369"	"9"	"9"	"11"	"7"	"10"	"15"	""	"18"	"643"	"-"	"643"	""	""
"236"	"212"	"197"	"5"	"58"	"26"	"2"	"157"	""	"167"	"6"	"6"	"10"	"7"	"8"	"20"	""	"15"	"487"	"-"	"487"	""	""
"237"	"213"	"198"	"4"	"118"	"44"	"5"	"27"	""	"76"	"3"	"2"	"0"	"3"	"7"	"2"	""	"1"	"292"	"-"	"292"	""	""
"238"	"214"	"199"	"9"	"64"	"46"	"2"	"42"	""	"134"	"4"	"2"	"4"	"4"	"7"	"6"	""	"6"	"330"	"-"	"330"	""	""
"239"	"215"	"200"	"23"	"41"	"24"	"2"	"176"	""	"213"	"6"	"4"	"5"	"10"	"15"	"10"	""	"9"	"538"	"-"	"538"	""	""
"240"	"216"	"201"	"8"	"7"	"17"	"4"	"145"	""	"139"	"12"	"1"	"5"	"4"	"9"	"23"	""	"8"	"382"	"-"	"382"	""	""
"241"	"217"	"202"	"25"	"21"	"30"	"14"	"268"	""	"219"	"16"	"19"	"9"	"6"	"15"	"14"	""	"9"	"665"	"-"	"665"	""	""
"242"	"218"	"203"	"6"	"10"	"25"	"7"	"93"	""	"259"	"9"	"10"	"4"	"2"	"8"	"9"	""	"15"	"457"	"-"	"457"	""	""
"243"	"219"	"204"	"12"	"26"	"45"	"8"	"115"	""	"169"	"5"	"16"	"5"	"14"	"9"	"14"	""	"15"	"453"	"-"	"453"	""	""
"244"	"220"	"205"	"24"	"18"	"68"	"10"	"151"	""	"89"	"3"	"15"	"10"	"15"	"9"	"24"	""	"20"	"456"	"-"	"456"	""	""
"245"	"221"	"206"	"10"	"19"	"73"	"5"	"113"	""	"276"	"14"	"9"	"7"	"8"	"17"	"21"	""	"24"	"596"	"-"	"596"	""	""
"246"	"222"	"207"	"15"	"48"	"299"	"8"	"103"	""	"15"	"4"	"2"	"1"	"0"	"3"	"4"	""	"2"	"504"	"-"	"504"	""	""
"247"	"223"	"208"	"6"	"7"	"66"	"4"	"59"	""	"13"	"3"	"0"	"3"	"0"	"1"	"1"	""	"0"	"163"	"-"	"163"	""	""
"248"	"224"	"209"	"8"	"7"	"57"	"5"	"28"	""	"311"	"6"	"7"	"7"	"9"	"14"	"143"	""	"17"	"619"	"-"	"619"	""	""
"249"	"225"	"210"	"19"	"11"	"82"	"6"	"74"	""	"301"	"19"	"14"	"9"	"6"	"14"	"107"	""	"10"	"672"	"-"	"672"	""	""
"250"	"226"	"211"	"8"	"14"	"53"	"11"	"41"	""	"291"	"11"	"8"	"9"	"8"	"16"	"105"	""	"14"	"589"	"-"	"589"	""	""
"251"	"227"	"212"	"14"	"9"	"54"	"7"	"142"	""	"302"	"13"	"5"	"12"	"9"	"18"	"121"	""	"37"	"743"	"-"	"743"	""	""
"252"	"228"	"213"	"2"	"23"	"28"	"1"	"77"	""	"254"	"3"	"6"	"21"	"27"	"4"	"12"	""	"7"	"465"	"-"	"465"	""	""
"253"	"229"	"213A"	"6"	"5"	"15"	"1"	"106"	""	"119"	"2"	"4"	"2"	"13"	"5"	"3"	""	"1"	"282"	"-"	"282"	""	""
"254"	"230"	"214"	"13"	"21"	"17"	"2"	"87"	""	"151"	"4"	"2"	"3"	"23"	"6"	"9"	""	"10"	"348"	"-"	"348"	""	""
"255"	"231"	"215"	"12"	"11"	"10"	"1"	"107"	""	"142"	"3"	"1"	"2"	"1"	"3"	"9"	""	"5"	"307"	"-"	"307"	""	""
"256"	"232"	"216"	"9"	"4"	"74"	"4"	"82"	""	"6"	"4"	"0"	"3"	"1"	"7"	"4"	""	"3"	"201"	"-"	"201"	""	""
"257"	"233"	"217"	"25"	"9"	"20"	"3"	"80"	""	"31"	"0"	"2"	"1"	"15"	"5"	"3"	""	"12"	"206"	"-"	"206"	""	""
"258"	"234"	"218"	"1"	"51"	"30"	"5"	"73"	""	"154"	"5"	"3"	"3"	"73"	"5"	"3"	""	"6"	"412"	"-"	"412"	""	""
"259"	"235"	"219"	"8"	"14"	"19"	"4"	"60"	""	"158"	"2"	"6"	"2"	"25"	"5"	"9"	""	"4"	"316"	"-"	"316"	""	""
"260"	"236"	"220"	"6"	"7"	"10"	"4"	"112"	""	"165"	"3"	"4"	"3"	"16"	"6"	"14"	""	"18"	"368"	"-"	"368"	""	""
"261"	"237"	"221"	"2"	"4"	"25"	"2"	"31"	""	"255"	"6"	"2"	"4"	"142"	"7"	"3"	""	"15"	"498"	"-"	"498"	""	""
"262"	"238"	"222"	"30"	"12"	"20"	"9"	"169"	""	"136"	"7"	"7"	"1"	"12"	"5"	"13"	""	"9"	"430"	"-"	"430"	""	""
"263"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"264"	""	""	"Anil Ram"	"Aftab Alam"	"Ahmad Ali
Tamann e"	"Ir fanurahm an"	"Ramn iwas Pd."	""	"Vijay Kumar Mishra"	"Chandra Bhushan Pratap
Singh"	"Lal  Babu Yadav"	"Amitabh Jha"	"Jiwesh Kumar"	"Md. Nasim Haidar"	"Prabhash Kumar
Jha"	""	"Rajeev Kumar Ranjan"	""	""	""	""	""
"265"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	"19"	""
"266"	"239"	"223"	"9"	"23"	"15"	"4"	"115"	""	"156"	"0"	"5"	"8"	"3"	"10"	"8"	""	"8"	"364"	"-"	"364"	""	""
"267"	"240"	"224"	"3"	"4"	"7"	"1"	"5"	""	"264"	"2"	"2"	"1"	"2"	"1"	"2"	""	"2"	"296"	"-"	"296"	""	""
"268"	"241"	"225"	"3"	"14"	"4"	"3"	"25"	""	"406"	"5"	"7"	"3"	"9"	"2"	"5"	""	"11"	"497"	"-"	"497"	""	""
"269"	"242"	"226"	"15"	"9"	"33"	"1"	"86"	""	"119"	"1"	"0"	"1"	"13"	"4"	"1"	""	"5"	"288"	"-"	"288"	""	""
"270"	"243"	"226A"	"15"	"12"	"32"	"3"	"222"	""	"80"	"5"	"5"	"4"	"6"	"4"	"9"	""	"13"	"410"	"-"	"410"	""	""
"271"	"Tot al  No.  of
vot es recording at  polling
St at ions"	""	"2270"	"4028"	"18333"	"1221"	"25648"	""	"42590"	"1426"	"1468"	"973"	"3047"	"1876"	"2690"	""	"2423"	"107993"	"-"	"107993"	""	""
"272"	"No.  of vot es recorded on post al  ballot
papers (To be elect ion  from  an assembly
const it uency)"	""	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"-"	"0"	""	""
"273"	"Total Votes polled"	""	"2270"	"4028"	"18333"	"1221"	"25648"	""	"42590"	"1426"	"1468"	"973"	"3047"	"1876"	"2690"	""	"2423"	"107993"	"-"	"107993"	""	""
"274"	"Place :    DARBHANGA"	""	""	""	""	""	""	"Assistant  Returning Officer"	""	""	""	""	""	""	""	"Returning Officer"	""	""	""	""	""	""
"275"	"Date  :    24/ 11/ 2010"	""	""	""	""	""	""	"87  - Jale"	""	""	""	""	""	""	""	"87  - Jale"	""	""	""	""	""	""
