"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…82 - Darbhanga Rural Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 223198"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"138"	"122"	"115"	"10"	"120"	"4"	"26"	""	"41"	"4"	"1"	"15"	"3"	"13"	"0"	"8"	"1"	""	"9"	"2"	"257"	"-"	"257"	""	""
"139"	"123"	"116"	"19"	"164"	"2"	"23"	""	"77"	"1"	"0"	"3"	"4"	"6"	"4"	"4"	"5"	""	"15"	"3"	"330"	"-"	"330"	""	""
"140"	"124"	"117"	"5"	"170"	"5"	"59"	""	"48"	"1"	"2"	"3"	"3"	"7"	"4"	"11"	"5"	""	"16"	"12"	"351"	"-"	"351"	""	""
"141"	"125"	"117A"	"18"	"148"	"7"	"50"	""	"82"	"3"	"1"	"9"	"0"	"2"	"1"	"5"	"1"	""	"6"	"3"	"336"	"-"	"336"	""	""
"142"	"126"	"118"	"13"	"68"	"0"	"15"	""	"169"	"5"	"5"	"12"	"6"	"12"	"6"	"5"	"7"	""	"2"	"3"	"328"	"-"	"328"	""	""
"143"	"127"	"119"	"24"	"85"	"6"	"67"	""	"76"	"8"	"6"	"32"	"6"	"3"	"4"	"21"	"6"	""	"3"	"1"	"348"	"-"	"348"	""	""
"144"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"145"	""	""	"Abdul Hadi
Siddiqui"	"Ashraf Hussain"	"Md. Tarikul Islam"	"Narendra Ku mar
Jha"	""	"Lalit Ku mar Yadav"	"Badre Alam"	"Shanichri Devi"	"Ashok Ku mar"	"Ganeshi Sahu"	"Dr. Chaudhry Chandramani Nagendra"	"Dhu ruv Narayan Jha"	"Madan Ku mar Yadav"	"Vinod Ku mar Mahto"	""	"Shamshad Ahmad Khan"	"Sanjay Ku mar Jha"	""	""	""	""	""
"146"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	""
"147"	"128"	"120"	"34"	"116"	"7"	"0"	""	"116"	"3"	"2"	"1"	"1"	"2"	"6"	"1"	"2"	""	"8"	"1"	"300"	"-"	"300"	""	""
"148"	"129"	"120A"	"71"	"94"	"4"	"2"	""	"84"	"10"	"2"	"3"	"1"	"8"	"6"	"1"	"2"	""	"9"	"3"	"300"	"-"	"300"	""	""
"149"	"130"	"121"	"17"	"89"	"2"	"9"	""	"177"	"7"	"4"	"5"	"5"	"7"	"17"	"11"	"7"	""	"18"	"8"	"383"	"-"	"383"	""	""
"150"	"131"	"121A"	"7"	"158"	"3"	"8"	""	"133"	"4"	"1"	"4"	"1"	"14"	"6"	"10"	"3"	""	"9"	"3"	"364"	"-"	"364"	""	""
"151"	"132"	"122"	"50"	"123"	"7"	"10"	""	"230"	"9"	"3"	"2"	"1"	"16"	"18"	"6"	"5"	""	"31"	"5"	"516"	"-"	"516"	""	""
"152"	"133"	"123"	"52"	"76"	"2"	"0"	""	"161"	"5"	"2"	"0"	"1"	"1"	"4"	"5"	"5"	""	"40"	"5"	"359"	"-"	"359"	""	""
"153"	"134"	"124"	"17"	"105"	"3"	"3"	""	"63"	"0"	"0"	"1"	"3"	"4"	"3"	"2"	"4"	""	"27"	"6"	"241"	"-"	"241"	""	""
"154"	"135"	"125"	"9"	"57"	"3"	"5"	""	"185"	"3"	"3"	"4"	"6"	"23"	"31"	"27"	"6"	""	"69"	"4"	"435"	"-"	"435"	""	""
"155"	"136"	"126"	"29"	"158"	"3"	"58"	""	"197"	"6"	"4"	"1"	"2"	"11"	"5"	"18"	"3"	""	"2"	"7"	"504"	"-"	"504"	""	""
"156"	"137"	"127"	"11"	"94"	"4"	"285"	""	"88"	"5"	"0"	"5"	"2"	"11"	"7"	"50"	"14"	""	"3"	"9"	"588"	"-"	"588"	""	""
"157"	"138"	"128"	"14"	"26"	"4"	"316"	""	"31"	"0"	"0"	"1"	"0"	"6"	"3"	"26"	"1"	""	"1"	"2"	"431"	"-"	"431"	""	""
"158"	"139"	"129"	"28"	"40"	"5"	"78"	""	"377"	"9"	"3"	"5"	"3"	"10"	"26"	"65"	"7"	""	"3"	"20"	"679"	"-"	"679"	""	""
"159"	"140"	"130"	"15"	"51"	"1"	"8"	""	"156"	"5"	"1"	"1"	"7"	"6"	"19"	"113"	"14"	""	"70"	"19"	"486"	"-"	"486"	""	""
"160"	"141"	"131"	"15"	"29"	"0"	"5"	""	"110"	"3"	"4"	"7"	"3"	"8"	"13"	"146"	"7"	""	"151"	"23"	"524"	"-"	"524"	""	""
"161"	"142"	"132"	"11"	"18"	"14"	"8"	""	"133"	"3"	"1"	"3"	"0"	"6"	"11"	"132"	"9"	""	"64"	"14"	"427"	"-"	"427"	""	""
"162"	"143"	"133"	"12"	"81"	"1"	"5"	""	"235"	"11"	"4"	"12"	"4"	"10"	"41"	"98"	"11"	""	"43"	"16"	"584"	"-"	"584"	""	""
"163"	"144"	"134"	"9"	"97"	"4"	"2"	""	"29"	"4"	"1"	"2"	"4"	"2"	"9"	"60"	"1"	""	"3"	"4"	"231"	"-"	"231"	""	""
"164"	"145"	"135"	"17"	"186"	"9"	"6"	""	"181"	"11"	"8"	"8"	"5"	"12"	"13"	"155"	"19"	""	"7"	"21"	"658"	"-"	"658"	""	""
"165"	"146"	"136"	"6"	"62"	"1"	"5"	""	"180"	"7"	"2"	"2"	"5"	"11"	"15"	"196"	"8"	""	"6"	"18"	"524"	"-"	"524"	""	""
"166"	"147"	"137"	"12"	"69"	"5"	"11"	""	"212"	"8"	"4"	"5"	"4"	"8"	"17"	"182"	"19"	""	"10"	"11"	"577"	"-"	"577"	""	""
"167"	"148"	"138"	"7"	"66"	"3"	"8"	""	"166"	"5"	"3"	"5"	"3"	"9"	"27"	"133"	"11"	""	"9"	"17"	"472"	"-"	"472"	""	""
"168"	"149"	"138A"	"25"	"74"	"6"	"5"	""	"72"	"7"	"3"	"18"	"1"	"11"	"8"	"63"	"8"	""	"5"	"8"	"314"	"-"	"314"	""	""
"169"	"150"	"139"	"31"	"170"	"10"	"28"	""	"192"	"17"	"11"	"51"	"12"	"19"	"19"	"129"	"29"	""	"8"	"19"	"745"	"-"	"745"	""	""
"170"	"151"	"140"	"12"	"57"	"7"	"8"	""	"95"	"2"	"8"	"48"	"1"	"34"	"14"	"200"	"13"	""	"6"	"27"	"532"	"-"	"532"	""	""
"171"	"152"	"140A"	"16"	"77"	"3"	"7"	""	"141"	"11"	"1"	"13"	"3"	"13"	"8"	"90"	"7"	""	"6"	"18"	"414"	"-"	"414"	""	""
"172"	"153"	"141"	"10"	"172"	"2"	"8"	""	"58"	"4"	"3"	"3"	"1"	"7"	"2"	"106"	"6"	""	"5"	"22"	"409"	"-"	"409"	""	""
"173"	"154"	"141A"	"12"	"107"	"1"	"4"	""	"48"	"0"	"2"	"24"	"3"	"2"	"2"	"57"	"0"	""	"2"	"42"	"306"	"-"	"306"	""	""
"174"	"155"	"142"	"27"	"82"	"5"	"26"	""	"187"	"11"	"2"	"13"	"3"	"12"	"10"	"148"	"9"	""	"5"	"7"	"547"	"-"	"547"	""	""
"175"	"156"	"143"	"12"	"256"	"4"	"25"	""	"86"	"7"	"4"	"11"	"1"	"5"	"5"	"200"	"10"	""	"5"	"17"	"648"	"-"	"648"	""	""
"176"	"157"	"144"	"12"	"199"	"3"	"15"	""	"122"	"9"	"6"	"18"	"2"	"17"	"16"	"42"	"11"	""	"23"	"20"	"515"	"-"	"515"	""	""
"177"	"158"	"145"	"15"	"140"	"2"	"10"	""	"55"	"2"	"3"	"3"	"1"	"8"	"9"	"63"	"6"	""	"5"	"12"	"334"	"-"	"334"	""	""
"178"	"159"	"146"	"19"	"256"	"11"	"24"	""	"50"	"5"	"2"	"9"	"4"	"1"	"7"	"52"	"9"	""	"4"	"6"	"459"	"-"	"459"	""	""
"179"	"160"	"147"	"10"	"98"	"4"	"11"	""	"21"	"4"	"5"	"9"	"4"	"12"	"34"	"280"	"13"	""	"8"	"29"	"542"	"-"	"542"	""	""
"180"	"161"	"148"	"19"	"14"	"1"	"8"	""	"34"	"9"	"6"	"3"	"3"	"12"	"16"	"339"	"11"	""	"5"	"20"	"500"	"-"	"500"	""	""
"181"	"162"	"148A"	"15"	"6"	"0"	"12"	""	"14"	"1"	"5"	"5"	"6"	"15"	"20"	"252"	"9"	""	"3"	"19"	"382"	"-"	"382"	""	""
"182"	"163"	"149"	"0"	"6"	"1"	"2"	""	"115"	"2"	"0"	"1"	"0"	"6"	"6"	"124"	"1"	""	"0"	"9"	"273"	"-"	"273"	""	""
"183"	"164"	"150"	"4"	"48"	"1"	"12"	""	"33"	"4"	"4"	"4"	"8"	"5"	"18"	"258"	"19"	""	"8"	"13"	"439"	"-"	"439"	""	""
"184"	"165"	"151"	"18"	"28"	"7"	"19"	""	"228"	"10"	"13"	"22"	"16"	"14"	"29"	"283"	"20"	""	"9"	"26"	"742"	"-"	"742"	""	""
"185"	"166"	"152"	"13"	"58"	"4"	"18"	""	"159"	"9"	"3"	"4"	"2"	"7"	"27"	"120"	"7"	""	"9"	"13"	"453"	"-"	"453"	""	""
"186"	"167"	"153"	"23"	"33"	"5"	"11"	""	"153"	"12"	"7"	"2"	"3"	"6"	"26"	"77"	"12"	""	"89"	"24"	"483"	"-"	"483"	""	""
"187"	"168"	"154"	"4"	"85"	"1"	"5"	""	"1"	"0"	"1"	"0"	"0"	"3"	"3"	"59"	"3"	""	"7"	"5"	"177"	"-"	"177"	""	""
"188"	"169"	"155"	"12"	"132"	"3"	"10"	""	"16"	"4"	"3"	"6"	"4"	"6"	"9"	"92"	"6"	""	"18"	"7"	"328"	"-"	"328"	""	""
"189"	"170"	"156"	"9"	"42"	"5"	"42"	""	"164"	"10"	"6"	"10"	"6"	"17"	"29"	"254"	"20"	""	"13"	"44"	"671"	"-"	"671"	""	""
"190"	"171"	"157"	"5"	"36"	"2"	"2"	""	"57"	"2"	"0"	"2"	"0"	"2"	"5"	"38"	"2"	""	"85"	"5"	"243"	"-"	"243"	""	""
"191"	"172"	"158"	"21"	"74"	"2"	"10"	""	"288"	"15"	"6"	"4"	"1"	"4"	"25"	"184"	"12"	""	"17"	"15"	"678"	"-"	"678"	""	""
"192"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"193"	""	""	"Abdul Hadi
Siddiqui"	"Ashraf Hussain"	"Md. Tarikul Islam"	"Narendra Ku mar
Jha"	""	"Lalit Ku mar Yadav"	"Badre Alam"	"Shanichri Devi"	"Ashok Ku mar"	"Ganeshi Sahu"	"Dr. Chaudhry Chandramani Nagendra"	"Dhu ruv Narayan Jha"	"Madan Ku mar Yadav"	"Vinod Ku mar Mahto"	""	"Shamshad Ahmad Khan"	"Sanjay Ku mar Jha"	""	""	""	""	""
"194"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	""
"195"	"173"	"159"	"7"	"129"	"12"	"3"	""	"13"	"2"	"0"	"4"	"1"	"2"	"9"	"36"	"3"	""	"61"	"6"	"288"	"-"	"288"	""	""
"196"	"174"	"160"	"3"	"64"	"1"	"1"	""	"204"	"8"	"1"	"2"	"1"	"2"	"5"	"83"	"1"	""	"3"	"7"	"386"	"-"	"386"	""	""
"197"	"175"	"161"	"6"	"70"	"1"	"4"	""	"89"	"5"	"3"	"0"	"3"	"6"	"7"	"78"	"5"	""	"15"	"3"	"295"	"-"	"295"	""	""
"198"	"176"	"162"	"2"	"74"	"0"	"4"	""	"85"	"2"	"3"	"3"	"2"	"15"	"4"	"60"	"4"	""	"17"	"5"	"280"	"-"	"280"	""	""
"199"	"177"	"163"	"13"	"71"	"5"	"5"	""	"159"	"4"	"0"	"1"	"3"	"2"	"7"	"17"	"10"	""	"125"	"7"	"429"	"-"	"429"	""	""
"200"	"178"	"164"	"30"	"29"	"9"	"14"	""	"377"	"9"	"3"	"12"	"5"	"12"	"12"	"14"	"5"	""	"16"	"8"	"555"	"-"	"555"	""	""
"201"	"179"	"165"	"22"	"154"	"5"	"36"	""	"112"	"9"	"5"	"8"	"6"	"6"	"19"	"11"	"10"	""	"30"	"8"	"441"	"-"	"441"	""	""
"202"	"180"	"166"	"14"	"114"	"2"	"23"	""	"77"	"1"	"3"	"3"	"0"	"4"	"3"	"4"	"6"	""	"58"	"1"	"313"	"-"	"313"	""	""
"203"	"181"	"167"	"19"	"205"	"1"	"38"	""	"82"	"2"	"5"	"2"	"0"	"8"	"8"	"10"	"7"	""	"11"	"2"	"400"	"-"	"400"	""	""
"204"	"182"	"168"	"19"	"99"	"3"	"36"	""	"42"	"2"	"0"	"1"	"3"	"2"	"1"	"7"	"4"	""	"5"	"4"	"228"	"-"	"228"	""	""
"205"	"183"	"169"	"13"	"202"	"11"	"24"	""	"141"	"10"	"0"	"5"	"1"	"11"	"11"	"12"	"2"	""	"19"	"12"	"474"	"-"	"474"	""	""
"206"	"184"	"170"	"17"	"101"	"9"	"1"	""	"140"	"11"	"1"	"2"	"1"	"1"	"12"	"13"	"7"	""	"78"	"8"	"402"	"-"	"402"	""	""
"207"	"185"	"171"	"2"	"57"	"1"	"3"	""	"108"	"3"	"0"	"2"	"1"	"3"	"6"	"8"	"1"	""	"86"	"8"	"289"	"-"	"289"	""	""
"208"	"186"	"172"	"17"	"69"	"3"	"1"	""	"138"	"7"	"0"	"0"	"0"	"9"	"3"	"8"	"6"	""	"54"	"5"	"320"	"-"	"320"	""	""
"209"	"187"	"173"	"24"	"107"	"6"	"1"	""	"89"	"1"	"1"	"3"	"1"	"2"	"5"	"8"	"3"	""	"51"	"1"	"303"	"-"	"303"	""	""
"210"	"188"	"174"	"10"	"79"	"1"	"1"	""	"58"	"0"	"2"	"0"	"4"	"4"	"3"	"2"	"4"	""	"110"	"8"	"286"	"-"	"286"	""	""
"211"	"189"	"175"	"2"	"52"	"2"	"3"	""	"76"	"4"	"3"	"10"	"12"	"6"	"15"	"116"	"12"	""	"291"	"13"	"617"	"-"	"617"	""	""
"212"	"190"	"176"	"14"	"33"	"0"	"6"	""	"67"	"3"	"0"	"1"	"1"	"2"	"10"	"18"	"8"	""	"148"	"15"	"326"	"-"	"326"	""	""
"213"	"191"	"177"	"2"	"37"	"0"	"4"	""	"213"	"9"	"8"	"13"	"4"	"8"	"23"	"53"	"8"	""	"20"	"10"	"412"	"-"	"412"	""	""
"214"	"192"	"178"	"14"	"18"	"2"	"9"	""	"341"	"17"	"36"	"14"	"6"	"17"	"31"	"112"	"9"	""	"11"	"24"	"661"	"-"	"661"	""	""
"215"	"193"	"179"	"13"	"103"	"5"	"1"	""	"37"	"7"	"2"	"5"	"2"	"5"	"7"	"31"	"11"	""	"299"	"12"	"540"	"-"	"540"	""	""
"216"	"194"	"180"	"49"	"93"	"3"	"10"	""	"233"	"18"	"7"	"8"	"5"	"8"	"31"	"76"	"20"	""	"105"	"15"	"681"	"-"	"681"	""	""
"217"	"195"	"181"	"9"	"89"	"1"	"4"	""	"120"	"11"	"8"	"3"	"4"	"6"	"11"	"25"	"8"	""	"15"	"4"	"318"	"-"	"318"	""	""
"218"	"196"	"182"	"7"	"78"	"5"	"11"	""	"101"	"9"	"6"	"7"	"9"	"13"	"27"	"126"	"17"	""	"83"	"21"	"520"	"-"	"520"	""	""
"219"	"197"	"183"	"15"	"58"	"1"	"2"	""	"57"	"0"	"1"	"1"	"1"	"3"	"3"	"7"	"7"	""	"229"	"11"	"396"	"-"	"396"	""	""
"220"	"198"	"183A"	"5"	"67"	"3"	"1"	""	"78"	"2"	"1"	"3"	"1"	"1"	"4"	"9"	"2"	""	"177"	"9"	"363"	"-"	"363"	""	""
"221"	"199"	"184"	"12"	"100"	"5"	"5"	""	"68"	"5"	"7"	"25"	"5"	"8"	"23"	"100"	"34"	""	"255"	"26"	"678"	"-"	"678"	""	""
"222"	"200"	"185"	"20"	"55"	"1"	"3"	""	"72"	"5"	"2"	"9"	"3"	"11"	"17"	"67"	"7"	""	"69"	"7"	"348"	"-"	"348"	""	""
"223"	"201"	"186"	"25"	"103"	"5"	"4"	""	"98"	"9"	"10"	"8"	"4"	"4"	"16"	"68"	"8"	""	"47"	"8"	"417"	"-"	"417"	""	""
"224"	"202"	"187"	"12"	"63"	"2"	"7"	""	"29"	"2"	"35"	"9"	"7"	"16"	"10"	"166"	"8"	""	"95"	"15"	"476"	"-"	"476"	""	""
"225"	"203"	"188"	"7"	"68"	"3"	"0"	""	"35"	"5"	"51"	"2"	"7"	"8"	"9"	"90"	"7"	""	"128"	"29"	"449"	"-"	"449"	""	""
"226"	"204"	"189"	"46"	"43"	"5"	"4"	""	"72"	"4"	"7"	"5"	"6"	"10"	"17"	"56"	"10"	""	"118"	"9"	"412"	"-"	"412"	""	""
"227"	"205"	"190"	"35"	"85"	"7"	"7"	""	"130"	"12"	"10"	"5"	"4"	"5"	"30"	"98"	"7"	""	"36"	"21"	"492"	"-"	"492"	""	""
"228"	"206"	"191"	"91"	"74"	"2"	"16"	""	"30"	"3"	"1"	"5"	"1"	"10"	"7"	"90"	"4"	""	"13"	"25"	"372"	"-"	"372"	""	""
"229"	"207"	"192"	"80"	"48"	"3"	"3"	""	"43"	"2"	"3"	"7"	"2"	"4"	"4"	"74"	"6"	""	"1"	"13"	"293"	"-"	"293"	""	""
"230"	"208"	"193"	"86"	"93"	"0"	"4"	""	"22"	"2"	"1"	"0"	"1"	"2"	"2"	"19"	"4"	""	"9"	"6"	"251"	"-"	"251"	""	""
"231"	"209"	"194"	"9"	"177"	"7"	"5"	""	"23"	"1"	"3"	"0"	"4"	"3"	"6"	"5"	"11"	""	"365"	"8"	"627"	"-"	"627"	""	""
"232"	"210"	"195"	"70"	"147"	"9"	"7"	""	"106"	"4"	"6"	"6"	"8"	"10"	"17"	"62"	"16"	""	"38"	"11"	"517"	"-"	"517"	""	""
"233"	"211"	"196"	"43"	"29"	"2"	"3"	""	"195"	"12"	"6"	"5"	"3"	"8"	"19"	"109"	"9"	""	"11"	"12"	"466"	"-"	"466"	""	""
"234"	"212"	"197"	"23"	"88"	"13"	"8"	""	"134"	"9"	"6"	"5"	"2"	"5"	"25"	"98"	"7"	""	"14"	"22"	"459"	"-"	"459"	""	""
"235"	"213"	"198"	"17"	"221"	"5"	"3"	""	"129"	"9"	"3"	"2"	"5"	"13"	"22"	"97"	"7"	""	"42"	"21"	"596"	"-"	"596"	""	""
"236"	"214"	"199"	"11"	"31"	"1"	"2"	""	"159"	"7"	"38"	"8"	"2"	"7"	"16"	"231"	"7"	""	"2"	"6"	"528"	"-"	"528"	""	""
"237"	"215"	"200"	"17"	"74"	"6"	"19"	""	"110"	"18"	"11"	"15"	"7"	"9"	"30"	"182"	"17"	""	"6"	"29"	"550"	"-"	"550"	""	""
"238"	"216"	"201"	"32"	"92"	"4"	"13"	""	"81"	"4"	"8"	"5"	"0"	"6"	"8"	"113"	"6"	""	"5"	"9"	"386"	"-"	"386"	""	""
"239"	"217"	"202"	"11"	"82"	"2"	"7"	""	"156"	"6"	"21"	"5"	"5"	"11"	"11"	"77"	"8"	""	"14"	"16"	"432"	"-"	"432"	""	""
"240"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"241"	""	""	"Abdul Hadi
Siddiqui"	"Ashraf Hussain"	"Md. Tarikul Islam"	"Narendra Ku mar
Jha"	""	"Lalit Ku mar Yadav"	"Badre Alam"	"Shanichri Devi"	"Ashok Ku mar"	"Ganeshi Sahu"	"Dr. Chaudhry Chandramani Nagendra"	"Dhu ruv Narayan Jha"	"Madan Ku mar Yadav"	"Vinod Ku mar Mahto"	""	"Shamshad Ahmad Khan"	"Sanjay Ku mar Jha"	""	""	""	""	""
"242"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	""
"243"	"218"	"203"	"23"	"92"	"3"	"11"	""	"30"	"3"	"16"	"7"	"0"	"4"	"4"	"48"	"4"	""	"6"	"7"	"258"	"-"	"258"	""	""
"244"	"219"	"204"	"11"	"92"	"6"	"5"	""	"133"	"2"	"12"	"7"	"1"	"3"	"2"	"22"	"3"	""	"5"	"8"	"312"	"-"	"312"	""	""
"245"	"220"	"205"	"6"	"66"	"0"	"0"	""	"134"	"2"	"3"	"6"	"1"	"6"	"16"	"40"	"7"	""	"13"	"7"	"307"	"-"	"307"	""	""
"246"	"221"	"206"	"14"	"174"	"4"	"19"	""	"104"	"7"	"4"	"14"	"3"	"20"	"16"	"48"	"18"	""	"24"	"15"	"484"	"-"	"484"	""	""
"247"	"222"	"207"	"13"	"194"	"3"	"19"	""	"107"	"4"	"4"	"5"	"7"	"26"	"25"	"163"	"12"	""	"18"	"23"	"623"	"-"	"623"	""	""
"248"	"223"	"208"	"13"	"91"	"9"	"53"	""	"91"	"6"	"10"	"17"	"7"	"13"	"18"	"236"	"13"	""	"15"	"26"	"618"	"-"	"618"	""	""
"249"	"224"	"209"	"19"	"141"	"8"	"29"	""	"54"	"4"	"3"	"5"	"4"	"18"	"15"	"96"	"19"	""	"21"	"27"	"463"	"-"	"463"	""	""
"250"	"225"	"210"	"9"	"161"	"6"	"18"	""	"108"	"10"	"7"	"14"	"10"	"9"	"8"	"77"	"20"	""	"22"	"29"	"508"	"-"	"508"	""	""
"251"	"226"	"211"	"9"	"126"	"6"	"3"	""	"19"	"3"	"1"	"5"	"1"	"2"	"5"	"7"	"5"	""	"12"	"4"	"208"	"-"	"208"	""	""
"252"	"227"	"212"	"17"	"167"	"4"	"13"	""	"26"	"3"	"2"	"2"	"3"	"11"	"3"	"25"	"6"	""	"8"	"14"	"304"	"-"	"304"	""	""
"253"	"228"	"213"	"15"	"82"	"0"	"7"	""	"212"	"14"	"9"	"2"	"3"	"5"	"12"	"20"	"7"	""	"2"	"4"	"394"	"-"	"394"	""	""
"254"	"229"	"214"	"9"	"116"	"2"	"10"	""	"81"	"3"	"1"	"0"	"1"	"10"	"4"	"18"	"8"	""	"7"	"8"	"278"	"-"	"278"	""	""
"255"	"230"	"215"	"6"	"259"	"2"	"0"	""	"22"	"2"	"0"	"1"	"2"	"2"	"1"	"11"	"5"	""	"7"	"13"	"333"	"-"	"333"	""	""
"256"	"231"	"216"	"16"	"259"	"7"	"63"	""	"93"	"1"	"5"	"4"	"3"	"13"	"5"	"13"	"5"	""	"14"	"10"	"511"	"-"	"511"	""	""
"257"	"232"	"217"	"27"	"267"	"9"	"17"	""	"195"	"7"	"13"	"5"	"2"	"11"	"10"	"55"	"14"	""	"13"	"8"	"653"	"-"	"653"	""	""
"258"	"233"	"218"	"26"	"334"	"14"	"3"	""	"95"	"3"	"6"	"4"	"3"	"8"	"13"	"36"	"7"	""	"21"	"4"	"577"	"-"	"577"	""	""
"259"	"234"	"219"	"16"	"366"	"15"	"4"	""	"16"	"4"	"1"	"4"	"2"	"4"	"5"	"15"	"8"	""	"36"	"16"	"512"	"-"	"512"	""	""
"260"	"235"	"220"	"23"	"114"	"6"	"39"	""	"276"	"10"	"9"	"11"	"6"	"15"	"14"	"182"	"4"	""	"12"	"14"	"735"	"-"	"735"	""	""
"261"	"236"	"221"	"27"	"39"	"6"	"8"	""	"317"	"22"	"26"	"11"	"14"	"9"	"34"	"187"	"11"	""	"11"	"18"	"740"	"-"	"740"	""	""
"262"	"Total No. of
votes recording at  polling
Stat ions"	""	"4240"	"26100"	"1685"	"3145"	""	"29776"	"1321"	"1604"	"2444"	"916"	"4245"	"2477"	"12485"	"1677"	""	"6965"	"2665"	"101745"	"-"	"101745"	""	""
"263"	"No. of votes recorded on postal ballot papers (To be
elect ion  from  an assembly
const ituency)"	""	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"-"	"0"	""	""
"264"	"Total Votes polled"	""	"4240"	"26100"	"1685"	"3145"	""	"29776"	"1321"	"1604"	"2444"	"916"	"4245"	"2477"	"12485"	"1677"	""	"6965"	"2665"	"101745"	"-"	"101745"	""	""
"265"	"Place :    DARBHANGA"	""	""	""	""	""	"Assistant  Ret urning Officer"	""	""	""	""	""	""	""	""	""	"Ret urning Officer"	""	""	""	""	""	""	""
"266"	"Date  :    24/ 11/ 2010"	""	""	""	""	""	"82 - Darbhanga Rural"	""	""	""	""	""	""	""	""	""	"82  - Darbhanga Rural"	""	""	""	""	""	""	""
