"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"119"	"96"	"27"	"17"	"456"	"7"	"6"	"168"	"17"	"3"	"5"	"2"	"2"	"2"	"2"	"4"	"18"	"6"	"5"	"1"	"24"	"0"	"3"	"1"	"0"	"2"	"778"
"120"	"97"	"18"	"2"	"449"	"12"	"2"	"152"	"13"	"0"	"1"	"0"	"3"	"0"	"6"	"3"	"34"	"4"	"8"	"6"	"16"	"5"	"3"	"7"	"2"	"3"	"749"
"121"	"98"	"29"	"13"	"499"	"9"	"7"	"67"	"6"	"0"	"4"	"2"	"4"	"4"	"1"	"10"	"13"	"4"	"5"	"5"	"9"	"4"	"5"	"3"	"0"	"1"	"704"
"122"	"99"	"4"	"14"	"254"	"2"	"3"	"107"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"3"	"28"	"4"	"4"	"1"	"13"	"3"	"13"	"0"	"2"	"4"	"479"
"123"	"99A"	"1"	"3"	"164"	"1"	"4"	"199"	"2"	"2"	"3"	"3"	"12"	"3"	"2"	"1"	"28"	"4"	"2"	"1"	"10"	"2"	"4"	"2"	"1"	"0"	"454"
"124"	"100"	"13"	"24"	"270"	"4"	"9"	"253"	"6"	"1"	"0"	"1"	"4"	"1"	"1"	"3"	"20"	"3"	"0"	"1"	"5"	"1"	"1"	"4"	"1"	"0"	"626"
"125"	"101"	"7"	"10"	"143"	"0"	"10"	"118"	"4"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"17"	"2"	"1"	"1"	"3"	"0"	"1"	"1"	"1"	"1"	"325"
"126"	"102"	"2"	"16"	"160"	"0"	"6"	"256"	"9"	"5"	"0"	"1"	"5"	"1"	"3"	"1"	"16"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"0"	"0"	"494"
"127"	"103"	"8"	"1"	"74"	"0"	"5"	"452"	"11"	"3"	"1"	"0"	"27"	"0"	"3"	"1"	"11"	"11"	"6"	"2"	"2"	"0"	"1"	"6"	"0"	"4"	"629"
"128"	"104"	"2"	"8"	"145"	"2"	"2"	"303"	"10"	"1"	"0"	"4"	"7"	"0"	"3"	"0"	"4"	"9"	"3"	"2"	"13"	"0"	"2"	"4"	"1"	"3"	"528"
"129"	"BOOTH NO"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"130"	""	"AMRIT GIRI"	"UJJAWALA SHAHI"	"NITYANAND ROY"	"NISHANT GANDHI"	"MAHENDRA RAI"	"RAJENDRA RAI"	"MD. ISTEYAQUE"	"KUMAR VISHVAJEET SINGH"	"KRANTI KUMAR"	"BABY"	"AWADHESH KUMAR SINGH"	"KRISHNA KUMAR THAKUR"	"TUNNA PASWAN"	"PREMNATH SINGH"	"MANOJ SHUKLA"	"MOTILAL SINHA KANAN"	"RATNESH KUMAR"	"RAVINDRA RAJAK"	"VIJAY KUMAR"	"VIDYA BHUSHAN"	"SHAHID JAMAL"	"SHIV RANJAN KUMAR"	"SATYANARAYAN RAI"	"SURESH PRASAD YADAV"	""
"131"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"132"	"105"	"5"	"13"	"230"	"3"	"4"	"137"	"6"	"0"	"3"	"2"	"2"	"1"	"0"	"3"	"11"	"2"	"3"	"2"	"5"	"1"	"2"	"2"	"0"	"1"	"438"
"133"	"106"	"4"	"15"	"251"	"3"	"0"	"72"	"4"	"0"	"1"	"2"	"1"	"0"	"0"	"2"	"26"	"5"	"0"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"397"
"134"	"107"	"6"	"3"	"259"	"6"	"6"	"173"	"5"	"2"	"3"	"3"	"2"	"3"	"2"	"5"	"10"	"17"	"2"	"2"	"11"	"2"	"2"	"3"	"1"	"1"	"529"
"135"	"108"	"6"	"3"	"153"	"3"	"8"	"42"	"1"	"2"	"0"	"2"	"1"	"0"	"2"	"4"	"11"	"5"	"0"	"0"	"3"	"3"	"1"	"0"	"1"	"0"	"251"
"136"	"109"	"8"	"10"	"373"	"7"	"1"	"66"	"5"	"2"	"1"	"0"	"2"	"0"	"2"	"4"	"21"	"2"	"2"	"4"	"14"	"4"	"5"	"2"	"2"	"2"	"539"
"137"	"110"	"2"	"7"	"250"	"1"	"0"	"22"	"2"	"1"	"1"	"0"	"3"	"3"	"3"	"5"	"42"	"7"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"356"
"138"	"111"	"8"	"11"	"478"	"15"	"5"	"103"	"5"	"1"	"8"	"1"	"5"	"5"	"6"	"14"	"19"	"8"	"5"	"2"	"26"	"8"	"5"	"6"	"1"	"6"	"751"
"139"	"112"	"7"	"3"	"201"	"4"	"4"	"438"	"15"	"3"	"4"	"3"	"19"	"5"	"7"	"6"	"44"	"6"	"0"	"0"	"9"	"0"	"3"	"4"	"0"	"1"	"786"
"140"	"113"	"10"	"7"	"246"	"5"	"21"	"389"	"8"	"3"	"6"	"5"	"15"	"5"	"12"	"10"	"14"	"23"	"9"	"3"	"23"	"5"	"4"	"25"	"7"	"15"	"870"
"141"	"114"	"5"	"12"	"337"	"4"	"2"	"222"	"5"	"0"	"4"	"2"	"6"	"2"	"1"	"1"	"23"	"5"	"6"	"7"	"20"	"3"	"10"	"10"	"5"	"4"	"696"
"142"	"115"	"14"	"10"	"401"	"4"	"5"	"137"	"6"	"2"	"1"	"0"	"0"	"1"	"3"	"3"	"14"	"3"	"1"	"7"	"7"	"4"	"3"	"0"	"0"	"1"	"627"
"143"	"116"	"17"	"7"	"436"	"10"	"2"	"59"	"4"	"1"	"4"	"2"	"2"	"1"	"3"	"2"	"7"	"4"	"15"	"10"	"24"	"15"	"3"	"10"	"1"	"4"	"643"
"144"	"117"	"17"	"9"	"307"	"5"	"0"	"112"	"8"	"4"	"0"	"7"	"4"	"2"	"7"	"4"	"6"	"2"	"4"	"4"	"6"	"2"	"0"	"0"	"1"	"3"	"514"
"145"	"118"	"8"	"2"	"341"	"5"	"47"	"146"	"3"	"1"	"0"	"0"	"3"	"0"	"3"	"3"	"8"	"1"	"0"	"1"	"2"	"2"	"0"	"1"	"0"	"0"	"577"
"146"	"119"	"4"	"6"	"224"	"1"	"39"	"166"	"7"	"4"	"0"	"1"	"3"	"0"	"1"	"1"	"13"	"1"	"0"	"1"	"3"	"1"	"2"	"2"	"0"	"0"	"480"
"147"	"120"	"12"	"10"	"295"	"4"	"15"	"293"	"24"	"3"	"1"	"4"	"3"	"2"	"3"	"3"	"9"	"3"	"3"	"3"	"7"	"2"	"26"	"2"	"1"	"1"	"729"
"148"	"121"	"16"	"3"	"216"	"4"	"258"	"85"	"3"	"0"	"1"	"0"	"0"	"9"	"5"	"3"	"8"	"4"	"1"	"0"	"1"	"0"	"3"	"1"	"1"	"1"	"623"
"149"	"122"	"0"	"2"	"114"	"1"	"8"	"199"	"7"	"2"	"1"	"2"	"3"	"1"	"5"	"1"	"20"	"4"	"3"	"2"	"9"	"3"	"0"	"4"	"5"	"3"	"399"
"150"	"122A"	"4"	"9"	"226"	"4"	"6"	"166"	"4"	"4"	"2"	"4"	"4"	"1"	"0"	"2"	"18"	"6"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"465"
"151"	"123"	"4"	"13"	"226"	"4"	"10"	"213"	"11"	"1"	"4"	"1"	"0"	"1"	"4"	"5"	"6"	"3"	"2"	"3"	"8"	"5"	"3"	"4"	"2"	"3"	"536"
"152"	"124"	"3"	"2"	"288"	"8"	"2"	"75"	"1"	"0"	"0"	"1"	"2"	"0"	"2"	"5"	"8"	"3"	"2"	"0"	"9"	"2"	"0"	"1"	"2"	"1"	"417"
"153"	"125"	"21"	"4"	"343"	"5"	"10"	"270"	"12"	"5"	"3"	"3"	"5"	"4"	"5"	"6"	"3"	"10"	"5"	"3"	"10"	"4"	"1"	"4"	"1"	"3"	"740"
"154"	"126"	"14"	"8"	"251"	"4"	"8"	"273"	"18"	"4"	"5"	"0"	"8"	"4"	"7"	"7"	"46"	"5"	"4"	"10"	"9"	"4"	"9"	"7"	"4"	"3"	"712"
"155"	"127"	"7"	"7"	"407"	"9"	"4"	"141"	"5"	"3"	"4"	"7"	"10"	"2"	"4"	"7"	"167"	"19"	"2"	"2"	"2"	"5"	"4"	"2"	"2"	"2"	"824"
"156"	"BOOTH NO"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"157"	""	"AMRIT GIRI"	"UJJAWALA SHAHI"	"NITYANAND ROY"	"NISHANT GANDHI"	"MAHENDRA RAI"	"RAJENDRA RAI"	"MD. ISTEYAQUE"	"KUMAR VISHVAJEET SINGH"	"KRANTI KUMAR"	"BABY"	"AWADHESH KUMAR SINGH"	"KRISHNA KUMAR THAKUR"	"TUNNA PASWAN"	"PREMNATH SINGH"	"MANOJ SHUKLA"	"MOTILAL SINHA KANAN"	"RATNESH KUMAR"	"RAVINDRA RAJAK"	"VIJAY KUMAR"	"VIDYA BHUSHAN"	"SHAHID JAMAL"	"SHIV RANJAN KUMAR"	"SATYANARAYAN RAI"	"SURESH PRASAD YADAV"	""
"158"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"159"	"128"	"5"	"10"	"178"	"6"	"7"	"330"	"12"	"3"	"5"	"3"	"3"	"3"	"1"	"6"	"11"	"4"	"1"	"3"	"3"	"2"	"5"	"1"	"1"	"1"	"604"
"160"	"129"	"12"	"4"	"205"	"6"	"10"	"402"	"7"	"8"	"6"	"6"	"15"	"8"	"8"	"12"	"30"	"17"	"5"	"1"	"5"	"1"	"1"	"2"	"3"	"2"	"776"
"161"	"130"	"20"	"5"	"523"	"12"	"9"	"134"	"9"	"3"	"4"	"1"	"3"	"0"	"0"	"6"	"13"	"9"	"4"	"3"	"8"	"2"	"3"	"4"	"5"	"1"	"781"
"162"	"131"	"24"	"3"	"244"	"7"	"4"	"202"	"11"	"7"	"1"	"4"	"4"	"3"	"5"	"3"	"10"	"8"	"4"	"3"	"4"	"4"	"1"	"9"	"21"	"1"	"587"
"163"	"132"	"15"	"5"	"213"	"2"	"1"	"226"	"5"	"0"	"3"	"0"	"5"	"0"	"2"	"5"	"29"	"5"	"9"	"6"	"27"	"3"	"8"	"7"	"4"	"4"	"584"
"164"	"133"	"5"	"3"	"168"	"4"	"6"	"312"	"11"	"1"	"6"	"3"	"11"	"7"	"11"	"4"	"30"	"11"	"3"	"1"	"5"	"0"	"2"	"2"	"0"	"1"	"607"
"165"	"134"	"7"	"3"	"193"	"2"	"2"	"211"	"14"	"1"	"7"	"4"	"15"	"6"	"3"	"9"	"78"	"14"	"3"	"4"	"9"	"2"	"3"	"4"	"2"	"4"	"600"
"166"	"135"	"23"	"5"	"216"	"3"	"23"	"164"	"14"	"3"	"4"	"2"	"4"	"3"	"5"	"3"	"17"	"6"	"5"	"4"	"3"	"4"	"3"	"1"	"0"	"1"	"516"
"167"	"135A"	"6"	"7"	"174"	"3"	"2"	"61"	"2"	"0"	"2"	"0"	"2"	"0"	"2"	"1"	"35"	"6"	"0"	"7"	"3"	"2"	"1"	"0"	"1"	"0"	"317"
"168"	"136"	"9"	"6"	"178"	"7"	"4"	"174"	"7"	"0"	"0"	"2"	"4"	"3"	"0"	"1"	"29"	"9"	"2"	"7"	"11"	"1"	"3"	"4"	"1"	"3"	"465"
"169"	"137"	"9"	"4"	"225"	"4"	"4"	"252"	"6"	"6"	"3"	"1"	"8"	"4"	"4"	"3"	"11"	"15"	"4"	"3"	"14"	"3"	"0"	"11"	"2"	"8"	"604"
"170"	"138"	"12"	"4"	"286"	"7"	"4"	"128"	"7"	"2"	"0"	"1"	"9"	"1"	"2"	"5"	"44"	"9"	"1"	"1"	"18"	"1"	"0"	"4"	"1"	"7"	"554"
"171"	"139"	"6"	"2"	"317"	"2"	"4"	"103"	"2"	"1"	"2"	"1"	"4"	"3"	"4"	"8"	"16"	"10"	"3"	"1"	"8"	"3"	"0"	"0"	"1"	"4"	"505"
"172"	"140"	"27"	"6"	"176"	"5"	"4"	"297"	"17"	"5"	"6"	"4"	"14"	"3"	"10"	"5"	"74"	"48"	"24"	"15"	"41"	"6"	"2"	"11"	"6"	"7"	"813"
"173"	"141"	"15"	"3"	"208"	"6"	"1"	"48"	"5"	"1"	"2"	"1"	"3"	"0"	"1"	"6"	"35"	"107"	"1"	"2"	"4"	"0"	"3"	"1"	"0"	"4"	"457"
"174"	"142"	"4"	"2"	"148"	"0"	"8"	"59"	"6"	"0"	"1"	"2"	"2"	"0"	"0"	"2"	"22"	"238"	"2"	"1"	"3"	"3"	"2"	"1"	"0"	"0"	"506"
"175"	"143"	"7"	"9"	"480"	"14"	"8"	"169"	"12"	"5"	"1"	"4"	"9"	"4"	"5"	"10"	"21"	"44"	"1"	"2"	"15"	"3"	"7"	"8"	"2"	"10"	"850"
"176"	"144"	"4"	"6"	"213"	"8"	"17"	"265"	"7"	"2"	"1"	"1"	"8"	"5"	"6"	"15"	"12"	"19"	"1"	"1"	"9"	"4"	"7"	"9"	"3"	"3"	"626"
"177"	"145"	"11"	"9"	"135"	"3"	"4"	"150"	"10"	"2"	"3"	"2"	"12"	"0"	"6"	"1"	"82"	"10"	"6"	"3"	"5"	"3"	"1"	"2"	"3"	"6"	"469"
"178"	"145A"	"9"	"4"	"158"	"2"	"1"	"81"	"7"	"0"	"4"	"0"	"3"	"0"	"1"	"3"	"43"	"15"	"5"	"4"	"6"	"1"	"1"	"2"	"1"	"6"	"357"
"179"	"146"	"5"	"1"	"73"	"3"	"5"	"205"	"7"	"2"	"7"	"3"	"15"	"2"	"11"	"9"	"22"	"16"	"0"	"1"	"5"	"0"	"1"	"3"	"0"	"3"	"399"
"180"	"147"	"4"	"7"	"215"	"6"	"5"	"87"	"8"	"2"	"5"	"3"	"15"	"1"	"5"	"6"	"63"	"61"	"5"	"4"	"10"	"2"	"6"	"2"	"3"	"6"	"531"
"181"	"148"	"8"	"7"	"168"	"2"	"5"	"70"	"4"	"0"	"3"	"0"	"15"	"0"	"7"	"1"	"47"	"18"	"0"	"3"	"3"	"0"	"2"	"2"	"0"	"1"	"366"
"182"	"149"	"12"	"11"	"205"	"9"	"3"	"99"	"10"	"2"	"21"	"5"	"13"	"5"	"2"	"12"	"91"	"21"	"1"	"3"	"17"	"1"	"2"	"5"	"2"	"6"	"558"
"183"	"BOOTH NO"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"184"	""	"AMRIT GIRI"	"UJJAWALA SHAHI"	"NITYANAND ROY"	"NISHANT GANDHI"	"MAHENDRA RAI"	"RAJENDRA RAI"	"MD. ISTEYAQUE"	"KUMAR VISHVAJEET SINGH"	"KRANTI KUMAR"	"BABY"	"AWADHESH KUMAR SINGH"	"KRISHNA KUMAR THAKUR"	"TUNNA PASWAN"	"PREMNATH SINGH"	"MANOJ SHUKLA"	"MOTILAL SINHA KANAN"	"RATNESH KUMAR"	"RAVINDRA RAJAK"	"VIJAY KUMAR"	"VIDYA BHUSHAN"	"SHAHID JAMAL"	"SHIV RANJAN KUMAR"	"SATYANARAYAN RAI"	"SURESH PRASAD YADAV"	""
"185"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"186"	"150"	"13"	"19"	"280"	"4"	"2"	"234"	"15"	"3"	"5"	"7"	"28"	"6"	"7"	"29"	"87"	"25"	"5"	"3"	"15"	"3"	"1"	"4"	"8"	"9"	"812"
"187"	"151"	"10"	"7"	"399"	"6"	"5"	"122"	"10"	"1"	"2"	"3"	"7"	"2"	"9"	"13"	"79"	"6"	"4"	"3"	"11"	"1"	"3"	"1"	"3"	"8"	"715"
"188"	"152"	"7"	"1"	"180"	"2"	"2"	"135"	"5"	"0"	"1"	"1"	"4"	"0"	"0"	"1"	"50"	"19"	"3"	"2"	"8"	"0"	"1"	"1"	"1"	"1"	"425"
"189"	"153"	"4"	"1"	"148"	"5"	"3"	"175"	"5"	"5"	"2"	"5"	"12"	"2"	"4"	"7"	"67"	"20"	"1"	"4"	"6"	"1"	"3"	"1"	"0"	"0"	"481"
"190"	"154"	"13"	"6"	"165"	"5"	"17"	"96"	"6"	"4"	"0"	"1"	"7"	"0"	"2"	"4"	"127"	"7"	"6"	"8"	"16"	"5"	"3"	"5"	"3"	"2"	"508"
"191"	"155"	"1"	"15"	"79"	"3"	"4"	"167"	"7"	"2"	"1"	"2"	"12"	"3"	"1"	"8"	"58"	"20"	"4"	"2"	"5"	"2"	"3"	"7"	"3"	"4"	"413"
"192"	"156"	"5"	"12"	"159"	"0"	"2"	"154"	"2"	"1"	"1"	"0"	"7"	"0"	"3"	"3"	"86"	"5"	"2"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"447"
"193"	"157"	"4"	"4"	"156"	"4"	"1"	"8"	"5"	"1"	"2"	"1"	"2"	"1"	"5"	"16"	"179"	"12"	"2"	"1"	"14"	"4"	"1"	"0"	"4"	"0"	"427"
"194"	"158"	"10"	"2"	"210"	"5"	"2"	"185"	"4"	"0"	"1"	"0"	"4"	"0"	"1"	"6"	"23"	"7"	"7"	"5"	"15"	"0"	"8"	"9"	"2"	"7"	"513"
"195"	"159"	"13"	"1"	"460"	"15"	"8"	"286"	"14"	"4"	"4"	"1"	"5"	"0"	"4"	"5"	"24"	"4"	"6"	"2"	"6"	"1"	"0"	"6"	"1"	"0"	"870"
"196"	"160"	"14"	"9"	"243"	"7"	"16"	"183"	"5"	"3"	"16"	"5"	"14"	"1"	"11"	"15"	"213"	"26"	"21"	"23"	"21"	"7"	"4"	"12"	"6"	"12"	"887"
"197"	"161"	"18"	"2"	"279"	"8"	"23"	"189"	"10"	"1"	"2"	"4"	"3"	"1"	"2"	"4"	"32"	"2"	"2"	"3"	"7"	"0"	"1"	"1"	"3"	"0"	"597"
"198"	"162"	"13"	"6"	"213"	"9"	"29"	"166"	"11"	"2"	"2"	"1"	"5"	"2"	"0"	"1"	"31"	"8"	"2"	"2"	"11"	"3"	"1"	"0"	"0"	"3"	"521"
"199"	"163"	"16"	"12"	"378"	"9"	"7"	"45"	"3"	"2"	"6"	"1"	"3"	"0"	"5"	"4"	"98"	"4"	"1"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"600"
"200"	"164"	"1"	"2"	"166"	"5"	"10"	"139"	"5"	"11"	"2"	"1"	"2"	"1"	"3"	"8"	"8"	"6"	"4"	"2"	"11"	"1"	"1"	"3"	"0"	"2"	"394"
"201"	"165"	"7"	"20"	"73"	"2"	"11"	"155"	"8"	"0"	"1"	"1"	"8"	"1"	"5"	"2"	"153"	"2"	"10"	"15"	"8"	"4"	"0"	"3"	"2"	"5"	"496"
"202"	"166"	"8"	"4"	"256"	"8"	"11"	"93"	"6"	"2"	"1"	"1"	"3"	"0"	"2"	"2"	"42"	"3"	"3"	"4"	"21"	"0"	"1"	"2"	"2"	"5"	"480"
"203"	"166A"	"11"	"6"	"115"	"5"	"18"	"139"	"12"	"4"	"6"	"3"	"4"	"1"	"2"	"6"	"18"	"6"	"11"	"4"	"9"	"3"	"1"	"5"	"3"	"6"	"398"
"204"	"167"	"8"	"18"	"282"	"10"	"12"	"145"	"10"	"2"	"3"	"7"	"14"	"1"	"8"	"12"	"189"	"17"	"1"	"2"	"3"	"1"	"0"	"5"	"1"	"0"	"751"
"205"	"168"	"23"	"13"	"374"	"8"	"11"	"242"	"13"	"3"	"8"	"1"	"21"	"1"	"3"	"8"	"82"	"12"	"8"	"11"	"11"	"9"	"2"	"9"	"2"	"4"	"879"
"206"	"169"	"12"	"4"	"221"	"1"	"15"	"195"	"5"	"1"	"0"	"0"	"1"	"0"	"1"	"5"	"4"	"4"	"5"	"2"	"4"	"1"	"2"	"0"	"1"	"0"	"484"
"207"	"169A"	"8"	"6"	"189"	"3"	"9"	"156"	"8"	"1"	"2"	"1"	"6"	"2"	"3"	"8"	"24"	"16"	"5"	"2"	"11"	"3"	"3"	"0"	"2"	"6"	"474"
"208"	"170"	"4"	"3"	"242"	"7"	"1"	"122"	"7"	"3"	"2"	"5"	"12"	"3"	"10"	"18"	"11"	"38"	"0"	"1"	"7"	"0"	"1"	"2"	"0"	"3"	"502"
"209"	"171"	"3"	"15"	"149"	"4"	"7"	"408"	"20"	"8"	"9"	"5"	"15"	"2"	"8"	"5"	"17"	"12"	"3"	"5"	"17"	"3"	"5"	"15"	"2"	"6"	"743"
"210"	"BOOTH NO"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
"211"	""	"AMRIT GIRI"	"UJJAWALA SHAHI"	"NITYANAND ROY"	"NISHANT GANDHI"	"MAHENDRA RAI"	"RAJENDRA RAI"	"MD. ISTEYAQUE"	"KUMAR VISHVAJEET SINGH"	"KRANTI KUMAR"	"BABY"	"AWADHESH KUMAR SINGH"	"KRISHNA KUMAR THAKUR"	"TUNNA PASWAN"	"PREMNATH SINGH"	"MANOJ SHUKLA"	"MOTILAL SINHA KANAN"	"RATNESH KUMAR"	"RAVINDRA RAJAK"	"VIJAY KUMAR"	"VIDYA BHUSHAN"	"SHAHID JAMAL"	"SHIV RANJAN KUMAR"	"SATYANARAYAN RAI"	"SURESH PRASAD YADAV"	""
"212"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"213"	"172"	"5"	"6"	"209"	"3"	"1"	"135"	"2"	"2"	"3"	"4"	"6"	"1"	"3"	"14"	"73"	"9"	"1"	"2"	"7"	"0"	"1"	"3"	"1"	"1"	"492"
"214"	"173"	"9"	"27"	"233"	"7"	"2"	"42"	"4"	"0"	"2"	"1"	"4"	"4"	"0"	"7"	"141"	"11"	"2"	"5"	"5"	"1"	"3"	"3"	"0"	"1"	"514"
"215"	"174"	"28"	"12"	"423"	"3"	"6"	"146"	"9"	"3"	"2"	"1"	"2"	"4"	"6"	"14"	"47"	"9"	"11"	"5"	"30"	"3"	"4"	"9"	"6"	"13"	"796"
"216"	"175"	"1"	"0"	"27"	"0"	"6"	"587"	"4"	"1"	"1"	"0"	"3"	"0"	"39"	"1"	"18"	"6"	"5"	"13"	"14"	"2"	"1"	"10"	"0"	"3"	"742"
"217"	"176"	"6"	"0"	"141"	"4"	"4"	"324"	"9"	"1"	"0"	"0"	"1"	"0"	"11"	"2"	"5"	"3"	"2"	"5"	"14"	"2"	"2"	"5"	"2"	"2"	"545"
"218"	"177"	"11"	"10"	"418"	"12"	"12"	"167"	"7"	"1"	"6"	"1"	"7"	"2"	"7"	"9"	"14"	"12"	"1"	"1"	"7"	"2"	"2"	"1"	"1"	"6"	"717"
"219"	"178"	"8"	"3"	"208"	"7"	"3"	"83"	"2"	"1"	"1"	"1"	"5"	"0"	"0"	"8"	"5"	"5"	"1"	"1"	"3"	"0"	"0"	"4"	"1"	"1"	"351"
"220"	"179"	"6"	"0"	"56"	"2"	"0"	"184"	"10"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"3"	"9"	"2"	"3"	"4"	"0"	"7"	"2"	"4"	"3"	"298"
"221"	"180"	"18"	"8"	"416"	"11"	"5"	"132"	"5"	"2"	"2"	"3"	"3"	"5"	"7"	"11"	"8"	"8"	"7"	"8"	"26"	"8"	"4"	"9"	"4"	"8"	"718"
"222"	"181"	"17"	"11"	"365"	"8"	"4"	"80"	"9"	"1"	"6"	"2"	"2"	"2"	"2"	"11"	"10"	"5"	"14"	"1"	"20"	"8"	"8"	"9"	"2"	"9"	"606"
"223"	"182"	"2"	"2"	"365"	"5"	"1"	"51"	"4"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"4"	"1"	"0"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"445"
"224"	"183"	"10"	"3"	"455"	"14"	"5"	"49"	"4"	"2"	"4"	"2"	"4"	"0"	"4"	"6"	"4"	"9"	"2"	"2"	"4"	"1"	"0"	"0"	"2"	"0"	"586"
"225"	"184"	"5"	"3"	"186"	"10"	"32"	"52"	"2"	"3"	"3"	"0"	"1"	"3"	"4"	"11"	"13"	"22"	"3"	"0"	"9"	"0"	"3"	"1"	"0"	"2"	"368"
"226"	"185"	"4"	"0"	"379"	"2"	"9"	"55"	"11"	"1"	"1"	"2"	"4"	"1"	"4"	"3"	"2"	"6"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"488"
"227"	"186"	"13"	"8"	"218"	"6"	"9"	"214"	"5"	"2"	"2"	"3"	"7"	"3"	"2"	"0"	"6"	"11"	"7"	"11"	"13"	"4"	"2"	"5"	"0"	"3"	"554"
"228"	"187"	"15"	"9"	"188"	"7"	"5"	"192"	"13"	"6"	"4"	"0"	"7"	"1"	"1"	"2"	"7"	"6"	"3"	"1"	"5"	"0"	"3"	"2"	"2"	"6"	"485"
"229"	"188"	"19"	"8"	"445"	"16"	"6"	"134"	"14"	"4"	"3"	"0"	"2"	"2"	"6"	"5"	"38"	"9"	"12"	"1"	"11"	"3"	"0"	"3"	"0"	"5"	"746"
"230"	"189"	"9"	"7"	"178"	"10"	"13"	"279"	"16"	"1"	"4"	"5"	"15"	"4"	"3"	"3"	"21"	"12"	"5"	"2"	"11"	"1"	"3"	"11"	"4"	"11"	"628"
"231"	"190"	"9"	"31"	"383"	"3"	"7"	"148"	"11"	"4"	"6"	"3"	"5"	"1"	"12"	"9"	"27"	"6"	"1"	"4"	"20"	"10"	"2"	"2"	"4"	"10"	"718"
"232"	"191"	"11"	"2"	"161"	"3"	"8"	"192"	"17"	"0"	"0"	"3"	"4"	"0"	"5"	"0"	"6"	"28"	"2"	"4"	"20"	"4"	"4"	"11"	"5"	"7"	"497"
"233"	"191A"	"8"	"3"	"129"	"5"	"5"	"148"	"10"	"1"	"1"	"1"	"8"	"2"	"2"	"4"	"6"	"38"	"1"	"1"	"6"	"1"	"1"	"3"	"2"	"3"	"389"
"234"	"192"	"7"	"2"	"117"	"6"	"3"	"298"	"8"	"3"	"2"	"3"	"5"	"1"	"6"	"3"	"14"	"13"	"1"	"10"	"7"	"1"	"1"	"3"	"1"	"1"	"516"
"235"	"192A"	"7"	"4"	"135"	"2"	"3"	"195"	"5"	"2"	"1"	"1"	"4"	"1"	"0"	"2"	"12"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"380"
"236"	"193"	"6"	"10"	"145"	"2"	"4"	"180"	"3"	"2"	"1"	"1"	"9"	"1"	"3"	"0"	"25"	"16"	"9"	"15"	"20"	"7"	"2"	"3"	"3"	"6"	"473"
"237"	"BOOTH NO"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL VALID VOTES"
