"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X241638.97.241735.37.Rajnagar..SC."	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"201"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"202"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"203"	"B.F."	"9317"	"22625"	"23401"	"1327"	"1790"	"740"	"752"	"1280"	"1215"	"1623"	"64070"	"0"	"64070"	""	"0"
"204"	"122"	"74"	"117"	"50"	"1"	"0"	"0"	"3"	"2"	"8"	"5"	"260"	""	"260"	""	""
"205"	"123"	"175"	"99"	"159"	"10"	"4"	"4"	"7"	"8"	"5"	"11"	"482"	""	"482"	""	""
"206"	"124"	"42"	"289"	"27"	"10"	"6"	"8"	"10"	"3"	"14"	"8"	"417"	""	"417"	""	""
"207"	"125"	"57"	"122"	"234"	"15"	"13"	"10"	"5"	"6"	"17"	"15"	"494"	""	"494"	""	""
"208"	"126"	"28"	"390"	"126"	"11"	"5"	"10"	"15"	"16"	"33"	"36"	"670"	""	"670"	""	""
"209"	"127"	"22"	"166"	"203"	"13"	"10"	"13"	"12"	"14"	"10"	"17"	"480"	""	"480"	""	""
"210"	"128"	"49"	"144"	"140"	"9"	"6"	"5"	"3"	"4"	"7"	"72"	"439"	""	"439"	""	""
"211"	"129"	"42"	"140"	"52"	"5"	"5"	"2"	"6"	"11"	"3"	"14"	"280"	""	"280"	""	""
"212"	"130"	"23"	"54"	"195"	"7"	"10"	"2"	"6"	"7"	"9"	"32"	"345"	""	"345"	""	""
"213"	"131"	"53"	"69"	"109"	"5"	"10"	"7"	"14"	"12"	"13"	"25"	"317"	""	"317"	""	""
"214"	"132"	"51"	"53"	"245"	"13"	"5"	"2"	"6"	"12"	"7"	"16"	"410"	""	"410"	""	""
"215"	"133"	"9"	"10"	"116"	"3"	"2"	"1"	"1"	"1"	"3"	"1"	"147"	""	"147"	""	""
"216"	"134"	"19"	"62"	"143"	"14"	"6"	"1"	"2"	"5"	"2"	"3"	"257"	""	"257"	""	""
"217"	"135"	"31"	"139"	"218"	"21"	"3"	"5"	"7"	"12"	"9"	"12"	"457"	""	"457"	""	""
"218"	"Total -11"	"675"	"1854"	"2017"	"137"	"85"	"70"	"97"	"113"	"140"	"267"	"5455"	"0"	"5455"	""	"0"
"219"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"220"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"221"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"222"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"223"	"B.F."	"9992"	"24479"	"25418"	"1464"	"1875"	"810"	"849"	"1393"	"1355"	"1890"	"69525"	"0"	"69525"	""	"0"
"224"	"136"	"33"	"259"	"140"	"17"	"3"	"4"	"4"	"12"	"22"	"16"	"510"	""	"510"	""	""
"225"	"137"	"52"	"386"	"32"	"16"	"5"	"8"	"4"	"12"	"30"	"34"	"579"	""	"579"	""	""
"226"	"138"	"5"	"179"	"43"	"4"	"2"	"2"	"2"	"4"	"11"	"3"	"255"	""	"255"	""	""
"227"	"139"	"50"	"138"	"9"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"202"	""	"202"	""	""
"228"	"140"	"86"	"156"	"60"	"7"	"2"	"2"	"3"	"3"	"6"	"7"	"332"	""	"332"	""	""
"229"	"141"	"56"	"256"	"110"	"17"	"4"	"1"	"9"	"13"	"20"	"37"	"523"	""	"523"	""	""
"230"	"142"	"38"	"131"	"266"	"15"	"1"	"2"	"1"	"4"	"12"	"20"	"490"	""	"490"	""	""
"231"	"143"	"44"	"195"	"239"	"6"	"2"	"3"	"5"	"16"	"9"	"8"	"527"	""	"527"	""	""
"232"	"144"	"0"	"121"	"50"	"7"	"2"	"3"	"6"	"3"	"10"	"11"	"213"	""	"213"	""	""
"233"	"145"	"33"	"122"	"152"	"22"	"7"	"5"	"8"	"4"	"9"	"11"	"373"	""	"373"	""	""
"234"	"145A"	"32"	"118"	"205"	"9"	"2"	"0"	"8"	"3"	"7"	"5"	"389"	""	"389"	""	""
"235"	"146"	"20"	"139"	"231"	"5"	"3"	"2"	"2"	"1"	"7"	"3"	"413"	""	"413"	""	""
"236"	"147"	"24"	"234"	"213"	"15"	"5"	"6"	"3"	"7"	"5"	"8"	"520"	""	"520"	""	""
"237"	"148"	"83"	"284"	"173"	"18"	"7"	"3"	"10"	"14"	"22"	"32"	"646"	""	"646"	""	""
"238"	"Total -12"	"556"	"2718"	"1923"	"159"	"45"	"42"	"65"	"96"	"170"	"198"	"5972"	"0"	"5972"	""	"0"
"239"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"240"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"241"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"242"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"243"	"B.F."	"10548"	"27197"	"27341"	"1623"	"1920"	"852"	"914"	"1489"	"1525"	"2088"	"75497"	"0"	"75497"	""	"0"
"244"	"149"	"24"	"308"	"102"	"85"	"7"	"7"	"9"	"8"	"8"	"14"	"572"	""	"572"	""	""
"245"	"150"	"31"	"176"	"198"	"22"	"4"	"4"	"2"	"6"	"8"	"5"	"456"	""	"456"	""	""
"246"	"151"	"32"	"159"	"21"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"216"	""	"216"	""	""
"247"	"152"	"38"	"243"	"363"	"24"	"3"	"9"	"5"	"11"	"10"	"23"	"729"	""	"729"	""	""
"248"	"153"	"24"	"112"	"191"	"9"	"3"	"1"	"2"	"6"	"6"	"5"	"359"	""	"359"	""	""
"249"	"154"	"41"	"191"	"72"	"3"	"0"	"3"	"3"	"6"	"7"	"7"	"333"	""	"333"	""	""
"250"	"155"	"42"	"227"	"147"	"9"	"5"	"11"	"8"	"12"	"19"	"28"	"508"	""	"508"	""	""
"251"	"156"	"18"	"386"	"251"	"13"	"3"	"5"	"4"	"11"	"13"	"14"	"718"	""	"718"	""	""
"252"	"157"	"24"	"205"	"180"	"10"	"4"	"7"	"3"	"9"	"9"	"8"	"459"	""	"459"	""	""
"253"	"158"	"28"	"252"	"323"	"19"	"6"	"3"	"8"	"9"	"8"	"9"	"665"	""	"665"	""	""
"254"	"159"	"61"	"48"	"441"	"19"	"1"	"2"	"5"	"20"	"7"	"6"	"610"	""	"610"	""	""
"255"	"160"	"15"	"248"	"309"	"6"	"5"	"1"	"5"	"6"	"8"	"3"	"606"	""	"606"	""	""
"256"	"161"	"11"	"72"	"111"	"4"	"3"	"0"	"0"	"4"	"3"	"5"	"213"	""	"213"	""	""
"257"	"162"	"51"	"105"	"321"	"18"	"6"	"7"	"5"	"60"	"4"	"24"	"601"	""	"601"	""	""
"258"	"Total -13"	"440"	"2732"	"3030"	"241"	"50"	"61"	"59"	"169"	"111"	"152"	"7045"	"0"	"7045"	""	"0"
"259"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"260"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"261"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"262"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"263"	"B.F."	"10988"	"29929"	"30371"	"1864"	"1970"	"913"	"973"	"1658"	"1636"	"2240"	"82542"	"0"	"82542"	""	"0"
"264"	"163"	"32"	"43"	"224"	"21"	"2"	"4"	"6"	"15"	"9"	"12"	"368"	""	"368"	""	""
"265"	"164"	"23"	"357"	"181"	"10"	"5"	"1"	"5"	"9"	"9"	"21"	"621"	""	"621"	""	""
"266"	"165"	"64"	"207"	"91"	"6"	"3"	"3"	"3"	"0"	"5"	"4"	"386"	""	"386"	""	""
"267"	"166"	"125"	"118"	"159"	"3"	"4"	"4"	"4"	"2"	"2"	"2"	"423"	""	"423"	""	""
"268"	"167"	"139"	"59"	"83"	"5"	"1"	"1"	"0"	"1"	"2"	"2"	"293"	""	"293"	""	""
"269"	"168"	"13"	"172"	"96"	"1"	"3"	"4"	"4"	"4"	"6"	"3"	"306"	""	"306"	""	""
"270"	"169"	"14"	"458"	"52"	"15"	"4"	"2"	"2"	"12"	"25"	"23"	"607"	""	"607"	""	""
"271"	"170"	"15"	"262"	"110"	"8"	"1"	"5"	"3"	"5"	"4"	"8"	"421"	""	"421"	""	""
"272"	"171"	"18"	"38"	"413"	"6"	"3"	"8"	"4"	"9"	"2"	"8"	"509"	""	"509"	""	""
"273"	"172"	"9"	"350"	"31"	"2"	"0"	"2"	"3"	"3"	"8"	"3"	"411"	""	"411"	""	""
"274"	"173"	"17"	"143"	"209"	"10"	"4"	"2"	"4"	"2"	"1"	"0"	"392"	""	"392"	""	""
"275"	"174"	"6"	"41"	"322"	"4"	"1"	"1"	"1"	"10"	"5"	"3"	"394"	""	"394"	""	""
"276"	"175"	"62"	"194"	"129"	"9"	"3"	"9"	"3"	"10"	"14"	"8"	"441"	""	"441"	""	""
"277"	"176"	"52"	"170"	"64"	"7"	"4"	"5"	"4"	"5"	"7"	"14"	"332"	""	"332"	""	""
"278"	"Total -14"	"589"	"2612"	"2164"	"107"	"38"	"51"	"46"	"87"	"99"	"111"	"5904"	"0"	"5904"	""	"0"
"279"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"280"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"281"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"282"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"283"	"B.F."	"11577"	"32541"	"32535"	"1971"	"2008"	"964"	"1019"	"1745"	"1735"	"2351"	"88446"	"0"	"88446"	""	"0"
"284"	"177"	"49"	"158"	"62"	"4"	"0"	"0"	"1"	"1"	"2"	"8"	"285"	""	"285"	""	""
"285"	"178"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"286"	"179"	"76"	"99"	"337"	"14"	"7"	"8"	"12"	"13"	"5"	"11"	"582"	""	"582"	""	""
"287"	"180"	"50"	"217"	"309"	"17"	"15"	"15"	"16"	"13"	"17"	"11"	"680"	""	"680"	""	""
"288"	"181"	"23"	"144"	"237"	"9"	"1"	"5"	"6"	"5"	"18"	"15"	"463"	""	"463"	""	""
"289"	"182"	"90"	"13"	"292"	"21"	"2"	"9"	"4"	"7"	"4"	"8"	"450"	""	"450"	""	""
"290"	"183"	"10"	"61"	"96"	"15"	"3"	"4"	"4"	"8"	"8"	"21"	"230"	""	"230"	""	""
"291"	"184"	"110"	"159"	"148"	"5"	"1"	"2"	"7"	"4"	"9"	"25"	"470"	""	"470"	""	""
"292"	"185"	"17"	"197"	"140"	"13"	"2"	"4"	"2"	"4"	"7"	"1"	"387"	""	"387"	""	""
"293"	"186"	"41"	"167"	"75"	"7"	"1"	"1"	"3"	"1"	"13"	"9"	"318"	""	"318"	""	""
"294"	"187"	"12"	"92"	"484"	"11"	"2"	"4"	"4"	"2"	"2"	"2"	"615"	""	"615"	""	""
"295"	"188"	"15"	"198"	"90"	"1"	"7"	"2"	"11"	"1"	"6"	"8"	"339"	""	"339"	""	""
"296"	"189"	"18"	"229"	"129"	"6"	"3"	"10"	"13"	"4"	"6"	"3"	"421"	""	"421"	""	""
"297"	"190"	"37"	"154"	"240"	"14"	"6"	"3"	"9"	"11"	"18"	"7"	"499"	""	"499"	""	""
"298"	"Total -15"	"548"	"1888"	"2639"	"137"	"50"	"67"	"92"	"74"	"115"	"129"	"5739"	"0"	"5739"	""	"0"
"299"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"300"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"301"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"302"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"303"	"B.F."	"12125"	"34429"	"35174"	"2108"	"2058"	"1031"	"1111"	"1819"	"1850"	"2480"	"94185"	"0"	"94185"	""	"0"
"304"	"191"	"3"	"7"	"174"	"5"	"0"	"0"	"0"	"2"	"0"	"1"	"192"	"0"	"192"	""	""
"305"	"192"	"88"	"175"	"162"	"24"	"7"	"10"	"10"	"7"	"18"	"21"	"522"	""	"522"	""	""
"306"	"193"	"29"	"121"	"221"	"19"	"7"	"5"	"4"	"5"	"5"	"15"	"431"	""	"431"	""	""
"307"	"194"	"21"	"158"	"145"	"26"	"6"	"12"	"10"	"19"	"109"	"13"	"519"	""	"519"	""	""
"308"	"195"	"23"	"245"	"137"	"18"	"5"	"11"	"11"	"22"	"25"	"22"	"519"	""	"519"	""	""
"309"	"196"	"62"	"170"	"100"	"6"	"8"	"4"	"2"	"1"	"20"	"6"	"379"	""	"379"	""	""
"310"	"196A"	"41"	"123"	"40"	"1"	"1"	"4"	"5"	"5"	"13"	"4"	"237"	""	"237"	""	""
"311"	"197"	"67"	"213"	"170"	"40"	"0"	"5"	"6"	"5"	"17"	"5"	"528"	""	"528"	""	""
"312"	"198"	"28"	"102"	"207"	"4"	"7"	"7"	"4"	"3"	"9"	"9"	"380"	""	"380"	""	""
"313"	"199"	"15"	"248"	"46"	"15"	"0"	"1"	"4"	"0"	"7"	"2"	"338"	""	"338"	""	""
"314"	"200"	"30"	"125"	"327"	"9"	"4"	"4"	"3"	"3"	"10"	"6"	"521"	""	"521"	""	""
"315"	"201"	"12"	"45"	"316"	"11"	"4"	"3"	"5"	"8"	"4"	"10"	"418"	""	"418"	""	""
"316"	"202"	"44"	"208"	"127"	"22"	"6"	"4"	"3"	"9"	"7"	"7"	"437"	""	"437"	""	""
"317"	"203"	"14"	"16"	"480"	"13"	"3"	"4"	"8"	"24"	"6"	"11"	"579"	""	"579"	""	""
"318"	"Total -16"	"477"	"1956"	"2652"	"213"	"58"	"74"	"75"	"113"	"250"	"132"	"6000"	"0"	"6000"	""	"0"
"319"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"320"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"321"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"322"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"323"	"B.F."	"12602"	"36385"	"37826"	"2321"	"2116"	"1105"	"1186"	"1932"	"2100"	"2612"	"100185"	"0"	"100185"	""	"0"
"324"	"204"	"7"	"45"	"37"	"132"	"7"	"3"	"4"	"4"	"6"	"13"	"258"	"0"	"258"	""	""
"325"	"205"	"15"	"119"	"182"	"66"	"4"	"6"	"5"	"6"	"5"	"9"	"417"	""	"417"	""	""
"326"	"206"	"9"	"16"	"188"	"106"	"1"	"4"	"0"	"7"	"1"	"6"	"338"	""	"338"	""	""
"327"	"207"	"12"	"39"	"47"	"130"	"3"	"3"	"2"	"2"	"1"	"4"	"243"	""	"243"	""	""
"328"	"208"	"14"	"168"	"119"	"99"	"3"	"3"	"10"	"4"	"8"	"20"	"448"	""	"448"	""	""
"329"	"209"	"34"	"127"	"74"	"4"	"2"	"4"	"6"	"3"	"4"	"1"	"259"	""	"259"	""	""
"330"	"210"	"11"	"32"	"184"	"8"	"2"	"2"	"1"	"9"	"1"	"2"	"252"	""	"252"	""	""
"331"	"211"	"18"	"21"	"345"	"26"	"5"	"7"	"7"	"15"	"11"	"5"	"460"	""	"460"	""	""
"332"	"212"	"106"	"138"	"180"	"24"	"6"	"6"	"17"	"16"	"18"	"31"	"542"	""	"542"	""	""
"333"	"213"	"131"	"148"	"53"	"2"	"1"	"1"	"2"	"7"	"5"	"3"	"353"	""	"353"	""	""
"334"	"214"	"29"	"186"	"264"	"8"	"1"	"4"	"5"	"17"	"22"	"43"	"579"	""	"579"	""	""
"335"	"215"	"143"	"67"	"30"	"6"	"3"	"0"	"0"	"1"	"1"	"1"	"252"	""	"252"	""	""
"336"	"216"	"71"	"93"	"93"	"13"	"0"	"4"	"2"	"0"	"4"	"6"	"286"	""	"286"	""	""
"337"	"217"	"36"	"193"	"306"	"19"	"4"	"14"	"7"	"17"	"14"	"7"	"617"	""	"617"	""	""
"338"	"Total -17"	"636"	"1392"	"2102"	"643"	"42"	"61"	"68"	"108"	"101"	"151"	"5304"	"0"	"5304"	""	"0"
"339"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"340"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"	""
"341"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"342"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"343"	"B.F."	"13238"	"37777"	"39928"	"2964"	"2158"	"1166"	"1254"	"2040"	"2201"	"2763"	"105489"	"0"	"105489"	"0"	""
"344"	"218"	"35"	"90"	"239"	"9"	"3"	"0"	"7"	"3"	"9"	"9"	"404"	""	"404"	""	""
"345"	"219"	"20"	"79"	"206"	"11"	"3"	"2"	"4"	"2"	"2"	"1"	"330"	""	"330"	""	""
"346"	"220"	"74"	"178"	"209"	"13"	"5"	"7"	"6"	"13"	"14"	"11"	"530"	""	"530"	""	""
"347"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""	""
"348"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""	""
"349"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""	""
"350"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""	""
"351"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""	""
"352"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""	""
"353"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""	""
"354"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""	""
"355"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""	""
"356"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""	""
"357"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""	""
"358"	"Total -18"	"129"	"347"	"654"	"33"	"11"	"9"	"17"	"18"	"25"	"21"	"1264"	"0"	"1264"	"0"	""
"359"	""	""	""	""	""	""	"241638+97=241735
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"360"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	""	"No. of Tendered Votes"
"361"	""	"Ram Ekawal Paswan"	"Ramprit Paswan"	"Ram Lakhan Ram Raman"	"Ram Vilas Dhangar"	"Utim Paswan"	"Kari Paswan"	"Ganor Sada"	"Jagdeo Paswan"	"Siya Ram Saday"	"Mahabir Paswan"	""	""	""	""	""
"362"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""	""
"363"	"Total No. of votes recorded at Polling stations"	"13367"	"38124"	"40582"	"2997"	"2169"	"1175"	"1271"	"2058"	"2226"	"2784"	"106753"	"0"	"106753"	""	"0"
"364"	"No. of Votes recorded on postal ballot papers"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"3"	""	"0"
"365"	"TOTAL VOTES POLLED"	"13367"	"38125"	"40584"	"2997"	"2169"	"1175"	"1271"	"2058"	"2226"	"2784"	"106756"	"0"	"106756"	""	"0"
