"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.Valid.Votes"
"183"	"164"	"144"	"128"	"4"	"7"	"31"	"2"	"1"	"2"	"2"	"7"	"5"	"3"	"8"	"21"	"365"
"184"	"165"	"286"	"168"	"9"	"0"	"19"	"2"	"1"	"4"	"0"	"6"	"4"	"5"	"11"	"24"	"539"
"185"	"166"	"358"	"153"	"0"	"4"	"30"	"0"	"0"	"1"	"2"	"1"	"6"	"1"	"6"	"19"	"581"
"186"	"167"	"315"	"128"	"3"	"2"	"38"	"1"	"1"	"0"	"1"	"2"	"5"	"5"	"18"	"27"	"546"
"187"	"168"	"218"	"72"	"2"	"2"	"10"	"0"	"2"	"4"	"1"	"4"	"3"	"2"	"9"	"15"	"344"
"188"	"169"	"219"	"157"	"2"	"1"	"23"	"2"	"5"	"0"	"3"	"3"	"7"	"8"	"11"	"19"	"460"
"189"	"170"	"81"	"291"	"4"	"3"	"5"	"1"	"1"	"3"	"0"	"2"	"3"	"1"	"9"	"16"	"420"
"190"	"171"	"104"	"201"	"4"	"0"	"6"	"1"	"3"	"2"	"2"	"1"	"2"	"0"	"11"	"23"	"360"
"191"	"172"	"21"	"330"	"2"	"1"	"21"	"1"	"0"	"2"	"0"	"35"	"0"	"4"	"2"	"3"	"422"
"192"	"173"	"273"	"188"	"3"	"1"	"5"	"2"	"2"	"1"	"2"	"0"	"1"	"4"	"10"	"9"	"501"
"193"	"174"	"140"	"149"	"6"	"1"	"3"	"0"	"2"	"1"	"1"	"3"	"2"	"1"	"5"	"6"	"320"
"194"	"175"	"186"	"69"	"2"	"0"	"5"	"1"	"1"	"3"	"1"	"7"	"1"	"1"	"5"	"12"	"294"
"195"	"176"	"228"	"163"	"3"	"2"	"6"	"4"	"2"	"2"	"8"	"7"	"1"	"2"	"9"	"24"	"461"
"196"	"177"	"152"	"58"	"1"	"0"	"2"	"4"	"1"	"0"	"0"	"1"	"0"	"2"	"8"	"14"	"243"
"197"	"178"	"135"	"124"	"4"	"1"	"0"	"3"	"2"	"1"	"1"	"2"	"2"	"2"	"10"	"10"	"297"
"198"	"179"	"363"	"107"	"5"	"0"	"2"	"1"	"1"	"2"	"1"	"4"	"2"	"0"	"9"	"11"	"508"
"199"	"180"	"223"	"210"	"3"	"1"	"30"	"3"	"0"	"1"	"3"	"20"	"4"	"4"	"7"	"20"	"529"
"200"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"201"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"202"	"181"	"38"	"370"	"5"	"0"	"1"	"3"	"2"	"0"	"1"	"4"	"4"	"0"	"19"	"25"	"472"
"203"	"182"	"220"	"117"	"3"	"5"	"9"	"2"	"3"	"1"	"1"	"5"	"1"	"5"	"8"	"19"	"399"
"204"	"183"	"209"	"139"	"4"	"1"	"11"	"1"	"4"	"0"	"0"	"3"	"2"	"0"	"8"	"18"	"400"
"205"	"184"	"346"	"86"	"1"	"3"	"5"	"0"	"5"	"2"	"0"	"3"	"2"	"1"	"9"	"30"	"493"
"206"	"185"	"248"	"188"	"4"	"2"	"8"	"0"	"5"	"1"	"1"	"1"	"1"	"1"	"6"	"7"	"473"
"207"	"186"	"247"	"140"	"0"	"2"	"9"	"0"	"6"	"1"	"1"	"2"	"1"	"2"	"6"	"25"	"442"
"208"	"187"	"60"	"356"	"0"	"2"	"6"	"0"	"7"	"1"	"2"	"9"	"1"	"3"	"8"	"14"	"469"
"209"	"188"	"256"	"142"	"1"	"58"	"9"	"2"	"6"	"4"	"3"	"0"	"5"	"5"	"14"	"45"	"550"
"210"	"189"	"156"	"167"	"1"	"0"	"2"	"1"	"2"	"1"	"0"	"23"	"0"	"1"	"0"	"2"	"356"
"211"	"190"	"174"	"273"	"10"	"1"	"16"	"1"	"0"	"3"	"1"	"35"	"3"	"4"	"12"	"48"	"581"
"212"	"191"	"8"	"253"	"0"	"0"	"16"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"284"
"213"	"192"	"228"	"107"	"1"	"1"	"0"	"3"	"3"	"0"	"0"	"10"	"0"	"4"	"1"	"2"	"360"
"214"	"193"	"121"	"76"	"3"	"6"	"1"	"0"	"1"	"0"	"0"	"4"	"1"	"0"	"6"	"6"	"225"
"215"	"194"	"317"	"81"	"4"	"27"	"1"	"2"	"0"	"0"	"1"	"3"	"0"	"1"	"6"	"10"	"453"
"216"	"195"	"162"	"37"	"1"	"0"	"3"	"1"	"1"	"0"	"0"	"6"	"2"	"2"	"5"	"7"	"227"
"217"	"196"	"179"	"170"	"5"	"1"	"6"	"2"	"1"	"2"	"0"	"29"	"1"	"1"	"7"	"20"	"424"
"218"	"197"	"146"	"125"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"15"	"1"	"0"	"5"	"4"	"299"
"219"	"198"	"170"	"68"	"1"	"1"	"5"	"0"	"0"	"2"	"1"	"1"	"3"	"0"	"2"	"10"	"264"
"220"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"221"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"222"	"199"	"86"	"78"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"11"	"1"	"0"	"0"	"3"	"182"
"223"	"200"	"58"	"111"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"2"	"7"	"185"
"224"	"201"	"59"	"205"	"0"	"1"	"8"	"2"	"1"	"1"	"1"	"6"	"3"	"1"	"8"	"22"	"318"
"225"	"202"	"193"	"67"	"1"	"1"	"10"	"0"	"2"	"0"	"0"	"3"	"1"	"3"	"8"	"27"	"316"
"226"	"203"	"79"	"90"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"4"	"7"	"185"
"227"	"204"	"15"	"355"	"9"	"4"	"6"	"3"	"1"	"0"	"0"	"2"	"0"	"1"	"1"	"14"	"411"
"228"	"205"	"188"	"166"	"2"	"1"	"41"	"1"	"1"	"3"	"0"	"5"	"1"	"3"	"3"	"11"	"426"
"229"	"206"	"199"	"105"	"4"	"0"	"9"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"5"	"20"	"348"
"230"	"207"	"77"	"278"	"2"	"2"	"4"	"2"	"0"	"2"	"1"	"1"	"0"	"0"	"2"	"8"	"379"
"231"	"208"	"39"	"276"	"4"	"1"	"11"	"2"	"3"	"1"	"2"	"3"	"1"	"1"	"3"	"4"	"351"
"232"	"209"	"260"	"109"	"5"	"11"	"18"	"1"	"1"	"2"	"1"	"14"	"4"	"4"	"14"	"25"	"469"
"233"	"210"	"119"	"170"	"6"	"1"	"34"	"2"	"5"	"2"	"0"	"2"	"4"	"5"	"7"	"15"	"372"
"234"	"211"	"164"	"207"	"7"	"1"	"5"	"0"	"2"	"1"	"1"	"8"	"3"	"1"	"4"	"8"	"412"
"235"	"212"	"176"	"196"	"4"	"5"	"10"	"1"	"2"	"5"	"0"	"3"	"3"	"2"	"7"	"23"	"437"
"236"	"213"	"33"	"24"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"29"	"0"	"0"	"0"	"0"	"87"
"237"	"214"	"12"	"43"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"24"	"0"	"0"	"1"	"0"	"83"
"238"	"215"	"156"	"149"	"3"	"3"	"7"	"1"	"1"	"2"	"3"	"7"	"2"	"4"	"20"	"22"	"380"
"239"	"216"	"342"	"84"	"5"	"2"	"10"	"3"	"1"	"3"	"1"	"7"	"1"	"0"	"10"	"8"	"477"
"240"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"241"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"242"	"217"	"247"	"183"	"8"	"2"	"14"	"0"	"3"	"1"	"2"	"4"	"3"	"1"	"18"	"62"	"548"
"243"	"218"	"219"	"126"	"3"	"1"	"8"	"1"	"3"	"2"	"1"	"7"	"0"	"0"	"4"	"6"	"381"
"244"	"219"	"125"	"163"	"3"	"1"	"5"	"1"	"3"	"0"	"1"	"43"	"0"	"1"	"3"	"6"	"355"
"245"	"220"	"208"	"46"	"2"	"1"	"4"	"0"	"1"	"0"	"0"	"4"	"1"	"2"	"4"	"8"	"281"
"246"	"221"	"102"	"170"	"1"	"2"	"25"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"6"	"9"	"318"
"247"	"222"	"251"	"203"	"6"	"4"	"25"	"4"	"2"	"2"	"3"	"7"	"5"	"5"	"14"	"37"	"568"
"248"	"223"	"139"	"140"	"4"	"3"	"46"	"2"	"4"	"1"	"3"	"3"	"3"	"4"	"3"	"7"	"362"
"249"	"224"	"124"	"50"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"9"	"191"
"250"	"225"	"113"	"41"	"4"	"1"	"6"	"0"	"4"	"1"	"1"	"6"	"4"	"8"	"8"	"31"	"228"
"251"	"226"	"178"	"157"	"2"	"3"	"9"	"1"	"4"	"1"	"1"	"4"	"3"	"0"	"6"	"15"	"384"
"252"	"227"	"130"	"90"	"1"	"1"	"1"	"0"	"0"	"3"	"1"	"4"	"1"	"3"	"5"	"13"	"253"
"253"	"228"	"15"	"352"	"3"	"0"	"17"	"2"	"3"	"6"	"0"	"2"	"2"	"1"	"11"	"15"	"429"
"254"	"229"	"35"	"334"	"2"	"1"	"14"	"0"	"1"	"0"	"0"	"9"	"5"	"0"	"8"	"12"	"421"
"255"	"230"	"138"	"229"	"4"	"0"	"5"	"2"	"2"	"17"	"5"	"5"	"1"	"0"	"10"	"13"	"431"
"256"	"231"	"119"	"93"	"1"	"6"	"10"	"1"	"4"	"3"	"0"	"6"	"2"	"1"	"6"	"22"	"274"
"257"	"232"	"170"	"54"	"0"	"3"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"11"	"245"
"258"	"233"	"94"	"124"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"7"	"0"	"0"	"3"	"4"	"236"
"259"	"234"	"111"	"92"	"0"	"2"	"5"	"0"	"1"	"3"	"1"	"4"	"2"	"3"	"8"	"9"	"241"
"260"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"261"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"262"	"235"	"109"	"248"	"6"	"1"	"1"	"2"	"5"	"4"	"2"	"3"	"1"	"1"	"5"	"15"	"403"
"263"	"236"	"105"	"164"	"7"	"0"	"2"	"1"	"6"	"1"	"1"	"2"	"2"	"2"	"8"	"9"	"310"
"264"	"237"	"83"	"174"	"3"	"3"	"3"	"2"	"3"	"1"	"1"	"0"	"1"	"0"	"4"	"4"	"282"
"265"	"238"	"47"	"196"	"2"	"1"	"3"	"3"	"3"	"1"	"0"	"4"	"1"	"1"	"10"	"7"	"279"
"266"	"239"	"53"	"195"	"9"	"8"	"16"	"0"	"2"	"1"	"3"	"9"	"4"	"7"	"9"	"8"	"324"
"267"	"240"	"81"	"415"	"5"	"0"	"7"	"3"	"2"	"1"	"2"	"1"	"1"	"2"	"5"	"14"	"539"
"268"	"241"	"17"	"308"	"3"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"4"	"350"
"269"	"242"	"115"	"97"	"2"	"1"	"9"	"0"	"1"	"0"	"2"	"2"	"1"	"1"	"6"	"12"	"249"
"270"	"243"	"114"	"215"	"1"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"350"
"271"	"244"	"129"	"291"	"3"	"3"	"12"	"2"	"1"	"0"	"1"	"7"	"3"	"4"	"24"	"30"	"510"
"272"	"245"	"188"	"452"	"6"	"4"	"1"	"2"	"1"	"0"	"1"	"2"	"3"	"4"	"12"	"29"	"705"
"273"	"246"	"185"	"463"	"11"	"10"	"4"	"2"	"2"	"5"	"2"	"0"	"3"	"12"	"27"	"47"	"773"
"274"	"247"	"48"	"283"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"7"	"5"	"352"
"275"	"248"	"91"	"306"	"4"	"2"	"8"	"0"	"2"	"0"	"0"	"3"	"2"	"2"	"13"	"23"	"456"
"276"	"249"	"147"	"289"	"4"	"3"	"40"	"3"	"0"	"0"	"2"	"3"	"1"	"4"	"16"	"40"	"552"
"277"	"250"	"205"	"238"	"4"	"0"	"3"	"0"	"1"	"1"	"0"	"4"	"2"	"3"	"6"	"17"	"484"
"278"	"251"	"46"	"109"	"2"	"1"	"5"	"0"	"3"	"2"	"2"	"27"	"1"	"1"	"5"	"11"	"215"
"279"	"252"	"85"	"226"	"5"	"3"	"3"	"1"	"2"	"5"	"4"	"37"	"4"	"3"	"11"	"34"	"423"
"280"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"281"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"282"	"253"	"180"	"99"	"0"	"0"	"11"	"2"	"1"	"0"	"1"	"1"	"1"	"1"	"15"	"14"	"326"
"283"	"254"	"84"	"160"	"1"	"3"	"22"	"2"	"2"	"2"	"2"	"2"	"2"	"5"	"10"	"30"	"327"
"284"	"255"	"14"	"339"	"7"	"0"	"16"	"3"	"0"	"0"	"0"	"1"	"3"	"5"	"11"	"10"	"409"
"285"	"256"	"127"	"243"	"4"	"1"	"6"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"5"	"22"	"413"
"286"	"257"	"11"	"294"	"1"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"314"
"287"	"258"	"53"	"121"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"3"	"2"	"2"	"2"	"15"	"203"
"288"	"259"	"177"	"490"	"4"	"2"	"63"	"2"	"0"	"1"	"1"	"1"	"3"	"3"	"12"	"29"	"788"
"289"	"260"	"149"	"257"	"3"	"0"	"31"	"0"	"0"	"1"	"0"	"1"	"0"	"4"	"12"	"42"	"500"
"290"	"261"	"41"	"204"	"5"	"0"	"3"	"1"	"1"	"1"	"0"	"0"	"1"	"3"	"4"	"17"	"281"
"291"	"262"	"141"	"99"	"2"	"1"	"5"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"6"	"262"
"292"	"263"	"41"	"276"	"5"	"2"	"5"	"4"	"1"	"1"	"2"	"4"	"0"	"6"	"5"	"18"	"370"
"293"	"264"	"262"	"196"	"5"	"1"	"54"	"0"	"3"	"0"	"1"	"6"	"3"	"3"	"5"	"32"	"571"
"294"	"265"	"47"	"345"	"3"	"2"	"7"	"0"	"0"	"0"	"2"	"3"	"0"	"1"	"11"	"19"	"440"
"295"	"266"	"20"	"335"	"4"	"0"	"7"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"25"	"397"
"296"	"267"	"306"	"167"	"3"	"4"	"49"	"1"	"2"	"0"	"1"	"8"	"4"	"5"	"7"	"25"	"582"
"297"	"268"	"181"	"192"	"0"	"2"	"15"	"4"	"2"	"2"	"1"	"1"	"3"	"5"	"10"	"17"	"435"
"298"	"269"	"150"	"291"	"2"	"1"	"2"	"3"	"5"	"0"	"1"	"0"	"1"	"4"	"13"	"16"	"489"
"299"	"270"	"109"	"196"	"1"	"0"	"42"	"1"	"2"	"1"	"1"	"2"	"3"	"2"	"10"	"15"	"385"
"300"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"301"	""	"KAPILDE V PRASAD SINGH"	"JITENDR A KUMAR"	"DIPAK KUMAR"	"SANJAY KUMAR"	"SATISH KUMAR"	"AJAY KUMAR"	"MADHAV KISHORE PRASAD"	"MURARI KUMAR"	"HARI KANT PRASAD"	"ANIL KUMAR"	"ASHOK KUMAR SINGH"	"GANESH RAM"	"JAYMANT I DEVI"	"JUGESHW AR MANJHI"	""
"302"	"Total:-"	"34605"	"54175"	"865"	"979"	"4276"	"885"	"492"	"522"	"320"	"2111"	"519"	"959"	"1983"	"4286"	"106977"
"303"	"No. of votes recorded on postal ballot papers :-"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"304"	"Total Votes polled :-"	"34606"	"54176"	"865"	"979"	"4276"	"885"	"492"	"522"	"320"	"2111"	"519"	"959"	"1983"	"4286"	"106979"
