"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the Bihar Legislative Assembly Constituency - 2010 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electers in Assembly Constituency :- 231841"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. & Name of Assembly Constituency - 220 Obra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"AC NO"	"BOOT
H_NO"	"BOOTH
_EXT"	"Arvind
Kumar"	"Upendra
yadav"	"Pramod singh
chanravanshi"	"Sanjeev
Kumar"	"Satyanara
yan Singh"	"Raja
Ram"	"VIjay
Sharma"	"Anjani
Kumar"	"Virendra
Kumar"	"Shashi
Bhushan"	"Som
Prakash"	"TOTAL"	"SLNO"
"194"	"220"	"182"	""	"210"	"1"	"41"	"0"	"6"	"108"	"1"	"1"	"0"	"0"	"6"	"374"	"184"
"195"	"220"	"183"	""	"11"	"2"	"33"	"2"	"16"	"55"	"3"	"2"	"0"	"5"	"110"	"239"	"185"
"196"	"220"	"184"	""	"19"	"4"	"140"	"138"	"35"	"146"	"5"	"1"	"4"	"13"	"88"	"593"	"186"
"197"	"220"	"185"	""	"34"	"2"	"29"	"6"	"32"	"30"	"2"	"1"	"0"	"6"	"173"	"315"	"187"
"198"	"220"	"186"	""	"77"	"1"	"38"	"2"	"9"	"2"	"0"	"5"	"0"	"3"	"104"	"241"	"188"
"199"	"220"	"187"	""	"50"	"1"	"36"	"4"	"16"	"2"	"3"	"5"	"3"	"3"	"142"	"265"	"189"
"200"	"220"	"188"	""	"23"	"4"	"53"	"16"	"113"	"40"	"6"	"4"	"3"	"13"	"434"	"709"	"190"
"201"	"220"	"189"	""	"33"	"1"	"11"	"2"	"42"	"3"	"4"	"4"	"6"	"9"	"286"	"401"	"191"
"202"	"220"	"190"	""	"32"	"2"	"5"	"0"	"12"	"3"	"0"	"0"	"4"	"1"	"159"	"218"	"192"
"203"	"220"	"191"	""	"107"	"3"	"100"	"6"	"70"	"156"	"7"	"9"	"2"	"7"	"151"	"618"	"193"
"204"	"220"	"192"	""	"7"	"0"	"6"	"3"	"32"	"2"	"0"	"1"	"0"	"0"	"94"	"145"	"194"
"205"	"220"	"193"	""	"126"	"3"	"68"	"4"	"14"	"31"	"3"	"4"	"5"	"2"	"91"	"351"	"195"
"206"	"220"	"194"	""	"40"	"0"	"38"	"5"	"21"	"465"	"4"	"5"	"1"	"10"	"47"	"636"	"196"
"207"	"220"	"195"	""	"100"	"0"	"6"	"3"	"0"	"74"	"0"	"0"	"0"	"0"	"20"	"203"	"197"
"208"	"220"	"196"	""	"114"	"3"	"112"	"10"	"7"	"33"	"8"	"6"	"8"	"7"	"257"	"565"	"198"
"209"	"220"	"197"	""	"93"	"2"	"50"	"10"	"21"	"6"	"3"	"4"	"3"	"4"	"239"	"435"	"199"
"210"	"220"	"198"	""	"34"	"0"	"26"	"0"	"31"	"2"	"1"	"4"	"2"	"4"	"181"	"285"	"200"
"211"	"220"	"199"	""	"22"	"3"	"167"	"7"	"45"	"4"	"5"	"2"	"8"	"6"	"244"	"513"	"201"
"212"	"220"	"200"	""	"42"	"1"	"29"	"1"	"7"	"63"	"2"	"4"	"4"	"4"	"288"	"445"	"202"
"213"	"AC NO"	"BOOT
H_NO"	"BOOTH
_EXT"	"Arvind
Kumar"	"Upendra
yadav"	"Pramod singh
chanravanshi"	"Sanjeev
Kumar"	"Satyanara
yan Singh"	"Raja
Ram"	"VIjay
Sharma"	"Anjani
Kumar"	"Virendra
Kumar"	"Shashi
Bhushan"	"Som
Prakash"	"TOTAL"	"SLNO"
"214"	"220"	"201"	""	"20"	"0"	"23"	"1"	"16"	"179"	"1"	"5"	"4"	"13"	"180"	"442"	"203"
"215"	"220"	"202"	""	"28"	"4"	"234"	"13"	"15"	"105"	"10"	"8"	"10"	"29"	"319"	"775"	"204"
"216"	"220"	"203"	""	"227"	"3"	"67"	"0"	"15"	"33"	"2"	"2"	"2"	"7"	"204"	"562"	"205"
"217"	"220"	"204"	""	"13"	"0"	"96"	"4"	"26"	"19"	"2"	"3"	"2"	"3"	"93"	"261"	"206"
"218"	"220"	"205"	""	"38"	"1"	"36"	"13"	"6"	"556"	"9"	"7"	"5"	"17"	"68"	"756"	"207"
"219"	"220"	"206"	""	"9"	"2"	"59"	"0"	"130"	"150"	"4"	"4"	"4"	"10"	"118"	"490"	"208"
"220"	"220"	"207"	""	"15"	"1"	"24"	"0"	"83"	"45"	"1"	"3"	"0"	"4"	"219"	"395"	"209"
"221"	"220"	"208"	""	"128"	"3"	"80"	"0"	"8"	"21"	"2"	"3"	"1"	"7"	"135"	"388"	"210"
"222"	"220"	"208"	"A"	"73"	"2"	"72"	"7"	"15"	"8"	"4"	"7"	"3"	"12"	"269"	"472"	"211"
"223"	"220"	"209"	""	"100"	"1"	"49"	"6"	"66"	"24"	"6"	"3"	"5"	"13"	"427"	"700"	"212"
"224"	"220"	"210"	""	"21"	"0"	"63"	"1"	"96"	"14"	"3"	"4"	"3"	"2"	"162"	"369"	"213"
"225"	"220"	"210"	"A"	"23"	"3"	"60"	"1"	"72"	"10"	"3"	"7"	"5"	"7"	"226"	"417"	"214"
"226"	"220"	"211"	""	"63"	"1"	"82"	"4"	"58"	"37"	"0"	"4"	"1"	"9"	"326"	"585"	"215"
"227"	"220"	"212"	""	"13"	"1"	"9"	"2"	"17"	"43"	"4"	"1"	"1"	"3"	"70"	"164"	"216"
"228"	"220"	"213"	""	"30"	"1"	"96"	"2"	"60"	"18"	"2"	"9"	"2"	"6"	"218"	"444"	"217"
"229"	"220"	"214"	""	"64"	"1"	"81"	"4"	"53"	"47"	"1"	"5"	"0"	"5"	"126"	"387"	"218"
"230"	"220"	"215"	""	"72"	"2"	"121"	"3"	"23"	"2"	"1"	"3"	"7"	"3"	"22"	"259"	"219"
"231"	"220"	"216"	""	"57"	"1"	"115"	"21"	"5"	"5"	"5"	"7"	"14"	"8"	"17"	"255"	"220"
"232"	"220"	"217"	""	"13"	"6"	"115"	"5"	"7"	"8"	"3"	"3"	"2"	"4"	"75"	"241"	"221"
"233"	"220"	"218"	""	"34"	"2"	"54"	"0"	"21"	"56"	"5"	"5"	"3"	"2"	"146"	"328"	"222"
"234"	"220"	"219"	""	"24"	"2"	"65"	"3"	"12"	"156"	"5"	"3"	"6"	"15"	"157"	"448"	"223"
"235"	"220"	"220"	""	"12"	"2"	"42"	"3"	"51"	"53"	"5"	"3"	"1"	"5"	"132"	"309"	"224"
"236"	"220"	"221"	""	"25"	"1"	"5"	"1"	"270"	"9"	"2"	"3"	"0"	"2"	"99"	"417"	"225"
"237"	"220"	"222"	""	"61"	"11"	"280"	"15"	"97"	"30"	"5"	"7"	"10"	"11"	"46"	"573"	"226"
"238"	"220"	"223"	""	"46"	"2"	"108"	"58"	"36"	"5"	"1"	"3"	"2"	"12"	"24"	"297"	"227"
"239"	"220"	"224"	""	"6"	"0"	"20"	"0"	"3"	"186"	"7"	"1"	"3"	"6"	"190"	"422"	"228"
"240"	"220"	"225"	""	"22"	"0"	"36"	"2"	"0"	"44"	"0"	"0"	"0"	"7"	"447"	"558"	"229"
"241"	"220"	"226"	""	"52"	"2"	"11"	"12"	"52"	"11"	"1"	"3"	"1"	"8"	"235"	"388"	"230"
"242"	"220"	"227"	""	"103"	"6"	"110"	"20"	"21"	"205"	"7"	"5"	"10"	"16"	"136"	"639"	"231"
"243"	"220"	"228"	""	"1"	"0"	"34"	"0"	"5"	"282"	"0"	"0"	"3"	"4"	"2"	"331"	"232"
"244"	"220"	"229"	""	"4"	"5"	"172"	"4"	"45"	"3"	"0"	"8"	"4"	"0"	"20"	"265"	"233"
"245"	"220"	"230"	""	"6"	"2"	"34"	"6"	"1"	"289"	"8"	"1"	"4"	"9"	"52"	"412"	"234"
"246"	"220"	"231"	""	"30"	"2"	"346"	"28"	"49"	"21"	"5"	"11"	"17"	"16"	"76"	"601"	"235"
"247"	"220"	"232"	""	"13"	"2"	"44"	"4"	"10"	"81"	"4"	"3"	"2"	"4"	"156"	"323"	"236"
"248"	"220"	"233"	""	"21"	"4"	"57"	"1"	"28"	"95"	"7"	"8"	"11"	"23"	"270"	"525"	"237"
"249"	"220"	"234"	""	"105"	"2"	"199"	"5"	"47"	"20"	"3"	"5"	"3"	"6"	"149"	"544"	"238"
"250"	"220"	"235"	""	"16"	"1"	"196"	"1"	"13"	"5"	"0"	"1"	"2"	"7"	"119"	"361"	"239"
"251"	"220"	"236"	""	"18"	"8"	"215"	"4"	"5"	"10"	"4"	"5"	"4"	"7"	"95"	"375"	"240"
"252"	"220"	"237"	""	"22"	"6"	"139"	"3"	"8"	"23"	"4"	"4"	"3"	"6"	"157"	"375"	"241"
"253"	"220"	"238"	""	"147"	"4"	"290"	"6"	"63"	"21"	"4"	"6"	"4"	"7"	"146"	"698"	"242"
"254"	"220"	"239"	""	"29"	"2"	"246"	"4"	"71"	"80"	"6"	"3"	"3"	"7"	"227"	"678"	"243"
"255"	"220"	"240"	""	"61"	"5"	"329"	"6"	"16"	"54"	"3"	"3"	"10"	"14"	"175"	"676"	"244"
"256"	"220"	"241"	""	"25"	"2"	"36"	"0"	"8"	"4"	"2"	"0"	"1"	"6"	"248"	"332"	"245"
"257"	"AC NO"	"BOOT
H_NO"	"BOOTH
_EXT"	"Arvind
Kumar"	"Upendra
yadav"	"Pramod singh
chanravanshi"	"Sanjeev
Kumar"	"Satyanara
yan Singh"	"Raja
Ram"	"VIjay
Sharma"	"Anjani
Kumar"	"Virendra
Kumar"	"Shashi
Bhushan"	"Som
Prakash"	"TOTAL"	"SLNO"
"258"	"220"	"242"	""	"19"	"3"	"33"	"9"	"27"	"81"	"3"	"2"	"11"	"21"	"349"	"558"	"246"
"259"	"220"	"243"	""	"68"	"1"	"129"	"9"	"12"	"7"	"4"	"5"	"10"	"11"	"267"	"523"	"247"
"260"	"220"	"244"	""	"21"	"3"	"9"	"2"	"20"	"432"	"15"	"2"	"6"	"16"	"230"	"756"	"248"
"261"	"220"	"245"	""	"104"	"6"	"82"	"16"	"76"	"167"	"14"	"8"	"4"	"29"	"157"	"663"	"249"
"262"	"220"	"246"	""	"8"	"0"	"17"	"10"	"27"	"41"	"2"	"0"	"1"	"1"	"150"	"257"	"250"
"263"	"220"	"247"	""	"12"	"0"	"11"	"3"	"56"	"24"	"3"	"1"	"3"	"2"	"198"	"313"	"251"
"264"	"220"	"248"	""	"5"	"0"	"15"	"3"	"38"	"6"	"1"	"2"	"0"	"7"	"190"	"267"	"252"
"265"	"220"	"249"	""	"76"	"0"	"103"	"0"	"1"	"5"	"0"	"0"	"2"	"3"	"142"	"332"	"253"
"266"	"220"	"250"	""	"5"	"0"	"81"	"1"	"12"	"4"	"1"	"2"	"1"	"6"	"236"	"349"	"254"
"267"	"220"	"251"	""	"25"	"0"	"89"	"3"	"8"	"1"	"2"	"1"	"2"	"1"	"127"	"259"	"255"
"268"	"220"	"252"	""	"18"	"7"	"108"	"4"	"194"	"7"	"4"	"7"	"8"	"5"	"251"	"613"	"256"
"269"	"220"	"253"	""	"101"	"4"	"385"	"16"	"9"	"9"	"4"	"5"	"15"	"11"	"227"	"786"	"257"
"270"	"220"	"254"	""	"30"	"4"	"65"	"4"	"161"	"63"	"0"	"5"	"6"	"19"	"277"	"634"	"258"
"271"	"220"	"255"	""	"24"	"1"	"6"	"2"	"161"	"4"	"3"	"3"	"3"	"8"	"341"	"556"	"259"
"272"	"220"	"256"	""	"19"	"1"	"21"	"0"	"27"	"3"	"2"	"1"	"3"	"5"	"382"	"464"	"260"
"273"	"220"	"257"	""	"23"	"5"	"263"	"13"	"86"	"23"	"2"	"14"	"10"	"12"	"107"	"558"	"261"
"274"	"220"	"258"	""	"10"	"1"	"3"	"3"	"57"	"2"	"2"	"3"	"2"	"5"	"317"	"405"	"262"
"275"	"220"	"259"	""	"51"	"7"	"268"	"10"	"88"	"103"	"7"	"3"	"7"	"11"	"219"	"774"	"263"
"276"	"220"	"260"	""	"42"	"2"	"107"	"11"	"52"	"22"	"6"	"5"	"2"	"5"	"198"	"452"	"264"
"277"	"220"	"261"	""	"28"	"0"	"18"	"4"	"32"	"72"	"1"	"0"	"1"	"8"	"269"	"433"	"265"
"278"	"220"	"262"	""	"61"	"0"	"41"	"58"	"2"	"0"	"0"	"1"	"0"	"1"	"73"	"237"	"266"
"279"	"220"	""	""	"0"	"0"	"2"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"1"	"10"	""
"280"	""	"Total"	""	"13201"	"870"	"36014"	"1784"	"16856"	"18463"	"1119"	"1428"	"1316"	"2383"	"36816"	"130250"	""
