"Total.No..of.Electors.in.Assembly.Constituency.......216554"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec ted Vote s"	"Total"	"No.  of Tende red Votes"	""
"142"	"78"	"237"	"380"	"76"	"14"	"19"	"3"	"1"	"1"	"6"	"2"	"7"	"4"	"3"	"2"	"2"	"10"	"17"	"784"	"0"	"784"	"0"	""
"143"	"79"	"69"	"282"	"9"	"16"	"26"	"0"	"0"	"0"	"3"	"1"	"2"	"1"	"2"	"0"	"2"	"2"	"5"	"420"	"0"	"420"	"0"	""
"144"	"80"	"56"	"438"	"9"	"39"	"9"	"2"	"0"	"1"	"5"	"1"	"0"	"2"	"5"	"6"	"7"	"6"	"0"	"586"	"0"	"586"	"0"	""
"145"	"81"	"79"	"428"	"12"	"20"	"5"	"0"	"0"	"8"	"5"	"1"	"4"	"1"	"1"	"6"	"6"	"4"	"3"	"583"	"0"	"583"	"0"	""
"146"	"Total"	"1974"	"3980"	"172"	"574"	"353"	"15"	"21"	"49"	"69"	"20"	"46"	"29"	"40"	"82"	"62"	"56"	"84"	"7626"	"0"	"7626"	"0"	""
"147"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"02-Ramnagar (SC)Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency -     216554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec
ted"	"Total"	"No.  of Tende red Votes"	""
"156"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"157"	"82"	"100"	"318"	"47"	"41"	"9"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"5"	"11"	"536"	"0"	"536"	"0"	""
"158"	"83"	"79"	"70"	"30"	"280"	"67"	"0"	"3"	"1"	"4"	"1"	"3"	"4"	"1"	"3"	"1"	"3"	"5"	"555"	"0"	"555"	"0"	""
"159"	"84"	"73"	"193"	"9"	"180"	"91"	"5"	"1"	"1"	"7"	"3"	"6"	"7"	"6"	"4"	"2"	"0"	"17"	"605"	"0"	"605"	"0"	""
"160"	"85"	"77"	"331"	"12"	"29"	"30"	"1"	"6"	"74"	"12"	"10"	"4"	"5"	"7"	"11"	"9"	"17"	"12"	"647"	"0"	"647"	"0"	""
"161"	"86"	"210"	"222"	"8"	"22"	"36"	"0"	"1"	"0"	"2"	"1"	"14"	"5"	"0"	"3"	"3"	"5"	"1"	"533"	"0"	"533"	"0"	""
"162"	"87"	"132"	"309"	"1"	"23"	"33"	"0"	"0"	"0"	"3"	"0"	"5"	"1"	"0"	"1"	"6"	"2"	"2"	"518"	"0"	"518"	"0"	""
"163"	"88"	"84"	"308"	"37"	"16"	"10"	"0"	"1"	"0"	"2"	"2"	"9"	"1"	"0"	"1"	"11"	"2"	"3"	"487"	"0"	"487"	"0"	""
"164"	"89"	"121"	"167"	"15"	"102"	"65"	"1"	"1"	"2"	"8"	"1"	"40"	"2"	"4"	"2"	"5"	"1"	"2"	"539"	"0"	"539"	"0"	""
"165"	"90"	"265"	"44"	"3"	"92"	"31"	"1"	"1"	"4"	"11"	"0"	"11"	"3"	"1"	"3"	"10"	"1"	"8"	"489"	"0"	"489"	"0"	""
"166"	"91"	"87"	"123"	"4"	"29"	"42"	"0"	"1"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"295"	"0"	"295"	"0"	""
"167"	"92"	"22"	"156"	"78"	"54"	"48"	"1"	"1"	"1"	"6"	"5"	"9"	"4"	"4"	"5"	"4"	"5"	"2"	"405"	"0"	"405"	"0"	""
"168"	"93"	"82"	"256"	"11"	"2"	"6"	"3"	"2"	"2"	"1"	"1"	"5"	"1"	"3"	"4"	"4"	"5"	"8"	"396"	"0"	"396"	"0"	""
"169"	"94"	"126"	"183"	"6"	"32"	"55"	"4"	"0"	"10"	"2"	"11"	"12"	"8"	"7"	"14"	"5"	"11"	"4"	"490"	"0"	"490"	"0"	""
"170"	"95"	"88"	"53"	"1"	"3"	"130"	"2"	"1"	"0"	"1"	"1"	"6"	"0"	"1"	"0"	"0"	"4"	"4"	"295"	"0"	"295"	"0"	""
"171"	"Total"	"1546"	"2733"	"262"	"905"	"653"	"18"	"20"	"95"	"65"	"38"	"125"	"42"	"34"	"51"	"60"	"62"	"81"	"6790"	"0"	"6790"	"0"	""
"172"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"02-Ramnagar (SC)Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Total No. of Electors in Assembly Constituency -     216554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 8)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec
ted"	"Total"	"No.  of Tende red Votes"	""
"181"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"182"	"96"	"156"	"176"	"38"	"35"	"77"	"3"	"1"	"9"	"6"	"4"	"6"	"9"	"1"	"7"	"2"	"3"	"5"	"538"	"0"	"538"	"0"	""
"183"	"97"	"211"	"190"	"29"	"48"	"71"	"4"	"10"	"3"	"9"	"1"	"5"	"5"	"14"	"4"	"5"	"7"	"25"	"641"	"0"	"641"	"0"	""
"184"	"98"	"22"	"275"	"7"	"10"	"9"	"2"	"83"	"0"	"1"	"2"	"4"	"6"	"1"	"5"	"1"	"3"	"9"	"440"	"0"	"440"	"0"	""
"185"	"99"	"121"	"187"	"4"	"3"	"51"	"0"	"2"	"0"	"9"	"1"	"22"	"0"	"2"	"3"	"4"	"9"	"3"	"421"	"0"	"421"	"0"	""
"186"	"100"	"118"	"23"	"2"	"38"	"276"	"3"	"1"	"0"	"4"	"4"	"1"	"5"	"3"	"2"	"1"	"10"	"16"	"507"	"0"	"507"	"0"	""
"187"	"101"	"152"	"44"	"0"	"62"	"165"	"5"	"1"	"1"	"8"	"3"	"6"	"14"	"3"	"4"	"4"	"17"	"3"	"492"	"0"	"492"	"0"	""
"188"	"102"	"257"	"160"	"46"	"92"	"5"	"0"	"1"	"4"	"8"	"6"	"4"	"3"	"3"	"3"	"7"	"7"	"13"	"619"	"0"	"619"	"0"	""
"189"	"103"	"262"	"297"	"12"	"56"	"5"	"0"	"2"	"1"	"11"	"4"	"1"	"7"	"4"	"6"	"6"	"8"	"8"	"690"	"0"	"690"	"0"	""
"190"	"104"	"310"	"245"	"32"	"22"	"13"	"1"	"3"	"5"	"9"	"2"	"9"	"4"	"6"	"13"	"27"	"12"	"4"	"717"	"0"	"717"	"0"	""
"191"	"105"	"309"	"215"	"11"	"93"	"30"	"0"	"0"	"9"	"2"	"1"	"10"	"1"	"2"	"3"	"7"	"2"	"2"	"697"	"0"	"697"	"0"	""
"192"	"106"	"161"	"256"	"16"	"108"	"18"	"2"	"3"	"4"	"12"	"3"	"7"	"2"	"2"	"2"	"1"	"3"	"0"	"600"	"0"	"600"	"0"	""
"193"	"107"	"56"	"340"	"7"	"4"	"1"	"0"	"10"	"2"	"5"	"2"	"2"	"0"	"0"	"2"	"3"	"2"	"4"	"440"	"0"	"440"	"0"	""
"194"	"108"	"202"	"170"	"3"	"1"	"5"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"1"	"4"	"4"	"4"	"6"	"405"	"0"	"405"	"0"	""
"195"	"109"	"98"	"134"	"5"	"2"	"43"	"0"	"0"	"0"	"4"	"1"	"1"	"3"	"4"	"3"	"1"	"0"	"2"	"301"	"0"	"301"	"0"	""
"196"	"Total"	"2435"	"2712"	"212"	"574"	"769"	"20"	"117"	"39"	"90"	"36"	"78"	"59"	"46"	"61"	"73"	"87"	"100"	"7508"	"0"	"7508"	"0"	""
"197"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"02-Ramnagar (SC)Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Electors in Assembly Constituency -     216554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec
ted"	"Total"	"No.  of Tende red Votes"	""
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"207"	"110"	"168"	"194"	"11"	"52"	"13"	"2"	"4"	"0"	"5"	"3"	"3"	"1"	"1"	"3"	"0"	"7"	"11"	"478"	"0"	"478"	"0"	""
"208"	"111"	"213"	"171"	"24"	"41"	"10"	"0"	"6"	"1"	"13"	"3"	"1"	"1"	"0"	"7"	"1"	"6"	"7"	"505"	"0"	"505"	"0"	""
"209"	"112"	"296"	"340"	"11"	"10"	"25"	"1"	"1"	"2"	"4"	"0"	"2"	"4"	"1"	"6"	"2"	"3"	"7"	"715"	"0"	"715"	"0"	""
"210"	"113"	"135"	"37"	"4"	"34"	"15"	"1"	"5"	"67"	"6"	"4"	"2"	"3"	"7"	"3"	"6"	"10"	"6"	"345"	"0"	"345"	"0"	""
"211"	"114"	"224"	"116"	"7"	"5"	"3"	"0"	"3"	"2"	"5"	"6"	"8"	"3"	"2"	"1"	"2"	"0"	"1"	"388"	"0"	"388"	"0"	""
"212"	"115"	"52"	"341"	"8"	"116"	"40"	"1"	"2"	"5"	"7"	"7"	"11"	"0"	"3"	"6"	"3"	"1"	"24"	"627"	"0"	"627"	"0"	""
"213"	"116"	"70"	"414"	"78"	"55"	"88"	"15"	"17"	"8"	"2"	"5"	"0"	"1"	"1"	"4"	"6"	"2"	"16"	"782"	"0"	"782"	"0"	""
"214"	"117"	"44"	"322"	"26"	"25"	"23"	"0"	"0"	"4"	"3"	"0"	"1"	"6"	"0"	"6"	"8"	"3"	"3"	"474"	"0"	"474"	"0"	""
"215"	"118"	"24"	"520"	"9"	"23"	"14"	"1"	"3"	"3"	"9"	"7"	"21"	"9"	"4"	"12"	"13"	"4"	"10"	"686"	"0"	"686"	"0"	""
"216"	"119"	"56"	"538"	"46"	"77"	"16"	"3"	"20"	"4"	"11"	"4"	"7"	"1"	"3"	"3"	"2"	"1"	"4"	"796"	"0"	"796"	"0"	""
"217"	"120"	"48"	"162"	"4"	"4"	"67"	"1"	"19"	"1"	"2"	"4"	"3"	"1"	"2"	"4"	"3"	"2"	"0"	"327"	"0"	"327"	"0"	""
"218"	"121"	"223"	"9"	"3"	"14"	"35"	"0"	"3"	"4"	"4"	"3"	"3"	"1"	"1"	"2"	"1"	"4"	"3"	"313"	"0"	"313"	"0"	""
"219"	"122"	"162"	"49"	"6"	"72"	"9"	"1"	"0"	"1"	"4"	"1"	"4"	"3"	"3"	"1"	"0"	"9"	"7"	"332"	"0"	"332"	"0"	""
"220"	"123"	"287"	"24"	"12"	"38"	"57"	"3"	"2"	"4"	"6"	"1"	"4"	"1"	"2"	"1"	"1"	"11"	"9"	"463"	"0"	"463"	"0"	""
"221"	"Total"	"2002"	"3237"	"249"	"566"	"415"	"29"	"85"	"106"	"81"	"48"	"70"	"35"	"30"	"59"	"48"	"63"	"108"	"7231"	"0"	"7231"	"0"	""
"222"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"02-Ramnagar (SC)Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Total No. of Electors in Assembly Constituency -     216554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 10)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec
ted"	"Total"	"No.  of Tende red Votes"	""
"231"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"232"	"124"	"207"	"87"	"11"	"33"	"68"	"4"	"66"	"2"	"8"	"6"	"8"	"1"	"1"	"4"	"3"	"5"	"15"	"529"	"0"	"529"	"0"	""
"233"	"125"	"109"	"100"	"12"	"100"	"174"	"11"	"35"	"4"	"8"	"3"	"24"	"1"	"1"	"2"	"0"	"0"	"2"	"586"	"0"	"586"	"0"	""
"234"	"126"	"74"	"146"	"12"	"79"	"136"	"6"	"2"	"47"	"7"	"4"	"5"	"2"	"2"	"8"	"3"	"10"	"7"	"550"	"0"	"550"	"0"	""
"235"	"127"	"51"	"168"	"3"	"3"	"63"	"2"	"3"	"1"	"5"	"1"	"12"	"4"	"5"	"9"	"4"	"6"	"7"	"347"	"0"	"347"	"0"	""
"236"	"128"	"28"	"70"	"8"	"3"	"56"	"4"	"1"	"3"	"9"	"2"	"4"	"3"	"0"	"3"	"2"	"5"	"0"	"201"	"0"	"201"	"0"	""
"237"	"129"	"21"	"243"	"3"	"1"	"88"	"3"	"1"	"2"	"4"	"5"	"8"	"4"	"8"	"4"	"2"	"5"	"4"	"406"	"0"	"406"	"0"	""
"238"	"130"	"26"	"210"	"21"	"6"	"66"	"2"	"3"	"10"	"7"	"6"	"6"	"6"	"6"	"9"	"6"	"4"	"11"	"405"	"0"	"405"	"0"	""
"239"	"131"	"29"	"175"	"4"	"6"	"52"	"4"	"1"	"38"	"6"	"7"	"7"	"6"	"8"	"6"	"6"	"13"	"1"	"369"	"0"	"369"	"0"	""
"240"	"132"	"9"	"235"	"4"	"2"	"82"	"2"	"2"	"5"	"5"	"2"	"1"	"6"	"5"	"5"	"1"	"5"	"5"	"376"	"0"	"376"	"0"	""
"241"	"133"	"20"	"242"	"1"	"1"	"152"	"3"	"0"	"0"	"6"	"6"	"3"	"2"	"1"	"2"	"0"	"2"	"6"	"447"	"0"	"447"	"0"	""
"242"	"134"	"89"	"191"	"9"	"6"	"192"	"5"	"0"	"44"	"5"	"4"	"10"	"6"	"2"	"8"	"5"	"6"	"8"	"590"	"0"	"590"	"0"	""
"243"	"135"	"25"	"329"	"9"	"2"	"112"	"2"	"4"	"59"	"10"	"12"	"13"	"12"	"14"	"11"	"16"	"28"	"2"	"660"	"0"	"660"	"0"	""
"244"	"136"	"175"	"220"	"14"	"17"	"109"	"1"	"2"	"38"	"15"	"6"	"11"	"8"	"3"	"8"	"3"	"7"	"14"	"651"	"0"	"651"	"0"	""
"245"	"137"	"46"	"53"	"12"	"5"	"13"	"0"	"1"	"26"	"2"	"4"	"2"	"4"	"4"	"1"	"2"	"9"	"2"	"186"	"0"	"186"	"0"	""
"246"	"Total"	"909"	"2469"	"123"	"264"	"1363"	"49"	"121"	"279"	"97"	"68"	"114"	"65"	"60"	"80"	"53"	"105"	"84"	"6303"	"0"	"6303"	"0"	""
"247"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"02-Ramnagar (SC)Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Total No. of Electors in Assembly Constituency -     216554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 11)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec
ted"	"Total"	"No.  of Tende red Votes"	""
"256"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"257"	"138"	"25"	"350"	"8"	"9"	"57"	"2"	"2"	"31"	"7"	"3"	"29"	"4"	"3"	"11"	"2"	"8"	"4"	"555"	"0"	"555"	"0"	""
"258"	"139"	"45"	"79"	"3"	"108"	"41"	"3"	"1"	"112"	"22"	"9"	"38"	"10"	"7"	"5"	"2"	"11"	"11"	"507"	"0"	"507"	"0"	""
"259"	"140"	"35"	"214"	"3"	"9"	"127"	"3"	"2"	"5"	"4"	"1"	"3"	"4"	"2"	"1"	"1"	"5"	"5"	"424"	"0"	"424"	"0"	""
"260"	"141"	"15"	"85"	"5"	"11"	"154"	"2"	"3"	"33"	"4"	"9"	"6"	"5"	"2"	"2"	"3"	"6"	"4"	"349"	"0"	"349"	"0"	""
"261"	"142"	"25"	"100"	"3"	"2"	"180"	"2"	"6"	"143"	"7"	"9"	"12"	"9"	"2"	"2"	"4"	"12"	"9"	"527"	"0"	"527"	"0"	""
"262"	"143"	"9"	"55"	"1"	"12"	"296"	"3"	"1"	"0"	"5"	"7"	"19"	"2"	"3"	"2"	"4"	"7"	"1"	"427"	"0"	"427"	"0"	""
"263"	"144"	"64"	"78"	"1"	"4"	"159"	"0"	"0"	"10"	"3"	"0"	"4"	"1"	"1"	"0"	"1"	"5"	"0"	"331"	"0"	"331"	"0"	""
"264"	"145"	"23"	"17"	"1"	"11"	"80"	"5"	"0"	"53"	"5"	"7"	"1"	"2"	"3"	"0"	"3"	"0"	"2"	"213"	"0"	"213"	"0"	""
"265"	"146"	"143"	"332"	"21"	"53"	"202"	"9"	"8"	"22"	"9"	"6"	"16"	"13"	"7"	"10"	"4"	"8"	"12"	"875"	"0"	"875"	"0"	""
"266"	"147"	"8"	"134"	"7"	"7"	"195"	"3"	"0"	"0"	"2"	"1"	"2"	"2"	"0"	"1"	"0"	"8"	"2"	"372"	"0"	"372"	"0"	""
"267"	"148"	"7"	"94"	"3"	"14"	"47"	"0"	"4"	"12"	"2"	"2"	"35"	"2"	"2"	"1"	"6"	"3"	"0"	"234"	"0"	"234"	"0"	""
"268"	"149"	"17"	"290"	"11"	"20"	"48"	"0"	"1"	"23"	"8"	"4"	"34"	"3"	"3"	"0"	"4"	"1"	"2"	"469"	"0"	"469"	"0"	""
"269"	"150"	"55"	"133"	"29"	"34"	"141"	"6"	"8"	"165"	"19"	"20"	"16"	"5"	"11"	"7"	"4"	"20"	"12"	"685"	"0"	"685"	"0"	""
"270"	"151"	"14"	"340"	"4"	"2"	"134"	"5"	"3"	"52"	"6"	"7"	"4"	"4"	"3"	"5"	"7"	"5"	"4"	"599"	"0"	"599"	"0"	""
"271"	"Total"	"485"	"2301"	"100"	"296"	"1861"	"43"	"39"	"661"	"103"	"85"	"219"	"66"	"49"	"47"	"45"	"99"	"68"	"6567"	"0"	"6567"	"0"	""
"272"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"02-Ramnagar (SC)Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Total No. of Electors in Assembly Constituency -     216554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"02-Ramnagar (SC)Legislative Assembly Constituency (Round - 12)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Polling Statio n No."	"NARESH RAM"	"BHAGIRAT HI DEVI"	"LAKSHMI RAM"	"SHAMBHU RAM"	"SUBODH KUMAR"	"UDAY RARAM"	"RAMRAJ PASWAN"	"RAMESHV AR MANJHEE"	"SANKAR RAM"	"SAHODARI DEVI"	"HIRALAL RAM"	"KANCHAN BAITHA"	"NATHU RAVI"	"PARSOTT AM RAM"	"MANSA BHARTI"	"VIJAY PASWAN"	"SUCHINDR A RAM"	"Total No.     of actual Votes"	"Total No. of rejec
ted"	"Total"	"No.  of Tende red Votes"	""
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	""
"282"	"152"	"10"	"184"	"4"	"1"	"5"	"0"	"1"	"68"	"0"	"3"	"1"	"0"	"1"	"5"	"0"	"1"	"6"	"290"	"0"	"290"	"0"	""
"283"	"153"	"15"	"280"	"7"	"61"	"119"	"3"	"2"	"52"	"6"	"4"	"33"	"4"	"6"	"4"	"8"	"11"	"9"	"624"	"0"	"624"	"0"	""
"284"	"154"	"31"	"211"	"6"	"28"	"83"	"3"	"2"	"13"	"0"	"4"	"9"	"0"	"7"	"2"	"8"	"8"	"1"	"416"	"0"	"416"	"0"	""
"285"	"155"	"56"	"353"	"4"	"7"	"201"	"3"	"1"	"5"	"5"	"4"	"12"	"7"	"4"	"13"	"12"	"31"	"12"	"730"	"0"	"730"	"0"	""
