"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X233808...149...233957.32.Benipatti"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"
"1"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"2"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"77"	""	"52"	""	"13"	""	"28"	""	"0"	""	"5"	""	"3"	""	"218"	""	"3"	""	"0"	""	"0"	""	"1"	""	"2"	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"1"	""	"2"	""	"0"	""	"0"	""	"3"	""	"281"	""	""	""	"281"	""	""	""
"78"	""	"TotalRN  - 4"	""	"264"	""	"574"	""	"54"	""	"814"	""	"89"	""	"2503"	""	"116"	""	"755"	""	"63"	""	"73"	""	"39"	""	"43"	""	"89"	""	"37"	""	"281"	""	"79"	""	"84"	""	"97"	""	"23"	""	"198"	""	"95"	""	"6370"	""	"0"	""	"6370"	""	"0"	""
"79"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233808 + 149 = 233957
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"81"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"82"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"83"	"Round- 5"	"B.F."	""	"1229"	""	"2957"	""	"487"	""	"3415"	""	"343"	""	"7756"	""	"354"	""	"1051"	""	"300"	""	"222"	""	"161"	""	"175"	""	"335"	""	"340"	""	"804"	""	"535"	""	"856"	""	"509"	""	"123"	""	"393"	""	"328"	""	"22673"	""	"0"	""	"22673"	""	"0"	""
"84"	""	"53"	""	"15"	""	"13"	""	"3"	""	"96"	""	"4"	""	"163"	""	"6"	""	"7"	""	"11"	""	"4"	""	"1"	""	"1"	""	"13"	""	"4"	""	"2"	""	"15"	""	"4"	""	"2"	""	"4"	""	"4"	""	"8"	""	"380"	""	""	""	"380"	""	""	""
"85"	""	"54"	""	"10"	""	"289"	""	"8"	""	"219"	""	"11"	""	"37"	""	"3"	""	"5"	""	"25"	""	"3"	""	"1"	""	"2"	""	"2"	""	"0"	""	"0"	""	"1"	""	"6"	""	"4"	""	"1"	""	"1"	""	"7"	""	"635"	""	""	""	"635"	""	""	""
"86"	""	"55"	""	"8"	""	"15"	""	"0"	""	"300"	""	"8"	""	"127"	""	"4"	""	"1"	""	"1"	""	"2"	""	"1"	""	"6"	""	"13"	""	"7"	""	"7"	""	"10"	""	"5"	""	"7"	""	"1"	""	"4"	""	"4"	""	"531"	""	""	""	"531"	""	""	""
"87"	""	"56"	""	"23"	""	"21"	""	"2"	""	"93"	""	"13"	""	"427"	""	"11"	""	"6"	""	"6"	""	"4"	""	"4"	""	"2"	""	"10"	""	"10"	""	"7"	""	"20"	""	"13"	""	"10"	""	"4"	""	"9"	""	"11"	""	"706"	""	""	""	"706"	""	""	""
"88"	""	"57"	""	"19"	""	"92"	""	"2"	""	"39"	""	"8"	""	"318"	""	"4"	""	"1"	""	"1"	""	"4"	""	"1"	""	"2"	""	"6"	""	"3"	""	"1"	""	"15"	""	"2"	""	"7"	""	"1"	""	"3"	""	"6"	""	"535"	""	""	""	"535"	""	""	""
"89"	""	"58"	""	"12"	""	"52"	""	"5"	""	"49"	""	"1"	""	"231"	""	"4"	""	"1"	""	"4"	""	"2"	""	"5"	""	"1"	""	"4"	""	"3"	""	"4"	""	"1"	""	"11"	""	"3"	""	"2"	""	"8"	""	"13"	""	"416"	""	""	""	"416"	""	""	""
"90"	""	"59"	""	"23"	""	"70"	""	"3"	""	"16"	""	"1"	""	"335"	""	"4"	""	"1"	""	"1"	""	"2"	""	"2"	""	"0"	""	"2"	""	"1"	""	"0"	""	"1"	""	"0"	""	"2"	""	"0"	""	"0"	""	"3"	""	"467"	""	""	""	"467"	""	""	""
"91"	""	"60"	""	"8"	""	"5"	""	"4"	""	"88"	""	"3"	""	"256"	""	"7"	""	"4"	""	"4"	""	"4"	""	"0"	""	"5"	""	"6"	""	"1"	""	"0"	""	"2"	""	"16"	""	"9"	""	"4"	""	"7"	""	"10"	""	"443"	""	""	""	"443"	""	""	""
"92"	""	"61"	""	"19"	""	"60"	""	"3"	""	"73"	""	"3"	""	"378"	""	"10"	""	"5"	""	"3"	""	"9"	""	"5"	""	"4"	""	"13"	""	"10"	""	"2"	""	"11"	""	"3"	""	"5"	""	"14"	""	"12"	""	"12"	""	"654"	""	""	""	"654"	""	""	""
"93"	""	"62"	""	"10"	""	"85"	""	"6"	""	"178"	""	"7"	""	"45"	""	"1"	""	"0"	""	"0"	""	"2"	""	"2"	""	"6"	""	"3"	""	"0"	""	"1"	""	"1"	""	"16"	""	"14"	""	"3"	""	"27"	""	"25"	""	"432"	""	""	""	"432"	""	""	""
"94"	""	"63"	""	"4"	""	"105"	""	"2"	""	"30"	""	"2"	""	"70"	""	"2"	""	"0"	""	"0"	""	"2"	""	"1"	""	"1"	""	"2"	""	"1"	""	"0"	""	"0"	""	"1"	""	"1"	""	"1"	""	"3"	""	"1"	""	"229"	""	""	""	"229"	""	""	""
"95"	""	"64"	""	"23"	""	"128"	""	"5"	""	"56"	""	"4"	""	"232"	""	"3"	""	"6"	""	"2"	""	"6"	""	"3"	""	"5"	""	"4"	""	"3"	""	"6"	""	"2"	""	"5"	""	"4"	""	"3"	""	"1"	""	"6"	""	"507"	""	""	""	"507"	""	""	""
"96"	""	"65"	""	"93"	""	"19"	""	"1"	""	"93"	""	"3"	""	"155"	""	"3"	""	"4"	""	"1"	""	"3"	""	"0"	""	"2"	""	"2"	""	"1"	""	"2"	""	"6"	""	"10"	""	"3"	""	"1"	""	"5"	""	"0"	""	"407"	""	""	""	"407"	""	""	""
"97"	""	"66"	""	"26"	""	"67"	""	"4"	""	"78"	""	"1"	""	"220"	""	"3"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"3"	""	"0"	""	"1"	""	"3"	""	"3"	""	"0"	""	"1"	""	"0"	""	"412"	""	""	""	"412"	""	""	""
"98"	""	"Total RN - 5"	""	"293"	""	"1021"	""	"48"	""	"1408"	""	"69"	""	"2994"	""	"65"	""	"42"	""	"59"	""	"47"	""	"26"	""	"37"	""	"81"	""	"47"	""	"32"	""	"86"	""	"95"	""	"74"	""	"39"	""	"85"	""	"106"	""	"6754"	""	"0"	""	"6754"	""	"0"	""
"99"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233808 + 149 = 233957
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"101"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"102"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"103"	"Round- 6"	"B.F."	""	"1522"	""	"3978"	""	"535"	""	"4823"	""	"412"	""	"10750"	""	"419"	""	"1093"	""	"359"	""	"269"	""	"187"	""	"212"	""	"416"	""	"387"	""	"836"	""	"621"	""	"951"	""	"583"	""	"162"	""	"478"	""	"434"	""	"29427"	""	"0"	""	"29427"	""	"0"	""
"104"	""	"67"	""	"56"	""	"147"	""	"9"	""	"84"	""	"3"	""	"123"	""	"4"	""	"10"	""	"4"	""	"7"	""	"4"	""	"9"	""	"21"	""	"5"	""	"6"	""	"7"	""	"4"	""	"3"	""	"1"	""	"8"	""	"2"	""	"517"	""	""	""	"517"	""	""	""
"105"	""	"68"	""	"26"	""	"19"	""	"7"	""	"264"	""	"12"	""	"201"	""	"17"	""	"8"	""	"4"	""	"11"	""	"4"	""	"5"	""	"11"	""	"3"	""	"13"	""	"6"	""	"13"	""	"7"	""	"3"	""	"19"	""	"14"	""	"667"	""	""	""	"667"	""	""	""
"106"	""	"69"	""	"13"	""	"47"	""	"0"	""	"22"	""	"5"	""	"442"	""	"12"	""	"15"	""	"1"	""	"3"	""	"38"	""	"3"	""	"4"	""	"3"	""	"3"	""	"6"	""	"1"	""	"4"	""	"0"	""	"2"	""	"9"	""	"633"	""	""	""	"633"	""	""	""
"107"	""	"70"	""	"19"	""	"211"	""	"11"	""	"132"	""	"8"	""	"127"	""	"5"	""	"4"	""	"10"	""	"6"	""	"1"	""	"1"	""	"2"	""	"0"	""	"1"	""	"2"	""	"2"	""	"1"	""	"0"	""	"0"	""	"0"	""	"543"	""	""	""	"543"	""	""	""
"108"	""	"71"	""	"34"	""	"168"	""	"3"	""	"5"	""	"3"	""	"159"	""	"5"	""	"5"	""	"1"	""	"3"	""	"5"	""	"2"	""	"2"	""	"1"	""	"5"	""	"7"	""	"1"	""	"4"	""	"1"	""	"5"	""	"3"	""	"422"	""	""	""	"422"	""	""	""
"109"	""	"72"	""	"19"	""	"25"	""	"1"	""	"34"	""	"4"	""	"94"	""	"7"	""	"3"	""	"3"	""	"2"	""	"3"	""	"3"	""	"4"	""	"2"	""	"5"	""	"8"	""	"3"	""	"1"	""	"0"	""	"2"	""	"0"	""	"223"	""	""	""	"223"	""	""	""
"110"	""	"73"	""	"6"	""	"91"	""	"7"	""	"6"	""	"3"	""	"87"	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"2"	""	"1"	""	"1"	""	"208"	""	""	""	"208"	""	""	""
"111"	""	"74"	""	"34"	""	"44"	""	"4"	""	"185"	""	"12"	""	"116"	""	"7"	""	"9"	""	"2"	""	"1"	""	"4"	""	"2"	""	"6"	""	"5"	""	"3"	""	"3"	""	"15"	""	"6"	""	"4"	""	"16"	""	"14"	""	"492"	""	""	""	"492"	""	""	""
"112"	""	"75"	""	"24"	""	"21"	""	"2"	""	"2"	""	"0"	""	"120"	""	"4"	""	"0"	""	"3"	""	"4"	""	"1"	""	"2"	""	"2"	""	"0"	""	"2"	""	"5"	""	"0"	""	"1"	""	"0"	""	"3"	""	"6"	""	"202"	""	""	""	"202"	""	""	""
"113"	""	"76"	""	"10"	""	"218"	""	"6"	""	"72"	""	"3"	""	"7"	""	"2"	""	"4"	""	"6"	""	"7"	""	"1"	""	"4"	""	"7"	""	"2"	""	"9"	""	"5"	""	"0"	""	"5"	""	"1"	""	"3"	""	"1"	""	"373"	""	""	""	"373"	""	""	""
"114"	""	"76A"	""	"11"	""	"136"	""	"3"	""	"54"	""	"1"	""	"4"	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	""	"4"	""	"0"	""	"1"	""	"4"	""	"0"	""	"5"	""	"0"	""	"4"	""	"0"	""	"229"	""	""	""	"229"	""	""	""
"115"	""	"77"	""	"194"	""	"38"	""	"8"	""	"7"	""	"4"	""	"223"	""	"4"	""	"5"	""	"4"	""	"2"	""	"1"	""	"2"	""	"4"	""	"17"	""	"1"	""	"5"	""	"8"	""	"1"	""	"2"	""	"4"	""	"9"	""	"543"	""	""	""	"543"	""	""	""
"116"	""	"78"	""	"109"	""	"26"	""	"7"	""	"130"	""	"9"	""	"125"	""	"4"	""	"2"	""	"4"	""	"4"	""	"2"	""	"5"	""	"2"	""	"9"	""	"1"	""	"0"	""	"24"	""	"12"	""	"5"	""	"8"	""	"10"	""	"498"	""	""	""	"498"	""	""	""
"117"	""	"79"	""	"30"	""	"88"	""	"2"	""	"11"	""	"3"	""	"226"	""	"12"	""	"1"	""	"5"	""	"2"	""	"2"	""	"2"	""	"2"	""	"1"	""	"2"	""	"5"	""	"1"	""	"1"	""	"0"	""	"1"	""	"2"	""	"399"	""	""	""	"399"	""	""	""
"118"	""	"Total RN - 6"	""	"585"	""	"1279"	""	"70"	""	"1008"	""	"70"	""	"2054"	""	"85"	""	"66"	""	"47"	""	"54"	""	"66"	""	"41"	""	"71"	""	"48"	""	"52"	""	"63"	""	"72"	""	"52"	""	"19"	""	"76"	""	"71"	""	"5949"	""	"0"	""	"5949"	""	"0"	""
"119"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233808 + 149 = 233957
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"121"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"122"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"123"	"Round- 7"	"B.F."	""	"2107"	""	"5257"	""	"605"	""	"5831"	""	"482"	""	"12804"	""	"504"	""	"1159"	""	"406"	""	"323"	""	"253"	""	"253"	""	"487"	""	"435"	""	"888"	""	"684"	""	"1023"	""	"635"	""	"181"	""	"554"	""	"505"	""	"35376"	""	"0"	""	"35376"	""	"0"	""
"124"	""	"80"	""	"128"	""	"33"	""	"3"	""	"14"	""	"4"	""	"257"	""	"16"	""	"10"	""	"6"	""	"3"	""	"1"	""	"5"	""	"10"	""	"2"	""	"6"	""	"12"	""	"18"	""	"4"	""	"4"	""	"9"	""	"8"	""	"553"	""	""	""	"553"	""	""	""
"125"	""	"81"	""	"133"	""	"16"	""	"1"	""	"42"	""	"9"	""	"141"	""	"7"	""	"3"	""	"6"	""	"3"	""	"3"	""	"4"	""	"0"	""	"14"	""	"0"	""	"2"	""	"8"	""	"4"	""	"2"	""	"7"	""	"5"	""	"410"	""	""	""	"410"	""	""	""
"126"	""	"81A"	""	"47"	""	"20"	""	"1"	""	"151"	""	"1"	""	"30"	""	"5"	""	"0"	""	"6"	""	"2"	""	"3"	""	"6"	""	"4"	""	"13"	""	"2"	""	"1"	""	"21"	""	"12"	""	"6"	""	"15"	""	"12"	""	"358"	""	""	""	"358"	""	""	""
"127"	""	"82"	""	"31"	""	"20"	""	"7"	""	"45"	""	"3"	""	"95"	""	"7"	""	"2"	""	"0"	""	"5"	""	"2"	""	"1"	""	"4"	""	"171"	""	"3"	""	"3"	""	"14"	""	"5"	""	"6"	""	"5"	""	"10"	""	"439"	""	""	""	"439"	""	""	""
"128"	""	"82A"	""	"10"	""	"17"	""	"1"	""	"42"	""	"3"	""	"67"	""	"3"	""	"1"	""	"1"	""	"2"	""	"1"	""	"0"	""	"2"	""	"58"	""	"3"	""	"4"	""	"12"	""	"4"	""	"3"	""	"14"	""	"12"	""	"260"	""	""	""	"260"	""	""	""
"129"	""	"83"	""	"28"	""	"38"	""	"5"	""	"98"	""	"3"	""	"204"	""	"7"	""	"5"	""	"0"	""	"6"	""	"3"	""	"1"	""	"5"	""	"83"	""	"2"	""	"3"	""	"16"	""	"12"	""	"9"	""	"15"	""	"13"	""	"556"	""	""	""	"556"	""	""	""
"130"	""	"84"	""	"183"	""	"10"	""	"1"	""	"20"	""	"5"	""	"123"	""	"5"	""	"7"	""	"1"	""	"3"	""	"2"	""	"1"	""	"7"	""	"32"	""	"7"	""	"11"	""	"7"	""	"2"	""	"0"	""	"3"	""	"5"	""	"435"	""	""	""	"435"	""	""	""
"131"	""	"85"	""	"14"	""	"103"	""	"2"	""	"13"	""	"4"	""	"209"	""	"4"	""	"2"	""	"3"	""	"4"	""	"4"	""	"0"	""	"3"	""	"8"	""	"0"	""	"2"	""	"3"	""	"7"	""	"6"	""	"15"	""	"8"	""	"414"	""	""	""	"414"	""	""	""
"132"	""	"86"	""	"31"	""	"45"	""	"9"	""	"11"	""	"10"	""	"354"	""	"12"	""	"8"	""	"8"	""	"4"	""	"4"	""	"2"	""	"4"	""	"36"	""	"2"	""	"4"	""	"4"	""	"3"	""	"0"	""	"1"	""	"5"	""	"557"	""	""	""	"557"	""	""	""
"133"	""	"87"	""	"10"	""	"110"	""	"2"	""	"6"	""	"2"	""	"63"	""	"1"	""	"2"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	"2"	""	"1"	""	"0"	""	"0"	""	"0"	""	"3"	""	"205"	""	""	""	"205"	""	""	""
"134"	""	"88"	""	"14"	""	"76"	""	"7"	""	"8"	""	"2"	""	"236"	""	"5"	""	"8"	""	"4"	""	"1"	""	"1"	""	"2"	""	"5"	""	"2"	""	"2"	""	"3"	""	"1"	""	"0"	""	"1"	""	"3"	""	"1"	""	"382"	""	""	""	"382"	""	""	""
"135"	""	"89"	""	"67"	""	"363"	""	"11"	""	"22"	""	"3"	""	"54"	""	"0"	""	"2"	""	"5"	""	"2"	""	"2"	""	"0"	""	"4"	""	"19"	""	"3"	""	"3"	""	"9"	""	"4"	""	"2"	""	"2"	""	"7"	""	"584"	""	""	""	"584"	""	""	""
"136"	""	"90"	""	"13"	""	"156"	""	"14"	""	"5"	""	"1"	""	"131"	""	"5"	""	"0"	""	"2"	""	"2"	""	"3"	""	"0"	""	"2"	""	"0"	""	"2"	""	"3"	""	"5"	""	"5"	""	"2"	""	"5"	""	"5"	""	"361"	""	""	""	"361"	""	""	""
"137"	""	"91"	""	"13"	""	"82"	""	"10"	""	"84"	""	"8"	""	"96"	""	"4"	""	"8"	""	"6"	""	"2"	""	"1"	""	"4"	""	"4"	""	"13"	""	"1"	""	"11"	""	"3"	""	"1"	""	"2"	""	"3"	""	"10"	""	"366"	""	""	""	"366"	""	""	""
"138"	""	"Total RN - 7"	""	"722"	""	"1089"	""	"74"	""	"561"	""	"58"	""	"2060"	""	"81"	""	"58"	""	"49"	""	"39"	""	"30"	""	"26"	""	"54"	""	"452"	""	"34"	""	"64"	""	"122"	""	"63"	""	"43"	""	"97"	""	"104"	""	"5880"	""	"0"	""	"5880"	""	"0"	""
"139"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"233808 + 149 = 233957
32-Benipatti"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Round No"	"Sl. No. of Polling Station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of Rejected Votes"	""	"Total"	""	"No. of Tendered Votes"	""
"141"	""	""	""	"Kripa Nand Jha"	""	"Bhawana Jha"	""	"Mahendra Narayan Ray"	""	"Mahesh Chandra Singh"	""	"Mishri Lal Yadav"	""	"Vinod Narayan Jha"	""	"Kameshwar Yadav"	""	"Chandra Kishor Roy"	""	"Mohammad Arashad Hussain"	""	"Ram Chandra Yadav"	""	"Lalit Yadav"	""	"Binod Yadav"	""	"Md. Habib"	""	"Ajit Paswan"	""	"Anurag Sahni"	""	"Ganesh Pandey"	""	"Mohd Zinnur"	""	"Randhir Thakur"	""	"Ram Lakhan Ram"	""	"Shiv Shankar Yadav"	""	"Sanjay Kumar Singh"	""	""	""	""	""	""	""	""	""
"142"	""	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	"19"	""	"20"	""	"21"	""	""	""	""	""	""	""	""	""
"143"	"Round- 8"	"B.F."	""	"2829"	""	"6346"	""	"679"	""	"6392"	""	"540"	""	"14864"	""	"585"	""	"1217"	""	"455"	""	"362"	""	"283"	""	"279"	""	"541"	""	"887"	""	"922"	""	"748"	""	"1145"	""	"698"	""	"224"	""	"651"	""	"609"	""	"41256"	""	"0"	""	"41256"	""	"0"	""
"144"	""	"92"	""	"105"	""	"73"	""	"2"	""	"62"	""	"12"	""	"196"	""	"13"	""	"14"	""	"4"	""	"6"	""	"2"	""	"4"	""	"7"	""	"6"	""	"0"	""	"7"	""	"11"	""	"5"	""	"2"	""	"6"	""	"9"	""	"546"	""	""	""	"546"	""	""	""
"145"	""	"93"	""	"87"	""	"90"	""	"6"	""	"84"	""	"13"	""	"164"	""	"14"	""	"11"	""	"7"	""	"12"	""	"4"	""	"10"	""	"6"	""	"32"	""	"47"	""	"9"	""	"13"	""	"4"	""	"3"	""	"9"	""	"10"	""	"635"	""	""	""	"635"	""	""	""
"146"	""	"94"	""	"136"	""	"34"	""	"1"	""	"10"	""	"3"	""	"122"	""	"2"	""	"9"	""	"1"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"3"	""	"0"	""	"2"	""	"1"	""	"1"	""	"99"	""	"2"	""	"427"	""	""	""	"427"	""	""	""
"147"	""	"95"	""	"160"	""	"38"	""	"1"	""	"167"	""	"6"	""	"10"	""	"5"	""	"7"	""	"11"	""	"2"	""	"8"	""	"8"	""	"4"	""	"1"	""	"2"	""	"4"	""	"7"	""	"2"	""	"2"	""	"52"	""	"13"	""	"510"	""	""	""	"510"	""	""	""
"148"	""	"96"	""	"19"	""	"72"	""	"1"	""	"5"	""	"5"	""	"101"	""	"2"	""	"1"	""	"1"	""	"1"	""	"10"	""	"1"	""	"0"	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	""	"1"	""	"1"	""	"1"	""	"224"	""	""	""	"224"	""	""	""
"149"	""	"97"	""	"4"	""	"8"	""	"3"	""	"8"	""	"3"	""	"256"	""	"5"	""	"2"	""	"0"	""	"2"	""	"6"	""	"1"	""	"2"	""	"0"	""	"1"	""	"4"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"305"	""	""	""	"305"	""	""	""
"150"	""	"98"	""	"67"	""	"150"	""	"0"	""	"83"	""	"3"	""	"101"	""	"3"	""	"8"	""	"10"	""	"6"	""	"6"	""	"15"	""	"18"	""	"2"	""	"9"	""	"7"	""	"4"	""	"5"	""	"3"	""	"6"	""	"10"	""	"516"	""	""	""	"516"	""	""	""
"151"	""	"99"	""	"46"	""	"149"	""	"5"	""	"2"	""	"5"	""	"170"	""	"4"	""	"1"	""	"1"	""	"2"	""	"4"	""	"1"	""	"0"	""	"1"	""	"1"	""	"2"	""	"4"	""	"1"	""	"1"	""	"2"	""	"7"	""	"409"	""	""	""	"409"	""	""	""
"152"	""	"100"	""	"38"	""	"48"	""	"4"	""	"27"	""	"4"	""	"212"	""	"7"	""	"11"	""	"6"	""	"9"	""	"2"	""	"4"	""	"1"	""	"1"	""	"0"	""	"2"	""	"3"	""	"3"	""	"1"	""	"50"	""	"6"	""	"439"	""	""	""	"439"	""	""	""
"153"	""	"101"	""	"47"	""	"98"	""	"6"	""	"13"	""	"0"	""	"81"	""	"3"	""	"3"	""	"2"	""	"2"	""	"15"	""	"2"	""	"0"	""	"3"	""	"2"	""	"5"	""	"3"	""	"4"	""	"0"	""	"0"	""	"8"	""	"297"	""	""	""	"297"	""	""	""
"154"	""	"102"	""	"32"	""	"33"	""	"2"	""	"20"	""	"27"	""	"92"	""	"3"	""	"6"	""	"2"	""	"1"	""	"6"	""	"1"	""	"3"	""	"5"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"4"	""	"2"	""	"240"	""	""	""	"240"	""	""	""
