"Candidates.Name"	"ANIL.KUMAR.TRIVEDI"	"KUNWAR.VIJAY.SINGH"	"MANJU.PRAKASH"	"YOGEN.DRA.CHOUH.AN"	"SHYAM.LAL.SINGH.KUSHWA.HA"	"PROF..SUKHADA.PANDE"	"AGNI.DEO.RAY"	"UPENDR.A.KUMAR.DUBEY"	"UMA.SANKAR.RAY"	"OM.PRAKASH.SINGH"	"RAJ.ROUSHA.N.YADAV"	"RAM.KRIPAL.SINGH"	"HARI.KISHUN.RAM"	"TAFIR.HUSSIN"	"TARKE.SHWA.R.PASW.AN"	"DEV.NARAYA.N.SINGH.YADAV"	"BANSH.NARAYA.N.PANDEY"	"BRAHMA.NAND.YADAV"	"BHARTI.KUMARI.PANDEY"	"RAJIV.KUMAR"	"BIR.BAHADUR.UPADHAYA.Y"	"SUNITA.DEVI"	"HRIDAY.A.NARAYA.N.SINGH"	"ANOOP.PRAKASH"	"GAYAT.RI.DEVI"	"Total"
"115"	"97"	"33"	"11"	"19"	"1"	"105"	"286"	"5"	"1"	"4"	"0"	"2"	"6"	"0"	"0"	"3"	"3"	"4"	"1"	"1"	"3"	"2"	"6"	"3"	"6"	"29"	"534"
"116"	"98"	"13"	"15"	"9"	"0"	"94"	"244"	"8"	"2"	"0"	"1"	"2"	"8"	"3"	"0"	"3"	"4"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"13"	"426"
"117"	"99"	"25"	"10"	"159"	"9"	"246"	"66"	"7"	"5"	"1"	"1"	"7"	"5"	"2"	"4"	"0"	"7"	"1"	"1"	"5"	"1"	"5"	"2"	"5"	"7"	"18"	"599"
"118"	"100"	"12"	"33"	"1"	"1"	"75"	"177"	"2"	"4"	"1"	"1"	"19"	"5"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"29"	"3"	"371"
"119"	"101"	"51"	"10"	"1"	"3"	"154"	"62"	"3"	"0"	"2"	"1"	"2"	"5"	"2"	"0"	"2"	"3"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"8"	"316"
"120"	"102"	"5"	"7"	"2"	"0"	"91"	"83"	"3"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"3"	"206"
"121"	"103"	"19"	"22"	"12"	"1"	"165"	"172"	"3"	"4"	"4"	"0"	"5"	"4"	"4"	"1"	"1"	"5"	"2"	"0"	"0"	"1"	"0"	"3"	"0"	"7"	"23"	"458"
"122"	"104"	"2"	"141"	"6"	"0"	"4"	"225"	"1"	"8"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"398"
"123"	"105"	"2"	"115"	"17"	"3"	"87"	"59"	"0"	"1"	"0"	"2"	"2"	"6"	"1"	"10"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"2"	"315"
"124"	"106"	"26"	"12"	"59"	"3"	"120"	"144"	"2"	"0"	"2"	"2"	"3"	"130"	"0"	"1"	"4"	"6"	"4"	"1"	"3"	"2"	"2"	"22"	"4"	"2"	"12"	"566"
"125"	"107"	"8"	"27"	"73"	"0"	"89"	"240"	"3"	"0"	"1"	"2"	"3"	"4"	"1"	"0"	"1"	"3"	"1"	"0"	"3"	"2"	"1"	"2"	"0"	"1"	"4"	"469"
"126"	"108"	"7"	"45"	"11"	"3"	"110"	"259"	"7"	"2"	"1"	"0"	"9"	"9"	"2"	"1"	"4"	"5"	"2"	"1"	"1"	"0"	"1"	"4"	"1"	"2"	"4"	"491"
"127"	"109"	"2"	"88"	"12"	"17"	"105"	"113"	"2"	"2"	"4"	"5"	"2"	"14"	"6"	"5"	"2"	"6"	"2"	"0"	"0"	"0"	"1"	"3"	"1"	"3"	"7"	"402"
"128"	"110"	"3"	"26"	"20"	"2"	"292"	"264"	"4"	"3"	"3"	"5"	"14"	"11"	"2"	"2"	"3"	"5"	"4"	"0"	"1"	"3"	"8"	"12"	"6"	"2"	"44"	"739"
"129"	"111"	"14"	"2"	"86"	"15"	"132"	"163"	"5"	"1"	"2"	"3"	"16"	"4"	"0"	"5"	"2"	"0"	"2"	"0"	"0"	"2"	"2"	"0"	"1"	"0"	"15"	"472"
"130"	"112"	"13"	"50"	"78"	"1"	"84"	"139"	"2"	"2"	"0"	"1"	"19"	"8"	"5"	"27"	"0"	"5"	"3"	"0"	"8"	"1"	"10"	"5"	"0"	"3"	"14"	"478"
"131"	"113"	"17"	"220"	"19"	"2"	"275"	"154"	"5"	"1"	"3"	"14"	"2"	"7"	"1"	"0"	"2"	"4"	"1"	"3"	"1"	"0"	"3"	"1"	"1"	"1"	"7"	"744"
"132"	"114"	"27"	"148"	"61"	"2"	"324"	"94"	"1"	"3"	"2"	"7"	"13"	"8"	"5"	"6"	"7"	"11"	"2"	"4"	"1"	"0"	"8"	"1"	"2"	"2"	"11"	"750"
"133"	"115"	"14"	"41"	"5"	"3"	"197"	"441"	"6"	"5"	"1"	"3"	"23"	"1"	"3"	"7"	"1"	"5"	"5"	"2"	"2"	"1"	"2"	"5"	"3"	"12"	"33"	"821"
"134"	"116"	"13"	"41"	"12"	"0"	"56"	"299"	"3"	"3"	"0"	"5"	"11"	"3"	"3"	"1"	"8"	"6"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"25"	"8"	"502"
"135"	"117"	"27"	"0"	"2"	"3"	"153"	"68"	"5"	"2"	"12"	"186"	"6"	"6"	"2"	"2"	"4"	"7"	"1"	"2"	"0"	"1"	"3"	"0"	"0"	"10"	"20"	"522"
"136"	"117A"	"16"	"8"	"0"	"0"	"109"	"188"	"5"	"0"	"1"	"36"	"3"	"2"	"0"	"1"	"2"	"4"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"9"	"387"
"137"	"118"	"17"	"5"	"13"	"2"	"164"	"530"	"14"	"3"	"2"	"0"	"7"	"4"	"3"	"0"	"1"	"6"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"22"	"797"
"138"	"119"	"2"	"109"	"6"	"1"	"33"	"57"	"7"	"4"	"0"	"44"	"2"	"1"	"0"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"109"	"7"	"389"
"139"	"120"	"18"	"19"	"37"	"6"	"231"	"120"	"4"	"3"	"1"	"6"	"2"	"4"	"2"	"2"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"93"	"2"	"556"
"140"	"121"	"8"	"209"	"29"	"1"	"142"	"87"	"8"	"3"	"3"	"3"	"6"	"11"	"2"	"1"	"2"	"19"	"3"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"4"	"545"
"141"	"122"	"27"	"47"	"7"	"0"	"19"	"125"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"
"142"	"123"	"4"	"156"	"72"	"0"	"73"	"122"	"4"	"4"	"2"	"1"	"4"	"1"	"1"	"6"	"4"	"6"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"21"	"21"	"506"
"143"	"124"	"3"	"121"	"2"	"1"	"68"	"211"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"6"	"5"	"1"	"1"	"0"	"1"	"1"	"3"	"0"	"122"	"0"	"550"
"144"	"125"	"6"	"77"	"18"	"3"	"202"	"159"	"7"	"5"	"3"	"20"	"0"	"7"	"3"	"4"	"3"	"6"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"171"	"14"	"715"
"145"	"126"	"22"	"38"	"210"	"8"	"94"	"133"	"19"	"16"	"6"	"16"	"2"	"5"	"2"	"19"	"3"	"2"	"3"	"1"	"5"	"3"	"2"	"2"	"2"	"125"	"23"	"761"
"146"	"127"	"6"	"230"	"13"	"1"	"54"	"25"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"1"	"4"	"3"	"9"	"3"	"1"	"0"	"2"	"1"	"86"	"9"	"454"
"147"	"128"	"19"	"75"	"26"	"3"	"261"	"93"	"5"	"2"	"3"	"69"	"2"	"6"	"10"	"3"	"2"	"10"	"6"	"4"	"1"	"3"	"7"	"4"	"3"	"38"	"17"	"672"
"148"	"129"	"18"	"46"	"0"	"0"	"49"	"80"	"5"	"0"	"2"	"20"	"1"	"3"	"0"	"1"	"1"	"2"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"4"	"4"	"240"
"149"	"130"	"43"	"85"	"47"	"3"	"119"	"161"	"6"	"2"	"5"	"169"	"7"	"3"	"6"	"4"	"1"	"4"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"6"	"3"	"683"
"150"	"Candidates Name"	"ANIL KUMAR TRIVEDI"	"KUNWAR VIJAY SINGH"	"MANJU PRAKASH"	"YOGEN DRA CHOUH AN"	"SHYAM LAL SINGH KUSHWA HA"	"PROF. SUKHADA PANDE"	"AGNI DEO RAY"	"UPENDR A KUMAR DUBEY"	"UMA SANKAR RAY"	"OM PRAKASH SINGH"	"RAJ ROUSHA N YADAV"	"RAM KRIPAL SINGH"	"HARI KISHUN RAM"	"TAFIR HUSSIN"	"TARKE SHWA R PASW AN"	"DEV NARAYA N SINGH YADAV"	"BANSH NARAYA N PANDEY"	"BRAHMA NAND YADAV"	"BHARTI KUMARI PANDEY"	"RAJIV KUMAR"	"BIR BAHADUR UPADHAYA Y"	"SUNITA DEVI"	"HRIDAY A NARAYA N SINGH"	"ANOOP PRAKASH"	"GAYAT RI DEVI"	"Total"
"151"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"155"	"130A"	"5"	"3"	"22"	"2"	"154"	"47"	"1"	"1"	"2"	"33"	"7"	"9"	"2"	"1"	"0"	"5"	"2"	"0"	"0"	"1"	"5"	"1"	"1"	"5"	"12"	"321"
"156"	"131"	"3"	"9"	"2"	"0"	"38"	"147"	"4"	"2"	"1"	"45"	"1"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"0"	"1"	"7"	"4"	"1"	"276"	"6"	"556"
"157"	"132"	"6"	"358"	"9"	"3"	"94"	"81"	"3"	"3"	"2"	"81"	"3"	"1"	"2"	"1"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"11"	"5"	"672"
"158"	"133"	"2"	"1"	"7"	"1"	"13"	"80"	"4"	"3"	"0"	"89"	"1"	"0"	"2"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"13"	"5"	"227"
"159"	"134"	"2"	"58"	"47"	"6"	"128"	"244"	"6"	"1"	"0"	"0"	"0"	"3"	"1"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"5"	"1"	"114"	"3"	"627"
"160"	"135"	"23"	"44"	"24"	"3"	"260"	"260"	"5"	"4"	"2"	"5"	"14"	"6"	"2"	"5"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"1"	"0"	"1"	"60"	"725"
"161"	"136"	"12"	"4"	"1"	"0"	"146"	"66"	"0"	"0"	"0"	"0"	"15"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"68"	"7"	"327"
"162"	"137"	"9"	"16"	"19"	"2"	"20"	"348"	"36"	"7"	"2"	"9"	"20"	"13"	"7"	"3"	"6"	"21"	"5"	"1"	"1"	"1"	"2"	"2"	"4"	"3"	"13"	"570"
"163"	"138"	"9"	"93"	"28"	"3"	"109"	"297"	"17"	"2"	"4"	"1"	"2"	"3"	"1"	"7"	"5"	"5"	"2"	"1"	"0"	"1"	"0"	"3"	"2"	"1"	"16"	"612"
"164"	"139"	"2"	"15"	"86"	"3"	"126"	"29"	"4"	"3"	"1"	"4"	"3"	"7"	"5"	"1"	"1"	"9"	"0"	"2"	"2"	"0"	"5"	"0"	"0"	"2"	"10"	"320"
"165"	"140"	"7"	"38"	"20"	"3"	"7"	"226"	"3"	"1"	"0"	"0"	"1"	"4"	"1"	"6"	"1"	"8"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"334"
"166"	"141"	"16"	"105"	"12"	"4"	"182"	"46"	"0"	"0"	"3"	"11"	"84"	"29"	"3"	"5"	"8"	"8"	"3"	"2"	"0"	"1"	"1"	"5"	"1"	"3"	"83"	"615"
"167"	"142"	"7"	"94"	"14"	"0"	"61"	"198"	"2"	"2"	"2"	"1"	"22"	"5"	"4"	"6"	"3"	"5"	"4"	"3"	"1"	"2"	"3"	"2"	"3"	"6"	"71"	"521"
"168"	"143"	"7"	"134"	"115"	"3"	"151"	"224"	"8"	"9"	"2"	"6"	"32"	"10"	"2"	"7"	"5"	"6"	"3"	"2"	"1"	"2"	"3"	"2"	"1"	"2"	"8"	"745"
"169"	"144"	"8"	"14"	"171"	"6"	"240"	"54"	"3"	"4"	"1"	"10"	"127"	"13"	"2"	"0"	"0"	"2"	"2"	"1"	"0"	"1"	"7"	"4"	"3"	"2"	"25"	"700"
"170"	"145"	"5"	"211"	"12"	"1"	"99"	"111"	"3"	"1"	"1"	"2"	"41"	"7"	"7"	"4"	"6"	"9"	"4"	"4"	"1"	"1"	"5"	"1"	"3"	"2"	"38"	"579"
"171"	"146"	"2"	"4"	"117"	"17"	"369"	"205"	"9"	"0"	"3"	"6"	"4"	"50"	"4"	"3"	"3"	"4"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"3"	"67"	"876"
"172"	"147"	"8"	"37"	"56"	"4"	"297"	"181"	"2"	"7"	"10"	"38"	"7"	"16"	"5"	"13"	"6"	"21"	"1"	"4"	"1"	"4"	"7"	"7"	"1"	"1"	"101"	"835"
"173"	"148"	"17"	"5"	"63"	"2"	"235"	"178"	"2"	"4"	"4"	"21"	"20"	"6"	"5"	"3"	"2"	"9"	"1"	"0"	"2"	"0"	"1"	"2"	"3"	"2"	"9"	"596"
"174"	"149"	"2"	"2"	"4"	"3"	"147"	"68"	"4"	"3"	"0"	"74"	"70"	"3"	"3"	"2"	"2"	"8"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"25"	"422"
"175"	"150"	"3"	"49"	"243"	"5"	"72"	"88"	"2"	"1"	"2"	"0"	"2"	"7"	"3"	"9"	"2"	"12"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"506"
"176"	"151"	"6"	"14"	"69"	"9"	"220"	"61"	"5"	"2"	"0"	"10"	"10"	"8"	"3"	"14"	"3"	"8"	"1"	"1"	"0"	"1"	"5"	"2"	"0"	"0"	"9"	"461"
"177"	"152"	"45"	"81"	"16"	"2"	"54"	"195"	"7"	"1"	"2"	"2"	"2"	"6"	"1"	"3"	"4"	"9"	"1"	"1"	"2"	"1"	"2"	"5"	"1"	"2"	"10"	"455"
"178"	"153"	"6"	"1"	"67"	"0"	"21"	"96"	"2"	"0"	"1"	"0"	"0"	"2"	"7"	"3"	"1"	"0"	"1"	"1"	"3"	"0"	"1"	"3"	"0"	"13"	"1"	"230"
"179"	"154"	"6"	"22"	"16"	"0"	"5"	"9"	"2"	"0"	"4"	"2"	"216"	"2"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"3"	"0"	"1"	"1"	"4"	"298"
"180"	"155"	"21"	"174"	"102"	"5"	"181"	"103"	"4"	"2"	"1"	"5"	"3"	"6"	"1"	"4"	"1"	"1"	"6"	"1"	"0"	"2"	"3"	"8"	"4"	"17"	"20"	"675"
"181"	"156"	"6"	"140"	"109"	"2"	"176"	"78"	"1"	"2"	"2"	"5"	"3"	"6"	"3"	"7"	"3"	"3"	"3"	"3"	"1"	"5"	"1"	"3"	"4"	"34"	"26"	"626"
"182"	"157"	"37"	"40"	"140"	"9"	"73"	"71"	"2"	"10"	"2"	"5"	"4"	"4"	"2"	"14"	"2"	"5"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"8"	"20"	"453"
"183"	"158"	"9"	"47"	"3"	"2"	"12"	"223"	"4"	"2"	"2"	"2"	"2"	"7"	"2"	"6"	"1"	"5"	"0"	"0"	"1"	"1"	"2"	"4"	"0"	"2"	"3"	"342"
"184"	"159"	"1"	"34"	"44"	"0"	"133"	"76"	"5"	"6"	"0"	"2"	"2"	"0"	"3"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"4"	"0"	"0"	"170"	"10"	"494"
"185"	"160"	"30"	"33"	"157"	"5"	"176"	"135"	"5"	"0"	"0"	"12"	"19"	"8"	"1"	"4"	"0"	"4"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"1"	"99"	"694"
"186"	"161"	"12"	"2"	"28"	"2"	"289"	"13"	"2"	"0"	"0"	"3"	"99"	"11"	"3"	"1"	"0"	"1"	"5"	"0"	"1"	"1"	"2"	"1"	"1"	"3"	"36"	"516"
"187"	"162"	"46"	"62"	"212"	"9"	"96"	"113"	"7"	"2"	"2"	"6"	"14"	"8"	"5"	"11"	"2"	"9"	"6"	"2"	"10"	"0"	"8"	"2"	"0"	"3"	"17"	"652"
"188"	"163"	"15"	"15"	"219"	"9"	"90"	"21"	"2"	"4"	"1"	"2"	"21"	"8"	"1"	"10"	"2"	"8"	"2"	"0"	"2"	"1"	"1"	"1"	"2"	"13"	"35"	"485"
"189"	"164"	"25"	"11"	"146"	"9"	"78"	"145"	"2"	"1"	"1"	"21"	"8"	"17"	"5"	"7"	"0"	"5"	"1"	"0"	"4"	"1"	"1"	"8"	"1"	"8"	"6"	"511"
"190"	"165"	"9"	"6"	"36"	"2"	"299"	"67"	"0"	"2"	"1"	"90"	"113"	"12"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"131"	"777"
"191"	"166"	"12"	"12"	"181"	"5"	"159"	"156"	"2"	"7"	"4"	"0"	"12"	"4"	"3"	"11"	"3"	"2"	"0"	"1"	"2"	"1"	"2"	"6"	"3"	"25"	"34"	"647"
"192"	"167"	"5"	"29"	"12"	"3"	"61"	"40"	"1"	"3"	"7"	"20"	"632"	"19"	"4"	"6"	"4"	"9"	"0"	"1"	"2"	"0"	"4"	"0"	"1"	"15"	"23"	"901"
"193"	"168"	"11"	"444"	"40"	"1"	"178"	"69"	"1"	"2"	"0"	"6"	"9"	"1"	"3"	"8"	"2"	"3"	"1"	"4"	"3"	"2"	"0"	"2"	"2"	"2"	"11"	"805"
"194"	"169"	"8"	"95"	"6"	"5"	"213"	"43"	"6"	"1"	"3"	"30"	"22"	"9"	"1"	"5"	"2"	"15"	"2"	"5"	"1"	"3"	"12"	"2"	"4"	"12"	"9"	"514"
"195"	"170"	"11"	"11"	"3"	"1"	"282"	"229"	"0"	"0"	"5"	"32"	"6"	"12"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"9"	"1"	"2"	"30"	"23"	"662"
"196"	"171"	"12"	"191"	"7"	"1"	"13"	"127"	"2"	"0"	"3"	"1"	"5"	"0"	"1"	"2"	"3"	"6"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"4"	"387"
"197"	"172"	"25"	"0"	"57"	"2"	"70"	"99"	"2"	"2"	"0"	"0"	"3"	"2"	"1"	"0"	"0"	"3"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"6"	"2"	"279"
"198"	"173"	"13"	"99"	"48"	"2"	"262"	"298"	"6"	"4"	"4"	"8"	"4"	"11"	"7"	"1"	"9"	"14"	"4"	"3"	"2"	"1"	"2"	"4"	"1"	"2"	"9"	"818"
"199"	"174"	"21"	"25"	"5"	"3"	"174"	"253"	"3"	"1"	"1"	"2"	"2"	"2"	"0"	"2"	"0"	"8"	"1"	"2"	"0"	"0"	"4"	"5"	"0"	"12"	"10"	"536"
"200"	"Candidates Name"	"ANIL KUMAR TRIVEDI"	"KUNWAR VIJAY SINGH"	"MANJU PRAKASH"	"YOGEN DRA CHOUH AN"	"SHYAM LAL SINGH KUSHWA HA"	"PROF. SUKHADA PANDE"	"AGNI DEO RAY"	"UPENDR A KUMAR DUBEY"	"UMA SANKAR RAY"	"OM PRAKASH SINGH"	"RAJ ROUSHA N YADAV"	"RAM KRIPAL SINGH"	"HARI KISHUN RAM"	"TAFIR HUSSIN"	"TARKE SHWA R PASW AN"	"DEV NARAYA N SINGH YADAV"	"BANSH NARAYA N PANDEY"	"BRAHMA NAND YADAV"	"BHARTI KUMARI PANDEY"	"RAJIV KUMAR"	"BIR BAHADUR UPADHAYA Y"	"SUNITA DEVI"	"HRIDAY A NARAYA N SINGH"	"ANOOP PRAKASH"	"GAYAT RI DEVI"	"Total"
"201"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"205"	"175"	"14"	"249"	"182"	"5"	"238"	"152"	"3"	"5"	"4"	"10"	"4"	"7"	"2"	"11"	"3"	"2"	"8"	"1"	"1"	"1"	"2"	"6"	"2"	"6"	"6"	"924"
"206"	"176"	"7"	"4"	"138"	"2"	"177"	"82"	"4"	"0"	"0"	"29"	"8"	"5"	"3"	"1"	"0"	"0"	"3"	"0"	"3"	"1"	"4"	"3"	"4"	"6"	"14"	"498"
"207"	"176A"	"8"	"26"	"47"	"1"	"98"	"177"	"4"	"3"	"2"	"11"	"5"	"1"	"4"	"4"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"2"	"2"	"19"	"3"	"422"
"208"	"177"	"138"	"58"	"2"	"3"	"60"	"488"	"5"	"3"	"2"	"3"	"4"	"2"	"0"	"1"	"4"	"3"	"7"	"2"	"3"	"6"	"2"	"7"	"3"	"7"	"17"	"830"
"209"	"178"	"20"	"214"	"13"	"2"	"47"	"220"	"10"	"0"	"2"	"6"	"22"	"0"	"3"	"3"	"8"	"14"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"26"	"16"	"632"
"210"	"179"	"39"	"17"	"22"	"6"	"257"	"481"	"7"	"4"	"2"	"3"	"13"	"8"	"9"	"0"	"3"	"8"	"2"	"0"	"3"	"2"	"2"	"1"	"3"	"2"	"21"	"915"
"211"	"180"	"14"	"10"	"30"	"3"	"110"	"185"	"7"	"0"	"5"	"2"	"1"	"1"	"1"	"3"	"1"	"4"	"4"	"0"	"4"	"1"	"3"	"7"	"3"	"4"	"31"	"434"
"212"	"181"	"7"	"81"	"8"	"1"	"43"	"317"	"6"	"1"	"0"	"1"	"4"	"7"	"1"	"2"	"3"	"4"	"4"	"3"	"2"	"2"	"2"	"11"	"4"	"1"	"24"	"539"
"213"	"182"	"25"	"3"	"37"	"4"	"145"	"471"	"10"	"4"	"3"	"0"	"8"	"6"	"3"	"0"	"3"	"18"	"4"	"0"	"1"	"1"	"3"	"7"	"2"	"1"	"6"	"765"
"214"	"183"	"13"	"3"	"11"	"6"	"101"	"228"	"10"	"2"	"3"	"2"	"2"	"3"	"1"	"2"	"4"	"12"	"2"	"0"	"0"	"1"	"5"	"3"	"3"	"2"	"11"	"430"
"215"	"184"	"4"	"46"	"38"	"0"	"32"	"56"	"1"	"0"	"11"	"4"	"105"	"3"	"1"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"312"
"216"	"184A"	"34"	"12"	"41"	"1"	"169"	"300"	"6"	"3"	"2"	"4"	"37"	"11"	"2"	"6"	"1"	"3"	"4"	"1"	"3"	"1"	"2"	"5"	"3"	"3"	"4"	"658"
"217"	"185"	"5"	"47"	"1"	"3"	"208"	"36"	"0"	"1"	"1"	"27"	"8"	"4"	"3"	"1"	"2"	"8"	"6"	"1"	"2"	"0"	"1"	"1"	"0"	"0"	"19"	"385"
"218"	"186"	"21"	"217"	"40"	"3"	"119"	"100"	"3"	"4"	"0"	"2"	"5"	"12"	"4"	"38"	"7"	"6"	"4"	"5"	"0"	"4"	"4"	"2"	"3"	"2"	"6"	"611"
"219"	"187"	"0"	"172"	"106"	"3"	"26"	"64"	"1"	"0"	"2"	"0"	"1"	"1"	"0"	"15"	"3"	"2"	"1"	"5"	"4"	"1"	"2"	"3"	"2"	"2"	"4"	"420"
"220"	"188"	"8"	"87"	"27"	"5"	"175"	"239"	"8"	"10"	"6"	"9"	"63"	"16"	"5"	"10"	"7"	"20"	"2"	"0"	"1"	"0"	"2"	"1"	"2"	"31"	"40"	"774"
"221"	"189"	"4"	"2"	"39"	"1"	"90"	"166"	"4"	"1"	"5"	"1"	"168"	"5"	"2"	"5"	"0"	"3"	"1"	"0"	"1"	"3"	"2"	"2"	"4"	"40"	"24"	"573"
"222"	"190"	"3"	"6"	"9"	"1"	"171"	"12"	"1"	"1"	"2"	"8"	"209"	"1"	"3"	"0"	"0"	"10"	"0"	"1"	"0"	"1"	"5"	"1"	"2"	"1"	"12"	"460"
"223"	"191"	"3"	"7"	"21"	"1"	"244"	"308"	"5"	"2"	"7"	"13"	"57"	"5"	"4"	"1"	"5"	"8"	"0"	"0"	"2"	"3"	"8"	"6"	"5"	"5"	"11"	"731"
"224"	"192"	"2"	"4"	"153"	"4"	"169"	"101"	"3"	"3"	"2"	"1"	"27"	"10"	"1"	"5"	"1"	"4"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"2"	"2"	"498"
"225"	"193"	"10"	"5"	"44"	"1"	"160"	"55"	"3"	"3"	"0"	"13"	"15"	"5"	"1"	"0"	"0"	"4"	"1"	"0"	"0"	"4"	"4"	"1"	"1"	"4"	"8"	"342"
"226"	"194"	"17"	"14"	"44"	"3"	"218"	"384"	"8"	"6"	"4"	"16"	"11"	"22"	"6"	"7"	"5"	"16"	"4"	"3"	"3"	"1"	"7"	"6"	"6"	"19"	"14"	"844"
"227"	"195"	"19"	"40"	"44"	"3"	"87"	"254"	"8"	"3"	"4"	"3"	"3"	"3"	"2"	"4"	"2"	"5"	"3"	"2"	"4"	"3"	"3"	"3"	"4"	"5"	"3"	"514"
"228"	"196"	"8"	"221"	"68"	"0"	"40"	"94"	"2"	"1"	"2"	"1"	"33"	"1"	"3"	"7"	"7"	"7"	"1"	"1"	"1"	"1"	"3"	"1"	"1"	"10"	"2"	"516"
"229"	"197"	"15"	"20"	"13"	"3"	"158"	"483"	"13"	"6"	"9"	"2"	"17"	"13"	"9"	"3"	"2"	"2"	"7"	"1"	"1"	"1"	"2"	"3"	"1"	"2"	"37"	"823"
"230"	"198"	"34"	"135"	"8"	"3"	"38"	"319"	"9"	"2"	"0"	"1"	"2"	"19"	"3"	"6"	"1"	"2"	"3"	"2"	"0"	"1"	"0"	"1"	"1"	"3"	"23"	"616"
"231"	"199"	"18"	"2"	"198"	"6"	"328"	"105"	"3"	"3"	"3"	"11"	"19"	"16"	"6"	"24"	"2"	"2"	"5"	"0"	"3"	"0"	"5"	"1"	"0"	"59"	"8"	"827"
