"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy,  mi ; ksx esa yk; k t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"------------------------------------------------- fuokZpu {ks= esa   --------------------------------------------- ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"¼l l anh;  vkSj  fo/kku  l Hkk  nksuksa  fuokZpuksa  d s  fy ,  mi ; ksx  esa  y k; k  t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ -------------------------------           l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k --------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"92"	"78"	"3"	""	""	"18"	""	""	"2"	""	""	"214"	""	""	""	"16"	""	"11"	""	""	""	"4"	""	""	""	"1"	""	""	"2"	""	""	"271"	""	""	""	"0"	""	""	"271"	""	"0"	""	""	""	""	""	""
"93"	"79"	"11"	""	""	"330"	""	""	"5"	""	""	"133"	""	""	""	"12"	""	"15"	""	""	""	"8"	""	""	""	"10"	""	""	"20"	""	""	"544"	""	""	""	"0"	""	""	"544"	""	"0"	""	""	""	""	""	""
"94"	"80"	"10"	""	""	"148"	""	""	"9"	""	""	"171"	""	""	""	"6"	""	"9"	""	""	""	"1"	""	""	""	"2"	""	""	"6"	""	""	"362"	""	""	""	"0"	""	""	"362"	""	"0"	""	""	""	""	""	""
"95"	"81"	"22"	""	""	"87"	""	""	"6"	""	""	"247"	""	""	""	"25"	""	"20"	""	""	""	"2"	""	""	""	"2"	""	""	"6"	""	""	"417"	""	""	""	"0"	""	""	"417"	""	"0"	""	""	""	""	""	""
"96"	"82"	"12"	""	""	"184"	""	""	"3"	""	""	"138"	""	""	""	"4"	""	"5"	""	""	""	"2"	""	""	""	"2"	""	""	"1"	""	""	"351"	""	""	""	"0"	""	""	"351"	""	"0"	""	""	""	""	""	""
"97"	"83"	"9"	""	""	"117"	""	""	"4"	""	""	"258"	""	""	""	"31"	""	"53"	""	""	""	"5"	""	""	""	"4"	""	""	"5"	""	""	"486"	""	""	""	"0"	""	""	"486"	""	"0"	""	""	""	""	""	""
"98"	"84"	"14"	""	""	"73"	""	""	"6"	""	""	"143"	""	""	""	"38"	""	"69"	""	""	""	"4"	""	""	""	"3"	""	""	"10"	""	""	"360"	""	""	""	"0"	""	""	"360"	""	"0"	""	""	""	""	""	""
"99"	"85"	"19"	""	""	"88"	""	""	"8"	""	""	"242"	""	""	""	"26"	""	"17"	""	""	""	"8"	""	""	""	"11"	""	""	"12"	""	""	"431"	""	""	""	"0"	""	""	"431"	""	"0"	""	""	""	""	""	""
"100"	"86"	"11"	""	""	"152"	""	""	"4"	""	""	"93"	""	""	""	"3"	""	"80"	""	""	""	"3"	""	""	""	"2"	""	""	"1"	""	""	"349"	""	""	""	"0"	""	""	"349"	""	"0"	""	""	""	""	""	""
"101"	"87"	"24"	""	""	"133"	""	""	"16"	""	""	"298"	""	""	""	"39"	""	"22"	""	""	""	"4"	""	""	""	"6"	""	""	"15"	""	""	"557"	""	""	""	"0"	""	""	"557"	""	"0"	""	""	""	""	""	""
"102"	"88"	"8"	""	""	"87"	""	""	"5"	""	""	"168"	""	""	""	"20"	""	"8"	""	""	""	"5"	""	""	""	"3"	""	""	"9"	""	""	"313"	""	""	""	"0"	""	""	"313"	""	"0"	""	""	""	""	""	""
"103"	"89"	"14"	""	""	"53"	""	""	"10"	""	""	"429"	""	""	""	"51"	""	"24"	""	""	""	"7"	""	""	""	"7"	""	""	"13"	""	""	"608"	""	""	""	"0"	""	""	"608"	""	"0"	""	""	""	""	""	""
"104"	"90"	"20"	""	""	"128"	""	""	"22"	""	""	"512"	""	""	""	"22"	""	"36"	""	""	""	"11"	""	""	""	"10"	""	""	"17"	""	""	"778"	""	""	""	"0"	""	""	"778"	""	"0"	""	""	""	""	""	""
"105"	"91"	"11"	""	""	"79"	""	""	"9"	""	""	"403"	""	""	""	"10"	""	"13"	""	""	""	"12"	""	""	""	"5"	""	""	"11"	""	""	"553"	""	""	""	"0"	""	""	"553"	""	"0"	""	""	""	""	""	""
"106"	"92"	"19"	""	""	"154"	""	""	"8"	""	""	"319"	""	""	""	"15"	""	"26"	""	""	""	"4"	""	""	""	"4"	""	""	"16"	""	""	"565"	""	""	""	"0"	""	""	"565"	""	"0"	""	""	""	""	""	""
"107"	"93"	"46"	""	""	"241"	""	""	"9"	""	""	"372"	""	""	""	"20"	""	"33"	""	""	""	"3"	""	""	""	"9"	""	""	"15"	""	""	"748"	""	""	""	"0"	""	""	"748"	""	"0"	""	""	""	""	""	""
"108"	"94"	"17"	""	""	"207"	""	""	"6"	""	""	"141"	""	""	""	"25"	""	"6"	""	""	""	"11"	""	""	""	"5"	""	""	"11"	""	""	"429"	""	""	""	"0"	""	""	"429"	""	"0"	""	""	""	""	""	""
"109"	"95"	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"0"	""	""	""	""	""	""
"110"	"96"	"13"	""	""	"118"	""	""	"22"	""	""	"347"	""	""	""	"42"	""	"26"	""	""	""	"6"	""	""	""	"3"	""	""	"10"	""	""	"587"	""	""	""	"0"	""	""	"587"	""	"0"	""	""	""	""	""	""
"111"	"97"	"11"	""	""	"124"	""	""	"3"	""	""	"262"	""	""	""	"13"	""	"10"	""	""	""	"5"	""	""	""	"3"	""	""	"8"	""	""	"439"	""	""	""	"0"	""	""	"439"	""	"0"	""	""	""	""	""	""
"112"	"98"	"7"	""	""	"105"	""	""	"6"	""	""	"136"	""	""	""	"22"	""	"15"	""	""	""	"5"	""	""	""	"0"	""	""	"1"	""	""	"297"	""	""	""	"0"	""	""	"297"	""	"0"	""	""	""	""	""	""
"113"	"99"	"8"	""	""	"166"	""	""	"13"	""	""	"281"	""	""	""	"44"	""	"23"	""	""	""	"8"	""	""	""	"7"	""	""	"15"	""	""	"565"	""	""	""	"0"	""	""	"565"	""	"0"	""	""	""	""	""	""
"114"	"100"	"9"	""	""	"113"	""	""	"5"	""	""	"167"	""	""	""	"20"	""	"10"	""	""	""	"1"	""	""	""	"6"	""	""	"12"	""	""	"343"	""	""	""	"0"	""	""	"343"	""	"0"	""	""	""	""	""	""
"115"	"101"	"11"	""	""	"11"	""	""	"6"	""	""	"151"	""	""	""	"4"	""	"7"	""	""	""	"3"	""	""	""	"1"	""	""	"4"	""	""	"198"	""	""	""	"0"	""	""	"198"	""	"0"	""	""	""	""	""	""
"116"	"102"	"22"	""	""	"166"	""	""	"17"	""	""	"219"	""	""	""	"27"	""	"11"	""	""	""	"10"	""	""	""	"23"	""	""	"22"	""	""	"517"	""	""	""	"0"	""	""	"517"	""	"0"	""	""	""	""	""	""
"117"	"103"	"14"	""	""	"212"	""	""	"11"	""	""	"60"	""	""	""	"12"	""	"10"	""	""	""	"1"	""	""	""	"2"	""	""	"5"	""	""	"327"	""	""	""	"0"	""	""	"327"	""	"0"	""	""	""	""	""	""
"118"	"104"	"24"	""	""	"307"	""	""	"23"	""	""	"245"	""	""	""	"42"	""	"16"	""	""	""	"6"	""	""	""	"10"	""	""	"9"	""	""	"682"	""	""	""	"0"	""	""	"682"	""	"0"	""	""	""	""	""	""
"119"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"120"	""	""	""	"pUnz  Hkkuq
i kl oku"	""	""	"uj s' k  nkl"	""	""	"i zsey r k
nsoh"	""	""	"euh\"k
d qekj"	""	""	"eankj s' oj
d qekj  eUVq"	""	""	"equh  y ky
i kl oku"	""	""	""	"nsosUnz
nkl"	""	""	""	"l qxU/kk  nsoh"	""	""	"l hr k  j ke
nkl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"105"	"10"	""	""	"275"	""	""	"8"	""	""	"208"	""	""	""	"9"	""	"50"	""	""	""	"3"	""	""	""	"5"	""	""	"11"	""	""	"579"	""	""	""	"0"	""	""	"579"	""	"0"	""	""	""	""	""	""
"122"	"106"	"4"	""	""	"62"	""	""	"16"	""	""	"201"	""	""	""	"15"	""	"7"	""	""	""	"4"	""	""	""	"0"	""	""	"20"	""	""	"329"	""	""	""	"0"	""	""	"329"	""	"0"	""	""	""	""	""	""
"123"	"107"	"12"	""	""	"275"	""	""	"15"	""	""	"210"	""	""	""	"18"	""	"21"	""	""	""	"10"	""	""	""	"6"	""	""	"13"	""	""	"580"	""	""	""	"0"	""	""	"580"	""	"0"	""	""	""	""	""	""
"124"	"108"	"23"	""	""	"193"	""	""	"12"	""	""	"425"	""	""	""	"32"	""	"21"	""	""	""	"7"	""	""	""	"6"	""	""	"19"	""	""	"738"	""	""	""	"0"	""	""	"738"	""	"0"	""	""	""	""	""	""
"125"	"109"	"5"	""	""	"111"	""	""	"15"	""	""	"223"	""	""	""	"6"	""	"20"	""	""	""	"2"	""	""	""	"3"	""	""	"6"	""	""	"391"	""	""	""	"0"	""	""	"391"	""	"0"	""	""	""	""	""	""
"126"	"110"	"10"	""	""	"108"	""	""	"19"	""	""	"365"	""	""	""	"87"	""	"27"	""	""	""	"6"	""	""	""	"11"	""	""	"14"	""	""	"647"	""	""	""	"0"	""	""	"647"	""	"0"	""	""	""	""	""	""
"127"	"111"	"22"	""	""	"49"	""	""	"4"	""	""	"206"	""	""	""	"12"	""	"36"	""	""	""	"5"	""	""	""	"6"	""	""	"5"	""	""	"345"	""	""	""	"0"	""	""	"345"	""	"0"	""	""	""	""	""	""
"128"	"112"	"19"	""	""	"418"	""	""	"22"	""	""	"52"	""	""	""	"6"	""	"36"	""	""	""	"3"	""	""	""	"9"	""	""	"9"	""	""	"574"	""	""	""	"0"	""	""	"574"	""	"0"	""	""	""	""	""	""
"129"	"113"	"10"	""	""	"76"	""	""	"6"	""	""	"393"	""	""	""	"15"	""	"52"	""	""	""	"12"	""	""	""	"6"	""	""	"31"	""	""	"601"	""	""	""	"0"	""	""	"601"	""	"0"	""	""	""	""	""	""
"130"	"114"	"7"	""	""	"81"	""	""	"3"	""	""	"207"	""	""	""	"15"	""	"39"	""	""	""	"1"	""	""	""	"2"	""	""	"13"	""	""	"368"	""	""	""	"0"	""	""	"368"	""	"0"	""	""	""	""	""	""
"131"	"115"	"26"	""	""	"280"	""	""	"22"	""	""	"388"	""	""	""	"24"	""	"28"	""	""	""	"10"	""	""	""	"5"	""	""	"33"	""	""	"816"	""	""	""	"0"	""	""	"816"	""	"0"	""	""	""	""	""	""
"132"	"116"	"38"	""	""	"334"	""	""	"24"	""	""	"213"	""	""	""	"15"	""	"120"	""	""	""	"1"	""	""	""	"1"	""	""	"14"	""	""	"760"	""	""	""	"0"	""	""	"760"	""	"0"	""	""	""	""	""	""
"133"	"117"	"7"	""	""	"96"	""	""	"6"	""	""	"160"	""	""	""	"6"	""	"77"	""	""	""	"6"	""	""	""	"1"	""	""	"13"	""	""	"372"	""	""	""	"0"	""	""	"372"	""	"0"	""	""	""	""	""	""
"134"	"118"	"15"	""	""	"200"	""	""	"8"	""	""	"188"	""	""	""	"7"	""	"139"	""	""	""	"3"	""	""	""	"3"	""	""	"7"	""	""	"570"	""	""	""	"0"	""	""	"570"	""	"0"	""	""	""	""	""	""
"135"	"119"	"5"	""	""	"58"	""	""	"5"	""	""	"305"	""	""	""	"9"	""	"12"	""	""	""	"3"	""	""	""	"4"	""	""	"8"	""	""	"409"	""	""	""	"0"	""	""	"409"	""	"0"	""	""	""	""	""	""
"136"	"120"	"12"	""	""	"240"	""	""	"15"	""	""	"124"	""	""	""	"15"	""	"12"	""	""	""	"2"	""	""	""	"5"	""	""	"5"	""	""	"430"	""	""	""	"0"	""	""	"430"	""	"0"	""	""	""	""	""	""
"137"	"121"	"12"	""	""	"55"	""	""	"21"	""	""	"229"	""	""	""	"17"	""	"35"	""	""	""	"5"	""	""	""	"3"	""	""	"6"	""	""	"383"	""	""	""	"0"	""	""	"383"	""	"0"	""	""	""	""	""	""
"138"	"122"	"8"	""	""	"54"	""	""	"4"	""	""	"249"	""	""	""	"10"	""	"23"	""	""	""	"5"	""	""	""	"3"	""	""	"10"	""	""	"366"	""	""	""	"0"	""	""	"366"	""	"0"	""	""	""	""	""	""
"139"	"123"	"15"	""	""	"82"	""	""	"8"	""	""	"242"	""	""	""	"8"	""	"77"	""	""	""	"9"	""	""	""	"5"	""	""	"12"	""	""	"458"	""	""	""	"0"	""	""	"458"	""	"0"	""	""	""	""	""	""
"140"	"124"	"11"	""	""	"55"	""	""	"5"	""	""	"182"	""	""	""	"8"	""	"55"	""	""	""	"10"	""	""	""	"4"	""	""	"4"	""	""	"334"	""	""	""	"0"	""	""	"334"	""	"0"	""	""	""	""	""	""
"141"	"125"	"8"	""	""	"138"	""	""	"7"	""	""	"385"	""	""	""	"12"	""	"51"	""	""	""	"3"	""	""	""	"4"	""	""	"12"	""	""	"620"	""	""	""	"0"	""	""	"620"	""	"0"	""	""	""	""	""	""
"142"	"126"	"9"	""	""	"236"	""	""	"6"	""	""	"184"	""	""	""	"17"	""	"15"	""	""	""	"7"	""	""	""	"3"	""	""	"8"	""	""	"485"	""	""	""	"0"	""	""	"485"	""	"0"	""	""	""	""	""	""
"143"	"127"	"6"	""	""	"47"	""	""	"3"	""	""	"151"	""	""	""	"10"	""	"134"	""	""	""	"0"	""	""	""	"3"	""	""	"5"	""	""	"359"	""	""	""	"0"	""	""	"359"	""	"0"	""	""	""	""	""	""
"144"	"128"	"18"	""	""	"192"	""	""	"12"	""	""	"201"	""	""	""	"91"	""	"43"	""	""	""	"4"	""	""	""	"9"	""	""	"10"	""	""	"580"	""	""	""	"0"	""	""	"580"	""	"0"	""	""	""	""	""	""
"145"	"129"	"9"	""	""	"41"	""	""	"2"	""	""	"311"	""	""	""	"17"	""	"106"	""	""	""	"9"	""	""	""	"0"	""	""	"7"	""	""	"502"	""	""	""	"0"	""	""	"502"	""	"0"	""	""	""	""	""	""
"146"	"130"	"4"	""	""	"149"	""	""	"7"	""	""	"70"	""	""	""	"7"	""	"19"	""	""	""	"5"	""	""	""	"1"	""	""	"5"	""	""	"267"	""	""	""	"0"	""	""	"267"	""	"0"	""	""	""	""	""	""
"147"	"131"	"11"	""	""	"210"	""	""	"4"	""	""	"284"	""	""	""	"20"	""	"12"	""	""	""	"6"	""	""	""	"4"	""	""	"8"	""	""	"559"	""	""	""	"0"	""	""	"559"	""	"0"	""	""	""	""	""	""
"148"	"132"	"26"	""	""	"179"	""	""	"18"	""	""	"152"	""	""	""	"30"	""	"123"	""	""	""	"7"	""	""	""	"2"	""	""	"10"	""	""	"547"	""	""	""	"0"	""	""	"547"	""	"0"	""	""	""	""	""	""
"149"	"133"	"17"	""	""	"302"	""	""	"7"	""	""	"172"	""	""	""	"15"	""	"16"	""	""	""	"6"	""	""	""	"5"	""	""	"13"	""	""	"553"	""	""	""	"0"	""	""	"553"	""	"0"	""	""	""	""	""	""
"150"	"134"	"27"	""	""	"203"	""	""	"19"	""	""	"264"	""	""	""	"16"	""	"92"	""	""	""	"6"	""	""	""	"16"	""	""	"17"	""	""	"660"	""	""	""	"0"	""	""	"660"	""	"0"	""	""	""	""	""	""
"151"	"135"	"10"	""	""	"79"	""	""	"7"	""	""	"259"	""	""	""	"14"	""	"27"	""	""	""	"4"	""	""	""	"2"	""	""	"2"	""	""	"404"	""	""	""	"0"	""	""	"404"	""	"0"	""	""	""	""	""	""
"152"	"136"	"13"	""	""	"172"	""	""	"5"	""	""	"234"	""	""	""	"22"	""	"14"	""	""	""	"5"	""	""	""	"2"	""	""	"15"	""	""	"482"	""	""	""	"0"	""	""	"482"	""	"0"	""	""	""	""	""	""
"153"	"137"	"19"	""	""	"114"	""	""	"6"	""	""	"17"	""	""	""	"103"	""	"137"	""	""	""	"12"	""	""	""	"5"	""	""	"24"	""	""	"437"	""	""	""	"0"	""	""	"437"	""	"0"	""	""	""	""	""	""
"154"	"138"	"11"	""	""	"127"	""	""	"6"	""	""	"19"	""	""	""	"12"	""	"4"	""	""	""	"4"	""	""	""	"2"	""	""	"13"	""	""	"198"	""	""	""	"0"	""	""	"198"	""	"0"	""	""	""	""	""	""
"155"	"139"	"7"	""	""	"99"	""	""	"3"	""	""	"19"	""	""	""	"6"	""	"24"	""	""	""	"1"	""	""	""	"2"	""	""	"2"	""	""	"163"	""	""	""	"0"	""	""	"163"	""	"0"	""	""	""	""	""	""
"156"	"140"	"9"	""	""	"155"	""	""	"7"	""	""	"45"	""	""	""	"9"	""	"114"	""	""	""	"4"	""	""	""	"0"	""	""	"2"	""	""	"345"	""	""	""	"0"	""	""	"345"	""	"0"	""	""	""	""	""	""
"157"	"141"	"5"	""	""	"66"	""	""	"5"	""	""	"190"	""	""	""	"13"	""	"88"	""	""	""	"5"	""	""	""	"4"	""	""	"7"	""	""	"383"	""	""	""	"0"	""	""	"383"	""	"0"	""	""	""	""	""	""
"158"	"142"	"7"	""	""	"77"	""	""	"10"	""	""	"13"	""	""	""	"4"	""	"32"	""	""	""	"7"	""	""	""	"4"	""	""	"20"	""	""	"174"	""	""	""	"0"	""	""	"174"	""	"0"	""	""	""	""	""	""
"159"	"143"	"14"	""	""	"136"	""	""	"6"	""	""	"67"	""	""	""	"7"	""	"130"	""	""	""	"4"	""	""	""	"3"	""	""	"17"	""	""	"384"	""	""	""	"0"	""	""	"384"	""	"0"	""	""	""	""	""	""
"160"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"161"	""	""	""	"pUnz  Hkkuq
i kl oku"	""	""	"uj s' k  nkl"	""	""	"i zsey r k
nsoh"	""	""	"euh\"k
d qekj"	""	""	"eankj s' oj
d qekj  eUVq"	""	""	"equh  y ky
i kl oku"	""	""	""	"nsosUnz
nkl"	""	""	""	"l qxU/kk  nsoh"	""	""	"l hr k  j ke
nkl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"144"	"6"	""	""	"76"	""	""	"6"	""	""	"51"	""	""	""	"11"	""	"35"	""	""	""	"5"	""	""	""	"4"	""	""	"10"	""	""	"204"	""	""	""	"0"	""	""	"204"	""	"0"	""	""	""	""	""	""
"163"	"145"	"9"	""	""	"231"	""	""	"12"	""	""	"67"	""	""	""	"20"	""	"29"	""	""	""	"6"	""	""	""	"2"	""	""	"9"	""	""	"385"	""	""	""	"0"	""	""	"385"	""	"0"	""	""	""	""	""	""
"164"	"146"	"18"	""	""	"151"	""	""	"40"	""	""	"154"	""	""	""	"8"	""	"150"	""	""	""	"5"	""	""	""	"2"	""	""	"12"	""	""	"540"	""	""	""	"0"	""	""	"540"	""	"0"	""	""	""	""	""	""
"165"	"147"	"25"	""	""	"152"	""	""	"19"	""	""	"128"	""	""	""	"8"	""	"184"	""	""	""	"7"	""	""	""	"12"	""	""	"15"	""	""	"550"	""	""	""	"0"	""	""	"550"	""	"0"	""	""	""	""	""	""
"166"	"148"	"12"	""	""	"113"	""	""	"7"	""	""	"167"	""	""	""	"5"	""	"86"	""	""	""	"1"	""	""	""	"5"	""	""	"12"	""	""	"408"	""	""	""	"0"	""	""	"408"	""	"0"	""	""	""	""	""	""
"167"	"149"	"6"	""	""	"96"	""	""	"4"	""	""	"38"	""	""	""	"3"	""	"119"	""	""	""	"7"	""	""	""	"5"	""	""	"12"	""	""	"290"	""	""	""	"0"	""	""	"290"	""	"0"	""	""	""	""	""	""
"168"	"150"	"5"	""	""	"57"	""	""	"5"	""	""	"132"	""	""	""	"7"	""	"66"	""	""	""	"4"	""	""	""	"0"	""	""	"1"	""	""	"277"	""	""	""	"0"	""	""	"277"	""	"0"	""	""	""	""	""	""
"169"	"151"	"2"	""	""	"56"	""	""	"0"	""	""	"35"	""	""	""	"0"	""	"63"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	"158"	""	""	""	"0"	""	""	"158"	""	"0"	""	""	""	""	""	""
"170"	"152"	"10"	""	""	"58"	""	""	"6"	""	""	"120"	""	""	""	"9"	""	"167"	""	""	""	"4"	""	""	""	"3"	""	""	"8"	""	""	"385"	""	""	""	"0"	""	""	"385"	""	"0"	""	""	""	""	""	""
"171"	"153"	"1"	""	""	"9"	""	""	"0"	""	""	"179"	""	""	""	"69"	""	"33"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"291"	""	""	""	"0"	""	""	"291"	""	"0"	""	""	""	""	""	""
"172"	"154"	"6"	""	""	"77"	""	""	"5"	""	""	"18"	""	""	""	"9"	""	"149"	""	""	""	"2"	""	""	""	"4"	""	""	"9"	""	""	"279"	""	""	""	"0"	""	""	"279"	""	"0"	""	""	""	""	""	""
"173"	"155"	"13"	""	""	"58"	""	""	"5"	""	""	"38"	""	""	""	"3"	""	"101"	""	""	""	"5"	""	""	""	"2"	""	""	"3"	""	""	"228"	""	""	""	"0"	""	""	"228"	""	"0"	""	""	""	""	""	""
"174"	"156"	"9"	""	""	"199"	""	""	"7"	""	""	"39"	""	""	""	"10"	""	"46"	""	""	""	"3"	""	""	""	"1"	""	""	"3"	""	""	"317"	""	""	""	"0"	""	""	"317"	""	"0"	""	""	""	""	""	""
"175"	"157"	"13"	""	""	"70"	""	""	"13"	""	""	"51"	""	""	""	"5"	""	"277"	""	""	""	"3"	""	""	""	"3"	""	""	"7"	""	""	"442"	""	""	""	"0"	""	""	"442"	""	"0"	""	""	""	""	""	""
"176"	"158"	"5"	""	""	"42"	""	""	"5"	""	""	"30"	""	""	""	"6"	""	"170"	""	""	""	"4"	""	""	""	"2"	""	""	"6"	""	""	"270"	""	""	""	"0"	""	""	"270"	""	"0"	""	""	""	""	""	""
"177"	"159"	"1"	""	""	"31"	""	""	"6"	""	""	"15"	""	""	""	"6"	""	"201"	""	""	""	"2"	""	""	""	"2"	""	""	"3"	""	""	"267"	""	""	""	"0"	""	""	"267"	""	"0"	""	""	""	""	""	""
"178"	"160"	"7"	""	""	"129"	""	""	"2"	""	""	"54"	""	""	""	"20"	""	"152"	""	""	""	"2"	""	""	""	"0"	""	""	"5"	""	""	"371"	""	""	""	"0"	""	""	"371"	""	"0"	""	""	""	""	""	""
"179"	"161"	"3"	""	""	"88"	""	""	"5"	""	""	"10"	""	""	""	"2"	""	"121"	""	""	""	"9"	""	""	""	"4"	""	""	"5"	""	""	"247"	""	""	""	"0"	""	""	"247"	""	"0"	""	""	""	""	""	""
"180"	"162"	"15"	""	""	"128"	""	""	"28"	""	""	"209"	""	""	""	"12"	""	"118"	""	""	""	"8"	""	""	""	"3"	""	""	"15"	""	""	"536"	""	""	""	"0"	""	""	"536"	""	"0"	""	""	""	""	""	""
"181"	"163"	"3"	""	""	"66"	""	""	"5"	""	""	"63"	""	""	""	"4"	""	"116"	""	""	""	"5"	""	""	""	"5"	""	""	"9"	""	""	"276"	""	""	""	"0"	""	""	"276"	""	"0"	""	""	""	""	""	""
"182"	"164"	"15"	""	""	"43"	""	""	"5"	""	""	"22"	""	""	""	"5"	""	"67"	""	""	""	"8"	""	""	""	"7"	""	""	"6"	""	""	"178"	""	""	""	"0"	""	""	"178"	""	"0"	""	""	""	""	""	""
"183"	"165"	"4"	""	""	"15"	""	""	"4"	""	""	"70"	""	""	""	"10"	""	"123"	""	""	""	"4"	""	""	""	"2"	""	""	"5"	""	""	"237"	""	""	""	"0"	""	""	"237"	""	"0"	""	""	""	""	""	""
"184"	"166"	"17"	""	""	"84"	""	""	"1"	""	""	"103"	""	""	""	"11"	""	"57"	""	""	""	"8"	""	""	""	"10"	""	""	"15"	""	""	"306"	""	""	""	"0"	""	""	"306"	""	"0"	""	""	""	""	""	""
"185"	"167"	"13"	""	""	"170"	""	""	"4"	""	""	"142"	""	""	""	"16"	""	"25"	""	""	""	"1"	""	""	""	"4"	""	""	"11"	""	""	"386"	""	""	""	"0"	""	""	"386"	""	"0"	""	""	""	""	""	""
"186"	"168"	"6"	""	""	"56"	""	""	"4"	""	""	"77"	""	""	""	"3"	""	"75"	""	""	""	"3"	""	""	""	"2"	""	""	"2"	""	""	"228"	""	""	""	"0"	""	""	"228"	""	"0"	""	""	""	""	""	""
"187"	"169"	"11"	""	""	"47"	""	""	"4"	""	""	"130"	""	""	""	"7"	""	"137"	""	""	""	"1"	""	""	""	"0"	""	""	"5"	""	""	"342"	""	""	""	"0"	""	""	"342"	""	"0"	""	""	""	""	""	""
