"Total.No..of.Electors.in.Assembly.Constituency........199137"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"154"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"156"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"157"	"80"	"70"	"8"	"8"	"79"	"382"	"5"	"2"	"1"	"6"	"4"	"4"	"4"	"2"	"2"	"12"	"589"	"0"	"589"	"0"	""
"158"	"80 A"	"68"	"8"	"4"	"33"	"286"	"7"	"2"	"2"	"1"	"5"	"3"	"2"	"1"	"4"	"52"	"478"	"0"	"478"	"0"	""
"159"	"81"	"295"	"5"	"5"	"31"	"426"	"13"	"1"	"1"	"6"	"2"	"6"	"5"	"2"	"2"	"34"	"834"	"0"	"834"	"0"	""
"160"	"82"	"77"	"2"	"1"	"36"	"233"	"1"	"0"	"2"	"1"	"4"	"6"	"6"	"0"	"2"	"23"	"394"	"0"	"394"	"0"	""
"161"	"83"	"166"	"4"	"2"	"38"	"370"	"8"	"1"	"10"	"7"	"5"	"9"	"12"	"1"	"4"	"38"	"675"	"0"	"675"	"0"	""
"162"	"84"	"93"	"80"	"18"	"30"	"166"	"7"	"2"	"3"	"3"	"4"	"7"	"5"	"1"	"3"	"50"	"472"	"0"	"472"	"0"	""
"163"	"84 A"	"144"	"32"	"4"	"64"	"297"	"4"	"6"	"3"	"4"	"0"	"7"	"9"	"2"	"3"	"43"	"622"	"0"	"622"	"0"	""
"164"	"85"	"118"	"219"	"8"	"9"	"86"	"1"	"3"	"1"	"3"	"1"	"2"	"3"	"4"	"5"	"64"	"527"	"0"	"527"	"0"	""
"165"	"86"	"287"	"3"	"27"	"49"	"386"	"7"	"2"	"3"	"4"	"2"	"4"	"8"	"2"	"3"	"78"	"865"	"0"	"865"	"0"	""
"166"	"87"	"237"	"3"	"1"	"5"	"248"	"2"	"0"	"2"	"1"	"1"	"2"	"2"	"0"	"0"	"6"	"510"	"0"	"510"	"0"	""
"167"	"88"	"218"	"4"	"7"	"64"	"348"	"6"	"2"	"2"	"9"	"3"	"2"	"5"	"3"	"2"	"44"	"719"	"0"	"719"	"0"	""
"168"	"89"	"108"	"1"	"3"	"10"	"306"	"7"	"1"	"1"	"4"	"0"	"1"	"23"	"0"	"3"	"13"	"481"	"0"	"481"	"0"	""
"169"	"89 A"	"110"	"1"	"1"	"5"	"262"	"2"	"0"	"3"	"4"	"0"	"3"	"11"	"1"	"2"	"8"	"413"	"0"	"413"	"0"	""
"170"	"90"	"156"	"3"	"4"	"13"	"482"	"32"	"1"	"5"	"8"	"7"	"8"	"11"	"3"	"7"	"19"	"759"	"0"	"759"	"0"	""
"171"	"Total"	"2147"	"373"	"93"	"466"	"4278"	"102"	"23"	"39"	"61"	"38"	"64"	"106"	"22"	"42"	"484"	"8338"	"0"	"8338"	"0"	""
"172"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 8)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"181"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"182"	"91"	"237"	"6"	"3"	"11"	"504"	"59"	"2"	"2"	"19"	"3"	"2"	"4"	"4"	"3"	"26"	"885"	"0"	"885"	"0"	""
"183"	"92"	"156"	"5"	"1"	"34"	"411"	"3"	"0"	"1"	"3"	"1"	"4"	"2"	"3"	"4"	"22"	"650"	"0"	"650"	"0"	""
"184"	"93"	"201"	"4"	"2"	"18"	"570"	"6"	"1"	"0"	"6"	"0"	"2"	"6"	"2"	"2"	"10"	"830"	"0"	"830"	"0"	""
"185"	"94"	"210"	"15"	"8"	"12"	"401"	"1"	"2"	"1"	"2"	"0"	"3"	"6"	"0"	"1"	"10"	"672"	"0"	"672"	"0"	""
"186"	"95"	"106"	"1"	"8"	"62"	"180"	"2"	"0"	"2"	"2"	"0"	"0"	"4"	"0"	"2"	"18"	"387"	"0"	"387"	"0"	""
"187"	"96"	"159"	"4"	"8"	"30"	"271"	"6"	"1"	"0"	"2"	"1"	"1"	"17"	"3"	"4"	"125"	"632"	"0"	"632"	"0"	""
"188"	"97"	"72"	"2"	"45"	"58"	"199"	"2"	"0"	"1"	"3"	"4"	"5"	"7"	"4"	"1"	"53"	"456"	"0"	"456"	"0"	""
"189"	"97 A"	"137"	"5"	"30"	"28"	"185"	"2"	"0"	"3"	"1"	"2"	"0"	"9"	"3"	"5"	"41"	"451"	"0"	"451"	"0"	""
"190"	"98"	"371"	"6"	"1"	"24"	"271"	"1"	"1"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"16"	"695"	"0"	"695"	"0"	""
"191"	"99"	"179"	"71"	"16"	"14"	"194"	"0"	"3"	"1"	"1"	"2"	"8"	"10"	"6"	"4"	"168"	"677"	"0"	"677"	"0"	""
"192"	"100"	"199"	"10"	"28"	"30"	"300"	"10"	"8"	"18"	"8"	"7"	"7"	"16"	"4"	"12"	"134"	"791"	"0"	"791"	"0"	""
"193"	"101"	"112"	"4"	"3"	"11"	"183"	"2"	"2"	"4"	"2"	"3"	"1"	"0"	"0"	"2"	"10"	"339"	"0"	"339"	"0"	""
"194"	"102"	"66"	"2"	"2"	"57"	"325"	"8"	"3"	"10"	"14"	"5"	"2"	"20"	"2"	"2"	"79"	"597"	"0"	"597"	"0"	""
"195"	"103"	"91"	"2"	"29"	"41"	"274"	"4"	"2"	"10"	"3"	"2"	"1"	"9"	"2"	"11"	"135"	"616"	"0"	"616"	"0"	""
"196"	"Total"	"2296"	"137"	"184"	"430"	"4268"	"106"	"25"	"53"	"69"	"30"	"36"	"111"	"33"	"53"	"847"	"8678"	"0"	"8678"	"0"	""
"197"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"207"	"104"	"58"	"4"	"49"	"134"	"441"	"10"	"4"	"2"	"19"	"4"	"9"	"30"	"1"	"6"	"38"	"809"	"0"	"809"	"0"	""
"208"	"105"	"112"	"6"	"5"	"33"	"228"	"6"	"4"	"7"	"8"	"2"	"1"	"9"	"2"	"15"	"320"	"758"	"0"	"758"	"0"	""
"209"	"106"	"135"	"5"	"35"	"68"	"209"	"4"	"5"	"9"	"13"	"7"	"7"	"15"	"2"	"16"	"320"	"850"	"0"	"850"	"0"	""
"210"	"107"	"185"	"10"	"38"	"75"	"256"	"3"	"1"	"2"	"7"	"2"	"1"	"14"	"5"	"3"	"76"	"678"	"0"	"678"	"0"	""
"211"	"108"	"184"	"4"	"3"	"7"	"251"	"5"	"3"	"1"	"2"	"3"	"3"	"11"	"5"	"7"	"173"	"662"	"0"	"662"	"0"	""
"212"	"109"	"141"	"6"	"2"	"4"	"355"	"12"	"5"	"5"	"5"	"2"	"6"	"3"	"0"	"6"	"11"	"563"	"0"	"563"	"0"	""
"213"	"110"	"71"	"0"	"8"	"5"	"189"	"4"	"2"	"1"	"4"	"2"	"5"	"12"	"0"	"2"	"7"	"312"	"0"	"312"	"0"	""
"214"	"111"	"57"	"1"	"7"	"17"	"165"	"4"	"1"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"29"	"290"	"0"	"290"	"0"	""
"215"	"112"	"86"	"3"	"2"	"8"	"106"	"6"	"3"	"1"	"2"	"0"	"0"	"4"	"1"	"3"	"15"	"240"	"0"	"240"	"0"	""
"216"	"113"	"158"	"4"	"9"	"33"	"357"	"7"	"2"	"3"	"6"	"2"	"5"	"7"	"1"	"4"	"88"	"686"	"0"	"686"	"0"	""
"217"	"114"	"84"	"4"	"11"	"6"	"384"	"6"	"4"	"5"	"4"	"5"	"10"	"10"	"2"	"3"	"14"	"552"	"0"	"552"	"0"	""
"218"	"115"	"40"	"5"	"4"	"4"	"370"	"9"	"2"	"2"	"10"	"3"	"9"	"10"	"2"	"3"	"26"	"499"	"0"	"499"	"0"	""
"219"	"116"	"194"	"4"	"33"	"12"	"429"	"14"	"2"	"3"	"6"	"4"	"5"	"8"	"5"	"10"	"46"	"775"	"0"	"775"	"0"	""
"220"	"117"	"44"	"6"	"3"	"4"	"263"	"6"	"1"	"8"	"10"	"8"	"12"	"12"	"2"	"10"	"112"	"501"	"0"	"501"	"0"	""
"221"	"Total"	"1549"	"62"	"209"	"410"	"4003"	"96"	"39"	"49"	"96"	"44"	"73"	"154"	"28"	"88"	"1275"	"8175"	"0"	"8175"	"0"	""
"222"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 10)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"231"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"232"	"118"	"96"	"43"	"71"	"56"	"220"	"3"	"4"	"6"	"13"	"6"	"2"	"4"	"7"	"8"	"112"	"651"	"0"	"651"	"0"	""
"233"	"119"	"30"	"6"	"8"	"44"	"71"	"3"	"3"	"5"	"6"	"2"	"1"	"4"	"2"	"4"	"63"	"252"	"0"	"252"	"0"	""
"234"	"120"	"21"	"3"	"28"	"1"	"57"	"2"	"1"	"2"	"4"	"0"	"1"	"1"	"0"	"7"	"134"	"262"	"0"	"262"	"0"	""
"235"	"121"	"99"	"7"	"26"	"69"	"431"	"19"	"2"	"6"	"15"	"9"	"10"	"13"	"4"	"11"	"20"	"741"	"0"	"741"	"0"	""
"236"	"122"	"91"	"3"	"17"	"41"	"387"	"9"	"1"	"5"	"8"	"2"	"8"	"22"	"4"	"3"	"4"	"605"	"0"	"605"	"0"	""
"237"	"123"	"53"	"7"	"77"	"5"	"254"	"4"	"2"	"2"	"6"	"3"	"6"	"6"	"5"	"8"	"62"	"500"	"0"	"500"	"0"	""
"238"	"124"	"81"	"6"	"177"	"40"	"229"	"3"	"1"	"6"	"2"	"3"	"4"	"2"	"6"	"5"	"33"	"598"	"0"	"598"	"0"	""
"239"	"125"	"126"	"0"	"30"	"59"	"308"	"5"	"2"	"5"	"8"	"11"	"3"	"14"	"4"	"9"	"86"	"670"	"0"	"670"	"0"	""
"240"	"126"	"80"	"1"	"5"	"39"	"355"	"6"	"4"	"3"	"7"	"9"	"2"	"9"	"1"	"6"	"152"	"679"	"0"	"679"	"0"	""
"241"	"127"	"125"	"3"	"2"	"43"	"220"	"8"	"3"	"4"	"10"	"4"	"2"	"10"	"1"	"1"	"5"	"441"	"0"	"441"	"0"	""
"242"	"128"	"104"	"4"	"11"	"18"	"256"	"6"	"1"	"5"	"7"	"3"	"7"	"7"	"2"	"4"	"62"	"497"	"0"	"497"	"0"	""
"243"	"128 A"	"83"	"6"	"15"	"32"	"338"	"4"	"4"	"3"	"8"	"2"	"14"	"6"	"2"	"9"	"32"	"558"	"0"	"558"	"0"	""
"244"	"129"	"250"	"17"	"74"	"44"	"434"	"14"	"5"	"7"	"10"	"5"	"4"	"4"	"0"	"10"	"25"	"903"	"0"	"903"	"0"	""
"245"	"130"	"120"	"4"	"28"	"49"	"191"	"10"	"5"	"5"	"7"	"3"	"6"	"8"	"1"	"10"	"49"	"496"	"0"	"496"	"0"	""
"246"	"Total"	"1359"	"110"	"569"	"540"	"3751"	"96"	"38"	"64"	"111"	"62"	"70"	"110"	"39"	"95"	"839"	"7853"	"0"	"7853"	"0"	""
"247"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 11)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"256"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"257"	"130 A"	"84"	"5"	"8"	"76"	"47"	"1"	"0"	"2"	"7"	"3"	"5"	"11"	"1"	"7"	"129"	"386"	"0"	"386"	"0"	""
"258"	"131"	"38"	"2"	"10"	"39"	"141"	"9"	"0"	"4"	"0"	"2"	"7"	"5"	"0"	"1"	"8"	"266"	"0"	"266"	"0"	""
"259"	"132"	"137"	"6"	"1"	"10"	"411"	"18"	"0"	"2"	"12"	"6"	"9"	"13"	"9"	"4"	"24"	"662"	"0"	"662"	"0"	""
"260"	"133"	"139"	"13"	"5"	"55"	"58"	"1"	"0"	"3"	"3"	"1"	"2"	"56"	"9"	"4"	"14"	"363"	"0"	"363"	"0"	""
"261"	"134"	"117"	"0"	"2"	"13"	"505"	"4"	"2"	"1"	"0"	"1"	"1"	"4"	"0"	"2"	"3"	"655"	"0"	"655"	"0"	""
"262"	"135"	"136"	"1"	"94"	"35"	"233"	"4"	"1"	"3"	"4"	"3"	"1"	"5"	"1"	"1"	"11"	"533"	"0"	"533"	"0"	""
"263"	"136"	"53"	"2"	"35"	"41"	"345"	"12"	"4"	"8"	"6"	"1"	"4"	"14"	"2"	"4"	"26"	"557"	"0"	"557"	"0"	""
"264"	"137"	"51"	"0"	"74"	"31"	"441"	"6"	"1"	"5"	"3"	"1"	"2"	"9"	"2"	"0"	"13"	"639"	"0"	"639"	"0"	""
"265"	"138"	"68"	"2"	"20"	"86"	"360"	"8"	"3"	"4"	"4"	"0"	"3"	"37"	"6"	"3"	"11"	"615"	"0"	"615"	"0"	""
"266"	"139"	"12"	"1"	"4"	"4"	"218"	"9"	"1"	"2"	"4"	"0"	"3"	"33"	"7"	"4"	"13"	"315"	"0"	"315"	"0"	""
"267"	"140"	"128"	"2"	"1"	"45"	"201"	"4"	"2"	"2"	"6"	"1"	"5"	"17"	"0"	"3"	"10"	"427"	"0"	"427"	"0"	""
"268"	"141"	"150"	"4"	"10"	"18"	"377"	"4"	"2"	"5"	"6"	"2"	"7"	"8"	"0"	"6"	"26"	"625"	"0"	"625"	"0"	""
"269"	"142"	"59"	"2"	"9"	"14"	"226"	"0"	"1"	"0"	"2"	"1"	"3"	"2"	"0"	"4"	"241"	"564"	"0"	"564"	"0"	""
"270"	"143"	"122"	"2"	"32"	"14"	"218"	"4"	"0"	"3"	"1"	"1"	"3"	"4"	"4"	"1"	"67"	"476"	"0"	"476"	"0"	""
"271"	"Total"	"1294"	"42"	"305"	"481"	"3781"	"84"	"17"	"44"	"58"	"23"	"55"	"218"	"41"	"44"	"596"	"7083"	"0"	"7083"	"0"	""
"272"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 12)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"282"	"144"	"55"	"3"	"117"	"21"	"319"	"6"	"5"	"2"	"2"	"1"	"1"	"4"	"1"	"5"	"26"	"568"	"0"	"568"	"0"	""
"283"	"145"	"68"	"2"	"12"	"4"	"341"	"6"	"2"	"5"	"10"	"1"	"4"	"13"	"2"	"3"	"23"	"496"	"0"	"496"	"0"	""
"284"	"146"	"3"	"2"	"454"	"5"	"52"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"2"	"3"	"527"	"0"	"527"	"0"	""
"285"	"147"	"53"	"1"	"74"	"23"	"226"	"3"	"2"	"5"	"12"	"1"	"5"	"4"	"0"	"4"	"29"	"442"	"0"	"442"	"0"	""
"286"	"148"	"63"	"4"	"42"	"29"	"265"	"8"	"1"	"2"	"5"	"1"	"3"	"13"	"1"	"5"	"46"	"488"	"0"	"488"	"0"	""
"287"	"149"	"167"	"3"	"10"	"94"	"365"	"8"	"1"	"2"	"11"	"7"	"17"	"20"	"7"	"4"	"27"	"743"	"0"	"743"	"0"	""
"288"	"150"	"205"	"9"	"5"	"29"	"184"	"2"	"3"	"3"	"4"	"5"	"4"	"7"	"2"	"4"	"68"	"534"	"0"	"534"	"0"	""
"289"	"151"	"51"	"11"	"12"	"109"	"78"	"3"	"1"	"6"	"10"	"3"	"5"	"16"	"5"	"16"	"279"	"605"	"0"	"605"	"0"	""
"290"	"152"	"66"	"14"	"5"	"223"	"48"	"9"	"6"	"4"	"8"	"5"	"12"	"20"	"17"	"17"	"224"	"678"	"0"	"678"	"0"	""
"291"	"153"	"64"	"20"	"6"	"144"	"232"	"1"	"2"	"2"	"8"	"7"	"9"	"15"	"8"	"6"	"49"	"573"	"0"	"573"	"0"	""
"292"	"154"	"26"	"0"	"1"	"54"	"235"	"5"	"0"	"2"	"4"	"1"	"1"	"11"	"0"	"5"	"19"	"364"	"0"	"364"	"0"	""
"293"	"155"	"53"	"7"	"5"	"164"	"128"	"2"	"0"	"4"	"6"	"4"	"5"	"10"	"2"	"3"	"16"	"409"	"0"	"409"	"0"	""
"294"	"155 A"	"28"	"0"	"4"	"209"	"181"	"1"	"0"	"1"	"8"	"3"	"1"	"10"	"5"	"1"	"20"	"472"	"0"	"472"	"0"	""
"295"	"156"	"98"	"5"	"0"	"66"	"109"	"3"	"0"	"0"	"3"	"5"	"5"	"10"	"4"	"3"	"16"	"327"	"0"	"327"	"0"	""
"296"	"Total"	"1000"	"81"	"747"	"1174"	"2763"	"58"	"24"	"38"	"92"	"44"	"73"	"153"	"56"	"78"	"845"	"7226"	"0"	"7226"	"0"	""
"297"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"03- Narkatiaganj Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Electors in Assembly Constituency -      199137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"03- Narkatiaganj Legislative Assembly Constituency (Round - 13)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Polling Station No."	"ALOK PRASAD VERMA"	"JAINUL HAQUE"	"NURUL HODA SHAH"	"MAJHAR ALAM"	"SATISH CHANDRA DUBEY"	"ASIMA KHATOON"	"IFTEKHAR AHMAD"	"BAIDHNAT H CHAUBEY"	"MANOJ PATEL"	"SHEKH HASMUDD IN"	"OM SHANTI BABA"	"KRISHNA KUMAR MISHRA"	"NAND   LAL RAM"	"PANCHDE O CHAUBEY"	"FAKHRUD DIN KHAN"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
