"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"140"	"119"	""	"0"	"6"	"2"	"138"	"36"	"3"	"0"	"0"	"0"	"3"	"1"	"18"	""	"5"	"30"	"2"	"21"	"6"	"32"	"347"	"650"
"141"	"120"	""	"0"	"2"	"2"	"36"	"32"	"3"	"1"	"2"	"0"	"1"	"2"	"13"	""	"1"	"8"	"2"	"12"	"6"	"7"	"467"	"597"
"142"	"121"	""	"0"	"3"	"7"	"20"	"180"	"13"	"5"	"3"	"3"	"5"	"4"	"9"	""	"18"	"19"	"2"	"10"	"7"	"14"	"233"	"555"
"143"	"122"	""	"5"	"5"	"3"	"56"	"22"	"8"	"1"	"3"	"0"	"1"	"5"	"16"	""	"5"	"30"	"8"	"20"	"30"	"9"	"533"	"760"
"144"	"123"	""	"3"	"1"	"5"	"17"	"11"	"1"	"0"	"3"	"1"	"1"	"5"	"4"	""	"2"	"8"	"3"	"26"	"19"	"10"	"284"	"404"
"145"	"124"	""	"10"	"12"	"6"	"65"	"216"	"15"	"6"	"3"	"5"	"9"	"11"	""	"17"	"16"	"26"	"8"	"15"	"5"	"79"	"174"	"698"
"146"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"BOOTH NO"	""	"ARUN KUMAR SINGH"	"CHANDRIKA PRASAD"	"FIROZ AHMAD KHAN"	"VINOD PRASAD YADAV"	"SHAKIL AHMAD KHAN"	"MD. AJIM"	"M. ALEXANDER KHAN URF MOHAMMD"	"RAM PRASAD PRAJAPAT"	"MD. HASIBUDDIN KHAN"	"CHHOTU YADAV"	"JITENDRA KUMAR YADAV"	"NANDAN KUMAR"	""	"MOHAMMAD BAKHATEYAR RANA"	"RAMJEE PASWAN"	"RAM BILAS MANJHI"	"SHASHI BHUSHAN MISHRA"	"SUNITA DEVI"	"SURENDRA KUMAR SUMAN"	"SUSHAMA DEVI"	"Total Valid  Votes"
"148"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"149"	"125"	""	"3"	"5"	"4"	"38"	"19"	"4"	"0"	"0"	"1"	"4"	"0"	"10"	""	"2"	"11"	"2"	"6"	"17"	"18"	"344"	"488"
"150"	"126"	""	"1"	"1"	"1"	"21"	"581"	"18"	"3"	"2"	"1"	"5"	"4"	"16"	""	"28"	"10"	"0"	"5"	"4"	"1"	"101"	"803"
"151"	"127"	""	"3"	"3"	"3"	"12"	"338"	"12"	"4"	"2"	"2"	"1"	"1"	"11"	""	"17"	"14"	"2"	"10"	"1"	"4"	"16"	"456"
"152"	"128"	""	"4"	"16"	"2"	"15"	"320"	"8"	"26"	"3"	"2"	"2"	"4"	"16"	""	"20"	"13"	"5"	"24"	"1"	"20"	"51"	"552"
"153"	"129"	""	"0"	"2"	"0"	"13"	"315"	"7"	"4"	"1"	"1"	"0"	"0"	"3"	""	"3"	"1"	"2"	"4"	"3"	"0"	"36"	"395"
"154"	"130"	""	"10"	"3"	"2"	"42"	"52"	"6"	"3"	"4"	"0"	"2"	"1"	"6"	""	"4"	"12"	"2"	"17"	"11"	"16"	"258"	"451"
"155"	"131"	""	"8"	"8"	"10"	"47"	"54"	"7"	"1"	"1"	"0"	"5"	"8"	"11"	""	"4"	"16"	"3"	"22"	"12"	"8"	"291"	"516"
"156"	"132"	""	"5"	"3"	"4"	"51"	"13"	"5"	"2"	"0"	"1"	"4"	"6"	"7"	""	"8"	"11"	"10"	"12"	"14"	"62"	"291"	"509"
"157"	"133"	""	"5"	"11"	"5"	"19"	"8"	"9"	"3"	"6"	"1"	"3"	"1"	"5"	""	"1"	"13"	"1"	"2"	"8"	"6"	"297"	"404"
"158"	"134"	""	"3"	"7"	"3"	"274"	"72"	"28"	"8"	"0"	"4"	"7"	"9"	"15"	""	"5"	"16"	"3"	"7"	"8"	"4"	"122"	"595"
"159"	"135"	""	"4"	"7"	"12"	"53"	"35"	"3"	"1"	"2"	"1"	"2"	"2"	"4"	""	"2"	"9"	"5"	"13"	"7"	"30"	"83"	"275"
"160"	"136"	""	"9"	"3"	"18"	"97"	"42"	"11"	"12"	"9"	"3"	"7"	"7"	"7"	""	"11"	"16"	"5"	"11"	"5"	"11"	"93"	"377"
"161"	"137"	""	"9"	"7"	"13"	"70"	"30"	"5"	"6"	"2"	"4"	"5"	"14"	"18"	""	"21"	"14"	"10"	"18"	"7"	"99"	"63"	"415"
"162"	"138"	""	"11"	"12"	"4"	"38"	"122"	"7"	"1"	"3"	"1"	"5"	"4"	"14"	""	"10"	"9"	"2"	"12"	"41"	"35"	"260"	"591"
"163"	"139"	""	"1"	"3"	"6"	"32"	"224"	"6"	"12"	"4"	"7"	"10"	"9"	"24"	""	"37"	"20"	"4"	"17"	"3"	"75"	"121"	"615"
"164"	"140"	""	"3"	"6"	"4"	"36"	"81"	"4"	"2"	"2"	"2"	"2"	"1"	"11"	""	"1"	"17"	"7"	"5"	"5"	"55"	"277"	"521"
"165"	"141"	""	"2"	"10"	"5"	"15"	"9"	"5"	"1"	"0"	"1"	"1"	"0"	"2"	""	"0"	"2"	"1"	"4"	"5"	"5"	"146"	"214"
"166"	"142"	""	"4"	"5"	"6"	"20"	"78"	"2"	"5"	"3"	"0"	"4"	"3"	"3"	""	"7"	"4"	"4"	"6"	"5"	"38"	"49"	"246"
"167"	"143"	""	"4"	"3"	"2"	"34"	"66"	"5"	"2"	"2"	"1"	"0"	"3"	"3"	""	"9"	"4"	"0"	"4"	"1"	"10"	"3"	"156"
"168"	"144"	""	"7"	"4"	"1"	"7"	"42"	"4"	"5"	"1"	"1"	"0"	"0"	"7"	""	"4"	"23"	"5"	"16"	"34"	"12"	"365"	"538"
"169"	"145"	""	"8"	"6"	"4"	"55"	"145"	"11"	"1"	"4"	"4"	"12"	"10"	"13"	""	"18"	"21"	"9"	"38"	"12"	"24"	"71"	"466"
"170"	"146"	""	"6"	"14"	"10"	"148"	"83"	"5"	"9"	"2"	"4"	"3"	"8"	"15"	""	"14"	"12"	"17"	"12"	"5"	"270"	"62"	"699"
"171"	"147"	""	"2"	"7"	"12"	"41"	"20"	"7"	"0"	"4"	"3"	"5"	"10"	"11"	""	"17"	"35"	"4"	"26"	"5"	"89"	"91"	"389"
"172"	"148"	""	"2"	"2"	"8"	"46"	"67"	"4"	"7"	"1"	"0"	"3"	"6"	"5"	""	"18"	"6"	"2"	"2"	"2"	"26"	"72"	"279"
"173"	"149"	""	"2"	"5"	"2"	"49"	"34"	"3"	"1"	"2"	"3"	"5"	"7"	"5"	""	"8"	"6"	"6"	"7"	"11"	"55"	"16"	"227"
"174"	"150"	""	"2"	"4"	"3"	"75"	"10"	"5"	"3"	"2"	"0"	"4"	"0"	"0"	""	"1"	"3"	"1"	"0"	"3"	"99"	"21"	"236"
"175"	"151"	""	"3"	"7"	"20"	"105"	"9"	"7"	"1"	"3"	"2"	"14"	"17"	"8"	""	"17"	"34"	"11"	"54"	"8"	"31"	"124"	"475"
"176"	"152"	""	"2"	"10"	"4"	"125"	"45"	"5"	"6"	"6"	"1"	"3"	"14"	"8"	""	"16"	"8"	"8"	"16"	"5"	"51"	"20"	"353"
"177"	"153"	""	"5"	"3"	"2"	"32"	"38"	"3"	"1"	"4"	"2"	"2"	"2"	"2"	""	"6"	"0"	"1"	"4"	"7"	"62"	"7"	"183"
"178"	"154"	""	"8"	"16"	"5"	"202"	"89"	"11"	"14"	"4"	"8"	"8"	"19"	"13"	""	"16"	"11"	"10"	"14"	"14"	"143"	"28"	"633"
"179"	"155"	""	"8"	"6"	"7"	"134"	"104"	"7"	"4"	"5"	"4"	"1"	"2"	"3"	""	"8"	"2"	"1"	"6"	"4"	"16"	"19"	"341"
"180"	"156"	""	"3"	"23"	"4"	"64"	"158"	"12"	"6"	"3"	"6"	"3"	"15"	"6"	""	"18"	"17"	"13"	"20"	"3"	"153"	"50"	"577"
"181"	"157"	""	"2"	"2"	"2"	"56"	"33"	"3"	"2"	"2"	"1"	"3"	"5"	"4"	""	"4"	"3"	"1"	"4"	"1"	"19"	"7"	"154"
"182"	"158"	""	"9"	"9"	"15"	"117"	"31"	"3"	"3"	"5"	"3"	"3"	"6"	""	"0"	"7"	"6"	"12"	"7"	"14"	"87"	"23"	"360"
"183"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"BOOTH NO"	""	"ARUN KUMAR SINGH"	"CHANDRIKA PRASAD"	"FIROZ AHMAD KHAN"	"VINOD PRASAD YADAV"	"SHAKIL AHMAD KHAN"	"MD. AJIM"	"M. ALEXANDER KHAN URF MOHAMMD"	"RAM PRASAD PRAJAPAT"	"MD. HASIBUDDIN KHAN"	"CHHOTU YADAV"	"JITENDRA KUMAR YADAV"	"NANDAN KUMAR"	""	"MOHAMMAD BAKHATEYAR RANA"	"RAMJEE PASWAN"	"RAM BILAS MANJHI"	"SHASHI BHUSHAN MISHRA"	"SUNITA DEVI"	"SURENDRA KUMAR SUMAN"	"SUSHAMA DEVI"	"Total Valid  Votes"
"185"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"186"	"159"	""	"4"	"13"	"4"	"101"	"59"	"9"	"3"	"2"	"3"	"4"	"4"	"4"	""	"12"	"9"	"4"	"16"	"7"	"18"	"54"	"330"
"187"	"160"	""	"3"	"20"	"86"	"67"	"84"	"5"	"3"	"6"	"3"	"9"	"13"	"11"	""	"20"	"24"	"5"	"23"	"6"	"65"	"40"	"493"
"188"	"161"	""	"2"	"31"	"4"	"102"	"78"	"5"	"1"	"1"	"0"	"4"	"7"	"5"	""	"14"	"9"	"2"	"11"	"1"	"48"	"15"	"340"
"189"	"162"	""	"2"	"39"	"5"	"35"	"146"	"5"	"0"	"4"	"2"	"3"	"1"	"3"	""	"3"	"6"	"1"	"3"	"0"	"9"	"4"	"271"
"190"	"163"	""	"10"	"32"	"10"	"192"	"142"	"12"	"3"	"7"	"7"	"5"	"18"	"10"	""	"20"	"8"	"6"	"13"	"4"	"26"	"24"	"549"
"191"	"164"	""	"13"	"28"	"6"	"146"	"56"	"8"	"2"	"5"	"2"	"8"	"14"	"11"	""	"11"	"15"	"5"	"16"	"5"	"28"	"118"	"497"
"192"	"165"	""	"8"	"16"	"4"	"64"	"133"	"4"	"3"	"1"	"1"	"2"	"2"	"5"	""	"8"	"5"	"5"	"9"	"7"	"74"	"12"	"363"
"193"	"166"	""	"12"	"67"	"10"	"185"	"73"	"12"	"3"	"2"	"1"	"1"	"14"	"8"	""	"18"	"2"	"8"	"14"	"19"	"67"	"14"	"530"
"194"	"167"	""	"2"	"13"	"6"	"38"	"151"	"14"	"55"	"5"	"2"	"4"	"6"	"4"	""	"6"	"4"	"10"	"12"	"11"	"133"	"25"	"501"
"195"	"168"	""	"5"	"10"	"7"	"41"	"30"	"2"	"4"	"2"	"1"	"1"	"3"	"1"	""	"1"	"5"	"8"	"1"	"3"	"109"	"14"	"248"
"196"	"169"	""	"2"	"20"	"6"	"85"	"31"	"6"	"2"	"1"	"0"	"4"	"3"	"6"	""	"12"	"13"	"11"	"10"	"5"	"175"	"11"	"403"
"197"	"170"	""	"8"	"15"	"12"	"30"	"39"	"9"	"3"	"1"	"2"	"13"	"7"	"14"	""	"14"	"24"	"7"	"7"	"19"	"101"	"213"	"538"
"198"	"171"	""	"14"	"23"	"12"	"93"	"40"	"4"	"4"	"5"	"7"	"13"	"10"	"17"	""	"29"	"34"	"17"	"24"	"10"	"81"	"64"	"501"
"199"	"172"	""	"8"	"27"	"12"	"43"	"80"	"8"	"2"	"8"	"3"	"8"	"17"	"12"	""	"27"	"15"	"13"	"30"	"5"	"130"	"110"	"558"
"200"	"173"	""	"8"	"15"	"23"	"95"	"105"	"9"	"5"	"6"	"3"	"9"	"25"	"18"	""	"42"	"15"	"12"	"26"	"3"	"225"	"29"	"673"
"201"	"174"	""	"7"	"26"	"16"	"23"	"22"	"9"	"5"	"3"	"6"	"7"	"10"	"13"	""	"19"	"25"	"8"	"28"	"12"	"228"	"138"	"605"
"202"	"175"	""	"3"	"10"	"5"	"6"	"18"	"1"	"0"	"1"	"2"	"1"	"6"	"2"	""	"7"	"3"	"1"	"6"	"9"	"480"	"43"	"604"
"203"	"176"	""	"15"	"14"	"39"	"63"	"19"	"10"	"3"	"2"	"3"	"3"	"7"	"6"	""	"13"	"3"	"5"	"9"	"15"	"194"	"29"	"452"
"204"	"177"	""	"10"	"13"	"11"	"121"	"65"	"13"	"3"	"1"	"5"	"1"	"10"	"5"	""	"12"	"9"	"10"	"27"	"6"	"94"	"13"	"429"
"205"	"178"	""	"1"	"5"	"18"	"342"	"15"	"7"	"2"	"2"	"1"	"0"	"14"	"5"	""	"21"	"11"	"2"	"10"	"4"	"63"	"16"	"539"
"206"	"179"	""	"15"	"35"	"7"	"300"	"48"	"9"	"8"	"10"	"1"	"7"	"2"	"4"	""	"9"	"4"	"1"	"10"	"16"	"20"	"7"	"513"
"207"	"180"	""	"9"	"60"	"10"	"97"	"47"	"5"	"4"	"3"	"2"	"7"	"21"	"18"	""	"28"	"11"	"13"	"17"	"19"	"192"	"60"	"623"
"208"	"181"	""	"8"	"11"	"12"	"222"	"93"	"13"	"8"	"9"	"6"	"4"	"19"	"16"	""	"22"	"20"	"7"	"7"	"8"	"134"	"17"	"636"
"209"	"182"	""	"7"	"10"	"20"	"133"	"7"	"6"	"8"	"2"	"2"	"5"	"3"	"3"	""	"3"	"7"	"3"	"7"	"3"	"35"	"23"	"287"
"210"	"183"	""	"8"	"21"	"20"	"149"	"142"	"4"	"9"	"7"	"4"	"7"	"18"	"11"	""	"32"	"12"	"11"	"22"	"3"	"271"	"17"	"768"
"211"	"184"	""	"10"	"9"	"11"	"108"	"49"	"6"	"2"	"9"	"4"	"1"	"13"	"7"	""	"11"	"8"	"7"	"11"	"17"	"105"	"27"	"415"
"212"	"185"	""	"10"	"2"	"1"	"26"	"238"	"6"	"0"	"2"	"2"	"1"	"4"	"4"	""	"7"	"4"	"7"	"8"	"2"	"46"	"9"	"379"
"213"	"186"	""	"13"	"46"	"10"	"92"	"68"	"7"	"4"	"1"	"3"	"1"	"19"	"6"	""	"7"	"6"	"11"	"3"	"6"	"261"	"7"	"571"
"214"	"187"	""	"6"	"7"	"5"	"109"	"102"	"72"	"9"	"4"	"2"	"3"	"7"	"10"	""	"18"	"19"	"2"	"12"	"4"	"13"	"19"	"423"
"215"	"188"	""	"4"	"26"	"9"	"167"	"26"	"8"	"10"	"3"	"7"	"2"	"6"	"7"	""	"16"	"18"	"12"	"9"	"7"	"140"	"89"	"566"
"216"	"189"	""	"27"	"16"	"12"	"274"	"40"	"8"	"3"	"6"	"1"	"3"	"15"	"5"	""	"11"	"11"	"2"	"13"	"11"	"48"	"43"	"549"
"217"	"190"	""	"4"	"15"	"2"	"94"	"30"	"16"	"3"	"6"	"3"	"8"	"10"	"6"	""	"37"	"12"	"13"	"19"	"15"	"96"	"18"	"407"
"218"	"190"	"A"	"2"	"47"	"3"	"176"	"13"	"9"	"2"	"2"	"0"	"4"	"2"	"10"	""	"13"	"10"	"5"	"10"	"20"	"61"	"32"	"421"
"219"	"191"	""	"8"	"8"	"8"	"56"	"37"	"7"	"3"	"1"	"3"	"2"	"3"	""	"6"	"3"	"7"	"4"	"3"	"3"	"119"	"15"	"296"
"220"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"BOOTH NO"	""	"ARUN KUMAR SINGH"	"CHANDRIKA PRASAD"	"FIROZ AHMAD KHAN"	"VINOD PRASAD YADAV"	"SHAKIL AHMAD KHAN"	"MD. AJIM"	"M. ALEXANDER KHAN URF MOHAMMD"	"RAM PRASAD PRAJAPAT"	"MD. HASIBUDDIN KHAN"	"CHHOTU YADAV"	"JITENDRA KUMAR YADAV"	"NANDAN KUMAR"	""	"MOHAMMAD BAKHATEYAR RANA"	"RAMJEE PASWAN"	"RAM BILAS MANJHI"	"SHASHI BHUSHAN MISHRA"	"SUNITA DEVI"	"SURENDRA KUMAR SUMAN"	"SUSHAMA DEVI"	"Total Valid  Votes"
"222"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"223"	"192"	""	"5"	"4"	"3"	"176"	"66"	"11"	"5"	"7"	"6"	"1"	"7"	"7"	""	"17"	"16"	"4"	"25"	"5"	"21"	"66"	"452"
"224"	"193"	""	"9"	"5"	"8"	"101"	"29"	"4"	"5"	"6"	"1"	"5"	"12"	"10"	""	"13"	"6"	"6"	"17"	"11"	"32"	"21"	"301"
"225"	"194"	""	"2"	"9"	"2"	"5"	"46"	"5"	"1"	"1"	"2"	"2"	"7"	"5"	""	"10"	"8"	"8"	"17"	"6"	"177"	"16"	"329"
"226"	"195"	""	"10"	"81"	"24"	"65"	"43"	"1"	"0"	"1"	"1"	"1"	"6"	"8"	""	"9"	"2"	"6"	"9"	"21"	"85"	"29"	"402"
"227"	"196"	""	"11"	"5"	"5"	"152"	"105"	"50"	"5"	"4"	"3"	"7"	"18"	"10"	""	"11"	"15"	"2"	"7"	"7"	"103"	"20"	"540"
"228"	"197"	""	"4"	"11"	"4"	"201"	"33"	"31"	"5"	"4"	"3"	"7"	"9"	"6"	""	"5"	"7"	"1"	"1"	"2"	"13"	"78"	"425"
"229"	"198"	""	"6"	"11"	"7"	"150"	"38"	"10"	"2"	"2"	"0"	"3"	"10"	"10"	""	"5"	"4"	"1"	"6"	"15"	"81"	"128"	"489"
"230"	"199"	""	"7"	"9"	"4"	"138"	"7"	"4"	"3"	"1"	"1"	"4"	"2"	"6"	""	"4"	"15"	"7"	"4"	"11"	"32"	"191"	"450"
"231"	"200"	""	"12"	"6"	"25"	"155"	"36"	"15"	"0"	"1"	"1"	"3"	"4"	"7"	""	"11"	"4"	"6"	"6"	"8"	"154"	"67"	"521"
"232"	"201"	""	"11"	"9"	"4"	"260"	"42"	"11"	"6"	"8"	"3"	"3"	"6"	"5"	""	"12"	"6"	"3"	"15"	"6"	"54"	"94"	"558"
"233"	"202"	""	"8"	"7"	"7"	"131"	"59"	"15"	"15"	"18"	"7"	"6"	"18"	"15"	""	"18"	"17"	"10"	"15"	"6"	"52"	"65"	"489"
"234"	"203"	""	"11"	"12"	"11"	"137"	"144"	"26"	"4"	"7"	"5"	"9"	"5"	"12"	""	"20"	"15"	"9"	"13"	"11"	"131"	"186"	"768"
"235"	"204"	""	"4"	"7"	"7"	"143"	"68"	"6"	"6"	"6"	"1"	"7"	"4"	"14"	""	"13"	"19"	"12"	"14"	"7"	"102"	"122"	"562"
"236"	"205"	""	"2"	"20"	"8"	"123"	"18"	"10"	"5"	"5"	"4"	"5"	"12"	"5"	""	"11"	"7"	"4"	"8"	"6"	"72"	"24"	"349"
"237"	"206"	""	"3"	"16"	"3"	"86"	"43"	"6"	"6"	"2"	"2"	"3"	"6"	"4"	""	"9"	"4"	"1"	"9"	"9"	"54"	"9"	"275"
"238"	"207"	""	"6"	"11"	"8"	"126"	"66"	"8"	"2"	"4"	"2"	"1"	"11"	"8"	""	"15"	"11"	"7"	"14"	"8"	"102"	"17"	"427"
"239"	"208"	""	"2"	"11"	"5"	"117"	"22"	"0"	"2"	"2"	"0"	"1"	"4"	"2"	""	"7"	"8"	"6"	"9"	"7"	"173"	"28"	"406"
"240"	"209"	""	"9"	"3"	"5"	"158"	"28"	"6"	"3"	"2"	"3"	"1"	"6"	"2"	""	"4"	"2"	"0"	"5"	"6"	"35"	"2"	"280"
"241"	"210"	""	"5"	"3"	"6"	"116"	"50"	"7"	"4"	"0"	"2"	"2"	"3"	"4"	""	"11"	"12"	"1"	"9"	"3"	"21"	"6"	"265"
"242"	"211"	""	"7"	"8"	"3"	"95"	"120"	"13"	"4"	"2"	"2"	"4"	"8"	"6"	""	"12"	"7"	"5"	"9"	"4"	"88"	"17"	"414"
"243"	"212"	""	"3"	"35"	"11"	"36"	"47"	"5"	"1"	"0"	"2"	"3"	"6"	"3"	""	"19"	"6"	"4"	"7"	"7"	"85"	"3"	"283"
"244"	"213"	""	"15"	"16"	"6"	"175"	"100"	"16"	"8"	"6"	"11"	"5"	"11"	"9"	""	"13"	"15"	"8"	"16"	"6"	"55"	"27"	"518"
"245"	"214"	""	"3"	"17"	"6"	"189"	"31"	"6"	"0"	"1"	"3"	"4"	"6"	"5"	""	"8"	"4"	"5"	"4"	"4"	"19"	"173"	"488"
"246"	"215"	""	"5"	"5"	"2"	"45"	"31"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	""	"3"	"5"	"2"	"6"	"10"	"9"	"57"	"185"
"247"	"216"	""	"4"	"10"	"4"	"71"	"83"	"4"	"2"	"2"	"2"	"3"	"2"	"6"	""	"14"	"17"	"11"	"17"	"9"	"95"	"81"	"437"
"248"	"217"	""	"12"	"9"	"10"	"138"	"66"	"7"	"2"	"7"	"5"	"4"	"4"	"7"	""	"14"	"7"	"1"	"5"	"2"	"46"	"35"	"381"
"249"	"218"	""	"6"	"3"	"6"	"56"	"28"	"49"	"3"	"1"	"2"	"0"	"1"	"2"	""	"2"	"4"	"6"	"1"	"4"	"45"	"5"	"224"
"250"	"219"	""	"3"	"3"	"1"	"50"	"165"	"26"	"3"	"8"	"8"	"6"	"9"	"10"	""	"9"	"1"	"1"	"5"	"1"	"11"	"17"	"337"
"251"	"220"	""	"4"	"2"	"4"	"67"	"24"	"5"	"1"	"2"	"3"	"6"	"4"	"7"	""	"3"	"3"	"2"	"6"	"7"	"4"	"81"	"235"
"252"	"221"	""	"2"	"2"	"12"	"100"	"52"	"48"	"4"	"2"	"4"	"3"	"7"	"7"	""	"6"	"2"	"6"	"16"	"2"	"1"	"5"	"281"
"253"	"222"	""	"7"	"7"	"4"	"304"	"41"	"13"	"4"	"6"	"4"	"3"	"15"	"4"	""	"13"	"6"	"1"	"10"	"3"	"32"	"34"	"511"
"254"	"223"	""	"7"	"3"	"7"	"214"	"67"	"63"	"9"	"5"	"5"	"7"	"11"	"18"	""	"20"	"25"	"11"	"22"	"2"	"35"	"113"	"644"
"255"	"224"	""	"3"	"2"	"0"	"68"	"102"	"2"	"2"	"0"	"2"	"2"	"4"	"0"	""	"5"	"3"	"1"	"8"	"1"	"10"	"10"	"225"
"256"	"225"	""	"1"	"7"	"9"	"108"	"181"	"13"	"9"	"6"	"1"	"6"	"17"	""	"10"	"9"	"7"	"3"	"10"	"4"	"32"	"8"	"441"
"257"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"BOOTH NO"	""	"ARUN KUMAR SINGH"	"CHANDRIKA PRASAD"	"FIROZ AHMAD KHAN"	"VINOD PRASAD YADAV"	"SHAKIL AHMAD KHAN"	"MD. AJIM"	"M. ALEXANDER KHAN URF MOHAMMD"	"RAM PRASAD PRAJAPAT"	"MD. HASIBUDDIN KHAN"	"CHHOTU YADAV"	"JITENDRA KUMAR YADAV"	"NANDAN KUMAR"	""	"MOHAMMAD BAKHATEYAR RANA"	"RAMJEE PASWAN"	"RAM BILAS MANJHI"	"SHASHI BHUSHAN MISHRA"	"SUNITA DEVI"	"SURENDRA KUMAR SUMAN"	"SUSHAMA DEVI"	"Total Valid  Votes"
"259"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"260"	"226"	""	"6"	"11"	"9"	"53"	"116"	"5"	"5"	"4"	"3"	"7"	"22"	"19"	""	"25"	"37"	"14"	"34"	"6"	"110"	"75"	"561"
"261"	"227"	""	"2"	"5"	"6"	"50"	"73"	"5"	"5"	"3"	"0"	"5"	"6"	"3"	""	"3"	"4"	"3"	"5"	"8"	"46"	"22"	"254"
"262"	"228"	""	"6"	"6"	"8"	"164"	"93"	"10"	"3"	"2"	"1"	"0"	"2"	"0"	""	"3"	"1"	"1"	"4"	"1"	"16"	"0"	"321"
"263"	"229"	""	"17"	"10"	"12"	"6"	"7"	"4"	"3"	"0"	"0"	"0"	"2"	"2"	""	"2"	"16"	"4"	"4"	"12"	"52"	"135"	"288"
"264"	"230"	""	"6"	"10"	"24"	"39"	"63"	"2"	"3"	"1"	"2"	"3"	"10"	"4"	""	"9"	"14"	"7"	"18"	"4"	"190"	"61"	"470"
"265"	"231"	""	"7"	"38"	"7"	"36"	"116"	"4"	"4"	"3"	"2"	"1"	"18"	"8"	""	"31"	"14"	"24"	"27"	"7"	"116"	"13"	"476"
"266"	"232"	""	"11"	"12"	"12"	"125"	"62"	"10"	"8"	"5"	"5"	"3"	"16"	"10"	""	"27"	"14"	"7"	"21"	"7"	"124"	"79"	"558"
"267"	"233"	""	"5"	"19"	"2"	"20"	"101"	"1"	"1"	"2"	"1"	"0"	"3"	"3"	""	"7"	"2"	"5"	"13"	"5"	"193"	"20"	"403"
"268"	"234"	""	"3"	"29"	"6"	"25"	"68"	"4"	"1"	"3"	"3"	"3"	"11"	"5"	""	"9"	"5"	"10"	"11"	"3"	"186"	"8"	"393"
"269"	"235"	""	"10"	"10"	"8"	"191"	"115"	"11"	"8"	"3"	"5"	"4"	"11"	"15"	""	"12"	"10"	"3"	"2"	"11"	"33"	"44"	"506"
"270"	"236"	""	"5"	"12"	"2"	"151"	"251"	"4"	"4"	"4"	"2"	"1"	"5"	"2"	""	"8"	"1"	"2"	"13"	"1"	"90"	"41"	"599"
"271"	"237"	""	"7"	"9"	"9"	"55"	"69"	"17"	"10"	"11"	"4"	"11"	"20"	"16"	""	"10"	"18"	"9"	"36"	"7"	"15"	"38"	"371"
"272"	"238"	""	"12"	"10"	"7"	"97"	"58"	"22"	"8"	"9"	"2"	"2"	"0"	"3"	""	"4"	"2"	"6"	"6"	"1"	"16"	"10"	"275"
"273"	"Total"	""	"1770"	"2486"	"3389"	"25436"	"18620"	"2280"	"1215"	"764"	"598"	"1033"	"1908"	"2057"	""	"3207"	"2775"	"1236"	"3052"	"1904"	"14990"	"18943"	"107663"
"274"	"POSTAL BALLOT"	""	"0"	"1"	"0"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"17"	"1"	"33"
"275"	"Grand Total"	""	"1770"	"2487"	"3389"	"25447"	"18623"	"2280"	"1215"	"764"	"598"	"1033"	"1908"	"2057"	""	"3207"	"2775"	"1236"	"3052"	"1904"	"15007"	"18944"	"107696"
"276"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
