"Serial.No..of.Polling.Stition"	"Md..Imran"	"Dr..Chandrama.Singh"	"Vikram.Kunwar"	"Samrun.Nisa"	"HamidRaza.Khan"	"AmarNath.Yadav"	"Dr..C..B..Mishra"	"Anil.Kumar.Singh"	"Kamarul.Hak"	"Kaushlendra.Kumar.Singh"	"Tribhuwan.Singh"	"Munni.Devi"	"Rameshwar.Singh"	"Vishwakarma.Bhagat"	"Total.of.Valid.Votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.voters"
"279"	158	7	6	63	3	31	286	3	30	6	5	8	5	5	5	463	NA	463	NA
"280"	NA	1	10	99	2	2	94	5	23	50	4	7	7	8	13	325	NA	325	NA
"281"	159	4	55	374	7	10	19	2	20	37	1	4	22	8	18	581	NA	581	NA
"282"	160	2	13	222	7	35	48	4	22	159	9	1	10	24	17	573	NA	573	NA
"283"	161	6	8	171	8	17	176	5	40	22	6	4	4	2	7	476	NA	476	NA
"284"	162	5	68	183	4	52	49	6	40	13	7	2	2	10	6	447	NA	447	NA
"285"	163	38	19	228	6	98	15	8	34	69	4	14	11	11	18	573	NA	573	NA
"286"	164	11	15	200	10	46	113	4	15	16	7	7	10	10	11	475	NA	475	NA
"287"	165	16	16	303	12	41	125	5	43	52	3	7	15	9	7	654	NA	654	NA
"288"	166	20	15	318	10	70	69	3	40	36	6	8	17	12	8	632	NA	632	NA
"289"	167	14	17	299	5	51	74	1	72	22	2	3	1	6	7	574	NA	574	NA
"290"	168	10	14	154	5	43	200	13	31	14	4	8	3	13	7	519	NA	519	NA
"291"	NA	145	275	3052	90	507	1452	65	447	522	59	81	120	134	141	7090	0	7090	0
"292"	NA	2753	2130	26112	1194	14339	15006	1021	5418	10097	847	950	1584	1611	2729	85791	0	85791	0
"293"	NA	2898	2405	29164	1284	14846	16458	1086	5865	10619	906	1031	1704	1745	2870	92881	0	92881	0
"294"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"295"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"296"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"297"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"298"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"299"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"300"	169	6	25	401	9	17	17	3	6	4	1	2	13	2	6	512	NA	512	NA
"301"	170	5	12	189	16	32	165	3	48	32	8	13	15	4	22	564	NA	564	NA
"302"	171	4	1	24	2	14	90	4	8	5	2	0	0	0	1	155	NA	155	NA
"303"	172	4	30	282	5	12	118	7	22	33	5	7	6	23	1	555	NA	555	NA
"304"	173	10	30	144	9	9	150	8	42	11	7	4	7	3	5	439	NA	439	NA
"305"	174	8	5	86	1	41	29	9	29	17	5	2	0	1	1	234	NA	234	NA
"306"	175	13	50	107	4	14	194	6	40	10	4	5	6	8	8	469	NA	469	NA
"307"	176	2	11	62	2	1	84	3	15	8	2	7	3	13	3	216	NA	216	NA
"308"	177	1	8	105	2	8	64	4	8	9	4	3	16	6	9	247	NA	247	NA
"309"	178	2	19	138	4	22	33	4	17	27	1	5	3	4	11	290	NA	290	NA
"310"	179	10	19	194	5	27	94	6	18	32	10	6	10	4	8	443	NA	443	NA
"311"	180	13	54	170	7	10	53	9	19	23	3	4	5	5	4	379	NA	379	NA
"312"	NA	28	47	110	11	59	77	3	18	51	4	3	3	7	4	425	NA	425	NA
"313"	181	21	16	213	9	10	28	6	78	11	0	4	6	3	1	406	NA	406	NA
"314"	NA	127	327	2225	86	276	1196	75	368	273	56	65	93	83	84	5334	0	5334	0
"315"	NA	2898	2405	29164	1284	14846	16458	1086	5865	10619	906	1031	1704	1745	2870	92881	0	92881	0
"316"	NA	3025	2732	31389	1370	15122	17654	1161	6233	10892	962	1096	1797	1828	2954	98215	0	98215	0
"317"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"318"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"319"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"320"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"322"	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"323"	NA	51	30	246	6	16	24	2	54	11	2	2	9	5	5	463	NA	463	NA
"324"	182	10	35	272	7	17	17	3	42	27	4	2	6	5	15	462	NA	462	NA
"325"	183	7	278	120	6	20	6	3	13	23	1	2	6	8	7	500	NA	500	NA
"326"	184	12	68	313	15	30	71	7	18	24	4	5	18	5	12	602	NA	602	NA
"327"	185	7	70	308	9	10	45	7	32	17	3	3	22	7	24	564	NA	564	NA
"328"	186	15	9	23	4	117	60	5	14	8	3	5	5	1	7	276	NA	276	NA
"329"	187	23	40	253	6	35	16	1	31	12	2	4	6	8	6	443	NA	443	NA
"330"	188	12	27	35	5	32	271	9	105	30	11	10	11	5	9	572	NA	572	NA
"331"	189	8	8	134	10	75	70	11	28	33	9	4	20	2	3	415	NA	415	NA
"332"	190	5	48	215	38	63	20	6	34	90	3	5	6	6	10	549	NA	549	NA
"333"	191	3	37	157	8	17	104	5	31	9	5	8	9	3	12	408	NA	408	NA
"334"	NA	153	650	2076	114	432	704	59	402	284	47	50	118	55	110	5254	0	5254	0
"335"	NA	3025	2732	31389	1370	15122	17654	1161	6233	10892	962	1096	1797	1828	2954	98215	0	98215	0
"336"	NA	3178	3382	33465	1484	15554	18358	1220	6635	11176	1009	1146	1915	1883	3064	1e+05	0	103469	0
"337"	NA	2	1	9	0	3	4	1	0	3	0	0	0	1	0	24	4	28	0
"338"	NA	3180	3383	33474	1484	15557	18362	1221	6635	11179	1009	1146	1915	1884	3064	1e+05	4	103497	0
"339"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"340"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"341"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
