"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE  RULE 56C (2)©]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 56 PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency/Segment  228659"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly/Segment… 25-Parihar (in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"136"	"115"	"112"	""	"120"	"3"	"3"	"48"	"41"	"6"	"0"	"2"	"9"	"5"	"90"	"0"	"5"	"3"	"335"	"0"	"335"	"0"	""
"137"	"116"	"113"	""	"28"	"1"	"40"	"71"	"151"	"10"	"5"	"4"	"13"	"4"	"39"	"8"	"13"	"63"	"450"	"0"	"450"	"0"	""
"138"	"117"	"114"	""	"35"	"5"	"3"	"37"	"118"	"7"	"3"	"2"	"5"	"4"	"49"	"4"	"2"	"7"	"281"	"0"	"281"	"0"	""
"139"	"118"	"115"	""	"49"	"2"	"29"	"125"	"195"	"18"	"5"	"3"	"9"	"3"	"108"	"8"	"2"	"7"	"563"	"0"	"563"	"0"	""
"140"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"141"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"142"	"119"	"116"	""	"58"	"7"	"31"	"62"	"201"	"17"	"6"	"10"	"45"	"13"	"262"	"17"	"10"	"21"	"760"	"0"	"760"	"0"	""
"143"	"120"	"117"	""	"2"	"2"	"0"	"3"	"6"	"2"	"1"	"1"	"13"	"1"	"178"	"4"	"0"	"4"	"217"	"0"	"217"	"0"	""
"144"	"121"	"118"	""	"7"	"1"	"38"	"110"	"207"	"6"	"1"	"0"	"7"	"3"	"16"	"2"	"2"	"3"	"403"	"0"	"403"	"0"	""
"145"	"122"	"119"	""	"4"	"0"	"10"	"36"	"150"	"5"	"4"	"1"	"5"	"3"	"85"	"3"	"2"	"2"	"310"	"0"	"310"	"0"	""
"146"	"123"	"120"	""	"84"	"5"	"6"	"205"	"94"	"13"	"3"	"4"	"13"	"19"	"59"	"5"	"11"	"20"	"541"	"0"	"541"	"0"	""
"147"	"124"	"121"	""	"4"	"3"	"64"	"161"	"72"	"4"	"3"	"4"	"7"	"14"	"37"	"10"	"4"	"21"	"408"	"0"	"408"	"0"	""
"148"	"125"	"122"	""	"34"	"2"	"106"	"98"	"77"	"15"	"1"	"0"	"7"	"6"	"56"	"7"	"8"	"21"	"438"	"0"	"438"	"0"	""
"149"	"126"	"123"	""	"164"	"11"	"6"	"20"	"12"	"4"	"0"	"1"	"10"	"5"	"69"	"11"	"5"	"2"	"320"	"0"	"320"	"0"	""
"150"	"127"	"124"	""	"223"	"5"	"3"	"27"	"0"	"1"	"0"	"0"	"2"	"1"	"29"	"9"	"0"	"2"	"302"	"0"	"302"	"0"	""
"151"	"128"	"125"	""	"254"	"6"	"3"	"40"	"59"	"6"	"0"	"3"	"15"	"3"	"119"	"15"	"5"	"8"	"536"	"0"	"536"	"0"	""
"152"	"129"	"126"	""	"286"	"4"	"9"	"11"	"60"	"3"	"1"	"3"	"7"	"1"	"37"	"12"	"1"	"5"	"440"	"0"	"440"	"0"	""
"153"	"130"	"127"	""	"366"	"13"	"2"	"14"	"21"	"1"	"1"	"3"	"6"	"0"	"8"	"4"	"0"	"1"	"440"	"0"	"440"	"0"	""
"154"	"131"	"128"	""	"316"	"8"	"0"	"53"	"89"	"2"	"1"	"1"	"1"	"3"	"7"	"3"	"3"	"2"	"489"	"0"	"489"	"0"	""
"155"	"132"	"129"	""	"10"	"5"	"17"	"79"	"194"	"17"	"2"	"2"	"14"	"6"	"128"	"11"	"13"	"7"	"505"	"0"	"505"	"0"	""
"156"	"133"	"130"	""	"142"	"6"	"1"	"89"	"31"	"5"	"0"	"0"	"3"	"4"	"16"	"9"	"2"	"7"	"315"	"0"	"315"	"0"	""
"157"	"134"	"131"	""	"243"	"7"	"1"	"66"	"3"	"1"	"2"	"0"	"1"	"1"	"5"	"3"	"1"	"3"	"337"	"0"	"337"	"0"	""
"158"	"135"	"132"	""	"206"	"12"	"2"	"48"	"16"	"0"	"2"	"0"	"2"	"1"	"4"	"6"	"2"	"11"	"312"	"0"	"312"	"0"	""
"159"	"136"	"133"	""	"140"	"9"	"49"	"47"	"90"	"5"	"1"	"2"	"2"	"1"	"29"	"4"	"2"	"5"	"386"	"0"	"386"	"0"	""
"160"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"161"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"162"	"137"	"134"	""	"201"	"23"	"40"	"60"	"22"	"3"	"0"	"1"	"1"	"7"	"2"	"21"	"2"	"4"	"387"	"0"	"387"	"0"	""
"163"	"138"	"135"	""	"195"	"10"	"7"	"48"	"3"	"2"	"1"	"1"	"0"	"1"	"2"	"6"	"2"	"4"	"282"	"0"	"282"	"0"	""
"164"	"139"	"136"	""	"12"	"0"	"76"	"100"	"119"	"10"	"7"	"0"	"18"	"3"	"125"	"9"	"2"	"7"	"488"	"0"	"488"	"0"	""
"165"	"140"	"137"	""	"349"	"13"	"7"	"49"	"4"	"1"	"0"	"1"	"3"	"1"	"45"	"9"	"1"	"6"	"489"	"0"	"489"	"0"	""
"166"	"141"	"138"	""	"334"	"3"	"1"	"68"	"22"	"1"	"2"	"2"	"4"	"0"	"31"	"31"	"2"	"5"	"506"	"0"	"506"	"0"	""
"167"	"142"	"139"	""	"383"	"10"	"13"	"18"	"142"	"9"	"2"	"0"	"6"	"1"	"12"	"4"	"3"	"2"	"605"	"0"	"605"	"0"	""
"168"	"143"	"140"	""	"133"	"5"	"46"	"15"	"48"	"5"	"3"	"2"	"4"	"0"	"23"	"6"	"2"	"25"	"317"	"0"	"317"	"0"	""
"169"	"144"	"141"	""	"203"	"4"	"7"	"11"	"7"	"1"	"1"	"0"	"5"	"1"	"51"	"14"	"2"	"10"	"317"	"0"	"317"	"0"	""
"170"	"145"	"142"	""	"106"	"5"	"8"	"137"	"80"	"5"	"5"	"6"	"9"	"5"	"44"	"4"	"6"	"16"	"436"	"0"	"436"	"0"	""
"171"	"146"	"143"	""	"117"	"6"	"82"	"143"	"119"	"9"	"0"	"1"	"23"	"4"	"156"	"4"	"1"	"3"	"668"	"0"	"668"	"0"	""
"172"	"147"	"144"	""	"181"	"9"	"11"	"56"	"29"	"4"	"2"	"2"	"5"	"5"	"14"	"13"	"2"	"4"	"337"	"0"	"337"	"0"	""
"173"	"148"	"144"	"A"	"32"	"2"	"34"	"57"	"206"	"10"	"1"	"7"	"13"	"4"	"63"	"14"	"3"	"2"	"448"	"0"	"448"	"0"	""
"174"	"149"	"145"	""	"177"	"8"	"9"	"31"	"166"	"7"	"5"	"1"	"13"	"2"	"32"	"17"	"1"	"2"	"471"	"0"	"471"	"0"	""
"175"	"150"	"146"	""	"62"	"6"	"13"	"54"	"102"	"10"	"4"	"2"	"15"	"9"	"52"	"9"	"5"	"6"	"349"	"0"	"349"	"0"	""
"176"	"151"	"147"	""	"28"	"6"	"422"	"121"	"189"	"8"	"0"	"4"	"10"	"3"	"47"	"6"	"5"	"8"	"857"	"0"	"857"	"0"	""
"177"	"152"	"148"	""	"34"	"2"	"3"	"158"	"399"	"15"	"2"	"10"	"3"	"7"	"21"	"10"	"2"	"21"	"687"	"0"	"687"	"0"	""
"178"	"153"	"149"	""	"19"	"1"	"1"	"187"	"270"	"26"	"8"	"4"	"8"	"19"	"37"	"10"	"12"	"33"	"635"	"0"	"635"	"0"	""
"179"	"154"	"150"	""	"87"	"8"	"20"	"210"	"304"	"15"	"9"	"12"	"5"	"13"	"22"	"6"	"9"	"20"	"740"	"0"	"740"	"0"	""
"180"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"181"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"182"	"155"	"151"	""	"70"	"7"	"11"	"188"	"331"	"21"	"13"	"7"	"5"	"22"	"17"	"15"	"11"	"26"	"744"	"0"	"744"	"0"	""
"183"	"156"	"152"	""	"3"	"0"	"14"	"208"	"62"	"2"	"1"	"1"	"3"	"11"	"4"	"1"	"9"	"11"	"330"	"0"	"330"	"0"	""
"184"	"157"	"153"	""	"13"	"4"	"9"	"95"	"384"	"26"	"9"	"2"	"13"	"1"	"60"	"8"	"5"	"5"	"634"	"0"	"634"	"0"	""
"185"	"158"	"154"	""	"10"	"2"	"40"	"168"	"350"	"25"	"4"	"2"	"9"	"9"	"78"	"10"	"6"	"17"	"730"	"0"	"730"	"0"	""
"186"	"159"	"155"	""	"20"	"6"	"42"	"66"	"161"	"15"	"12"	"6"	"24"	"17"	"81"	"13"	"8"	"9"	"480"	"0"	"480"	"0"	""
"187"	"160"	"156"	""	"37"	"3"	"2"	"106"	"172"	"9"	"1"	"5"	"20"	"6"	"199"	"7"	"7"	"17"	"591"	"0"	"591"	"0"	""
"188"	"161"	"157"	""	"21"	"2"	"7"	"85"	"192"	"18"	"3"	"3"	"34"	"7"	"19"	"4"	"5"	"13"	"413"	"0"	"413"	"0"	""
"189"	"162"	"158"	""	"29"	"2"	"1"	"34"	"180"	"11"	"2"	"0"	"7"	"2"	"7"	"3"	"5"	"20"	"303"	"0"	"303"	"0"	""
"190"	"163"	"159"	""	"52"	"1"	"8"	"58"	"247"	"13"	"3"	"3"	"51"	"9"	"10"	"5"	"4"	"24"	"488"	"0"	"488"	"0"	""
"191"	"164"	"160"	""	"72"	"4"	"1"	"1"	"139"	"13"	"3"	"3"	"7"	"2"	"0"	"4"	"3"	"8"	"260"	"0"	"260"	"0"	""
"192"	"165"	"161"	""	"226"	"10"	"4"	"77"	"204"	"10"	"4"	"0"	"4"	"4"	"16"	"18"	"6"	"14"	"597"	"0"	"597"	"0"	""
"193"	"166"	"162"	""	"238"	"11"	"7"	"113"	"38"	"2"	"4"	"2"	"21"	"5"	"58"	"24"	"6"	"10"	"539"	"0"	"539"	"0"	""
"194"	"167"	"163"	""	"228"	"5"	"33"	"79"	"87"	"5"	"2"	"7"	"7"	"5"	"50"	"8"	"4"	"8"	"528"	"0"	"528"	"0"	""
"195"	"168"	"164"	""	"4"	"1"	"25"	"95"	"287"	"8"	"3"	"2"	"4"	"6"	"37"	"6"	"1"	"10"	"489"	"0"	"489"	"0"	""
"196"	"169"	"165"	""	"185"	"3"	"101"	"24"	"199"	"11"	"7"	"5"	"5"	"8"	"19"	"10"	"3"	"18"	"598"	"0"	"598"	"0"	""
"197"	"170"	"166"	""	"261"	"3"	"7"	"62"	"116"	"5"	"4"	"1"	"9"	"5"	"119"	"1"	"3"	"4"	"600"	"0"	"600"	"0"	""
"198"	"171"	"167"	""	"22"	"0"	"9"	"452"	"17"	"2"	"0"	"1"	"6"	"3"	"31"	"0"	"1"	"4"	"548"	"0"	"548"	"0"	""
"199"	"172"	"168"	""	"121"	"7"	"1"	"236"	"17"	"2"	"0"	"0"	"3"	"3"	"12"	"2"	"1"	"9"	"414"	"0"	"414"	"0"	""
"200"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"201"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"202"	"173"	"169"	""	"378"	"8"	"1"	"4"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"10"	"0"	"5"	"410"	"0"	"410"	"0"	""
"203"	"174"	"170"	""	"185"	"4"	"10"	"9"	"25"	"4"	"0"	"1"	"4"	"0"	"32"	"0"	"1"	"6"	"281"	"0"	"281"	"0"	""
"204"	"175"	"170"	"A"	"122"	"9"	"29"	"73"	"72"	"4"	"2"	"4"	"5"	"3"	"23"	"6"	"6"	"3"	"361"	"0"	"361"	"0"	""
"205"	"176"	"171"	""	"12"	"1"	"4"	"84"	"182"	"9"	"3"	"3"	"21"	"8"	"95"	"1"	"2"	"6"	"431"	"0"	"431"	"0"	""
"206"	"177"	"172"	""	"155"	"4"	"5"	"16"	"95"	"3"	"0"	"2"	"6"	"3"	"35"	"7"	"2"	"4"	"337"	"0"	"337"	"0"	""
"207"	"178"	"173"	""	"149"	"4"	"7"	"70"	"154"	"15"	"4"	"10"	"20"	"4"	"145"	"2"	"7"	"22"	"613"	"0"	"613"	"0"	""
"208"	"179"	"174"	""	"130"	"1"	"18"	"228"	"62"	"9"	"5"	"6"	"21"	"10"	"68"	"3"	"3"	"4"	"568"	"0"	"568"	"0"	""
"209"	"180"	"175"	""	"15"	"0"	"4"	"92"	"101"	"10"	"4"	"9"	"24"	"13"	"128"	"9"	"4"	"12"	"425"	"0"	"425"	"0"	""
"210"	"181"	"176"	""	"1"	"0"	"1"	"20"	"182"	"3"	"0"	"0"	"2"	"3"	"35"	"1"	"1"	"1"	"250"	"0"	"250"	"0"	""
"211"	"182"	"177"	""	"7"	"2"	"1"	"130"	"122"	"8"	"1"	"2"	"17"	"15"	"102"	"8"	"12"	"15"	"442"	"0"	"442"	"0"	""
"212"	"183"	"178"	""	"6"	"1"	"4"	"43"	"147"	"7"	"3"	"8"	"14"	"6"	"201"	"6"	"4"	"8"	"458"	"0"	"458"	"0"	""
"213"	"184"	"179"	""	"10"	"2"	"0"	"23"	"100"	"7"	"2"	"8"	"11"	"7"	"222"	"4"	"3"	"7"	"406"	"0"	"406"	"0"	""
"214"	"185"	"180"	""	"238"	"18"	"0"	"9"	"3"	"3"	"1"	"0"	"1"	"0"	"5"	"22"	"0"	"1"	"301"	"0"	"301"	"0"	""
"215"	"186"	"181"	""	"348"	"6"	"0"	"15"	"16"	"2"	"1"	"0"	"0"	"0"	"1"	"11"	"0"	"4"	"404"	"0"	"404"	"0"	""
"216"	"187"	"182"	""	"33"	"1"	"13"	"44"	"122"	"7"	"2"	"2"	"14"	"12"	"326"	"16"	"22"	"17"	"631"	"0"	"631"	"0"	""
"217"	"188"	"183"	""	"15"	"0"	"2"	"8"	"170"	"21"	"3"	"10"	"51"	"14"	"164"	"4"	"1"	"8"	"471"	"0"	"471"	"0"	""
"218"	"189"	"184"	""	"4"	"0"	"5"	"18"	"527"	"5"	"4"	"1"	"3"	"4"	"12"	"0"	"2"	"5"	"590"	"0"	"590"	"0"	""
"219"	"190"	"185"	""	"1"	"0"	"9"	"16"	"406"	"6"	"2"	"1"	"0"	"3"	"1"	"1"	"0"	"5"	"451"	"0"	"451"	"0"	""
"220"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"221"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"222"	"191"	"186"	""	"4"	"0"	"1"	"51"	"24"	"5"	"1"	"6"	"20"	"14"	"219"	"4"	"3"	"8"	"360"	"0"	"360"	"0"	""
"223"	"192"	"187"	""	"3"	"2"	"7"	"136"	"185"	"16"	"2"	"4"	"13"	"10"	"69"	"8"	"9"	"23"	"487"	"0"	"487"	"0"	""
"224"	"193"	"188"	""	"327"	"21"	"6"	"55"	"96"	"11"	"2"	"1"	"5"	"2"	"5"	"1"	"4"	"13"	"549"	"0"	"549"	"0"	""
"225"	"194"	"189"	""	"12"	"1"	"52"	"45"	"128"	"6"	"0"	"2"	"0"	"1"	"21"	"3"	"4"	"6"	"281"	"0"	"281"	"0"	""
"226"	"195"	"190"	""	"24"	"3"	"12"	"58"	"285"	"7"	"0"	"1"	"1"	"4"	"34"	"0"	"5"	"5"	"439"	"0"	"439"	"0"	""
"227"	"196"	"191"	""	"41"	"2"	"3"	"130"	"68"	"3"	"0"	"0"	"3"	"4"	"3"	"1"	"3"	"12"	"273"	"0"	"273"	"0"	""
"228"	"197"	"192"	""	"126"	"3"	"12"	"185"	"148"	"10"	"5"	"7"	"17"	"10"	"64"	"6"	"5"	"8"	"606"	"0"	"606"	"0"	""
"229"	"198"	"193"	""	"36"	"1"	"140"	"65"	"149"	"6"	"2"	"8"	"2"	"4"	"10"	"6"	"4"	"8"	"441"	"0"	"441"	"0"	""
"230"	"199"	"194"	""	"54"	"2"	"153"	"32"	"106"	"8"	"2"	"5"	"5"	"4"	"12"	"10"	"1"	"9"	"403"	"0"	"403"	"0"	""
"231"	"200"	"195"	""	"46"	"4"	"144"	"161"	"218"	"12"	"7"	"4"	"15"	"8"	"39"	"10"	"12"	"9"	"689"	"0"	"689"	"0"	""
"232"	"201"	"196"	""	"9"	"1"	"15"	"237"	"269"	"12"	"1"	"16"	"10"	"13"	"81"	"6"	"9"	"22"	"701"	"0"	"701"	"0"	""
"233"	"202"	"197"	""	"0"	"1"	"10"	"43"	"91"	"13"	"6"	"15"	"25"	"8"	"100"	"3"	"3"	"14"	"332"	"0"	"332"	"0"	""
"234"	"203"	"198"	""	"62"	"5"	"23"	"55"	"62"	"9"	"6"	"9"	"23"	"9"	"255"	"9"	"21"	"10"	"558"	"0"	"558"	"0"	""
"235"	"204"	"199"	""	"8"	"3"	"4"	"94"	"32"	"6"	"6"	"128"	"19"	"7"	"77"	"3"	"7"	"14"	"408"	"0"	"408"	"0"	""
"236"	"205"	"200"	""	"4"	"1"	"10"	"46"	"17"	"3"	"3"	"77"	"29"	"6"	"124"	"8"	"10"	"7"	"345"	"0"	"345"	"0"	""
"237"	"206"	"201"	""	"16"	"2"	"10"	"58"	"115"	"12"	"6"	"13"	"37"	"13"	"262"	"14"	"7"	"24"	"589"	"0"	"589"	"0"	""
"238"	"207"	"202"	""	"127"	"7"	"4"	"239"	"40"	"6"	"1"	"1"	"0"	"4"	"4"	"4"	"2"	"1"	"440"	"0"	"440"	"0"	""
"239"	"208"	"203"	""	"25"	"2"	"9"	"67"	"199"	"14"	"4"	"19"	"3"	"9"	"19"	"4"	"12"	"43"	"429"	"0"	"429"	"0"	""
"240"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"241"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"242"	"209"	"204"	""	"90"	"4"	"52"	"53"	"91"	"5"	"2"	"1"	"10"	"0"	"66"	"7"	"1"	"18"	"400"	"0"	"400"	"0"	""
"243"	"210"	"205"	""	"72"	"4"	"152"	"81"	"227"	"16"	"3"	"16"	"11"	"7"	"71"	"20"	"15"	"9"	"704"	"0"	"704"	"0"	""
"244"	"211"	"206"	""	"309"	"3"	"6"	"3"	"4"	"0"	"41"	"0"	"0"	"1"	"0"	"0"	"3"	"11"	"381"	"0"	"381"	"0"	""
"245"	"212"	"207"	""	"347"	"16"	"12"	"13"	"17"	"3"	"26"	"1"	"4"	"0"	"5"	"14"	"3"	"16"	"477"	"0"	"477"	"0"	""
"246"	"213"	"208"	""	"383"	"11"	"15"	"31"	"13"	"3"	"3"	"1"	"11"	"5"	"47"	"4"	"3"	"11"	"541"	"0"	"541"	"0"	""
"247"	"214"	"209"	""	"31"	"5"	"80"	"48"	"257"	"11"	"7"	"9"	"21"	"10"	"99"	"6"	"1"	"10"	"595"	"0"	"595"	"0"	""
"248"	"215"	"210"	""	"0"	"2"	"34"	"19"	"183"	"16"	"2"	"1"	"16"	"3"	"74"	"1"	"1"	"4"	"356"	"0"	"356"	"0"	""
"249"	"216"	"211"	""	"9"	"3"	"6"	"37"	"89"	"4"	"3"	"1"	"15"	"3"	"76"	"3"	"0"	"5"	"254"	"0"	"254"	"0"	""
"250"	"217"	"212"	""	"176"	"7"	"35"	"103"	"236"	"22"	"4"	"7"	"4"	"8"	"8"	"5"	"4"	"16"	"635"	"0"	"635"	"0"	""
"251"	"218"	"213"	""	"22"	"2"	"28"	"87"	"218"	"7"	"1"	"2"	"3"	"2"	"7"	"1"	"2"	"12"	"394"	"0"	"394"	"0"	""
"252"	"219"	"214"	""	"36"	"1"	"8"	"103"	"283"	"12"	"3"	"6"	"2"	"11"	"12"	"3"	"4"	"12"	"496"	"0"	"496"	"0"	""
"253"	"220"	"215"	""	"33"	"4"	"27"	"152"	"235"	"14"	"6"	"6"	"6"	"11"	"10"	"3"	"3"	"17"	"527"	"0"	"527"	"0"	""
"254"	"221"	"216"	""	"25"	"7"	"150"	"73"	"327"	"27"	"9"	"18"	"11"	"9"	"48"	"13"	"8"	"3"	"728"	"0"	"728"	"0"	""
"255"	"222"	"217"	""	"16"	"2"	"34"	"193"	"312"	"8"	"2"	"23"	"6"	"12"	"10"	"7"	"7"	"11"	"643"	"0"	"643"	"0"	""
"256"	"223"	"218"	""	"62"	"5"	"4"	"200"	"96"	"2"	"4"	"1"	"6"	"13"	"5"	"2"	"4"	"6"	"410"	"0"	"410"	"0"	""
"257"	"224"	"218"	"A"	"39"	"1"	"2"	"86"	"168"	"16"	"3"	"5"	"3"	"8"	"8"	"5"	"5"	"9"	"358"	"0"	"358"	"0"	""
"258"	"225"	"219"	""	"100"	"2"	"1"	"161"	"85"	"2"	"2"	"1"	"4"	"7"	"3"	"0"	"5"	"6"	"379"	"0"	"379"	"0"	""
"259"	"226"	"220"	""	"21"	"2"	"4"	"167"	"297"	"10"	"1"	"3"	"3"	"4"	"4"	"2"	"2"	"3"	"523"	"0"	"523"	"0"	""
"260"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"261"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"262"	"227"	"221"	""	"27"	"6"	"20"	"175"	"224"	"18"	"6"	"5"	"4"	"14"	"9"	"4"	"7"	"12"	"531"	"0"	"531"	"0"	""
"263"	"228"	"222"	""	"38"	"9"	"8"	"93"	"496"	"33"	"7"	"9"	"12"	"14"	"10"	"7"	"8"	"13"	"757"	"0"	"757"	"0"	""
"264"	"229"	"223"	""	"174"	"8"	"4"	"170"	"228"	"25"	"11"	"2"	"7"	"10"	"11"	"14"	"11"	"16"	"691"	"0"	"691"	"0"	""
"265"	"230"	"224"	""	"15"	"4"	"10"	"124"	"317"	"23"	"8"	"7"	"5"	"12"	"7"	"4"	"7"	"19"	"562"	"0"	"562"	"0"	""
"266"	"Total No. of votes recorded at Polling Stations"	""	""	"20388"	"916"	"5101"	"28699"	"32976"	"2182"	"760"	"1100"	"2313"	"1684"	"13528"	"1871"	"1215"	"2654"	"115387"	"0"	"115387"	"0"	""
"267"	"No. of votes recorded on postal ballot papers"	""	""	""	""	""	"70"	"11"	""	""	""	""	""	"7"	""	""	""	"88"	"7"	"95"	"0"	""
"268"	"Total votes polled"	""	""	"20388"	"916"	"5101"	"28769"	"32987"	"2182"	"760"	"1100"	"2313"	"1684"	"13535"	"1871"	"1215"	"2654"	"115475"	"7"	"115482"	"0"	""
"269"	"Place - Sitamarhi                                                                                                                                                                                                                                                                                                             Returining Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"Date - 24-11-2010                                                                                                                                                                                                                                                                                                         25-Parihar Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"Cum DDC, Sitamarhi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
