"Serial.No..of.Polling.Station"	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"TOTAL.NO..OF.VALID.VOTES"	"X..16"	"NO..OF.RAJECTED.VOTES"	"TOTAL"
"136"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"137"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"138"	"106"	"49"	"102"	"77"	"3"	"314"	"6"	"2"	"8"	"7"	"153"	"3"	"11"	"15"	"40"	"5"	"13"	"3"	"811"	""	"0"	"811"
"139"	"107"	"43"	"171"	"7"	"6"	"215"	"7"	"12"	"2"	"6"	"57"	"2"	"7"	"2"	"191"	"10"	"8"	"21"	"767"	""	"0"	"767"
"140"	"108"	"75"	"75"	"48"	"9"	"130"	"4"	"6"	"2"	"6"	"75"	"2"	"5"	"5"	"188"	"4"	"4"	"4"	"642"	""	"0"	"642"
"141"	"109"	"136"	"30"	"11"	"2"	"76"	"0"	"1"	"3"	"1"	"370"	"6"	"1"	"0"	"14"	"2"	"1"	"5"	"659"	""	"0"	"659"
"142"	"110"	"58"	"27"	"140"	"2"	"68"	"2"	"5"	"2"	"2"	"449"	"7"	"2"	"3"	"4"	"0"	"3"	"30"	"804"	""	"0"	"804"
"143"	"111"	"59"	"43"	"6"	"4"	"148"	"2"	"0"	"11"	"1"	"78"	"0"	"3"	"4"	"181"	"2"	"0"	"1"	"543"	""	"0"	"543"
"144"	"TOTAL"	"16773"	"4064"	"10260"	"364"	"10525"	"308"	"2901"	"596"	"352"	"13507"	"390"	"545"	"410"	"2189"	"655"	"1219"	"635"	"65693"	""	"0"	"65693"
"145"	"BF"	"16773"	"4064"	"10260"	"364"	"10525"	"308"	"2901"	"596"	"352"	"13507"	"390"	"545"	"410"	"2189"	"655"	"1219"	"635"	"65693"	""	"0"	"65693"
"146"	"112"	"50"	"81"	"95"	"6"	"134"	"5"	"9"	"5"	"5"	"149"	"13"	"10"	"8"	"164"	"9"	"30"	"1"	"774"	""	"0"	"774"
"147"	"113"	"9"	"1"	"56"	"11"	"5"	"14"	"244"	"10"	"0"	"6"	"0"	"146"	"1"	"92"	"61"	"99"	"3"	"758"	""	"0"	"758"
"148"	"114"	"62"	"118"	"34"	"7"	"97"	"2"	"7"	"2"	"0"	"209"	"7"	"7"	"54"	"107"	"5"	"5"	"1"	"724"	""	"0"	"724"
"149"	"115"	"102"	"266"	"53"	"1"	"82"	"12"	"33"	"5"	"5"	"124"	"5"	"4"	"4"	"11"	"6"	"8"	"5"	"726"	""	"0"	"726"
"150"	"116"	"142"	"101"	"9"	"3"	"124"	"6"	"8"	"21"	"10"	"225"	"7"	"14"	"46"	"37"	"27"	"31"	"5"	"816"	""	"0"	"816"
"151"	"117"	"138"	"8"	"6"	"0"	"64"	"0"	"4"	"1"	"13"	"48"	"1"	"3"	"8"	"28"	"3"	"4"	"5"	"334"	""	"0"	"334"
"152"	"118"	"220"	"27"	"48"	"2"	"137"	"3"	"27"	"3"	"6"	"45"	"6"	"10"	"8"	"19"	"1"	"15"	"7"	"584"	""	"0"	"584"
"153"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"154"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"155"	"119"	"135"	"335"	"63"	"5"	"41"	"1"	"1"	"1"	"0"	"70"	"4"	"4"	"2"	"52"	"7"	"6"	"38"	"765"	""	"0"	"765"
"156"	"120"	"96"	"95"	"5"	"1"	"208"	"1"	"9"	"0"	"0"	"20"	"1"	"3"	"0"	"2"	"2"	"1"	"4"	"448"	""	"0"	"448"
"157"	"121"	"79"	"161"	"3"	"1"	"92"	"1"	"1"	"0"	"1"	"47"	"3"	"3"	"1"	"30"	"5"	"3"	"5"	"436"	""	"0"	"436"
"158"	"122"	"75"	"22"	"25"	"1"	"71"	"0"	"14"	"5"	"10"	"405"	"11"	"5"	"3"	"23"	"3"	"11"	"30"	"714"	""	"0"	"714"
"159"	"123"	"66"	"124"	"92"	"4"	"54"	"2"	"71"	"4"	"6"	"29"	"3"	"2"	"4"	"9"	"3"	"6"	"9"	"488"	""	"0"	"488"
"160"	"124"	"92"	"140"	"69"	"6"	"50"	"2"	"19"	"4"	"6"	"67"	"5"	"2"	"16"	"8"	"5"	"4"	"1"	"496"	""	"0"	"496"
"161"	"125"	"87"	"78"	"26"	"2"	"113"	"8"	"9"	"20"	"3"	"117"	"6"	"3"	"57"	"9"	"5"	"5"	"8"	"556"	""	"0"	"556"
"162"	"TOTAL"	"18126"	"5621"	"10844"	"414"	"11797"	"365"	"3357"	"677"	"417"	"15068"	"462"	"761"	"622"	"2780"	"797"	"1447"	"757"	"74312"	""	"0"	"74312"
"163"	"BF"	"18126"	"5621"	"10844"	"414"	"11797"	"365"	"3357"	"677"	"417"	"15068"	"462"	"761"	"622"	"2780"	"797"	"1447"	"757"	"74312"	""	"0"	"74312"
"164"	"126"	"25"	"91"	"13"	"2"	"69"	"3"	"4"	"15"	"6"	"57"	"0"	"1"	"1"	"4"	"2"	"1"	"3"	"297"	""	"0"	"297"
"165"	"127"	"259"	"57"	"91"	"2"	"90"	"3"	"16"	"5"	"4"	"184"	"7"	"7"	"24"	"50"	"11"	"8"	"15"	"833"	""	"0"	"833"
"166"	"128"	"93"	"127"	"70"	"8"	"147"	"3"	"3"	"8"	"3"	"155"	"3"	"2"	"3"	"61"	"2"	"23"	"13"	"724"	""	"0"	"724"
"167"	"129"	"174"	"24"	"64"	"8"	"42"	"2"	"9"	"2"	"5"	"137"	"1"	"6"	"1"	"30"	"1"	"5"	"3"	"514"	""	"0"	"514"
"168"	"130"	"155"	"15"	"135"	"2"	"74"	"3"	"13"	"11"	"22"	"166"	"6"	"2"	"1"	"10"	"10"	"9"	"14"	"648"	""	"0"	"648"
"169"	"131"	"213"	"55"	"2"	"3"	"100"	"2"	"60"	"15"	"7"	"24"	"5"	"7"	"2"	"39"	"18"	"4"	"24"	"580"	""	"0"	"580"
"170"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"171"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"172"	"132"	"128"	"64"	"74"	"3"	"26"	"0"	"36"	"1"	"1"	"21"	"0"	"4"	"1"	"31"	"1"	"5"	"5"	"401"	""	"0"	"401"
"173"	"133"	"91"	"4"	"7"	"0"	"19"	"3"	"64"	"0"	"3"	"37"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"233"	""	"0"	"233"
"174"	"134"	"82"	"22"	"25"	"2"	"48"	"1"	"43"	"4"	"3"	"150"	"3"	"7"	"9"	"16"	"18"	"6"	"0"	"439"	""	"0"	"439"
"175"	"135"	"43"	"34"	"92"	"1"	"40"	"2"	"2"	"0"	"6"	"55"	"1"	"0"	"0"	"11"	"0"	"0"	"0"	"287"	""	"0"	"287"
"176"	"136"	"127"	"20"	"1"	"0"	"76"	"2"	"35"	"0"	"6"	"17"	"0"	"4"	"0"	"5"	"0"	"6"	"12"	"311"	""	"0"	"311"
"177"	"137"	"32"	"53"	"10"	"3"	"76"	"0"	"5"	"0"	"3"	"67"	"2"	"2"	"2"	"3"	"0"	"4"	"0"	"262"	""	"0"	"262"
"178"	"138"	"137"	"130"	"8"	"1"	"69"	"2"	"4"	"2"	"5"	"302"	"0"	"4"	"4"	"5"	"11"	"11"	"5"	"700"	""	"0"	"700"
"179"	"139"	"59"	"8"	"221"	"1"	"30"	"3"	"1"	"1"	"1"	"80"	"4"	"2"	"3"	"146"	"9"	"13"	"1"	"583"	""	"0"	"583"
"180"	"TOTAL"	"19744"	"6325"	"11657"	"450"	"12703"	"394"	"3652"	"741"	"492"	"16520"	"496"	"810"	"673"	"3191"	"880"	"1544"	"852"	"81124"	""	"0"	"81124"
"181"	"BF"	"19744"	"6325"	"11657"	"450"	"12703"	"394"	"3652"	"741"	"492"	"16520"	"496"	"810"	"673"	"3191"	"880"	"1544"	"852"	"81124"	""	"0"	"81124"
"182"	"140"	"322"	"36"	"61"	"6"	"156"	"4"	"106"	"5"	"8"	"58"	"4"	"11"	"2"	"12"	"6"	"14"	"8"	"819"	""	"0"	"819"
"183"	"141"	"51"	"72"	"202"	"5"	"97"	"2"	"17"	"2"	"1"	"9"	"2"	"3"	"6"	"21"	"2"	"13"	"3"	"508"	""	"0"	"508"
"184"	"142"	"20"	"34"	"2"	"2"	"86"	"1"	"2"	"0"	"2"	"91"	"0"	"1"	"1"	"3"	"1"	"0"	"2"	"248"	""	"0"	"248"
"185"	"143"	"18"	"21"	"16"	"2"	"46"	"1"	"1"	"1"	"13"	"73"	"1"	"0"	"0"	"13"	"0"	"1"	"0"	"207"	""	"0"	"207"
"186"	"144"	"50"	"45"	"157"	"3"	"168"	"7"	"11"	"4"	"2"	"245"	"4"	"8"	"4"	"22"	"0"	"7"	"12"	"749"	""	"0"	"749"
"187"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"188"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"189"	"145"	"100"	"305"	"115"	"3"	"41"	"2"	"1"	"5"	"2"	"54"	"1"	"2"	"0"	"7"	"2"	"2"	"4"	"646"	""	"0"	"646"
"190"	"146"	"33"	"27"	"60"	"4"	"83"	"1"	"7"	"31"	"7"	"365"	"13"	"4"	"6"	"9"	"8"	"11"	"42"	"711"	""	"0"	"711"
"191"	"147"	"14"	"36"	"52"	"2"	"41"	"0"	"1"	"3"	"1"	"112"	"2"	"0"	"0"	"4"	"1"	"1"	"9"	"279"	""	"0"	"279"
"192"	"148"	"123"	"21"	"109"	"0"	"83"	"1"	"3"	"2"	"2"	"154"	"3"	"4"	"4"	"7"	"1"	"1"	"2"	"520"	""	"0"	"520"
"193"	"149"	"127"	"48"	"87"	"6"	"54"	"3"	"2"	"1"	"8"	"254"	"5"	"6"	"2"	"18"	"4"	"12"	"8"	"645"	""	"0"	"645"
"194"	"150"	"174"	"118"	"71"	"3"	"61"	"2"	"6"	"12"	"12"	"249"	"3"	"12"	"19"	"65"	"9"	"17"	"25"	"858"	""	"0"	"858"
"195"	"151"	"184"	"22"	"90"	"8"	"11"	"0"	"2"	"1"	"1"	"94"	"4"	"3"	"2"	"15"	"7"	"4"	"9"	"457"	""	"0"	"457"
"196"	"152"	"72"	"34"	"112"	"6"	"33"	"0"	"3"	"1"	"4"	"147"	"1"	"3"	"3"	"10"	"2"	"3"	"1"	"435"	""	"0"	"435"
"197"	"153"	"46"	"7"	"88"	"6"	"200"	"7"	"3"	"6"	"6"	"117"	"6"	"5"	"5"	"29"	"4"	"15"	"10"	"560"	""	"0"	"560"
"198"	"TOTAL"	"21078"	"7151"	"12879"	"506"	"13863"	"425"	"3817"	"815"	"561"	"18542"	"545"	"872"	"727"	"3426"	"927"	"1645"	"987"	"88766"	""	"0"	"88766"
"199"	"BF"	"21078"	"7151"	"12879"	"506"	"13863"	"425"	"3817"	"815"	"561"	"18542"	"545"	"872"	"727"	"3426"	"927"	"1645"	"987"	"88766"	""	"0"	"88766"
"200"	"154"	"73"	"40"	"9"	"9"	"81"	"0"	"0"	"2"	"1"	"46"	"4"	"3"	"2"	"37"	"2"	"10"	"5"	"324"	""	"0"	"324"
"201"	"155"	"218"	"38"	"99"	"3"	"50"	"0"	"6"	"1"	"6"	"190"	"3"	"10"	"4"	"10"	"0"	"18"	"4"	"660"	""	"0"	"660"
"202"	"156"	"19"	"14"	"91"	"6"	"83"	"2"	"3"	"0"	"20"	"224"	"4"	"1"	"2"	"20"	"2"	"11"	"1"	"503"	""	"0"	"503"
"203"	"157"	"36"	"8"	"290"	"6"	"34"	"0"	"1"	"0"	"2"	"115"	"5"	"5"	"2"	"7"	"1"	"14"	"3"	"529"	""	"0"	"529"
"204"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"205"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"206"	"158"	"33"	"3"	"32"	"0"	"35"	"1"	"0"	"2"	"6"	"254"	"1"	"2"	"0"	"6"	"1"	"5"	"4"	"385"	""	"0"	"385"
"207"	"159"	"87"	"1"	"6"	"1"	"4"	"1"	"3"	"2"	"6"	"331"	"5"	"3"	"0"	"2"	"4"	"11"	"7"	"474"	""	"0"	"474"
"208"	"160"	"51"	"28"	"20"	"0"	"14"	"0"	"0"	"0"	"0"	"241"	"1"	"2"	"0"	"0"	"0"	"4"	"3"	"364"	""	"0"	"364"
"209"	"161"	"105"	"28"	"3"	"4"	"72"	"8"	"6"	"2"	"5"	"151"	"4"	"4"	"1"	"39"	"3"	"3"	"8"	"446"	""	"0"	"446"
"210"	"162"	"82"	"24"	"177"	"1"	"38"	"6"	"4"	"5"	"0"	"135"	"2"	"6"	"0"	"5"	"1"	"4"	"2"	"492"	""	"0"	"492"
"211"	"163"	"193"	"65"	"48"	"2"	"25"	"4"	"32"	"5"	"4"	"138"	"6"	"6"	"12"	"6"	"7"	"17"	"12"	"582"	""	"0"	"582"
"212"	"164"	"330"	"6"	"5"	"1"	"3"	"0"	"10"	"1"	"3"	"72"	"5"	"3"	"5"	"4"	"4"	"17"	"18"	"487"	""	"0"	"487"
"213"	"165"	"140"	"20"	"189"	"7"	"31"	"3"	"5"	"4"	"4"	"214"	"5"	"6"	"4"	"11"	"4"	"17"	"12"	"676"	""	"0"	"676"
"214"	"166"	"171"	"25"	"58"	"4"	"135"	"8"	"2"	"1"	"3"	"224"	"5"	"6"	"38"	"3"	"5"	"9"	"19"	"716"	""	"0"	"716"
"215"	"167"	"71"	"39"	"32"	"1"	"38"	"2"	"4"	"4"	"5"	"397"	"4"	"13"	"45"	"19"	"1"	"6"	"16"	"697"	""	"0"	"697"
"216"	"TOTAL"	"22687"	"7490"	"13938"	"551"	"14506"	"460"	"3893"	"844"	"626"	"21274"	"599"	"942"	"842"	"3595"	"962"	"1791"	"1101"	"96101"	""	"0"	"96101"
"217"	"BF"	"22687"	"7490"	"13938"	"551"	"14506"	"460"	"3893"	"844"	"626"	"21274"	"599"	"942"	"842"	"3595"	"962"	"1791"	"1101"	"96101"	""	"0"	"96101"
"218"	"168"	"45"	"33"	"16"	"0"	"57"	"1"	"7"	"6"	"3"	"219"	"3"	"5"	"3"	"1"	"5"	"4"	"10"	"418"	""	"0"	"418"
"219"	"169"	"183"	"14"	"48"	"0"	"15"	"2"	"8"	"1"	"4"	"238"	"6"	"3"	"1"	"5"	"1"	"2"	"2"	"533"	""	"0"	"533"
"220"	"170"	"124"	"21"	"32"	"17"	"92"	"2"	"11"	"3"	"11"	"322"	"6"	"7"	"9"	"6"	"1"	"13"	"11"	"688"	""	"0"	"688"
"221"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"222"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"223"	"171"	"170"	"38"	"124"	"6"	"26"	"4"	"2"	"1"	"2"	"67"	"3"	"1"	"4"	"0"	"3"	"6"	"3"	"460"	""	"0"	"460"
"224"	"172"	"131"	"90"	"11"	"4"	"123"	"0"	"3"	"3"	"2"	"279"	"7"	"3"	"1"	"3"	"4"	"5"	"21"	"690"	""	"0"	"690"
"225"	"173"	"14"	"12"	"2"	"1"	"48"	"4"	"1"	"2"	"1"	"205"	"3"	"0"	"0"	"0"	"3"	"4"	"3"	"303"	""	"0"	"303"
"226"	"174"	"73"	"74"	"108"	"5"	"42"	"3"	"2"	"5"	"4"	"265"	"3"	"1"	"3"	"12"	"10"	"11"	"15"	"636"	""	"0"	"636"
"227"	"175"	"70"	"16"	"83"	"3"	"38"	"2"	"2"	"2"	"7"	"251"	"8"	"7"	"17"	"3"	"5"	"7"	"9"	"530"	""	"0"	"530"
"228"	"175 A"	"29"	"7"	"40"	"2"	"59"	"0"	"1"	"3"	"3"	"201"	"2"	"1"	"3"	"7"	"2"	"1"	"14"	"375"	""	"0"	"375"
"229"	"176"	"203"	"18"	"5"	"22"	"29"	"0"	"2"	"1"	"4"	"269"	"1"	"4"	"1"	"4"	"0"	"4"	"3"	"570"	""	"0"	"570"
"230"	"177"	"83"	"14"	"3"	"1"	"4"	"0"	"0"	"1"	"5"	"211"	"7"	"0"	"0"	"2"	"3"	"10"	"6"	"350"	""	"0"	"350"
"231"	"178"	"171"	"28"	"80"	"4"	"37"	"1"	"5"	"0"	"1"	"348"	"8"	"10"	"1"	"4"	"4"	"16"	"11"	"729"	""	"0"	"729"
"232"	"179"	"246"	"28"	"46"	"2"	"130"	"4"	"1"	"3"	"3"	"288"	"4"	"5"	"4"	"0"	"2"	"8"	"5"	"779"	""	"0"	"779"
"233"	"180"	"147"	"26"	"95"	"2"	"128"	"2"	"8"	"6"	"6"	"287"	"3"	"1"	"1"	"5"	"60"	"4"	"5"	"786"	""	"0"	"786"
"234"	"TOTAL"	"24376"	"7909"	"14631"	"620"	"15334"	"485"	"3946"	"881"	"682"	"24724"	"663"	"990"	"890"	"3647"	"1065"	"1886"	"1219"	"103948"	""	"0"	"103948"
"235"	"BF"	"24376"	"7909"	"14631"	"620"	"15334"	"485"	"3946"	"881"	"682"	"24724"	"663"	"990"	"890"	"3647"	"1065"	"1886"	"1219"	"103948"	""	"0"	"103948"
"236"	"181"	"128"	"22"	"108"	"2"	"170"	"3"	"53"	"8"	"1"	"51"	"5"	"5"	"4"	"6"	"2"	"7"	"0"	"575"	""	"0"	"575"
"237"	"182"	"49"	"30"	"65"	"3"	"18"	"1"	"0"	"31"	"1"	"21"	"1"	"1"	"1"	"8"	"1"	"3"	"2"	"236"	""	"0"	"236"
"238"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"239"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"240"	"183"	"176"	"92"	"80"	"5"	"48"	"0"	"5"	"29"	"4"	"101"	"4"	"1"	"2"	"8"	"4"	"5"	"1"	"565"	""	"0"	"565"
"241"	"184"	"99"	"55"	"76"	"94"	"53"	"1"	"1"	"12"	"8"	"150"	"6"	"8"	"8"	"24"	"7"	"20"	"5"	"627"	""	"0"	"627"
"242"	"185"	"59"	"51"	"122"	"1"	"85"	"0"	"1"	"0"	"0"	"9"	"1"	"0"	"0"	"3"	"0"	"6"	"1"	"339"	""	"0"	"339"
"243"	"186"	"395"	"6"	"167"	"8"	"5"	"0"	"2"	"0"	"2"	"28"	"3"	"1"	"3"	"5"	"2"	"7"	"9"	"643"	""	"0"	"643"
"244"	"187"	"22"	"28"	"131"	"3"	"100"	"4"	"4"	"25"	"8"	"267"	"4"	"1"	"2"	"6"	"3"	"4"	"1"	"613"	""	"0"	"613"
"245"	"188"	"50"	"23"	"19"	"0"	"74"	"4"	"2"	"0"	"1"	"139"	"5"	"2"	"0"	"12"	"0"	"0"	"4"	"335"	""	"0"	"335"
"246"	"189"	"158"	"31"	"48"	"2"	"56"	"3"	"2"	"2"	"1"	"119"	"2"	"1"	"23"	"4"	"1"	"4"	"2"	"459"	""	"0"	"459"
"247"	"190"	"177"	"50"	"48"	"3"	"71"	"4"	"2"	"1"	"6"	"24"	"0"	"7"	"53"	"5"	"3"	"6"	"8"	"468"	""	"0"	"468"
"248"	"191"	"135"	"19"	"24"	"0"	"108"	"1"	"2"	"2"	"3"	"46"	"4"	"4"	"2"	"8"	"52"	"5"	"11"	"426"	""	"0"	"426"
"249"	"192"	"186"	"25"	"133"	"3"	"136"	"1"	"0"	"1"	"1"	"93"	"1"	"6"	"0"	"28"	"4"	"8"	"12"	"638"	""	"0"	"638"
"250"	"193"	"316"	"82"	"78"	"4"	"106"	"3"	"1"	"3"	"2"	"120"	"2"	"2"	"5"	"7"	"2"	"6"	"7"	"746"	""	"0"	"746"
"251"	"194"	"66"	"8"	"43"	"1"	"17"	"0"	"6"	"1"	"0"	"21"	"2"	"2"	"12"	"1"	"0"	"3"	"1"	"184"	""	"0"	"184"
"252"	"TOTAL"	"26392"	"8431"	"15773"	"749"	"16381"	"510"	"4027"	"996"	"720"	"25913"	"703"	"1031"	"1005"	"3772"	"1146"	"1970"	"1283"	"110802"	""	"0"	"110802"
"253"	"BF"	"26392"	"8431"	"15773"	"749"	"16381"	"510"	"4027"	"996"	"720"	"25913"	"703"	"1031"	"1005"	"3772"	"1146"	"1970"	"1283"	"110802"	""	"0"	"110802"
"254"	"195"	"242"	"64"	"122"	"2"	"17"	"1"	"5"	"3"	"3"	"47"	"2"	"1"	"0"	"2"	"2"	"2"	"12"	"527"	""	"0"	"527"
"255"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"256"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"257"	"196"	"228"	"20"	"24"	"2"	"116"	"3"	"37"	"0"	"1"	"13"	"0"	"1"	"0"	"3"	"0"	"3"	"3"	"454"	""	"0"	"454"
"258"	"197"	"78"	"40"	"101"	"2"	"84"	"2"	"2"	"1"	"1"	"284"	"3"	"1"	"1"	"6"	"0"	"5"	"0"	"611"	""	"0"	"611"
"259"	"198"	"222"	"12"	"132"	"2"	"32"	"3"	"6"	"2"	"4"	"200"	"6"	"4"	"4"	"3"	"5"	"6"	"6"	"649"	""	"0"	"649"
"260"	"199"	"39"	"8"	"97"	"6"	"19"	"0"	"3"	"3"	"0"	"43"	"2"	"0"	"4"	"1"	"1"	"10"	"3"	"239"	""	"0"	"239"
"261"	"200"	"151"	"23"	"117"	"6"	"183"	"11"	"4"	"4"	"4"	"129"	"9"	"15"	"41"	"2"	"2"	"6"	"10"	"717"	""	"0"	"717"
"262"	"201"	"180"	"33"	"2"	"13"	"175"	"1"	"7"	"2"	"3"	"107"	"0"	"2"	"1"	"2"	"0"	"1"	"6"	"535"	""	"0"	"535"
"263"	"202"	"150"	"71"	"7"	"11"	"192"	"8"	"97"	"5"	"13"	"155"	"14"	"5"	"2"	"8"	"9"	"4"	"8"	"759"	""	"0"	"759"
"264"	"203"	"206"	"9"	"10"	"34"	"95"	"1"	"11"	"4"	"1"	"44"	"2"	"4"	"1"	"2"	"1"	"8"	"2"	"435"	""	"0"	"435"
"265"	"204"	"44"	"12"	"320"	"10"	"92"	"1"	"2"	"1"	"1"	"28"	"4"	"7"	"3"	"11"	"1"	"9"	"8"	"554"	""	"0"	"554"
"266"	"205"	"288"	"117"	"10"	"1"	"50"	"1"	"35"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"1"	"2"	"7"	"516"	""	"0"	"516"
"267"	"206"	"171"	"13"	"20"	"1"	"15"	"1"	"60"	"3"	"1"	"6"	"0"	"1"	"1"	"3"	"1"	"5"	"18"	"320"	""	"0"	"320"
"268"	"207"	"183"	"48"	"29"	"65"	"78"	"3"	"4"	"1"	"2"	"49"	"7"	"3"	"5"	"11"	"1"	"8"	"1"	"498"	""	"0"	"498"
"269"	"208"	"190"	"26"	"2"	"13"	"63"	"2"	"2"	"4"	"3"	"196"	"4"	"2"	"1"	"17"	"4"	"17"	"6"	"552"	""	"0"	"552"
"270"	"TOTAL"	"28764"	"8927"	"16766"	"917"	"17592"	"548"	"4302"	"1029"	"757"	"27216"	"756"	"1078"	"1070"	"3843"	"1174"	"2056"	"1373"	"118168"	""	"0"	"118168"
"271"	"BF"	"28764"	"8927"	"16766"	"917"	"17592"	"548"	"4302"	"1029"	"757"	"27216"	"756"	"1078"	"1070"	"3843"	"1174"	"2056"	"1373"	"118168"	""	"0"	"118168"
