"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total..Valid.Votes"
"252"	"237"	"5"	"116"	"31"	"8"	"4"	"1"	"0"	"0"	"2"	"5"	"172"
"253"	"238"	"17"	"26"	"153"	"105"	"11"	"4"	"7"	"9"	"12"	"25"	"369"
"254"	"239"	"77"	"119"	"210"	"53"	"10"	"4"	"9"	"6"	"3"	"8"	"499"
"255"	"240"	"4"	"103"	"141"	"32"	"11"	"3"	"4"	"7"	"5"	"14"	"324"
"256"	"241"	"20"	"46"	"182"	"95"	"15"	"2"	"13"	"18"	"7"	"17"	"415"
"257"	"242"	"4"	"43"	"17"	"32"	"5"	"1"	"2"	"3"	"5"	"6"	"118"
"258"	"243"	"13"	"194"	"107"	"13"	"4"	"3"	"6"	"7"	"6"	"2"	"355"
"259"	"244"	"18"	"81"	"158"	"127"	"10"	"1"	"3"	"7"	"8"	"13"	"426"
"260"	"245"	"3"	"7"	"31"	"61"	"2"	"1"	"1"	"13"	"0"	"4"	"123"
"261"	"246"	"48"	"48"	"381"	"101"	"29"	"1"	"5"	"7"	"9"	"12"	"641"
"262"	"247"	"14"	"22"	"191"	"12"	"39"	"3"	"10"	"2"	"7"	"14"	"314"
"263"	"248"	"49"	"16"	"145"	"255"	"26"	"10"	"13"	"9"	"10"	"16"	"549"
"264"	"249"	"29"	"26"	"246"	"83"	"31"	"3"	"7"	"19"	"3"	"12"	"459"
"265"	"250"	"10"	"8"	"285"	"61"	"23"	"2"	"5"	"10"	"5"	"12"	"421"
"266"	"251"	"5"	"36"	"85"	"61"	"8"	"1"	"4"	"2"	"2"	"1"	"205"
"267"	"252"	"26"	"16"	"260"	"72"	"74"	"6"	"4"	"4"	"9"	"14"	"485"
"268"	"253"	"38"	"8"	"206"	"97"	"17"	"4"	"4"	"8"	"7"	"17"	"406"
"269"	"254"	"19"	"9"	"118"	"108"	"14"	"4"	"5"	"6"	"4"	"5"	"292"
"270"	"255"	"11"	"8"	"143"	"198"	"24"	"1"	"5"	"3"	"4"	"12"	"409"
"271"	"256"	"19"	"18"	"466"	"74"	"66"	"5"	"3"	"7"	"10"	"8"	"676"
"272"	"257"	"27"	"6"	"96"	"181"	"31"	"2"	"0"	"1"	"2"	"5"	"351"
"273"	"258"	"20"	"33"	"421"	"41"	"59"	"2"	"4"	"7"	"9"	"18"	"614"
"274"	"259"	"74"	"44"	"277"	"125"	"49"	"7"	"5"	"6"	"7"	"14"	"608"
"275"	"260"	"13"	"16"	"64"	"211"	"146"	"11"	"4"	"2"	"1"	"3"	"471"
"276"	"261"	"10"	"33"	"161"	"245"	"72"	"8"	"10"	"6"	"4"	"12"	"561"
"277"	"262"	"37"	"8"	"285"	"148"	"66"	"6"	"8"	"4"	"5"	"31"	"598"
"278"	"263"	"8"	"11"	"328"	"88"	"21"	"5"	"6"	"21"	"8"	"14"	"510"
"279"	"264"	"9"	"16"	"94"	"27"	"8"	"0"	"4"	"6"	"2"	"2"	"168"
"280"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"281"	""	"Alivendra Kumar"	"Rakesh Kumar Rousan"	"Rajib Ranjan"	"Virendra Gop"	"Vivek Sinha"	"Hemaun Kesar urf Ladun"	"Om Prakash Singh"	"Munna Ahmad"	"Prakash Chandra"	"Ranjeet Kumar"	""
"282"	"265"	"35"	"121"	"244"	"65"	"10"	"5"	"2"	"7"	"5"	"20"	"514"
"283"	"266"	"40"	"68"	"193"	"29"	"6"	"2"	"1"	"2"	"3"	"9"	"353"
"284"	"267"	"77"	"72"	"372"	"52"	"52"	"5"	"2"	"10"	"11"	"25"	"678"
"285"	"268"	"73"	"130"	"272"	"69"	"8"	"4"	"6"	"6"	"16"	"17"	"601"
"286"	"269"	"10"	"66"	"181"	"12"	"18"	"2"	"5"	"10"	"12"	"12"	"328"
"287"	"270"	"17"	"34"	"232"	"69"	"14"	"3"	"3"	"13"	"2"	"26"	"413"
"288"	"271"	"13"	"10"	"45"	"202"	"10"	"5"	"9"	"4"	"4"	"11"	"313"
"289"	"272"	"7"	"24"	"45"	"157"	"9"	"5"	"1"	"1"	"1"	"2"	"252"
"290"	"273"	"10"	"20"	"172"	"44"	"11"	"2"	"1"	"8"	"8"	"22"	"298"
"291"	"274"	"14"	"144"	"221"	"135"	"5"	"2"	"4"	"1"	"6"	"8"	"540"
"292"	"275"	"7"	"6"	"205"	"170"	"5"	"1"	"4"	"10"	"4"	"14"	"426"
"293"	"276"	"11"	"7"	"22"	"280"	"16"	"6"	"2"	"1"	"5"	"9"	"359"
"294"	"Total No. of Votes recorded at polling Stations"	"6021"	"8369"	"56331"	"32524"	"4581"	"706"	"1244"	"1249"	"1056"	"2326"	"114407"
"295"	"Nol of Votes recorded on postal ballot papers"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"296"	"Total Votes Polled :-"	"6021"	"8369"	"56332"	"32524"	"4581"	"706"	"1244"	"1249"	"1056"	"2326"	"114408"
