"Candidat.es..Name........"	"ANITA.RAM"	"X."	"KUSHESHWAR.DAS"	"X..1"	"RAMSEWAK.HAZARI"	"X..2"	"BISHWNATH.PASWAN"	"X..3"	"ANUP.LAL.DAS"	"X..4"	"ARVIND.KUMAR.RAM"	"X..5"	"KUSHESHWAR.MAHTO"	"X..6"	"SHATRUDHAN.KUMAR.PASWAN"	"X..7"	"SINGHESHWAR.RAM"	"X..8"	"SUNIL.PASWAN"	"X..9"	"KAILASH.PASWAN"	"X..10"	"Total.Valied.Votes"	"X..11"	"X..12"
"232"	"217"	74	""	2	""	187	""	8	""	1	""	3	""	1	""	1	""	2	""	1	""	3	""	283	""	""
"233"	"218"	56	""	53	""	93	""	163	""	24	""	6	""	1	""	5	""	4	""	6	""	17	""	428	""	""
"234"	"219"	47	""	6	""	239	""	121	""	16	""	22	""	1	""	7	""	5	""	5	""	15	""	484	""	""
"235"	"219A"	42	""	2	""	110	""	133	""	8	""	2	""	1	""	0	""	3	""	2	""	8	""	311	""	""
"236"	"220"	38	""	3	""	242	""	132	""	14	""	5	""	6	""	8	""	9	""	10	""	25	""	492	""	""
"237"	"221"	30	""	9	""	254	""	30	""	6	""	9	""	5	""	4	""	8	""	7	""	34	""	396	""	""
"238"	"222"	83	""	6	""	253	""	188	""	26	""	12	""	6	""	11	""	21	""	18	""	30	""	654	""	""
"239"	"223"	21	""	11	""	289	""	100	""	8	""	11	""	3	""	2	""	12	""	4	""	14	""	475	""	""
"240"	"224"	11	""	3	""	128	""	52	""	2	""	2	""	1	""	2	""	5	""	1	""	6	""	213	""	""
"241"	"225"	26	""	11	""	198	""	147	""	23	""	37	""	5	""	7	""	8	""	9	""	18	""	489	""	""
"242"	"225A"	7	""	1	""	60	""	74	""	8	""	19	""	1	""	2	""	0	""	0	""	8	""	180	""	""
"243"	"226"	50	""	8	""	22	""	256	""	34	""	31	""	8	""	13	""	3	""	9	""	22	""	456	""	""
"244"	"226A"	37	""	2	""	52	""	288	""	21	""	19	""	4	""	1	""	0	""	3	""	1	""	428	""	""
"245"	"227"	7	""	1	""	68	""	186	""	16	""	68	""	3	""	8	""	5	""	1	""	12	""	375	""	""
"246"	"228"	18	""	7	""	99	""	240	""	30	""	89	""	1	""	3	""	4	""	3	""	5	""	499	""	""
"247"	"229"	37	""	9	""	124	""	178	""	21	""	11	""	7	""	4	""	3	""	4	""	15	""	413	""	""
"248"	"230"	25	""	9	""	204	""	178	""	12	""	35	""	4	""	2	""	8	""	3	""	21	""	501	""	""
"249"	"231"	23	""	7	""	447	""	111	""	15	""	5	""	3	""	4	""	15	""	5	""	9	""	644	""	""
"250"	"232"	16	""	4	""	149	""	134	""	14	""	22	""	7	""	7	""	13	""	11	""	33	""	410	""	""
"251"	"233"	133	""	0	""	98	""	11	""	3	""	1	""	1	""	1	""	1	""	6	""	8	""	263	""	""
"252"	"234"	59	""	6	""	145	""	225	""	16	""	12	""	5	""	12	""	5	""	5	""	28	""	518	""	""
"253"	"235"	42	""	32	""	284	""	204	""	29	""	17	""	4	""	12	""	10	""	10	""	29	""	673	""	""
"254"	"Total:"	13343	""	1925	""	62114	""	31927	""	3818	""	3704	""	1150	""	1496	""	1699	""	2367	""	5407	""	128950	""	""
"255"	"Postal Ballot"	NA	"1"	NA	"0"	NA	"10"	NA	"0"	NA	"0"	NA	"0"	NA	"0"	NA	"0"	NA	"0"	NA	"0"	NA	"0"	NA	"11"	""
"256"	"Grand Tota"	NA	"13344"	NA	"1925"	NA	"62124    31927"	NA	""	NA	"3818"	NA	"3704"	NA	"1150"	NA	"1496"	NA	"1699"	NA	"2367"	NA	"5407"	NA	"128961"	""
"257"	"Place:"	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	""
"258"	"Date: 24/11/2010"	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	""
"259"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	NA	""	""
