"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X265858.184.266042.36.Madhubani"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"149"	"97"	"13"	"223"	"54"	"3"	"2"	"9"	"3"	"3"	"3"	"5"	"1"	"0"	"1"	"4"	"5"	"8"	"337"	""	"337"	""
"150"	"97A"	"22"	"270"	"57"	"3"	"1"	"5"	"5"	"0"	"0"	"1"	"0"	"5"	"0"	"1"	"8"	"8"	"386"	""	"386"	""
"151"	"98"	"59"	"365"	"100"	"5"	"4"	"9"	"3"	"6"	"4"	"13"	"5"	"4"	"0"	"2"	"11"	"6"	"596"	""	"596"	""
"152"	"99"	"4"	"199"	"19"	"2"	"2"	"0"	"2"	"2"	"5"	"4"	"1"	"3"	"1"	"3"	"6"	"7"	"260"	""	"260"	""
"153"	"100"	"85"	"49"	"188"	"16"	"5"	"7"	"7"	"5"	"5"	"7"	"5"	"8"	"5"	"14"	"15"	"13"	"434"	""	"434"	""
"154"	"101"	"13"	"72"	"183"	"9"	"1"	"6"	"2"	"6"	"0"	"1"	"0"	"3"	"4"	"2"	"3"	"1"	"306"	""	"306"	""
"155"	"102"	"143"	"90"	"341"	"12"	"0"	"4"	"3"	"1"	"13"	"3"	"2"	"5"	"10"	"8"	"11"	"23"	"669"	""	"669"	""
"156"	"103"	"13"	"22"	"2"	"0"	"3"	"1"	"1"	"2"	"1"	"4"	"10"	"193"	"1"	"4"	"6"	"7"	"270"	""	"270"	""
"157"	"104"	"43"	"190"	"11"	"6"	"2"	"1"	"1"	"1"	"2"	"7"	"1"	"28"	"1"	"5"	"17"	"1"	"317"	""	"317"	""
"158"	"Total -8"	"818"	"1899"	"1852"	"94"	"25"	"66"	"32"	"38"	"46"	"63"	"37"	"256"	"29"	"60"	"96"	"91"	"5502"	"0"	"5502"	"0"
"159"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"161"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"162"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"163"	"B.F."	"4233"	"15013"	"19244"	"1844"	"290"	"422"	"243"	"287"	"234"	"491"	"317"	"4732"	"559"	"339"	"674"	"600"	"49522"	"0"	"49522"	"0"
"164"	"105"	"7"	"423"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"15"	"2"	"454"	""	"454"	""
"165"	"106"	"43"	"286"	"71"	"14"	"1"	"7"	"1"	"2"	"2"	"4"	"3"	"2"	"1"	"3"	"12"	"6"	"458"	""	"458"	""
"166"	"107"	"11"	"202"	"31"	"0"	"0"	"2"	"2"	"1"	"0"	"3"	"0"	"3"	"0"	"4"	"10"	"7"	"276"	""	"276"	""
"167"	"108"	"19"	"483"	"26"	"3"	"3"	"5"	"2"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"5"	"0"	"550"	""	"550"	""
"168"	"109"	"19"	"24"	"200"	"86"	"3"	"2"	"6"	"7"	"1"	"10"	"4"	"6"	"4"	"5"	"6"	"9"	"392"	""	"392"	""
"169"	"110"	"19"	"119"	"294"	"9"	"3"	"6"	"5"	"2"	"0"	"5"	"1"	"4"	"6"	"5"	"7"	"3"	"488"	""	"488"	""
"170"	"111"	"14"	"29"	"148"	"10"	"0"	"4"	"0"	"2"	"1"	"4"	"1"	"5"	"1"	"2"	"3"	"4"	"228"	""	"228"	""
"171"	"112"	"23"	"487"	"65"	"18"	"6"	"10"	"2"	"1"	"1"	"9"	"1"	"1"	"1"	"3"	"13"	"6"	"647"	""	"647"	""
"172"	"113"	"16"	"244"	"164"	"20"	"0"	"4"	"2"	"3"	"6"	"4"	"2"	"2"	"3"	"4"	"5"	"14"	"493"	""	"493"	""
"173"	"114"	"8"	"549"	"11"	"2"	"0"	"0"	"6"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"2"	"583"	""	"583"	""
"174"	"115"	"28"	"167"	"248"	"7"	"1"	"3"	"0"	"4"	"5"	"0"	"1"	"2"	"0"	"3"	"2"	"2"	"473"	""	"473"	""
"175"	"116"	"34"	"170"	"199"	"9"	"4"	"9"	"8"	"2"	"3"	"8"	"3"	"6"	"2"	"5"	"8"	"9"	"479"	""	"479"	""
"176"	"116A"	"13"	"66"	"153"	"9"	"0"	"1"	"0"	"2"	"3"	"2"	"3"	"1"	"1"	"4"	"6"	"6"	"270"	""	"270"	""
"177"	"117"	"11"	"478"	"121"	"8"	"1"	"4"	"3"	"1"	"2"	"7"	"2"	"0"	"0"	"1"	"7"	"4"	"650"	""	"650"	""
"178"	"Total -9"	"265"	"3727"	"1733"	"196"	"22"	"57"	"37"	"30"	"24"	"59"	"24"	"34"	"21"	"39"	"99"	"74"	"6441"	"0"	"6441"	"0"
"179"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"183"	"B.F."	"4498"	"18740"	"20977"	"2040"	"312"	"479"	"280"	"317"	"258"	"550"	"341"	"4766"	"580"	"378"	"773"	"674"	"55963"	"0"	"55963"	"0"
"184"	"118"	"76"	"208"	"161"	"9"	"3"	"2"	"4"	"0"	"2"	"11"	"1"	"1"	"3"	"6"	"9"	"7"	"503"	""	"503"	""
"185"	"119"	"68"	"182"	"183"	"9"	"4"	"8"	"3"	"1"	"1"	"2"	"5"	"6"	"4"	"7"	"3"	"5"	"491"	""	"491"	""
"186"	"120"	"13"	"100"	"194"	"2"	"1"	"6"	"27"	"0"	"0"	"3"	"0"	"5"	"1"	"1"	"1"	"1"	"355"	""	"355"	""
"187"	"120A"	"11"	"216"	"13"	"1"	"0"	"3"	"3"	"0"	"0"	"5"	"0"	"1"	"0"	"0"	"11"	"1"	"265"	""	"265"	""
"188"	"121"	"31"	"187"	"258"	"37"	"4"	"12"	"7"	"9"	"9"	"19"	"5"	"4"	"9"	"8"	"17"	"35"	"651"	""	"651"	""
"189"	"122"	"31"	"186"	"253"	"19"	"1"	"13"	"8"	"5"	"4"	"11"	"1"	"1"	"1"	"3"	"5"	"3"	"545"	""	"545"	""
"190"	"123"	"10"	"108"	"132"	"32"	"5"	"6"	"1"	"3"	"2"	"4"	"4"	"4"	"2"	"4"	"7"	"13"	"337"	""	"337"	""
"191"	"124"	"53"	"408"	"10"	"3"	"1"	"5"	"2"	"0"	"2"	"2"	"0"	"1"	"2"	"1"	"10"	"4"	"504"	""	"504"	""
"192"	"125"	"52"	"127"	"112"	"6"	"4"	"8"	"2"	"2"	"4"	"3"	"9"	"126"	"4"	"2"	"3"	"4"	"468"	""	"468"	""
"193"	"126"	"59"	"145"	"259"	"11"	"0"	"5"	"6"	"1"	"2"	"7"	"2"	"12"	"2"	"0"	"5"	"6"	"522"	""	"522"	""
"194"	"127"	"27"	"118"	"184"	"8"	"2"	"4"	"2"	"2"	"0"	"2"	"1"	"2"	"1"	"2"	"4"	"2"	"361"	""	"361"	""
"195"	"128"	"64"	"153"	"204"	"11"	"5"	"7"	"10"	"2"	"3"	"12"	"3"	"4"	"3"	"3"	"11"	"12"	"507"	""	"507"	""
"196"	"129"	"38"	"278"	"280"	"7"	"3"	"12"	"5"	"0"	"0"	"13"	"1"	"2"	"1"	"3"	"9"	"1"	"653"	""	"653"	""
"197"	"130"	"23"	"97"	"92"	"7"	"1"	"3"	"1"	"1"	"0"	"5"	"2"	"0"	"1"	"0"	"1"	"1"	"235"	""	"235"	""
"198"	"Total -10"	"556"	"2513"	"2335"	"162"	"34"	"94"	"81"	"26"	"29"	"99"	"34"	"169"	"34"	"40"	"96"	"95"	"6397"	"0"	"6397"	"0"
"199"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"201"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"202"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"203"	"B.F."	"5054"	"21253"	"23312"	"2202"	"346"	"573"	"361"	"343"	"287"	"649"	"375"	"4935"	"614"	"418"	"869"	"769"	"62360"	"0"	"62360"	"0"
"204"	"131"	"19"	"332"	"89"	"14"	"4"	"12"	"2"	"0"	"3"	"5"	"0"	"22"	"2"	"2"	"9"	"6"	"521"	""	"521"	""
"205"	"132"	"19"	"324"	"114"	"7"	"4"	"8"	"3"	"9"	"1"	"11"	"1"	"7"	"5"	"4"	"11"	"2"	"530"	""	"530"	""
"206"	"133"	"44"	"153"	"220"	"11"	"3"	"12"	"1"	"5"	"4"	"12"	"3"	"4"	"5"	"4"	"12"	"1"	"494"	""	"494"	""
"207"	"134"	"113"	"89"	"150"	"6"	"4"	"7"	"3"	"2"	"2"	"9"	"3"	"4"	"3"	"1"	"15"	"18"	"429"	""	"429"	""
"208"	"135"	"14"	"267"	"132"	"3"	"1"	"7"	"2"	"2"	"2"	"7"	"0"	"3"	"0"	"5"	"18"	"7"	"470"	""	"470"	""
"209"	"136"	"51"	"148"	"281"	"7"	"0"	"3"	"1"	"0"	"2"	"1"	"2"	"6"	"4"	"1"	"8"	"11"	"526"	""	"526"	""
"210"	"137"	"66"	"182"	"336"	"7"	"1"	"3"	"2"	"2"	"4"	"3"	"4"	"7"	"4"	"9"	"11"	"6"	"647"	""	"647"	""
"211"	"138"	"35"	"505"	"64"	"0"	"0"	"3"	"1"	"0"	"2"	"7"	"1"	"19"	"0"	"4"	"24"	"7"	"672"	""	"672"	""
"212"	"139"	"34"	"111"	"217"	"12"	"0"	"3"	"2"	"1"	"1"	"4"	"3"	"2"	"2"	"3"	"8"	"3"	"406"	""	"406"	""
"213"	"140"	"80"	"140"	"204"	"9"	"4"	"15"	"5"	"13"	"3"	"18"	"5"	"4"	"2"	"5"	"4"	"2"	"513"	""	"513"	""
"214"	"141"	"7"	"202"	"127"	"5"	"2"	"2"	"2"	"1"	"2"	"2"	"0"	"0"	"3"	"1"	"3"	"2"	"361"	""	"361"	""
"215"	"142"	"14"	"287"	"34"	"9"	"2"	"8"	"2"	"2"	"2"	"5"	"0"	"2"	"2"	"0"	"6"	"1"	"376"	""	"376"	""
"216"	"143"	"99"	"78"	"109"	"3"	"0"	"1"	"3"	"0"	"1"	"1"	"1"	"0"	"5"	"2"	"3"	"4"	"310"	""	"310"	""
"217"	"144"	"39"	"348"	"10"	"2"	"5"	"5"	"3"	"3"	"3"	"3"	"1"	"2"	"3"	"8"	"12"	"5"	"452"	""	"452"	""
"218"	"Total -11"	"634"	"3166"	"2087"	"95"	"30"	"89"	"32"	"40"	"32"	"88"	"24"	"82"	"40"	"49"	"144"	"75"	"6707"	"0"	"6707"	"0"
"219"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"221"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"222"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"223"	"B.F."	"5688"	"24419"	"25399"	"2297"	"376"	"662"	"393"	"383"	"319"	"737"	"399"	"5017"	"654"	"467"	"1013"	"844"	"69067"	"0"	"69067"	"0"
"224"	"145"	"38"	"115"	"362"	"26"	"2"	"2"	"5"	"1"	"3"	"8"	"3"	"3"	"8"	"13"	"14"	"17"	"620"	""	"620"	""
"225"	"146"	"22"	"413"	"59"	"4"	"0"	"0"	"1"	"8"	"2"	"1"	"0"	"1"	"1"	"1"	"6"	"3"	"522"	""	"522"	""
"226"	"146A"	"23"	"252"	"88"	"4"	"1"	"1"	"0"	"1"	"3"	"2"	"4"	"4"	"4"	"10"	"18"	"8"	"423"	""	"423"	""
"227"	"147"	"26"	"127"	"316"	"7"	"1"	"1"	"1"	"3"	"0"	"3"	"1"	"4"	"4"	"7"	"0"	"1"	"502"	""	"502"	""
"228"	"148"	"87"	"131"	"257"	"11"	"2"	"7"	"8"	"6"	"5"	"10"	"1"	"1"	"5"	"9"	"3"	"10"	"553"	""	"553"	""
"229"	"149"	"38"	"175"	"308"	"7"	"1"	"2"	"0"	"1"	"3"	"2"	"2"	"0"	"1"	"13"	"9"	"5"	"567"	""	"567"	""
"230"	"150"	"55"	"63"	"146"	"1"	"1"	"2"	"1"	"0"	"4"	"0"	"0"	"1"	"0"	"2"	"2"	"3"	"281"	""	"281"	""
"231"	"150A"	"62"	"172"	"55"	"8"	"5"	"7"	"7"	"3"	"4"	"5"	"4"	"1"	"1"	"4"	"3"	"9"	"350"	""	"350"	""
"232"	"151"	"170"	"20"	"80"	"4"	"1"	"5"	"1"	"1"	"2"	"0"	"1"	"0"	"5"	"0"	"1"	"4"	"295"	""	"295"	""
"233"	"152"	"80"	"159"	"108"	"12"	"3"	"6"	"1"	"4"	"3"	"15"	"9"	"2"	"6"	"7"	"7"	"3"	"425"	""	"425"	""
"234"	"153"	"24"	"180"	"172"	"9"	"2"	"3"	"3"	"2"	"3"	"7"	"21"	"3"	"1"	"4"	"6"	"6"	"446"	""	"446"	""
"235"	"154"	"175"	"66"	"131"	"2"	"2"	"1"	"0"	"2"	"1"	"4"	"4"	"0"	"1"	"3"	"9"	"9"	"410"	""	"410"	""
"236"	"155"	"0"	"25"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"4"	"3"	"208"	"4"	"1"	"0"	"10"	"261"	""	"261"	""
"237"	"156"	"57"	"99"	"186"	"4"	"1"	"4"	"2"	"1"	"4"	"2"	"1"	"3"	"3"	"5"	"4"	"6"	"382"	""	"382"	""
"238"	"Total -12"	"857"	"1997"	"2268"	"100"	"23"	"42"	"31"	"33"	"39"	"63"	"54"	"231"	"44"	"79"	"82"	"94"	"6037"	"0"	"6037"	"0"
"239"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"241"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"242"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"243"	"B.F."	"6545"	"26416"	"27667"	"2397"	"399"	"704"	"424"	"416"	"358"	"800"	"453"	"5248"	"698"	"546"	"1095"	"938"	"75104"	"0"	"75104"	"0"
"244"	"157"	"32"	"275"	"152"	"19"	"8"	"3"	"2"	"1"	"1"	"7"	"4"	"1"	"5"	"3"	"11"	"11"	"535"	""	"535"	""
"245"	"158"	"192"	"9"	"203"	"3"	"4"	"2"	"0"	"2"	"3"	"0"	"0"	"4"	"5"	"6"	"5"	"28"	"466"	""	"466"	""
"246"	"159"	"216"	"127"	"252"	"14"	"1"	"2"	"2"	"1"	"0"	"6"	"4"	"2"	"5"	"2"	"7"	"19"	"660"	""	"660"	""
"247"	"160"	"75"	"222"	"195"	"5"	"2"	"8"	"5"	"18"	"15"	"11"	"9"	"8"	"13"	"26"	"18"	"24"	"654"	""	"654"	""
"248"	"161"	"66"	"156"	"151"	"73"	"4"	"3"	"3"	"3"	"7"	"11"	"6"	"10"	"12"	"11"	"17"	"22"	"555"	""	"555"	""
"249"	"162"	"37"	"292"	"169"	"4"	"4"	"9"	"2"	"5"	"3"	"4"	"1"	"3"	"2"	"4"	"9"	"7"	"555"	""	"555"	""
"250"	"163"	"24"	"163"	"148"	"7"	"2"	"2"	"0"	"1"	"4"	"2"	"1"	"2"	"4"	"6"	"7"	"6"	"379"	""	"379"	""
"251"	"163A"	"10"	"125"	"133"	"6"	"1"	"4"	"2"	"6"	"4"	"4"	"2"	"6"	"3"	"24"	"7"	"14"	"351"	""	"351"	""
"252"	"164"	"14"	"249"	"129"	"10"	"1"	"7"	"3"	"1"	"2"	"4"	"2"	"1"	"2"	"12"	"11"	"4"	"452"	""	"452"	""
"253"	"165"	"85"	"40"	"173"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"6"	"7"	"317"	""	"317"	""
"254"	"165A"	"92"	"23"	"161"	"3"	"0"	"1"	"0"	"3"	"1"	"3"	"0"	"3"	"0"	"1"	"2"	"5"	"298"	""	"298"	""
"255"	"166"	"68"	"111"	"298"	"11"	"4"	"7"	"4"	"1"	"9"	"3"	"1"	"1"	"1"	"2"	"3"	"14"	"538"	""	"538"	""
"256"	"1167"	"22"	"243"	"238"	"4"	"1"	"16"	"2"	"9"	"11"	"13"	"7"	"14"	"2"	"9"	"24"	"18"	"633"	""	"633"	""
"257"	"168"	"56"	"171"	"237"	"2"	"0"	"7"	"2"	"4"	"1"	"13"	"4"	"41"	"4"	"6"	"15"	"19"	"582"	""	"582"	""
"258"	"Total -13"	"989"	"2206"	"2639"	"163"	"32"	"71"	"27"	"55"	"61"	"82"	"42"	"96"	"58"	"114"	"142"	"198"	"6975"	"0"	"6975"	"0"
"259"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"261"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"262"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"263"	"B.F."	"7534"	"28622"	"30306"	"2560"	"431"	"775"	"451"	"471"	"419"	"882"	"495"	"5344"	"756"	"660"	"1237"	"1136"	"82079"	"0"	"82079"	"0"
"264"	"169"	"150"	"11"	"170"	"7"	"4"	"3"	"3"	"1"	"7"	"1"	"3"	"7"	"2"	"4"	"0"	"9"	"382"	""	"382"	""
"265"	"170"	"18"	"150"	"65"	"3"	"1"	"3"	"2"	"1"	"2"	"1"	"1"	"3"	"2"	"7"	"14"	"8"	"281"	""	"281"	""
"266"	"171"	"82"	"106"	"278"	"6"	"3"	"5"	"2"	"4"	"3"	"5"	"4"	"3"	"4"	"11"	"8"	"19"	"543"	""	"543"	""
"267"	"172"	"61"	"130"	"243"	"13"	"8"	"10"	"10"	"7"	"3"	"3"	"5"	"29"	"3"	"9"	"10"	"11"	"555"	""	"555"	""
"268"	"173"	"55"	"99"	"142"	"6"	"4"	"2"	"14"	"2"	"1"	"2"	"1"	"37"	"0"	"2"	"5"	"7"	"379"	""	"379"	""
"269"	"174"	"50"	"149"	"249"	"13"	"6"	"9"	"1"	"5"	"4"	"10"	"7"	"6"	"10"	"14"	"19"	"16"	"568"	""	"568"	""
"270"	"175"	"39"	"285"	"173"	"9"	"7"	"16"	"8"	"2"	"5"	"5"	"3"	"2"	"4"	"2"	"7"	"8"	"575"	""	"575"	""
"271"	"176"	"18"	"167"	"186"	"12"	"5"	"7"	"5"	"1"	"1"	"3"	"1"	"1"	"1"	"0"	"9"	"2"	"419"	""	"419"	""
"272"	"177"	"45"	"23"	"76"	"3"	"0"	"1"	"2"	"0"	"5"	"7"	"2"	"1"	"4"	"2"	"9"	"5"	"185"	""	"185"	""
"273"	"178"	"14"	"104"	"127"	"6"	"1"	"7"	"3"	"2"	"3"	"4"	"5"	"2"	"7"	"9"	"6"	"12"	"312"	""	"312"	""
"274"	"179"	"42"	"156"	"257"	"12"	"4"	"4"	"3"	"1"	"0"	"3"	"1"	"2"	"2"	"7"	"6"	"1"	"501"	""	"501"	""
"275"	"180"	"64"	"53"	"180"	"5"	"0"	"0"	"0"	"1"	"1"	"2"	"3"	"0"	"2"	"6"	"5"	"3"	"325"	""	"325"	""
"276"	"181"	"24"	"292"	"111"	"11"	"2"	"6"	"5"	"2"	"4"	"3"	"3"	"3"	"7"	"6"	"43"	"9"	"531"	""	"531"	""
"277"	"182"	"17"	"169"	"87"	"2"	"2"	"6"	"2"	"1"	"2"	"3"	"5"	"1"	"3"	"3"	"1"	"5"	"309"	""	"309"	""
"278"	"Total -14"	"679"	"1894"	"2344"	"108"	"47"	"79"	"60"	"30"	"41"	"52"	"44"	"97"	"51"	"82"	"142"	"115"	"5865"	"0"	"5865"	"0"
"279"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"281"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"282"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"283"	"B.F."	"8213"	"30516"	"32650"	"2668"	"478"	"854"	"511"	"501"	"460"	"934"	"539"	"5441"	"807"	"742"	"1379"	"1251"	"87944"	"0"	"87944"	"0"
"284"	"182A"	"13"	"304"	"55"	"1"	"0"	"5"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"383"	""	"383"	""
"285"	"183"	"12"	"17"	"207"	"4"	"3"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"7"	"3"	"2"	"260"	""	"260"	""
"286"	"183A"	"16"	"117"	"181"	"7"	"4"	"7"	"1"	"1"	"5"	"9"	"2"	"5"	"6"	"4"	"9"	"1"	"375"	""	"375"	""
"287"	"184"	"22"	"96"	"120"	"2"	"1"	"3"	"4"	"0"	"3"	"6"	"4"	"8"	"1"	"2"	"11"	"5"	"288"	""	"288"	""
"288"	"185"	"16"	"164"	"148"	"9"	"1"	"9"	"4"	"2"	"2"	"4"	"2"	"12"	"0"	"0"	"2"	"2"	"377"	""	"377"	""
"289"	"186"	"72"	"83"	"125"	"9"	"0"	"5"	"1"	"4"	"2"	"3"	"2"	"5"	"6"	"3"	"13"	"16"	"349"	""	"349"	""
"290"	"187"	"46"	"108"	"140"	"12"	"2"	"9"	"6"	"5"	"6"	"7"	"10"	"9"	"4"	"8"	"11"	"24"	"407"	""	"407"	""
"291"	"188"	"26"	"41"	"201"	"14"	"3"	"6"	"2"	"0"	"0"	"2"	"2"	"1"	"2"	"1"	"1"	"5"	"307"	""	"307"	""
"292"	"189"	"34"	"29"	"240"	"6"	"0"	"3"	"0"	"1"	"5"	"3"	"3"	"15"	"5"	"12"	"4"	"18"	"378"	""	"378"	""
"293"	"190"	"65"	"208"	"192"	"9"	"7"	"12"	"12"	"2"	"1"	"21"	"3"	"5"	"5"	"6"	"12"	"15"	"575"	""	"575"	""
"294"	"191"	"17"	"58"	"205"	"5"	"4"	"7"	"13"	"3"	"7"	"12"	"5"	"10"	"4"	"9"	"10"	"4"	"373"	""	"373"	""
"295"	"192"	"19"	"190"	"89"	"5"	"2"	"7"	"3"	"2"	"1"	"5"	"1"	"98"	"1"	"3"	"12"	"7"	"445"	""	"445"	""
"296"	"193"	"23"	"136"	"279"	"13"	"2"	"6"	"2"	"4"	"6"	"5"	"3"	"5"	"6"	"5"	"9"	"20"	"524"	""	"524"	""
"297"	"194"	"32"	"88"	"326"	"7"	"1"	"3"	"2"	"3"	"8"	"5"	"8"	"5"	"2"	"8"	"13"	"10"	"521"	""	"521"	""
"298"	"Total -15"	"413"	"1639"	"2508"	"103"	"30"	"82"	"51"	"28"	"46"	"85"	"47"	"178"	"43"	"69"	"111"	"129"	"5562"	"0"	"5562"	"0"
"299"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
