"Candidates..Name"	"DADAN.YADAV..MANPA."	"DR..DAUD.ALI"	"PRATIBHA.DEVI"	"SUNIL.KUMAR"	"AYODHYA.KUMAR.SINGH"	"DADAN.YADAV..SAMHAR."	"DHRUV.PRASAD.GUPTA"	"RAJ.RAM.CHOUDHARY"	"BINOD.SINGH"	"SATYENDAR.PRASAD"	"KAMALA.DEVI"	"GORAKH.NATH.SINGH"	"RANJIT.SINGH"	"HARERAM.SINGH"	"TOTAL"
"196"	"161"	"18"	"36"	"10"	"59"	"18"	"17"	"31"	"302"	"4"	"2"	"2"	"25"	"4"	"5"	"533"
"197"	"162"	"7"	"14"	"4"	"50"	"6"	"31"	"15"	"306"	"2"	"0"	"2"	"3"	"0"	"3"	"443"
"198"	"163"	"42"	"188"	"8"	"87"	"54"	"20"	"29"	"3"	"2"	"6"	"4"	"8"	"3"	"13"	"467"
"199"	"164"	"55"	"51"	"4"	"165"	"106"	"88"	"15"	"5"	"5"	"9"	"11"	"6"	"2"	"18"	"540"
"200"	"165"	"3"	"61"	"4"	"71"	"99"	"91"	"17"	"4"	"3"	"11"	"5"	"9"	"4"	"8"	"390"
"201"	"166"	"12"	"65"	"2"	"55"	"157"	"4"	"24"	"3"	"0"	"5"	"4"	"0"	"3"	"7"	"341"
"202"	"167"	"5"	"36"	"1"	"117"	"110"	"51"	"18"	"0"	"2"	"3"	"3"	"3"	"7"	"10"	"366"
"203"	"168"	"10"	"50"	"4"	"120"	"218"	"68"	"38"	"3"	"2"	"12"	"6"	"9"	"3"	"28"	"571"
"204"	"169"	"14"	"92"	"17"	"96"	"9"	"38"	"11"	"4"	"5"	"2"	"5"	"7"	"5"	"10"	"315"
"205"	"170"	"3"	"146"	"7"	"3"	"23"	"14"	"13"	"1"	"0"	"1"	"0"	"3"	"3"	"4"	"221"
"206"	"171"	"30"	"137"	"9"	"111"	"22"	"20"	"40"	"6"	"0"	"6"	"9"	"11"	"11"	"26"	"438"
"207"	"172"	"7"	"275"	"7"	"187"	"42"	"20"	"32"	"0"	"1"	"1"	"6"	"2"	"6"	"12"	"598"
"208"	"173"	"11"	"412"	"19"	"131"	"63"	"27"	"42"	"3"	"5"	"6"	"10"	"4"	"14"	"33"	"780"
"209"	"174"	"26"	"390"	"36"	"179"	"23"	"87"	"43"	"3"	"1"	"5"	"5"	"4"	"6"	"6"	"814"
"210"	"175"	"42"	"108"	"26"	"41"	"42"	"64"	"57"	"6"	"2"	"10"	"4"	"5"	"9"	"21"	"437"
"211"	"176"	"20"	"268"	"13"	"45"	"29"	"145"	"52"	"13"	"5"	"11"	"3"	"8"	"19"	"18"	"649"
"212"	"177"	"13"	"222"	"9"	"103"	"104"	"78"	"64"	"8"	"6"	"6"	"11"	"5"	"11"	"28"	"668"
"213"	"178"	"68"	"86"	"5"	"228"	"15"	"85"	"34"	"3"	"2"	"3"	"9"	"1"	"2"	"11"	"552"
"214"	"179"	"31"	"401"	"8"	"22"	"5"	"0"	"35"	"1"	"2"	"1"	"3"	"3"	"1"	"10"	"523"
"215"	"180"	"45"	"176"	"40"	"136"	"13"	"35"	"16"	"3"	"2"	"1"	"2"	"3"	"4"	"3"	"479"
"216"	"181"	"29"	"283"	"13"	"190"	"44"	"18"	"23"	"2"	"2"	"3"	"4"	"10"	"6"	"18"	"645"
"217"	"182"	"22"	"349"	"6"	"190"	"17"	"109"	"32"	"6"	"5"	"4"	"13"	"3"	"15"	"25"	"796"
"218"	"183"	"1"	"190"	"12"	"39"	"3"	"16"	"17"	"1"	"0"	"1"	"2"	"2"	"5"	"8"	"297"
"219"	"183A"	"6"	"192"	"6"	"127"	"4"	"197"	"33"	"3"	"8"	"5"	"5"	"1"	"7"	"10"	"604"
"220"	"184"	"32"	"190"	"33"	"73"	"9"	"35"	"49"	"0"	"1"	"4"	"4"	"7"	"19"	"24"	"480"
"221"	"185"	"82"	"105"	"168"	"104"	"11"	"84"	"36"	"1"	"0"	"2"	"5"	"3"	"4"	"14"	"619"
"222"	"186"	"14"	"1"	"4"	"249"	"6"	"53"	"3"	"1"	"1"	"1"	"2"	"5"	"13"	"1"	"354"
"223"	"187"	"5"	"63"	"17"	"279"	"11"	"39"	"17"	"7"	"2"	"1"	"3"	"11"	"1"	"22"	"478"
"224"	"188"	"5"	"186"	"14"	"195"	"10"	"18"	"25"	"0"	"1"	"3"	"3"	"2"	"6"	"11"	"479"
"225"	"Candidates  Name"	"DADAN YADAV (MANPA)"	"DR. DAUD ALI"	"PRATIBHA DEVI"	"SUNIL KUMAR"	"AYODHYA KUMAR SINGH"	"DADAN YADAV (SAMHAR)"	"DHRUV PRASAD GUPTA"	"RAJ RAM CHOUDHARY"	"BINOD SINGH"	"SATYENDAR PRASAD"	"KAMALA DEVI"	"GORAKH NATH SINGH"	"RANJIT SINGH"	"HARERAM SINGH"	"TOTAL"
"226"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"33"
"230"	"188A"	"34"	"50"	"5"	"102"	"0"	"64"	"22"	"1"	"3"	"1"	"3"	"3"	"4"	"7"	"299"
"231"	"189"	"6"	"149"	"53"	"80"	"2"	"29"	"37"	"32"	"5"	"5"	"6"	"11"	"33"	"30"	"478"
"232"	"190"	"24"	"155"	"9"	"333"	"22"	"65"	"19"	"5"	"2"	"5"	"15"	"7"	"9"	"17"	"687"
"233"	"191"	"3"	"3"	"6"	"227"	"10"	"57"	"7"	"2"	"3"	"2"	"6"	"14"	"5"	"10"	"355"
"234"	"192"	"19"	"326"	"29"	"23"	"10"	"19"	"26"	"6"	"1"	"1"	"4"	"6"	"8"	"6"	"484"
"235"	"193"	"221"	"173"	"31"	"81"	"4"	"38"	"27"	"6"	"6"	"2"	"4"	"49"	"14"	"15"	"671"
"236"	"194"	"9"	"322"	"44"	"55"	"2"	"31"	"34"	"5"	"4"	"7"	"7"	"13"	"30"	"34"	"597"
"237"	"195"	"5"	"162"	"92"	"74"	"4"	"24"	"17"	"4"	"2"	"1"	"1"	"10"	"12"	"8"	"416"
"238"	"196"	"66"	"117"	"22"	"134"	"15"	"150"	"32"	"5"	"6"	"8"	"8"	"6"	"17"	"17"	"603"
"239"	"197"	"6"	"2"	"1"	"119"	"2"	"116"	"1"	"0"	"1"	"0"	"3"	"3"	"0"	"0"	"254"
"240"	"198"	"14"	"151"	"74"	"25"	"2"	"84"	"20"	"3"	"2"	"2"	"3"	"3"	"3"	"8"	"394"
"241"	"198A"	"106"	"88"	"10"	"62"	"27"	"54"	"29"	"13"	"5"	"6"	"4"	"8"	"5"	"17"	"434"
"242"	"199"	"57"	"115"	"9"	"115"	"4"	"113"	"28"	"0"	"6"	"6"	"13"	"12"	"4"	"38"	"520"
"243"	"200"	"21"	"267"	"8"	"169"	"14"	"12"	"31"	"1"	"2"	"4"	"1"	"11"	"17"	"15"	"573"
"244"	"201"	"9"	"195"	"13"	"129"	"8"	"144"	"39"	"12"	"1"	"9"	"9"	"7"	"10"	"23"	"608"
"245"	"202"	"17"	"338"	"12"	"38"	"5"	"10"	"13"	"6"	"2"	"4"	"1"	"2"	"6"	"13"	"467"
"246"	"203"	"5"	"194"	"9"	"126"	"10"	"46"	"26"	"1"	"1"	"1"	"2"	"4"	"1"	"7"	"433"
"247"	"203A"	"9"	"198"	"2"	"39"	"4"	"13"	"34"	"1"	"2"	"0"	"4"	"1"	"6"	"8"	"321"
"248"	"204"	"69"	"185"	"11"	"269"	"4"	"14"	"31"	"8"	"0"	"0"	"4"	"4"	"3"	"1"	"603"
"249"	"205"	"86"	"56"	"5"	"50"	"7"	"250"	"18"	"1"	"0"	"4"	"1"	"2"	"2"	"8"	"490"
"250"	"206"	"2"	"47"	"7"	"146"	"6"	"84"	"18"	"1"	"4"	"1"	"8"	"11"	"5"	"10"	"350"
"251"	"207"	"25"	"126"	"3"	"173"	"9"	"88"	"20"	"2"	"0"	"2"	"2"	"19"	"1"	"1"	"471"
"252"	"208"	"11"	"34"	"0"	"129"	"5"	"25"	"10"	"1"	"1"	"2"	"3"	"6"	"5"	"5"	"237"
"253"	"209"	"1"	"41"	"0"	"119"	"2"	"50"	"11"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"227"
"254"	"210"	"26"	"79"	"3"	"66"	"6"	"150"	"24"	"4"	"3"	"2"	"6"	"2"	"3"	"7"	"381"
"255"	"211"	"57"	"162"	"20"	"110"	"39"	"144"	"46"	"9"	"6"	"6"	"7"	"4"	"8"	"24"	"642"
"256"	"212"	"6"	"134"	"13"	"51"	"2"	"11"	"22"	"1"	"2"	"2"	"3"	"6"	"7"	"15"	"275"
"257"	"213"	"10"	"287"	"7"	"64"	"5"	"63"	"30"	"2"	"2"	"1"	"8"	"2"	"1"	"17"	"499"
"258"	"213A"	"4"	"253"	"16"	"33"	"21"	"65"	"53"	"2"	"1"	"2"	"4"	"0"	"6"	"14"	"474"
"259"	"214"	"15"	"82"	"6"	"24"	"7"	"223"	"22"	"1"	"4"	"8"	"8"	"2"	"7"	"13"	"422"
"260"	"215"	"14"	"112"	"6"	"25"	"49"	"22"	"13"	"0"	"2"	"1"	"1"	"7"	"1"	"5"	"258"
"261"	"216"	"34"	"28"	"2"	"278"	"14"	"20"	"10"	"0"	"1"	"0"	"3"	"3"	"1"	"8"	"402"
"262"	"217"	"11"	"341"	"5"	"67"	"3"	"9"	"24"	"1"	"1"	"4"	"1"	"7"	"8"	"11"	"493"
"263"	"217A"	"3"	"227"	"9"	"16"	"4"	"3"	"28"	"3"	"1"	"1"	"0"	"0"	"9"	"9"	"313"
"264"	"218"	"13"	"438"	"16"	"113"	"6"	"13"	"70"	"9"	"3"	"7"	"7"	"10"	"26"	"31"	"762"
"265"	"219"	"4"	"353"	"7"	"53"	"0"	"8"	"43"	"1"	"1"	"3"	"3"	"0"	"14"	"11"	"501"
"266"	"220"	"8"	"251"	"9"	"143"	"3"	"28"	"39"	"8"	"3"	"1"	"7"	"7"	"13"	"9"	"529"
"267"	"221"	"12"	"134"	"6"	"131"	"11"	"45"	"13"	"1"	"0"	"2"	"4"	"4"	"3"	"5"	"371"
"268"	"222"	"5"	"224"	"7"	"66"	"2"	"4"	"9"	"1"	"1"	"1"	"1"	"2"	"3"	"3"	"329"
"269"	"223"	"15"	"77"	"10"	"105"	"8"	"25"	"17"	"0"	"3"	"3"	"5"	"2"	"9"	"5"	"284"
"270"	"Candidates  Name"	"DADAN YADAV (MANPA)"	"DR. DAUD ALI"	"PRATIBHA DEVI"	"SUNIL KUMAR"	"AYODHYA KUMAR SINGH"	"DADAN YADAV (SAMHAR)"	"DHRUV PRASAD GUPTA"	"RAJ RAM CHOUDHARY"	"BINOD SINGH"	"SATYENDAR PRASAD"	"KAMALA DEVI"	"GORAKH NATH SINGH"	"RANJIT SINGH"	"HARERAM SINGH"	"TOTAL"
"271"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"33"
"275"	"224"	"6"	"254"	"9"	"64"	"74"	"7"	"61"	"5"	"2"	"4"	"9"	"6"	"4"	"33"	"538"
"276"	"225"	"16"	"127"	"29"	"171"	"30"	"64"	"30"	"3"	"0"	"2"	"5"	"9"	"3"	"11"	"500"
"277"	"226"	"11"	"97"	"55"	"88"	"11"	"55"	"29"	"3"	"0"	"5"	"3"	"4"	"21"	"7"	"389"
"278"	"227"	"14"	"72"	"4"	"62"	"3"	"148"	"8"	"1"	"0"	"1"	"3"	"3"	"9"	"5"	"333"
"279"	"228"	"2"	"144"	"20"	"62"	"0"	"15"	"28"	"6"	"1"	"1"	"4"	"5"	"7"	"9"	"304"
"280"	"229"	"4"	"263"	"18"	"65"	"3"	"10"	"40"	"6"	"3"	"4"	"0"	"10"	"6"	"9"	"441"
"281"	"230"	"30"	"119"	"4"	"43"	"9"	"28"	"39"	"4"	"0"	"2"	"1"	"4"	"3"	"11"	"297"
"282"	"231"	"6"	"105"	"11"	"89"	"3"	"9"	"16"	"3"	"2"	"2"	"0"	"1"	"3"	"2"	"252"
"283"	"232"	"26"	"140"	"14"	"297"	"22"	"24"	"42"	"10"	"2"	"2"	"3"	"4"	"4"	"10"	"600"
"284"	"233"	"14"	"93"	"2"	"207"	"16"	"29"	"24"	"0"	"1"	"2"	"4"	"6"	"4"	"9"	"411"
"285"	"233A"	"12"	"79"	"4"	"143"	"9"	"103"	"17"	"4"	"0"	"3"	"8"	"0"	"3"	"9"	"394"
"286"	"234"	"3"	"201"	"7"	"126"	"23"	"6"	"45"	"5"	"3"	"5"	"7"	"3"	"7"	"15"	"456"
"287"	"235"	"24"	"154"	"6"	"99"	"74"	"25"	"40"	"6"	"2"	"7"	"4"	"7"	"9"	"15"	"472"
"288"	"236"	"13"	"73"	"4"	"68"	"143"	"41"	"13"	"3"	"1"	"2"	"3"	"2"	"4"	"5"	"375"
"289"	"237"	"14"	"243"	"19"	"10"	"8"	"42"	"39"	"3"	"2"	"5"	"7"	"1"	"4"	"8"	"405"
"290"	"238"	"12"	"200"	"8"	"56"	"56"	"56"	"38"	"4"	"2"	"11"	"5"	"6"	"12"	"37"	"503"
"291"	"239"	"10"	"194"	"72"	"65"	"49"	"125"	"70"	"4"	"4"	"9"	"4"	"8"	"19"	"9"	"642"
"292"	"240"	"17"	"84"	"16"	"186"	"1"	"83"	"7"	"0"	"1"	"1"	"2"	"7"	"0"	"3"	"408"
"293"	"241"	"17"	"105"	"3"	"102"	"1"	"9"	"6"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"248"
"294"	"Total:"	"6544"	"42507"	"5886"	"22671"	"6573"	"17951"	"8851"	"3220"	"701"	"954"	"1150"	"1676"	"2765"	"3100"	"124549"
"295"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Postal Ballot"	"7"	"31"	"3"	"21"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"
"297"	"Grand Total:"	"6551"	"42538"	"5889"	"22692"	"6573"	"17956"	"8851"	"3220"	"701"	"954"	"1150"	"1676"	"2765"	"3100"	"124616"
"298"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Date: 1/1/2007"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"ly Constituency :201---"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"Page -1 of 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
