"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"171"	"152"	""	"13"	"7"	"12"	"222"	"230"	"8"	"4"	"7"	"4"	"11"	"13"	"8"	"10"	"2"	"3"	"554"
"172"	"153"	""	"6"	"8"	"5"	"183"	"226"	"9"	"3"	"7"	"9"	"19"	"24"	"20"	"20"	"5"	"13"	"557"
"173"	"154"	""	"0"	"0"	"0"	"246"	"21"	"1"	"0"	"1"	"0"	"2"	"2"	"0"	"3"	"0"	"0"	"276"
"174"	"155"	""	"3"	"5"	"15"	"86"	"109"	"1"	"3"	"0"	"5"	"7"	"6"	"5"	"13"	"2"	"5"	"265"
"175"	"156"	""	"5"	"1"	"1"	"82"	"170"	"7"	"3"	"0"	"1"	"5"	"2"	"1"	"7"	"2"	"8"	"295"
"176"	"157"	""	"1"	"2"	"2"	"108"	"186"	"7"	"5"	"5"	"3"	"5"	"10"	"6"	"7"	"2"	"10"	"359"
"177"	"158"	""	"6"	"13"	"44"	"196"	"152"	"8"	"4"	"2"	"3"	"8"	"5"	"3"	"8"	"4"	"10"	"466"
"178"	"159"	""	"4"	"25"	"4"	"206"	"62"	"2"	"1"	"1"	"0"	"4"	"2"	"2"	"2"	"1"	"3"	"319"
"179"	"160"	""	"20"	"7"	"12"	"84"	"146"	"15"	"5"	"8"	"7"	"12"	"10"	"6"	"86"	"4"	"4"	"426"
"180"	"161"	""	"14"	"8"	"6"	"207"	"109"	"6"	"9"	"7"	"6"	"18"	"14"	"11"	"25"	"5"	"12"	"457"
"181"	"162"	""	"35"	"12"	"8"	"30"	"225"	"12"	"5"	"7"	"4"	"9"	"9"	"12"	"102"	"5"	"12"	"487"
"182"	"163"	""	"29"	"11"	"14"	"178"	"193"	"13"	"2"	"3"	"6"	"16"	"15"	"11"	"19"	"12"	"22"	"544"
"183"	"164"	""	"68"	"1"	"6"	"62"	"155"	"4"	"2"	"5"	"3"	"8"	"4"	"7"	"4"	"0"	"5"	"334"
"184"	"165"	""	"12"	"14"	"13"	"30"	"115"	"0"	"1"	"2"	"0"	"1"	"4"	"4"	"4"	"0"	"7"	"207"
"185"	"166"	""	"11"	"3"	"4"	"107"	"87"	"9"	"1"	"2"	"7"	"8"	"2"	"6"	"17"	"4"	"4"	"272"
"186"	"167"	""	"6"	"6"	"7"	"221"	"221"	"5"	"4"	"9"	"7"	"18"	"8"	"7"	"13"	"2"	"11"	"545"
"187"	"168"	""	"6"	"2"	"11"	"143"	"255"	"9"	"4"	"3"	"6"	"4"	"15"	"13"	"11"	"5"	"5"	"492"
"188"	"169"	""	"26"	"6"	"16"	"205"	"295"	"15"	"4"	"6"	"11"	"15"	"12"	"17"	"17"	"3"	"7"	"655"
"189"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"190"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"191"	"170"	""	"14"	"9"	"6"	"75"	"177"	"3"	"1"	"4"	"17"	"9"	"15"	"8"	"91"	"3"	"11"	"443"
"192"	"171"	""	"7"	"2"	"15"	"102"	"57"	"2"	"0"	"1"	"6"	"3"	"7"	"5"	"24"	"1"	"13"	"245"
"193"	"172"	""	"2"	"1"	"6"	"165"	"58"	"1"	"0"	"1"	"7"	"5"	"0"	"5"	"6"	"2"	"2"	"261"
"194"	"173"	""	"18"	"5"	"3"	"108"	"242"	"7"	"1"	"3"	"9"	"13"	"17"	"9"	"22"	"6"	"16"	"479"
"195"	"174"	""	"11"	"4"	"2"	"81"	"225"	"1"	"2"	"3"	"0"	"7"	"4"	"0"	"6"	"0"	"1"	"347"
"196"	"175"	""	"6"	"2"	"7"	"228"	"70"	"6"	"0"	"5"	"5"	"5"	"3"	"9"	"9"	"4"	"0"	"359"
"197"	"176"	""	"2"	"1"	"15"	"30"	"80"	"2"	"1"	"3"	"6"	"8"	"9"	"4"	"201"	"5"	"9"	"376"
"198"	"177"	""	"5"	"7"	"3"	"69"	"227"	"6"	"2"	"2"	"4"	"7"	"3"	"6"	"14"	"2"	"2"	"359"
"199"	"178"	""	"12"	"12"	"5"	"179"	"145"	"5"	"4"	"6"	"7"	"4"	"8"	"8"	"18"	"3"	"4"	"420"
"200"	"179"	""	"33"	"4"	"2"	"164"	"352"	"11"	"12"	"10"	"14"	"24"	"32"	"18"	"25"	"9"	"20"	"730"
"201"	"180"	""	"8"	"8"	"2"	"56"	"103"	"3"	"7"	"2"	"9"	"1"	"8"	"5"	"202"	"5"	"7"	"426"
"202"	"181"	""	"34"	"12"	"24"	"43"	"114"	"7"	"1"	"6"	"4"	"6"	"4"	"4"	"4"	"2"	"4"	"269"
"203"	"182"	""	"13"	"2"	"3"	"10"	"157"	"9"	"6"	"3"	"6"	"8"	"13"	"8"	"58"	"7"	"21"	"324"
"204"	"183"	""	"3"	"2"	"2"	"54"	"53"	"0"	"2"	"1"	"6"	"1"	"5"	"4"	"28"	"2"	"2"	"165"
"205"	"184"	""	"0"	"2"	"2"	"22"	"215"	"3"	"1"	"0"	"2"	"5"	"2"	"5"	"1"	"0"	"2"	"262"
"206"	"185"	""	"0"	"0"	"2"	"1"	"113"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"118"
"207"	"186"	""	"16"	"11"	"20"	"238"	"187"	"9"	"6"	"7"	"16"	"13"	"1"	"9"	"24"	"7"	"4"	"568"
"208"	"187"	""	"8"	"0"	"3"	"122"	"121"	"4"	"2"	"1"	"1"	"1"	"5"	"5"	"15"	"3"	"11"	"302"
"209"	"188"	""	"5"	"4"	"4"	"84"	"274"	"6"	"1"	"1"	"6"	"6"	"2"	"2"	"5"	"4"	"2"	"406"
"210"	"189"	""	"15"	"5"	"8"	"138"	"338"	"4"	"3"	"1"	"2"	"6"	"5"	"4"	"6"	"6"	"2"	"543"
"211"	"190"	""	"18"	"2"	"15"	"67"	"278"	"9"	"8"	"5"	"9"	"4"	"10"	"7"	"7"	"6"	"2"	"447"
"212"	"191"	""	"4"	"2"	"4"	"83"	"225"	"8"	"3"	"0"	"7"	"11"	"5"	"7"	"8"	"5"	"6"	"378"
"213"	"192"	""	"11"	"23"	"1"	"111"	"211"	"9"	"5"	"9"	"10"	"13"	"6"	"5"	"45"	"2"	"9"	"470"
"214"	"193"	""	"3"	"2"	"2"	"127"	"41"	"1"	"1"	"1"	"1"	"2"	"3"	"2"	"63"	"2"	"3"	"254"
"215"	"194"	""	"4"	"25"	"3"	"242"	"242"	"4"	"4"	"1"	"6"	"3"	"3"	"3"	"29"	"1"	"4"	"574"
"216"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"217"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"218"	"195"	""	"9"	"36"	"4"	"151"	"7"	"2"	"0"	"3"	"2"	"4"	"1"	"4"	"4"	"3"	"3"	"233"
"219"	"196"	""	"51"	"38"	"18"	"241"	"67"	"10"	"5"	"4"	"6"	"8"	"7"	"8"	"5"	"6"	"6"	"480"
"220"	"197"	""	"1"	"12"	"4"	"44"	"338"	"4"	"3"	"2"	"3"	"2"	"4"	"2"	"1"	"11"	"1"	"432"
"221"	"198"	""	"16"	"11"	"35"	"188"	"216"	"3"	"3"	"5"	"9"	"9"	"22"	"1"	"6"	"7"	"4"	"535"
"222"	"199"	""	"122"	"9"	"6"	"32"	"4"	"3"	"3"	"0"	"1"	"1"	"0"	"0"	"20"	"1"	"0"	"202"
"223"	"200"	""	"20"	"27"	"11"	"35"	"248"	"5"	"3"	"2"	"3"	"6"	"5"	"5"	"14"	"6"	"6"	"396"
"224"	"201"	""	"19"	"0"	"0"	"12"	"298"	"3"	"4"	"3"	"1"	"3"	"3"	"1"	"8"	"3"	"3"	"361"
"225"	"202"	""	"23"	"11"	"58"	"58"	"116"	"1"	"1"	"4"	"1"	"4"	"0"	"3"	"18"	"8"	"3"	"309"
"226"	"203"	""	"4"	"11"	"27"	"172"	"122"	"2"	"4"	"8"	"10"	"5"	"6"	"6"	"5"	"10"	"9"	"401"
"227"	"204"	""	"58"	"15"	"6"	"191"	"52"	"1"	"0"	"2"	"8"	"3"	"2"	"3"	"2"	"3"	"4"	"350"
"228"	"205"	""	"25"	"16"	"12"	"46"	"321"	"11"	"4"	"6"	"6"	"8"	"7"	"2"	"2"	"11"	"10"	"487"
"229"	"206"	""	"1"	"15"	"3"	"162"	"141"	"2"	"3"	"5"	"7"	"3"	"5"	"4"	"10"	"2"	"0"	"363"
"230"	"207"	""	"0"	"3"	"1"	"47"	"175"	"1"	"0"	"0"	"0"	"2"	"3"	"1"	"1"	"0"	"2"	"236"
"231"	"208"	""	"7"	"5"	"3"	"132"	"162"	"5"	"3"	"1"	"2"	"2"	"1"	"4"	"3"	"0"	"2"	"332"
"232"	"209"	""	"6"	"5"	"10"	"160"	"106"	"1"	"5"	"5"	"7"	"8"	"6"	"0"	"22"	"3"	"3"	"347"
"233"	"210"	""	"167"	"9"	"14"	"72"	"126"	"4"	"4"	"3"	"4"	"9"	"5"	"10"	"13"	"6"	"11"	"457"
"234"	"211"	""	"76"	"12"	"29"	"211"	"100"	"14"	"4"	"6"	"11"	"18"	"15"	"14"	"14"	"7"	"18"	"549"
"235"	"212"	""	"12"	"5"	"4"	"57"	"210"	"3"	"7"	"3"	"4"	"10"	"13"	"2"	"4"	"3"	"10"	"347"
"236"	"213"	""	"12"	"13"	"9"	"221"	"240"	"2"	"0"	"4"	"7"	"7"	"9"	"14"	"10"	"6"	"9"	"563"
"237"	"214"	""	"6"	"16"	"17"	"25"	"327"	"5"	"3"	"0"	"3"	"8"	"3"	"4"	"5"	"4"	"5"	"431"
"238"	"215"	""	"24"	"1"	"5"	"35"	"265"	"4"	"2"	"1"	"2"	"3"	"7"	"5"	"3"	"2"	"5"	"364"
"239"	"216"	""	"55"	"7"	"1"	"13"	"257"	"7"	"1"	"1"	"0"	"4"	"2"	"6"	"7"	"9"	"7"	"377"
"240"	"217"	""	"5"	"0"	"2"	"89"	"69"	"3"	"0"	"0"	"3"	"5"	"0"	"5"	"6"	"3"	"6"	"196"
"241"	"218"	""	"119"	"4"	"3"	"75"	"106"	"7"	"1"	"1"	"4"	"6"	"3"	"1"	"6"	"1"	"5"	"342"
"242"	"219"	""	"154"	"2"	"2"	"62"	"53"	"2"	"1"	"1"	"0"	"6"	"3"	"7"	"11"	"3"	"31"	"338"
"243"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"244"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"245"	"220"	""	"96"	"11"	"15"	"162"	"65"	"2"	"3"	"5"	"8"	"9"	"4"	"4"	"3"	"6"	"9"	"402"
"246"	"221"	""	"48"	"2"	"5"	"7"	"71"	"3"	"2"	"0"	"0"	"2"	"5"	"1"	"6"	"0"	"4"	"156"
"247"	"222"	""	"22"	"6"	"5"	"135"	"39"	"2"	"3"	"1"	"0"	"2"	"1"	"5"	"3"	"3"	"0"	"227"
"248"	"223"	""	"107"	"22"	"4"	"36"	"247"	"12"	"20"	"4"	"2"	"2"	"10"	"5"	"59"	"2"	"14"	"546"
"249"	"224"	""	"98"	"5"	"10"	"21"	"228"	"8"	"5"	"3"	"5"	"12"	"10"	"2"	"32"	"2"	"10"	"451"
"250"	"225"	""	"292"	"7"	"4"	"2"	"70"	"1"	"0"	"0"	"2"	"3"	"3"	"2"	"45"	"2"	"1"	"434"
"251"	"226"	""	"3"	"9"	"4"	"114"	"189"	"8"	"4"	"2"	"8"	"6"	"6"	"7"	"21"	"4"	"2"	"387"
"252"	"227"	""	"133"	"5"	"8"	"101"	"30"	"4"	"3"	"0"	"0"	"5"	"5"	"4"	"8"	"2"	"12"	"320"
"253"	"228"	""	"99"	"4"	"10"	"160"	"93"	"6"	"1"	"3"	"14"	"7"	"9"	"3"	"87"	"4"	"5"	"505"
"254"	"229"	""	"5"	"4"	"4"	"116"	"58"	"3"	"1"	"2"	"0"	"5"	"5"	"4"	"10"	"6"	"14"	"237"
"255"	"230"	""	"130"	"12"	"26"	"79"	"79"	"4"	"1"	"6"	"4"	"3"	"7"	"6"	"30"	"10"	"13"	"410"
"256"	"231"	""	"127"	"7"	"16"	"26"	"16"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"6"	"2"	"207"
"257"	"232"	""	"1"	"7"	"10"	"152"	"49"	"1"	"0"	"2"	"2"	"1"	"2"	"1"	"1"	"0"	"2"	"231"
"258"	"233"	""	"57"	"7"	"42"	"54"	"4"	"1"	"3"	"1"	"1"	"2"	"4"	"3"	"30"	"4"	"1"	"214"
"259"	"234"	""	"34"	"9"	"9"	"130"	"28"	"5"	"1"	"2"	"3"	"4"	"3"	"6"	"5"	"1"	"1"	"241"
"260"	"235"	""	"205"	"14"	"27"	"9"	"28"	"0"	"0"	"3"	"3"	"5"	"1"	"0"	"8"	"2"	"11"	"316"
"261"	"236"	""	"113"	"18"	"3"	"131"	"213"	"4"	"7"	"7"	"2"	"16"	"9"	"1"	"6"	"8"	"10"	"548"
"262"	"237"	""	"124"	"5"	"14"	"27"	"115"	"6"	"8"	"1"	"0"	"4"	"6"	"3"	"4"	"2"	"5"	"324"
"263"	"238"	""	"3"	"7"	"1"	"191"	"62"	"3"	"0"	"0"	"2"	"3"	"8"	"9"	"7"	"1"	"5"	"302"
"264"	"239"	""	"154"	"6"	"1"	"3"	"29"	"2"	"4"	"0"	"5"	"1"	"4"	"6"	"70"	"11"	"4"	"300"
"265"	"240"	""	"24"	"13"	"4"	"97"	"33"	"4"	"1"	"4"	"10"	"4"	"3"	"5"	"134"	"5"	"2"	"343"
"266"	"241"	""	"9"	"20"	"3"	"166"	"19"	"1"	"0"	"0"	"3"	"0"	"2"	"2"	"2"	"1"	"2"	"230"
"267"	"242"	""	"7"	"7"	"0"	"66"	"272"	"3"	"1"	"8"	"3"	"5"	"5"	"2"	"2"	"1"	"5"	"387"
"268"	"243"	""	"0"	"11"	"2"	"30"	"326"	"7"	"2"	"1"	"2"	"4"	"2"	"4"	"2"	"2"	"1"	"396"
"269"	"244"	""	"85"	"17"	"4"	"11"	"50"	"1"	"1"	"1"	"1"	"5"	"6"	"1"	"11"	"4"	"7"	"205"
"270"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"271"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"272"	"245"	""	"52"	"2"	"6"	"3"	"29"	"1"	"3"	"2"	"4"	"1"	"2"	"4"	"125"	"5"	"9"	"248"
"273"	"246"	""	"58"	"6"	"13"	"28"	"169"	"5"	"0"	"1"	"2"	"3"	"6"	"4"	"9"	"10"	"11"	"325"
"274"	"247"	""	"48"	"8"	"10"	"134"	"30"	"5"	"0"	"1"	"4"	"0"	"3"	"3"	"13"	"0"	"3"	"262"
"275"	"248"	""	"4"	"49"	"6"	"76"	"122"	"3"	"1"	"1"	"5"	"4"	"4"	"4"	"12"	"8"	"4"	"303"
"276"	"249"	""	"4"	"7"	"24"	"62"	"148"	"2"	"0"	"2"	"2"	"12"	"9"	"10"	"14"	"186"	"4"	"486"
"277"	"250"	""	"6"	"13"	"86"	"98"	"38"	"3"	"0"	"3"	"7"	"4"	"3"	"9"	"6"	"23"	"4"	"303"
"278"	"251"	""	"1"	"0"	"2"	"16"	"86"	"1"	"1"	"4"	"0"	"1"	"0"	"0"	"7"	"115"	"4"	"238"
"279"	"252"	""	"7"	"41"	"6"	"32"	"108"	"2"	"1"	"2"	"5"	"5"	"2"	"5"	"1"	"2"	"2"	"221"
"280"	"253"	""	"222"	"62"	"8"	"59"	"265"	"19"	"5"	"1"	"2"	"9"	"7"	"3"	"9"	"58"	"9"	"738"
"281"	"254"	""	"4"	"103"	"10"	"109"	"64"	"3"	"1"	"0"	"2"	"8"	"4"	"3"	"2"	"54"	"8"	"375"
"282"	"255"	""	"32"	"15"	"19"	"29"	"307"	"7"	"2"	"3"	"2"	"4"	"4"	"5"	"6"	"20"	"4"	"459"
"283"	"256"	""	"16"	"20"	"6"	"84"	"417"	"12"	"7"	"2"	"4"	"10"	"6"	"2"	"3"	"7"	"7"	"603"
"284"	"257"	""	"29"	"16"	"3"	"50"	"607"	"11"	"1"	"4"	"8"	"9"	"7"	"8"	"41"	"18"	"10"	"822"
"285"	"258"	""	"3"	"14"	"2"	"151"	"282"	"3"	"4"	"5"	"3"	"12"	"7"	"3"	"3"	"1"	"5"	"498"
"286"	"259"	""	"6"	"16"	"0"	"209"	"8"	"2"	"3"	"1"	"3"	"1"	"5"	"7"	"3"	"1"	"2"	"267"
"287"	"260"	""	"14"	"8"	"7"	"108"	"5"	"1"	"1"	"5"	"0"	"2"	"4"	"2"	"10"	"210"	"0"	"377"
"288"	"261"	""	"89"	"13"	"0"	"79"	"247"	"2"	"10"	"5"	"1"	"5"	"1"	"0"	"1"	"12"	"1"	"466"
"289"	"262"	""	"86"	"11"	"25"	"64"	"231"	"12"	"2"	"5"	"5"	"8"	"4"	"2"	"2"	"14"	"4"	"475"
"290"	"263"	""	"3"	"8"	"2"	"58"	"468"	"8"	"2"	"3"	"1"	"3"	"2"	"2"	"3"	"2"	"4"	"569"
"291"	"264"	""	"6"	"65"	"8"	"47"	"288"	"12"	"2"	"1"	"6"	"11"	"7"	"6"	"11"	"15"	"7"	"492"
"292"	"265"	""	"5"	"8"	"12"	"154"	"130"	"5"	"2"	"3"	"4"	"3"	"5"	"5"	"1"	"17"	"2"	"356"
"293"	"266"	""	"13"	"13"	"42"	"134"	"138"	"3"	"2"	"7"	"5"	"6"	"6"	"5"	"62"	"20"	"15"	"471"
"294"	"267"	""	"3"	"24"	"1"	"88"	"72"	"4"	"1"	"3"	"2"	"1"	"4"	"4"	"34"	"2"	"7"	"250"
"295"	"268"	""	"9"	"44"	"12"	"172"	"128"	"4"	"8"	"3"	"11"	"8"	"4"	"7"	"13"	"25"	"2"	"450"
"296"	"269"	""	"17"	"4"	"40"	"101"	"173"	"5"	"3"	"5"	"7"	"8"	"5"	"3"	"8"	"13"	"3"	"395"
"297"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"298"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"299"	"270"	""	"6"	"9"	"2"	"154"	"58"	"4"	"1"	"5"	"1"	"7"	"6"	"5"	"3"	"5"	"11"	"277"
"300"	"271"	""	"11"	"3"	"6"	"176"	"61"	"7"	"6"	"7"	"12"	"3"	"1"	"6"	"11"	"5"	"3"	"318"
"301"	"272"	""	"8"	"4"	"31"	"58"	"415"	"5"	"4"	"3"	"1"	"12"	"8"	"7"	"2"	"15"	"9"	"582"
"302"	"273"	""	"1"	"37"	"9"	"88"	"230"	"31"	"2"	"2"	"4"	"15"	"20"	"7"	"7"	"13"	"11"	"477"
"303"	"274"	""	"47"	"32"	"3"	"126"	"163"	"8"	"1"	"6"	"2"	"6"	"2"	"3"	"2"	"4"	"6"	"411"
"304"	"275"	""	"11"	"66"	"40"	"62"	"297"	"7"	"1"	"3"	"6"	"9"	"8"	"5"	"7"	"39"	"10"	"571"
"305"	"276"	""	"2"	"28"	"4"	"169"	"340"	"7"	"0"	"1"	"2"	"7"	"6"	"4"	"5"	"9"	"3"	"587"
"306"	"277"	""	"1"	"5"	"2"	"55"	"238"	"4"	"1"	"1"	"1"	"8"	"4"	"1"	"19"	"6"	"1"	"347"
"307"	"278"	""	"8"	"11"	"5"	"128"	"176"	"5"	"6"	"3"	"2"	"11"	"7"	"10"	"6"	"7"	"10"	"395"
"308"	"279"	""	"6"	"7"	"0"	"5"	"171"	"7"	"3"	"1"	"2"	"10"	"0"	"1"	"52"	"5"	"2"	"272"
"309"	"280"	""	"19"	"12"	"3"	"297"	"223"	"8"	"2"	"4"	"5"	"10"	"9"	"15"	"16"	"15"	"18"	"656"
"310"	"281"	""	"11"	"20"	"16"	"154"	"230"	"14"	"3"	"9"	"22"	"9"	"12"	"4"	"65"	"10"	"9"	"588"
"311"	"282"	""	"10"	"0"	"1"	"258"	"9"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"283"
"312"	"283"	""	"7"	"5"	"0"	"129"	"166"	"4"	"0"	"2"	"2"	"4"	"4"	"4"	"9"	"1"	"2"	"339"
"313"	"284"	""	"94"	"13"	"5"	"165"	"50"	"6"	"13"	"13"	"13"	"8"	"2"	"4"	"9"	"2"	"7"	"404"
"314"	"285"	""	"171"	"8"	"3"	"64"	"54"	"0"	"3"	"5"	"4"	"4"	"5"	"6"	"6"	"3"	"14"	"350"
"315"	"286"	""	"337"	"24"	"3"	"99"	"88"	"6"	"2"	"5"	"7"	"10"	"4"	"14"	"6"	"6"	"5"	"616"
"316"	"287"	""	"69"	"28"	"2"	"77"	"138"	"6"	"3"	"0"	"1"	"1"	"9"	"8"	"5"	"1"	"2"	"350"
"317"	"288"	""	"71"	"6"	"1"	"18"	"72"	"6"	"14"	"1"	"12"	"3"	"11"	"4"	"54"	"4"	"15"	"292"
"318"	"289"	""	"171"	"8"	"5"	"33"	"47"	"2"	"2"	"2"	"2"	"2"	"2"	"0"	"1"	"2"	"3"	"282"
"319"	"290"	""	"114"	"11"	"20"	"23"	"187"	"4"	"1"	"4"	"11"	"11"	"8"	"3"	"13"	"0"	"10"	"420"
"320"	"291"	""	"44"	"2"	"0"	"100"	"61"	"1"	"0"	"0"	"1"	"3"	"4"	"2"	"7"	"2"	"0"	"227"
"321"	"292"	""	"0"	"9"	"1"	"26"	"100"	"4"	"4"	"0"	"0"	"1"	"1"	"1"	"154"	"3"	"2"	"306"
"322"	"293"	""	"57"	"11"	"4"	"95"	"454"	"7"	"5"	"5"	"7"	"14"	"18"	"9"	"11"	"9"	"11"	"717"
"323"	"294"	""	"5"	"51"	"3"	"28"	"256"	"5"	"1"	"2"	"3"	"6"	"10"	"11"	"17"	"3"	"9"	"410"
"324"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"325"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"326"	"295"	""	"3"	"3"	"0"	"168"	"45"	"1"	"0"	"0"	"3"	"0"	"3"	"3"	"2"	"0"	"2"	"233"
"327"	"296"	""	"21"	"67"	"11"	"82"	"183"	"7"	"3"	"4"	"7"	"10"	"16"	"3"	"8"	"6"	"7"	"435"
"328"	"297"	""	"71"	"7"	"2"	"31"	"224"	"9"	"3"	"2"	"1"	"7"	"5"	"5"	"4"	"2"	"9"	"382"
"329"	"298"	""	"19"	"3"	"2"	"51"	"269"	"4"	"0"	"2"	"4"	"6"	"4"	"1"	"3"	"5"	"2"	"375"
"330"	"299"	""	"7"	"5"	"4"	"99"	"125"	"3"	"0"	"4"	"3"	"6"	"5"	"4"	"16"	"1"	"3"	"285"
"331"	"Total"	""	"8155"	"4419"	"3324"	"35326"	"46762"	"1411"	"757"	"929"	"1458"	"1914"	"1965"	"1704"	"8115"	"2469"	"1948"	"120656"
"332"	"POSTAL BALLOT"	""	"0"	"0"	"0"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"16"
"333"	"Grand Total"	""	"8155"	"4419"	"3324"	"35331"	"46767"	"1411"	"757"	"929"	"1458"	"1914"	"1965"	"1704"	"8121"	"2469"	"1948"	"120672"
