"Rounnd.No.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"                                                                                                           final result sheet                                                                                                            "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assmebly from the ………212 Dehri Assembly….Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"part-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency…231642………...-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"8"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"139"	"12"	"93"	"186"	"35"	"194"	"7"	"4"	"12"	"1"	"0"	"1"	"1"	"1"	"2"	"162"	"19"	"8"	"15"	"648"	""	"648"	""
"140"	"13"	"94"	"93"	"68"	"52"	"4"	"2"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"87"	"4"	"2"	"0"	"317"	""	"317"	""
"141"	"14"	"95"	"54"	"8"	"187"	"17"	"1"	"0"	"2"	"0"	"1"	"1"	"2"	"4"	"189"	"6"	"1"	"3"	"476"	""	"476"	""
"142"	""	"Total"	"2159"	"335"	"2161"	"105"	"52"	"258"	"28"	"17"	"33"	"32"	"74"	"59"	"2054"	"659"	"63"	"200"	"8289"	"0"	"8289"	""
"143"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"part-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Total No. of Electors in Assembly Constituency :-231642...-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"148"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"149"	"1"	"95 A"	"26"	"21"	"246"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"172"	"11"	"4"	"12"	"502"	""	"502"	""
"150"	"2"	"96"	"224"	"15"	"119"	"3"	"7"	"2"	"5"	"2"	"9"	"2"	"1"	"2"	"192"	"77"	"2"	"9"	"671"	""	"671"	""
"151"	"3"	"97"	"126"	"14"	"122"	"1"	"4"	"2"	"2"	"0"	"2"	"2"	"5"	"8"	"302"	"33"	"5"	"12"	"640"	""	"640"	""
"152"	"4"	"98"	"129"	"39"	"141"	"12"	"10"	"3"	"4"	"5"	"2"	"3"	"6"	"4"	"241"	"15"	"8"	"15"	"637"	""	"637"	""
"153"	"5"	"99"	"152"	"21"	"170"	"4"	"9"	"4"	"0"	"6"	"1"	"3"	"1"	"4"	"125"	"130"	"2"	"9"	"641"	""	"641"	""
"154"	"6"	"100"	"11"	"5"	"382"	"5"	"3"	"1"	"0"	"0"	"1"	"2"	"0"	"2"	"32"	"32"	"3"	"10"	"489"	""	"489"	""
"155"	"7"	"101"	"41"	"76"	"157"	"23"	"2"	"0"	"3"	"1"	"0"	"1"	"1"	"6"	"130"	"11"	"12"	"23"	"487"	""	"487"	""
"156"	"8"	"102"	"221"	"1"	"27"	"9"	"6"	"33"	"0"	"0"	"2"	"8"	"15"	"4"	"307"	"20"	"3"	"11"	"667"	""	"667"	""
"157"	"9"	"103"	"127"	"3"	"149"	"1"	"5"	"9"	"2"	"0"	"1"	"3"	"3"	"4"	"96"	"35"	"1"	"7"	"446"	""	"446"	""
"158"	"10"	"103 A"	"71"	"3"	"62"	"3"	"3"	"5"	"0"	"2"	"1"	"1"	"3"	"3"	"343"	"4"	"3"	"11"	"518"	""	"518"	""
"159"	"11"	"104"	"48"	"9"	"10"	"6"	"1"	"66"	"2"	"1"	"0"	"4"	"18"	"4"	"228"	"16"	"1"	"19"	"433"	""	"433"	""
"160"	"12"	"105"	"51"	"1"	"55"	"3"	"2"	"18"	"0"	"0"	"0"	"0"	"4"	"1"	"118"	"2"	"0"	"1"	"256"	""	"256"	""
"161"	"13"	"106"	"132"	"11"	"366"	"23"	"6"	"120"	"2"	"2"	"3"	"6"	"26"	"4"	"73"	"52"	"1"	"13"	"840"	""	"840"	""
"162"	"14"	"107"	"65"	"3"	"133"	"2"	"4"	"68"	"3"	"0"	"3"	"2"	"3"	"55"	"27"	"78"	"1"	"5"	"452"	""	"452"	""
"163"	""	"Total"	"1424"	"222"	"2139"	"100"	"63"	"332"	"24"	"19"	"25"	"37"	"87"	"102"	"2386"	"516"	"46"	"157"	"7679"	"0"	"7679"	""
"164"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"167"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"168"	"1"	"108"	"386"	"9"	"205"	"16"	"2"	"56"	"4"	"2"	"7"	"3"	"10"	"15"	"27"	"33"	"3"	"14"	"792"	""	"792"	""
"169"	"2"	"109"	"313"	"4"	"121"	"12"	"6"	"2"	"2"	"2"	"5"	"2"	"0"	"4"	"47"	"4"	"1"	"18"	"543"	""	"543"	""
"170"	"3"	"110"	"244"	"6"	"47"	"3"	"2"	"1"	"0"	"1"	"3"	"1"	"2"	"3"	"119"	"3"	"1"	"15"	"451"	""	"451"	""
"171"	"4"	"111"	"160"	"7"	"137"	"0"	"2"	"0"	"0"	"1"	"7"	"0"	"0"	"2"	"108"	"17"	"0"	"4"	"445"	""	"445"	""
"172"	"5"	"112"	"174"	"1"	"60"	"0"	"2"	"2"	"1"	"0"	"1"	"2"	"0"	"7"	"173"	"2"	"3"	"10"	"438"	""	"438"	""
"173"	"6"	"113"	"22"	"0"	"459"	"4"	"1"	"1"	"1"	"1"	"0"	"2"	"0"	"0"	"44"	"10"	"1"	"7"	"553"	""	"553"	""
"174"	"7"	"114"	"110"	"8"	"431"	"11"	"11"	"3"	"1"	"2"	"2"	"1"	"1"	"0"	"60"	"21"	"2"	"14"	"678"	""	"678"	""
"175"	"8"	"115"	"296"	"4"	"147"	"3"	"2"	"4"	"1"	"4"	"0"	"4"	"2"	"6"	"154"	"51"	"8"	"15"	"701"	""	"701"	""
"176"	"9"	"116"	"90"	"2"	"203"	"36"	"5"	"2"	"0"	"4"	"1"	"0"	"3"	"1"	"61"	"42"	"0"	"7"	"457"	""	"457"	""
"177"	"10"	"117"	"134"	"6"	"71"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"217"	"10"	"3"	"4"	"457"	""	"457"	""
"178"	"11"	"118"	"95"	"6"	"207"	"2"	"1"	"1"	"5"	"0"	"3"	"1"	"0"	"9"	"273"	"57"	"0"	"5"	"665"	""	"665"	""
"179"	"12"	"119"	"173"	"8"	"84"	"2"	"5"	"1"	"2"	"3"	"1"	"0"	"1"	"5"	"342"	"1"	"1"	"8"	"637"	""	"637"	""
"180"	"13"	"120"	"26"	"4"	"101"	"8"	"1"	"8"	"1"	"1"	"0"	"1"	"0"	"7"	"316"	"15"	"1"	"5"	"495"	""	"495"	""
"181"	"14"	"121"	"14"	"7"	"447"	"8"	"3"	"9"	"4"	"1"	"2"	"0"	"3"	"1"	"52"	"13"	"0"	"9"	"573"	""	"573"	""
"182"	""	"Total"	"2237"	"72"	"2720"	"109"	"45"	"91"	"22"	"22"	"32"	"17"	"23"	"64"	"1993"	"279"	"24"	"135"	"7885"	"0"	"7885"	""
"183"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"186"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"187"	"1"	"122"	"8"	"4"	"20"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"206"	"11"	"2"	"4"	"266"	""	"266"	""
"188"	"2"	"123"	"60"	"6"	"41"	"2"	"10"	"177"	"2"	"3"	"8"	"5"	"29"	"7"	"172"	"32"	"2"	"10"	"566"	""	"566"	""
"189"	"3"	"124"	"96"	"14"	"250"	"14"	"5"	"25"	"0"	"3"	"0"	"2"	"4"	"3"	"117"	"18"	"2"	"13"	"566"	""	"566"	""
"190"	"4"	"125"	"97"	"14"	"198"	"3"	"4"	"5"	"1"	"2"	"3"	"2"	"3"	"4"	"211"	"29"	"5"	"19"	"600"	""	"600"	""
"191"	"5"	"126"	"232"	"17"	"27"	"4"	"4"	"17"	"3"	"3"	"0"	"0"	"8"	"2"	"92"	"140"	"5"	"16"	"570"	""	"570"	""
"192"	"6"	"127"	"158"	"11"	"222"	"9"	"7"	"15"	"1"	"4"	"0"	"1"	"5"	"3"	"210"	"75"	"7"	"12"	"740"	""	"740"	""
"193"	"7"	"128"	"68"	"1"	"167"	"5"	"7"	"2"	"2"	"2"	"1"	"2"	"0"	"6"	"358"	"9"	"0"	"5"	"635"	""	"635"	""
"194"	"8"	"128 A"	"43"	"2"	"78"	"2"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"4"	"254"	"5"	"5"	"12"	"410"	""	"410"	""
"195"	"9"	"129"	"122"	"12"	"189"	"5"	"9"	"5"	"0"	"4"	"2"	"2"	"1"	"2"	"252"	"26"	"3"	"12"	"646"	""	"646"	""
"196"	"10"	"130"	"94"	"5"	"84"	"12"	"12"	"15"	"4"	"5"	"8"	"2"	"0"	"3"	"236"	"114"	"7"	"1"	"602"	""	"602"	""
"197"	"11"	"131"	"131"	"10"	"172"	"2"	"1"	"1"	"0"	"2"	"0"	"2"	"0"	"5"	"122"	"57"	"2"	"8"	"515"	""	"515"	""
"198"	"12"	"132"	"189"	"140"	"223"	"14"	"6"	"2"	"1"	"0"	"0"	"1"	"0"	"2"	"50"	"12"	"5"	"8"	"653"	""	"653"	""
"199"	"13"	"133"	"150"	"38"	"308"	"9"	"9"	"1"	"2"	"1"	"0"	"1"	"2"	"2"	"202"	"18"	"5"	"15"	"763"	""	"763"	""
"200"	"14"	"134"	"17"	"19"	"197"	"7"	"4"	"2"	"0"	"3"	"4"	"0"	"1"	"3"	"242"	"26"	"5"	"10"	"540"	""	"540"	""
"201"	""	"Total"	"1465"	"293"	"2176"	"96"	"80"	"268"	"16"	"32"	"28"	"20"	"55"	"47"	"2724"	"572"	"55"	"145"	"8072"	"0"	"8072"	""
"202"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"205"	""	"Polling Station"	"Awadhesh Narayan
Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar
Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar
Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar
Dubey"	"Krishna Prasad
Singh"	"Jyoti Rashmi"	"Phate Bahadur
Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"206"	"1"	"135"	"37"	"5"	"77"	"7"	"2"	"0"	"0"	"0"	"2"	"1"	"1"	"2"	"299"	"15"	"2"	"12"	"462"	""	"462"	""
"207"	"2"	"136"	"80"	"15"	"161"	"7"	"12"	"1"	"1"	"3"	"2"	"4"	"2"	"9"	"398"	"6"	"4"	"6"	"711"	""	"711"	""
"208"	"3"	"137"	"31"	"3"	"29"	"2"	"1"	"2"	"0"	"1"	"0"	"3"	"0"	"0"	"161"	"5"	"1"	"2"	"241"	""	"241"	""
"209"	"4"	"138"	"90"	"19"	"83"	"20"	"10"	"5"	"0"	"1"	"0"	"2"	"3"	"5"	"275"	"21"	"5"	"5"	"544"	""	"544"	""
"210"	"5"	"139"	"140"	"11"	"48"	"2"	"1"	"4"	"1"	"2"	"1"	"2"	"2"	"6"	"409"	"6"	"1"	"8"	"644"	""	"644"	""
"211"	"6"	"140"	"134"	"5"	"39"	"2"	"1"	"1"	"1"	"1"	"5"	"3"	"0"	"6"	"415"	"6"	"5"	"9"	"633"	""	"633"	""
"212"	"7"	"141"	"56"	"9"	"192"	"4"	"1"	"1"	"0"	"0"	"3"	"1"	"0"	"2"	"178"	"9"	"1"	"6"	"463"	""	"463"	""
"213"	"8"	"142"	"28"	"12"	"210"	"7"	"1"	"1"	"3"	"3"	"3"	"2"	"3"	"3"	"233"	"10"	"4"	"16"	"539"	""	"539"	""
"214"	"9"	"143"	"167"	"3"	"216"	"9"	"11"	"1"	"3"	"4"	"3"	"1"	"4"	"11"	"392"	"23"	"6"	"13"	"867"	""	"867"	""
"215"	"10"	"144"	"165"	"3"	"22"	"5"	"4"	"1"	"0"	"0"	"1"	"1"	"3"	"5"	"334"	"3"	"3"	"5"	"555"	""	"555"	""
"216"	"11"	"145"	"234"	"0"	"79"	"5"	"5"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"206"	"13"	"3"	"10"	"561"	""	"561"	""
"217"	"12"	"146"	"187"	"2"	"25"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"48"	"8"	"0"	"4"	"277"	""	"277"	""
"218"	"13"	"147"	"85"	"17"	"260"	"11"	"9"	"3"	"3"	"0"	"1"	"4"	"2"	"6"	"306"	"13"	"4"	"13"	"737"	""	"737"	""
"219"	"14"	"148"	"103"	"7"	"2"	"1"	"5"	"1"	"0"	"1"	"2"	"1"	"2"	"5"	"218"	"16"	"4"	"3"	"371"	""	"371"	""
"220"	""	"Total"	"1537"	"111"	"1443"	"82"	"65"	"21"	"13"	"16"	"23"	"27"	"23"	"63"	"3872"	"154"	"43"	"112"	"7605"	"0"	"7605"	""
"221"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"224"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"225"	"1"	"149"	"102"	"5"	"164"	"2"	"4"	"7"	"3"	"4"	"2"	"1"	"3"	"2"	"274"	"17"	"2"	"8"	"600"	""	"600"	""
"226"	"2"	"150"	"107"	"9"	"212"	"5"	"6"	"4"	"0"	"0"	"0"	"4"	"1"	"3"	"212"	"9"	"4"	"14"	"590"	""	"590"	""
"227"	"3"	"151"	"225"	"8"	"41"	"2"	"3"	"5"	"2"	"1"	"1"	"0"	"1"	"2"	"190"	"19"	"2"	"4"	"506"	""	"506"	""
"228"	"4"	"152"	"78"	"3"	"34"	"0"	"1"	"15"	"0"	"1"	"1"	"1"	"0"	"0"	"232"	"1"	"0"	"2"	"369"	""	"369"	""
"229"	"5"	"153"	"124"	"13"	"55"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"5"	"181"	"4"	"1"	"11"	"400"	""	"400"	""
"230"	"6"	"154"	"125"	"15"	"130"	"8"	"5"	"1"	"1"	"1"	"0"	"2"	"2"	"3"	"343"	"17"	"5"	"18"	"676"	""	"676"	""
"231"	"7"	"155"	"117"	"4"	"51"	"2"	"0"	"0"	"3"	"4"	"1"	"0"	"0"	"3"	"102"	"7"	"2"	"5"	"301"	""	"301"	""
"232"	"8"	"156"	"68"	"2"	"36"	"0"	"1"	"6"	"0"	"1"	"1"	"1"	"0"	"3"	"83"	"9"	"0"	"2"	"213"	""	"213"	""
"233"	"9"	"157"	"95"	"8"	"79"	"1"	"0"	"0"	"2"	"1"	"2"	"0"	"0"	"2"	"169"	"7"	"0"	"4"	"370"	""	"370"	""
"234"	"10"	"158"	"152"	"9"	"65"	"14"	"3"	"2"	"2"	"5"	"2"	"2"	"3"	"6"	"171"	"7"	"6"	"14"	"463"	""	"463"	""
"235"	"11"	"159"	"144"	"4"	"114"	"2"	"5"	"5"	"1"	"2"	"3"	"1"	"3"	"6"	"314"	"13"	"1"	"12"	"630"	""	"630"	""
"236"	"12"	"160"	"244"	"9"	"53"	"1"	"0"	"5"	"0"	"5"	"1"	"0"	"1"	"1"	"144"	"3"	"0"	"5"	"472"	""	"472"	""
"237"	"13"	"161"	"346"	"3"	"38"	"0"	"0"	"0"	"1"	"3"	"1"	"1"	"2"	"3"	"97"	"2"	"1"	"4"	"502"	""	"502"	""
"238"	"14"	"162"	"125"	"10"	"281"	"9"	"2"	"3"	"1"	"11"	"2"	"5"	"1"	"4"	"109"	"13"	"1"	"9"	"586"	""	"586"	""
"239"	""	"Total"	"2052"	"102"	"1353"	"47"	"30"	"54"	"16"	"40"	"17"	"20"	"18"	"43"	"2621"	"128"	"25"	"112"	"6678"	"0"	"6678"	""
"240"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"243"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"244"	"1"	"163"	"118"	"2"	"64"	"3"	"6"	"2"	"1"	"3"	"2"	"1"	"1"	"3"	"178"	"7"	"2"	"9"	"402"	""	"402"	""
"245"	"2"	"164"	"248"	"5"	"35"	"1"	"2"	"4"	"2"	"1"	"1"	"0"	"2"	"3"	"145"	"28"	"1"	"12"	"490"	""	"490"	""
"246"	"3"	"165"	"182"	"4"	"18"	"3"	"1"	"5"	"0"	"5"	"0"	"0"	"2"	"3"	"189"	"10"	"3"	"4"	"429"	""	"429"	""
"247"	"4"	"166"	"239"	"14"	"55"	"1"	"2"	"25"	"4"	"1"	"1"	"4"	"2"	"8"	"210"	"13"	"2"	"5"	"586"	""	"586"	""
"248"	"5"	"167"	"17"	"8"	"170"	"1"	"0"	"1"	"5"	"3"	"0"	"2"	"1"	"3"	"207"	"8"	"3"	"9"	"438"	""	"438"	""
"249"	"6"	"168"	"98"	"3"	"38"	"2"	"1"	"3"	"1"	"2"	"0"	"3"	"1"	"4"	"210"	"6"	"2"	"4"	"378"	""	"378"	""
"250"	"7"	"169"	"37"	"6"	"122"	"8"	"4"	"0"	"3"	"2"	"1"	"3"	"2"	"6"	"490"	"12"	"0"	"9"	"705"	""	"705"	""
"251"	"8"	"170"	"37"	"2"	"65"	"2"	"6"	"6"	"1"	"6"	"3"	"2"	"2"	"3"	"376"	"12"	"2"	"7"	"532"	""	"532"	""
"252"	"9"	"171"	"19"	"2"	"15"	"3"	"7"	"3"	"0"	"1"	"0"	"0"	"0"	"8"	"242"	"14"	"0"	"3"	"317"	""	"317"	""
"253"	"10"	"172"	"97"	"26"	"164"	"3"	"2"	"2"	"0"	"4"	"0"	"3"	"1"	"4"	"311"	"35"	"4"	"9"	"665"	""	"665"	""
"254"	"11"	"173"	"72"	"10"	"55"	"4"	"0"	"0"	"1"	"4"	"0"	"1"	"1"	"2"	"215"	"17"	"3"	"5"	"390"	""	"390"	""
"255"	"12"	"174"	"97"	"6"	"75"	"2"	"3"	"3"	"3"	"3"	"3"	"7"	"2"	"7"	"404"	"14"	"3"	"4"	"636"	""	"636"	""
"256"	"13"	"175"	"76"	"12"	"69"	"1"	"4"	"2"	"2"	"0"	"0"	"1"	"1"	"1"	"238"	"27"	"0"	"3"	"437"	""	"437"	""
"257"	"14"	"176"	"86"	"27"	"35"	"7"	"7"	"4"	"4"	"0"	"0"	"1"	"2"	"6"	"302"	"22"	"3"	"4"	"510"	""	"510"	""
"258"	""	"Total"	"1423"	"127"	"980"	"41"	"45"	"60"	"27"	"35"	"11"	"28"	"20"	"61"	"3717"	"225"	"28"	"87"	"6915"	"0"	"6915"	""
"259"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"262"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"263"	"1"	"177"	"121"	"36"	"26"	"3"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"5"	"306"	"41"	"0"	"10"	"552"	""	"552"	""
"264"	"2"	"178"	"103"	"23"	"90"	"1"	"1"	"2"	"1"	"2"	"3"	"0"	"1"	"4"	"441"	"46"	"4"	"10"	"732"	""	"732"	""
"265"	"3"	"179"	"35"	"43"	"57"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"79"	"8"	"0"	"0"	"227"	""	"227"	""
"266"	"4"	"180"	"131"	"8"	"31"	"7"	"5"	"1"	"2"	"2"	"2"	"0"	"2"	"2"	"365"	"15"	"3"	"3"	"579"	""	"579"	""
"267"	"5"	"181"	"35"	"18"	"39"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"9"	"0"	"0"	"199"	""	"199"	""
"268"	"6"	"182"	"127"	"28"	"154"	"13"	"8"	"34"	"5"	"2"	"2"	"3"	"10"	"5"	"347"	"8"	"2"	"13"	"761"	""	"761"	""
"269"	"7"	"183"	"274"	"12"	"36"	"5"	"6"	"2"	"0"	"3"	"2"	"12"	"1"	"0"	"245"	"5"	"1"	"8"	"612"	""	"612"	""
"270"	"8"	"184"	"82"	"28"	"206"	"5"	"1"	"2"	"0"	"0"	"1"	"3"	"2"	"3"	"195"	"8"	"3"	"16"	"555"	""	"555"	""
"271"	"9"	"185"	"92"	"26"	"122"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"61"	"8"	"1"	"5"	"319"	""	"319"	""
"272"	"10"	"186"	"30"	"56"	"241"	"3"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"18"	"11"	"1"	"6"	"370"	""	"370"	""
"273"	"11"	"187"	"72"	"6"	"36"	"2"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"123"	"4"	"0"	"1"	"249"	""	"249"	""
"274"	"12"	"188"	"156"	"5"	"46"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"203"	"9"	"0"	"2"	"426"	""	"426"	""
"275"	"13"	"189"	"78"	"4"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"95"	"1"	"0"	"0"	"188"	""	"188"	""
