"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 122-Sonepur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :122-Sonepur                                                                                        No of Voters :223186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Candidates
Name
"130"	"10"	"55"	""	""	"401"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"15"	""	""	"4"	""	""	"10"	""	""	"498"	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"1"	"11"	""	""	"465"	""	""	"3"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"481"	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"12"	"20"	""	""	"411"	""	""	"8"	""	""	"2"	""	""	"0"	""	""	"5"	""	""	"6"	""	""	"2"	""	""	"2"	""	""	"468"	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"14"	"87"	""	""	"413"	""	""	"6"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"14"	""	""	"8"	""	""	"20"	""	""	"566"	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"10"	"236"	""	""	"165"	""	""	"6"	""	""	"0"	""	""	"1"	""	""	"10"	""	""	"4"	""	""	"2"	""	""	"3"	""	""	"437"	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"18"	"380"	""	""	"219"	""	""	"7"	""	""	"2"	""	""	"5"	""	""	"2"	""	""	"10"	""	""	"12"	""	""	"14"	""	""	"669"	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"9"	"171"	""	""	"405"	""	""	"10"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"19"	""	""	"11"	""	""	"13"	""	""	"645"	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"7"	"265"	""	""	"25"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	"6"	""	""	"11"	""	""	"318"	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"15"	"281"	""	""	"256"	""	""	"8"	""	""	"4"	""	""	"3"	""	""	"1"	""	""	"15"	""	""	"6"	""	""	"13"	""	""	"602"	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"13"	"272"	""	""	"286"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"7"	""	""	"19"	""	""	"18"	""	""	"25"	""	""	"658"	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"4"	"83"	""	""	"599"	""	""	"5"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"13"	""	""	"4"	""	""	"5"	""	""	"714"	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"30"	"376"	""	""	"323"	""	""	"12"	""	""	"4"	""	""	"4"	""	""	"2"	""	""	"17"	""	""	"7"	""	""	"20"	""	""	"795"	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"27"	"299"	""	""	"183"	""	""	"8"	""	""	"4"	""	""	"3"	""	""	"7"	""	""	"13"	""	""	"14"	""	""	"20"	""	""	"578"	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"13"	"211"	""	""	"465"	""	""	"10"	""	""	"4"	""	""	"7"	""	""	"1"	""	""	"18"	""	""	"8"	""	""	"15"	""	""	"752"	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"5"	"87"	""	""	"368"	""	""	"9"	""	""	"4"	""	""	"3"	""	""	"0"	""	""	"12"	""	""	"4"	""	""	"7"	""	""	"499"	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"18"	"67"	""	""	"579"	""	""	"8"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"11"	""	""	"5"	""	""	"9"	""	""	"702"	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"19"	"152"	""	""	"342"	""	""	"7"	""	""	"2"	""	""	"1"	""	""	"7"	""	""	"15"	""	""	"8"	""	""	"14"	""	""	"567"	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"27"	"219"	""	""	"358"	""	""	"62"	""	""	"7"	""	""	"7"	""	""	"7"	""	""	"10"	""	""	"9"	""	""	"64"	""	""	"770"	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"10"	"129"	""	""	"349"	""	""	"3"	""	""	"3"	""	""	"0"	""	""	"2"	""	""	"8"	""	""	"1"	""	""	"3"	""	""	"508"	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"13"	"370"	""	""	"67"	""	""	"3"	""	""	"4"	""	""	"3"	""	""	"3"	""	""	"6"	""	""	"17"	""	""	"11"	""	""	"497"	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"11"	"291"	""	""	"90"	""	""	"3"	""	""	"0"	""	""	"31"	""	""	"6"	""	""	"6"	""	""	"11"	""	""	"6"	""	""	"455"	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"10"	"82"	""	""	"495"	""	""	"10"	""	""	"0"	""	""	"5"	""	""	"2"	""	""	"13"	""	""	"1"	""	""	"7"	""	""	"625"	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"77"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"78"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"79"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"81"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"82"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"83"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"84"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"85"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"86"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"87"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"88"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"89"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"91"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"92"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"93"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"94"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"95"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"96"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"97"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"98"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"99"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"103"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"105"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"6"	"259"	""	""	"45"	""	""	"4"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"3"	""	""	"1"	""	""	"9"	""	""	"330"	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"10"	"156"	""	""	"380"	""	""	"5"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"8"	""	""	"2"	""	""	"5"	""	""	"568"	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"7"	"82"	""	""	"116"	""	""	"8"	""	""	"4"	""	""	"1"	""	""	"2"	""	""	"8"	""	""	"1"	""	""	"4"	""	""	"233"	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"12"	"83"	""	""	"255"	""	""	"7"	""	""	"4"	""	""	"1"	""	""	"1"	""	""	"12"	""	""	"3"	""	""	"6"	""	""	"384"	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"11"	"153"	""	""	"222"	""	""	"16"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"8"	""	""	"416"	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"19"	"128"	""	""	"254"	""	""	"10"	""	""	"0"	""	""	"2"	""	""	"1"	""	""	"4"	""	""	"5"	""	""	"9"	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"7"	"107"	""	""	"274"	""	""	"4"	""	""	"1"	""	""	"0"	""	""	"3"	""	""	"6"	""	""	"5"	""	""	"5"	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"14"	"84"	""	""	"351"	""	""	"7"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	"20"	""	""	"2"	""	""	"12"	""	""	"496"	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"5"	"46"	""	""	"542"	""	""	"10"	""	""	"3"	""	""	"2"	""	""	"2"	""	""	"16"	""	""	"2"	""	""	"3"	""	""	"631"	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"17"	"166"	""	""	"449"	""	""	"12"	""	""	"7"	""	""	"3"	""	""	"7"	""	""	"15"	""	""	"4"	""	""	"6"	""	""	"686"	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"4"	"86"	""	""	"383"	""	""	"2"	""	""	"2"	""	""	"0"	""	""	"3"	""	""	"9"	""	""	"4"	""	""	"1"	""	""	"494"	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"10"	"221"	""	""	"390"	""	""	"5"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	"11"	""	""	"6"	""	""	"11"	""	""	"660"	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"4"	"25"	""	""	"292"	""	""	"4"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"328"	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"26"	"251"	""	""	"377"	""	""	"20"	""	""	"5"	""	""	"4"	""	""	"3"	""	""	"11"	""	""	"9"	""	""	"14"	""	""	"720"	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"3"	"68"	""	""	"297"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"379"	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"9"	"59"	""	""	"412"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"10"	""	""	"8"	""	""	"12"	""	""	"518"	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"12"	"96"	""	""	"369"	""	""	"15"	""	""	"7"	""	""	"6"	""	""	"3"	""	""	"17"	""	""	"8"	""	""	"21"	""	""	"554"	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"28"	"335"	""	""	"307"	""	""	"14"	""	""	"7"	""	""	"22"	""	""	"15"	""	""	"13"	""	""	"12"	""	""	"12"	""	""	"765"	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"14"	"160"	""	""	"475"	""	""	"10"	""	""	"2"	""	""	"21"	""	""	"10"	""	""	"15"	""	""	"6"	""	""	"8"	""	""	"721"	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"14"	"46"	""	""	"691"	""	""	"9"	""	""	"5"	""	""	"0"	""	""	"1"	""	""	"10"	""	""	"3"	""	""	"12"	""	""	"791"	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"27"	"165"	""	""	"367"	""	""	"12"	""	""	"0"	""	""	"3"	""	""	"4"	""	""	"14"	""	""	"12"	""	""	"17"	""	""	"621"	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"16"	"185"	""	""	"368"	""	""	"9"	""	""	"0"	""	""	"6"	""	""	"0"	""	""	"11"	""	""	"7"	""	""	"12"	""	""	"614"	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"20"	"106"	""	""	"262"	""	""	"7"	""	""	"3"	""	""	"1"	""	""	"1"	""	""	"4"	""	""	"7"	""	""	"8"	""	""	"419"	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"17"	"301"	""	""	"212"	""	""	"6"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"8"	""	""	"2"	""	""	"4"	""	""	"553"	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"17"	"201"	""	""	"144"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"4"	""	""	"0"	""	""	"2"	""	""	"375"	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"21"	"359"	""	""	"289"	""	""	"12"	""	""	"4"	""	""	"4"	""	""	"11"	""	""	"27"	""	""	"25"	""	""	"25"	""	""	"777"	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"27"	"261"	""	""	"227"	""	""	"12"	""	""	"4"	""	""	"22"	""	""	"7"	""	""	"22"	""	""	"18"	""	""	"31"	""	""	"631"	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"18"	"205"	""	""	"328"	""	""	"8"	""	""	"5"	""	""	"16"	""	""	"13"	""	""	"79"	""	""	"6"	""	""	"30"	""	""	"708"	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"12"	"357"	""	""	"71"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	"448"	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"12"	"47"	""	""	"329"	""	""	"3"	""	""	"0"	""	""	"6"	""	""	"1"	""	""	"16"	""	""	"2"	""	""	"3"	""	""	"419"	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"6"	"123"	""	""	"143"	""	""	"10"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"4"	""	""	"0"	""	""	"6"	""	""	"296"	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"107"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"108"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"109"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"110"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"111"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"111"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"112"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"113"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"114"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"115"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"116"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"117"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"118"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"119"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"121"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"123"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"124"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"125"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"126"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"127"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"128"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"129"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"130"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"131"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"132"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"133"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"134"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"135"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"136"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"13"	"192"	""	""	"420"	""	""	"5"	""	""	"2"	""	""	"4"	""	""	"11"	""	""	"23"	""	""	"6"	""	""	"13"	""	""	"689"	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"13"	"187"	""	""	"253"	""	""	"6"	""	""	"14"	""	""	"3"	""	""	"3"	""	""	"20"	""	""	"16"	""	""	"38"	""	""	"553"	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"3"	"144"	""	""	"17"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	"4"	""	""	"174"	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"14"	"112"	""	""	"559"	""	""	"18"	""	""	"1"	""	""	"2"	""	""	"7"	""	""	"19"	""	""	"10"	""	""	"20"	""	""	"762"	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"13"	"150"	""	""	"239"	""	""	"12"	""	""	"3"	""	""	"0"	""	""	"5"	""	""	"13"	""	""	"2"	""	""	"10"	""	""	"447"	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"7"	"184"	""	""	"174"	""	""	"6"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"5"	""	""	"2"	""	""	"7"	""	""	"389"	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"8"	"68"	""	""	"393"	""	""	"10"	""	""	"6"	""	""	"5"	""	""	"2"	""	""	"8"	""	""	"5"	""	""	"7"	""	""	"512"	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"16"	"68"	""	""	"452"	""	""	"14"	""	""	"2"	""	""	"9"	""	""	"0"	""	""	"9"	""	""	"3"	""	""	"9"	""	""	"582"	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"1"	"116"	""	""	"234"	""	""	"4"	""	""	"0"	""	""	"6"	""	""	"2"	""	""	"8"	""	""	"7"	""	""	"6"	""	""	"384"	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"4"	"92"	""	""	"420"	""	""	"11"	""	""	"3"	""	""	"6"	""	""	"1"	""	""	"28"	""	""	"3"	""	""	"18"	""	""	"586"	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"13"	"504"	""	""	"25"	""	""	"4"	""	""	"5"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	"2"	""	""	"3"	""	""	"562"	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"24"	"331"	""	""	"213"	""	""	"14"	""	""	"2"	""	""	"13"	""	""	"10"	""	""	"19"	""	""	"16"	""	""	"30"	""	""	"672"	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"23"	"194"	""	""	"112"	""	""	"23"	""	""	"3"	""	""	"4"	""	""	"4"	""	""	"3"	""	""	"7"	""	""	"15"	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"16"	"115"	""	""	"412"	""	""	"18"	""	""	"0"	""	""	"0"	""	""	"11"	""	""	"11"	""	""	"3"	""	""	"10"	""	""	"596"	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"1"	"34"	""	""	"302"	""	""	"12"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"352"	""	""	""	""	""	""	""	""	""	""	""	""	""
