"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"130"	"94"	"60"	"4"	"132"	"93"	"8"	"2"	"4"	"2"	"7"	"285"	"2"	"1"	"4"	"3"	"1"	"1"	"4"	"3"	"616"	"0"	"616"	""
"131"	"TOTAL"	"7048"	"4186"	"17025"	"14815"	"511"	"178"	"783"	"352"	"386"	"1836"	"258"	"236"	"755"	"901"	"1334"	"759"	"206"	"235"	"51804"	"0"	"51804"	""
"132"	"B.F."	"7048"	"4186"	"17025"	"14815"	"511"	"178"	"783"	"352"	"386"	"1836"	"258"	"236"	"755"	"901"	"1334"	"759"	"206"	"235"	"51804"	"0"	"51804"	""
"133"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"135"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"136"	"94 A"	"16"	"68"	"39"	"146"	"2"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"4"	"4"	"3"	"2"	"2"	"1"	"292"	"0"	"292"	""
"137"	"95"	"27"	"36"	"56"	"145"	"2"	"2"	"4"	"2"	"4"	"7"	"1"	"7"	"12"	"5"	"28"	"14"	"1"	"0"	"353"	"0"	"353"	""
"138"	"96"	"4"	"3"	"164"	"95"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"4"	"0"	"2"	"1"	"0"	"0"	"277"	"0"	"277"	""
"139"	"97"	"182"	"7"	"62"	"12"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"268"	"0"	"268"	""
"140"	"98"	"69"	"3"	"154"	"17"	"0"	"1"	"1"	"0"	"2"	"3"	"2"	"0"	"1"	"5"	"2"	"9"	"1"	"1"	"271"	"0"	"271"	""
"141"	"99"	"48"	"56"	"390"	"65"	"1"	"4"	"2"	"1"	"4"	"6"	"4"	"0"	"6"	"14"	"11"	"4"	"1"	"5"	"622"	"0"	"622"	""
"142"	"100"	"11"	"4"	"213"	"30"	"1"	"2"	"0"	"0"	"2"	"2"	"0"	"0"	"2"	"4"	"7"	"1"	"1"	"0"	"280"	"0"	"280"	""
"143"	"101"	"45"	"15"	"122"	"310"	"12"	"4"	"2"	"1"	"3"	"1"	"0"	"3"	"11"	"2"	"8"	"7"	"3"	"6"	"555"	"0"	"555"	""
"144"	"102"	"107"	"2"	"59"	"67"	"3"	"0"	"0"	"1"	"1"	"6"	"0"	"3"	"1"	"1"	"0"	"3"	"3"	"0"	"257"	"0"	"257"	""
"145"	"103"	"93"	"6"	"96"	"67"	"0"	"0"	"5"	"0"	"0"	"23"	"0"	"1"	"0"	"2"	"33"	"1"	"1"	"1"	"329"	"0"	"329"	""
"146"	"104"	"10"	"85"	"317"	"122"	"3"	"2"	"1"	"2"	"5"	"124"	"2"	"1"	"9"	"6"	"7"	"3"	"5"	"5"	"709"	"0"	"709"	""
"147"	"105"	"13"	"23"	"332"	"148"	"3"	"2"	"1"	"2"	"1"	"10"	"0"	"2"	"2"	"1"	"11"	"0"	"1"	"0"	"552"	"0"	"552"	""
"148"	"106"	"12"	"0"	"163"	"312"	"15"	"3"	"3"	"1"	"4"	"6"	"13"	"8"	"17"	"8"	"108"	"10"	"1"	"1"	"685"	"0"	"685"	""
"149"	"107"	"6"	"121"	"271"	"20"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"425"	"0"	"425"	""
"150"	"TOTAL"	"7691"	"4615"	"19463"	"16371"	"554"	"200"	"804"	"362"	"416"	"2028"	"280"	"262"	"826"	"954"	"1555"	"814"	"229"	"255"	"57679"	"0"	"57679"	""
"151"	"B.F."	"7691"	"4615"	"19463"	"16371"	"554"	"200"	"804"	"362"	"416"	"2028"	"280"	"262"	"826"	"954"	"1555"	"814"	"229"	"255"	"57679"	"0"	"57679"	""
"152"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"154"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"155"	"108"	"17"	"11"	"274"	"5"	"0"	"5"	"1"	"0"	"1"	"3"	"1"	"0"	"2"	"4"	"2"	"2"	"1"	"2"	"331"	"0"	"331"	""
"156"	"109"	"41"	"15"	"256"	"13"	"0"	"1"	"0"	"0"	"0"	"6"	"0"	"0"	"2"	"6"	"7"	"1"	"0"	"0"	"348"	"0"	"348"	""
"157"	"110"	"54"	"8"	"367"	"234"	"4"	"3"	"4"	"6"	"1"	"21"	"1"	"7"	"9"	"9"	"10"	"6"	"3"	"1"	"748"	"0"	"748"	""
"158"	"111"	"45"	"50"	"188"	"163"	"7"	"4"	"3"	"1"	"7"	"126"	"3"	"8"	"6"	"12"	"21"	"10"	"1"	"4"	"659"	"0"	"659"	""
"159"	"112"	"14"	"35"	"475"	"3"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"0"	"3"	"1"	"4"	"4"	"4"	"7"	"555"	"0"	"555"	""
"160"	"113"	"4"	"21"	"206"	"42"	"3"	"0"	"0"	"0"	"3"	"8"	"2"	"2"	"5"	"3"	"7"	"63"	"0"	"2"	"371"	"0"	"371"	""
"161"	"114"	"6"	"10"	"442"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"2"	"1"	"0"	"0"	"484"	"0"	"484"	""
"162"	"115"	"14"	"213"	"449"	"3"	"1"	"1"	"1"	"0"	"0"	"4"	"0"	"1"	"1"	"2"	"2"	"7"	"3"	"35"	"737"	"0"	"737"	""
"163"	"116"	"67"	"13"	"182"	"19"	"1"	"3"	"1"	"0"	"4"	"7"	"4"	"0"	"3"	"8"	"17"	"15"	"2"	"0"	"346"	"0"	"346"	""
"164"	"117"	"154"	"117"	"117"	"116"	"5"	"1"	"6"	"1"	"5"	"7"	"3"	"1"	"9"	"6"	"20"	"6"	"0"	"9"	"583"	"0"	"583"	""
"165"	"118"	"102"	"85"	"119"	"159"	"4"	"4"	"0"	"1"	"2"	"1"	"2"	"0"	"7"	"1"	"1"	"4"	"3"	"0"	"495"	"0"	"495"	""
"166"	"119"	"117"	"77"	"295"	"173"	"12"	"8"	"4"	"3"	"4"	"10"	"6"	"1"	"6"	"1"	"14"	"7"	"3"	"5"	"746"	"0"	"746"	""
"167"	"120"	"176"	"73"	"161"	"244"	"8"	"0"	"0"	"1"	"5"	"2"	"3"	"4"	"26"	"11"	"13"	"1"	"6"	"6"	"740"	"0"	"740"	""
"168"	"121"	"3"	"1"	"45"	"149"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"9"	"0"	"0"	"209"	"0"	"209"	""
"169"	"TOTAL"	"8505"	"5344"	"23039"	"17712"	"600"	"230"	"826"	"375"	"448"	"2225"	"306"	"287"	"906"	"1022"	"1675"	"950"	"255"	"326"	"65031"	"0"	"65031"	""
"170"	"B.F."	"8505"	"5344"	"23039"	"17712"	"600"	"230"	"826"	"375"	"448"	"2225"	"306"	"287"	"906"	"1022"	"1675"	"950"	"255"	"326"	"65031"	"0"	"65031"	""
"171"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"173"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"174"	"122"	"18"	"96"	"232"	"46"	"1"	"0"	"1"	"1"	"3"	"9"	"2"	"2"	"4"	"16"	"24"	"2"	"1"	"6"	"464"	"0"	"464"	""
"175"	"123"	"98"	"15"	"119"	"92"	"2"	"0"	"1"	"1"	"2"	"10"	"3"	"1"	"3"	"3"	"83"	"4"	"3"	"30"	"470"	"0"	"470"	""
"176"	"124"	"12"	"112"	"45"	"3"	"0"	"1"	"0"	"1"	"11"	"1"	"1"	"3"	"4"	"1"	"21"	"0"	"0"	"0"	"216"	"0"	"216"	""
"177"	"125"	"166"	"36"	"72"	"205"	"9"	"4"	"0"	"2"	"3"	"5"	"1"	"0"	"6"	"3"	"2"	"6"	"6"	"1"	"527"	"0"	"527"	""
"178"	"126"	"5"	"2"	"42"	"249"	"7"	"3"	"2"	"2"	"0"	"0"	"1"	"0"	"2"	"2"	"15"	"4"	"0"	"0"	"336"	"0"	"336"	""
"179"	"127"	"53"	"56"	"552"	"121"	"2"	"3"	"2"	"2"	"1"	"1"	"5"	"4"	"14"	"14"	"2"	"4"	"0"	"0"	"836"	"0"	"836"	""
"180"	"128"	"35"	"2"	"121"	"120"	"3"	"1"	"2"	"1"	"1"	"3"	"0"	"3"	"12"	"5"	"13"	"8"	"0"	"1"	"331"	"0"	"331"	""
"181"	"129"	"30"	"3"	"410"	"12"	"1"	"0"	"0"	"2"	"2"	"2"	"0"	"0"	"3"	"1"	"7"	"3"	"1"	"1"	"478"	"0"	"478"	""
"182"	"130"	"9"	"29"	"293"	"23"	"7"	"4"	"1"	"0"	"2"	"2"	"0"	"2"	"1"	"7"	"4"	"66"	"3"	"2"	"455"	"0"	"455"	""
"183"	"131"	"11"	"9"	"407"	"124"	"3"	"2"	"0"	"1"	"2"	"24"	"0"	"0"	"6"	"6"	"3"	"4"	"0"	"2"	"604"	"0"	"604"	""
"184"	"132"	"50"	"159"	"98"	"66"	"4"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"3"	"2"	"1"	"3"	"0"	"1"	"392"	"0"	"392"	""
"185"	"133"	"42"	"66"	"117"	"144"	"6"	"0"	"1"	"0"	"6"	"1"	"2"	"3"	"11"	"1"	"4"	"1"	"1"	"6"	"412"	"0"	"412"	""
"186"	"134"	"157"	"5"	"342"	"121"	"1"	"1"	"1"	"3"	"4"	"1"	"0"	"0"	"3"	"2"	"18"	"1"	"1"	"0"	"661"	"0"	"661"	""
"187"	"135"	"13"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"21"	"0"	"21"	""
"188"	"TOTAL"	"9204"	"5934"	"25897"	"19038"	"646"	"249"	"837"	"396"	"485"	"2284"	"321"	"305"	"978"	"1085"	"1872"	"1056"	"271"	"376"	"71234"	"0"	"71234"	""
"189"	"B.F."	"9204"	"5934"	"25897"	"19038"	"646"	"249"	"837"	"396"	"485"	"2284"	"321"	"305"	"978"	"1085"	"1872"	"1056"	"271"	"376"	"71234"	"0"	"71234"	""
"190"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"192"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"193"	"136"	"10"	"1"	"345"	"219"	"6"	"2"	"0"	"0"	"0"	"2"	"0"	"3"	"11"	"5"	"6"	"3"	"5"	"5"	"623"	"0"	"623"	""
"194"	"137"	"21"	"3"	"15"	"2"	"0"	"1"	"7"	"2"	"15"	"258"	"5"	"2"	"1"	"2"	"0"	"3"	"3"	"1"	"341"	"0"	"341"	""
"195"	"138"	"53"	"39"	"19"	"66"	"1"	"1"	"0"	"1"	"4"	"0"	"15"	"0"	"4"	"2"	"0"	"2"	"2"	"0"	"209"	"0"	"209"	""
"196"	"139"	"55"	"75"	"80"	"173"	"3"	"4"	"2"	"3"	"4"	"4"	"1"	"2"	"11"	"8"	"6"	"3"	"9"	"8"	"451"	"0"	"451"	""
"197"	"140"	"25"	"14"	"237"	"232"	"5"	"0"	"2"	"0"	"1"	"2"	"0"	"1"	"2"	"4"	"26"	"3"	"0"	"4"	"558"	"0"	"558"	""
"198"	"140 A"	"23"	"65"	"61"	"264"	"11"	"3"	"2"	"2"	"6"	"6"	"1"	"4"	"24"	"5"	"2"	"13"	"1"	"2"	"495"	"0"	"495"	""
"199"	"141"	"14"	"75"	"130"	"56"	"4"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"4"	"2"	"8"	"3"	"0"	"4"	"305"	"0"	"305"	""
"200"	"142"	"66"	"5"	"185"	"229"	"6"	"2"	"4"	"3"	"7"	"6"	"2"	"3"	"20"	"9"	"39"	"8"	"1"	"0"	"595"	"0"	"595"	""
"201"	"143"	"32"	"3"	"172"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"1"	"4"	"1"	"1"	"0"	"221"	"0"	"221"	""
"202"	"144"	"104"	"29"	"271"	"219"	"4"	"1"	"4"	"0"	"3"	"4"	"24"	"2"	"13"	"4"	"4"	"4"	"0"	"1"	"691"	"0"	"691"	""
"203"	"145"	"40"	"16"	"144"	"98"	"0"	"1"	"0"	"1"	"1"	"3"	"4"	"2"	"2"	"0"	"3"	"2"	"1"	"0"	"318"	"0"	"318"	""
"204"	"146"	"61"	"127"	"99"	"199"	"6"	"0"	"3"	"0"	"2"	"1"	"1"	"2"	"12"	"4"	"22"	"9"	"2"	"3"	"553"	"0"	"553"	""
"205"	"147"	"19"	"43"	"88"	"123"	"8"	"1"	"2"	"2"	"4"	"4"	"2"	"3"	"7"	"5"	"9"	"8"	"1"	"2"	"331"	"0"	"331"	""
"206"	"148"	"50"	"146"	"125"	"20"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"25"	"3"	"0"	"5"	"380"	"0"	"380"	""
"207"	"TOTAL"	"9777"	"6575"	"27868"	"20940"	"700"	"266"	"865"	"410"	"532"	"2580"	"377"	"331"	"1091"	"1138"	"2026"	"1121"	"297"	"411"	"77305"	"0"	"77305"	""
"208"	"B.F."	"9777"	"6575"	"27868"	"20940"	"700"	"266"	"865"	"410"	"532"	"2580"	"377"	"331"	"1091"	"1138"	"2026"	"1121"	"297"	"411"	"77305"	"0"	"77305"	""
"209"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"211"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"212"	"149"	"19"	"235"	"380"	"15"	"1"	"0"	"1"	"2"	"0"	"4"	"0"	"0"	"2"	"8"	"2"	"5"	"6"	"10"	"690"	"0"	"690"	""
"213"	"150"	"14"	"197"	"364"	"38"	"1"	"4"	"0"	"0"	"0"	"3"	"3"	"1"	"3"	"12"	"11"	"5"	"6"	"6"	"668"	"0"	"668"	""
"214"	"151"	"86"	"168"	"179"	"85"	"4"	"2"	"2"	"1"	"3"	"5"	"1"	"1"	"10"	"15"	"14"	"7"	"3"	"9"	"595"	"0"	"595"	""
"215"	"152"	"78"	"5"	"291"	"77"	"2"	"2"	"0"	"1"	"2"	"2"	"8"	"1"	"2"	"4"	"9"	"3"	"4"	"2"	"493"	"0"	"493"	""
"216"	"153"	"38"	"22"	"130"	"113"	"7"	"5"	"1"	"0"	"2"	"7"	"2"	"0"	"7"	"5"	"0"	"10"	"3"	"4"	"356"	"0"	"356"	""
"217"	"154"	"96"	"4"	"407"	"195"	"8"	"1"	"3"	"4"	"5"	"164"	"3"	"4"	"16"	"8"	"5"	"4"	"1"	"4"	"932"	"0"	"932"	""
"218"	"155"	"158"	"12"	"199"	"368"	"12"	"2"	"1"	"2"	"15"	"11"	"16"	"3"	"16"	"4"	"14"	"7"	"3"	"1"	"844"	"0"	"844"	""
"219"	"156"	"117"	"7"	"237"	"306"	"25"	"4"	"4"	"3"	"3"	"27"	"6"	"8"	"20"	"9"	"3"	"14"	"0"	"1"	"794"	"0"	"794"	""
"220"	"157"	"196"	"17"	"145"	"455"	"14"	"2"	"4"	"0"	"2"	"5"	"2"	"2"	"12"	"7"	"11"	"6"	"3"	"2"	"885"	"0"	"885"	""
"221"	"158"	"148"	"58"	"65"	"112"	"4"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"12"	"3"	"4"	"2"	"415"	"0"	"415"	""
"222"	"159"	"27"	"0"	"171"	"67"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"6"	"0"	"0"	"0"	"277"	"0"	"277"	""
"223"	"160"	"52"	"18"	"48"	"97"	"5"	"0"	"3"	"0"	"0"	"3"	"3"	"4"	"8"	"11"	"4"	"8"	"2"	"3"	"269"	"0"	"269"	""
"224"	"161"	"51"	"80"	"113"	"129"	"5"	"3"	"6"	"1"	"3"	"5"	"1"	"5"	"10"	"11"	"13"	"8"	"2"	"0"	"446"	"0"	"446"	""
"225"	"162"	"94"	"44"	"44"	"114"	"2"	"2"	"3"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"309"	"0"	"309"	""
"226"	"TOTAL"	"10951"	"7442"	"30641"	"23111"	"790"	"294"	"895"	"425"	"570"	"2818"	"424"	"360"	"1197"	"1237"	"2131"	"1203"	"334"	"455"	"85278"	"0"	"85278"	""
"227"	"B.F."	"10951"	"7442"	"30641"	"23111"	"790"	"294"	"895"	"425"	"570"	"2818"	"424"	"360"	"1197"	"1237"	"2131"	"1203"	"334"	"455"	"85278"	"0"	"85278"	""
"228"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"230"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"231"	"163"	"47"	"4"	"159"	"43"	"2"	"3"	"0"	"0"	"1"	"1"	"2"	"1"	"8"	"17"	"10"	"6"	"1"	"0"	"305"	"0"	"305"	""
"232"	"164"	"0"	"1"	"77"	"176"	"6"	"0"	"14"	"0"	"1"	"1"	"0"	"0"	"5"	"18"	"9"	"6"	"1"	"1"	"316"	"0"	"316"	""
"233"	"165"	"100"	"28"	"230"	"43"	"7"	"1"	"4"	"2"	"2"	"16"	"14"	"7"	"4"	"10"	"32"	"7"	"0"	"2"	"509"	"0"	"509"	""
"234"	"166"	"57"	"65"	"200"	"286"	"3"	"1"	"3"	"3"	"8"	"35"	"11"	"5"	"29"	"16"	"12"	"29"	"3"	"13"	"779"	"0"	"779"	""
"235"	"167"	"32"	"1"	"29"	"360"	"11"	"2"	"5"	"2"	"2"	"3"	"2"	"3"	"6"	"2"	"5"	"3"	"1"	"1"	"470"	"0"	"470"	""
"236"	"168"	"31"	"2"	"67"	"127"	"5"	"4"	"3"	"0"	"2"	"2"	"15"	"1"	"6"	"3"	"6"	"8"	"0"	"1"	"283"	"0"	"283"	""
"237"	"169"	"36"	"15"	"216"	"145"	"6"	"10"	"1"	"0"	"4"	"15"	"0"	"2"	"2"	"5"	"3"	"37"	"2"	"3"	"502"	"0"	"502"	""
"238"	"170"	"56"	"91"	"61"	"16"	"2"	"1"	"0"	"0"	"1"	"7"	"0"	"1"	"3"	"3"	"3"	"5"	"9"	"2"	"261"	"0"	"261"	""
"239"	"171"	"157"	"22"	"142"	"76"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"3"	"3"	"3"	"1"	"411"	"0"	"411"	""
"240"	"172"	"43"	"4"	"336"	"376"	"12"	"2"	"3"	"4"	"4"	"1"	"1"	"4"	"17"	"9"	"15"	"10"	"0"	"1"	"842"	"0"	"842"	""
"241"	"173"	"40"	"2"	"137"	"68"	"0"	"2"	"1"	"1"	"1"	"0"	"1"	"3"	"7"	"6"	"19"	"2"	"2"	"0"	"292"	"0"	"292"	""
"242"	"174"	"261"	"83"	"218"	"9"	"0"	"0"	"0"	"0"	"0"	"12"	"0"	"0"	"1"	"2"	"0"	"3"	"6"	"1"	"596"	"0"	"596"	""
"243"	"175"	"146"	"18"	"94"	"2"	"0"	"1"	"0"	"0"	"2"	"3"	"1"	"0"	"1"	"1"	"3"	"1"	"3"	"2"	"278"	"0"	"278"	""
"244"	"176"	"59"	"108"	"78"	"477"	"7"	"2"	"1"	"1"	"3"	"3"	"1"	"0"	"7"	"1"	"7"	"1"	"0"	"2"	"758"	"0"	"758"	""
"245"	"TOTAL"	"12016"	"7886"	"32685"	"25315"	"851"	"324"	"930"	"438"	"601"	"2917"	"472"	"388"	"1295"	"1330"	"2258"	"1324"	"365"	"485"	"91880"	"0"	"91880"	""
"246"	"B.F."	"12016"	"7886"	"32685"	"25315"	"851"	"324"	"930"	"438"	"601"	"2917"	"472"	"388"	"1295"	"1330"	"2258"	"1324"	"365"	"485"	"91880"	"0"	"91880"	""
"247"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"249"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"250"	"177"	"145"	"61"	"127"	"116"	"6"	"0"	"3"	"5"	"2"	"1"	"0"	"0"	"3"	"3"	"70"	"6"	"2"	"12"	"562"	"0"	"562"	""
"251"	"178"	"30"	"34"	"517"	"18"	"2"	"15"	"0"	"1"	"2"	"2"	"3"	"0"	"0"	"6"	"4"	"1"	"0"	"0"	"635"	"0"	"635"	""
"252"	"179"	"25"	"18"	"58"	"427"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"2"	"3"	"0"	"5"	"550"	"0"	"550"	""
"253"	"180"	"36"	"172"	"222"	"242"	"10"	"3"	"3"	"2"	"4"	"0"	"16"	"1"	"9"	"8"	"4"	"10"	"1"	"11"	"754"	"0"	"754"	""
"254"	"181"	"53"	"7"	"59"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"2"	"130"	"0"	"130"	""
"255"	"182"	"4"	"0"	"47"	"288"	"10"	"0"	"0"	"3"	"1"	"0"	"1"	"2"	"7"	"1"	"4"	"0"	"1"	"2"	"371"	"0"	"371"	""
"256"	"183"	"65"	"3"	"145"	"54"	"2"	"2"	"0"	"1"	"1"	"4"	"0"	"2"	"8"	"2"	"3"	"4"	"9"	"5"	"310"	"0"	"310"	""
"257"	"184"	"130"	"25"	"234"	"58"	"1"	"1"	"2"	"0"	"5"	"4"	"19"	"3"	"2"	"13"	"23"	"15"	"15"	"6"	"556"	"0"	"556"	""
"258"	"185"	"8"	"0"	"9"	"356"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"383"	"0"	"383"	""
"259"	"186"	"20"	"19"	"543"	"105"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"1"	"4"	"0"	"6"	"77"	"0"	"0"	"786"	"0"	"786"	""
