"X."	"Candidates..Name"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"194"	"161"	7	336	10	23	171	6	8	5	2	6	4	1	13	14	15	15	6	13	7	3	5	17	"687"	"0"	"687"	"0"
"195"	"162"	10	92	2	6	119	1	3	6	6	2	0	3	6	1	2	8	8	3	3	0	1	2	"284"	"0"	"284"	"0"
"196"	"163"	3	100	2	3	57	0	0	1	5	0	3	1	4	2	5	7	1	3	2	0	0	2	"201"	"0"	"201"	"0"
"197"	"164"	5	87	2	2	56	0	0	0	12	1	0	0	2	1	1	5	0	0	1	0	2	4	"181"	"0"	"181"	"0"
"198"	"165"	12	126	7	9	261	6	5	1	8	0	4	7	6	6	7	12	14	5	7	0	6	8	"517"	"0"	"517"	"0"
"199"	"166"	18	152	8	11	216	2	4	2	6	2	2	3	1	2	4	4	9	6	5	1	5	10	"473"	"0"	"473"	"0"
"200"	"167"	1	48	4	41	208	4	0	5	5	2	1	10	1	0	1	4	6	4	0	0	3	3	"351"	"0"	"351"	"0"
"201"	"168"	11	249	12	13	161	22	5	7	23	3	12	24	27	19	31	28	8	73	19	5	10	16	"778"	"0"	"778"	"0"
"202"	"169"	12	88	7	21	315	3	2	3	9	1	5	2	3	0	4	6	8	7	0	2	2	3	"503"	"0"	"503"	"0"
"203"	"170"	7	89	4	12	156	5	2	2	5	2	4	6	8	2	13	18	2	6	5	2	6	9	"365"	"0"	"365"	"0"
"204"	"171"	15	209	10	10	116	5	3	2	32	6	0	2	7	3	6	8	8	5	3	1	4	5	"460"	"0"	"460"	"0"
"205"	"172"	2	83	1	7	147	2	2	7	24	1	1	7	3	2	1	26	1	0	1	1	1	13	"333"	"0"	"333"	"0"
"206"	"173"	24	174	7	11	206	3	3	2	17	2	1	1	2	3	3	3	5	2	2	0	3	3	"477"	"0"	"477"	"0"
"207"	"174"	4	127	3	4	115	4	1	2	8	1	3	4	3	4	6	12	1	2	1	1	11	4	"321"	"0"	"321"	"0"
"208"	"175"	10	215	4	33	223	5	7	26	35	6	5	5	11	12	13	12	2	7	5	2	5	9	"652"	"0"	"652"	"0"
"209"	"176"	10	174	10	24	230	5	3	9	7	5	2	5	5	5	5	17	3	5	11	2	4	9	"550"	"0"	"550"	"0"
"210"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"211"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	""	""	""	""
"212"	"BOOTH NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL VAILID VOTE"	"TOTAL REJECTED VOTE"	"TOTAL"	"TOTAL TENDAR VOTE"
"213"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	"24"	"25"	"26"	"27"
"214"	"177"	1	78	9	69	203	5	1	4	10	4	9	5	5	1	12	20	7	1	4	2	4	10	"464"	"0"	"464"	"0"
"215"	"178"	6	37	3	20	138	4	1	1	5	0	2	6	1	0	2	61	6	3	4	5	7	20	"332"	"0"	"332"	"0"
"216"	"179"	1	3	0	24	508	7	1	8	1	0	2	8	0	0	2	4	1	0	1	1	6	6	"584"	"0"	"584"	"0"
"217"	"180"	0	15	0	3	316	1	2	0	0	0	2	2	0	1	4	4	1	0	0	1	11	5	"368"	"0"	"368"	"0"
"218"	"181"	1	135	6	10	185	3	2	13	6	3	0	2	0	6	11	33	5	4	2	0	5	5	"437"	"0"	"437"	"0"
"219"	"182"	8	33	2	3	406	4	2	6	1	2	4	13	2	4	8	21	2	1	0	0	8	8	"538"	"0"	"538"	"0"
"220"	"183"	28	282	12	15	73	5	1	6	20	1	2	2	6	7	10	7	5	3	5	1	1	3	"495"	"0"	"495"	"0"
"221"	"184"	3	231	8	2	60	0	0	0	6	0	2	1	1	1	1	7	10	4	2	1	0	1	"341"	"0"	"341"	"0"
"222"	"185"	12	105	4	5	310	5	1	5	0	2	0	1	0	0	9	10	8	0	4	1	3	6	"491"	"0"	"491"	"0"
"223"	"186"	15	164	5	2	124	4	0	2	4	2	0	2	1	0	4	2	4	10	2	1	1	1	"350"	"0"	"350"	"0"
"224"	"186A"	2	169	5	1	126	1	2	5	5	1	7	0	4	0	3	3	4	2	1	1	4	6	"352"	"0"	"352"	"0"
"225"	"187"	20	262	11	16	323	7	5	2	7	4	14	2	4	6	5	13	36	10	5	0	2	10	"764"	"0"	"764"	"0"
"226"	"188"	4	123	10	22	220	2	3	4	0	5	2	1	10	1	6	3	13	10	1	0	4	1	"445"	"0"	"445"	"0"
"227"	"189"	11	65	6	6	262	6	1	2	3	2	1	3	5	1	2	2	5	2	0	0	0	5	"390"	"0"	"390"	"0"
"228"	"190"	10	158	12	23	319	2	5	5	1	2	5	8	7	2	7	1	6	8	3	1	1	6	"592"	"0"	"592"	"0"
"229"	"191"	3	146	5	10	332	14	3	2	3	2	3	8	3	6	14	6	6	9	2	1	4	9	"591"	"0"	"591"	"0"
"230"	"192"	5	266	7	18	255	8	4	5	2	5	4	10	15	8	9	21	5	13	4	6	7	7	"684"	"0"	"684"	"0"
"231"	"193"	6	183	6	1	64	1	0	0	3	4	2	2	10	3	2	4	6	14	4	3	11	1	"330"	"0"	"330"	"0"
"232"	"194"	1	31	2	23	254	7	1	5	3	1	1	3	2	0	1	5	1	2	1	0	1	2	"347"	"0"	"347"	"0"
"233"	"195"	1	39	3	5	213	10	3	9	1	1	7	7	7	4	2	17	8	3	1	4	5	10	"360"	"0"	"360"	"0"
"234"	"196"	3	111	3	5	277	7	2	5	1	5	4	5	7	0	2	9	3	3	5	3	6	8	"474"	"0"	"474"	"0"
"235"	"197"	6	102	3	4	125	3	0	3	3	2	4	5	12	2	3	13	2	4	4	1	4	1	"306"	"0"	"306"	"0"
"236"	"198"	0	428	12	11	99	1	0	2	0	0	2	0	4	1	4	0	3	2	1	0	6	2	"578"	"0"	"578"	"0"
"237"	"199"	2	66	1	6	281	4	1	4	2	2	5	10	2	2	11	6	4	4	1	0	4	3	"421"	"0"	"421"	"0"
"238"	"200"	6	78	0	18	213	8	2	2	1	2	2	2	6	0	2	2	3	5	6	2	4	8	"372"	"0"	"372"	"0"
"239"	"201"	4	47	1	42	238	4	1	2	3	2	4	7	2	4	1	5	5	2	12	2	3	1	"392"	"0"	"392"	"0"
"240"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"241"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	""	""	""	""
"242"	"BOOTH NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL VAILID VOTE"	"TOTAL REJECTED VOTE"	"TOTAL"	"TOTAL TENDAR VOTE"
"243"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	"24"	"25"	"26"	"27"
"244"	"202"	3	141	2	16	114	2	0	1	3	1	2	1	6	2	1	6	16	17	3	1	3	0	"341"	"0"	"341"	"0"
"245"	"203"	5	91	6	9	223	5	1	8	4	5	5	8	8	5	7	13	7	8	8	0	3	7	"436"	"0"	"436"	"0"
"246"	"204"	10	129	4	7	59	3	2	1	1	2	4	3	5	0	3	2	14	17	110	12	14	21	"423"	"0"	"423"	"0"
"247"	"205"	2	12	2	6	249	4	4	2	0	5	5	2	6	4	1	17	5	31	11	5	8	5	"386"	"0"	"386"	"0"
"248"	"206"	8	48	2	19	201	2	1	1	1	0	1	2	18	4	3	8	10	74	7	4	3	3	"420"	"0"	"420"	"0"
"249"	"207"	6	104	2	6	388	13	5	8	18	8	12	16	18	8	11	26	23	11	4	7	4	17	"715"	"0"	"715"	"0"
"250"	"208"	10	128	7	3	207	3	2	3	4	7	3	2	5	3	3	5	5	15	7	0	2	6	"430"	"0"	"430"	"0"
"251"	"208A"	4	52	1	7	293	3	0	2	0	6	6	3	1	1	4	0	12	10	8	2	6	4	"425"	"0"	"425"	"0"
"252"	"209"	5	86	5	15	149	4	2	4	2	3	5	3	4	1	3	2	2	4	3	0	2	6	"310"	"0"	"310"	"0"
"253"	"209A"	2	68	11	5	190	4	3	1	3	3	2	3	1	3	5	1	12	5	8	2	5	8	"345"	"0"	"345"	"0"
"254"	"210"	7	48	3	2	227	3	2	3	4	3	3	12	4	2	4	15	8	3	1	1	9	6	"370"	"0"	"370"	"0"
"255"	"210A"	5	28	3	1	298	4	1	3	1	0	1	5	0	1	0	1	0	0	2	0	3	2	"359"	"0"	"359"	"0"
"256"	"Total:"	1725	32711	1267	4149	42999	873	441	859	626	460	1013	1454	1025	742	1937	1872	1763	1752	998	382	1481	1842	"102371"	"0"	"102371"	"0"
"257"	"Postal Ballot"	2	286	4	31	213	1	2	5	10	2	4	6	1	0	2	0	13	4	0	1	1	0	"588"	"1"	"589"	"0"
"258"	"Grand Total:"	1727	32997	1271	4180	43212	874	443	864	636	462	1017	1460	1026	742	1939	1872	1776	1756	998	383	1482	1842	"102959"	"1"	"102960"	"0"
"259"	"Place:                                                                                                                                               Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"260"	"ate: 11/24/2010                                                                                                                 Assembly Constituency :127---Raja Pakar(sc)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"261"	"Tool Ver. 1.0 of National Informatics Centre,Bihar"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
