"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"102&  d qpk; dksV  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"144"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"102&  d qpk; dksV  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"147"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"148"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"149"	"96"	""	"18"	"1"	"734"	"1"	"2"	"1"	"0"	"0"	""	"0"	"2"	"0"	"2"	"2"	"1"	"764"	"0"	"764"
"150"	"97"	""	"178"	"8"	"280"	"52"	"8"	"9"	"0"	"5"	""	"3"	"7"	"9"	"13"	"6"	"22"	"600"	"0"	"600"
"151"	"98"	""	"391"	"11"	"214"	"30"	"5"	"4"	"6"	"13"	""	"1"	"12"	"2"	"11"	"2"	"18"	"720"	"0"	"720"
"152"	"99"	""	"73"	"2"	"260"	"9"	"2"	"2"	"1"	"2"	""	"2"	"3"	"3"	"12"	"3"	"8"	"382"	"0"	"382"
"153"	"100"	""	"342"	"11"	"196"	"22"	"7"	"12"	"7"	"18"	""	"10"	"28"	"11"	"22"	"15"	"60"	"761"	"0"	"761"
"154"	"101"	""	"277"	"13"	"109"	"24"	"9"	"6"	"4"	"14"	""	"4"	"14"	"7"	"55"	"9"	"29"	"574"	"0"	"574"
"155"	"102"	""	"255"	"10"	"246"	"59"	"3"	"14"	"4"	"17"	""	"11"	"24"	"7"	"25"	"15"	"52"	"742"	"0"	"742"
"156"	"103"	""	"322"	"12"	"92"	"69"	"12"	"8"	"0"	"15"	""	"4"	"37"	"6"	"62"	"5"	"18"	"662"	"0"	"662"
"157"	"104"	""	"326"	"4"	"87"	"2"	"9"	"8"	"1"	"5"	""	"3"	"14"	"24"	"6"	"2"	"14"	"505"	"0"	"505"
"158"	"105"	""	"193"	"3"	"89"	"4"	"7"	"1"	"1"	"3"	""	"1"	"5"	"0"	"2"	"1"	"2"	"312"	"0"	"312"
"159"	"106"	""	"247"	"4"	"126"	"11"	"4"	"3"	"3"	"8"	""	"1"	"8"	"9"	"46"	"11"	"33"	"514"	"0"	"514"
"160"	"107"	""	"303"	"7"	"104"	"15"	"10"	"8"	"5"	"15"	""	"5"	"31"	"4"	"33"	"0"	"7"	"547"	"0"	"547"
"161"	"108"	""	"479"	"24"	"104"	"50"	"5"	"10"	"3"	"8"	""	"3"	"23"	"6"	"79"	"14"	"18"	"826"	"0"	"826"
"162"	"109"	""	"487"	"5"	"153"	"10"	"11"	"2"	"3"	"14"	""	"5"	"25"	"7"	"26"	"2"	"20"	"770"	"0"	"770"
"163"	"; ksx"	""	"3891"	"115"	"2794"	"358"	"94"	"88"	"38"	"137"	""	"53"	"233"	"95"	"394"	"87"	"302"	"8679"	"0"	"8679"
"164"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"20161"	"684"	"12603"	"2496"	"1799"	"402"	"247"	"1240"	""	"347"	"933"	"584"	"8308"	"632"	"1856"	"52292"	"0"	"52292"
"165"	"d qy  ; ksx"	""	"24052"	"799"	"15397"	"2854"	"1893"	"490"	"285"	"1377"	""	"400"	"1166"	"679"	"8702"	"719"	"2158"	"60971"	"0"	"60971"
"166"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"102&  d qpk; dksV  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"169"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"170"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"171"	"110"	""	"134"	"12"	"103"	"65"	"11"	"3"	"0"	"6"	""	"4"	"9"	"3"	"9"	"8"	"16"	"383"	"0"	"383"
"172"	"111"	""	"194"	"1"	"82"	"26"	"13"	"7"	"4"	"10"	""	"2"	"16"	"2"	"2"	"4"	"25"	"388"	"0"	"388"
"173"	"112"	""	"345"	"62"	"94"	"36"	"22"	"14"	"4"	"23"	""	"9"	"24"	"8"	"41"	"16"	"44"	"742"	"0"	"742"
"174"	"113"	""	"305"	"10"	"29"	"16"	"12"	"2"	"3"	"10"	""	"1"	"18"	"2"	"39"	"2"	"6"	"455"	"0"	"455"
"175"	"114"	""	"289"	"15"	"379"	"23"	"19"	"4"	"4"	"16"	""	"2"	"21"	"3"	"8"	"7"	"10"	"800"	"0"	"800"
"176"	"115"	""	"192"	"4"	"160"	"11"	"5"	"1"	"2"	"6"	""	"5"	"12"	"1"	"7"	"4"	"11"	"421"	"0"	"421"
"177"	"116"	""	"227"	"15"	"114"	"53"	"5"	"4"	"1"	"11"	""	"3"	"5"	"1"	"4"	"8"	"23"	"474"	"0"	"474"
"178"	"117"	""	"82"	"7"	"65"	"50"	"4"	"2"	"3"	"4"	""	"2"	"11"	"4"	"6"	"8"	"14"	"262"	"0"	"262"
"179"	"118"	""	"274"	"10"	"170"	"8"	"5"	"6"	"2"	"4"	""	"3"	"8"	"5"	"13"	"5"	"29"	"542"	"0"	"542"
"180"	"119"	""	"228"	"7"	"73"	"26"	"19"	"2"	"3"	"3"	""	"3"	"11"	"1"	"4"	"2"	"14"	"396"	"0"	"396"
"181"	"120"	""	"330"	"4"	"170"	"122"	"8"	"2"	"9"	"17"	""	"4"	"20"	"6"	"9"	"3"	"20"	"724"	"0"	"724"
"182"	"121"	""	"316"	"3"	"62"	"60"	"4"	"6"	"4"	"14"	""	"3"	"23"	"3"	"5"	"9"	"12"	"524"	"0"	"524"
"183"	"122"	""	"102"	"13"	"167"	"23"	"9"	"3"	"0"	"3"	""	"2"	"8"	"0"	"8"	"2"	"13"	"353"	"0"	"353"
"184"	"122¼d½"	""	"180"	"6"	"202"	"11"	"3"	"2"	"4"	"8"	""	"1"	"9"	"3"	"14"	"2"	"14"	"459"	"0"	"459"
"185"	"; ksx"	""	"3198"	"169"	"1870"	"530"	"139"	"58"	"43"	"135"	""	"44"	"195"	"42"	"169"	"80"	"251"	"6923"	"0"	"6923"
"186"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"24052"	"799"	"15397"	"2854"	"1893"	"490"	"285"	"1377"	""	"400"	"1166"	"679"	"8702"	"719"	"2158"	"60971"	"0"	"60971"
"187"	"d qy  ; ksx"	""	"27250"	"968"	"17267"	"3384"	"2032"	"548"	"328"	"1512"	""	"444"	"1361"	"721"	"8871"	"799"	"2409"	"67894"	"0"	"67894"
"188"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"189"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"190"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"191"	"123"	""	"221"	"9"	"146"	"6"	"16"	"1"	"1"	"6"	""	"3"	"5"	"2"	"13"	"5"	"17"	"451"	"0"	"451"
"192"	"124"	""	"170"	"12"	"137"	"4"	"7"	"5"	"1"	"21"	""	"6"	"25"	"8"	"34"	"8"	"47"	"485"	"0"	"485"
"193"	"125"	""	"259"	"17"	"160"	"10"	"4"	"4"	"3"	"7"	""	"3"	"8"	"1"	"10"	"6"	"20"	"512"	"0"	"512"
"194"	"126"	""	"377"	"13"	"204"	"37"	"7"	"4"	"3"	"6"	""	"1"	"7"	"3"	"7"	"8"	"26"	"703"	"0"	"703"
"195"	"127"	""	"308"	"12"	"155"	"8"	"5"	"6"	"52"	"10"	""	"2"	"14"	"4"	"21"	"3"	"13"	"613"	"0"	"613"
"196"	"128"	""	"269"	"7"	"71"	"1"	"3"	"7"	"17"	"6"	""	"2"	"6"	"4"	"21"	"5"	"16"	"435"	"0"	"435"
"197"	"129"	""	"207"	"3"	"115"	"8"	"8"	"3"	"21"	"5"	""	"5"	"10"	"4"	"15"	"3"	"19"	"426"	"0"	"426"
"198"	"130"	""	"446"	"12"	"182"	"11"	"14"	"5"	"20"	"14"	""	"4"	"14"	"0"	"30"	"6"	"15"	"773"	"0"	"773"
"199"	"131"	""	"407"	"6"	"137"	"15"	"4"	"5"	"1"	"6"	""	"3"	"15"	"1"	"5"	"5"	"2"	"612"	"0"	"612"
"200"	"132"	""	"256"	"4"	"76"	"10"	"3"	"3"	"1"	"2"	""	"1"	"9"	"0"	"2"	"2"	"9"	"378"	"0"	"378"
"201"	"133"	""	"284"	"4"	"45"	"2"	"1"	"3"	"2"	"13"	""	"4"	"4"	"1"	"60"	"4"	"19"	"446"	"0"	"446"
"202"	"134"	""	"148"	"5"	"259"	"16"	"8"	"2"	"2"	"10"	""	"4"	"6"	"0"	"8"	"5"	"8"	"481"	"0"	"481"
"203"	"135"	""	"139"	"4"	"101"	"158"	"7"	"4"	"2"	"9"	""	"5"	"6"	"0"	"5"	"3"	"3"	"446"	"0"	"446"
"204"	"136"	""	"199"	"4"	"337"	"3"	"4"	"5"	"1"	"4"	""	"3"	"7"	"2"	"15"	"7"	"18"	"609"	"0"	"609"
"205"	"; ksx"	""	"3690"	"112"	"2125"	"289"	"91"	"57"	"127"	"119"	""	"46"	"136"	"30"	"246"	"70"	"232"	"7370"	"0"	"7370"
"206"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"27250"	"968"	"17267"	"3384"	"2032"	"548"	"328"	"1512"	""	"444"	"1361"	"721"	"8871"	"799"	"2409"	"67894"	"0"	"67894"
"207"	"d qy  ; ksx"	""	"30940"	"1080"	"19392"	"3673"	"2123"	"605"	"455"	"1631"	""	"490"	"1497"	"751"	"9117"	"869"	"2641"	"75264"	"0"	"75264"
"208"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"209"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"210"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"211"	"137"	""	"331"	"12"	"275"	"23"	"20"	"8"	"3"	"15"	""	"1"	"15"	"1"	"9"	"7"	"12"	"732"	"0"	"732"
"212"	"138"	""	"113"	"10"	"142"	"29"	"5"	"3"	"2"	"5"	""	"1"	"9"	"1"	"3"	"2"	"7"	"332"	"0"	"332"
"213"	"138¼d½"	""	"154"	"5"	"233"	"17"	"5"	"3"	"0"	"3"	""	"4"	"13"	"2"	"10"	"2"	"7"	"458"	"0"	"458"
"214"	"139"	""	"272"	"16"	"105"	"1"	"15"	"2"	"1"	"3"	""	"0"	"4"	"3"	"13"	"1"	"12"	"448"	"0"	"448"
"215"	"140"	""	"154"	"3"	"107"	"1"	"92"	"3"	"0"	"1"	""	"2"	"2"	"1"	"2"	"1"	"2"	"371"	"0"	"371"
"216"	"141"	""	"251"	"5"	"236"	"16"	"42"	"9"	"4"	"6"	""	"1"	"24"	"4"	"17"	"3"	"27"	"645"	"0"	"645"
"217"	"142"	""	"217"	"2"	"134"	"14"	"96"	"8"	"1"	"7"	""	"4"	"10"	"2"	"45"	"1"	"6"	"547"	"0"	"547"
"218"	"142¼d½"	""	"53"	"0"	"37"	"2"	"21"	"0"	"0"	"1"	""	"1"	"0"	"4"	"17"	"0"	"1"	"137"	"0"	"137"
"219"	"143"	""	"166"	"0"	"30"	"0"	"1"	"1"	"1"	"2"	""	"1"	"1"	"0"	"6"	"0"	"3"	"212"	"0"	"212"
"220"	"144"	""	"158"	"5"	"323"	"32"	"21"	"4"	"0"	"6"	""	"5"	"12"	"2"	"15"	"4"	"15"	"602"	"0"	"602"
"221"	"145"	""	"241"	"5"	"118"	"8"	"18"	"4"	"1"	"16"	""	"2"	"4"	"6"	"9"	"1"	"15"	"448"	"0"	"448"
"222"	"146"	""	"175"	"6"	"119"	"70"	"20"	"7"	"2"	"7"	""	"1"	"16"	"7"	"97"	"7"	"22"	"556"	"0"	"556"
"223"	"147"	""	"92"	"3"	"162"	"5"	"56"	"4"	"1"	"3"	""	"6"	"6"	"8"	"223"	"8"	"17"	"594"	"0"	"594"
"224"	"148"	""	"138"	"3"	"277"	"13"	"80"	"1"	"1"	"7"	""	"3"	"8"	"1"	"81"	"11"	"19"	"643"	"0"	"643"
"225"	"; ksx"	""	"2515"	"75"	"2298"	"231"	"492"	"57"	"17"	"82"	""	"32"	"124"	"42"	"547"	"48"	"165"	"6725"	"0"	"6725"
"226"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"30940"	"1080"	"19392"	"3673"	"2123"	"605"	"455"	"1631"	""	"490"	"1497"	"751"	"9117"	"869"	"2641"	"75264"	"0"	"75264"
"227"	"d qy  ; ksx"	""	"33455"	"1155"	"21690"	"3904"	"2615"	"662"	"472"	"1713"	""	"522"	"1621"	"793"	"9664"	"917"	"2806"	"81989"	"0"	"81989"
"228"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"229"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"230"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"231"	"149"	""	"153"	"5"	"188"	"8"	"16"	"4"	"2"	"1"	""	"2"	"2"	"0"	"43"	"2"	"11"	"437"	"0"	"437"
"232"	"150"	""	"39"	"0"	"45"	"2"	"26"	"1"	"0"	"2"	""	"1"	"3"	"7"	"186"	"5"	"3"	"320"	"0"	"320"
"233"	"151"	""	"121"	"4"	"118"	"6"	"1"	"1"	"0"	"2"	""	"1"	"3"	"3"	"4"	"2"	"10"	"276"	"0"	"276"
"234"	"152"	""	"178"	"4"	"157"	"6"	"14"	"0"	"3"	"9"	""	"5"	"11"	"7"	"52"	"6"	"23"	"475"	"0"	"475"
"235"	"153"	""	"63"	"1"	"32"	"4"	"45"	"3"	"0"	"3"	""	"3"	"5"	"4"	"102"	"1"	"6"	"272"	"0"	"272"
"236"	"154"	""	"140"	"2"	"6"	"0"	"10"	"0"	"0"	"1"	""	"0"	"1"	"0"	"12"	"1"	"0"	"173"	"0"	"173"
"237"	"155"	""	"11"	"1"	"28"	"4"	"57"	"0"	"0"	"0"	""	"1"	"2"	"8"	"379"	"1"	"11"	"503"	"0"	"503"
"238"	"156"	""	"16"	"2"	"26"	"0"	"5"	"1"	"3"	"0"	""	"0"	"7"	"7"	"254"	"2"	"4"	"327"	"0"	"327"
"239"	"157"	""	"265"	"4"	"42"	"4"	"24"	"5"	"0"	"5"	""	"6"	"15"	"8"	"161"	"11"	"16"	"566"	"0"	"566"
"240"	"158"	""	"61"	"1"	"34"	"15"	"77"	"3"	"1"	"4"	""	"2"	"9"	"4"	"180"	"5"	"15"	"411"	"0"	"411"
"241"	"159"	""	"161"	"6"	"20"	"9"	"71"	"4"	"3"	"3"	""	"5"	"13"	"7"	"243"	"7"	"30"	"582"	"0"	"582"
"242"	"160"	""	"166"	"6"	"42"	"3"	"25"	"4"	"6"	"3"	""	"1"	"4"	"4"	"39"	"2"	"15"	"320"	"0"	"320"
"243"	"161"	""	"156"	"0"	"92"	"16"	"40"	"5"	"4"	"15"	""	"1"	"10"	"5"	"64"	"7"	"12"	"427"	"0"	"427"
"244"	"162"	""	"77"	"9"	"18"	"6"	"84"	"8"	"6"	"7"	""	"6"	"16"	"19"	"316"	"15"	"33"	"620"	"0"	"620"
"245"	"; ksx"	""	"1607"	"45"	"848"	"83"	"495"	"39"	"28"	"55"	""	"34"	"101"	"83"	"2035"	"67"	"189"	"5709"	"0"	"5709"
"246"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"33455"	"1155"	"21690"	"3904"	"2615"	"662"	"472"	"1713"	""	"522"	"1621"	"793"	"9664"	"917"	"2806"	"81989"	"0"	"81989"
"247"	"d qy  ; ksx"	""	"35062"	"1200"	"22538"	"3987"	"3110"	"701"	"500"	"1768"	""	"556"	"1722"	"876"	"11699"	"984"	"2995"	"87698"	"0"	"87698"
"248"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"249"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"251"	"163"	""	"42"	"1"	"19"	"0"	"434"	"6"	"0"	"2"	""	"1"	"3"	"0"	"2"	"0"	"3"	"513"	"0"	"513"
"252"	"164"	""	"179"	"6"	"17"	"7"	"130"	"9"	"3"	"5"	""	"2"	"3"	"2"	"8"	"3"	"4"	"378"	"0"	"378"
"253"	"165"	""	"62"	"2"	"52"	"6"	"55"	"9"	"2"	"5"	""	"5"	"8"	"9"	"217"	"10"	"32"	"474"	"0"	"474"
"254"	"166"	""	"302"	"9"	"20"	"8"	"62"	"2"	"1"	"3"	""	"3"	"6"	"3"	"171"	"4"	"13"	"607"	"0"	"607"
"255"	"167"	""	"147"	"6"	"19"	"1"	"19"	"3"	"3"	"5"	""	"2"	"8"	"13"	"293"	"5"	"32"	"556"	"0"	"556"
"256"	"168"	""	"109"	"1"	"31"	"0"	"11"	"3"	"1"	"6"	""	"2"	"8"	"2"	"45"	"3"	"10"	"232"	"0"	"232"
"257"	"169"	""	"136"	"6"	"41"	"8"	"58"	"7"	"2"	"16"	""	"6"	"14"	"9"	"163"	"7"	"16"	"489"	"0"	"489"
"258"	"170"	""	"53"	"2"	"69"	"1"	"8"	"1"	"0"	"0"	""	"3"	"7"	"8"	"94"	"4"	"6"	"256"	"0"	"256"
"259"	"171"	""	"237"	"11"	"113"	"31"	"59"	"7"	"5"	"5"	""	"5"	"15"	"9"	"206"	"14"	"33"	"750"	"0"	"750"
"260"	"172"	""	"317"	"1"	"130"	"6"	"29"	"3"	"2"	"2"	""	"1"	"7"	"4"	"64"	"5"	"20"	"591"	"0"	"591"
"261"	"173"	""	"62"	"6"	"43"	"3"	"73"	"3"	"0"	"1"	""	"4"	"6"	"5"	"67"	"3"	"12"	"288"	"0"	"288"
"262"	"174"	""	"407"	"12"	"144"	"11"	"11"	"1"	"3"	"6"	""	"2"	"7"	"3"	"44"	"2"	"5"	"658"	"0"	"658"
"263"	"175"	""	"81"	"4"	"99"	"6"	"23"	"0"	"0"	"3"	""	"1"	"4"	"1"	"28"	"0"	"6"	"256"	"0"	"256"
"264"	"176"	""	"212"	"10"	"138"	"36"	"35"	"10"	"6"	"13"	""	"5"	"25"	"21"	"266"	"17"	"22"	"816"	"0"	"816"
"265"	"; ksx"	""	"2346"	"77"	"935"	"124"	"1007"	"64"	"28"	"72"	""	"42"	"121"	"89"	"1668"	"77"	"214"	"6864"	"0"	"6864"
"266"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"35062"	"1200"	"22538"	"3987"	"3110"	"701"	"500"	"1768"	""	"556"	"1722"	"876"	"11699"	"984"	"2995"	"87698"	"0"	"87698"
"267"	"d qy  ; ksx"	""	"37408"	"1277"	"23473"	"4111"	"4117"	"765"	"528"	"1840"	""	"598"	"1843"	"965"	"13367"	"1061"	"3209"	"94562"	"0"	"94562"
"268"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"269"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"270"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"271"	"177"	""	"177"	"2"	"80"	"2"	"23"	"3"	"2"	"7"	""	"0"	"12"	"8"	"268"	"7"	"17"	"608"	"0"	"608"
"272"	"178"	""	"186"	"6"	"61"	"6"	"10"	"2"	"1"	"9"	""	"4"	"4"	"1"	"30"	"2"	"7"	"329"	"0"	"329"
"273"	"179"	""	"247"	"4"	"12"	"1"	"4"	"1"	"0"	"2"	""	"1"	"1"	"1"	"40"	"1"	"13"	"328"	"0"	"328"
"274"	"180"	""	"113"	"9"	"48"	"4"	"6"	"3"	"1"	"3"	""	"1"	"4"	"7"	"149"	"2"	"19"	"369"	"0"	"369"
"275"	"181"	""	"155"	"12"	"301"	"18"	"29"	"12"	"3"	"10"	""	"11"	"20"	"9"	"197"	"9"	"17"	"803"	"0"	"803"
"276"	"182"	""	"119"	"7"	"169"	"13"	"23"	"9"	"4"	"4"	""	"5"	"6"	"12"	"158"	"8"	"23"	"560"	"0"	"560"
"277"	"182¼d½"	""	"138"	"2"	"94"	"7"	"20"	"2"	"0"	"3"	""	"2"	"6"	"4"	"51"	"4"	"16"	"349"	"0"	"349"
"278"	"183"	""	"226"	"5"	"210"	"12"	"39"	"4"	"3"	"8"	""	"2"	"8"	"4"	"43"	"5"	"20"	"589"	"0"	"589"
"279"	"184"	""	"143"	"5"	"302"	"19"	"4"	"4"	"2"	"5"	""	"4"	"6"	"4"	"72"	"7"	"17"	"594"	"0"	"594"
"280"	"185"	""	"123"	"4"	"88"	"7"	"5"	"1"	"1"	"2"	""	"0"	"6"	"2"	"6"	"6"	"8"	"259"	"0"	"259"
"281"	"186"	""	"216"	"5"	"126"	"6"	"7"	"3"	"1"	"8"	""	"1"	"9"	"2"	"12"	"5"	"21"	"422"	"0"	"422"
"282"	"187"	""	"246"	"25"	"257"	"8"	"8"	"3"	"2"	"11"	""	"8"	"10"	"11"	"148"	"11"	"35"	"783"	"0"	"783"
"283"	"188"	""	"206"	"7"	"350"	"9"	"46"	"5"	"3"	"6"	""	"10"	"13"	"8"	"32"	"9"	"17"	"721"	"0"	"721"
"284"	"189"	""	"357"	"8"	"229"	"25"	"2"	"4"	"3"	"18"	""	"10"	"12"	"5"	"44"	"7"	"29"	"753"	"0"	"753"
"285"	"; ksx"	""	"2652"	"101"	"2327"	"137"	"226"	"56"	"26"	"96"	""	"59"	"117"	"78"	"1250"	"83"	"259"	"7467"	"0"	"7467"
"286"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"37408"	"1277"	"23473"	"4111"	"4117"	"765"	"528"	"1840"	""	"598"	"1843"	"965"	"13367"	"1061"	"3209"	"94562"	"0"	"94562"
"287"	"d qy  ; ksx"	""	"40060"	"1378"	"25800"	"4248"	"4343"	"821"	"554"	"1936"	""	"657"	"1960"	"1043"	"14617"	"1144"	"3468"	"102029"	"0"	"102029"
