"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"
"84"	"42"	""	""	""	""	""	"69"	""	"87"	""	"161"	""	"3"	""	"1"	""	"7"	"4"	"1"	"5"	""	"2"	""	"2"	"3"	"2"	""	"37"	""	"3"	""	"6"	"10"	""	"6"	""	"2"	""	"5"	""	"3"	""	"1"	"2"	""	"2"	"0"	"4"	"9"	""	"1"	""	"4"	""	"442"	""	""
"85"	"43"	""	""	""	""	""	"9"	""	"68"	""	"106"	""	"2"	""	"0"	""	"0"	"0"	"1"	"1"	""	"1"	""	"1"	"4"	"0"	""	"19"	""	"3"	""	"0"	"1"	""	"3"	""	"0"	""	"1"	""	"0"	""	"0"	"2"	""	"0"	"0"	"2"	"1"	""	"2"	""	"5"	""	"232"	""	""
"86"	"44"	""	""	""	""	""	"10"	""	"83"	""	"227"	""	"2"	""	"1"	""	"3"	"2"	"2"	"6"	""	"2"	""	"4"	"1"	"3"	""	"87"	""	"5"	""	"3"	"6"	""	"7"	""	"8"	""	"5"	""	"4"	""	"1"	"1"	""	"1"	"1"	"3"	"12"	""	"0"	""	"4"	""	"494"	""	""
"87"	"45"	""	""	""	""	""	"32"	""	"146"	""	"355"	""	"6"	""	"1"	""	"6"	"2"	"1"	"2"	""	"4"	""	"5"	"6"	"6"	""	"86"	""	"9"	""	"4"	"1"	""	"0"	""	"8"	""	"2"	""	"0"	""	"0"	"1"	""	"1"	"0"	"2"	"0"	""	"1"	""	"3"	""	"690"	""	""
"88"	"46"	""	""	""	""	""	"75"	""	"17"	""	"251"	""	"7"	""	"2"	""	"4"	"3"	"6"	"4"	""	"1"	""	"9"	"4"	"6"	""	"39"	""	"0"	""	"2"	"4"	""	"8"	""	"4"	""	"6"	""	"7"	""	"3"	"2"	""	"3"	"3"	"7"	"3"	""	"2"	""	"3"	""	"485"	""	""
"89"	"47"	""	""	""	""	""	"82"	""	"128"	""	"63"	""	"5"	""	"3"	""	"4"	"4"	"6"	"7"	""	"3"	""	"53"	"3"	"5"	""	"74"	""	"2"	""	"7"	"4"	""	"1"	""	"0"	""	"1"	""	"1"	""	"2"	"1"	""	"0"	"0"	"2"	"9"	""	"0"	""	"1"	""	"471"	""	""
"90"	"48"	""	""	""	""	""	"37"	""	"39"	""	"106"	""	"3"	""	"2"	""	"5"	"2"	"3"	"8"	""	"2"	""	"8"	"3"	"7"	""	"94"	""	"5"	""	"3"	"11"	""	"3"	""	"4"	""	"5"	""	"2"	""	"6"	"2"	""	"4"	"7"	"6"	"5"	""	"4"	""	"5"	""	"391"	""	""
"91"	"49"	""	""	""	""	""	"6"	""	"35"	""	"57"	""	"3"	""	"0"	""	"1"	"0"	"0"	"5"	""	"1"	""	"0"	"0"	"0"	""	"91"	""	"0"	""	"2"	"2"	""	"1"	""	"1"	""	"0"	""	"3"	""	"1"	"1"	""	"2"	"2"	"3"	"8"	""	"1"	""	"5"	""	"231"	""	""
"92"	"50"	""	""	""	""	""	"15"	""	"76"	""	"124"	""	"1"	""	"0"	""	"3"	"0"	"1"	"1"	""	"2"	""	"3"	"3"	"2"	""	"53"	""	"1"	""	"2"	"5"	""	"1"	""	"1"	""	"1"	""	"4"	""	"0"	"0"	""	"4"	"1"	"3"	"0"	""	"0"	""	"5"	""	"312"	""	""
"93"	"51"	""	""	""	""	""	"108"	""	"21"	""	"110"	""	"7"	""	"4"	""	"2"	"3"	"3"	"14"	""	"0"	""	"6"	"0"	"10"	""	"158"	""	"3"	""	"7"	"6"	""	"0"	""	"6"	""	"4"	""	"1"	""	"2"	"1"	""	"1"	"2"	"2"	"3"	""	"2"	""	"5"	""	"491"	""	""
"94"	"52"	""	""	""	""	""	"15"	""	"65"	""	"81"	""	"6"	""	"1"	""	"2"	"0"	"0"	"5"	""	"1"	""	"4"	"1"	"3"	""	"121"	""	"19"	""	"1"	"0"	""	"1"	""	"2"	""	"0"	""	"2"	""	"0"	"0"	""	"1"	"0"	"1"	"1"	""	"0"	""	"2"	""	"335"	""	""
"95"	"53"	""	""	""	""	""	"20"	""	"43"	""	"47"	""	"4"	""	"0"	""	"4"	"1"	"0"	"5"	""	"1"	""	"0"	"1"	"1"	""	"68"	""	"0"	""	"1"	"4"	""	"4"	""	"2"	""	"1"	""	"4"	""	"1"	"0"	""	"0"	"0"	"4"	"2"	""	"1"	""	"1"	""	"220"	""	""
"96"	"54"	""	""	""	""	""	"41"	""	"151"	""	"48"	""	"7"	""	"3"	""	"0"	"2"	"2"	"9"	""	"1"	""	"1"	"3"	"5"	""	"121"	""	"2"	""	"4"	"8"	""	"9"	""	"12"	""	"3"	""	"14"	""	"4"	"3"	""	"3"	"2"	"2"	"4"	""	"3"	""	"6"	""	"473"	""	""
"97"	"55"	""	""	""	""	""	"81"	""	"52"	""	"128"	""	"7"	""	"3"	""	"3"	"1"	"1"	"3"	""	"1"	""	"3"	"5"	"6"	""	"121"	""	"5"	""	"8"	"20"	""	"9"	""	"5"	""	"14"	""	"5"	""	"2"	"2"	""	"7"	"8"	"12"	"13"	""	"4"	""	"18"	""	"547"	""	""
"98"	"Round"	""	""	""	""	""	"600"	""	"1011"	""	"1864"	""	"63"	""	"21"	""	"44"	"24"	"27"	"75"	""	"22"	""	"99"	"37"	"56"	""	"1169"	""	"57"	""	"50"	"82"	""	"53"	""	"55"	""	"48"	""	"50"	""	"23"	"18"	""	"29"	"26"	"53"	"70"	""	"21"	""	"67"	""	"24605"	""	""
"99"	"56"	""	""	""	""	""	"8"	""	"41"	""	"95"	""	"5"	""	"1"	""	"1"	"1"	"3"	"4"	""	"0"	""	"7"	"3"	"7"	""	"175"	""	"3"	""	"3"	"2"	""	"1"	""	"1"	""	"0"	""	"0"	""	"1"	"1"	""	"1"	"0"	"1"	"5"	""	"1"	""	"2"	""	"373"	""	""
"100"	"57"	""	""	""	""	""	"103"	""	"17"	""	"199"	""	"5"	""	"1"	""	"4"	"6"	"9"	"3"	""	"1"	""	"2"	"6"	"6"	""	"114"	""	"3"	""	"1"	"9"	""	"2"	""	"2"	""	"2"	""	"6"	""	"1"	"0"	""	"2"	"2"	"3"	"2"	""	"1"	""	"2"	""	"514"	""	""
"101"	"58"	""	""	""	""	""	"40"	""	"102"	""	"150"	""	"6"	""	"1"	""	"0"	"1"	"0"	"10"	""	"1"	""	"2"	"2"	"1"	""	"80"	""	"1"	""	"3"	"4"	""	"3"	""	"1"	""	"4"	""	"2"	""	"1"	"2"	""	"2"	"2"	"1"	"2"	""	"2"	""	"2"	""	"428"	""	""
"102"	"59"	""	""	""	""	""	"45"	""	"91"	""	"119"	""	"5"	""	"2"	""	"1"	"1"	"2"	"3"	""	"1"	""	"0"	"0"	"4"	""	"96"	""	"0"	""	"4"	"2"	""	"3"	""	"9"	""	"2"	""	"5"	""	"2"	"4"	""	"2"	"1"	"3"	"3"	""	"0"	""	"6"	""	"416"	""	""
"103"	"60"	""	""	""	""	""	"24"	""	"109"	""	"146"	""	"11"	""	"6"	""	"9"	"6"	"9"	"11"	""	"8"	""	"12"	"11"	"15"	""	"180"	""	"11"	""	"33"	"4"	""	"7"	""	"14"	""	"4"	""	"7"	""	"3"	"6"	""	"3"	"10"	"9"	"21"	""	"10"	""	"26"	""	"725"	""	""
"104"	"61"	""	""	""	""	""	"4"	""	"100"	""	"75"	""	"2"	""	"0"	""	"1"	"0"	"1"	"0"	""	"2"	""	"2"	"0"	"0"	""	"35"	""	"0"	""	"1"	"5"	""	"0"	""	"1"	""	"2"	""	"2"	""	"0"	"0"	""	"2"	"2"	"2"	"1"	""	"1"	""	"4"	""	"245"	""	""
"105"	"62"	""	""	""	""	""	"14"	""	"76"	""	"160"	""	"6"	""	"2"	""	"4"	"2"	"1"	"0"	""	"1"	""	"2"	"1"	"2"	""	"53"	""	"2"	""	"2"	"12"	""	"1"	""	"2"	""	"1"	""	"2"	""	"1"	"2"	""	"3"	"4"	"3"	"6"	""	"3"	""	"5"	""	"373"	""	""
"106"	"63"	""	""	""	""	""	"143"	""	"70"	""	"94"	""	"4"	""	"0"	""	"1"	"0"	"2"	"2"	""	"4"	""	"5"	"0"	"4"	""	"55"	""	"2"	""	"1"	"9"	""	"4"	""	"1"	""	"2"	""	"3"	""	"2"	"4"	""	"2"	"5"	"4"	"8"	""	"2"	""	"6"	""	"439"	""	""
"107"	"64"	""	""	""	""	""	"16"	""	"272"	""	"144"	""	"10"	""	"3"	""	"2"	"6"	"2"	"3"	""	"0"	""	"4"	"3"	"4"	""	"47"	""	"6"	""	"7"	"16"	""	"11"	""	"9"	""	"9"	""	"9"	""	"6"	"6"	""	"6"	"7"	"9"	"10"	""	"10"	""	"33"	""	"670"	""	""
"108"	"65"	""	""	""	""	""	"21"	""	"142"	""	"122"	""	"3"	""	"0"	""	"1"	"0"	"1"	"5"	""	"1"	""	"7"	"1"	"3"	""	"81"	""	"14"	""	"9"	"15"	""	"9"	""	"13"	""	"7"	""	"18"	""	"1"	"6"	""	"7"	"7"	"13"	"14"	""	"10"	""	"34"	""	"565"	""	""
"109"	"66"	""	""	""	""	""	"16"	""	"264"	""	"46"	""	"4"	""	"0"	""	"2"	"0"	"0"	"1"	""	"4"	""	"0"	"0"	"2"	""	"8"	""	"1"	""	"2"	"3"	""	"5"	""	"4"	""	"149"	""	"12"	""	"3"	"2"	""	"2"	"0"	"16"	"4"	""	"3"	""	"8"	""	"561"	""	""
"110"	"67"	""	""	""	""	""	"17"	""	"185"	""	"183"	""	"10"	""	"2"	""	"3"	"3"	"4"	"5"	""	"1"	""	"5"	"3"	"0"	""	"15"	""	"10"	""	"3"	"9"	""	"7"	""	"5"	""	"119"	""	"13"	""	"5"	"2"	""	"5"	"1"	"4"	"24"	""	"5"	""	"9"	""	"657"	""	""
"111"	"68"	""	""	""	""	""	"30"	""	"24"	""	"78"	""	"2"	""	"1"	""	"1"	"1"	"2"	"5"	""	"1"	""	"4"	"1"	"4"	""	"79"	""	"1"	""	"1"	"4"	""	"6"	""	"0"	""	"57"	""	"2"	""	"2"	"1"	""	"1"	"5"	"1"	"2"	""	"0"	""	"3"	""	"319"	""	""
"112"	"69"	""	""	""	""	""	"21"	""	"105"	""	"135"	""	"5"	""	"8"	""	"1"	"4"	"0"	"6"	""	"0"	""	"3"	"6"	"14"	""	"106"	""	"3"	""	"6"	"6"	""	"4"	""	"9"	""	"41"	""	"2"	""	"5"	"2"	""	"6"	"3"	"10"	"1"	""	"5"	""	"7"	""	"524"	""	""
"113"	"Round"	""	""	""	""	""	"502"	""	"1598"	""	"1746"	""	"78"	""	"27"	""	"31"	"31"	"36"	"58"	""	"25"	""	"55"	"37"	"66"	""	"1124"	""	"57"	""	"76"	"100"	""	"63"	""	"71"	""	"399"	""	"83"	""	"33"	"38"	""	"44"	"49"	"79"	"103"	""	"53"	""	"147"	""	"31414"	""	""
"114"	"70"	""	""	""	""	""	"74"	""	"357"	""	"76"	""	"6"	""	"1"	""	"2"	"1"	"2"	"4"	""	"1"	""	"9"	"3"	"6"	""	"18"	""	"4"	""	"1"	"6"	""	"5"	""	"18"	""	"18"	""	"3"	""	"2"	"6"	""	"6"	"1"	"7"	"1"	""	"2"	""	"4"	""	"644"	""	""
"115"	"0"	"623"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"0"	"532"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"0"	"533"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"0"	"698"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"0"	"561"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"0"	"517"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"0"	"281"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"0"	"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"0"	"266"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"0"	"314"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"0"	"347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"0"	"498"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"0"	"588"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"0"	"625"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"0"	"18791"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"0"	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"0"	"232"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"0"	"494"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"0"	"690"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"0"	"485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"0"	"471"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"0"	"391"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"0"	"231"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"0"	"312"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"0"	"491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"0"	"335"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"0"	"220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"0"	"473"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"0"	"547"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"0"	"24605"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"0"	"373"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"0"	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"0"	"428"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"0"	"416"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"0"	"725"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"0"	"245"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"0"	"373"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"0"	"439"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"0"	"670"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"0"	"565"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"0"	"561"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"0"	"657"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"0"	"319"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"0"	"524"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"0"	"31414"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"0"	"644"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"71"	""	""	""	""	""	"104"	""	"66"	""	"235"	""	"5"	""	"2"	""	"4"	"0"	"0"	"2"	""	"0"	""	"2"	"2"	"0"	""	"5"	""	"3"	""	"3"	"5"	""	"3"	""	"3"	""	"33"	""	"3"	""	"3"	"8"	""	"4"	"3"	"11"	"15"	""	"6"	""	"8"	""	"538"	""	""
"162"	"72"	""	""	""	""	""	"140"	""	"95"	""	"114"	""	"7"	""	"3"	""	"2"	"1"	"5"	"8"	""	"2"	""	"11"	"1"	"4"	""	"50"	""	"1"	""	"6"	"6"	""	"1"	""	"2"	""	"2"	""	"0"	""	"1"	"15"	""	"3"	"0"	"0"	"1"	""	"2"	""	"4"	""	"487"	""	""
"163"	"73"	""	""	""	""	""	"49"	""	"86"	""	"259"	""	"16"	""	"4"	""	"6"	"1"	"1"	"2"	""	"1"	""	"4"	"4"	"1"	""	"16"	""	"4"	""	"0"	"5"	""	"0"	""	"3"	""	"2"	""	"5"	""	"0"	"2"	""	"0"	"2"	"5"	"37"	""	"0"	""	"5"	""	"520"	""	""
"164"	"74"	""	""	""	""	""	"51"	""	"364"	""	"60"	""	"3"	""	"13"	""	"3"	"1"	"2"	"4"	""	"7"	""	"15"	"2"	"0"	""	"32"	""	"3"	""	"3"	"6"	""	"1"	""	"2"	""	"4"	""	"5"	""	"1"	"1"	""	"0"	"2"	"4"	"69"	""	"1"	""	"2"	""	"661"	""	""
"165"	"75"	""	""	""	""	""	"50"	""	"84"	""	"22"	""	"2"	""	"0"	""	"0"	"1"	"0"	"2"	""	"3"	""	"9"	"0"	"1"	""	"35"	""	"2"	""	"4"	"8"	""	"3"	""	"5"	""	"4"	""	"5"	""	"3"	"0"	""	"1"	"2"	"8"	"151"	""	"2"	""	"9"	""	"416"	""	""
"166"	"76"	""	""	""	""	""	"23"	""	"116"	""	"50"	""	"2"	""	"3"	""	"3"	"1"	"0"	"4"	""	"2"	""	"6"	"1"	"2"	""	"37"	""	"2"	""	"4"	"4"	""	"1"	""	"3"	""	"2"	""	"3"	""	"4"	"0"	""	"2"	"2"	"9"	"73"	""	"0"	""	"7"	""	"366"	""	""
"167"	"77"	""	""	""	""	""	"40"	""	"127"	""	"34"	""	"1"	""	"1"	""	"0"	"1"	"2"	"2"	""	"1"	""	"8"	"1"	"3"	""	"38"	""	"1"	""	"1"	"3"	""	"2"	""	"0"	""	"1"	""	"5"	""	"0"	"11"	""	"0"	"1"	"1"	"9"	""	"2"	""	"3"	""	"299"	""	""
"168"	"78"	""	""	""	""	""	"26"	""	"188"	""	"64"	""	"3"	""	"2"	""	"1"	"1"	"1"	"2"	""	"0"	""	"9"	"6"	"0"	""	"19"	""	"1"	""	"2"	"3"	""	"1"	""	"2"	""	"5"	""	"5"	""	"0"	"2"	""	"2"	"1"	"2"	"3"	""	"0"	""	"1"	""	"352"	""	""
"169"	"79"	""	""	""	""	""	"104"	""	"107"	""	"134"	""	"7"	""	"0"	""	"4"	"0"	"2"	"3"	""	"0"	""	"2"	"12"	"4"	""	"106"	""	"2"	""	"4"	"11"	""	"7"	""	"4"	""	"4"	""	"5"	""	"7"	"15"	""	"7"	"12"	"6"	"10"	""	"6"	""	"24"	""	"609"	""	""
"170"	"80"	""	""	""	""	""	"129"	""	"254"	""	"49"	""	"6"	""	"4"	""	"1"	"3"	"3"	"10"	""	"2"	""	"10"	"5"	"7"	""	"157"	""	"5"	""	"6"	"6"	""	"8"	""	"2"	""	"4"	""	"8"	""	"3"	"26"	""	"3"	"2"	"2"	"5"	""	"2"	""	"5"	""	"727"	""	""
"171"	"81"	""	""	""	""	""	"67"	""	"140"	""	"224"	""	"10"	""	"2"	""	"3"	"1"	"1"	"5"	""	"1"	""	"3"	"3"	"0"	""	"30"	""	"1"	""	"4"	"23"	""	"11"	""	"14"	""	"4"	""	"2"	""	"3"	"77"	""	"3"	"3"	"8"	"19"	""	"6"	""	"21"	""	"689"	""	""
"172"	"82"	""	""	""	""	""	"48"	""	"246"	""	"204"	""	"8"	""	"3"	""	"0"	"0"	"0"	"1"	""	"1"	""	"12"	"1"	"2"	""	"5"	""	"5"	""	"2"	"3"	""	"3"	""	"5"	""	"15"	""	"2"	""	"3"	"0"	""	"1"	"2"	"2"	"59"	""	"2"	""	"3"	""	"638"	""	""
"173"	"83"	""	""	""	""	""	"36"	""	"257"	""	"40"	""	"6"	""	"1"	""	"2"	"1"	"9"	"1"	""	"18"	""	"11"	"0"	"1"	""	"32"	""	"6"	""	"6"	"1"	""	"5"	""	"7"	""	"8"	""	"3"	""	"2"	"5"	""	"2"	"1"	"8"	"116"	""	"5"	""	"5"	""	"595"	""	""
