"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"238"	"216"	""	"216"	"9"	"76"	"7"	"2"	"3"	"7"	"3"	"12"	"12"	"347"
"239"	"BOOTH NO"	""	"UDAY NARAYAN CHOUDHARY"	"KANHAI SINGH BHOGTA"	"RAUSHAN KUMAR"	"SUJEET MANJHI"	"SUDHIR KUMAR BHARTI"	"BAGESHWA RI PASWAN"	"RAGHUNI RAM SHASTRI"	"KRISHNA DAS"	"FAKIR CHAND DAS"	"RAM KHELAWAN CHOUDHARY"	"Total Valid Votes"
"240"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"241"	"217"	""	"144"	"0"	"71"	"5"	"4"	"1"	"2"	"2"	"20"	"5"	"254"
"242"	"218"	""	"213"	"11"	"127"	"6"	"1"	"4"	"3"	"4"	"16"	"10"	"395"
"243"	"219"	""	"318"	"7"	"111"	"7"	"4"	"7"	"7"	"5"	"50"	"15"	"531"
"244"	"220"	""	"103"	"8"	"108"	"6"	"5"	"4"	"7"	"5"	"61"	"16"	"323"
"245"	"221"	""	"329"	"12"	"232"	"22"	"5"	"8"	"9"	"3"	"29"	"11"	"660"
"246"	"222"	""	"194"	"7"	"125"	"24"	"4"	"1"	"9"	"15"	"23"	"25"	"427"
"247"	"223"	""	"211"	"6"	"127"	"6"	"3"	"1"	"3"	"4"	"28"	"8"	"397"
"248"	"224"	""	"92"	"9"	"71"	"9"	"3"	"7"	"14"	"12"	"91"	"21"	"329"
"249"	"224"	"A"	"80"	"5"	"122"	"15"	"6"	"8"	"12"	"11"	"67"	"17"	"343"
"250"	"225"	""	"154"	"2"	"102"	"9"	"2"	"3"	"3"	"2"	"26"	"4"	"307"
"251"	"226"	""	"83"	"10"	"71"	"8"	"5"	"6"	"8"	"7"	"253"	"15"	"466"
"252"	"227"	""	"84"	"3"	"77"	"4"	"1"	"3"	"5"	"1"	"50"	"7"	"235"
"253"	"228"	""	"354"	"5"	"86"	"5"	"1"	"2"	"7"	"4"	"29"	"11"	"504"
"254"	"229"	""	"192"	"6"	"60"	"5"	"2"	"2"	"4"	"5"	"47"	"9"	"332"
"255"	"230"	""	"155"	"4"	"123"	"4"	"0"	"6"	"5"	"3"	"128"	"20"	"448"
"256"	"231"	""	"190"	"6"	"43"	"9"	"1"	"6"	"7"	"2"	"17"	"19"	"300"
"257"	"232"	""	"110"	"7"	"147"	"18"	"6"	"4"	"28"	"7"	"33"	"27"	"387"
"258"	"233"	""	"83"	"4"	"123"	"7"	"4"	"1"	"4"	"3"	"7"	"3"	"239"
"259"	"234"	""	"52"	"6"	"170"	"7"	"0"	"2"	"3"	"5"	"18"	"16"	"279"
"260"	"235"	""	"158"	"0"	"31"	"1"	"1"	"1"	"3"	"0"	"10"	"4"	"209"
"261"	"236"	""	"128"	"5"	"74"	"3"	"1"	"5"	"1"	"3"	"11"	"3"	"234"
"262"	"237"	""	"166"	"5"	"73"	"5"	"0"	"2"	"4"	"2"	"4"	"5"	"266"
"263"	"238"	""	"354"	"2"	"36"	"6"	"0"	"5"	"3"	"1"	"8"	"1"	"416"
"264"	"239"	""	"405"	"15"	"166"	"15"	"1"	"1"	"4"	"4"	"8"	"9"	"628"
"265"	"240"	""	"120"	"7"	"253"	"12"	"2"	"0"	"2"	"4"	"11"	"14"	"425"
"266"	"241"	""	"511"	"3"	"109"	"7"	"4"	"1"	"4"	"0"	"11"	"2"	"652"
"267"	"242"	""	"168"	"3"	"78"	"6"	"0"	"8"	"1"	"0"	"26"	"6"	"296"
"268"	"243"	""	"261"	"5"	"125"	"9"	"3"	"3"	"14"	"6"	"11"	"8"	"445"
"269"	"244"	""	"109"	"9"	"315"	"18"	"5"	"7"	"7"	"8"	"10"	"7"	"495"
"270"	"245"	""	"261"	"36"	"206"	"19"	"6"	"10"	"9"	"7"	"22"	"21"	"597"
"271"	"246"	""	"75"	"18"	"336"	"20"	"4"	"9"	"15"	"7"	"15"	"19"	"518"
"272"	"247"	""	"312"	"12"	"217"	"15"	"6"	"2"	"6"	"3"	"13"	"5"	"591"
"273"	"BOOTH NO"	""	"UDAY NARAYAN CHOUDHARY"	"KANHAI SINGH BHOGTA"	"RAUSHAN KUMAR"	"SUJEET MANJHI"	"SUDHIR KUMAR BHARTI"	"BAGESHWA RI PASWAN"	"RAGHUNI RAM SHASTRI"	"KRISHNA DAS"	"FAKIR CHAND DAS"	"RAM KHELAWAN CHOUDHARY"	"Total Valid Votes"
"274"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"275"	"248"	""	"434"	"8"	"139"	"13"	"5"	"6"	"5"	"3"	"11"	"9"	"633"
"276"	"249"	""	"242"	"28"	"244"	"25"	"15"	"12"	"23"	"10"	"22"	"32"	"653"
"277"	"250"	""	"168"	"11"	"302"	"28"	"4"	"3"	"4"	"6"	"15"	"12"	"553"
"278"	"251"	""	"147"	"19"	"278"	"14"	"8"	"2"	"6"	"0"	"16"	"11"	"501"
"279"	"252"	""	"240"	"6"	"35"	"8"	"3"	"3"	"4"	"2"	"10"	"11"	"322"
"280"	"253"	""	"295"	"13"	"102"	"14"	"6"	"2"	"10"	"6"	"31"	"16"	"495"
"281"	"254"	""	"312"	"9"	"185"	"22"	"8"	"4"	"13"	"9"	"12"	"19"	"593"
"282"	"255"	""	"210"	"10"	"73"	"9"	"2"	"3"	"12"	"5"	"21"	"28"	"373"
"283"	"256"	""	"162"	"8"	"147"	"13"	"5"	"9"	"6"	"4"	"33"	"12"	"399"
"284"	"257"	""	"146"	"6"	"120"	"21"	"7"	"6"	"18"	"16"	"30"	"23"	"393"
"285"	"258"	""	"160"	"4"	"77"	"8"	"6"	"4"	"3"	"2"	"10"	"11"	"285"
"286"	"259"	""	"55"	"12"	"244"	"15"	"6"	"3"	"4"	"6"	"9"	"3"	"357"
"287"	"260"	""	"187"	"10"	"203"	"16"	"9"	"6"	"13"	"4"	"14"	"9"	"471"
"288"	"260"	"A"	"140"	"1"	"172"	"8"	"1"	"2"	"4"	"4"	"3"	"3"	"338"
"289"	"261"	""	"90"	"14"	"153"	"13"	"12"	"6"	"5"	"8"	"16"	"12"	"329"
"290"	"262"	""	"68"	"16"	"181"	"17"	"5"	"7"	"6"	"7"	"1"	"4"	"312"
"291"	"263"	""	"258"	"11"	"22"	"7"	"2"	"3"	"7"	"2"	"17"	"9"	"338"
"292"	"264"	""	"163"	"9"	"51"	"7"	"3"	"2"	"6"	"3"	"5"	"9"	"258"
"293"	"264"	"A"	"163"	"9"	"186"	"8"	"7"	"1"	"11"	"6"	"24"	"6"	"421"
"294"	"265"	""	"267"	"3"	"77"	"10"	"2"	"5"	"10"	"4"	"21"	"18"	"417"
"295"	"266"	""	"242"	"2"	"122"	"3"	"0"	"1"	"5"	"0"	"6"	"1"	"382"
"296"	"267"	""	"205"	"1"	"46"	"5"	"1"	"2"	"8"	"2"	"11"	"10"	"291"
"297"	"268"	""	"68"	"4"	"113"	"5"	"2"	"1"	"3"	"1"	"3"	"1"	"201"
"298"	"269"	""	"164"	"14"	"176"	"41"	"5"	"4"	"9"	"9"	"7"	"13"	"442"
"299"	"270"	""	"64"	"7"	"110"	"10"	"2"	"3"	"3"	"0"	"7"	"4"	"210"
"300"	"271"	""	"44"	"5"	"291"	"9"	"2"	"3"	"6"	"3"	"3"	"6"	"372"
"301"	"272"	""	"271"	"7"	"176"	"9"	"1"	"1"	"7"	"3"	"29"	"11"	"515"
"302"	"273"	""	"189"	"4"	"101"	"14"	"11"	"9"	"22"	"10"	"10"	"17"	"387"
"303"	"274"	""	"98"	"5"	"95"	"11"	"3"	"2"	"3"	"1"	"13"	"14"	"245"
"304"	"Total"	""	"44116"	"2565"	"42907"	"4478"	"1235"	"1563"	"2374"	"1885"	"4368"	"3578"	"109069"
"305"	"POSTAL
BALLOT"	""	"10"	"0"	"8"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"19"
"306"	"Grand Total"	""	"44126"	"2565"	"42915"	"4478"	"1235"	"1563"	"2375"	"1885"	"4368"	"3578"	"109088"
