"P.S."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total"
"190"	"175"	"5"	"70"	"3"	"251"	"5"	"0"	"6"	"0"	"2"	"0"	"5"	"2"	"4"	"9"	"362"
"191"	"176"	"4"	"75"	"3"	"362"	"8"	"2"	"2"	"1"	"1"	"5"	"17"	"3"	"10"	"7"	"500"
"192"	"177"	"6"	"90"	"1"	"329"	"2"	"0"	"1"	"1"	"2"	"1"	"8"	"2"	"3"	"7"	"453"
"193"	"177A"	"9"	"114"	"3"	"221"	"4"	"1"	"4"	"0"	"1"	"0"	"6"	"1"	"2"	"1"	"367"
"194"	"178"	"5"	"260"	"6"	"431"	"8"	"1"	"1"	"1"	"0"	"2"	"8"	"2"	"8"	"8"	"741"
"195"	"179"	"6"	"57"	"4"	"361"	"4"	"0"	"1"	"1"	"1"	"3"	"9"	"5"	"3"	"8"	"463"
"196"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"197"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"198"	"179A"	"8"	"56"	"0"	"395"	"9"	"0"	"2"	"0"	"1"	"1"	"7"	"1"	"6"	"2"	"488"
"199"	"180"	"4"	"123"	"1"	"214"	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"9"	"369"
"200"	"181"	"2"	"185"	"3"	"153"	"5"	"0"	"0"	"1"	"1"	"0"	"4"	"1"	"7"	"11"	"373"
"201"	"182"	"57"	"33"	"2"	"279"	"7"	"2"	"3"	"1"	"1"	"4"	"6"	"4"	"3"	"15"	"417"
"202"	"182A"	"15"	"19"	"0"	"310"	"2"	"1"	"5"	"4"	"2"	"3"	"3"	"2"	"2"	"10"	"378"
"203"	"183"	"5"	"29"	"1"	"368"	"4"	"0"	"3"	"0"	"0"	"4"	"2"	"0"	"1"	"2"	"419"
"204"	"184"	"11"	"134"	"8"	"399"	"12"	"1"	"9"	"1"	"6"	"2"	"22"	"8"	"5"	"31"	"649"
"205"	"185"	"11"	"97"	"3"	"407"	"28"	"1"	"1"	"0"	"3"	"6"	"10"	"4"	"7"	"10"	"588"
"206"	"186"	"0"	"52"	"1"	"255"	"10"	"0"	"4"	"0"	"1"	"2"	"9"	"1"	"4"	"14"	"353"
"207"	"187"	"2"	"75"	"1"	"330"	"5"	"1"	"1"	"1"	"0"	"0"	"6"	"2"	"3"	"6"	"433"
"208"	"188"	"8"	"6"	"5"	"291"	"5"	"1"	"2"	"0"	"2"	"0"	"4"	"0"	"3"	"5"	"332"
"209"	"189"	"3"	"5"	"0"	"424"	"11"	"2"	"1"	"0"	"0"	"0"	"7"	"3"	"2"	"4"	"462"
"210"	"190"	"12"	"34"	"2"	"427"	"9"	"5"	"1"	"1"	"1"	"4"	"5"	"2"	"2"	"6"	"511"
"211"	"191"	"2"	"330"	"2"	"7"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"349"
"212"	"192"	"3"	"191"	"0"	"46"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"246"
"213"	"193"	"0"	"354"	"2"	"159"	"7"	"0"	"2"	"0"	"2"	"2"	"4"	"1"	"7"	"11"	"551"
"214"	"194"	"13"	"64"	"5"	"415"	"10"	"1"	"1"	"2"	"1"	"0"	"5"	"3"	"4"	"11"	"535"
"215"	"195"	"3"	"65"	"2"	"215"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"4"	"5"	"302"
"216"	"196"	"1"	"47"	"0"	"212"	"1"	"0"	"2"	"2"	"0"	"1"	"1"	"1"	"2"	"2"	"272"
"217"	"197"	"2"	"49"	"0"	"233"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"6"	"0"	"295"
"218"	"198"	"3"	"129"	"3"	"201"	"8"	"1"	"1"	"1"	"1"	"1"	"9"	"2"	"6"	"6"	"372"
"219"	"199"	"4"	"87"	"5"	"341"	"8"	"2"	"4"	"2"	"2"	"4"	"10"	"9"	"7"	"13"	"498"
"220"	"200"	"4"	"69"	"2"	"361"	"7"	"1"	"4"	"0"	"2"	"4"	"6"	"5"	"6"	"12"	"483"
"221"	"201"	"4"	"194"	"0"	"190"	"9"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"5"	"6"	"413"
"222"	"202"	"1"	"37"	"0"	"186"	"6"	"0"	"2"	"0"	"1"	"0"	"3"	"4"	"0"	"2"	"242"
"223"	"203"	"3"	"52"	"0"	"197"	"3"	"0"	"2"	"0"	"1"	"0"	"4"	"0"	"2"	"2"	"266"
"224"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"225"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"226"	"204"	"6"	"379"	"6"	"127"	"11"	"1"	"1"	"0"	"2"	"1"	"3"	"1"	"7"	"17"	"562"
"227"	"205"	"3"	"333"	"2"	"132"	"13"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"5"	"12"	"505"
"228"	"206"	"9"	"244"	"5"	"148"	"8"	"3"	"1"	"1"	"1"	"0"	"5"	"4"	"2"	"15"	"446"
"229"	"207"	"3"	"187"	"0"	"66"	"2"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"5"	"3"	"271"
"230"	"208"	"5"	"51"	"6"	"188"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"4"	"260"
"231"	"209"	"4"	"34"	"1"	"229"	"3"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"277"
"232"	"209A"	"0"	"8"	"0"	"275"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"287"
"233"	"210"	"8"	"95"	"0"	"424"	"21"	"2"	"4"	"1"	"1"	"5"	"14"	"3"	"10"	"5"	"593"
"234"	"211"	"2"	"35"	"2"	"279"	"15"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"1"	"3"	"343"
"235"	"212"	"3"	"55"	"3"	"204"	"1"	"1"	"0"	"1"	"0"	"0"	"7"	"2"	"1"	"4"	"282"
"236"	"213"	"15"	"46"	"4"	"523"	"14"	"2"	"3"	"0"	"4"	"0"	"5"	"1"	"7"	"10"	"634"
"237"	"214"	"5"	"206"	"1"	"10"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"227"
"238"	"215"	"5"	"303"	"4"	"104"	"2"	"0"	"1"	"0"	"2"	"2"	"5"	"1"	"0"	"6"	"435"
"239"	"216"	"5"	"378"	"3"	"66"	"6"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"3"	"5"	"469"
"240"	"217"	"16"	"490"	"7"	"134"	"9"	"2"	"1"	"2"	"1"	"0"	"4"	"1"	"2"	"15"	"684"
"241"	"218"	"14"	"203"	"5"	"257"	"6"	"1"	"4"	"1"	"1"	"1"	"10"	"4"	"6"	"7"	"520"
"242"	"219"	"13"	"119"	"3"	"299"	"11"	"0"	"3"	"2"	"0"	"2"	"5"	"6"	"5"	"12"	"480"
"243"	"220"	"12"	"406"	"6"	"146"	"4"	"1"	"2"	"2"	"0"	"0"	"5"	"1"	"3"	"13"	"601"
"244"	"221"	"10"	"434"	"7"	"136"	"2"	"2"	"2"	"1"	"1"	"0"	"6"	"4"	"8"	"19"	"632"
"245"	"222"	"19"	"7"	"1"	"281"	"1"	"0"	"6"	"0"	"1"	"1"	"6"	"2"	"1"	"5"	"331"
"246"	"223"	"14"	"20"	"2"	"357"	"7"	"0"	"0"	"1"	"2"	"2"	"7"	"2"	"6"	"15"	"435"
"247"	"224"	"63"	"42"	"1"	"361"	"5"	"0"	"3"	"0"	"1"	"1"	"4"	"3"	"6"	"12"	"502"
"248"	"225"	"12"	"140"	"0"	"389"	"11"	"2"	"4"	"0"	"0"	"1"	"4"	"2"	"1"	"1"	"567"
"249"	"226"	"18"	"17"	"2"	"528"	"6"	"1"	"2"	"0"	"1"	"3"	"4"	"0"	"0"	"5"	"587"
"250"	"227"	"10"	"110"	"8"	"464"	"15"	"0"	"1"	"0"	"0"	"2"	"11"	"0"	"3"	"5"	"629"
"251"	"228"	"11"	"215"	"2"	"257"	"17"	"0"	"3"	"1"	"0"	"1"	"9"	"1"	"3"	"10"	"530"
"252"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"253"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"254"	"229"	"13"	"430"	"7"	"46"	"1"	"0"	"1"	"1"	"1"	"0"	"4"	"4"	"15"	"20"	"543"
"255"	"230"	"9"	"286"	"3"	"212"	"3"	"0"	"1"	"2"	"1"	"0"	"5"	"1"	"1"	"4"	"528"
"256"	"231"	"0"	"458"	"1"	"47"	"4"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"9"	"524"
"257"	"231A"	"2"	"230"	"2"	"189"	"7"	"0"	"2"	"2"	"1"	"1"	"1"	"0"	"0"	"8"	"445"
"258"	"232"	"10"	"449"	"5"	"116"	"2"	"2"	"1"	"0"	"2"	"1"	"8"	"4"	"10"	"21"	"631"
"259"	"233"	"4"	"361"	"3"	"145"	"3"	"1"	"1"	"2"	"0"	"1"	"12"	"4"	"10"	"14"	"561"
"260"	"234"	"1"	"280"	"1"	"13"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"6"	"309"
"261"	"235"	"5"	"298"	"2"	"19"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"5"	"340"
"262"	"236"	"4"	"30"	"1"	"432"	"4"	"4"	"1"	"2"	"1"	"8"	"17"	"2"	"4"	"15"	"525"
"263"	"237"	"6"	"598"	"2"	"14"	"6"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"5"	"635"
"264"	"238"	"80"	"32"	"1"	"435"	"3"	"0"	"2"	"1"	"0"	"0"	"6"	"1"	"2"	"9"	"572"
"265"	"239"	"23"	"15"	"2"	"293"	"2"	"1"	"0"	"1"	"2"	"0"	"6"	"3"	"2"	"4"	"354"
"266"	"240"	"83"	"58"	"5"	"311"	"8"	"2"	"0"	"1"	"2"	"1"	"8"	"2"	"3"	"9"	"493"
"267"	"241"	"24"	"72"	"4"	"273"	"8"	"1"	"5"	"2"	"0"	"3"	"12"	"5"	"4"	"19"	"432"
"268"	"242"	"22"	"87"	"3"	"210"	"8"	"1"	"4"	"0"	"5"	"3"	"16"	"3"	"7"	"9"	"378"
"269"	"243"	"1"	"124"	"3"	"187"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"3"	"4"	"328"
"270"	"244"	"1"	"51"	"1"	"226"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"285"
"271"	"245"	"6"	"101"	"1"	"273"	"5"	"1"	"0"	"1"	"0"	"1"	"4"	"2"	"1"	"2"	"398"
"272"	"246"	"1"	"124"	"2"	"201"	"2"	"1"	"0"	"2"	"1"	"0"	"2"	"1"	"4"	"9"	"350"
"273"	"247"	"4"	"46"	"6"	"350"	"6"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"4"	"3"	"424"
"274"	"248"	"2"	"43"	"3"	"521"	"7"	"2"	"2"	"0"	"1"	"1"	"14"	"0"	"4"	"8"	"608"
"275"	"249"	"5"	"129"	"1"	"207"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"6"	"356"
"276"	"250"	"9"	"168"	"4"	"170"	"2"	"0"	"0"	"2"	"2"	"0"	"2"	"1"	"3"	"8"	"371"
"277"	"251"	"11"	"101"	"0"	"94"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"208"
"278"	"252"	"7"	"98"	"4"	"329"	"5"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"1"	"7"	"456"
"279"	"253"	"2"	"84"	"1"	"180"	"2"	"0"	"3"	"0"	"0"	"1"	"2"	"0"	"3"	"8"	"286"
"280"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"281"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"282"	"254"	"1"	"77"	"1"	"177"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"7"	"271"
"283"	"255"	"5"	"213"	"1"	"238"	"5"	"1"	"2"	"0"	"1"	"0"	"4"	"0"	"5"	"15"	"490"
"284"	"256"	"3"	"208"	"1"	"280"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"2"	"499"
"285"	"257"	"7"	"213"	"5"	"251"	"12"	"0"	"1"	"1"	"2"	"0"	"6"	"2"	"3"	"8"	"511"
"286"	"258"	"11"	"48"	"1"	"318"	"3"	"8"	"2"	"0"	"1"	"1"	"3"	"1"	"0"	"3"	"400"
"287"	"259"	"1"	"9"	"0"	"302"	"4"	"0"	"2"	"1"	"0"	"0"	"8"	"2"	"1"	"3"	"333"
"288"	"260"	"6"	"69"	"1"	"308"	"12"	"1"	"3"	"1"	"0"	"0"	"2"	"1"	"2"	"3"	"409"
"289"	"261"	"29"	"203"	"4"	"441"	"10"	"2"	"23"	"1"	"3"	"4"	"14"	"4"	"8"	"21"	"767"
"290"	"262"	"2"	"27"	"1"	"400"	"3"	"1"	"1"	"2"	"1"	"0"	"3"	"2"	"1"	"6"	"450"
"291"	"262A"	"2"	"11"	"0"	"305"	"1"	"0"	"0"	"0"	"1"	"2"	"4"	"0"	"3"	"0"	"329"
"292"	"263"	"3"	"9"	"2"	"285"	"7"	"2"	"2"	"1"	"1"	"0"	"7"	"6"	"4"	"12"	"341"
"293"	"264"	"6"	"15"	"3"	"343"	"9"	"0"	"0"	"1"	"1"	"0"	"8"	"2"	"6"	"13"	"407"
"294"	"265"	"2"	"22"	"0"	"436"	"3"	"1"	"3"	"1"	"0"	"0"	"8"	"4"	"3"	"7"	"490"
"295"	"266"	"4"	"10"	"0"	"338"	"5"	"0"	"1"	"1"	"1"	"2"	"4"	"0"	"2"	"2"	"370"
"296"	"267"	"5"	"11"	"1"	"457"	"6"	"0"	"1"	"0"	"0"	"0"	"9"	"3"	"0"	"4"	"497"
"297"	"268"	"8"	"16"	"0"	"275"	"3"	"0"	"1"	"0"	"0"	"2"	"6"	"1"	"0"	"0"	"312"
"298"	"269"	"5"	"52"	"4"	"332"	"4"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"3"	"404"
"299"	"270"	"1"	"15"	"2"	"158"	"4"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"185"
"300"	"271"	"42"	"84"	"1"	"379"	"11"	"1"	"1"	"1"	"1"	"2"	"4"	"5"	"5"	"10"	"547"
"301"	"272"	"20"	"25"	"1"	"418"	"11"	"0"	"0"	"0"	"1"	"2"	"4"	"1"	"0"	"2"	"485"
"302"	"273"	"20"	"122"	"4"	"205"	"0"	"1"	"2"	"1"	"1"	"1"	"6"	"0"	"9"	"9"	"381"
"303"	"274"	"19"	"39"	"1"	"445"	"9"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"519"
"304"	"275"	"15"	"87"	"2"	"314"	"8"	"5"	"2"	"1"	"4"	"2"	"8"	"2"	"5"	"5"	"460"
"305"	"276"	"14"	"115"	"3"	"355"	"11"	"3"	"6"	"0"	"1"	"4"	"10"	"3"	"8"	"15"	"548"
"306"	"277"	"18"	"282"	"3"	"231"	"7"	"0"	"1"	"1"	"0"	"3"	"5"	"6"	"5"	"11"	"573"
"307"	"278"	"10"	"91"	"3"	"447"	"5"	"2"	"3"	"0"	"0"	"2"	"1"	"0"	"2"	"5"	"571"
"308"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"309"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"310"	"279"	"11"	"49"	"1"	"514"	"9"	"0"	"1"	"1"	"0"	"2"	"2"	"0"	"2"	"7"	"599"
"311"	"280"	"9"	"105"	"4"	"339"	"6"	"2"	"0"	"1"	"2"	"2"	"14"	"4"	"8"	"7"	"503"
"312"	"281"	"11"	"183"	"7"	"366"	"5"	"1"	"1"	"0"	"0"	"5"	"11"	"2"	"5"	"6"	"603"
"313"	"282"	"3"	"276"	"2"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"296"
"314"	"283"	"10"	"277"	"5"	"44"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"2"	"5"	"347"
"315"	"284"	"4"	"492"	"3"	"51"	"1"	"1"	"0"	"1"	"1"	"3"	"4"	"2"	"11"	"25"	"599"
"316"	"285"	"1"	"215"	"3"	"60"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"4"	"4"	"290"
"317"	"286"	"9"	"264"	"5"	"40"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"6"	"328"
"318"	"287"	"1"	"370"	"4"	"3"	"8"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"4"	"392"
"319"	"288"	"7"	"375"	"7"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"5"	"2"	"6"	"14"	"449"
"320"	"289"	"2"	"491"	"5"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"8"	"18"	"536"
"321"	"290"	"4"	"256"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"8"	"275"
"322"	"291"	"2"	"189"	"2"	"61"	"1"	"0"	"0"	"0"	"0"	"0"	"7"	"1"	"1"	"7"	"271"
"323"	"292"	"2"	"314"	"1"	"39"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"3"	"366"
"324"	"293"	"1"	"232"	"2"	"36"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"9"	"290"
"325"	"293A"	"8"	"151"	"1"	"132"	"2"	"1"	"3"	"0"	"1"	"2"	"3"	"0"	"1"	"3"	"308"
"326"	"294"	"2"	"86"	"1"	"150"	"1"	"0"	"4"	"1"	"0"	"1"	"4"	"0"	"3"	"3"	"256"
"327"	"295"	"9"	"491"	"10"	"122"	"2"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"6"	"10"	"654"
"328"	"296"	"9"	"52"	"3"	"316"	"10"	"0"	"1"	"0"	"1"	"3"	"7"	"3"	"7"	"4"	"416"
"329"	"296A"	"11"	"25"	"0"	"319"	"5"	"0"	"2"	"0"	"2"	"0"	"10"	"3"	"4"	"10"	"391"
"330"	"297"	"5"	"480"	"10"	"16"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"11"	"17"	"544"
"331"	"298"	"8"	"400"	"5"	"11"	"9"	"1"	"1"	"3"	"1"	"4"	"2"	"2"	"5"	"22"	"474"
"332"	"299"	"5"	"571"	"4"	"37"	"3"	"0"	"1"	"0"	"2"	"1"	"1"	"3"	"19"	"16"	"663"
"333"	"300"	"6"	"469"	"8"	"27"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"9"	"16"	"541"
"334"	"301"	"9"	"335"	"5"	"220"	"10"	"0"	"0"	"0"	"1"	"2"	"5"	"2"	"9"	"15"	"613"
"335"	"302"	"9"	"407"	"6"	"31"	"3"	"1"	"2"	"0"	"0"	"1"	"2"	"3"	"8"	"16"	"489"
"336"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"337"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"338"	"303"	"5"	"263"	"10"	"12"	"1"	"1"	"0"	"0"	"1"	"3"	"1"	"4"	"5"	"15"	"321"
"339"	"304"	"3"	"309"	"9"	"23"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"1"	"7"	"13"	"370"
"340"	"305"	"5"	"249"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"8"	"271"
"341"	"306"	"3"	"427"	"5"	"5"	"5"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"6"	"456"
"342"	"307"	"0"	"33"	"2"	"686"	"6"	"1"	"2"	"1"	"0"	"4"	"9"	"0"	"1"	"7"	"752"
"343"	"308"	"8"	"206"	"2"	"115"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"3"	"338"
"344"	"309"	"1"	"286"	"1"	"16"	"7"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"3"	"321"
"345"	"310"	"9"	"669"	"10"	"3"	"4"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"8"	"15"	"723"
"346"	"311"	"1"	"383"	"3"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"14"	"448"
"347"	"312"	"3"	"68"	"1"	"272"	"3"	"0"	"0"	"0"	"0"	"3"	"9"	"1"	"7"	"8"	"375"
"348"	"313"	"5"	"174"	"1"	"136"	"6"	"1"	"0"	"0"	"0"	"3"	"3"	"2"	"3"	"6"	"340"
"349"	"314"	"0"	"53"	"0"	"427"	"5"	"0"	"3"	"2"	"2"	"4"	"3"	"0"	"1"	"6"	"506"
"350"	"315"	"9"	"114"	"4"	"366"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"3"	"7"	"515"
"351"	"316"	"8"	"30"	"3"	"156"	"2"	"2"	"7"	"1"	"0"	"3"	"7"	"1"	"8"	"7"	"235"
"352"	"317"	"7"	"12"	"0"	"206"	"0"	"2"	"0"	"1"	"1"	"0"	"7"	"2"	"2"	"2"	"242"
"353"	"318"	"7"	"13"	"2"	"372"	"7"	"0"	"0"	"1"	"0"	"2"	"4"	"1"	"2"	"9"	"420"
"354"	"319"	"15"	"115"	"2"	"555"	"10"	"1"	"6"	"1"	"1"	"2"	"15"	"3"	"3"	"12"	"741"
"355"	"Total"	"3708"	"54167"	"1196"	"77878"	"1821"	"299"	"804"	"276"	"314"	"714"	"2498"	"755"	"1947"	"3810"	"150187"
"356"	"No. of votes recorded on postal ballot papers :-"	""	"1"	""	"2"	""	""	""	""	""	""	""	""	""	""	"3"
"357"	"Total Votes polled"	"3708"	"54168"	"1196"	"77880"	"1821"	"299"	"804"	"276"	"314"	"714"	"2498"	"755"	"1947"	"3810"	"150190"
