"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"109"	"81"	"11"	"98"	"12"	"30"	"182"	"4"	"3"	"2"	"11"	"2"	"7"	"21"	"159"	"8"	"10"	"27"	"4"	"6"	"1"	"3"	"13"	"11"	"625"	"0"	"625"	""
"110"	"82"	"15"	"28"	"6"	"13"	"58"	"0"	"2"	"0"	"14"	"1"	"3"	"21"	"239"	"5"	"8"	"10"	"68"	"6"	"0"	"1"	"0"	"3"	"501"	"0"	"501"	""
"111"	"83"	"38"	"10"	"9"	"7"	"136"	"3"	"0"	"0"	"1"	"1"	"1"	"3"	"153"	"5"	"6"	"5"	"13"	"36"	"1"	"1"	"3"	"9"	"441"	"0"	"441"	""
"112"	"TOTAL"	"1833"	"9774"	"1601"	"2938"	"14099"	"219"	"148"	"151"	"339"	"147"	"154"	"1421"	"4001"	"330"	"284"	"593"	"966"	"1840"	"144"	"155"	"204"	"291"	"41632"	"0"	"41632"	""
"113"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"115"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"116"	"B.F."	"1833"	"9774"	"1601"	"2938"	"14099"	"219"	"148"	"151"	"339"	"147"	"154"	"1421"	"4001"	"330"	"284"	"593"	"966"	"1840"	"144"	"155"	"204"	"291"	"41632"	"0"	"41632"	""
"117"	"84"	"30"	"52"	"9"	"5"	"270"	"0"	"0"	"2"	"1"	"2"	"0"	"2"	"175"	"3"	"7"	"14"	"5"	"2"	"1"	"1"	"1"	"7"	"589"	"0"	"589"	""
"118"	"85"	"4"	"79"	"7"	"40"	"245"	"3"	"0"	"2"	"1"	"2"	"1"	"6"	"154"	"4"	"3"	"8"	"7"	"4"	"1"	"2"	"2"	"2"	"577"	"0"	"577"	""
"119"	"86"	"35"	"93"	"19"	"38"	"68"	"1"	"9"	"1"	"3"	"5"	"5"	"35"	"138"	"8"	"6"	"16"	"12"	"16"	"0"	"1"	"1"	"2"	"512"	"0"	"512"	""
"120"	"87"	"25"	"153"	"12"	"41"	"171"	"4"	"1"	"2"	"0"	"5"	"3"	"59"	"81"	"6"	"1"	"9"	"4"	"13"	"1"	"1"	"2"	"2"	"596"	"0"	"596"	""
"121"	"88"	"19"	"6"	"8"	"19"	"143"	"3"	"1"	"0"	"6"	"6"	"1"	"8"	"224"	"7"	"11"	"4"	"3"	"3"	"0"	"3"	"1"	"7"	"483"	"0"	"483"	""
"122"	"89"	"36"	"39"	"43"	"95"	"290"	"6"	"0"	"2"	"5"	"5"	"1"	"75"	"17"	"5"	"4"	"3"	"46"	"23"	"9"	"3"	"5"	"4"	"716"	"0"	"716"	""
"123"	"90"	"5"	"5"	"1"	"5"	"235"	"2"	"1"	"0"	"0"	"0"	"1"	"3"	"267"	"2"	"0"	"2"	"2"	"8"	"1"	"1"	"5"	"6"	"552"	"0"	"552"	""
"124"	"91"	"134"	"37"	"8"	"25"	"135"	"1"	"4"	"0"	"3"	"1"	"0"	"4"	"84"	"4"	"3"	"9"	"10"	"2"	"0"	"0"	"3"	"1"	"468"	"0"	"468"	""
"125"	"92"	"37"	"33"	"9"	"24"	"98"	"3"	"0"	"4"	"4"	"1"	"1"	"5"	"17"	"1"	"4"	"11"	"45"	"4"	"2"	"3"	"4"	"12"	"322"	"0"	"322"	""
"126"	"93"	"14"	"122"	"27"	"1"	"248"	"3"	"0"	"2"	"6"	"2"	"0"	"2"	"5"	"1"	"4"	"0"	"7"	"11"	"1"	"0"	"1"	"4"	"461"	"0"	"461"	""
"127"	"94"	"107"	"144"	"9"	"1"	"116"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"6"	"1"	"0"	"0"	"6"	"0"	"1"	"0"	"2"	"399"	"0"	"399"	""
"128"	"95"	"62"	"108"	"127"	"14"	"206"	"1"	"3"	"3"	"7"	"4"	"2"	"3"	"8"	"4"	"0"	"7"	"15"	"2"	"3"	"2"	"2"	"4"	"587"	"0"	"587"	""
"129"	"96"	"15"	"54"	"15"	"53"	"307"	"5"	"2"	"5"	"9"	"1"	"2"	"17"	"4"	"4"	"2"	"5"	"34"	"19"	"0"	"0"	"1"	"1"	"555"	"0"	"555"	""
"130"	"97"	"1"	"95"	"6"	"9"	"103"	"2"	"0"	"1"	"1"	"3"	"1"	"1"	"148"	"0"	"2"	"0"	"1"	"10"	"0"	"0"	"1"	"0"	"385"	"0"	"385"	""
"131"	"TOTAL"	"2357"	"10794"	"1901"	"3308"	"16734"	"254"	"171"	"176"	"385"	"184"	"172"	"1642"	"5324"	"385"	"332"	"681"	"1157"	"1963"	"163"	"173"	"233"	"345"	"48834"	"0"	"48834"	""
"132"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"134"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"135"	"B.F."	"2357"	"10794"	"1901"	"3308"	"16734"	"254"	"171"	"176"	"385"	"184"	"172"	"1642"	"5324"	"385"	"332"	"681"	"1157"	"1963"	"163"	"173"	"233"	"345"	"48834"	"0"	"48834"	""
"136"	"98"	"19"	"133"	"35"	"149"	"105"	"5"	"1"	"3"	"14"	"2"	"0"	"3"	"23"	"5"	"1"	"55"	"22"	"16"	"0"	"0"	"3"	"3"	"597"	"0"	"597"	""
"137"	"99"	"18"	"141"	"7"	"6"	"68"	"1"	"0"	"1"	"1"	"2"	"2"	"3"	"4"	"6"	"1"	"2"	"39"	"49"	"1"	"0"	"3"	"9"	"364"	"0"	"364"	""
"138"	"100"	"4"	"19"	"6"	"7"	"87"	"0"	"1"	"2"	"19"	"0"	"2"	"2"	"9"	"1"	"2"	"3"	"25"	"36"	"1"	"1"	"0"	"1"	"228"	"0"	"228"	""
"139"	"101"	"19"	"59"	"13"	"10"	"138"	"4"	"3"	"0"	"10"	"0"	"0"	"3"	"5"	"1"	"0"	"12"	"81"	"7"	"1"	"3"	"3"	"3"	"375"	"0"	"375"	""
"140"	"102"	"54"	"74"	"17"	"36"	"290"	"5"	"4"	"2"	"12"	"2"	"2"	"8"	"5"	"5"	"2"	"11"	"23"	"11"	"2"	"0"	"8"	"6"	"579"	"0"	"579"	""
"141"	"103"	"11"	"9"	"2"	"0"	"21"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"2"	"1"	"8"	"304"	"2"	"4"	"9"	"5"	"386"	"0"	"386"	""
"142"	"104"	"6"	"48"	"17"	"41"	"357"	"4"	"2"	"3"	"2"	"2"	"2"	"7"	"4"	"3"	"2"	"6"	"4"	"86"	"2"	"2"	"3"	"2"	"605"	"0"	"605"	""
"143"	"105"	"5"	"29"	"37"	"21"	"83"	"4"	"2"	"1"	"2"	"4"	"1"	"3"	"7"	"2"	"3"	"9"	"22"	"174"	"8"	"0"	"2"	"0"	"419"	"0"	"419"	""
"144"	"106"	"37"	"159"	"59"	"17"	"115"	"3"	"0"	"6"	"4"	"2"	"2"	"68"	"1"	"12"	"3"	"1"	"4"	"5"	"0"	"1"	"6"	"3"	"508"	"0"	"508"	""
"145"	"107"	"8"	"8"	"4"	"3"	"156"	"1"	"0"	"0"	"3"	"0"	"0"	"2"	"1"	"0"	"0"	"11"	"3"	"0"	"2"	"0"	"2"	"1"	"205"	"0"	"205"	""
"146"	"108"	"49"	"94"	"20"	"24"	"229"	"3"	"5"	"2"	"3"	"1"	"2"	"12"	"3"	"6"	"4"	"3"	"0"	"3"	"2"	"0"	"4"	"6"	"475"	"0"	"475"	""
"147"	"109"	"1"	"135"	"4"	"0"	"12"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"1"	"3"	"0"	"2"	"25"	"2"	"1"	"0"	"0"	"1"	"191"	"0"	"191"	""
"148"	"110"	"103"	"23"	"18"	"34"	"191"	"11"	"1"	"7"	"8"	"2"	"1"	"14"	"8"	"5"	"3"	"18"	"20"	"125"	"5"	"0"	"7"	"5"	"609"	"0"	"609"	""
"149"	"111"	"28"	"42"	"27"	"2"	"84"	"1"	"2"	"0"	"0"	"0"	"2"	"13"	"0"	"0"	"0"	"0"	"4"	"16"	"0"	"0"	"0"	"1"	"222"	"0"	"222"	""
"150"	"TOTAL"	"2719"	"11767"	"2167"	"3658"	"18670"	"298"	"194"	"204"	"466"	"202"	"188"	"1780"	"5398"	"434"	"355"	"815"	"1437"	"2797"	"190"	"184"	"283"	"391"	"54597"	"0"	"54597"	""
"151"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"153"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"154"	"B.F."	"2719"	"11767"	"2167"	"3658"	"18670"	"298"	"194"	"204"	"466"	"202"	"188"	"1780"	"5398"	"434"	"355"	"815"	"1437"	"2797"	"190"	"184"	"283"	"391"	"54597"	"0"	"54597"	""
"155"	"112"	"105"	"2"	"2"	"1"	"121"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"2"	"0"	"1"	"0"	"246"	"0"	"246"	""
"156"	"113"	"10"	"175"	"17"	"34"	"245"	"4"	"2"	"2"	"1"	"2"	"6"	"88"	"3"	"4"	"6"	"8"	"1"	"18"	"1"	"1"	"1"	"3"	"632"	"0"	"632"	""
"157"	"114"	"19"	"10"	"3"	"7"	"91"	"4"	"2"	"1"	"2"	"0"	"2"	"5"	"2"	"0"	"1"	"11"	"2"	"44"	"0"	"1"	"2"	"1"	"210"	"0"	"210"	""
"158"	"115"	"73"	"109"	"116"	"97"	"216"	"3"	"2"	"6"	"4"	"6"	"5"	"42"	"3"	"7"	"1"	"10"	"1"	"5"	"5"	"1"	"2"	"4"	"718"	"0"	"718"	""
"159"	"116"	"6"	"41"	"179"	"10"	"150"	"0"	"0"	"3"	"3"	"1"	"4"	"37"	"5"	"14"	"6"	"12"	"0"	"48"	"15"	"1"	"12"	"2"	"549"	"0"	"549"	""
"160"	"117"	"40"	"25"	"28"	"36"	"379"	"1"	"3"	"5"	"8"	"2"	"5"	"39"	"7"	"3"	"2"	"8"	"4"	"9"	"1"	"1"	"1"	"3"	"610"	"0"	"610"	""
"161"	"118"	"11"	"168"	"8"	"7"	"35"	"2"	"3"	"2"	"1"	"2"	"2"	"10"	"233"	"6"	"5"	"9"	"2"	"3"	"1"	"0"	"1"	"2"	"513"	"0"	"513"	""
"162"	"119"	"14"	"33"	"20"	"10"	"285"	"6"	"1"	"0"	"4"	"0"	"2"	"8"	"3"	"2"	"4"	"2"	"8"	"11"	"2"	"0"	"3"	"1"	"419"	"0"	"419"	""
"163"	"120"	"32"	"240"	"11"	"16"	"126"	"1"	"1"	"1"	"2"	"2"	"1"	"102"	"64"	"9"	"5"	"12"	"3"	"13"	"5"	"0"	"4"	"5"	"655"	"0"	"655"	""
"164"	"121"	"14"	"56"	"39"	"71"	"119"	"0"	"1"	"1"	"0"	"3"	"2"	"10"	"1"	"3"	"2"	"6"	"0"	"11"	"1"	"0"	"1"	"0"	"341"	"0"	"341"	""
"165"	"122"	"19"	"11"	"51"	"18"	"127"	"2"	"0"	"2"	"4"	"2"	"0"	"61"	"3"	"0"	"2"	"2"	"10"	"75"	"1"	"0"	"2"	"2"	"394"	"0"	"394"	""
"166"	"123"	"10"	"42"	"14"	"9"	"253"	"3"	"2"	"2"	"2"	"4"	"4"	"36"	"4"	"2"	"4"	"6"	"3"	"43"	"0"	"1"	"11"	"4"	"459"	"0"	"459"	""
"167"	"124"	"4"	"25"	"1"	"1"	"41"	"0"	"0"	"0"	"1"	"2"	"0"	"6"	"4"	"1"	"3"	"5"	"6"	"192"	"3"	"0"	"5"	"1"	"301"	"0"	"301"	""
"168"	"125"	"46"	"147"	"16"	"11"	"151"	"4"	"1"	"0"	"7"	"3"	"2"	"45"	"3"	"3"	"2"	"10"	"11"	"11"	"2"	"3"	"3"	"16"	"497"	"0"	"497"	""
"169"	"TOTAL"	"3122"	"12851"	"2672"	"3986"	"21009"	"331"	"213"	"229"	"505"	"231"	"223"	"2269"	"5733"	"488"	"398"	"916"	"1491"	"3285"	"229"	"193"	"332"	"435"	"61141"	"0"	"61141"	""
"170"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"172"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"173"	"B.F."	"3122"	"12851"	"2672"	"3986"	"21009"	"331"	"213"	"229"	"505"	"231"	"223"	"2269"	"5733"	"488"	"398"	"916"	"1491"	"3285"	"229"	"193"	"332"	"435"	"61141"	"0"	"61141"	""
"174"	"126"	"8"	"8"	"10"	"57"	"83"	"4"	"1"	"1"	"2"	"0"	"0"	"2"	"2"	"0"	"0"	"2"	"0"	"11"	"1"	"1"	"3"	"1"	"197"	"0"	"197"	""
"175"	"127"	"3"	"206"	"11"	"5"	"100"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"4"	"2"	"1"	"1"	"4"	"1"	"0"	"0"	"0"	"343"	"0"	"343"	""
"176"	"128"	"35"	"157"	"16"	"136"	"141"	"6"	"0"	"0"	"2"	"5"	"1"	"7"	"1"	"1"	"2"	"0"	"0"	"3"	"0"	"1"	"1"	"0"	"515"	"0"	"515"	""
"177"	"129"	"24"	"121"	"9"	"3"	"95"	"1"	"2"	"5"	"1"	"2"	"5"	"69"	"2"	"2"	"3"	"4"	"3"	"5"	"4"	"1"	"5"	"3"	"369"	"0"	"369"	""
"178"	"130"	"12"	"72"	"7"	"74"	"126"	"11"	"2"	"3"	"3"	"4"	"6"	"132"	"4"	"2"	"0"	"7"	"1"	"19"	"2"	"0"	"1"	"0"	"488"	"0"	"488"	""
"179"	"131"	"30"	"20"	"16"	"77"	"114"	"1"	"0"	"0"	"1"	"0"	"0"	"4"	"1"	"1"	"1"	"1"	"15"	"32"	"4"	"7"	"11"	"1"	"337"	"0"	"337"	""
"180"	"131 ¼d½"	"21"	"67"	"34"	"43"	"134"	"2"	"4"	"1"	"4"	"3"	"1"	"6"	"5"	"7"	"0"	"6"	"7"	"10"	"1"	"0"	"2"	"0"	"358"	"0"	"358"	""
"181"	"132"	"83"	"66"	"5"	"8"	"108"	"4"	"1"	"1"	"5"	"0"	"0"	"52"	"35"	"2"	"2"	"13"	"8"	"5"	"2"	"4"	"1"	"11"	"416"	"0"	"416"	""
"182"	"133"	"12"	"170"	"3"	"3"	"60"	"0"	"0"	"3"	"0"	"5"	"5"	"16"	"6"	"4"	"2"	"2"	"6"	"2"	"58"	"5"	"3"	"10"	"375"	"0"	"375"	""
"183"	"134"	"1"	"7"	"29"	"41"	"410"	"1"	"0"	"1"	"0"	"2"	"1"	"8"	"0"	"0"	"2"	"1"	"0"	"10"	"0"	"0"	"3"	"0"	"517"	"0"	"517"	""
"184"	"135"	"24"	"98"	"7"	"10"	"228"	"3"	"3"	"2"	"1"	"1"	"6"	"123"	"2"	"3"	"4"	"11"	"2"	"1"	"0"	"4"	"1"	"5"	"539"	"0"	"539"	""
"185"	"136"	"24"	"74"	"8"	"41"	"206"	"0"	"2"	"1"	"2"	"4"	"1"	"22"	"1"	"4"	"4"	"3"	"20"	"13"	"6"	"4"	"15"	"11"	"466"	"0"	"466"	""
"186"	"137"	"17"	"75"	"7"	"7"	"259"	"2"	"1"	"1"	"4"	"2"	"0"	"49"	"1"	"2"	"1"	"0"	"5"	"0"	"0"	"0"	"1"	"2"	"436"	"0"	"436"	""
"187"	"138"	"2"	"38"	"23"	"57"	"238"	"5"	"0"	"1"	"4"	"2"	"2"	"31"	"6"	"2"	"3"	"4"	"1"	"0"	"0"	"0"	"2"	"4"	"425"	"0"	"425"	""
"188"	"TOTAL"	"3418"	"14030"	"2857"	"4548"	"23311"	"373"	"229"	"250"	"535"	"262"	"251"	"2790"	"5799"	"522"	"424"	"971"	"1560"	"3400"	"308"	"220"	"381"	"483"	"66922"	"0"	"66922"	""
"189"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"191"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"192"	"B.F."	"3418"	"14030"	"2857"	"4548"	"23311"	"373"	"229"	"250"	"535"	"262"	"251"	"2790"	"5799"	"522"	"424"	"971"	"1560"	"3400"	"308"	"220"	"381"	"483"	"66922"	"0"	"66922"	""
"193"	"139"	"18"	"50"	"20"	"17"	"406"	"4"	"1"	"2"	"7"	"5"	"4"	"39"	"3"	"4"	"1"	"11"	"1"	"6"	"2"	"1"	"4"	"3"	"609"	"0"	"609"	""
"194"	"140"	"11"	"173"	"5"	"1"	"46"	"2"	"1"	"1"	"1"	"1"	"0"	"18"	"1"	"1"	"4"	"1"	"0"	"0"	"4"	"0"	"1"	"1"	"273"	"0"	"273"	""
"195"	"141"	"23"	"63"	"18"	"25"	"110"	"4"	"3"	"6"	"8"	"7"	"2"	"51"	"11"	"5"	"3"	"8"	"3"	"12"	"0"	"0"	"3"	"2"	"367"	"0"	"367"	""
"196"	"142"	"126"	"97"	"15"	"57"	"293"	"7"	"0"	"3"	"6"	"2"	"3"	"11"	"4"	"6"	"2"	"7"	"4"	"6"	"1"	"3"	"9"	"3"	"665"	"0"	"665"	""
"197"	"143"	"109"	"135"	"9"	"8"	"131"	"3"	"2"	"2"	"3"	"0"	"3"	"10"	"3"	"5"	"17"	"34"	"13"	"9"	"2"	"1"	"2"	"6"	"507"	"0"	"507"	""
"198"	"144"	"19"	"372"	"13"	"14"	"70"	"5"	"3"	"3"	"0"	"0"	"2"	"14"	"2"	"4"	"2"	"2"	"15"	"9"	"4"	"1"	"5"	"13"	"572"	"0"	"572"	""
"199"	"145"	"13"	"239"	"6"	"11"	"102"	"2"	"1"	"7"	"1"	"0"	"0"	"2"	"2"	"6"	"3"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"398"	"0"	"398"	""
"200"	"146"	"10"	"147"	"10"	"147"	"167"	"0"	"1"	"0"	"0"	"1"	"1"	"5"	"4"	"1"	"2"	"2"	"6"	"10"	"1"	"1"	"5"	"4"	"525"	"0"	"525"	""
"201"	"147"	"5"	"53"	"3"	"26"	"191"	"7"	"2"	"2"	"2"	"3"	"3"	"60"	"3"	"4"	"1"	"1"	"4"	"7"	"0"	"4"	"7"	"7"	"395"	"0"	"395"	""
"202"	"148"	"6"	"44"	"13"	"4"	"177"	"4"	"1"	"3"	"1"	"1"	"3"	"52"	"3"	"8"	"3"	"8"	"1"	"6"	"1"	"0"	"2"	"0"	"341"	"0"	"341"	""
"203"	"149"	"30"	"91"	"3"	"2"	"84"	"2"	"1"	"1"	"1"	"0"	"2"	"4"	"4"	"7"	"6"	"2"	"5"	"0"	"0"	"1"	"4"	"2"	"252"	"0"	"252"	""
"204"	"150"	"149"	"128"	"6"	"53"	"106"	"1"	"2"	"17"	"4"	"7"	"6"	"122"	"11"	"2"	"3"	"7"	"7"	"2"	"1"	"1"	"2"	"4"	"641"	"0"	"641"	""
"205"	"151"	"29"	"130"	"9"	"67"	"121"	"0"	"1"	"0"	"1"	"0"	"0"	"37"	"1"	"3"	"1"	"6"	"1"	"3"	"2"	"0"	"2"	"2"	"416"	"0"	"416"	""
"206"	"152"	"50"	"54"	"4"	"10"	"47"	"0"	"1"	"1"	"1"	"1"	"0"	"3"	"3"	"4"	"1"	"3"	"3"	"5"	"3"	"1"	"0"	"0"	"195"	"0"	"195"	""
"207"	"TOTAL"	"4016"	"15806"	"2991"	"4990"	"25362"	"414"	"249"	"298"	"571"	"290"	"280"	"3218"	"5854"	"582"	"473"	"1065"	"1623"	"3475"	"330"	"234"	"427"	"530"	"73078"	"0"	"73078"	""
"208"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"210"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"211"	"B.F."	"4016"	"15806"	"2991"	"4990"	"25362"	"414"	"249"	"298"	"571"	"290"	"280"	"3218"	"5854"	"582"	"473"	"1065"	"1623"	"3475"	"330"	"234"	"427"	"530"	"73078"	"0"	"73078"	""
"212"	"153"	"8"	"61"	"9"	"9"	"51"	"4"	"1"	"6"	"5"	"8"	"6"	"182"	"10"	"9"	"6"	"17"	"1"	"3"	"1"	"0"	"2"	"5"	"404"	"0"	"404"	""
"213"	"154"	"12"	"42"	"1"	"27"	"107"	"3"	"0"	"0"	"0"	"2"	"3"	"100"	"10"	"4"	"2"	"2"	"4"	"5"	"5"	"1"	"1"	"4"	"335"	"0"	"335"	""
"214"	"155"	"15"	"83"	"7"	"3"	"157"	"5"	"9"	"1"	"1"	"6"	"26"	"144"	"2"	"4"	"7"	"2"	"5"	"106"	"0"	"1"	"8"	"3"	"595"	"0"	"595"	""
"215"	"156"	"6"	"76"	"6"	"63"	"328"	"0"	"2"	"2"	"1"	"3"	"2"	"39"	"6"	"5"	"4"	"12"	"0"	"11"	"0"	"3"	"6"	"5"	"580"	"0"	"580"	""
"216"	"157"	"54"	"45"	"3"	"25"	"161"	"3"	"2"	"3"	"2"	"3"	"3"	"38"	"8"	"3"	"3"	"13"	"20"	"105"	"4"	"2"	"5"	"6"	"511"	"0"	"511"	""
"217"	"158"	"7"	"224"	"3"	"21"	"293"	"1"	"0"	"0"	"1"	"1"	"4"	"4"	"1"	"1"	"0"	"0"	"3"	"2"	"0"	"0"	"1"	"3"	"570"	"0"	"570"	""
"218"	"159"	"38"	"42"	"1"	"3"	"262"	"3"	"0"	"0"	"1"	"0"	"5"	"2"	"1"	"0"	"0"	"0"	"11"	"23"	"0"	"0"	"2"	"1"	"395"	"0"	"395"	""
