"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…84 - Hayaghat Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 183861"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"147"	"128"	"124"	"84"	"4"	"4"	"201"	""	"4"	"1"	"1"	"2"	"4"	"8"	"22"	"10"	"5"	""	"17"	"367"	"-"	"367"	""
"148"	"129"	"124A"	"112"	"3"	"4"	"179"	""	"3"	"2"	"1"	"1"	"2"	"4"	"17"	"10"	"12"	""	"15"	"365"	"-"	"365"	""
"149"	"130"	"125"	"282"	"13"	"12"	"137"	""	"4"	"8"	"9"	"8"	"20"	"14"	"36"	"16"	"28"	""	"46"	"633"	"-"	"633"	""
"150"	"131"	"126"	"74"	"10"	"30"	"400"	""	"6"	"2"	"8"	"4"	"29"	"7"	"17"	"4"	"9"	""	"11"	"611"	"-"	"611"	""
"151"	"132"	"127"	"123"	"65"	"0"	"8"	""	"1"	"0"	"6"	"1"	"6"	"1"	"3"	"3"	"8"	""	"23"	"248"	"-"	"248"	""
"152"	"133"	"128"	"168"	"68"	"0"	"13"	""	"0"	"3"	"12"	"0"	"6"	"1"	"9"	"0"	"4"	""	"10"	"294"	"-"	"294"	""
"153"	"134"	"129"	"212"	"41"	"8"	"79"	""	"0"	"13"	"54"	"10"	"28"	"4"	"20"	"19"	"32"	""	"76"	"596"	"-"	"596"	""
"154"	"135"	"130"	"235"	"13"	"3"	"11"	""	"2"	"3"	"6"	"1"	"101"	"2"	"19"	"10"	"9"	""	"29"	"444"	"-"	"444"	""
"155"	"136"	"131"	"37"	"4"	"7"	"449"	""	"12"	"0"	"1"	"9"	"8"	"6"	"13"	"11"	"2"	""	"9"	"568"	"-"	"568"	""
"156"	"137"	"132"	"83"	"30"	"3"	"327"	""	"4"	"3"	"1"	"14"	"8"	"8"	"22"	"2"	"12"	""	"16"	"533"	"-"	"533"	""
"157"	"138"	"133"	"254"	"9"	"4"	"62"	""	"5"	"14"	"6"	"9"	"61"	"8"	"8"	"1"	"20"	""	"16"	"477"	"-"	"477"	""
"158"	"139"	"133A"	"218"	"11"	"2"	"103"	""	"5"	"27"	"2"	"2"	"18"	"2"	"30"	"11"	"10"	""	"15"	"456"	"-"	"456"	""
"159"	"140"	"134"	"208"	"16"	"5"	"44"	""	"5"	"4"	"5"	"5"	"88"	"7"	"11"	"5"	"18"	""	"25"	"446"	"-"	"446"	""
"160"	"141"	"134A"	"78"	"6"	"2"	"105"	""	"3"	"2"	"3"	"2"	"24"	"5"	"18"	"4"	"11"	""	"21"	"284"	"-"	"284"	""
"161"	"142"	"135"	"201"	"170"	"22"	"67"	""	"4"	"3"	"64"	"1"	"6"	"2"	"1"	"2"	"5"	""	"6"	"554"	"-"	"554"	""
"162"	"143"	"136"	"199"	"63"	"6"	"44"	""	"4"	"1"	"1"	"1"	"20"	"2"	"1"	"4"	"10"	""	"12"	"368"	"-"	"368"	""
"163"	"144"	"136A"	"164"	"143"	"0"	"100"	""	"3"	"2"	"6"	"1"	"6"	"8"	"27"	"3"	"8"	""	"16"	"487"	"-"	"487"	""
"164"	"145"	"137"	"9"	"2"	"1"	"149"	""	"2"	"1"	"2"	"0"	"9"	"8"	"7"	"1"	"0"	""	"1"	"192"	"-"	"192"	""
"165"	"146"	"138"	"108"	"8"	"2"	"50"	""	"2"	"4"	"4"	"8"	"2"	"5"	"18"	"6"	"10"	""	"27"	"254"	"-"	"254"	""
"166"	"147"	"139"	"196"	"17"	"5"	"114"	""	"7"	"6"	"2"	"6"	"15"	"5"	"58"	"3"	"12"	""	"8"	"454"	"-"	"454"	""
"167"	"148"	"140"	"74"	"9"	"5"	"258"	""	"6"	"0"	"7"	"13"	"41"	"7"	"4"	"2"	"8"	""	"16"	"450"	"-"	"450"	""
"168"	"149"	"141"	"214"	"42"	"4"	"57"	""	"4"	"4"	"8"	"3"	"14"	"6"	"17"	"2"	"19"	""	"25"	"419"	"-"	"419"	""
"169"	"150"	"142"	"21"	"13"	"0"	"157"	""	"3"	"2"	"3"	"3"	"16"	"13"	"13"	"8"	"15"	""	"10"	"277"	"-"	"277"	""
"170"	"151"	"143"	"164"	"12"	"9"	"191"	""	"5"	"3"	"7"	"12"	"16"	"21"	"31"	"27"	"9"	""	"30"	"537"	"-"	"537"	""
"171"	"152"	"144"	"29"	"8"	"1"	"698"	""	"8"	"0"	"7"	"7"	"22"	"15"	"23"	"8"	"7"	""	"9"	"842"	"-"	"842"	""
"172"	"153"	"145"	"35"	"1"	"8"	"272"	""	"6"	"1"	"1"	"4"	"2"	"2"	"7"	"1"	"0"	""	"10"	"350"	"-"	"350"	""
"173"	"154"	"146"	"34"	"4"	"5"	"48"	""	"4"	"1"	"3"	"5"	"4"	"6"	"7"	"6"	"4"	""	"5"	"136"	"-"	"136"	""
"174"	"155"	"147"	"447"	"17"	"4"	"24"	""	"2"	"5"	"3"	"3"	"13"	"1"	"11"	"3"	"8"	""	"16"	"557"	"-"	"557"	""
"175"	"156"	"148"	"264"	"7"	"2"	"19"	""	"0"	"0"	"3"	"2"	"1"	"7"	"4"	"1"	"4"	""	"7"	"321"	"-"	"321"	""
"176"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"177"	""	""	"Amar Nath Gami"	"Arvind Kumar Choudh ari"	"Krishna Kant
Mishra"	"Dr.Shahna waz Ahmad Kaifee"	""	"Md. Ali Abbas"	"Satya Narayan Mukhiya"	"Ashok Kumar Singh"	"Ahmad Ali"	"Umadhar Prasad Singh"	"Rani Devi"	"Ram Chandra Prasad"	"Bijay Shankar
Choudhary"	"Shahid Ekval"	""	"Sanjay Kumar Singh"	""	""	""	""
"178"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"
"179"	"157"	"149"	"567"	"23"	"11"	"56"	""	"3"	"38"	"26"	"7"	"14"	"3"	"16"	"3"	"10"	""	"21"	"798"	"-"	"798"	""
"180"	"158"	"150"	"221"	"10"	"1"	"56"	""	"0"	"5"	"50"	"6"	"27"	"6"	"10"	"3"	"9"	""	"12"	"416"	"-"	"416"	""
"181"	"159"	"151"	"139"	"12"	"3"	"5"	""	"2"	"18"	"105"	"10"	"76"	"2"	"41"	"3"	"7"	""	"18"	"441"	"-"	"441"	""
"182"	"160"	"152"	"135"	"40"	"9"	"208"	""	"10"	"36"	"57"	"18"	"14"	"11"	"15"	"7"	"7"	""	"15"	"582"	"-"	"582"	""
"183"	"161"	"153"	"160"	"29"	"5"	"192"	""	"5"	"7"	"1"	"7"	"17"	"22"	"23"	"11"	"16"	""	"59"	"554"	"-"	"554"	""
"184"	"162"	"154"	"528"	"5"	"5"	"147"	""	"3"	"14"	"9"	"3"	"4"	"4"	"17"	"3"	"8"	""	"20"	"770"	"-"	"770"	""
"185"	"163"	"155"	"125"	"8"	"3"	"135"	""	"5"	"2"	"11"	"6"	"9"	"5"	"27"	"7"	"10"	""	"38"	"391"	"-"	"391"	""
"186"	"164"	"156"	"195"	"6"	"5"	"274"	""	"8"	"3"	"7"	"27"	"2"	"4"	"8"	"7"	"3"	""	"5"	"554"	"-"	"554"	""
"187"	"165"	"157"	"250"	"10"	"2"	"68"	""	"1"	"4"	"13"	"28"	"72"	"3"	"9"	"2"	"9"	""	"20"	"491"	"-"	"491"	""
"188"	"166"	"158"	"183"	"7"	"3"	"64"	""	"2"	"4"	"6"	"28"	"69"	"4"	"14"	"6"	"13"	""	"15"	"418"	"-"	"418"	""
"189"	"167"	"159"	"422"	"14"	"4"	"173"	""	"3"	"7"	"1"	"6"	"9"	"6"	"28"	"9"	"3"	""	"27"	"712"	"-"	"712"	""
"190"	"168"	"160"	"87"	"2"	"2"	"15"	""	"4"	"2"	"3"	"2"	"13"	"0"	"29"	"2"	"2"	""	"5"	"168"	"-"	"168"	""
"191"	"169"	"161"	"161"	"8"	"4"	"31"	""	"2"	"2"	"30"	"9"	"34"	"1"	"69"	"4"	"5"	""	"15"	"375"	"-"	"375"	""
"192"	"170"	"162"	"76"	"5"	"2"	"96"	""	"5"	"2"	"1"	"8"	"13"	"12"	"19"	"8"	"7"	""	"12"	"266"	"-"	"266"	""
"193"	"171"	"163"	"25"	"5"	"2"	"336"	""	"3"	"0"	"1"	"1"	"4"	"5"	"20"	"5"	"3"	""	"3"	"413"	"-"	"413"	""
"194"	"172"	"164"	"22"	"4"	"3"	"329"	""	"6"	"0"	"3"	"3"	"4"	"2"	"4"	"3"	"2"	""	"3"	"388"	"-"	"388"	""
"195"	"173"	"165"	"247"	"18"	"4"	"78"	""	"4"	"1"	"8"	"3"	"46"	"8"	"36"	"5"	"20"	""	"40"	"518"	"-"	"518"	""
"196"	"174"	"166"	"228"	"16"	"4"	"55"	""	"1"	"23"	"5"	"6"	"57"	"4"	"43"	"8"	"11"	""	"40"	"501"	"-"	"501"	""
"197"	"175"	"167"	"56"	"62"	"3"	"2"	""	"0"	"0"	"1"	"2"	"2"	"1"	"11"	"1"	"5"	""	"8"	"154"	"-"	"154"	""
"198"	"176"	"168"	"61"	"21"	"0"	"21"	""	"0"	"4"	"5"	"0"	"3"	"0"	"7"	"0"	"1"	""	"2"	"125"	"-"	"125"	""
"199"	"177"	"169"	"110"	"8"	"5"	"115"	""	"6"	"2"	"1"	"2"	"9"	"10"	"16"	"8"	"4"	""	"14"	"310"	"-"	"310"	""
"200"	"178"	"170"	"137"	"2"	"2"	"74"	""	"3"	"0"	"4"	"3"	"8"	"11"	"29"	"7"	"12"	""	"37"	"329"	"-"	"329"	""
"201"	"179"	"171"	"186"	"16"	"6"	"220"	""	"7"	"49"	"14"	"15"	"16"	"13"	"40"	"8"	"10"	""	"23"	"623"	"-"	"623"	""
"202"	"180"	"172"	"188"	"16"	"14"	"313"	""	"13"	"28"	"8"	"12"	"10"	"18"	"67"	"15"	"12"	""	"27"	"741"	"-"	"741"	""
"203"	"181"	"173"	"184"	"11"	"5"	"61"	""	"2"	"1"	"2"	"1"	"3"	"11"	"11"	"7"	"9"	""	"14"	"322"	"-"	"322"	""
"204"	"182"	"174"	"408"	"14"	"5"	"92"	""	"10"	"19"	"22"	"14"	"35"	"15"	"83"	"16"	"29"	""	"63"	"825"	"-"	"825"	""
"205"	"183"	"175"	"156"	"13"	"4"	"187"	""	"8"	"6"	"18"	"10"	"9"	"16"	"21"	"5"	"1"	""	"11"	"465"	"-"	"465"	""
"206"	"184"	"176"	"87"	"9"	"8"	"198"	""	"5"	"1"	"6"	"8"	"8"	"6"	"15"	"1"	"6"	""	"9"	"367"	"-"	"367"	""
"207"	"185"	"177"	"83"	"22"	"4"	"186"	""	"3"	"5"	"4"	"4"	"26"	"3"	"23"	"3"	"4"	""	"8"	"378"	"-"	"378"	""
"208"	"186"	"178"	"143"	"5"	"5"	"44"	""	"0"	"5"	"2"	"1"	"8"	"1"	"2"	"3"	"5"	""	"11"	"235"	"-"	"235"	""
"209"	"187"	"179"	"247"	"49"	"2"	"37"	""	"5"	"6"	"66"	"6"	"29"	"4"	"9"	"9"	"20"	""	"50"	"539"	"-"	"539"	""
"210"	"188"	"180"	"304"	"6"	"4"	"116"	""	"3"	"6"	"28"	"8"	"55"	"6"	"65"	"5"	"19"	""	"28"	"653"	"-"	"653"	""
"211"	"189"	"181"	"182"	"25"	"7"	"81"	""	"6"	"28"	"21"	"9"	"70"	"11"	"16"	"1"	"23"	""	"35"	"515"	"-"	"515"	""
"212"	"190"	"182"	"351"	"16"	"7"	"63"	""	"6"	"4"	"11"	"7"	"12"	"4"	"13"	"2"	"10"	""	"25"	"531"	"-"	"531"	""
"213"	"191"	"183"	"462"	"12"	"3"	"60"	""	"0"	"4"	"5"	"6"	"9"	"3"	"9"	"2"	"8"	""	"38"	"621"	"-"	"621"	""
"214"	"192"	"184"	"213"	"57"	"6"	"27"	""	"3"	"0"	"6"	"4"	"7"	"3"	"9"	"1"	"7"	""	"9"	"352"	"-"	"352"	""
"215"	"193"	"184A"	"170"	"51"	"1"	"31"	""	"4"	"1"	"3"	"6"	"3"	"2"	"8"	"2"	"4"	""	"11"	"297"	"-"	"297"	""
"216"	"194"	"185"	"154"	"14"	"5"	"117"	""	"5"	"10"	"2"	"7"	"4"	"1"	"11"	"6"	"2"	""	"8"	"346"	"-"	"346"	""
"217"	"195"	"186"	"175"	"14"	"3"	"47"	""	"1"	"4"	"20"	"1"	"21"	"3"	"6"	"0"	"10"	""	"12"	"317"	"-"	"317"	""
"218"	"196"	"187"	"58"	"2"	"0"	"15"	""	"0"	"1"	"7"	"1"	"4"	"5"	"4"	"3"	"6"	""	"164"	"270"	"-"	"270"	""
"219"	"197"	"188"	"133"	"7"	"0"	"4"	""	"1"	"1"	"10"	"2"	"7"	"0"	"0"	"1"	"3"	""	"13"	"182"	"-"	"182"	""
"220"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"221"	""	""	"Amar Nath Gami"	"Arvind Kumar Choudh ari"	"Krishna Kant
Mishra"	"Dr.Shahna waz Ahmad Kaifee"	""	"Md. Ali Abbas"	"Satya Narayan Mukhiya"	"Ashok Kumar Singh"	"Ahmad Ali"	"Umadhar Prasad Singh"	"Rani Devi"	"Ram Chandra Prasad"	"Bijay Shankar
Choudhary"	"Shahid Ekval"	""	"Sanjay Kumar Singh"	""	""	""	""
"222"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"
"223"	"198"	"189"	"122"	"23"	"0"	"5"	""	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"5"	""	"17"	"177"	"-"	"177"	""
"224"	"199"	"190"	"210"	"8"	"3"	"5"	""	"0"	"4"	"20"	"1"	"20"	"1"	"5"	"0"	"5"	""	"25"	"307"	"-"	"307"	""
"225"	"200"	"190A"	"152"	"5"	"2"	"102"	""	"6"	"0"	"7"	"6"	"3"	"1"	"1"	"1"	"0"	""	"7"	"293"	"-"	"293"	""
"226"	"Tot al  No.  of
vot es recording at  polling
St at ions"	""	"32023"	"5940"	"1187"	"25998"	""	"921"	"1285"	"4570"	"1462"	"4239"	"1805"	"4668"	"1147"	"1865"	""	"3820"	"90930"	"-"	"90930"	""
"227"	"No.  of vot es recorded on post al  ballot
papers (To be elect ion  from  an assembly
const it uency)"	""	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"-"	"0"	""
"228"	"Total Votes polled"	""	"32023"	"5940"	"1187"	"25998"	""	"921"	"1285"	"4570"	"1462"	"4239"	"1805"	"4668"	"1147"	"1865"	""	"3820"	"90930"	"-"	"90930"	""
"229"	"Place :    DARBHANGA"	""	""	""	""	""	"Assistant  Returning Officer"	""	""	""	""	""	""	""	""	""	"Returning Officer"	""	""	""	""	""
"230"	"Date  :    24/ 11/ 2010"	""	""	""	""	""	"84  - Hayaghat"	""	""	""	""	""	""	""	""	""	"84  - Hayaghat"	""	""	""	""	""
