"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"101&  xksi kxat   fo/kku  l Hkk fuokZpu {ks= l s fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"153"	"104"	"43"	"113"	"4"	"198"	"4"	"1"	"3"	"2"	"11"	"4"	"2"	"10"	"4"	"399"	"0"	"399"	""
"154"	"105"	"24"	"97"	"10"	"245"	"9"	"1"	"4"	"2"	"9"	"2"	"1"	"6"	"4"	"414"	"0"	"414"	""
"155"	"106"	"68"	"106"	"3"	"204"	"8"	"1"	"1"	"2"	"5"	"2"	"3"	"4"	"2"	"409"	"0"	"409"	""
"156"	"107"	"157"	"82"	"7"	"128"	"10"	"3"	"2"	"1"	"3"	"3"	"1"	"3"	"6"	"406"	"0"	"406"	""
"157"	"108"	"128"	"158"	"13"	"143"	"4"	"4"	"0"	"0"	"2"	"0"	"2"	"13"	"10"	"477"	"0"	"477"	""
"158"	"109"	"116"	"136"	"4"	"121"	"3"	"3"	"0"	"1"	"1"	"3"	"4"	"3"	"3"	"398"	"0"	"398"	""
"159"	"110"	"152"	"81"	"3"	"50"	"5"	"1"	"0"	"2"	"1"	"2"	"3"	"5"	"13"	"318"	"0"	"318"	""
"160"	"111"	"139"	"171"	"14"	"235"	"10"	"5"	"5"	"8"	"14"	"8"	"13"	"33"	"25"	"480"	"0"	"480"	""
"161"	"112"	"77"	"140"	"8"	"270"	"7"	"6"	"3"	"5"	"16"	"4"	"4"	"8"	"2"	"550"	"0"	"550"	""
"162"	"; ksx"	"1040"	"1657"	"80"	"3188"	"77"	"29"	"26"	"32"	"82"	"32"	"39"	"106"	"103"	"6491"	"0"	"6491"	""
"163"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"2958"	"14518"	"1503"	"23907"	"1078"	"374"	"339"	"390"	"499"	"486"	"494"	"1260"	"1157"	"48963"	"0"	"48963"	""
"164"	"d qy  ; ksx"	"3998"	"16175"	"1583"	"27095"	"1155"	"403"	"365"	"422"	"581"	"518"	"533"	"1366"	"1260"	"55454"	"0"	"55454"	""
"165"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"166"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"167"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"168"	"113"	"72"	"164"	"8"	"211"	"8"	"1"	"2"	"1"	"7"	"2"	"6"	"6"	"9"	"497"	"0"	"497"	""
"169"	"114"	"14"	"96"	"1"	"261"	"4"	"1"	"0"	"1"	"0"	"0"	"1"	"15"	"3"	"397"	"0"	"397"	""
"170"	"115"	"16"	"106"	"2"	"387"	"2"	"0"	"2"	"1"	"3"	"2"	"4"	"5"	"4"	"534"	"0"	"534"	""
"171"	"116"	"6"	"61"	"5"	"183"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"262"	"0"	"262"	""
"172"	"117"	"33"	"69"	"3"	"260"	"11"	"0"	"2"	"1"	"0"	"2"	"2"	"3"	"3"	"389"	"0"	"389"	""
"173"	"118"	"33"	"113"	"5"	"228"	"5"	"0"	"3"	"4"	"10"	"3"	"6"	"7"	"14"	"431"	"0"	"431"	""
"174"	"119"	"25"	"100"	"11"	"268"	"5"	"2"	"0"	"4"	"4"	"4"	"3"	"4"	"2"	"432"	"0"	"432"	""
"175"	"120"	"19"	"52"	"1"	"243"	"2"	"3"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	"327"	"0"	"327"	""
"176"	"121"	"28"	"74"	"1"	"209"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"321"	"0"	"321"	""
"177"	"122"	"6"	"101"	"0"	"74"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"186"	"0"	"186"	""
"178"	"122  ¼d½"	"24"	"391"	"7"	"45"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"16"	"6"	"491"	"0"	"491"	""
"179"	"123"	"30"	"267"	"7"	"104"	"2"	"2"	"0"	"1"	"3"	"1"	"4"	"28"	"9"	"558"	"0"	"558"	""
"180"	"124"	"31"	"178"	"16"	"289"	"6"	"0"	"1"	"3"	"13"	"3"	"1"	"3"	"3"	"547"	"0"	"547"	""
"181"	"125"	"23"	"58"	"9"	"145"	"1"	"0"	"0"	"0"	"3"	"1"	"0"	"2"	"1"	"243"	"0"	"243"	""
"182"	"; ksx"	"360"	"1830"	"76"	"2907"	"50"	"10"	"13"	"19"	"46"	"19"	"33"	"94"	"58"	"5515"	"0"	"5515"	""
"183"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"3998"	"16175"	"1583"	"27095"	"1155"	"403"	"365"	"422"	"581"	"518"	"533"	"1366"	"1260"	"55454"	"0"	"55454"	""
"184"	"d qy  ; ksx"	"4358"	"18005"	"1659"	"30002"	"1205"	"413"	"378"	"441"	"627"	"537"	"566"	"1460"	"1318"	"60969"	"0"	"60969"	""
"185"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"186"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"187"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"188"	"126"	"20"	"74"	"8"	"300"	"2"	"4"	"0"	"1"	"14"	"2"	"1"	"0"	"5"	"431"	"0"	"431"	""
"189"	"127"	"34"	"135"	"6"	"351"	"9"	"0"	"2"	"7"	"5"	"2"	"6"	"7"	"3"	"567"	"0"	"567"	""
"190"	"128"	"61"	"274"	"12"	"344"	"7"	"5"	"3"	"2"	"13"	"4"	"2"	"11"	"7"	"745"	"0"	"745"	""
"191"	"129"	"22"	"141"	"9"	"223"	"10"	"3"	"3"	"7"	"8"	"3"	"4"	"18"	"15"	"466"	"0"	"466"	""
"192"	"130"	"21"	"200"	"11"	"235"	"10"	"6"	"3"	"3"	"10"	"9"	"3"	"28"	"41"	"580"	"0"	"580"	""
"193"	"131"	"27"	"163"	"4"	"106"	"2"	"1"	"1"	"5"	"2"	"2"	"3"	"7"	"7"	"330"	"0"	"330"	""
"194"	"132"	"29"	"168"	"3"	"78"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"7"	"4"	"293"	"0"	"293"	""
"195"	"133"	"22"	"221"	"21"	"146"	"11"	"2"	"1"	"1"	"2"	"4"	"2"	"11"	"8"	"442"	"0"	"442"	""
"196"	"134"	"22"	"277"	"5"	"42"	"3"	"0"	"0"	"2"	"0"	"3"	"0"	"8"	"7"	"369"	"0"	"369"	""
"197"	"135"	"35"	"154"	"51"	"278"	"4"	"8"	"3"	"5"	"4"	"1"	"4"	"6"	"4"	"557"	"0"	"557"	""
"198"	"136"	"7"	"104"	"4"	"86"	"6"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"213"	"0"	"213"	""
"199"	"137"	"18"	"291"	"95"	"281"	"10"	"2"	"3"	"11"	"3"	"9"	"1"	"13"	"6"	"743"	"0"	"743"	""
"200"	"138"	"22"	"363"	"32"	"184"	"3"	"1"	"2"	"2"	"3"	"2"	"3"	"25"	"10"	"652"	"0"	"652"	""
"201"	"139"	"2"	"167"	"2"	"8"	"0"	"0"	"1"	"4"	"1"	"0"	"1"	"6"	"1"	"193"	"0"	"193"	""
"202"	"; ksx"	"342"	"2732"	"263"	"2662"	"77"	"34"	"23"	"51"	"66"	"42"	"30"	"150"	"119"	"6591"	"0"	"6591"	""
"203"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"4358"	"18005"	"1659"	"30002"	"1205"	"413"	"378"	"441"	"627"	"537"	"566"	"1460"	"1318"	"60969"	"0"	"60969"	""
"204"	"d qy  ; ksx"	"4700"	"20737"	"1922"	"32664"	"1282"	"447"	"401"	"492"	"693"	"579"	"596"	"1610"	"1437"	"67560"	"0"	"67560"	""
"205"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"206"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"207"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"208"	"140"	"40"	"195"	"30"	"403"	"29"	"8"	"11"	"13"	"12"	"15"	"2"	"11"	"10"	"779"	"0"	"779"	""
"209"	"141"	"58"	"226"	"14"	"333"	"20"	"2"	"2"	"4"	"9"	"10"	"9"	"36"	"31"	"754"	"0"	"754"	""
"210"	"142"	"19"	"50"	"8"	"282"	"14"	"2"	"1"	"2"	"6"	"5"	"2"	"6"	"1"	"396"	"0"	"396"	""
"211"	"143"	"26"	"196"	"14"	"75"	"5"	"1"	"1"	"8"	"5"	"4"	"3"	"19"	"6"	"363"	"0"	"363"	""
"212"	"144"	"30"	"300"	"85"	"265"	"11"	"3"	"4"	"12"	"10"	"5"	"10"	"28"	"18"	"781"	"0"	"781"	""
"213"	"145"	"59"	"151"	"19"	"196"	"12"	"8"	"3"	"8"	"9"	"4"	"5"	"9"	"11"	"494"	"0"	"494"	""
"214"	"146"	"15"	"65"	"12"	"161"	"7"	"1"	"0"	"7"	"0"	"3"	"1"	"3"	"6"	"279"	"0"	"279"	""
"215"	"147"	"106"	"182"	"78"	"267"	"16"	"10"	"6"	"5"	"5"	"5"	"4"	"13"	"7"	"704"	"0"	"704"	""
"216"	"148"	"116"	"130"	"10"	"172"	"14"	"2"	"7"	"4"	"5"	"13"	"7"	"18"	"24"	"522"	"0"	"522"	""
"217"	"149"	"77"	"90"	"3"	"7"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"5"	"9"	"193"	"0"	"193"	""
"218"	"150"	"25"	"75"	"13"	"388"	"17"	"1"	"1"	"4"	"2"	"4"	"2"	"10"	"11"	"553"	"0"	"553"	""
"219"	"151"	"24"	"108"	"23"	"270"	"7"	"3"	"5"	"1"	"6"	"7"	"3"	"14"	"10"	"481"	"0"	"481"	""
"220"	"152"	"12"	"190"	"19"	"186"	"5"	"1"	"0"	"0"	"1"	"1"	"1"	"7"	"2"	"425"	"0"	"425"	""
"221"	"152  ¼d½"	"16"	"65"	"23"	"268"	"8"	"2"	"0"	"5"	"2"	"8"	"2"	"9"	"8"	"416"	"0"	"416"	""
"222"	"; ksx"	"623"	"2023"	"351"	"3271"	"165"	"44"	"43"	"73"	"72"	"84"	"51"	"188"	"152"	"7140"	"0"	"7140"	""
"223"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"4700"	"20737"	"1922"	"32664"	"1282"	"447"	"401"	"492"	"693"	"579"	"596"	"1610"	"1437"	"67560"	"0"	"67560"	""
"224"	"d qy  ; ksx"	"5323"	"22760"	"2273"	"35935"	"1447"	"491"	"444"	"565"	"765"	"663"	"647"	"1798"	"1589"	"74700"	"0"	"74700"	""
"225"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"226"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"228"	"153"	"19"	"246"	"30"	"200"	"12"	"6"	"0"	"2"	"9"	"6"	"9"	"26"	"11"	"576"	"0"	"576"	""
"229"	"153¼d½"	"9"	"143"	"7"	"94"	"7"	"0"	"1"	"1"	"5"	"0"	"2"	"22"	"6"	"297"	"0"	"297"	""
"230"	"154"	"3"	"268"	"9"	"13"	"2"	"2"	"1"	"9"	"0"	"0"	"0"	"6"	"4"	"317"	"0"	"317"	""
"231"	"155"	"10"	"7"	"1"	"189"	"7"	"2"	"0"	"0"	"2"	"2"	"1"	"1"	"10"	"232"	"0"	"232"	""
"232"	"156"	"72"	"98"	"6"	"83"	"1"	"3"	"0"	"1"	"0"	"3"	"4"	"4"	"9"	"286"	"0"	"286"	""
"233"	"157"	"10"	"209"	"28"	"347"	"24"	"9"	"0"	"7"	"14"	"21"	"12"	"27"	"24"	"738"	"0"	"738"	""
"234"	"158"	"32"	"188"	"25"	"384"	"19"	"6"	"5"	"5"	"11"	"11"	"10"	"25"	"17"	"738"	"0"	"738"	""
"235"	"159"	"83"	"65"	"9"	"199"	"8"	"4"	"0"	"2"	"2"	"3"	"1"	"2"	"7"	"385"	"0"	"385"	""
"236"	"160"	"23"	"283"	"16"	"74"	"5"	"3"	"1"	"4"	"7"	"3"	"3"	"21"	"20"	"463"	"0"	"463"	""
"237"	"161"	"76"	"146"	"76"	"328"	"17"	"6"	"4"	"3"	"1"	"5"	"4"	"9"	"14"	"689"	"0"	"689"	""
"238"	"162"	"16"	"306"	"8"	"39"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"4"	"8"	"387"	"0"	"387"	""
"239"	"163"	"35"	"250"	"24"	"136"	"5"	"2"	"1"	"1"	"1"	"2"	"0"	"3"	"5"	"465"	"0"	"465"	""
"240"	"164"	"58"	"184"	"62"	"410"	"16"	"5"	"3"	"9"	"7"	"3"	"4"	"6"	"5"	"772"	"0"	"772"	""
"241"	"165"	"52"	"23"	"0"	"239"	"10"	"2"	"3"	"2"	"5"	"14"	"2"	"7"	"11"	"370"	"0"	"370"	""
"242"	"; ksx"	"498"	"2416"	"301"	"2735"	"134"	"51"	"25"	"47"	"67"	"73"	"54"	"163"	"151"	"6715"	"0"	"6715"	""
"243"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"5323"	"22760"	"2273"	"35935"	"1447"	"491"	"444"	"565"	"765"	"663"	"647"	"1798"	"1589"	"74700"	"0"	"74700"	""
"244"	"d qy  ; ksx"	"5821"	"25176"	"2574"	"38670"	"1581"	"542"	"469"	"612"	"832"	"736"	"701"	"1961"	"1740"	"81415"	"0"	"81415"	""
"245"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"246"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"247"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"248"	"166"	"13"	"52"	"12"	"314"	"12"	"3"	"2"	"1"	"2"	"4"	"4"	"5"	"8"	"432"	"0"	"432"	""
"249"	"167"	"56"	"117"	"6"	"334"	"6"	"3"	"4"	"0"	"4"	"0"	"0"	"1"	"3"	"534"	"0"	"534"	""
"250"	"168"	"118"	"82"	"16"	"295"	"17"	"5"	"3"	"6"	"7"	"17"	"8"	"4"	"14"	"592"	"0"	"592"	""
"251"	"169"	"13"	"5"	"1"	"228"	"9"	"2"	"0"	"1"	"1"	"7"	"1"	"0"	"1"	"269"	"0"	"269"	""
"252"	"170"	"29"	"95"	"9"	"112"	"2"	"3"	"0"	"3"	"5"	"2"	"0"	"9"	"9"	"278"	"0"	"278"	""
"253"	"171"	"27"	"217"	"12"	"415"	"24"	"6"	"2"	"24"	"8"	"6"	"10"	"17"	"27"	"795"	"0"	"795"	""
"254"	"172"	"20"	"178"	"10"	"255"	"12"	"2"	"1"	"5"	"5"	"8"	"7"	"20"	"24"	"447"	"0"	"447"	""
"255"	"173"	"13"	"99"	"8"	"351"	"14"	"2"	"5"	"7"	"7"	"9"	"2"	"9"	"8"	"534"	"0"	"534"	""
"256"	"174"	"20"	"79"	"20"	"251"	"15"	"3"	"4"	"3"	"7"	"6"	"6"	"8"	"13"	"435"	"0"	"435"	""
"257"	"175"	"21"	"74"	"9"	"380"	"14"	"2"	"4"	"8"	"6"	"16"	"12"	"10"	"16"	"572"	"0"	"572"	""
"258"	"176"	"95"	"124"	"17"	"352"	"13"	"3"	"4"	"5"	"3"	"6"	"6"	"11"	"13"	"652"	"0"	"652"	""
"259"	"177"	"10"	"220"	"32"	"128"	"6"	"0"	"1"	"16"	"3"	"6"	"8"	"15"	"8"	"453"	"0"	"453"	""
"260"	"178"	"20"	"260"	"9"	"61"	"5"	"0"	"2"	"16"	"3"	"2"	"3"	"7"	"9"	"397"	"0"	"397"	""
"261"	"179"	"12"	"177"	"18"	"176"	"6"	"5"	"3"	"14"	"5"	"10"	"8"	"16"	"8"	"458"	"0"	"458"	""
"262"	"; ksx"	"467"	"1779"	"179"	"3652"	"155"	"39"	"35"	"109"	"66"	"99"	"75"	"132"	"161"	"6948"	"0"	"6948"	""
"263"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"5821"	"25176"	"2574"	"38670"	"1581"	"542"	"469"	"612"	"832"	"736"	"701"	"1961"	"1740"	"81415"	"0"	"81415"	""
"264"	"d qy  ; ksx"	"6288"	"26995"	"2753"	"42322"	"1736"	"581"	"504"	"721"	"898"	"835"	"776"	"2093"	"1901"	"88363"	"0"	"88363"	""
"265"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"266"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"267"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"268"	"180"	"13"	"83"	"13"	"151"	"7"	"3"	"1"	"3"	"4"	"3"	"1"	"7"	"8"	"297"	"0"	"297"	""
"269"	"181"	"24"	"161"	"3"	"285"	"9"	"3"	"0"	"1"	"0"	"3"	"0"	"3"	"3"	"495"	"0"	"495"	""
"270"	"182"	"16"	"51"	"6"	"331"	"3"	"1"	"3"	"1"	"2"	"9"	"1"	"2"	"4"	"430"	"0"	"430"	""
"271"	"183"	"25"	"163"	"6"	"240"	"17"	"2"	"5"	"3"	"6"	"5"	"5"	"21"	"21"	"519"	"0"	"519"	""
"272"	"184"	"36"	"236"	"17"	"283"	"17"	"8"	"3"	"5"	"3"	"1"	"2"	"17"	"7"	"635"	"0"	"635"	""
"273"	"185"	"44"	"187"	"29"	"365"	"32"	"6"	"11"	"9"	"12"	"7"	"17"	"27"	"25"	"771"	"0"	"771"	""
"274"	"186"	"33"	"172"	"15"	"170"	"15"	"5"	"1"	"5"	"3"	"1"	"1"	"2"	"5"	"428"	"0"	"428"	""
"275"	"187"	"14"	"347"	"7"	"102"	"3"	"1"	"1"	"1"	"3"	"0"	"2"	"11"	"12"	"504"	"0"	"504"	""
"276"	"188"	"34"	"365"	"9"	"178"	"9"	"7"	"2"	"6"	"7"	"4"	"8"	"16"	"11"	"656"	"0"	"656"	""
"277"	"189"	"43"	"145"	"12"	"232"	"8"	"1"	"2"	"6"	"1"	"2"	"1"	"11"	"12"	"476"	"0"	"476"	""
"278"	"190"	"31"	"476"	"8"	"17"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"9"	"2"	"548"	"0"	"548"	""
"279"	"191"	"41"	"179"	"12"	"71"	"4"	"1"	"3"	"1"	"3"	"7"	"9"	"17"	"27"	"375"	"0"	"375"	""
"280"	"192"	"37"	"166"	"13"	"200"	"7"	"3"	"0"	"0"	"5"	"5"	"1"	"10"	"8"	"455"	"0"	"455"	""
"281"	"193"	"13"	"63"	"52"	"245"	"7"	"2"	"2"	"2"	"4"	"0"	"3"	"5"	"4"	"402"	"0"	"402"	""
"282"	"; ksx"	"404"	"2794"	"202"	"2870"	"139"	"43"	"34"	"44"	"55"	"47"	"52"	"158"	"149"	"6991"	"0"	"6991"	""
"283"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"6288"	"26995"	"2753"	"42322"	"1736"	"581"	"504"	"721"	"898"	"835"	"776"	"2093"	"1901"	"88363"	"0"	"88363"	""
"284"	"d qy  ; ksx"	"6692"	"29749"	"2955"	"45192"	"1875"	"624"	"538"	"765"	"953"	"882"	"828"	"2251"	"2050"	"95354"	"0"	"95354"	""
"285"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"286"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"287"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"288"	"194"	"13"	"114"	"10"	"183"	"10"	"2"	"0"	"0"	"3"	"4"	"2"	"12"	"10"	"363"	"0"	"363"	""
"289"	"195"	"57"	"203"	"14"	"160"	"9"	"6"	"1"	"3"	"6"	"9"	"11"	"20"	"21"	"520"	"0"	"520"	""
"290"	"196"	"12"	"262"	"46"	"65"	"6"	"1"	"0"	"9"	"1"	"4"	"3"	"26"	"15"	"450"	"0"	"450"	""
"291"	"197"	"76"	"99"	"12"	"213"	"9"	"1"	"2"	"22"	"5"	"4"	"5"	"9"	"7"	"464"	"0"	"464"	""
"292"	"198"	"4"	"59"	"12"	"217"	"7"	"3"	"3"	"54"	"5"	"2"	"5"	"0"	"11"	"382"	"0"	"382"	""
"293"	"199"	"4"	"99"	"5"	"41"	"1"	"2"	"2"	"0"	"1"	"0"	"2"	"8"	"6"	"171"	"0"	"171"	""
"294"	"200"	"7"	"249"	"53"	"26"	"0"	"1"	"1"	"4"	"0"	"3"	"3"	"13"	"6"	"366"	"0"	"366"	""
"295"	"201"	"12"	"159"	"2"	"26"	"1"	"0"	"0"	"11"	"1"	"1"	"0"	"1"	"1"	"225"	"0"	"225"	""
"296"	"202"	"58"	"354"	"47"	"37"	"2"	"1"	"0"	"29"	"0"	"1"	"3"	"16"	"11"	"559"	"0"	"559"	""
"297"	"203"	"10"	"361"	"6"	"91"	"1"	"2"	"1"	"4"	"3"	"1"	"3"	"11"	"4"	"498"	"0"	"498"	""
"298"	"204"	"32"	"400"	"36"	"146"	"10"	"7"	"3"	"8"	"3"	"0"	"1"	"8"	"10"	"664"	"0"	"664"	""
"299"	"205"	"35"	"242"	"30"	"47"	"168"	"3"	"1"	"3"	"7"	"6"	"5"	"29"	"16"	"592"	"0"	"592"	""
"300"	"206"	"5"	"8"	"4"	"170"	"136"	"4"	"1"	"3"	"7"	"4"	"4"	"6"	"10"	"362"	"0"	"362"	""
"301"	"207"	"7"	"508"	"6"	"68"	"19"	"1"	"1"	"2"	"2"	"1"	"3"	"17"	"6"	"641"	"0"	"641"	""
"302"	"; ksx"	"332"	"3127"	"283"	"1490"	"379"	"34"	"16"	"152"	"44"	"40"	"50"	"176"	"134"	"6257"	"0"	"6257"	""
"303"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"6652"	"29749"	"2955"	"45192"	"1875"	"624"	"538"	"765"	"953"	"482"	"828"	"2251"	"2050"	"95354"	"0"	"95354"	""
"304"	"d qy  ; ksx"	"7024"	"32876"	"3238"	"46682"	"2254"	"658"	"554"	"917"	"997"	"922"	"878"	"2427"	"2184"	"101611"	"0"	"101611"	""
"305"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
