"er.nku.dsUnz.l.a....k"	"vo.kfogkj.h.pkS.kj.h"	"O..kl.nso.i.zl.kn"	"X..kkghn.gql.Su"	"JhdkUr..t.h"	"l.at.ho.dqekj"	"bt.gk..y..gd"	"mi.sUnz.fr.okj.h"	"uSeqí.hu.val.kj.h"	"fo..odekZ.i.zl.kn.pkSgku"	"vt....dqekj"	"vCnqy..fj.t.oku.val.kj.h"	"vfHk..ksd..dqekj"	"vyh.v..r.j"	"t.ykywnhu.vgen"	"t.y.s..oj..Hkxr"	"fnyhi..dqekj"	"uj.s..k.pUn...kno"	"Hkhe.i.zl.kn...kno"	"eal.qj..vkye"	"j.kt...dqekj....kekZ"	"X..kdqUr.yk.nsoh"	"X..kEHkw.i.zl.kn"	"l.axhr.k.fl.Ugk"	"X..kQh..y..gd"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr..er.ksa.dh.dqy.l.a....k"
"198"	110	284	262	8	2	1	2	1	2	0	5	6	1	2	3	14	14	17	14	2	7	0	2	2	3	654	0	654	0
"199"	111	39	111	4	5	1	0	2	5	34	3	10	2	0	3	0	3	1	0	0	0	0	1	0	2	226	0	226	0
"200"	112	128	177	7	0	1	0	3	1	0	2	0	0	0	4	8	2	1	3	1	0	0	0	0	0	338	0	338	0
"201"	NA	1230	1534	70	27	9	22	11	21	190	25	88	13	5	23	48	55	66	38	16	18	12	16	20	37	3594	0	3594	0
"202"	NA	NA	27326	1749	432	157	267	269	1719	643	327	874	301	134	423	721	611	739	1684	313	661	155	245	534	609	59697	0	59697	0
"203"	NA	NA	28860	1819	459	166	289	280	1740	833	352	962	314	139	446	769	666	805	1722	329	679	167	261	554	646	63291	0	63291	0
"204"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"205"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"206"	113	491	4	0	1	0	0	0	1	0	0	0	1	0	1	3	2	2	0	0	0	1	0	0	1	508	0	508	0
"207"	114	165	214	5	3	0	2	8	65	8	5	11	3	1	2	7	5	5	0	5	3	3	0	4	4	528	0	528	0
"208"	115	134	12	2	3	1	0	0	0	0	0	197	2	0	19	5	4	2	0	1	0	1	3	6	3	395	0	395	0
"209"	NA	107	69	2	4	0	2	1	9	8	1	184	4	1	0	2	5	9	4	3	1	1	9	4	2	432	0	432	0
"210"	116	370	101	6	0	2	2	9	131	6	2	2	1	0	3	4	4	0	2	0	0	0	0	1	5	651	0	651	0
"211"	117	226	154	3	1	1	0	2	1	1	0	1	0	0	0	5	4	1	3	0	1	0	0	5	1	410	0	410	0
"212"	118	75	183	3	1	1	1	0	7	13	0	1	1	0	1	6	0	5	10	4	4	1	1	14	4	336	0	336	0
"213"	NA	1568	737	21	13	5	7	20	214	36	8	396	12	2	26	32	24	24	19	13	9	7	13	34	20	3260	0	3260	0
"214"	NA	NA	28860	1819	459	166	289	280	1740	833	352	962	314	139	446	769	666	805	1722	329	679	167	261	554	646	63291	0	63291	0
"215"	NA	NA	29597	1840	472	171	296	300	1954	869	360	1358	326	141	472	801	690	829	1741	342	688	174	274	588	666	66551	0	66551	0
"216"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"217"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"218"	119	257	184	12	0	2	0	1	6	0	8	7	1	0	10	6	1	0	2	0	0	0	0	3	1	501	0	501	0
"219"	120	82	125	2	2	0	0	0	1	1	0	3	0	0	3	4	2	1	7	1	0	0	1	2	2	239	0	239	0
"220"	121	222	29	7	0	0	0	0	2	1	1	2	1	0	1	5	1	2	0	0	3	0	0	2	4	283	0	283	0
"221"	122	96	79	13	2	0	1	0	2	0	0	2	2	0	2	5	4	2	1	1	1	1	0	5	2	221	0	221	0
"222"	123	70	95	57	4	0	3	1	4	0	1	0	1	0	1	1	0	4	1	1	0	0	1	3	0	248	0	248	0
"223"	124	50	97	364	11	1	1	0	9	2	0	1	0	0	2	1	0	1	1	1	3	0	1	11	6	563	0	563	0
"224"	125	82	16	414	5	2	0	0	4	2	0	5	0	1	2	1	6	9	2	3	2	3	5	1	8	573	0	573	0
"225"	NA	859	625	869	24	5	5	2	28	6	10	20	5	1	21	23	14	19	14	7	9	4	8	27	23	2628	0	2628	0
"226"	NA	NA	29597	1840	472	171	296	300	1954	869	360	1358	326	141	472	801	690	829	1741	342	688	174	274	588	666	66551	0	66551	0
"227"	NA	NA	30222	2709	496	176	301	302	1982	875	370	1378	331	142	493	824	704	848	1755	349	697	178	282	615	689	69179	0	69179	0
"228"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"229"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"230"	126	265	77	30	8	1	39	1	15	0	1	1	1	0	0	3	1	2	1	2	2	1	0	2	3	456	0	456	0
"231"	127	171	199	13	8	1	9	1	18	2	1	0	2	1	8	0	0	12	6	2	3	3	0	6	6	472	0	472	0
"232"	128	88	188	69	3	3	0	0	9	2	3	4	3	5	6	12	6	3	7	4	2	2	4	1	3	427	0	427	0
"233"	129	181	200	19	2	1	2	0	25	2	1	4	1	3	2	5	3	6	8	4	7	1	2	3	5	487	0	487	0
"234"	NA	304	89	10	3	1	0	1	0	0	2	4	1	0	2	8	2	2	1	1	4	1	0	0	2	438	0	438	0
"235"	130	55	221	114	14	1	3	2	3	1	0	0	1	2	2	4	4	8	3	1	1	0	0	1	0	441	0	441	0
"236"	131	75	67	10	1	0	220	5	38	15	1	2	1	1	6	1	3	11	2	4	6	4	0	3	10	486	0	486	0
"237"	NA	1139	1041	265	39	8	273	10	108	22	9	15	10	12	26	33	19	44	28	18	25	12	6	16	29	3207	0	3207	0
"238"	NA	NA	30222	2709	496	176	301	302	1982	875	370	1378	331	142	493	824	704	848	1755	349	697	178	282	615	689	69179	0	69179	0
"239"	NA	NA	31263	2974	535	184	574	312	2090	897	379	1393	341	154	519	857	723	892	1783	367	722	190	288	631	718	72386	0	72386	0
"240"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"242"	132	413	73	1	2	1	16	1	24	4	1	4	5	2	2	7	5	10	1	4	2	0	1	1	6	586	0	586	0
"243"	133	151	258	17	2	0	3	4	3	1	5	2	8	2	4	24	20	21	13	2	5	3	1	6	5	560	0	560	0
"244"	134	189	115	44	4	1	1	2	7	1	1	1	0	1	3	2	6	12	1	3	2	2	3	2	13	416	0	416	0
"245"	135	361	80	4	2	1	3	3	17	0	0	1	0	0	3	10	6	5	1	1	0	0	1	1	1	501	0	501	0
"246"	136	205	133	10	6	3	11	2	5	2	3	10	1	4	5	13	6	7	3	1	1	0	2	2	1	436	0	436	0
"247"	137	535	127	36	1	4	1	0	0	0	1	2	0	0	3	10	7	12	2	2	0	0	0	0	1	744	0	744	0
"248"	138	348	173	5	12	4	3	12	139	5	6	3	3	1	6	9	2	5	3	3	1	0	0	0	3	746	0	746	0
"249"	NA	2202	959	117	29	14	38	24	195	13	17	23	17	10	26	75	52	72	24	16	11	5	8	12	30	3989	0	3989	0
"250"	NA	NA	31263	2974	535	184	574	312	2090	897	379	1393	341	154	519	857	723	892	1783	367	722	190	288	631	718	72386	0	72386	0
"251"	NA	NA	32222	3091	564	198	612	336	2285	910	396	1416	358	164	545	932	775	964	1807	383	733	195	296	643	748	76375	0	76375	0
"252"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"253"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"254"	139	133	244	11	6	4	3	6	74	3	2	4	5	3	0	3	2	10	6	8	5	4	6	5	15	562	0	562	0
"255"	140	456	101	6	5	3	1	2	6	4	1	3	1	1	6	17	17	20	4	1	0	2	0	3	7	667	0	667	0
"256"	141	347	231	4	3	4	2	0	4	2	4	3	0	1	4	4	3	15	6	2	0	1	2	13	6	661	0	661	0
"257"	142	252	179	6	5	1	3	0	6	0	0	3	0	1	1	5	6	13	14	5	5	2	3	4	14	528	0	528	0
"258"	143	371	263	9	15	2	0	1	2	2	7	11	8	4	5	21	29	20	15	5	3	1	1	9	16	820	0	820	0
"259"	144	86	352	4	5	1	2	4	71	28	3	5	5	1	4	6	5	11	9	3	2	2	4	6	11	630	0	630	0
"260"	145	71	132	1	3	0	1	1	1	10	2	3	5	1	0	7	4	6	2	2	6	1	0	2	0	261	0	261	0
"261"	NA	1716	1502	41	42	15	12	14	164	49	19	32	24	12	20	63	66	95	56	26	21	13	16	42	69	4129	0	4129	0
"262"	NA	NA	32222	3091	564	198	612	336	2285	910	396	1416	358	164	545	932	775	964	1807	383	733	195	296	643	748	76375	0	76375	0
"263"	NA	NA	33724	3132	606	213	624	350	2449	959	415	1448	382	176	565	995	841	1059	1863	409	754	208	312	685	817	80504	0	80504	0
"264"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"265"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"266"	146	79	392	3	13	0	1	1	8	13	0	2	17	1	4	4	5	3	7	1	3	0	3	0	0	560	0	560	0
"267"	147	117	410	5	18	0	1	1	5	3	3	5	11	0	1	1	1	2	2	0	1	0	0	0	1	588	0	588	0
"268"	148	101	530	7	16	1	0	1	2	1	2	0	22	1	1	5	5	25	44	8	7	7	1	2	7	796	0	796	0
"269"	149	73	315	1	3	2	1	0	1	2	1	0	11	0	1	1	2	1	2	1	0	3	2	1	1	425	0	425	0
"270"	150	388	128	4	7	1	1	1	44	5	3	3	3	1	2	10	1	15	3	5	0	0	0	1	3	629	0	629	0
"271"	151	255	233	3	4	0	1	2	17	0	1	12	2	1	8	0	1	3	2	0	4	0	0	1	1	551	0	551	0
"272"	152	212	182	6	2	1	3	1	16	0	5	5	4	0	5	5	2	1	7	1	3	1	1	1	0	464	0	464	0
"273"	NA	1225	2190	29	63	5	8	7	93	24	15	27	70	4	22	26	17	50	67	16	18	11	7	6	13	4013	0	4013	0
"274"	NA	NA	33724	3132	606	213	624	350	2449	959	415	1448	382	176	565	995	841	1059	1863	409	754	208	312	685	817	80504	0	80504	0
"275"	NA	NA	35914	3161	669	218	632	357	2542	983	430	1475	452	180	587	1021	858	1109	1930	425	772	219	319	691	830	84517	0	84517	0
"276"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"277"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"278"	153	246	80	1	8	1	12	1	5	0	3	1	0	0	1	3	2	2	0	0	0	0	0	0	0	366	0	366	0
"279"	NA	319	29	0	9	0	19	0	7	1	3	0	0	0	7	3	0	2	0	0	0	0	0	1	1	401	0	401	0
"280"	154	107	538	7	5	0	1	0	5	0	3	0	20	0	0	1	2	3	4	2	1	1	4	1	0	705	0	705	0
"281"	155	141	208	6	4	1	1	5	52	6	3	3	4	2	2	2	0	6	5	4	5	3	2	1	4	470	0	470	0
"282"	156	146	322	5	6	12	1	1	16	12	3	8	3	2	2	3	7	3	6	3	0	0	0	8	0	569	0	569	0
"283"	157	94	352	3	4	56	0	2	0	0	5	0	8	3	0	3	3	0	5	3	0	1	1	13	3	559	0	559	0
"284"	158	319	273	10	7	7	5	5	22	4	5	7	8	1	2	7	5	6	6	1	2	1	6	4	3	716	0	716	0
"285"	NA	1372	1802	32	43	77	39	14	107	23	25	19	43	8	14	22	19	22	26	13	8	6	13	28	11	3786	0	3786	0
"286"	NA	NA	35914	3161	669	218	632	357	2542	983	430	1475	452	180	587	1021	858	1109	1930	425	772	219	319	691	830	84517	0	84517	0
"287"	NA	NA	37716	3193	712	295	671	371	2649	1006	455	1494	495	188	601	1043	877	1131	1956	438	780	225	332	719	841	88303	0	88303	0
"288"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"289"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"290"	159	53	409	1	6	2	1	4	16	1	3	5	12	3	0	2	2	0	5	1	0	0	0	0	0	526	0	526	0
"291"	160	107	317	6	6	8	4	1	13	0	3	0	2	0	2	0	4	1	8	1	4	0	0	0	2	489	0	489	0
"292"	161	91	362	6	6	2	1	0	3	2	0	2	5	5	3	10	3	11	19	6	10	4	2	3	3	559	0	559	0
"293"	162	152	328	1	1	9	1	0	6	1	0	2	21	2	1	3	2	1	2	0	0	0	3	2	0	538	0	538	0
"294"	163	69	308	3	12	6	0	2	3	0	0	1	2	0	1	2	2	0	1	0	0	0	2	0	0	414	0	414	0
"295"	NA	60	326	4	5	0	0	0	0	1	1	0	7	1	0	0	2	0	0	0	0	0	1	0	0	408	0	408	0
"296"	164	87	351	2	2	4	1	1	6	1	0	0	2	0	1	3	0	0	1	0	0	0	2	1	0	465	0	465	0
"297"	NA	619	2401	23	38	31	8	8	47	6	7	10	51	11	8	20	15	13	36	8	14	4	10	6	5	3399	0	3399	0
"298"	NA	NA	37716	3193	712	295	671	371	2649	1006	455	1494	495	188	601	1043	877	1131	1956	438	780	225	332	719	841	88303	0	88303	0
"299"	NA	NA	40117	3216	750	326	679	379	2696	1012	462	1504	546	199	609	1063	892	1144	1992	446	794	229	342	725	846	91702	0	91702	0
"300"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"301"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"302"	165	63	358	7	3	5	1	5	0	6	1	0	4	0	0	1	2	1	4	0	2	1	0	0	2	466	0	466	0
"303"	166	91	12	1	1	1	1	4	89	3	66	2	2	1	32	3	1	2	1	2	0	0	0	0	1	316	0	316	0
"304"	167	66	97	3	1	0	2	6	107	3	33	11	6	2	8	1	3	4	3	2	2	1	2	2	3	368	0	368	0
"305"	168	57	134	1	2	4	0	1	1	0	4	0	2	0	3	0	2	4	3	2	1	1	0	1	2	225	0	225	0
"306"	169	142	274	3	8	2	1	7	25	1	61	0	7	0	3	3	1	13	11	3	3	2	6	2	3	581	0	581	0
"307"	170	105	49	7	3	0	4	6	111	1	40	1	5	0	3	1	1	8	7	1	1	3	3	3	1	364	0	364	0
"308"	171	38	311	1	3	3	1	3	3	2	28	1	12	0	1	7	0	3	5	0	0	1	0	0	0	423	0	423	0
"309"	NA	562	1235	23	21	15	10	32	336	16	233	15	38	3	50	16	10	35	34	10	9	9	11	8	12	2743	0	2743	0
"310"	NA	NA	40117	3216	750	326	679	379	2696	1012	462	1504	546	199	609	1063	892	1144	1992	446	794	229	342	725	846	91702	0	91702	0
"311"	NA	NA	41352	3239	771	341	689	411	3032	1028	695	1519	584	202	659	1079	902	1179	2026	456	803	238	353	733	858	94445	0	94445	0
"312"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"313"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"314"	NA	33	297	5	0	1	1	0	5	2	26	2	7	2	7	7	3	2	5	0	2	0	1	0	1	409	0	409	0
"315"	172	32	373	0	2	5	1	0	0	0	8	0	17	0	1	4	1	2	16	4	4	1	4	4	3	482	0	482	0
"316"	173	83	231	2	6	0	1	1	22	0	9	2	9	0	1	1	1	1	0	0	0	0	6	1	0	377	0	377	0
"317"	174	75	397	3	17	7	4	2	9	1	5	2	9	0	2	2	0	0	1	1	3	1	2	0	0	543	0	543	0
"318"	175	208	238	2	5	1	4	1	37	0	3	7	4	1	1	1	5	4	0	2	0	1	0	0	1	526	0	526	0
"319"	176	57	325	1	18	0	0	0	1	4	1	0	4	1	0	0	1	2	4	0	0	0	3	1	1	424	0	424	0
"320"	177	23	331	4	21	1	0	0	2	0	1	0	46	1	5	2	7	3	2	1	0	1	1	0	1	453	0	453	0
"321"	NA	511	2192	17	69	15	11	4	76	7	53	13	96	5	17	17	18	14	28	8	9	4	17	6	7	3214	0	3214	0
"322"	NA	NA	41352	3239	771	341	689	411	3032	1028	695	1519	584	202	659	1079	902	1179	2026	456	803	238	353	733	858	94445	0	94445	0
"323"	NA	NA	43544	3256	840	356	700	415	3108	1035	748	1532	680	207	676	1096	920	1193	2054	464	812	242	370	739	865	97659	0	97659	0
"324"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"325"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"326"	178	37	445	3	54	1	0	0	8	1	7	1	32	1	0	4	2	1	0	0	2	1	2	1	1	604	0	604	0
"327"	179	73	360	6	75	2	1	0	0	3	1	0	23	1	1	0	1	6	10	3	1	0	0	1	0	568	0	568	0
"328"	180	81	478	4	22	0	1	0	2	0	4	1	34	0	1	5	5	7	11	2	5	3	2	3	2	673	0	673	0
"329"	181	291	165	1	2	2	1	3	32	19	1	6	0	1	4	2	5	4	2	2	1	0	0	1	0	545	0	545	0
"330"	182	142	264	1	12	2	0	1	9	1	3	1	11	1	1	3	2	0	2	2	2	0	0	1	0	461	0	461	0
"331"	183	272	65	1	5	1	0	0	21	0	2	0	2	2	0	4	1	3	2	14	0	0	0	3	0	398	0	398	0
"332"	184	290	23	2	8	0	2	2	81	4	5	13	6	1	1	8	4	18	5	4	1	2	3	1	7	491	0	491	0
"333"	NA	1186	1800	18	178	8	5	6	153	28	23	22	108	7	8	26	20	39	32	27	12	6	7	11	10	3740	0	3740	0
"334"	NA	NA	43544	3256	840	356	700	415	3108	1035	748	1532	680	207	676	1096	920	1193	2054	464	812	242	370	739	865	97659	0	97659	0
"335"	NA	NA	45344	3274	1018	364	705	421	3261	1063	771	1554	788	214	684	1122	940	1232	2086	491	824	248	377	750	875	101399	0	101399	0
"336"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"337"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"338"	185	333	57	9	8	0	3	1	78	2	0	0	2	3	0	8	7	6	0	0	0	1	0	0	5	523	0	523	0
"339"	186	47	303	2	1	1	0	0	2	1	0	1	4	0	0	0	35	1	2	1	9	0	5	0	2	417	0	417	0
"340"	187	62	259	0	3	0	0	1	2	23	1	2	8	1	0	1	16	0	1	0	5	0	12	0	2	399	0	399	0
"341"	188	374	95	4	2	2	1	0	11	43	2	7	2	0	2	9	49	7	4	2	2	0	0	0	4	622	0	622	0
"342"	189	90	302	4	1	0	1	1	2	3	3	0	4	2	1	1	11	0	4	0	4	0	6	1	0	441	0	441	0
"343"	190	47	143	8	6	0	0	0	10	0	2	0	12	0	0	0	4	0	2	0	0	0	0	0	1	235	0	235	0
"344"	191	221	326	7	11	0	4	1	10	5	0	0	10	0	2	6	3	8	2	5	2	2	3	3	8	639	0	639	0
"345"	NA	1174	1485	34	32	3	9	4	115	77	8	10	42	6	5	25	125	22	15	8	22	3	26	4	22	3276	0	3276	0
"346"	NA	NA	45344	3274	1018	364	705	421	3261	1063	771	1554	788	214	684	1122	940	1232	2086	491	824	248	377	750	875	101399	0	101399	0
"347"	NA	NA	46829	3308	1050	367	714	425	3376	1140	779	1564	830	220	689	1147	1065	1254	2101	499	846	251	403	754	897	104675	0	104675	0
"348"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"349"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"350"	192	134	217	5	3	0	0	0	10	1	0	5	7	0	2	1	5	13	14	2	5	1	2	1	4	432	0	432	0
"351"	193	100	291	5	3	0	0	2	38	4	2	15	13	1	4	1	2	5	14	3	4	6	2	6	1	522	0	522	0
"352"	194	419	143	5	2	1	1	0	21	1	19	10	24	1	8	19	2	14	5	1	0	0	2	1	1	700	0	700	0
"353"	195	228	102	6	4	0	2	1	16	1	0	3	20	1	0	4	3	10	5	3	2	2	9	3	2	427	0	427	0
"354"	NA	178	23	5	1	0	0	1	23	1	1	11	2	0	2	4	0	0	0	0	0	0	1	0	0	253	0	253	0
"355"	196	127	96	1	1	1	0	1	46	2	3	2	60	1	1	1	1	2	2	0	0	0	2	1	0	351	0	351	0
"356"	197	214	210	0	2	2	1	1	11	3	2	5	231	1	2	2	4	10	6	0	0	0	1	2	1	711	0	711	0
"357"	NA	1400	1082	27	16	4	4	6	165	13	27	51	357	5	19	32	17	54	46	9	11	9	19	14	9	3396	0	3396	0
"358"	NA	NA	46829	3308	1050	367	714	425	3376	1140	779	1564	830	220	689	1147	1065	1254	2101	499	846	251	403	754	897	104675	0	104675	0
"359"	NA	NA	47911	3335	1066	371	718	431	3541	1153	806	1615	1187	225	708	1179	1082	1308	2147	508	857	260	422	768	906	108071	0	108071	0
"360"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"361"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"362"	198	245	60	0	4	1	2	0	28	1	1	1	43	2	2	2	8	3	0	1	0	0	0	0	4	408	0	408	0
"363"	199	301	181	0	4	2	1	1	83	0	3	2	14	10	1	3	3	2	1	0	0	1	0	0	0	613	0	613	0
"364"	200	113	285	2	6	1	0	1	8	0	10	0	18	0	1	2	1	2	12	2	1	2	0	2	1	470	0	470	0
"365"	201	207	401	6	7	0	1	3	39	7	6	1	13	0	1	10	4	1	4	2	0	0	6	2	2	723	0	723	0
"366"	202	57	191	1	2	1	0	4	28	1	54	0	7	0	1	0	1	0	2	1	2	0	2	0	0	355	0	355	0
"367"	203	92	358	7	4	1	0	15	1	3	7	0	8	1	0	2	1	5	6	1	1	0	5	0	2	520	0	520	0
"368"	204	173	272	1	4	0	1	2	1	0	5	0	3	1	0	5	2	4	4	6	2	2	6	3	4	501	0	501	0
"369"	NA	1188	1748	17	31	6	5	26	188	12	86	4	106	14	6	24	20	17	29	13	6	5	19	7	13	3590	0	3590	0
"370"	NA	NA	47911	3335	1066	371	718	431	3541	1153	806	1615	1187	225	708	1179	1082	1308	2147	508	857	260	422	768	906	108071	0	108071	0
"371"	NA	NA	49659	3352	1097	377	723	457	3729	1165	892	1619	1293	239	714	1203	1102	1325	2176	521	863	265	441	775	919	111661	0	111661	0
"372"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"373"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"374"	205	221	192	3	1	1	0	3	97	2	0	1	16	0	0	4	6	2	0	0	0	1	3	0	0	553	0	553	0
"375"	206	276	335	2	12	1	3	2	38	0	5	0	1	1	1	2	2	2	3	0	0	0	4	0	2	692	0	692	0
"376"	207	323	71	2	1	0	0	1	7	0	0	1	3	0	1	6	2	5	3	0	1	1	0	0	0	428	0	428	0
"377"	208	236	102	4	3	1	0	2	19	0	0	0	2	0	0	4	3	0	2	0	0	0	0	1	0	379	0	379	0
"378"	209	121	451	6	4	2	0	2	9	0	1	1	36	0	1	13	4	1	5	0	0	0	0	1	2	660	0	660	0
"379"	210	385	83	3	1	1	2	1	33	6	1	0	31	0	0	8	4	5	4	1	1	0	6	0	3	579	0	579	0
"380"	211	277	338	6	3	1	2	0	35	5	4	2	2	2	0	14	4	20	10	1	0	2	2	0	3	733	0	733	0
"381"	NA	1839	1572	26	25	7	7	11	238	13	11	5	91	3	3	51	25	35	27	2	2	4	15	2	10	4024	0	4024	0
"382"	NA	NA	49659	3352	1097	377	723	457	3729	1165	892	1619	1293	239	714	1203	1102	1325	2176	521	863	265	441	775	919	111661	0	111661	0
"383"	NA	NA	51231	3378	1122	384	730	468	3967	1178	903	1624	1384	242	717	1254	1127	1360	2203	523	865	269	456	777	929	115685	0	115685	0
"384"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"385"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"386"	212	284	193	8	2	1	1	1	50	3	0	2	7	3	0	11	2	12	6	2	2	2	1	0	2	595	0	595	0
"387"	213	177	152	2	2	0	0	2	29	1	2	21	3	1	2	3	4	4	5	3	2	2	1	1	3	422	0	422	0
"388"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"389"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"390"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"391"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"392"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"393"	NA	461	345	10	4	1	1	3	79	4	2	23	10	4	2	14	6	16	11	5	4	4	2	1	5	1017	0	1017	0
"394"	NA	NA	51231	3378	1122	384	730	468	3967	1178	903	1624	1384	242	717	1254	1127	1360	2203	523	865	269	456	777	929	115685	0	115685	0
"395"	NA	NA	51576	3388	1126	385	731	471	4046	1182	905	1647	1394	246	719	1268	1133	1376	2214	528	869	273	458	778	934	116702	0	116702	0
