"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X243458.102.243560.35.Bisfi"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"156"	"107"	"17"	"247"	"4"	"3"	"199"	"3"	"3"	"3"	"0"	"2"	"2"	"9"	"3"	"2"	"11"	"508"	""	"508"	""
"157"	"108"	"48"	"299"	"4"	"2"	"200"	"6"	"10"	"1"	"7"	"2"	"2"	"0"	"2"	"3"	"2"	"588"	""	"588"	""
"158"	"Total -8"	"588"	"2960"	"68"	"36"	"2300"	"114"	"48"	"69"	"38"	"67"	"64"	"105"	"37"	"51"	"183"	"6728"	"0"	"6728"	"0"
"159"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"161"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"162"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"163"	"B.F."	"2568"	"23739"	"600"	"346"	"17061"	"2356"	"372"	"517"	"451"	"366"	"380"	"1601"	"331"	"540"	"1367"	"52595"	"0"	"52595"	"0"
"164"	"109"	"16"	"335"	"13"	"7"	"166"	"14"	"3"	"6"	"26"	"0"	"5"	"1"	"6"	"7"	"32"	"637"	""	"637"	""
"165"	"110"	"22"	"180"	"28"	"4"	"125"	"5"	"1"	"0"	"3"	"2"	"4"	"9"	"0"	"2"	"18"	"403"	""	"403"	""
"166"	"110A"	"15"	"270"	"14"	"5"	"71"	"3"	"1"	"1"	"5"	"1"	"0"	"9"	"2"	"3"	"2"	"402"	""	"402"	""
"167"	"111"	"9"	"81"	"0"	"3"	"380"	"3"	"0"	"1"	"0"	"2"	"1"	"2"	"0"	"7"	"12"	"501"	""	"501"	""
"168"	"112"	"19"	"52"	"9"	"5"	"501"	"17"	"4"	"11"	"3"	"10"	"18"	"6"	"6"	"2"	"16"	"679"	""	"679"	""
"169"	"113"	"1"	"36"	"1"	"3"	"757"	"10"	"1"	"0"	"2"	"3"	"0"	"2"	"0"	"1"	"4"	"821"	""	"821"	""
"170"	"114"	"18"	"81"	"10"	"5"	"362"	"6"	"3"	"6"	"0"	"4"	"9"	"5"	"3"	"1"	"14"	"527"	""	"527"	""
"171"	"115"	"9"	"131"	"18"	"3"	"258"	"10"	"6"	"4"	"1"	"6"	"10"	"5"	"5"	"7"	"16"	"489"	""	"489"	""
"172"	"116"	"48"	"41"	"2"	"2"	"223"	"141"	"1"	"3"	"3"	"3"	"11"	"2"	"1"	"0"	"9"	"490"	""	"490"	""
"173"	"117"	"26"	"146"	"3"	"6"	"216"	"80"	"10"	"4"	"2"	"7"	"3"	"9"	"4"	"11"	"18"	"545"	""	"545"	""
"174"	"118"	"16"	"289"	"3"	"4"	"203"	"86"	"0"	"4"	"2"	"3"	"2"	"4"	"4"	"4"	"7"	"631"	""	"631"	""
"175"	"119"	"16"	"101"	"1"	"2"	"81"	"21"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"228"	""	"228"	""
"176"	"119A"	"37"	"63"	"5"	"1"	"105"	"62"	"2"	"6"	"5"	"7"	"3"	"4"	"1"	"2"	"14"	"317"	""	"317"	""
"177"	"120"	"49"	"430"	"22"	"8"	"79"	"16"	"7"	"4"	"2"	"5"	"2"	"4"	"6"	"7"	"7"	"648"	""	"648"	""
"178"	"Total -9"	"301"	"2236"	"129"	"58"	"3527"	"474"	"40"	"51"	"55"	"53"	"68"	"62"	"38"	"54"	"172"	"7318"	"0"	"7318"	"0"
"179"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"183"	"B.F."	"2869"	"25975"	"729"	"404"	"20588"	"2830"	"412"	"568"	"506"	"419"	"448"	"1663"	"369"	"594"	"1539"	"59913"	"0"	"59913"	"0"
"184"	"121"	"8"	"72"	"2"	"5"	"218"	"10"	"2"	"1"	"3"	"2"	"2"	"0"	"0"	"1"	"9"	"335"	""	"335"	""
"185"	"122"	"4"	"24"	"2"	"2"	"424"	"6"	"4"	"6"	"4"	"5"	"11"	"16"	"3"	"5"	"16"	"532"	""	"532"	""
"186"	"123"	"40"	"138"	"5"	"8"	"342"	"12"	"3"	"9"	"4"	"2"	"4"	"10"	"5"	"1"	"17"	"600"	""	"600"	""
"187"	"124"	"19"	"95"	"5"	"2"	"328"	"8"	"2"	"12"	"1"	"5"	"6"	"22"	"7"	"5"	"20"	"537"	""	"537"	""
"188"	"125"	"31"	"141"	"12"	"5"	"312"	"32"	"7"	"1"	"1"	"9"	"8"	"4"	"2"	"5"	"31"	"601"	""	"601"	""
"189"	"126"	"20"	"16"	"5"	"2"	"192"	"34"	"3"	"5"	"3"	"3"	"7"	"8"	"4"	"9"	"28"	"339"	""	"339"	""
"190"	"127"	"29"	"60"	"6"	"1"	"108"	"21"	"1"	"6"	"3"	"1"	"7"	"3"	"1"	"5"	"15"	"267"	""	"267"	""
"191"	"128"	"12"	"119"	"17"	"4"	"109"	"7"	"6"	"3"	"5"	"5"	"5"	"2"	"7"	"8"	"74"	"383"	""	"383"	""
"192"	"129"	"21"	"283"	"67"	"5"	"69"	"6"	"1"	"7"	"6"	"2"	"1"	"7"	"6"	"9"	"8"	"498"	""	"498"	""
"193"	"130"	"34"	"296"	"19"	"3"	"43"	"4"	"4"	"5"	"2"	"5"	"2"	"1"	"7"	"7"	"6"	"438"	""	"438"	""
"194"	"131"	"149"	"207"	"1"	"2"	"24"	"4"	"2"	"3"	"1"	"1"	"1"	"2"	"0"	"3"	"14"	"414"	""	"414"	""
"195"	"131A"	"39"	"215"	"4"	"1"	"2"	"0"	"1"	"4"	"0"	"2"	"2"	"2"	"2"	"6"	"1"	"281"	""	"281"	""
"196"	"132"	"9"	"128"	"17"	"4"	"108"	"27"	"4"	"2"	"2"	"3"	"7"	"7"	"9"	"4"	"26"	"357"	""	"357"	""
"197"	"133"	"26"	"198"	"9"	"4"	"177"	"16"	"6"	"9"	"8"	"4"	"9"	"47"	"5"	"6"	"15"	"539"	""	"539"	""
"198"	"Total -10"	"441"	"1992"	"171"	"48"	"2456"	"187"	"46"	"73"	"43"	"49"	"72"	"131"	"58"	"74"	"280"	"6121"	"0"	"6121"	"0"
"199"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"201"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"202"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"203"	"B.F."	"3310"	"27967"	"900"	"452"	"23044"	"3017"	"458"	"641"	"549"	"468"	"520"	"1794"	"427"	"668"	"1819"	"66034"	"0"	"66034"	"0"
"204"	"134"	"15"	"430"	"11"	"5"	"62"	"2"	"1"	"0"	"4"	"1"	"1"	"6"	"1"	"7"	"5"	"551"	""	"551"	""
"205"	"135"	"29"	"446"	"5"	"4"	"5"	"0"	"0"	"12"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"505"	""	"505"	""
"206"	"136"	"22"	"376"	"3"	"0"	"6"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"4"	"4"	"420"	""	"420"	""
"207"	"137"	"38"	"311"	"7"	"2"	"3"	"0"	"1"	"13"	"1"	"1"	"1"	"0"	"1"	"8"	"5"	"392"	""	"392"	""
"208"	"138"	"34"	"275"	"0"	"2"	"5"	"4"	"2"	"1"	"1"	"4"	"0"	"0"	"0"	"3"	"2"	"333"	""	"333"	""
"209"	"139"	"51"	"345"	"1"	"0"	"33"	"1"	"2"	"3"	"0"	"0"	"1"	"1"	"0"	"2"	"4"	"444"	""	"444"	""
"210"	"140"	"8"	"132"	"2"	"2"	"83"	"1"	"1"	"2"	"0"	"3"	"10"	"1"	"2"	"6"	"23"	"276"	""	"276"	""
"211"	"141"	"21"	"267"	"47"	"10"	"152"	"31"	"4"	"6"	"4"	"16"	"6"	"6"	"4"	"9"	"26"	"609"	""	"609"	""
"212"	"142"	"24"	"151"	"7"	"5"	"197"	"5"	"4"	"10"	"1"	"5"	"4"	"1"	"7"	"5"	"103"	"529"	""	"529"	""
"213"	"143"	"232"	"61"	"0"	"0"	"3"	"3"	"41"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"9"	"354"	""	"354"	""
"214"	"144"	"170"	"37"	"0"	"0"	"1"	"8"	"33"	"0"	"1"	"2"	"0"	"2"	"1"	"2"	"16"	"273"	""	"273"	""
"215"	"145"	"302"	"117"	"3"	"0"	"6"	"13"	"29"	"3"	"1"	"6"	"1"	"1"	"1"	"3"	"8"	"494"	""	"494"	""
"216"	"145A"	"55"	"85"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"5"	"153"	""	"153"	""
"217"	"146"	"403"	"30"	"0"	"0"	"1"	"6"	"6"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"451"	""	"451"	""
"218"	"Total -11"	"1404"	"3063"	"88"	"30"	"559"	"75"	"125"	"51"	"16"	"39"	"24"	"22"	"20"	"55"	"213"	"5784"	"0"	"5784"	"0"
"219"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"221"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"222"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"223"	"B.F."	"4714"	"31030"	"988"	"482"	"23603"	"3092"	"583"	"692"	"565"	"507"	"544"	"1816"	"447"	"723"	"2032"	"71818"	"0"	"71818"	"0"
"224"	"147"	"388"	"108"	"9"	"2"	"38"	"1"	"1"	"3"	"1"	"2"	"1"	"1"	"0"	"0"	"5"	"560"	""	"560"	""
"225"	"148"	"85"	"216"	"3"	"2"	"10"	"2"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"4"	"114"	"442"	""	"442"	""
"226"	"149"	"132"	"41"	"5"	"2"	"82"	"2"	"5"	"4"	"1"	"0"	"2"	"3"	"4"	"1"	"18"	"302"	""	"302"	""
"227"	"150"	"58"	"317"	"2"	"1"	"4"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"3"	"392"	""	"392"	""
"228"	"151"	"44"	"468"	"4"	"1"	"4"	"3"	"1"	"5"	"0"	"1"	"2"	"1"	"0"	"1"	"3"	"538"	""	"538"	""
"229"	"152"	"62"	"312"	"4"	"3"	"73"	"1"	"9"	"11"	"1"	"8"	"1"	"1"	"1"	"2"	"1"	"490"	""	"490"	""
"230"	"153"	"6"	"48"	"3"	"5"	"216"	"9"	"4"	"5"	"2"	"5"	"11"	"28"	"2"	"5"	"6"	"355"	""	"355"	""
"231"	"154"	"34"	"181"	"2"	"44"	"89"	"16"	"2"	"5"	"4"	"6"	"3"	"7"	"8"	"8"	"25"	"434"	""	"434"	""
"232"	"155"	"5"	"54"	"7"	"2"	"240"	"1"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"20"	"335"	""	"335"	""
"233"	"156"	"136"	"49"	"0"	"2"	"113"	"5"	"1"	"3"	"2"	"12"	"5"	"1"	"3"	"4"	"1"	"337"	""	"337"	""
"234"	"157"	"25"	"115"	"5"	"7"	"502"	"19"	"5"	"13"	"8"	"17"	"25"	"15"	"7"	"8"	"21"	"792"	""	"792"	""
"235"	"158"	"48"	"211"	"7"	"7"	"110"	"8"	"4"	"4"	"4"	"1"	"6"	"4"	"2"	"5"	"10"	"431"	""	"431"	""
"236"	"159"	"150"	"271"	"11"	"4"	"156"	"9"	"8"	"2"	"0"	"8"	"1"	"1"	"2"	"2"	"9"	"634"	""	"634"	""
"237"	"160"	"109"	"284"	"5"	"0"	"4"	"3"	"0"	"3"	"2"	"1"	"3"	"1"	"4"	"18"	"21"	"458"	""	"458"	""
"238"	"Total -12"	"1282"	"2675"	"67"	"82"	"1641"	"81"	"47"	"58"	"28"	"61"	"62"	"63"	"35"	"61"	"257"	"6500"	"0"	"6500"	"0"
"239"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"241"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"242"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"243"	"B.F."	"5996"	"33705"	"1055"	"564"	"25244"	"3173"	"630"	"750"	"593"	"568"	"606"	"1879"	"482"	"784"	"2289"	"78318"	"0"	"78318"	"0"
"244"	"161"	"35"	"71"	"6"	"6"	"221"	"54"	"5"	"11"	"7"	"9"	"5"	"6"	"2"	"8"	"28"	"474"	""	"474"	""
"245"	"162"	"87"	"26"	"1"	"5"	"123"	"156"	"2"	"1"	"4"	"1"	"1"	"1"	"2"	"2"	"19"	"431"	""	"431"	""
"246"	"163"	"15"	"654"	"10"	"5"	"6"	"20"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"15"	"10"	"740"	""	"740"	""
"247"	"164"	"8"	"379"	"7"	"2"	"63"	"10"	"1"	"1"	"4"	"4"	"8"	"5"	"8"	"19"	"16"	"535"	""	"535"	""
"248"	"165"	"32"	"77"	"6"	"1"	"176"	"134"	"6"	"5"	"2"	"3"	"3"	"3"	"14"	"0"	"9"	"471"	""	"471"	""
"249"	"165A"	"15"	"114"	"5"	"1"	"96"	"41"	"2"	"2"	"2"	"4"	"1"	"2"	"1"	"1"	"14"	"301"	""	"301"	""
"250"	"166"	"92"	"37"	"2"	"2"	"124"	"16"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"9"	"293"	""	"293"	""
"251"	"167"	"21"	"34"	"8"	"4"	"151"	"9"	"2"	"9"	"1"	"3"	"4"	"3"	"1"	"7"	"21"	"278"	""	"278"	""
"252"	"168"	"39"	"147"	"1"	"3"	"96"	"26"	"5"	"5"	"2"	"4"	"0"	"13"	"4"	"2"	"6"	"353"	""	"353"	""
"253"	"169"	"40"	"119"	"3"	"6"	"113"	"80"	"13"	"3"	"8"	"9"	"7"	"4"	"6"	"4"	"24"	"439"	""	"439"	""
"254"	"170"	"37"	"138"	"10"	"3"	"109"	"17"	"2"	"3"	"3"	"5"	"5"	"10"	"6"	"12"	"25"	"385"	""	"385"	""
"255"	"171"	"13"	"190"	"4"	"10"	"134"	"49"	"5"	"5"	"11"	"1"	"3"	"14"	"1"	"1"	"7"	"448"	""	"448"	""
"256"	"172"	"89"	"180"	"6"	"5"	"265"	"29"	"5"	"3"	"4"	"6"	"6"	"4"	"6"	"5"	"15"	"628"	""	"628"	""
"257"	"173"	"30"	"247"	"11"	"3"	"229"	"98"	"6"	"3"	"3"	"3"	"3"	"7"	"8"	"7"	"22"	"680"	""	"680"	""
"258"	"Total -13"	"553"	"2413"	"80"	"56"	"1906"	"739"	"55"	"53"	"52"	"54"	"48"	"75"	"62"	"85"	"225"	"6456"	"0"	"6456"	"0"
"259"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"261"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"262"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"263"	"B.F."	"6549"	"36118"	"1135"	"620"	"27150"	"3912"	"685"	"803"	"645"	"622"	"654"	"1954"	"544"	"869"	"2514"	"84774"	"0"	"84774"	"0"
"264"	"174"	"21"	"103"	"4"	"1"	"201"	"54"	"5"	"4"	"4"	"2"	"3"	"5"	"11"	"8"	"14"	"440"	""	"440"	""
"265"	"174A"	"17"	"70"	"4"	"1"	"184"	"24"	"1"	"2"	"1"	"4"	"1"	"0"	"0"	"5"	"7"	"321"	""	"321"	""
"266"	"175"	"38"	"405"	"7"	"3"	"42"	"39"	"2"	"2"	"1"	"2"	"1"	"2"	"7"	"6"	"14"	"571"	""	"571"	""
"267"	"176"	"15"	"308"	"17"	"8"	"98"	"16"	"1"	"3"	"3"	"4"	"1"	"9"	"7"	"6"	"22"	"518"	""	"518"	""
"268"	"177"	"24"	"341"	"10"	"4"	"230"	"58"	"3"	"6"	"5"	"6"	"2"	"7"	"5"	"5"	"22"	"728"	""	"728"	""
"269"	"178"	"22"	"346"	"13"	"3"	"217"	"18"	"8"	"7"	"9"	"13"	"5"	"2"	"6"	"15"	"22"	"706"	""	"706"	""
"270"	"179"	"25"	"33"	"3"	"5"	"105"	"16"	"1"	"3"	"3"	"36"	"1"	"1"	"1"	"3"	"7"	"243"	""	"243"	""
"271"	"179A"	"6"	"87"	"4"	"7"	"119"	"15"	"6"	"7"	"7"	"122"	"5"	"5"	"6"	"6"	"31"	"433"	""	"433"	""
"272"	"180"	"44"	"139"	"6"	"12"	"332"	"41"	"4"	"6"	"4"	"6"	"7"	"5"	"8"	"8"	"18"	"640"	""	"640"	""
"273"	"181"	"34"	"101"	"6"	"1"	"278"	"184"	"4"	"5"	"1"	"3"	"5"	"4"	"6"	"7"	"18"	"657"	""	"657"	""
"274"	"182"	"18"	"277"	"12"	"5"	"94"	"60"	"5"	"2"	"15"	"3"	"0"	"3"	"0"	"0"	"10"	"504"	""	"504"	""
"275"	"183"	"7"	"199"	"2"	"1"	"95"	"112"	"5"	"4"	"3"	"4"	"3"	"1"	"3"	"6"	"11"	"456"	""	"456"	""
"276"	"184"	"43"	"391"	"0"	"1"	"4"	"61"	"8"	"3"	"1"	"1"	"4"	"3"	"3"	"5"	"4"	"532"	""	"532"	""
"277"	"185"	"80"	"26"	"1"	"3"	"166"	"88"	"4"	"1"	"1"	"4"	"14"	"5"	"2"	"4"	"7"	"406"	""	"406"	""
"278"	"Total -14"	"394"	"2826"	"89"	"55"	"2165"	"786"	"57"	"55"	"58"	"210"	"52"	"52"	"65"	"84"	"207"	"7155"	"0"	"7155"	"0"
"279"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"281"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"282"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"283"	"B.F."	"6943"	"38944"	"1224"	"675"	"29315"	"4698"	"742"	"858"	"703"	"832"	"706"	"2006"	"609"	"953"	"2721"	"91929"	"0"	"91929"	"0"
"284"	"186"	"33"	"175"	"4"	"4"	"108"	"118"	"5"	"2"	"3"	"6"	"1"	"1"	"2"	"6"	"15"	"483"	""	"483"	""
"285"	"187"	"4"	"13"	"0"	"2"	"168"	"17"	"1"	"4"	"2"	"5"	"3"	"15"	"4"	"3"	"15"	"256"	""	"256"	""
"286"	"188"	"40"	"196"	"11"	"5"	"146"	"219"	"13"	"13"	"7"	"9"	"7"	"6"	"13"	"14"	"13"	"712"	""	"712"	""
"287"	"189"	"11"	"217"	"1"	"2"	"144"	"28"	"4"	"6"	"6"	"6"	"4"	"2"	"2"	"4"	"10"	"447"	""	"447"	""
"288"	"190"	"19"	"111"	"2"	"3"	"131"	"45"	"3"	"8"	"1"	"2"	"4"	"5"	"3"	"3"	"23"	"363"	""	"363"	""
"289"	"191"	"24"	"75"	"2"	"4"	"181"	"145"	"4"	"1"	"5"	"4"	"2"	"44"	"2"	"3"	"8"	"504"	""	"504"	""
"290"	"192"	"18"	"60"	"3"	"0"	"135"	"127"	"3"	"2"	"1"	"3"	"2"	"0"	"2"	"1"	"13"	"370"	""	"370"	""
"291"	"193"	"12"	"70"	"2"	"3"	"145"	"52"	"6"	"1"	"2"	"1"	"3"	"0"	"5"	"1"	"20"	"323"	""	"323"	""
"292"	"193A"	"11"	"75"	"1"	"2"	"142"	"28"	"1"	"1"	"3"	"1"	"1"	"2"	"4"	"7"	"36"	"315"	""	"315"	""
"293"	"194"	"24"	"87"	"1"	"8"	"231"	"20"	"9"	"0"	"6"	"1"	"7"	"3"	"5"	"1"	"11"	"414"	""	"414"	""
"294"	"195"	"16"	"35"	"1"	"3"	"279"	"102"	"10"	"11"	"11"	"16"	"11"	"11"	"8"	"15"	"31"	"560"	""	"560"	""
"295"	"196"	"19"	"305"	"6"	"4"	"157"	"9"	"5"	"6"	"2"	"4"	"4"	"3"	"7"	"8"	"15"	"554"	""	"554"	""
"296"	"197"	"7"	"227"	"4"	"3"	"109"	"30"	"1"	"4"	"3"	"2"	"1"	"7"	"0"	"1"	"10"	"409"	""	"409"	""
"297"	"198"	"3"	"75"	"0"	"2"	"383"	"15"	"4"	"8"	"4"	"3"	"5"	"4"	"7"	"0"	"8"	"521"	""	"521"	""
"298"	"Total -15"	"241"	"1721"	"38"	"45"	"2459"	"955"	"69"	"67"	"56"	"63"	"55"	"103"	"64"	"67"	"228"	"6231"	"0"	"6231"	"0"
"299"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"301"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"302"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"303"	"B.F."	"7184"	"40665"	"1262"	"720"	"31774"	"5653"	"811"	"925"	"759"	"895"	"761"	"2109"	"673"	"1020"	"2949"	"98160"	"0"	"98160"	"0"
"304"	"199"	"10"	"35"	"1"	"2"	"130"	"251"	"11"	"4"	"2"	"1"	"1"	"2"	"1"	"4"	"7"	"462"	""	"462"	""
"305"	"200"	"10"	"7"	"0"	"0"	"94"	"232"	"7"	"2"	"2"	"4"	"2"	"1"	"0"	"2"	"2"	"365"	""	"365"	""
"306"	"201"	"8"	"86"	"1"	"4"	"120"	"137"	"16"	"3"	"7"	"4"	"3"	"6"	"3"	"7"	"17"	"422"	""	"422"	""
"307"	"202"	"18"	"120"	"4"	"7"	"250"	"186"	"6"	"6"	"1"	"6"	"2"	"1"	"7"	"20"	"9"	"643"	""	"643"	""
"308"	"203"	"7"	"63"	"2"	"1"	"65"	"467"	"7"	"4"	"3"	"7"	"2"	"0"	"4"	"2"	"15"	"649"	""	"649"	""
"309"	"204"	"147"	"176"	"1"	"1"	"11"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"6"	"3"	"352"	""	"352"	""
"310"	"205"	"15"	"158"	"1"	"2"	"396"	"7"	"2"	"5"	"0"	"0"	"3"	"6"	"2"	"2"	"37"	"636"	""	"636"	""
"311"	"206"	"12"	"131"	"1"	"5"	"168"	"5"	"0"	"5"	"18"	"4"	"2"	"4"	"1"	"6"	"7"	"369"	""	"369"	""
"312"	"206A"	"6"	"205"	"3"	"1"	"67"	"1"	"3"	"1"	"2"	"1"	"1"	"2"	"0"	"2"	"5"	"300"	""	"300"	""
