"er.nku.dsUnz.l.a....k"	"t.xekr.ks.nsoh"	"uSeqy..gd..fl.Ì.hdh"	"i.zHkwukFk.fl.ag"	"fot......kadj..nwcs"	"fcuksn.dqekj..fl.ag"	"eksgEen.vl.xj"	"vkse.i.zdk..k...kno"	"vmu.vyh"	"t.kosn.csx"	"i.j.egal...feJk"	"cy.sUnz.dqekj..j.k."	"j.ke.uj.s..k.i.f.Mr"	"fcfi.u.fcgkj.h.fl.ag"	"vfuy....kno"	"mes..k.l.kg"	"doy....kno"	"t....i.zdk..k...kno"	"i.j.es..oj..fl.ag"	"foÿek.i.zl.kn"	"fot....dqekj..fl.ag"	"fczt.s..k.dqekj..j.k."	"l.R..nso.fl.ag"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr.er.ksa.dh.dqy..l.a....k"
"193"	103	313	5	1	47	25	4	4	3	16	1	5	14	4	6	6	30	13	0	1	11	1	2	512	NA	NA	NA
"194"	104	290	7	3	135	9	1	3	4	6	2	2	11	3	0	0	17	13	1	1	10	1	7	526	NA	NA	NA
"195"	105	316	24	7	83	102	6	1	6	4	1	0	8	3	1	3	7	20	8	7	12	13	19	651	NA	NA	NA
"196"	106	248	9	13	134	105	1	3	4	6	1	4	10	3	3	4	12	18	18	3	18	5	3	625	NA	NA	NA
"197"	107	240	2	1	35	43	1	0	1	1	1	2	3	0	0	1	2	10	5	1	6	0	10	365	NA	NA	NA
"198"	NA	2048	69	54	563	588	43	117	39	63	16	27	80	27	29	22	93	133	56	41	173	62	79	4422	0	0	0
"199"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"200"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"201"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"202"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"203"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"204"	108	317	3	7	38	29	3	1	1	1	1	4	5	0	1	4	13	8	0	5	4	14	1	460	NA	NA	NA
"205"	109	172	2	0	22	165	3	0	2	0	0	2	1	1	0	0	3	0	2	3	3	2	0	383	NA	NA	NA
"206"	110	242	7	7	130	112	11	1	3	6	3	6	2	0	4	1	4	6	6	4	5	3	4	567	NA	NA	NA
"207"	111	142	1	4	19	42	0	1	2	1	0	2	2	4	1	0	13	3	2	2	0	0	0	241	NA	NA	NA
"208"	112	148	4	10	151	64	6	3	3	3	4	5	9	5	6	9	2	17	75	5	9	1	5	544	NA	NA	NA
"209"	113	312	5	3	36	50	2	4	4	2	0	5	10	1	4	2	9	30	4	8	15	9	10	525	NA	NA	NA
"210"	114	375	4	10	58	67	7	2	6	3	6	4	13	1	11	3	13	27	26	6	15	3	8	668	NA	NA	NA
"211"	115	238	4	3	143	22	3	3	4	9	0	4	10	1	1	3	12	29	37	3	19	8	5	561	NA	NA	NA
"212"	NA	1946	30	44	597	551	35	15	25	25	14	32	52	13	28	22	69	120	152	36	70	40	33	3949	0	0	0
"213"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"214"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"215"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"216"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"217"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"218"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"219"	116	168	3	2	37	64	3	3	2	0	0	6	7	2	9	3	3	8	15	7	7	9	4	362	NA	NA	NA
"220"	117	180	5	10	25	31	4	2	2	3	1	4	7	2	7	13	11	9	42	6	10	14	4	392	NA	NA	NA
"221"	118	229	2	1	22	6	6	0	0	4	0	1	4	3	0	3	5	16	9	3	6	0	3	323	NA	NA	NA
"222"	119	205	5	7	90	194	5	5	2	5	2	1	11	0	9	1	11	6	4	3	11	7	2	586	NA	NA	NA
"223"	120	122	0	3	244	106	7	2	4	3	3	1	9	4	2	4	6	11	3	6	9	3	3	555	NA	NA	NA
"224"	121	342	7	1	40	60	2	0	4	1	0	4	5	1	0	2	12	16	29	4	6	12	6	554	NA	NA	NA
"225"	122	345	7	19	55	101	0	3	2	1	2	6	11	1	13	2	9	32	8	3	15	7	6	648	NA	NA	NA
"226"	123	56	0	3	76	212	5	6	3	0	4	6	7	4	1	2	9	13	5	12	3	6	8	441	NA	NA	NA
"227"	NA	1647	29	46	589	774	32	21	19	17	12	29	61	17	41	30	66	111	115	44	67	58	36	3861	0	0	0
"228"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"229"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"230"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"231"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"232"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"233"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"234"	124	312	11	7	74	74	1	4	3	4	1	2	10	6	2	3	9	8	3	3	8	3	3	551	NA	NA	NA
"235"	125	244	3	3	76	80	5	4	6	6	0	2	8	6	3	4	18	8	3	6	8	34	2	529	NA	NA	NA
"236"	126	262	1	7	86	38	2	7	2	2	2	4	14	0	2	1	14	13	13	3	14	2	5	494	NA	NA	NA
"237"	127	160	5	6	73	21	1	2	2	3	2	2	2	0	4	3	9	42	5	11	51	9	20	433	NA	NA	NA
"238"	128	147	15	7	217	56	2	3	1	1	1	1	1	2	3	0	5	4	2	3	86	4	6	567	NA	NA	NA
"239"	129	183	7	9	238	53	4	7	5	13	3	5	10	9	9	8	17	18	11	3	43	6	10	671	NA	NA	NA
"240"	130	234	4	18	54	62	6	1	3	11	3	5	21	5	5	3	16	10	11	4	56	0	3	535	NA	NA	NA
"241"	131	50	6	4	138	77	2	2	1	7	1	6	6	2	2	2	9	5	5	1	4	4	0	334	NA	NA	NA
"242"	NA	1592	52	61	956	461	23	30	23	47	13	27	72	30	30	24	97	108	53	34	270	62	49	4114	0	0	0
"243"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"244"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"245"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"246"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"247"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"248"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"249"	132	169	6	4	89	72	3	9	5	8	2	4	7	5	14	3	5	14	5	1	11	3	4	443	NA	NA	NA
"250"	133	217	2	8	151	82	4	4	5	13	6	5	18	10	8	10	37	11	16	4	25	4	10	650	NA	NA	NA
"251"	134	88	0	0	38	64	3	4	1	8	0	2	6	2	0	0	9	7	2	2	8	3	6	253	NA	NA	NA
"252"	135	136	3	11	169	34	2	1	2	4	4	5	4	0	1	6	12	40	32	13	23	6	11	519	NA	NA	NA
"253"	136	168	6	5	189	70	10	3	6	8	1	5	2	0	5	3	6	13	34	0	7	4	5	550	NA	NA	NA
"254"	137	257	9	6	34	43	7	4	1	5	2	0	3	1	4	8	4	7	115	6	5	0	4	525	NA	NA	NA
"255"	138	75	4	0	4	20	1	1	1	1	0	1	3	5	0	0	4	3	1	1	2	5	365	497	NA	NA	NA
"256"	139	28	20	1	3	81	5	3	2	3	1	4	1	1	6	4	1	11	5	0	6	8	90	284	NA	NA	NA
"257"	NA	1138	50	35	677	466	35	29	23	50	16	26	44	24	38	34	78	106	210	27	87	33	495	3721	0	0	0
"258"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"259"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"261"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"262"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"263"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"264"	140	227	43	23	4	26	1	0	1	1	0	1	4	5	5	1	6	21	6	5	21	9	121	531	NA	NA	NA
"265"	141	139	306	9	11	17	5	3	1	4	4	0	8	1	2	4	4	6	1	0	3	1	31	560	NA	NA	NA
"266"	142	245	191	6	22	34	4	1	1	3	2	3	3	2	1	3	4	10	4	3	9	3	93	647	NA	NA	NA
"267"	143	233	12	6	108	37	5	1	2	3	1	1	8	0	0	3	9	8	5	1	7	2	12	464	NA	NA	NA
"268"	144	349	23	13	35	56	1	2	3	3	3	1	6	6	3	3	8	20	0	2	8	3	5	553	NA	NA	NA
"269"	145	360	1	1	3	45	3	1	0	2	0	0	4	1	1	0	2	1	0	4	2	0	6	437	NA	NA	NA
"270"	146	486	8	4	7	91	2	3	1	1	0	2	7	3	1	1	4	1	1	0	2	0	5	630	NA	NA	NA
"271"	147	340	11	48	40	61	2	4	3	1	1	3	7	2	5	2	14	18	41	8	9	5	14	639	NA	NA	NA
"272"	NA	2379	595	110	230	367	23	15	12	18	11	11	47	20	18	17	51	85	58	23	61	23	287	4461	0	0	0
"273"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"274"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"275"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"276"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"277"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"278"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"279"	148	278	3	28	37	31	2	2	2	9	2	5	6	1	9	5	9	25	19	10	14	4	63	564	NA	NA	NA
"280"	149	284	13	9	7	28	2	0	1	4	1	3	14	3	7	3	22	19	4	2	5	4	8	443	NA	NA	NA
"281"	150	78	7	11	13	153	5	2	2	2	1	2	6	2	5	1	21	13	28	5	7	3	3	370	NA	NA	NA
"282"	151	82	4	5	22	124	2	7	5	4	7	8	21	9	24	5	24	17	2	4	7	1	10	394	NA	NA	NA
"283"	152	206	6	1	4	88	0	1	0	0	0	1	3	0	0	1	3	7	7	3	4	8	1	344	NA	NA	NA
"284"	153	248	3	6	14	181	4	3	3	1	2	5	10	2	3	4	13	8	14	2	8	2	5	541	NA	NA	NA
"285"	154	111	3	3	7	72	2	5	1	5	0	3	3	4	2	1	122	5	25	1	5	2	5	387	NA	NA	NA
"286"	NA	122	1	13	5	49	2	2	1	3	0	0	4	0	0	1	132	9	24	3	18	3	2	394	NA	NA	NA
"287"	NA	1409	40	76	109	726	19	22	15	28	13	27	67	21	50	21	346	103	123	30	68	27	97	3437	0	0	0
"288"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"289"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"290"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"291"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"292"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"293"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"294"	155	101	2	0	2	15	1	0	0	0	1	1	3	0	2	2	128	1	10	1	4	2	1	277	NA	NA	NA
"295"	156	235	0	8	43	12	3	1	1	0	3	2	1	0	2	7	10	2	52	8	6	20	6	422	NA	NA	NA
"296"	157	122	8	5	40	43	2	2	1	53	1	0	5	7	2	1	9	16	33	6	19	9	15	399	NA	NA	NA
"297"	158	396	5	6	38	53	3	0	1	4	2	0	4	0	6	11	13	3	7	1	4	1	8	566	NA	NA	NA
"298"	159	70	1	5	8	295	10	0	0	18	4	4	5	2	6	3	16	6	4	2	7	19	3	488	NA	NA	NA
"299"	160	313	4	1	5	97	3	3	2	8	0	3	14	4	3	1	4	17	8	4	14	2	10	520	NA	NA	NA
"300"	161	409	4	5	9	62	0	1	2	4	1	1	1	0	0	2	5	13	1	3	7	2	17	549	NA	NA	NA
"301"	162	213	2	1	41	15	7	1	0	1	0	0	5	0	0	15	4	19	46	2	11	2	7	392	NA	NA	NA
"302"	NA	1859	26	31	186	592	29	8	7	88	12	11	38	13	21	42	189	77	161	27	72	57	67	3613	0	0	0
"303"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"304"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"305"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"306"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"307"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"308"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"309"	163	103	4	3	9	111	1	1	1	2	2	0	8	0	2	1	7	10	14	2	1	4	5	291	NA	NA	NA
"310"	164	58	0	0	2	285	1	0	4	1	0	0	2	0	3	2	5	1	3	1	0	0	0	368	NA	NA	NA
"311"	165	192	2	2	55	58	1	11	8	62	8	2	7	2	2	2	5	30	9	6	9	2	3	478	NA	NA	NA
"312"	166	378	4	3	22	183	6	3	5	5	2	1	10	3	1	10	13	6	31	1	4	3	4	698	NA	NA	NA
"313"	167	242	4	4	12	103	3	1	4	7	3	4	17	2	2	1	16	11	10	5	20	0	3	474	NA	NA	NA
"314"	168	213	36	7	41	203	8	4	4	7	2	2	6	1	6	0	19	12	16	7	5	3	6	608	NA	NA	NA
"315"	169	368	2	1	30	109	1	0	1	4	2	5	11	1	4	2	52	10	13	3	1	4	1	625	NA	NA	NA
"316"	170	329	18	7	32	104	3	2	8	5	3	6	13	4	4	12	24	6	4	0	2	3	0	589	NA	NA	NA
"317"	NA	1883	70	27	203	1156	24	22	35	93	22	20	74	13	24	30	141	86	100	25	42	19	22	4131	0	0	0
"318"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"319"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"320"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"322"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"323"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"324"	171	407	24	4	49	67	4	6	1	8	2	2	8	4	3	4	9	13	35	4	24	5	1	684	NA	NA	NA
"325"	172	255	15	7	33	53	3	3	4	57	3	1	13	1	3	2	28	11	1	0	7	7	2	509	NA	NA	NA
"326"	173	594	6	11	30	20	4	1	3	5	1	3	13	3	0	0	28	6	13	4	11	6	3	765	NA	NA	NA
"327"	174	266	2	3	33	16	3	0	1	15	3	1	7	2	7	2	12	24	3	1	19	4	3	427	NA	NA	NA
"328"	175	106	6	0	3	12	1	0	2	2	1	1	1	1	3	1	2	3	8	0	3	0	1	157	NA	NA	NA
"329"	176	147	1	6	44	186	7	3	2	2	3	3	5	0	4	1	2	1	20	0	5	4	4	450	NA	NA	NA
"330"	177	181	5	2	8	47	6	2	2	5	2	2	14	2	4	18	13	21	28	7	4	7	4	384	NA	NA	NA
"331"	178	171	9	4	10	146	7	4	4	5	6	7	16	10	7	5	17	26	12	8	20	7	9	510	NA	NA	NA
"332"	NA	2127	68	37	210	547	35	19	19	99	21	20	77	23	31	33	111	105	120	24	93	40	27	3886	0	0	0
"333"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"334"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"335"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"336"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"337"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"338"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"339"	179	423	16	8	16	80	6	1	1	6	2	4	11	4	6	6	6	13	26	3	39	2	3	682	NA	NA	NA
"340"	180	187	94	4	4	41	1	2	0	2	0	4	4	0	2	5	2	6	32	2	4	6	2	404	NA	NA	NA
"341"	181	246	26	15	44	99	8	2	2	2	6	6	10	4	3	1	3	22	1	7	7	5	0	519	NA	NA	NA
"342"	182	481	39	9	23	64	11	1	5	4	2	3	12	2	5	0	11	24	3	9	16	10	7	741	NA	NA	NA
"343"	183	165	3	1	30	63	11	0	3	3	1	4	5	1	4	2	11	7	6	6	9	3	3	341	NA	NA	NA
"344"	184	275	7	10	17	60	3	1	1	5	3	5	9	1	6	3	10	14	3	1	8	3	5	450	NA	NA	NA
"345"	185	232	23	1	5	52	3	1	0	0	2	2	6	0	7	1	6	15	2	4	12	3	8	385	NA	NA	NA
"346"	186	249	14	5	9	57	1	1	1	6	0	1	5	0	0	0	2	0	0	2	0	0	1	354	NA	NA	NA
"347"	NA	2258	222	53	148	516	44	9	13	28	16	29	62	12	33	18	51	101	73	34	95	32	29	3876	0	0	0
"348"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"349"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"350"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"351"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"352"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"353"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"354"	187	512	10	3	18	110	3	1	5	6	0	2	9	1	9	5	12	14	15	4	8	3	3	753	NA	NA	NA
"355"	188	248	14	12	8	46	5	4	2	4	1	3	8	0	8	4	5	12	76	19	6	73	5	563	NA	NA	NA
"356"	189	225	8	3	7	75	3	1	3	4	4	4	17	5	7	4	17	26	37	8	13	11	9	491	NA	NA	NA
"357"	190	222	6	9	12	44	2	3	5	3	1	3	10	2	2	2	8	6	22	22	9	58	3	454	NA	NA	NA
"358"	191	135	2	3	3	86	4	0	1	0	1	2	4	0	8	0	9	8	15	1	1	1	3	287	NA	NA	NA
"359"	192	181	18	7	31	34	4	4	3	8	2	3	10	4	9	8	2	7	27	9	2	2	2	377	NA	NA	NA
"360"	193	124	10	3	11	76	3	1	2	2	1	2	2	0	8	1	3	3	3	1	0	1	1	258	NA	NA	NA
"361"	194	154	0	3	2	92	1	1	2	3	0	2	3	1	4	1	7	9	6	3	5	3	0	302	NA	NA	NA
"362"	NA	1801	68	43	92	563	25	15	23	30	10	21	63	13	55	25	63	85	201	67	44	152	26	3485	0	0	0
"363"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"364"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"365"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"366"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"367"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"368"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"369"	195	40	1	3	5	196	6	5	1	5	2	5	2	0	24	1	5	7	2	1	3	3	8	325	NA	NA	NA
"370"	196	188	4	0	2	63	4	1	2	2	0	1	3	1	6	3	8	12	3	3	3	1	3	313	NA	NA	NA
"371"	197	196	4	4	4	34	2	1	0	1	1	0	0	2	3	1	6	17	2	3	6	3	12	302	NA	NA	NA
"372"	198	204	3	5	11	268	13	4	5	9	3	12	14	8	28	5	24	12	5	1	6	6	5	651	NA	NA	NA
"373"	199	162	3	0	59	34	3	1	2	43	5	0	9	3	3	4	13	9	21	0	2	2	0	378	NA	NA	NA
"374"	200	143	4	1	52	42	4	0	2	7	1	3	14	0	3	7	24	10	50	1	5	3	1	377	NA	NA	NA
"375"	201	140	5	2	4	5	2	0	0	4	0	1	4	2	3	1	7	7	3	0	4	2	1	197	NA	NA	NA
"376"	202	221	3	2	13	20	2	1	4	24	2	4	8	0	2	0	8	10	4	4	8	0	7	347	NA	NA	NA
"377"	NA	1294	27	17	150	662	36	13	16	95	14	26	54	16	72	22	95	84	90	13	37	20	37	2890	0	0	0
"378"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"379"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"380"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"381"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"382"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"383"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"384"	203	116	6	2	43	22	2	1	2	39	2	3	14	7	4	6	29	12	21	2	4	2	7	346	NA	NA	NA
"385"	204	221	10	23	86	82	5	7	3	23	2	4	14	10	6	1	9	17	6	2	13	2	4	550	NA	NA	NA
"386"	205	128	6	5	13	34	7	0	3	3	0	5	5	0	3	1	4	2	2	0	3	2	2	228	NA	NA	NA
"387"	206	164	6	1	24	47	2	2	3	0	1	2	8	5	21	9	8	5	143	2	2	3	2	460	NA	NA	NA
"388"	207	125	3	13	10	73	3	3	5	5	2	8	9	0	6	8	13	27	57	10	16	3	12	411	NA	NA	NA
"389"	208	37	1	3	2	58	4	1	0	4	0	2	3	0	3	4	0	5	107	0	1	1	1	237	NA	NA	NA
