"،"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"152"	"133"	"132"	"9"	"142"	"271"	"321"	"10"	"4"	"1"	"4"	"5"	"5"	"1"	"2"	"775"	"0"	"775"	"0"
"153"	"134"	"133"	"2"	"10"	"59"	"491"	"11"	"0"	"1"	"2"	"9"	"6"	"3"	"16"	"610"	"0"	"610"	"0"
"154"	"135"	"134"	"17"	"245"	"60"	"271"	"10"	"2"	"3"	"2"	"3"	"7"	"5"	"8"	"633"	"0"	"633"	"0"
"155"	"136"	"135"	"10"	"38"	"277"	"281"	"8"	"2"	"0"	"8"	"9"	"7"	"2"	"9"	"651"	"0"	"651"	"0"
"156"	"137"	"136"	"21"	"537"	"55"	"19"	"8"	"4"	"5"	"2"	"5"	"4"	"4"	"5"	"669"	"0"	"669"	"0"
"157"	"138"	"137"	"27"	"214"	"77"	"344"	"25"	"1"	"1"	"6"	"1"	"5"	"2"	"4"	"707"	"0"	"707"	"0"
"158"	"139"	"138"	"4"	"10"	"74"	"296"	"8"	"0"	"1"	"2"	"1"	"3"	"1"	"1"	"401"	"0"	"401"	"0"
"159"	"140"	"139"	"29"	"482"	"64"	"31"	"43"	"7"	"11"	"4"	"1"	"1"	"8"	"12"	"693"	"0"	"693"	"0"
"160"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"162"	"141"	"140"	"27"	"668"	"122"	"53"	"48"	"2"	"2"	"4"	"3"	"3"	"4"	"12"	"948"	"0"	"948"	"0"
"163"	"142"	"141"	"27"	"481"	"89"	"46"	"57"	"4"	"1"	"1"	"10"	"7"	"9"	"41"	"773"	"0"	"773"	"0"
"164"	"143"	"142"	"3"	"31"	"127"	"474"	"9"	"2"	"1"	"2"	"1"	"0"	"3"	"1"	"654"	"0"	"654"	"0"
"165"	"144"	"143"	"8"	"4"	"32"	"321"	"6"	"1"	"1"	"0"	"0"	"0"	"1"	"6"	"380"	"0"	"380"	"0"
"166"	"145"	"144"	"21"	"198"	"352"	"189"	"64"	"1"	"3"	"1"	"5"	"5"	"3"	"7"	"849"	"0"	"849"	"0"
"167"	"146"	"145"	"13"	"18"	"386"	"324"	"10"	"4"	"1"	"9"	"10"	"8"	"4"	"6"	"793"	"0"	"793"	"0"
"168"	"147"	"146"	"38"	"385"	"90"	"7"	"127"	"12"	"1"	"4"	"9"	"7"	"12"	"28"	"720"	"0"	"720"	"0"
"169"	"148"	"147"	"13"	"99"	"53"	"351"	"43"	"13"	"0"	"3"	"4"	"3"	"3"	"6"	"591"	"0"	"591"	"0"
"170"	"149"	"148"	"38"	"252"	"167"	"17"	"59"	"8"	"2"	"5"	"2"	"0"	"1"	"5"	"556"	"0"	"556"	"0"
"171"	"150"	"149"	"19"	"126"	"116"	"601"	"19"	"4"	"6"	"3"	"10"	"28"	"5"	"10"	"947"	"0"	"947"	"0"
"172"	"151"	"150"	"41"	"326"	"60"	"459"	"37"	"6"	"6"	"2"	"5"	"64"	"8"	"16"	"1030"	"0"	"1030"	"0"
"173"	"152"	"151"	"5"	"164"	"83"	"625"	"26"	"0"	"4"	"4"	"3"	"6"	"2"	"9"	"931"	"0"	"931"	"0"
"174"	"153"	"152"	"3"	"20"	"23"	"566"	"17"	"2"	"1"	"0"	"1"	"3"	"2"	"5"	"643"	"0"	"643"	"0"
"175"	"154"	"153"	"3"	"7"	"31"	"708"	"22"	"2"	"0"	"0"	"1"	"2"	"1"	"9"	"786"	"0"	"786"	"0"
"176"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"178"	"155"	"154"	"14"	"196"	"21"	"216"	"63"	"3"	"0"	"6"	"3"	"2"	"6"	"12"	"542"	"0"	"542"	"0"
"179"	"156"	"155"	"8"	"610"	"38"	"55"	"141"	"0"	"0"	"1"	"2"	"4"	"5"	"20"	"884"	"0"	"884"	"0"
"180"	"157"	"156"	"26"	"265"	"23"	"216"	"108"	"8"	"4"	"3"	"7"	"15"	"15"	"26"	"716"	"0"	"716"	"0"
"181"	"158"	"157"	"18"	"329"	"23"	"56"	"84"	"5"	"2"	"4"	"3"	"4"	"3"	"9"	"540"	"0"	"540"	"0"
"182"	"159"	"158"	"22"	"362"	"95"	"62"	"65"	"3"	"4"	"4"	"3"	"3"	"15"	"20"	"658"	"0"	"658"	"0"
"183"	"160"	"159"	"14"	"75"	"37"	"359"	"29"	"3"	"4"	"2"	"1"	"9"	"1"	"7"	"541"	"0"	"541"	"0"
"184"	"161"	"160"	"26"	"529"	"22"	"21"	"21"	"4"	"1"	"2"	"6"	"55"	"7"	"16"	"710"	"0"	"710"	"0"
"185"	"162"	"161"	"33"	"357"	"83"	"147"	"11"	"3"	"4"	"1"	"4"	"2"	"5"	"6"	"656"	"0"	"656"	"0"
"186"	"163"	"162"	"48"	"425"	"124"	"279"	"23"	"7"	"3"	"6"	"7"	"5"	"5"	"7"	"939"	"0"	"939"	"0"
"187"	"164"	"163"	"23"	"454"	"10"	"6"	"21"	"1"	"0"	"0"	"0"	"0"	"3"	"3"	"521"	"0"	"521"	"0"
"188"	"165"	"164"	"8"	"43"	"127"	"629"	"30"	"2"	"2"	"1"	"0"	"3"	"3"	"4"	"852"	"0"	"852"	"0"
"189"	"166"	"165"	"12"	"53"	"182"	"382"	"8"	"3"	"1"	"3"	"3"	"2"	"4"	"8"	"661"	"0"	"661"	"0"
"190"	"167"	"166"	"15"	"343"	"13"	"12"	"4"	"0"	"2"	"0"	"3"	"0"	"1"	"13"	"406"	"0"	"406"	"0"
"191"	"168"	"167"	"7"	"5"	"85"	"558"	"8"	"2"	"4"	"0"	"5"	"4"	"3"	"6"	"687"	"0"	"687"	"0"
"192"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"194"	"169"	"168"	"20"	"123"	"209"	"492"	"50"	"6"	"3"	"4"	"3"	"4"	"0"	"9"	"923"	"0"	"923"	"0"
"195"	"170"	"169"	"8"	"10"	"272"	"657"	"15"	"4"	"2"	"2"	"4"	"3"	"3"	"4"	"984"	"0"	"984"	"0"
"196"	"171"	"170"	"17"	"217"	"98"	"461"	"6"	"5"	"2"	"2"	"2"	"4"	"5"	"19"	"838"	"0"	"838"	"0"
"197"	"172"	"171"	"31"	"415"	"173"	"377"	"20"	"6"	"8"	"10"	"8"	"4"	"2"	"13"	"1067"	"0"	"1067"	"0"
"198"	"173"	"172"	"18"	"156"	"92"	"252"	"5"	"1"	"0"	"3"	"5"	"25"	"3"	"5"	"565"	"0"	"565"	"0"
"199"	"174"	"173"	"10"	"54"	"106"	"615"	"6"	"2"	"3"	"2"	"6"	"6"	"7"	"22"	"839"	"0"	"839"	"0"
"200"	"175"	"174"	"8"	"8"	"214"	"319"	"29"	"0"	"2"	"4"	"3"	"5"	"1"	"7"	"600"	"0"	"600"	"0"
"201"	"176"	"175"	"6"	"12"	"84"	"389"	"7"	"0"	"5"	"4"	"5"	"4"	"4"	"2"	"522"	"0"	"522"	"0"
"202"	"177"	"176"	"16"	"13"	"60"	"848"	"5"	"2"	"3"	"0"	"2"	"0"	"1"	"2"	"952"	"0"	"952"	"0"
"203"	"178"	"177"	"21"	"330"	"73"	"265"	"58"	"2"	"2"	"5"	"2"	"6"	"10"	"30"	"804"	"0"	"804"	"0"
"204"	"179"	"178"	"1"	"4"	"172"	"218"	"5"	"1"	"1"	"0"	"2"	"4"	"0"	"4"	"412"	"0"	"412"	"0"
"205"	"180"	"179"	"21"	"507"	"63"	"12"	"90"	"3"	"1"	"2"	"9"	"3"	"10"	"13"	"734"	"0"	"734"	"0"
"206"	"181"	"180"	"29"	"268"	"99"	"393"	"23"	"3"	"3"	"4"	"3"	"5"	"2"	"9"	"841"	"0"	"841"	"0"
"207"	"182"	"181"	"18"	"414"	"47"	"19"	"44"	"1"	"2"	"1"	"2"	"1"	"3"	"10"	"562"	"0"	"562"	"0"
"208"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"210"	"183"	"182"	"35"	"367"	"112"	"14"	"40"	"4"	"7"	"6"	"5"	"4"	"13"	"22"	"629"	"0"	"629"	"0"
"211"	"184"	"183"	"37"	"357"	"184"	"22"	"109"	"2"	"6"	"7"	"9"	"22"	"10"	"25"	"790"	"0"	"790"	"0"
"212"	"185"	"184"	"27"	"296"	"176"	"7"	"40"	"3"	"5"	"2"	"5"	"4"	"2"	"16"	"583"	"0"	"583"	"0"
"213"	"186"	"185"	"28"	"439"	"80"	"8"	"35"	"3"	"4"	"2"	"2"	"3"	"7"	"1"	"612"	"0"	"612"	"0"
"214"	"187"	"186"	"37"	"420"	"57"	"18"	"22"	"3"	"2"	"8"	"0"	"21"	"7"	"16"	"611"	"0"	"611"	"0"
"215"	"188"	"187"	"17"	"124"	"37"	"463"	"9"	"4"	"8"	"6"	"16"	"13"	"12"	"21"	"730"	"0"	"730"	"0"
"216"	"189"	"188"	"9"	"31"	"413"	"41"	"8"	"2"	"2"	"3"	"3"	"5"	"7"	"14"	"538"	"0"	"538"	"0"
"217"	"190"	"189"	"9"	"16"	"434"	"5"	"4"	"0"	"3"	"2"	"3"	"3"	"3"	"9"	"491"	"0"	"491"	"0"
"218"	"191"	"190"	"33"	"397"	"291"	"3"	"7"	"2"	"0"	"2"	"4"	"1"	"6"	"10"	"756"	"0"	"756"	"0"
"219"	"192"	"191"	"42"	"440"	"114"	"5"	"7"	"4"	"4"	"10"	"12"	"5"	"18"	"36"	"697"	"0"	"697"	"0"
"220"	"193"	"192"	"51"	"406"	"38"	"300"	"14"	"4"	"2"	"8"	"12"	"11"	"13"	"35"	"894"	"0"	"894"	"0"
"221"	"194"	"193"	"24"	"210"	"170"	"48"	"15"	"0"	"3"	"1"	"2"	"3"	"3"	"6"	"485"	"0"	"485"	"0"
"222"	"195"	"194"	"16"	"153"	"128"	"438"	"17"	"3"	"0"	"5"	"8"	"11"	"5"	"17"	"801"	"0"	"801"	"0"
"223"	"196"	"195"	"2"	"0"	"93"	"406"	"8"	"1"	"1"	"2"	"6"	"3"	"3"	"7"	"532"	"0"	"532"	"0"
"224"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"226"	"197"	"196"	"10"	"108"	"86"	"140"	"7"	"0"	"5"	"6"	"4"	"5"	"5"	"8"	"384"	"0"	"384"	"0"
"227"	"198"	"197"	"15"	"97"	"76"	"310"	"5"	"2"	"4"	"2"	"2"	"0"	"1"	"10"	"524"	"0"	"524"	"0"
"228"	"199"	"198"	"37"	"316"	"90"	"3"	"31"	"7"	"1"	"5"	"3"	"3"	"9"	"5"	"510"	"0"	"510"	"0"
"229"	"200"	"199"	"6"	"338"	"7"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"356"	"0"	"356"	"0"
"230"	"201"	"200"	"8"	"16"	"199"	"345"	"9"	"0"	"0"	"3"	"2"	"2"	"6"	"10"	"600"	"0"	"600"	"0"
"231"	"202"	"201"	"9"	"56"	"89"	"676"	"24"	"0"	"2"	"1"	"0"	"3"	"5"	"5"	"870"	"0"	"870"	"0"
"232"	"203"	"202"	"13"	"364"	"12"	"1"	"0"	"1"	"0"	"0"	"0"	"5"	"7"	"10"	"413"	"0"	"413"	"0"
"233"	"204"	"203"	"26"	"389"	"112"	"32"	"19"	"3"	"1"	"0"	"1"	"2"	"2"	"3"	"590"	"0"	"590"	"0"
"234"	"205"	"204"	"27"	"954"	"8"	"2"	"14"	"3"	"2"	"3"	"1"	"1"	"4"	"2"	"1021"	"0"	"1021"	"0"
"235"	"206"	"205"	"10"	"22"	"54"	"393"	"18"	"0"	"1"	"5"	"6"	"7"	"8"	"10"	"534"	"0"	"534"	"0"
"236"	"207"	"206"	"15"	"242"	"18"	"277"	"20"	"2"	"1"	"3"	"5"	"10"	"10"	"18"	"621"	"0"	"621"	"0"
"237"	"208"	"207"	"11"	"121"	"109"	"594"	"19"	"2"	"3"	"4"	"8"	"7"	"7"	"11"	"896"	"0"	"896"	"0"
"238"	"er nku dsUnzksa i j  vfHkfyf[ kr  er ksa dh dqy  l a[ ; k"	""	"5218"	"58072"	"21189"	"30924"	"10822"	"837"	"1064"	"704"	"960"	"1147"	"1926"	"3853"	"136716"	"0"	"136716"	"0"
"239"	"Mkd  er i =ksa i j  vfHkfyf[ kr  er ksa dh l a[ ; k �l Hkk fuokZpu& {ks= l s fuokZpu dh n' kk esa Hkj k t k,  �"	""	"1"	"32"	"32"	"12"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"78"	"0"	"78"	"0"
"240"	"Mkys x,  dqy  er"	""	"5219"	"58104"	"21221"	"30936"	"10822"	"837"	"1065"	"704"	"960"	"1147"	"1926"	"3853"	"136794"	"0"	"136794"	"0"
"241"	"fuokZph i nkf/kdkj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"68&cj kj h"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
