"Candidates..Name"	"AMRITA.SINGH"	"MAHACHANDR.A.PRASAD.SINGH"	"RAMESH.KUMAR.SINGH"	"RAJU.KUMAR.SINGH"	"RAM.VICHAR.RAY"	"MRITUNJAY.SUMAN"	"YADAV.LAL.PATEL"	"RUPNATH.RAY"	"UPENDRA.KUMAR.SINGH"	"KEDAR.PRASAD.SINGH"	"GAYA.PASWAN"	"NAND.KISHOR.BHAGAT"	"MD..NABI.HASSAN"	"LALBABU.SINGH"	"VINAY.KUMAR"	"Total"
"186"	"Candidates  Name"	"AMRITA SINGH"	"MAHACHANDR A PRASAD SINGH"	"RAMESH KUMAR SINGH"	"RAJU KUMAR SINGH"	"RAM VICHAR RAY"	"MRITUNJAY SUMAN"	"YADAV LAL PATEL"	"RUPNATH RAY"	"UPENDRA KUMAR SINGH"	"KEDAR PRASAD SINGH"	"GAYA PASWAN"	"NAND KISHOR BHAGAT"	"MD. NABI HASSAN"	"LALBABU SINGH"	"VINAY KUMAR"	"Total"
"187"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"192"	"148"	"8"	"74"	"4"	"355"	"300"	"6"	"11"	"2"	"9"	"6"	"8"	"36"	"12"	"9"	"11"	"851"
"193"	"149"	"15"	"118"	"10"	"290"	"287"	"8"	"6"	"9"	"2"	"2"	"7"	"22"	"5"	"6"	"3"	"790"
"194"	"150"	"8"	"80"	"7"	"295"	"278"	"10"	"18"	"8"	"7"	"9"	"8"	"16"	"15"	"8"	"19"	"786"
"195"	"151"	"23"	"126"	"10"	"222"	"223"	"5"	"13"	"6"	"8"	"6"	"14"	"25"	"5"	"12"	"7"	"705"
"196"	"152"	"5"	"92"	"6"	"250"	"75"	"3"	"5"	"2"	"4"	"2"	"3"	"15"	"15"	"6"	"17"	"500"
"197"	"153"	"4"	"4"	"1"	"195"	"25"	"3"	"8"	"3"	"2"	"3"	"8"	"19"	"4"	"2"	"9"	"290"
"198"	"154"	"11"	"31"	"6"	"155"	"354"	"16"	"4"	"6"	"5"	"7"	"8"	"18"	"5"	"14"	"25"	"665"
"199"	"155"	"7"	"44"	"5"	"170"	"270"	"8"	"3"	"10"	"6"	"7"	"18"	"19"	"5"	"7"	"19"	"598"
"200"	"156"	"2"	"5"	"3"	"281"	"235"	"3"	"6"	"2"	"4"	"3"	"11"	"27"	"7"	"5"	"12"	"606"
"201"	"157"	"4"	"20"	"12"	"236"	"86"	"3"	"2"	"6"	"5"	"4"	"9"	"12"	"12"	"4"	"3"	"418"
"202"	"158"	"3"	"13"	"2"	"178"	"106"	"2"	"7"	"0"	"2"	"1"	"8"	"19"	"11"	"4"	"11"	"367"
"203"	"159"	"6"	"7"	"1"	"114"	"200"	"8"	"7"	"4"	"5"	"2"	"8"	"19"	"1"	"1"	"10"	"393"
"204"	"160"	"9"	"11"	"1"	"420"	"110"	"3"	"2"	"5"	"2"	"2"	"5"	"14"	"4"	"2"	"2"	"592"
"205"	"161"	"7"	"7"	"20"	"408"	"97"	"9"	"5"	"10"	"6"	"6"	"15"	"49"	"7"	"3"	"10"	"659"
"206"	"162"	"11"	"76"	"5"	"198"	"233"	"6"	"5"	"5"	"5"	"2"	"16"	"15"	"9"	"12"	"13"	"611"
"207"	"163"	"2"	"8"	"16"	"216"	"231"	"9"	"2"	"8"	"2"	"3"	"11"	"29"	"13"	"10"	"13"	"573"
"208"	"164"	"14"	"30"	"14"	"415"	"132"	"4"	"6"	"4"	"1"	"3"	"4"	"13"	"9"	"3"	"7"	"659"
"209"	"165"	"23"	"13"	"11"	"336"	"136"	"4"	"0"	"7"	"1"	"1"	"8"	"12"	"3"	"3"	"1"	"559"
"210"	"166"	"0"	"11"	"1"	"312"	"27"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"354"
"211"	"167"	"7"	"1"	"5"	"240"	"92"	"1"	"2"	"2"	"3"	"0"	"6"	"13"	"7"	"0"	"3"	"382"
"212"	"168"	"3"	"41"	"10"	"324"	"289"	"6"	"5"	"3"	"4"	"4"	"13"	"36"	"8"	"8"	"6"	"760"
"213"	"169"	"7"	"34"	"5"	"136"	"136"	"6"	"7"	"10"	"3"	"14"	"11"	"22"	"11"	"7"	"19"	"428"
"214"	"170"	"14"	"14"	"9"	"238"	"189"	"6"	"3"	"5"	"6"	"2"	"4"	"16"	"10"	"3"	"5"	"524"
"215"	"171"	"13"	"21"	"4"	"377"	"116"	"2"	"5"	"6"	"4"	"2"	"4"	"15"	"11"	"7"	"2"	"589"
"216"	"172"	"10"	"58"	"15"	"381"	"217"	"14"	"11"	"6"	"9"	"18"	"21"	"30"	"42"	"15"	"24"	"871"
"217"	"Candidates  Name"	"AMRITA SINGH"	"MAHACHANDR A PRASAD SINGH"	"RAMESH KUMAR SINGH"	"RAJU KUMAR SINGH"	"RAM VICHAR RAY"	"MRITUNJAY SUMAN"	"YADAV LAL PATEL"	"RUPNATH RAY"	"UPENDRA KUMAR SINGH"	"KEDAR PRASAD SINGH"	"GAYA PASWAN"	"NAND KISHOR BHAGAT"	"MD. NABI HASSAN"	"LALBABU SINGH"	"VINAY KUMAR"	"Total"
"218"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"223"	"173"	"6"	"13"	"7"	"215"	"235"	"12"	"5"	"10"	"3"	"3"	"17"	"17"	"7"	"9"	"10"	"569"
"224"	"174"	"6"	"12"	"23"	"352"	"186"	"7"	"4"	"4"	"9"	"2"	"16"	"21"	"5"	"6"	"6"	"659"
"225"	"175"	"11"	"25"	"9"	"146"	"242"	"10"	"6"	"2"	"0"	"3"	"3"	"5"	"2"	"2"	"2"	"468"
"226"	"176"	"1"	"153"	"5"	"96"	"179"	"4"	"2"	"6"	"2"	"5"	"11"	"12"	"3"	"6"	"8"	"493"
"227"	"177"	"5"	"128"	"2"	"149"	"104"	"7"	"1"	"5"	"0"	"2"	"5"	"5"	"3"	"6"	"4"	"426"
"228"	"178"	"5"	"177"	"12"	"139"	"176"	"9"	"6"	"6"	"2"	"0"	"3"	"8"	"5"	"2"	"3"	"553"
"229"	"179"	"6"	"45"	"11"	"224"	"207"	"9"	"8"	"9"	"0"	"3"	"9"	"24"	"12"	"4"	"9"	"580"
"230"	"180"	"6"	"9"	"7"	"284"	"202"	"1"	"5"	"5"	"8"	"2"	"13"	"34"	"14"	"1"	"7"	"598"
"231"	"181"	"29"	"37"	"10"	"138"	"201"	"7"	"5"	"5"	"2"	"4"	"2"	"10"	"1"	"1"	"4"	"456"
"232"	"182"	"5"	"24"	"2"	"218"	"83"	"1"	"2"	"3"	"2"	"2"	"3"	"13"	"1"	"2"	"2"	"363"
"233"	"183"	"10"	"17"	"11"	"231"	"131"	"5"	"4"	"7"	"5"	"6"	"2"	"8"	"8"	"6"	"9"	"460"
"234"	"184"	"9"	"7"	"8"	"264"	"215"	"6"	"12"	"14"	"9"	"4"	"9"	"29"	"5"	"4"	"3"	"598"
"235"	"185"	"6"	"4"	"5"	"106"	"367"	"7"	"4"	"7"	"2"	"4"	"3"	"8"	"4"	"3"	"5"	"535"
"236"	"186"	"19"	"24"	"4"	"277"	"296"	"9"	"13"	"11"	"7"	"6"	"15"	"25"	"3"	"6"	"5"	"720"
"237"	"187"	"10"	"28"	"2"	"73"	"210"	"9"	"9"	"4"	"0"	"6"	"3"	"9"	"6"	"4"	"7"	"380"
"238"	"188"	"9"	"8"	"1"	"109"	"258"	"18"	"8"	"3"	"3"	"4"	"19"	"17"	"9"	"4"	"19"	"489"
"239"	"189"	"6"	"71"	"6"	"138"	"119"	"2"	"2"	"2"	"1"	"6"	"6"	"6"	"5"	"7"	"16"	"393"
"240"	"190"	"1"	"16"	"0"	"20"	"11"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"52"
"241"	"191"	"2"	"179"	"2"	"43"	"85"	"4"	"7"	"5"	"2"	"3"	"2"	"15"	"7"	"7"	"20"	"383"
"242"	"192"	"13"	"38"	"15"	"126"	"157"	"12"	"6"	"4"	"5"	"2"	"14"	"16"	"6"	"11"	"11"	"436"
"243"	"193"	"6"	"4"	"41"	"149"	"295"	"11"	"7"	"4"	"4"	"4"	"14"	"13"	"5"	"7"	"11"	"575"
"244"	"194"	"6"	"19"	"1"	"169"	"294"	"5"	"1"	"2"	"2"	"1"	"1"	"4"	"8"	"0"	"9"	"522"
"245"	"195"	"3"	"26"	"4"	"135"	"205"	"4"	"2"	"2"	"2"	"2"	"1"	"11"	"5"	"2"	"4"	"408"
"246"	"196"	"3"	"308"	"0"	"38"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"371"
"247"	"197"	"4"	"2"	"18"	"294"	"35"	"0"	"3"	"1"	"2"	"1"	"3"	"1"	"3"	"0"	"4"	"371"
"248"	"Candidates  Name"	"AMRITA SINGH"	"MAHACHANDR A PRASAD SINGH"	"RAMESH KUMAR SINGH"	"RAJU KUMAR SINGH"	"RAM VICHAR RAY"	"MRITUNJAY SUMAN"	"YADAV LAL PATEL"	"RUPNATH RAY"	"UPENDRA KUMAR SINGH"	"KEDAR PRASAD SINGH"	"GAYA PASWAN"	"NAND KISHOR BHAGAT"	"MD. NABI HASSAN"	"LALBABU SINGH"	"VINAY KUMAR"	"Total"
"249"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"254"	"198"	"1"	"71"	"6"	"229"	"68"	"5"	"1"	"1"	"1"	"5"	"0"	"6"	"5"	"1"	"2"	"402"
"255"	"199"	"3"	"24"	"7"	"276"	"82"	"5"	"1"	"4"	"0"	"5"	"8"	"11"	"4"	"3"	"2"	"435"
"256"	"200"	"1"	"5"	"4"	"124"	"63"	"1"	"0"	"1"	"2"	"0"	"2"	"6"	"0"	"1"	"3"	"213"
"257"	"201"	"12"	"16"	"15"	"350"	"149"	"4"	"2"	"4"	"4"	"2"	"6"	"26"	"11"	"9"	"12"	"622"
"258"	"202"	"5"	"43"	"51"	"147"	"47"	"0"	"1"	"2"	"2"	"2"	"11"	"34"	"13"	"6"	"14"	"378"
"259"	"203"	"4"	"71"	"7"	"232"	"122"	"2"	"2"	"6"	"2"	"1"	"8"	"13"	"12"	"6"	"17"	"505"
"260"	"204"	"19"	"74"	"10"	"209"	"19"	"2"	"3"	"3"	"1"	"4"	"5"	"5"	"2"	"4"	"3"	"363"
"261"	"205"	"1"	"13"	"5"	"165"	"122"	"8"	"2"	"8"	"5"	"5"	"9"	"18"	"5"	"0"	"8"	"374"
"262"	"206"	"8"	"43"	"6"	"271"	"122"	"7"	"2"	"3"	"1"	"3"	"6"	"21"	"8"	"6"	"8"	"515"
"263"	"207"	"12"	"20"	"15"	"442"	"181"	"5"	"4"	"4"	"1"	"1"	"10"	"25"	"10"	"4"	"5"	"739"
"264"	"208"	"4"	"14"	"8"	"372"	"374"	"3"	"3"	"20"	"1"	"2"	"6"	"24"	"6"	"5"	"8"	"850"
"265"	"209"	"7"	"140"	"8"	"172"	"22"	"3"	"2"	"4"	"2"	"3"	"2"	"10"	"2"	"7"	"2"	"386"
"266"	"210"	"15"	"58"	"8"	"238"	"112"	"3"	"4"	"6"	"1"	"5"	"6"	"13"	"4"	"3"	"4"	"480"
"267"	"211"	"34"	"149"	"4"	"172"	"40"	"1"	"1"	"2"	"0"	"0"	"1"	"10"	"1"	"3"	"0"	"418"
"268"	"212"	"6"	"82"	"5"	"86"	"118"	"5"	"2"	"4"	"2"	"1"	"7"	"14"	"4"	"3"	"8"	"347"
"269"	"213"	"1"	"24"	"3"	"230"	"29"	"1"	"2"	"5"	"2"	"1"	"2"	"8"	"5"	"4"	"4"	"321"
"270"	"214"	"5"	"111"	"9"	"207"	"115"	"2"	"3"	"6"	"3"	"2"	"4"	"13"	"4"	"6"	"8"	"498"
"271"	"215"	"8"	"52"	"4"	"393"	"111"	"4"	"3"	"4"	"5"	"1"	"7"	"14"	"2"	"2"	"7"	"617"
"272"	"216"	"8"	"292"	"21"	"222"	"46"	"7"	"4"	"7"	"2"	"1"	"4"	"18"	"9"	"8"	"31"	"680"
"273"	"217"	"3"	"10"	"2"	"153"	"55"	"1"	"5"	"1"	"1"	"1"	"2"	"8"	"1"	"0"	"4"	"247"
"274"	"218"	"6"	"160"	"7"	"181"	"46"	"4"	"24"	"0"	"1"	"2"	"8"	"16"	"9"	"5"	"5"	"474"
"275"	"219"	"5"	"3"	"2"	"99"	"203"	"5"	"3"	"0"	"1"	"1"	"6"	"9"	"6"	"3"	"5"	"351"
"276"	"220"	"14"	"144"	"9"	"27"	"50"	"4"	"0"	"3"	"0"	"1"	"1"	"1"	"0"	"4"	"1"	"259"
"277"	"221"	"2"	"82"	"6"	"100"	"72"	"15"	"2"	"4"	"0"	"1"	"8"	"13"	"11"	"7"	"11"	"334"
"278"	"222"	"13"	"79"	"2"	"145"	"112"	"11"	"4"	"7"	"2"	"0"	"2"	"10"	"4"	"5"	"10"	"406"
"279"	"Candidates  Name"	"AMRITA SINGH"	"MAHACHANDR A PRASAD SINGH"	"RAMESH KUMAR SINGH"	"RAJU KUMAR SINGH"	"RAM VICHAR RAY"	"MRITUNJAY SUMAN"	"YADAV LAL PATEL"	"RUPNATH RAY"	"UPENDRA KUMAR SINGH"	"KEDAR PRASAD SINGH"	"GAYA PASWAN"	"NAND KISHOR BHAGAT"	"MD. NABI HASSAN"	"LALBABU SINGH"	"VINAY KUMAR"	"Total"
"280"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"285"	"223"	"4"	"32"	"7"	"103"	"241"	"7"	"7"	"13"	"1"	"3"	"8"	"14"	"6"	"8"	"9"	"463"
"286"	"224"	"11"	"18"	"23"	"396"	"129"	"3"	"5"	"2"	"0"	"1"	"5"	"9"	"3"	"1"	"4"	"610"
"287"	"225"	"5"	"102"	"8"	"232"	"25"	"1"	"4"	"4"	"0"	"1"	"6"	"7"	"3"	"5"	"7"	"410"
"288"	"226"	"6"	"175"	"2"	"119"	"28"	"1"	"3"	"4"	"4"	"2"	"5"	"14"	"13"	"6"	"5"	"387"
"289"	"227"	"16"	"255"	"8"	"75"	"170"	"3"	"1"	"3"	"0"	"2"	"2"	"7"	"5"	"13"	"7"	"567"
"290"	"228"	"6"	"5"	"0"	"254"	"148"	"2"	"0"	"1"	"0"	"0"	"2"	"7"	"4"	"1"	"2"	"432"
"291"	"229"	"7"	"8"	"1"	"104"	"165"	"8"	"2"	"3"	"4"	"2"	"5"	"14"	"5"	"2"	"8"	"338"
"292"	"230"	"0"	"19"	"1"	"274"	"28"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"324"
"293"	"231"	"0"	"4"	"1"	"228"	"25"	"2"	"2"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"267"
"294"	"232"	"2"	"1"	"3"	"12"	"193"	"4"	"2"	"2"	"0"	"0"	"0"	"3"	"3"	"1"	"4"	"230"
"295"	"233"	"3"	"7"	"3"	"19"	"263"	"10"	"1"	"49"	"5"	"3"	"11"	"6"	"4"	"6"	"15"	"405"
"296"	"234"	"3"	"47"	"2"	"50"	"73"	"1"	"2"	"3"	"0"	"1"	"5"	"3"	"3"	"1"	"1"	"195"
"297"	"235"	"7"	"77"	"2"	"250"	"126"	"2"	"7"	"2"	"4"	"1"	"4"	"17"	"10"	"6"	"11"	"526"
"298"	"236"	"6"	"24"	"3"	"156"	"251"	"9"	"3"	"14"	"3"	"1"	"11"	"17"	"6"	"8"	"20"	"532"
"299"	"237"	"14"	"74"	"6"	"141"	"216"	"4"	"2"	"0"	"0"	"3"	"9"	"15"	"5"	"4"	"8"	"501"
"300"	"238"	"13"	"26"	"4"	"148"	"319"	"7"	"1"	"5"	"4"	"1"	"4"	"11"	"11"	"5"	"19"	"578"
"301"	"239"	"24"	"61"	"4"	"91"	"381"	"9"	"9"	"8"	"2"	"6"	"8"	"14"	"2"	"11"	"14"	"644"
"302"	"240"	"8"	"2"	"17"	"48"	"118"	"3"	"7"	"6"	"5"	"5"	"9"	"9"	"4"	"6"	"9"	"256"
"303"	"241"	"1"	"17"	"8"	"75"	"71"	"5"	"14"	"6"	"4"	"0"	"5"	"13"	"3"	"5"	"16"	"243"
"304"	"242"	"7"	"26"	"3"	"287"	"82"	"3"	"2"	"7"	"6"	"4"	"5"	"19"	"9"	"2"	"10"	"472"
"305"	"243"	"4"	"2"	"1"	"189"	"44"	"1"	"0"	"1"	"2"	"0"	"0"	"7"	"1"	"1"	"1"	"254"
"306"	"244"	"4"	"7"	"2"	"295"	"19"	"1"	"0"	"3"	"3"	"2"	"3"	"8"	"4"	"3"	"5"	"359"
"307"	"Total:"	"1840"	"13999"	"1654"	"46582"	"41619"	"1256"	"1494"	""	"731"	"877"	"1713"	""	""	"1167"	"2073"	"120893"
"308"	""	""	""	""	""	""	""	""	"1106"	""	""	""	"3407"	"1375"	""	""	""
"309"	"Postal Ballot"	"0"	"21"	"0"	"24"	"71"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"
"310"	"Candidates  Name"	"AMRITA SINGH"	"MAHACHANDR A PRASAD SINGH"	"RAMESH KUMAR SINGH"	"RAJU KUMAR SINGH"	"RAM VICHAR RAY"	"MRITUNJAY SUMAN"	"YADAV LAL PATEL"	"RUPNATH RAY"	"UPENDRA KUMAR SINGH"	"KEDAR PRASAD SINGH"	"GAYA PASWAN"	"NAND KISHOR BHAGAT"	"MD. NABI HASSAN"	"LALBABU SINGH"	"VINAY KUMAR"	"Total"
"311"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"316"	"Grand Total:"	"1840"	"14020"	"1654"	"46606"	"41690"	"1256"	"1494"	"1106"	"731"	"877"	"1713"	"3407"	"1375"	"1167"	"2073"	"121009"
"317"	"Place:                                                                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Date: 11/24/2010                                                                                                                                                                         Assembly Constituency :098---Sahebganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                                                                            Page -1 of 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
