"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"241"	"218"	""	"10"	"161"	"8"	"9"	"276"	"6"	"2"	"5"	"9"	"6"	"492"
"242"	"219"	""	"21"	"135"	"5"	"8"	"299"	"10"	"2"	"5"	"9"	"7"	"501"
"243"	"220"	""	"23"	"128"	"14"	"10"	"226"	"14"	"4"	"6"	"19"	"14"	"458"
"244"	"221"	""	"9"	"66"	"3"	"3"	"140"	"7"	"2"	"1"	"3"	"8"	"242"
"245"	"222"	""	"2"	"58"	"1"	"9"	"240"	"4"	"3"	"1"	"7"	"4"	"329"
"246"	"223"	""	"11"	"101"	"5"	"10"	"167"	"14"	"4"	"1"	"10"	"11"	"334"
"247"	"224"	""	"30"	"202"	"12"	"8"	"229"	"20"	"6"	"10"	"26"	"17"	"560"
"248"	"225"	""	"10"	"70"	"10"	"16"	"283"	"5"	"4"	"7"	"6"	"7"	"418"
"249"	"226"	""	"9"	"206"	"7"	"5"	"45"	"6"	"1"	"3"	"5"	"6"	"293"
"250"	"227"	""	"19"	"74"	"7"	"5"	"198"	"10"	"4"	"5"	"7"	"11"	"340"
"251"	"228"	""	"38"	"210"	"20"	"22"	"359"	"15"	"10"	"7"	"13"	"4"	"698"
"252"	"229"	""	"4"	"30"	"2"	"2"	"155"	"4"	"2"	"3"	"0"	"1"	"203"
"253"	"230"	""	"12"	"141"	"7"	"8"	"274"	"10"	"5"	"6"	"13"	"9"	"485"
"254"	"231"	""	"17"	"83"	"6"	"18"	"236"	"20"	"12"	"11"	"17"	"17"	"437"
"255"	"232"	""	"4"	"52"	"2"	"5"	"225"	"3"	"0"	"2"	"0"	"2"	"295"
"256"	"233"	""	"17"	"69"	"5"	"3"	"247"	"7"	"0"	"7"	"3"	"13"	"371"
"257"	"234"	""	"17"	"217"	"9"	"7"	"117"	"16"	"6"	"9"	"12"	"12"	"422"
"258"	"BOOTH NO"	""	"KAPIL CHOUDHARY"	"KUMAR SARVJEET"	"FULCHAND MANJHI"	"BALIK RAM"	"SHYAM DEO PASWAN"	"INDRADEO KUMAR MANJHI"	"SURESH MANJHI"	"KAILASH BHUIYAN"	"DEVENDRA PRATAP"	"RAJKUMAR MANJHI"	"Total Valid  Votes"
"259"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"260"	"235"	""	"22"	"243"	"16"	"9"	"150"	"3"	"6"	"8"	"17"	"14"	"488"
"261"	"236"	""	"15"	"113"	"11"	"9"	"234"	"16"	"2"	"7"	"6"	"22"	"435"
"262"	"236"	"A"	"11"	"58"	"9"	"7"	"183"	"6"	"6"	"6"	"5"	"2"	"293"
"263"	"237"	""	"29"	"177"	"10"	"10"	"329"	"22"	"17"	"14"	"25"	"25"	"658"
"264"	"238"	""	"18"	"97"	"7"	"4"	"83"	"5"	"4"	"5"	"7"	"14"	"244"
"265"	"239"	""	"26"	"247"	"11"	"3"	"50"	"1"	"3"	"8"	"26"	"18"	"393"
"266"	"240"	""	"15"	"140"	"12"	"4"	"100"	"8"	"3"	"5"	"18"	"27"	"332"
"267"	"241"	""	"17"	"242"	"16"	"5"	"205"	"8"	"5"	"2"	"8"	"3"	"511"
"268"	"242"	""	"13"	"86"	"13"	"13"	"370"	"26"	"7"	"6"	"14"	"24"	"572"
"269"	"243"	""	"31"	"207"	"24"	"22"	"459"	"4"	"6"	"11"	"12"	"13"	"789"
"270"	"244"	""	"1"	"56"	"3"	"8"	"164"	"2"	"0"	"3"	"5"	"2"	"244"
"271"	"245"	""	"14"	"126"	"6"	"10"	"203"	"3"	"1"	"6"	"11"	"8"	"388"
"272"	"246"	""	"21"	"122"	"9"	"4"	"275"	"9"	"7"	"10"	"16"	"23"	"496"
"273"	"247"	""	"27"	"188"	"21"	"8"	"141"	"6"	"2"	"5"	"13"	"6"	"417"
"274"	"248"	""	"27"	"280"	"31"	"19"	"57"	"10"	"10"	"14"	"48"	"23"	"519"
"275"	"249"	""	"20"	"174"	"18"	"2"	"61"	"2"	"1"	"6"	"10"	"9"	"303"
"276"	"250"	""	"9"	"53"	"10"	"14"	"335"	"20"	"10"	"52"	"18"	"16"	"537"
"277"	"251"	""	"15"	"29"	"5"	"9"	"404"	"46"	"19"	"20"	"19"	"46"	"612"
"278"	"252"	""	"20"	"295"	"14"	"6"	"42"	"4"	"3"	"9"	"20"	"12"	"425"
"279"	"252"	"A"	"4"	"182"	"2"	"3"	"16"	"0"	"0"	"3"	"7"	"6"	"223"
"280"	"253"	""	"34"	"275"	"12"	"13"	"104"	"11"	"11"	"18"	"35"	"29"	"542"
"281"	"254"	""	"28"	"33"	"9"	"3"	"269"	"33"	"17"	"13"	"16"	"28"	"449"
"282"	"255"	""	"8"	"63"	"7"	"6"	"252"	"10"	"4"	"3"	"10"	"10"	"373"
"283"	"256"	""	"16"	"321"	"8"	"8"	"62"	"6"	"0"	"6"	"20"	"12"	"459"
"284"	"256"	"A"	"27"	"216"	"20"	"1"	"50"	"10"	"10"	"4"	"14"	"21"	"373"
"285"	"257"	""	"19"	"209"	"14"	"6"	"148"	"19"	"5"	"9"	"22"	"46"	"497"
"286"	"258"	""	"7"	"109"	"2"	"1"	"123"	"4"	"4"	"4"	"3"	"3"	"260"
"287"	"259"	""	"3"	"130"	"2"	"0"	"53"	"1"	"1"	"3"	"1"	"1"	"195"
"288"	"260"	""	"36"	"226"	"20"	"11"	"129"	"21"	"8"	"19"	"27"	"55"	"552"
"289"	"261"	""	"51"	"202"	"28"	"18"	"115"	"10"	"6"	"10"	"15"	"18"	"473"
"290"	"262"	""	"14"	"187"	"12"	"4"	"63"	"6"	"3"	"5"	"11"	"13"	"318"
"291"	"263"	""	"8"	"93"	"8"	"4"	"400"	"9"	"7"	"4"	"11"	"3"	"547"
"292"	"264"	""	"14"	"158"	"21"	"6"	"108"	"12"	"6"	"8"	"21"	"18"	"372"
"293"	"265"	""	"30"	"131"	"19"	"9"	"88"	"8"	"2"	"10"	"8"	"18"	"323"
"294"	"266"	""	"44"	"150"	"20"	"12"	"169"	"9"	"3"	"12"	"8"	"5"	"432"
"295"	"BOOTH NO"	""	"KAPIL CHOUDHARY"	"KUMAR SARVJEET"	"FULCHAND MANJHI"	"BALIK RAM"	"SHYAM DEO PASWAN"	"INDRADEO KUMAR MANJHI"	"SURESH MANJHI"	"KAILASH BHUIYAN"	"DEVENDRA PRATAP"	"RAJKUMAR MANJHI"	"Total Valid  Votes"
"296"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"297"	"267"	""	"28"	"169"	"10"	"18"	"234"	"16"	"5"	"5"	"18"	"16"	"519"
"298"	"268"	""	"23"	"91"	"15"	"9"	"275"	"13"	"15"	"2"	"10"	"13"	"466"
"299"	"269"	""	"10"	"54"	"9"	"3"	"99"	"9"	"2"	"6"	"3"	"5"	"200"
"300"	"270"	""	"11"	"59"	"7"	"9"	"71"	"32"	"5"	"5"	"2"	"1"	"202"
"301"	"271"	""	"15"	"60"	"9"	"4"	"121"	"10"	"6"	"8"	"5"	"11"	"249"
"302"	"272"	""	"10"	"186"	"7"	"9"	"18"	"1"	"1"	"2"	"12"	"4"	"250"
"303"	"273"	""	"29"	"177"	"22"	"17"	"81"	"26"	"16"	"32"	"23"	"38"	"461"
"304"	"274"	""	"37"	"75"	"15"	"7"	"93"	"6"	"11"	"45"	"21"	"30"	"340"
"305"	"275"	""	"14"	"159"	"4"	"10"	"99"	"8"	"2"	"9"	"10"	"16"	"331"
"306"	"276"	""	"15"	"39"	"8"	"2"	"103"	"3"	"5"	"14"	"12"	"11"	"212"
"307"	"277"	""	"34"	"243"	"15"	"8"	"49"	"8"	"8"	"14"	"33"	"23"	"435"
"308"	"278"	""	"20"	"76"	"9"	"9"	"126"	"11"	"8"	"12"	"16"	"15"	"302"
"309"	"279"	""	"9"	"166"	"11"	"8"	"138"	"6"	"12"	"18"	"21"	"33"	"422"
"310"	"280"	""	"11"	"235"	"25"	"5"	"107"	"17"	"11"	"30"	"44"	"74"	"559"
"311"	"281"	""	"18"	"97"	"10"	"11"	"239"	"15"	"5"	"16"	"20"	"31"	"462"
"312"	"282"	""	"29"	"207"	"8"	"10"	"138"	"10"	"4"	"3"	"13"	"5"	"427"
"313"	"283"	""	"15"	"22"	"3"	"10"	"89"	"13"	"6"	"16"	"10"	"36"	"220"
"314"	"284"	""	"15"	"226"	"28"	"7"	"8"	"2"	"4"	"6"	"17"	"11"	"324"
"315"	"285"	""	"17"	"34"	"9"	"13"	"192"	"14"	"11"	"18"	"22"	"31"	"361"
"316"	"286"	""	"31"	"191"	"16"	"3"	"118"	"14"	"8"	"11"	"10"	"33"	"435"
"317"	"Total"	""	"4737"	"42935"	"3473"	"3180"	"54157"	"2972"	"1422"	"2104"	"3309"	"3709"	"121998"
"318"	"POSTAL BALLOT"	""	"0"	"12"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"15"
"319"	"Grand Total"	""	"4737"	"42947"	"3473"	"3180"	"54160"	"2972"	"1422"	"2104"	"3309"	"3709"	"122013"
"320"	"Returning Officer."	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"229-Bodhgaya(SC) constituency"	""	""	""	""	""	""	""	""	""	""	""	""
