"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"sembly Constituency :054---Kishanganj                                                                                                                                       No of Voters :211836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"No of valid votes caste in favour oTf otal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"BOOTH NO"	"ABUL KALAM AZAD"	"TASIR UDDIN"	"DILIP KUMAR RAM"	"DR MOHAMMAD
JAWAID"	"MOHAMMAD KALIM UDDIN"	"SWEETY SINGH"	"MAHABIR CHAUHAN"	"MOHAMMAD NISSAR ALAM"	"SANJAY KUMAR
SRIVASTWA"	"SAYED ASAD HASNAIN"	"CHOTE LAL MAHTO"	"MOHAMMAD NOORUL
HAQUE"	"RAJU RANJAN"	"Total"
"196"	"BOOTH NO"	"ABUL KALAM AZAD"	"TASIR UDDIN"	"DILIP KUMAR RAM"	"DR MOHAMMAD
JAWAID"	"MOHAMMAD KALIM UDDIN"	"SWEETY SINGH"	"MAHABIR CHAUHAN"	"MOHAMMAD NISSAR ALAM"	"SANJAY KUMAR
SRIVASTWA"	"SAYED ASAD HASNAIN"	"CHOTE LAL MAHTO"	"MOHAMMAD NOORUL
HAQUE"	"RAJU RANJAN"	"Total"
"197"	"162"	"5"	"20"	"2"	"463"	"42"	"106"	"4"	"3"	"2"	"5"	"7"	"5"	"6"	"670"
"198"	"163"	"7"	"22"	"3"	"134"	"30"	"180"	"3"	"5"	"3"	"2"	"2"	"3"	"7"	"401"
"199"	"164"	"0"	"20"	"2"	"50"	"15"	"429"	"5"	"3"	"1"	"0"	"1"	"1"	"5"	"532"
"200"	"165"	"3"	"20"	"4"	"175"	"39"	"406"	"0"	"9"	"0"	"2"	"9"	"0"	"5"	"672"
"201"	"166"	"2"	"15"	"4"	"237"	"41"	"117"	"2"	"3"	"1"	"1"	"22"	"6"	"5"	"456"
"202"	"167"	"16"	"37"	"2"	"370"	"92"	"118"	"4"	"3"	"1"	"0"	"3"	"4"	"7"	"657"
"203"	"168"	"2"	"83"	"1"	"169"	"18"	"135"	"4"	"3"	"0"	"2"	"3"	"3"	"4"	"427"
"204"	"168A"	"4"	"48"	"2"	"91"	"31"	"167"	"2"	"1"	"1"	"1"	"2"	"5"	"3"	"358"
"205"	"169"	"7"	"13"	"6"	"88"	"10"	"305"	"5"	"9"	"2"	"2"	"15"	"6"	"12"	"480"
"206"	"170"	"5"	"50"	"1"	"174"	"19"	"288"	"4"	"5"	"1"	"3"	"1"	"5"	"3"	"559"
"207"	"171"	"11"	"9"	"1"	"43"	"14"	"754"	"3"	"4"	"2"	"0"	"2"	"1"	"5"	"849"
"208"	"172"	"5"	"45"	"0"	"166"	"18"	"456"	"7"	"9"	"1"	"4"	"7"	"1"	"4"	"723"
"209"	"173"	"1"	"1"	"9"	"96"	"9"	"345"	"6"	"4"	"2"	"0"	"0"	"0"	"3"	"476"
"210"	"173A"	"2"	"25"	"2"	"243"	"43"	"145"	"7"	"4"	"6"	"5"	"9"	"4"	"13"	"508"
"211"	"174"	"3"	"10"	"1"	"153"	"13"	"214"	"48"	"9"	"5"	"3"	"1"	"0"	"5"	"465"
"212"	"174A"	"14"	"13"	"2"	"215"	"27"	"153"	"17"	"6"	"4"	"4"	"9"	"6"	"16"	"486"
"213"	"175"	"4"	"19"	"7"	"344"	"14"	"89"	"119"	"2"	"3"	"1"	"3"	"1"	"4"	"610"
"214"	"176"	"13"	"66"	"3"	"332"	"23"	"99"	"55"	"6"	"9"	"3"	"0"	"2"	"6"	"617"
"215"	"177"	"3"	"11"	"4"	"99"	"19"	"641"	"36"	"8"	"16"	"1"	"6"	"4"	"10"	"858"
"216"	"178"	"3"	"3"	"1"	"50"	"31"	"336"	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"429"
"217"	"179"	"3"	"2"	"2"	"105"	"33"	"564"	"3"	"1"	"6"	"1"	"4"	"1"	"3"	"728"
"218"	"180"	"8"	"10"	"1"	"64"	"15"	"343"	"1"	"1"	"1"	"1"	"1"	"3"	"1"	"450"
"219"	"180A"	"3"	"5"	"1"	"41"	"17"	"344"	"2"	"0"	"2"	"0"	"0"	"0"	"2"	"417"
"220"	"181"	"4"	"29"	"1"	"108"	"39"	"235"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"421"
"221"	"182"	"5"	"23"	"2"	"99"	"20"	"407"	"2"	"3"	"0"	"2"	"3"	"4"	"2"	"572"
"222"	"183"	"4"	"31"	"3"	"353"	"137"	"20"	"1"	"11"	"7"	"5"	"5"	"4"	"8"	"589"
"223"	"184"	"2"	"27"	"3"	"283"	"112"	"65"	"3"	"2"	"3"	"1"	"2"	"5"	"4"	"512"
"224"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"sembly Constituency :054---Kishanganj                                                                                                                                       No of Voters :211836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"No of valid votes caste in favour oTf otal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"BOOTH NO"	"ABUL KALAM AZAD"	"TASIR UDDIN"	"DILIP KUMAR RAM"	"DR MOHAMMAD
JAWAID"	"MOHAMMAD KALIM UDDIN"	"SWEETY SINGH"	"MAHABIR CHAUHAN"	"MOHAMMAD NISSAR ALAM"	"SANJAY KUMAR
SRIVASTWA"	"SAYED ASAD HASNAIN"	"CHOTE LAL MAHTO"	"MOHAMMAD NOORUL
HAQUE"	"RAJU RANJAN"	"Total"
"229"	"185"	"2"	"26"	"3"	"347"	"130"	"59"	"1"	"2"	"4"	"1"	"3"	"4"	"8"	"590"
"230"	"186"	"6"	"11"	"2"	"245"	"99"	"135"	"1"	"0"	"2"	"2"	"3"	"1"	"5"	"512"
"231"	"187"	"0"	"6"	"3"	"31"	"9"	"423"	"3"	"8"	"1"	"1"	"0"	"1"	"3"	"489"
"232"	"188"	"1"	"2"	"1"	"99"	"30"	"373"	"3"	"2"	"2"	"4"	"1"	"0"	"0"	"518"
"233"	"189"	"1"	"9"	"1"	"59"	"482"	"46"	"4"	"2"	"2"	"2"	"2"	"7"	"9"	"626"
"234"	"190"	"7"	"9"	"2"	"41"	"324"	"34"	"0"	"4"	"2"	"2"	"4"	"3"	"5"	"437"
"235"	"191"	"1"	"3"	"0"	"58"	"21"	"259"	"1"	"1"	"1"	"1"	"1"	"0"	"3"	"350"
"236"	"192"	"4"	"6"	"2"	"81"	"73"	"199"	"1"	"1"	"2"	"0"	"4"	"2"	"2"	"377"
"237"	"193"	"14"	"19"	"4"	"220"	"215"	"145"	"3"	"1"	"2"	"2"	"3"	"5"	"3"	"636"
"238"	"194"	"4"	"29"	"1"	"47"	"23"	"517"	"6"	"9"	"4"	"1"	"2"	"4"	"1"	"648"
"239"	"195"	"4"	"30"	"3"	"44"	"42"	"598"	"4"	"8"	"2"	"1"	"2"	"1"	"9"	"748"
"240"	"196"	"3"	"4"	"0"	"63"	"19"	"350"	"3"	"5"	"6"	"3"	"6"	"2"	"7"	"471"
"241"	"197"	"11"	"8"	"0"	"29"	"26"	"463"	"8"	"5"	"8"	"1"	"4"	"2"	"3"	"568"
"242"	"198"	"10"	"5"	"2"	"55"	"68"	"741"	"9"	"10"	"5"	"2"	"4"	"0"	"9"	"920"
"243"	"199"	"4"	"4"	"4"	"30"	"59"	"383"	"6"	"8"	"4"	"2"	"0"	"2"	"3"	"509"
"244"	"199A"	"4"	"9"	"0"	"79"	"55"	"324"	"3"	"5"	"4"	"4"	"2"	"2"	"9"	"500"
"245"	"200"	"1"	"15"	"1"	"44"	"15"	"384"	"5"	"5"	"2"	"1"	"4"	"0"	"11"	"488"
"246"	"201"	"6"	"11"	"0"	"32"	"36"	"323"	"5"	"6"	"4"	"0"	"1"	"3"	"16"	"443"
"247"	"202"	"6"	"24"	"4"	"76"	"24"	"515"	"9"	"15"	"18"	"5"	"8"	"3"	"22"	"729"
"248"	"203"	"4"	"15"	"4"	"49"	"202"	"481"	"4"	"13"	"14"	"5"	"4"	"6"	"4"	"805"
"249"	"204"	"10"	"10"	"4"	"60"	"434"	"56"	"3"	"0"	"2"	"2"	"2"	"5"	"3"	"591"
"250"	"205"	"4"	"4"	"2"	"27"	"175"	"228"	"4"	"3"	"6"	"3"	"0"	"3"	"0"	"459"
"251"	"206"	"3"	"21"	"4"	"65"	"280"	"83"	"4"	"5"	"2"	"3"	"2"	"7"	"9"	"488"
"252"	"206A"	"5"	"8"	"3"	"43"	"269"	"129"	"3"	"9"	"4"	"3"	"0"	"5"	"4"	"485"
"253"	"207"	"4"	"10"	"2"	"143"	"83"	"242"	"4"	"2"	"4"	"6"	"4"	"5"	"12"	"521"
"254"	"207A"	"2"	"21"	"2"	"73"	"82"	"169"	"4"	"2"	"5"	"1"	"4"	"4"	"3"	"372"
"255"	"208"	"3"	"10"	"1"	"60"	"147"	"239"	"5"	"4"	"6"	"0"	"0"	"3"	"4"	"482"
"256"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"sembly Constituency :054---Kishanganj                                                                                                                                       No of Voters :211836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"No of valid votes caste in favour oTf otal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"BOOTH NO"	"ABUL KALAM AZAD"	"TASIR UDDIN"	"DILIP KUMAR RAM"	"DR MOHAMMAD
JAWAID"	"MOHAMMAD KALIM UDDIN"	"SWEETY SINGH"	"MAHABIR CHAUHAN"	"MOHAMMAD NISSAR ALAM"	"SANJAY KUMAR
SRIVASTWA"	"SAYED ASAD HASNAIN"	"CHOTE LAL MAHTO"	"MOHAMMAD NOORUL
HAQUE"	"RAJU RANJAN"	"Total"
"261"	"209"	"8"	"13"	"3"	"112"	"209"	"262"	"8"	"6"	"4"	"0"	"0"	"3"	"7"	"635"
"262"	"210"	"2"	"16"	"3"	"140"	"103"	"150"	"5"	"9"	"8"	"1"	"10"	"2"	"12"	"461"
"263"	"211"	"14"	"180"	"7"	"114"	"46"	"177"	"6"	"14"	"7"	"8"	"5"	"11"	"6"	"595"
"264"	"212"	"8"	"125"	"3"	"336"	"38"	"178"	"6"	"3"	"8"	"6"	"6"	"8"	"19"	"744"
"265"	"213"	"10"	"59"	"6"	"202"	"191"	"112"	"1"	"0"	"2"	"1"	"2"	"1"	"2"	"589"
"266"	"Total:"	"3626"	"22070"	"1159"	"38840"	"8290"	"38594"	"1198"	"3687"	"1299"	"652"	"1121"	"1497"	"1800"	"123833"
"267"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"ostal Ballo"	"0"	"4"	"0"	"27"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"42"
"269"	"Grand To"	"3626"	"22074"	"1159"	"38867"	"8291"	"38603"	"1198"	"3687"	"1299"	"652"	"1121"	"1498"	"1800"	"123875"
"270"	"Place:                                                                                                                                                         Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"Date: 24/11/2010                                                                                                                     Assembly Constituency :054---Kishanganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
