"No..and.Name.of.Assembly.Constituency...114.Manjhi."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"1"	"Total No. of Electors in Assembly Consitituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FORM  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"FINAL  RESULT  SHEET [ SEE  RULE  56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"ELECTION  TO  THE  114 -MANJHI  LEGISLATIVE ASSEMBLY  CONSTITUENCY  2010 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Round No. - 01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Sl. No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"10"	""	""	"Krishna Mishra"	"Gautam Singh"	"Budhan Prasad Yadav"	"Satyendra Yadav"	"Surendra Prasad Gupta"	"Hem Narayan Singh"	"Sujit Puri"	"Abdul Kadir Khan"	"Ashok Kumar Singh"	"Om Prakash Prasad"	"Ghanshyam Singh,
Alias- Pappu"	"Jitendra Kumar Singh"	"Dalan Prasad Yadav"	"Din Dayal Singh"	"Manoj Kumar Tiwary"	"Mukesh Kumar"	"Mustafa Khan"	"Rabindra Nath Mishra"	"Rana Pratap Singh"	"Ram narayan Yadav"	"Rinku Devi"	"Subash Singh"	"Hasmuddin Khan"	""
"116"	"43"	"eè;  fo| ky;  yxquh"	"12"	"323"	"32"	"10"	"2"	"130"	"8"	"2"	"3"	"72"	"3"	"10"	"4"	"5"	"9"	"3"	"14"	"26"	"6"	"6"	"2"	"15"	"9"	"706"
"117"	"44"	"eè;  fo| ky;  rkt i qj"	"4"	"63"	"4"	"7"	"2"	"75"	"1"	"0"	"6"	"6"	"1"	"3"	"3"	"2"	"3"	"1"	"9"	"108"	"5"	"2"	"3"	"5"	"5"	"318"
"118"	"45"	"i zkFkfed fo| ky;  rkt i qj"	"6"	"143"	"7"	"2"	"9"	"79"	"1"	"2"	"1"	"17"	"2"	"2"	"3"	"9"	"8"	"5"	"17"	"149"	"4"	"4"	"4"	"8"	"9"	"491"
"119"	"46"	"ogqèkUèkh l g; ksx l fefr] rkt i qj"	"2"	"98"	"27"	"8"	"3"	"238"	"2"	"4"	"1"	"34"	"9"	"6"	"5"	"3"	"10"	"4"	"4"	"117"	"4"	"2"	"0"	"7"	"2"	"590"
"120"	"47"	"mRdzfer i zkFkfed fo| ky;  >[kM+k"	"2"	"174"	"1"	"6"	"1"	"27"	"0"	"1"	"0"	"2"	"1"	"0"	"2"	"0"	"6"	"1"	"0"	"24"	"0"	"0"	"1"	"0"	"2"	"251"
"121"	"48"	"mRdzfer e/;  fo| ky;  Qqyofj; k"	"9"	"130"	"12"	"11"	"51"	"194"	"7"	"3"	"0"	"58"	"10"	"23"	"9"	"6"	"15"	"5"	"13"	"168"	"12"	"1"	"1"	"9"	"4"	"751"
"122"	"49"	"dU; k i zkFkfed fo| ky; ] rkt i qj"	"2"	"198"	"15"	"2"	"8"	"89"	"1"	"1"	"1"	"49"	"2"	"6"	"4"	"3"	"8"	"1"	"13"	"72"	"7"	"1"	"2"	"11"	"5"	"501"
"123"	"50"	"dU; k i zkFkfed fo| ky;  MqekbZx<"	"3"	"120"	"7"	"4"	"7"	"81"	"2"	"2"	"0"	"29"	"3"	"6"	"3"	"2"	"3"	"4"	"20"	"167"	"5"	"9"	"4"	"5"	"18"	"504"
"124"	"51"	"mrØfer e/;  fo| ky; ] MqekbZx<+"	"8"	"100"	"5"	"7"	"8"	"38"	"0"	"10"	"0"	"3"	"0"	"6"	"1"	"7"	"1"	"4"	"13"	"191"	"5"	"1"	"0"	"2"	"8"	"418"
"125"	"52"	"e/;  fo| ky;  xSjri qj"	"14"	"87"	"36"	"8"	"19"	"49"	"2"	"5"	"4"	"4"	"2"	"2"	"2"	"9"	"4"	"10"	"22"	"329"	"15"	"3"	"4"	"8"	"10"	"648"
"126"	"53"	"i zkFkfed fo| ky;  l ysei qj"	"6"	"70"	"3"	"3"	"5"	"38"	"0"	"2"	"19"	"0"	"0"	"1"	"1"	"14"	"5"	"6"	"10"	"110"	"0"	"2"	"0"	"0"	"1"	"296"
"127"	"Total"	""	"81"	"1998"	"168"	"91"	"166"	"1239"	"27"	"39"	"41"	"401"	"36"	"71"	"48"	"72"	"89"	"47"	"162"	"1680"	"71"	"35"	"23"	"79"	"90"	"6754"
"128"	"B.F"	""	"278"	"3827"	"1154"	"501"	"559"	"3058"	"127"	"98"	"150"	"2732"	"245"	"2387"	"173"	"580"	"356"	"137"	"243"	"1548"	"249"	"102"	"81"	"182"	"184"	"18951"
"129"	"G.Total"	""	"359"	"5825"	"1322"	"592"	"725"	"4297"	"154"	"137"	"191"	"3133"	"281"	"2458"	"221"	"652"	"445"	"184"	"405"	"3228"	"320"	"137"	"104"	"261"	"274"	"25705"
"130"	"Assistant Returning"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"FORM  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"FINAL  RESULT  SHEET [ SEE  RULE  56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)SEMBLY  CONSTITUENCY  2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"No. and Name of Assembly Constituency - 114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"Total No. of Electors in Assembly Consitituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"(To be used both for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"Round No. - 05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Sl. No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"145"	""	""	"Krishna Mishra"	"Gautam Singh"	"Budhan Prasad Yadav"	"Satyendra Yadav"	"Surendra Prasad Gupta"	"Hem Narayan Singh"	"Sujit Puri"	"Abdul Kadir Khan"	"Ashok Kumar Singh"	"Om Prakash Prasad"	"Ghanshyam Singh,
Alias- Pappu"	"Jitendra Kumar Singh"	"Dalan Prasad Yadav"	"Din Dayal Singh"	"Manoj Kumar Tiwary"	"Mukesh Kumar"	"Mustafa Khan"	"Rabindra Nath Mishra"	"Rana Pratap Singh"	"Ram narayan Yadav"	"Rinku Devi"	"Subash Singh"	"Hasmuddin Khan"	""
"146"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"147"	"54"	"mRØfer e/;  fo| ky; ] ?kksjgV efB; k"	"0"	"47"	"24"	"3"	"1"	"2"	"5"	"0"	"1"	"1"	"0"	"1"	"0"	"3"	"1"	"0"	"20"	"280"	"4"	"3"	"2"	"2"	"6"	"406"
"148"	"55"	"mRØfer e/;  fo| ky; ] ?kksjgV nf{k.kh Hkkx"	"2"	"8"	"5"	"2"	"2"	"2"	"1"	"1"	"1"	"13"	"0"	"1"	"2"	"2"	"5"	"1"	"27"	"321"	"3"	"0"	"0"	"1"	"0"	"400"
"149"	"56"	"mRØfer e/;  fo| ky; ] ?kksjgV mÙkjh Hkkx"	"3"	"6"	"60"	"6"	"6"	"12"	"1"	"3"	"3"	"65"	"4"	"4"	"5"	"10"	"1"	"7"	"48"	"400"	"10"	"10"	"5"	"4"	"8"	"681"
"150"	"57"	"mPp fo| ky;  enul kB i qjc Hkkx"	"3"	"203"	"13"	"9"	"11"	"51"	"3"	"5"	"0"	"0"	"6"	"1"	"5"	"2"	"12"	"3"	"12"	"94"	"13"	"5"	"1"	"3"	"4"	"459"
"151"	"58"	"mPp fo| ky;  enul kB i f' pe Hkkx"	"6"	"171"	"11"	"3"	"29"	"97"	"2"	"0"	"3"	"28"	"4"	"1"	"0"	"5"	"7"	"1"	"3"	"33"	"16"	"0"	"1"	"4"	"4"	"429"
"152"	"59"	"i apk; r Hkou enul kB"	"2"	"140"	"14"	"7"	"16"	"92"	"3"	"1"	"2"	"0"	"2"	"1"	"2"	"4"	"1"	"3"	"3"	"7"	"16"	"0"	"1"	"3"	"3"	"323"
"153"	"60"	"i zkFkfed mnqZ fo| ky;  cxksbZ; k"	"7"	"175"	"29"	"20"	"20"	"132"	"6"	"2"	"2"	"31"	"8"	"29"	"12"	"5"	"7"	"1"	"9"	"21"	"4"	"1"	"1"	"13"	"6"	"541"
"154"	"61"	"mRØfer e/;  fo| ky; ] Hkjofy; k"	"4"	"252"	"7"	"17"	"2"	"138"	"1"	"0"	"8"	"4"	"3"	"14"	"3"	"5"	"6"	"0"	"7"	"4"	"8"	"1"	"2"	"6"	"6"	"498"
"155"	"62"	"i zkFkfed fo| ky;  dchji kj"	"11"	"234"	"18"	"39"	"8"	"75"	"8"	"2"	"3"	"2"	"2"	"16"	"5"	"9"	"18"	"5"	"13"	"104"	"8"	"2"	"2"	"10"	"4"	"598"
"156"	"63"	"eè;  fo| ky; ] cxjk] cka; k Hkkx"	"4"	"157"	"5"	"18"	"3"	"47"	"0"	"0"	"23"	"18"	"0"	"5"	"3"	"1"	"1"	"0"	"0"	"8"	"34"	"0"	"1"	"1"	"0"	"329"
"157"	"3  ¼d"	"½eè;  fo| ky; ] cxjk] nka; k Hkkx"	"4"	"65"	"3"	"5"	"2"	"111"	"0"	"2"	"111"	"2"	"0"	"4"	"1"	"4"	"8"	"0"	"2"	"9"	"9"	"1"	"0"	"3"	"1"	"347"
"158"	"64"	"i zkFkfed fo+| ky;  caxjk fcuVksyh"	"3"	"175"	"25"	"129"	"10"	"35"	"8"	"5"	"14"	"4"	"5"	"10"	"12"	"4"	"12"	"3"	"11"	"51"	"21"	"11"	"5"	"10"	"9"	"572"
"159"	"65"	"i apk; r Hkou cxjk"	"4"	"161"	"7"	"10"	"2"	"53"	"1"	"1"	"31"	"3"	"0"	"10"	"6"	"1"	"2"	"3"	"9"	"64"	"43"	"1"	"4"	"4"	"3"	"423"
"160"	"66"	"mRØfer e/;  fo| ky; ] uoyi qj i f' peh Hkkx"	"8"	"159"	"7"	"8"	"6"	"77"	"3"	"0"	"0"	"16"	"4"	"10"	"2"	"4"	"11"	"2"	"5"	"10"	"7"	"4"	"5"	"8"	"5"	"361"
"161"	"Total"	""	"61"	"1953"	"228"	"276"	"118"	"924"	"42"	"22"	"202"	"187"	"38"	"107"	"58"	"59"	"92"	"29"	"169"	"1406"	"196"	"39"	"30"	"72"	"59"	"6367"
"162"	"B.F."	""	"359"	"5825"	"1322"	"592"	"725"	"4297"	"154"	"137"	"191"	"3133"	"281"	"2458"	"221"	"652"	"445"	"184"	"405"	"3228"	"320"	"137"	"104"	"261"	"274"	"25705"
"163"	"G.Total"	""	"420"	"7778"	"1550"	"868"	"843"	"5221"	"196"	"159"	"393"	"3320"	"319"	"2565"	"279"	"711"	"537"	"213"	"574"	"4634"	"516"	"176"	"134"	"333"	"333"	"32072"
"164"	"Assistant Returning"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"FORM  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"FINAL  RESULT  SHEET [ SEE  RULE  56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"ELECTION  TO  THE  114 -MANJHI  LEGISLATIVE ASSEMBLY  CONSTITUENCY  2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"No. and Name of Assembly Constituency - 114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Total No. of Electors in Assembly Consitituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"(To be used both for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Round No. - 06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Sl. No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"179"	""	""	"Krishna Mishra"	"Gautam Singh"	"Budhan Prasad Yadav"	"Satyendra Yadav"	"Surendra Prasad Gupta"	"Hem Narayan Singh"	"Sujit Puri"	"Abdul Kadir Khan"	"Ashok Kumar Singh"	"Om Prakash Prasad"	"Ghanshyam Singh,
Alias- Pappu"	"Jitendra Kumar Singh"	"Dalan Prasad Yadav"	"Din Dayal Singh"	"Manoj Kumar Tiwary"	"Mukesh Kumar"	"Mustafa Khan"	"Rabindra Nath Mishra"	"Rana Pratap Singh"	"Ram narayan Yadav"	"Rinku Devi"	"Subash Singh"	"Hasmuddin Khan"	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"181"	"67"	"mRØfer e/;  fo| ky; ] uoyi qj i wohZ Hkkx"	"9"	"153"	"49"	"13"	"17"	"109"	"5"	"3"	"0"	"9"	"10"	"25"	"12"	"15"	"3"	"11"	"6"	"3"	"8"	"5"	"3"	"11"	"7"	"486"
"182"	"68"	"mnwZ e/;  fo| ky;  fl al okZ"	"3"	"75"	"5"	"22"	"9"	"133"	"1"	"3"	"0"	"32"	"6"	"21"	"18"	"1"	"14"	"1"	"1"	"10"	"1"	"1"	"0"	"3"	"0"	"360"
"183"	"69"	"i zkFkfed fo| ky;  l ksfu; k"	"4"	"140"	"7"	"24"	"2"	"102"	"1"	"1"	"7"	"1"	"7"	"13"	"5"	"6"	"13"	"2"	"2"	"10"	"6"	"3"	"6"	"5"	"3"	"370"
"184"	"70"	"eè;  fo| ky;  yst qvkj mrj Hkkx"	"4"	"201"	"2"	"12"	"18"	"34"	"6"	"0"	"4"	"58"	"14"	"147"	"2"	"5"	"11"	"4"	"1"	"23"	"1"	"2"	"0"	"0"	"1"	"550"
"185"	"71"	"eè;  fo| ky;  yst qvkj nf{k.k Hkkx"	"6"	"223"	"6"	"11"	"2"	"16"	"5"	"3"	"3"	"37"	"4"	"88"	"3"	"3"	"0"	"2"	"5"	"2"	"5"	"4"	"2"	"3"	"4"	"437"
"186"	"72"	"i zkFkfed fo| ky;  l kèki qj NRrj"	"1"	"186"	"8"	"44"	"11"	"118"	"7"	"3"	"6"	"4"	"6"	"15"	"4"	"8"	"4"	"5"	"2"	"8"	"15"	"6"	"1"	"2"	"5"	"469"
"187"	"73"	"i zkFkfed fo| ky; ] cuokj] cka; k Hkkx"	"4"	"77"	"1"	"5"	"2"	"122"	"0"	"0"	"35"	"4"	"6"	"7"	"3"	"27"	"3"	"0"	"2"	"2"	"3"	"3"	"1"	"4"	"2"	"313"
"188"	"3  ¼d"	"½i zkFkfed fo| ky; ] cuokj] nka; k Hkkx"	"8"	"101"	"11"	"3"	"24"	"82"	"8"	"0"	"13"	"44"	"3"	"9"	"4"	"8"	"8"	"4"	"3"	"3"	"4"	"2"	"2"	"5"	"2"	"351"
"189"	"74"	"i zkFkfed fo| ky;  ejgkWWa"	"2"	"100"	"23"	"61"	"5"	"23"	"2"	"9"	"7"	"49"	"4"	"1"	"4"	"2"	"4"	"1"	"19"	"27"	"1"	"2"	"1"	"0"	"0"	"347"
"190"	"75"	"i zkFkfed fo| ky;  uVoj i j' kqjke i qj"	"5"	"113"	"8"	"27"	"3"	"155"	"2"	"0"	"6"	"2"	"3"	"10"	"1"	"3"	"3"	"1"	"4"	"3"	"0"	"0"	"2"	"5"	"0"	"356"
"191"	"76"	"dU; k i zkFkfed fo| ky;  l cnjk"	"8"	"159"	"11"	"10"	"53"	"31"	"0"	"2"	"10"	"1"	"12"	"1"	"40"	"11"	"3"	"4"	"0"	"10"	"5"	"2"	"4"	"5"	"5"	"387"
"192"	"77"	"mRØfer e/;  fo| ky;  vfy; kl i qj"	"5"	"28"	"2"	"4"	"2"	"2"	"1"	"0"	"1"	"1"	"0"	"2"	"21"	"1"	"2"	"2"	"3"	"19"	"1"	"1"	"1"	"0"	"1"	"100"
"193"	"78"	"i zkFkfed fo| ky;  xkSjh dU; k"	"9"	"82"	"22"	"7"	"10"	"138"	"7"	"2"	"1"	"0"	"12"	"5"	"23"	"1"	"4"	"1"	"3"	"10"	"6"	"2"	"1"	"6"	"1"	"353"
"194"	"79"	"i apk; r Hkou uVojxksi h mRrjh Hkkx"	"9"	"6"	"28"	"141"	"6"	"22"	"1"	"0"	"0"	"16"	"0"	"5"	"147"	"4"	"3"	"1"	"10"	"27"	"1"	"9"	"4"	"7"	"5"	"452"
"195"	"Total"	""	"77"	"1644"	"183"	"384"	"164"	"1087"	"46"	"26"	"93"	"258"	"87"	"349"	"287"	"95"	"75"	"39"	"61"	"157"	"57"	"42"	"28"	"56"	"36"	"5331"
"196"	"B.F."	""	"420"	"7778"	"1550"	"868"	"843"	"5221"	"196"	"159"	"393"	"3320"	"319"	"2565"	"279"	"711"	"537"	"213"	"574"	"4634"	"516"	"176"	"134"	"333"	"333"	"32072"
"197"	"G.Total"	""	"497"	"9422"	"1733"	"1252"	"1007"	"6308"	"242"	"185"	"486"	"3578"	"406"	"2914"	"566"	"806"	"612"	"252"	"635"	"4791"	"573"	"218"	"162"	"389"	"369"	"37403"
"198"	"Assistant Returning"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"FORM  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"FINAL  RESULT  SHEET [ SEE  RULE  56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"ELECTION  TO  THE  114 -MANJHI  LEGISLATIVE ASSEMBLY  CONSTITUENCY  2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com) ssembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"No. and Name of Assembly Constituency - 114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"Total No. of Electors in Assembly Consitituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Round No. - 07"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"Sl. No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"212"	""	""	"Krishna Mishra"	"Gautam Singh"	"Budhan Prasad Yadav"	"Satyendra Yadav"	"Surendra Prasad Gupta"	"Hem Narayan Singh"	"Sujit Puri"	"Abdul Kadir Khan"	"Ashok Kumar Singh"	"Om Prakash Prasad"	"Ghanshyam Singh,
Alias- Pappu"	"Jitendra Kumar Singh"	"Dalan Prasad Yadav"	"Din Dayal Singh"	"Manoj Kumar Tiwary"	"Mukesh Kumar"	"Mustafa Khan"	"Rabindra Nath Mishra"	"Rana Pratap Singh"	"Ram narayan Yadav"	"Rinku Devi"	"Subash Singh"	"Hasmuddin Khan"	""
"213"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"214"	"80"	"izkFkfed fo|ky; jlhniqj"	"11"	"90"	"26"	"18"	"2"	"86"	"3"	"1"	"7"	"1"	"6"	"18"	"118"	"2"	"2"	"1"	"7"	"32"	"4"	"1"	"0"	"4"	"2"	"442"
"215"	"81"	"eè; fo|ky; uUniqj iw- Hkkx"	"6"	"30"	"32"	"17"	"2"	"5"	"3"	"2"	"2"	"1"	"4"	"4"	"266"	"2"	"2"	"1"	"6"	"7"	"3"	"2"	"2"	"3"	"5"	"407"
"216"	"82"	"eè; fo|ky; uUniqj if'pe- Hkkx"	"6"	"13"	"61"	"21"	"1"	"8"	"0"	"5"	"7"	"5"	"10"	"5"	"233"	"4"	"3"	"4"	"6"	"3"	"1"	"1"	"0"	"1"	"1"	"399"
"217"	"83"	"izkFkfed fo|ky; ujify;k fgUnh"	"7"	"148"	"42"	"16"	"121"	"143"	"2"	"2"	"4"	"21"	"6"	"6"	"20"	"3"	"10"	"4"	"11"	"2"	"8"	"4"	"4"	"13"	"3"	"600"
"218"	"84"	"izkFkfed fo|ky; lksuojlk efB;k"	"10"	"137"	"22"	"11"	"37"	"31"	"14"	"1"	"11"	"41"	"4"	"6"	"22"	"4"	"10"	"1"	"11"	"46"	"2"	"9"	"3"	"7"	"8"	"448"
"219"	"85"	"izkFkfed fo|ky; lksucjlk mnwZ"	"10"	"229"	"35"	"16"	"63"	"56"	"1"	"3"	"2"	"9"	"2"	"18"	"75"	"5"	"14"	"0"	"2"	"36"	"1"	"3"	"4"	"4"	"4"	"592"
"220"	"86"	"eè; fo|ky; Mqejh"	"16"	"88"	"26"	"11"	"9"	"54"	"3"	"6"	"3"	"1"	"5"	"14"	"5"	"4"	"8"	"4"	"5"	"13"	"239"	"2"	"5"	"16"	"6"	"543"
"221"	"87"	"eè; fo|ky; pfd;k"	"3"	"41"	"16"	"6"	"88"	"68"	"6"	"2"	"3"	"6"	"3"	"9"	"50"	"7"	"8"	"3"	"2"	"8"	"21"	"2"	"3"	"2"	"3"	"360"
"222"	"88"	"iapk;r Hkou Mqejh"	"1"	"88"	"53"	"3"	"3"	"67"	"1"	"1"	"4"	"11"	"8"	"7"	"8"	"4"	"5"	"1"	"12"	"47"	"284"	"9"	"9"	"12"	"6"	"644"
"223"	"89"	"dU;k izkFkfed fo|ky; Mqejh mrjh"	"4"	"85"	"98"	"6"	"9"	"54"	"2"	"1"	"0"	"2"	"7"	"13"	"13"	"9"	"8"	"2"	"1"	"8"	"75"	"3"	"2"	"3"	"7"	"412"
"224"	"90"	"dU;k izkFkfed fo|ky; Mqejh"	"20"	"34"	"18"	"2"	"6"	"50"	"3"	"5"	"6"	"0"	"2"	"7"	"4"	"3"	"75"	"0"	"8"	"45"	"95"	"2"	"6"	"8"	"4"	"403"
"225"	"91"	"izkFkfed fo|ky; Qrsgiqj]ljS;k"	"4"	"35"	"106"	"6"	"138"	"78"	"1"	"2"	"5"	"99"	"17"	"4"	"7"	"6"	"7"	"3"	"5"	"30"	"12"	"7"	"7"	"9"	"7"	"595"
"226"	"92"	"dU;k izkFkfed fo|ky;] esagnh xat"	"4"	"46"	"131"	"9"	"292"	"12"	"0"	"1"	"2"	"1"	"3"	"7"	"19"	"3"	"1"	"7"	"2"	"42"	"3"	"0"	"0"	"2"	"3"	"590"
"227"	"93"	"laLd`r ikB’kkyk] eka>h n0 Vksyk]"	"11"	"127"	"63"	"9"	"140"	"60"	"5"	"3"	"4"	"5"	"2"	"12"	"8"	"6"	"8"	"6"	"3"	"32"	"7"	"1"	"2"	"4"	"1"	"519"
"228"	"Total"	""	"113"	"1191"	"729"	"151"	"911"	"772"	"44"	"35"	"60"	"203"	"79"	"130"	"848"	"62"	"161"	"37"	"81"	"351"	"755"	"46"	"47"	"88"	"60"	"6954"
"229"	"B.F."	""	"497"	"9422"	"1733"	"1252"	"1007"	"6308"	"242"	"185"	"486"	"3578"	"406"	"2914"	"566"	"806"	"612"	"252"	"635"	"4791"	"573"	"218"	"162"	"389"	"369"	"37403"
