"Assembly.Constituency...113.EKMA"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 113-EKMA CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NO. OF VOTERS:- 213752"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	""	""	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CANDIDAT ES NAME"	""	"ARUN KR. SINGH"	""	"KAMESHWAR KR. SINGH"	""	"MANORANJAN SINGH"	""	"YOGENDRA SHARMA"	""	"SHEO KUMAR SINGH"	""	"PANKAJ KUMAR"	""	"RAJ KUMAR PATHAK"	""	"BINOD KUMAR BHARTI"	""	"AWDHESH SINGH"	""	"JAKIR HUSSAIN"	""	"PANKAJ RAJ"	""	"MANORANJAN KUMAR SINGH"	""	"RAJIV RANJAN MISHRA"	""	"RAMJI RAI"	""	"BINOD SINGH"	""	"BRINDA PATHAK"	""	"SANJAY KUMAR SINGH"	""	"SANJEEV KUMAR"	""	"TOTAL VALID VOTES"	""	""
"102"	"79"	""	"10"	""	"204"	""	"133"	""	"3"	""	"15"	""	"2"	""	"9"	""	"0"	""	"0"	""	"1"	""	"2"	""	"2"	""	"4"	""	"2"	""	"1"	""	"10"	""	"4"	""	"11"	""	"413"	""	""
"103"	"80"	""	"13"	""	"65"	""	"344"	""	"8"	""	"5"	""	"4"	""	"9"	""	"6"	""	"1"	""	"1"	""	"2"	""	"3"	""	"13"	""	"14"	""	"8"	""	"8"	""	"5"	""	"4"	""	"513"	""	""
"104"	"81"	""	"4"	""	"14"	""	"98"	""	"5"	""	"1"	""	"1"	""	"3"	""	"0"	""	"0"	""	"0"	""	"1"	""	"2"	""	"1"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"132"	""	""
"105"	"82"	""	"13"	""	"216"	""	"347"	""	"9"	""	"11"	""	"2"	""	"6"	""	"1"	""	"2"	""	"6"	""	"4"	""	"1"	""	"10"	""	"15"	""	"11"	""	"15"	""	"32"	""	"28"	""	"729"	""	""
"106"	"6"	""	"105"	""	"1310"	""	"3934"	""	"106"	""	"114"	""	"33"	""	"69"	""	"27"	""	"8"	""	"75"	""	"41"	""	"25"	""	"112"	""	"130"	""	"83"	""	"96"	""	"117"	""	"119"	""	"6504"	""	""
"107"	"83"	""	"11"	""	"158"	""	"292"	""	"54"	""	"25"	""	"7"	""	"8"	""	"63"	""	"4"	""	"6"	""	"4"	""	"1"	""	"19"	""	"23"	""	"16"	""	"17"	""	"5"	""	"4"	""	""	""	""
"108"	"84"	""	"2"	""	"108"	""	"146"	""	"4"	""	"23"	""	"4"	""	"3"	""	"2"	""	"3"	""	"2"	""	"4"	""	"4"	""	"9"	""	"8"	""	"5"	""	"7"	""	"2"	""	"1"	""	""	""	""
"109"	"85"	""	"9"	""	"164"	""	"264"	""	"4"	""	"9"	""	"2"	""	"4"	""	"2"	""	"0"	""	"2"	""	"13"	""	"4"	""	"20"	""	"31"	""	"10"	""	"17"	""	"2"	""	"8"	""	""	""	""
"110"	"86"	""	"1"	""	"15"	""	"227"	""	"2"	""	"1"	""	"0"	""	"3"	""	"1"	""	"1"	""	"0"	""	"1"	""	"0"	""	"2"	""	"1"	""	"3"	""	"1"	""	"0"	""	"1"	""	""	""	""
"111"	"87"	""	"2"	""	"47"	""	"446"	""	"8"	""	"22"	""	"4"	""	"5"	""	"0"	""	"0"	""	"2"	""	"16"	""	"5"	""	"16"	""	"25"	""	"10"	""	"10"	""	"3"	""	"1"	""	""	""	""
"112"	"88"	""	"10"	""	"41"	""	"597"	""	"13"	""	"10"	""	"1"	""	"9"	""	"2"	""	"0"	""	"4"	""	"1"	""	"1"	""	"12"	""	"4"	""	"1"	""	"3"	""	"4"	""	"0"	""	""	""	""
"113"	"89"	""	"6"	""	"136"	""	"212"	""	"5"	""	"30"	""	"1"	""	"4"	""	"2"	""	"2"	""	"4"	""	"4"	""	"1"	""	"10"	""	"3"	""	"3"	""	"7"	""	"5"	""	"1"	""	""	""	""
"114"	"90"	""	"7"	""	"184"	""	"139"	""	"2"	""	"5"	""	"3"	""	"1"	""	"0"	""	"0"	""	"2"	""	"1"	""	"1"	""	"0"	""	"3"	""	"1"	""	"1"	""	"3"	""	"1"	""	""	""	""
"115"	"90"	"A"	"8"	""	"93"	""	"152"	""	"6"	""	"6"	""	"0"	""	"2"	""	"2"	""	"0"	""	"1"	""	"1"	""	"1"	""	"6"	""	"8"	""	"6"	""	"1"	""	"5"	""	"6"	""	""	""	""
"116"	"91"	""	"7"	""	"56"	""	"191"	""	"2"	""	"18"	""	"2"	""	"1"	""	"3"	""	"0"	""	"0"	""	"2"	""	"3"	""	"3"	""	"9"	""	"1"	""	"8"	""	"10"	""	"10"	""	""	""	""
"117"	"92"	""	"57"	""	"47"	""	"227"	""	"2"	""	"6"	""	"2"	""	"4"	""	"1"	""	"1"	""	"4"	""	"2"	""	"0"	""	"1"	""	"8"	""	"4"	""	"11"	""	"14"	""	"1"	""	""	""	""
"118"	"93"	""	"16"	""	"466"	""	"83"	""	"2"	""	"79"	""	"5"	""	"4"	""	"14"	""	"0"	""	"3"	""	"1"	""	"4"	""	"7"	""	"2"	""	"4"	""	"2"	""	"55"	""	"2"	""	""	""	""
"119"	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"469"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"211"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"470"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"722"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"717"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"337"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"565"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"622"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"713"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"436"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"304"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"326"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"392"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"749"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"94"	""	"3"	""	"120"	""	"130"	""	"2"	""	"13"	""	"1"	""	"5"	""	"2"	""	"0"	""	"1"	""	"2"	""	"0"	""	"2"	""	"6"	""	"2"	""	"2"	""	"4"	""	"7"	""	""	""	""
"137"	"95"	""	"8"	""	"20"	""	"338"	""	"4"	""	"11"	""	"6"	""	"7"	""	"3"	""	"0"	""	"5"	""	"9"	""	"2"	""	"11"	""	"8"	""	"5"	""	"10"	""	"4"	""	"6"	""	""	""	""
"138"	"7"	""	"147"	""	"1655"	""	"3444"	""	"110"	""	"258"	""	"38"	""	"60"	""	"97"	""	"11"	""	"36"	""	"61"	""	"27"	""	"118"	""	"139"	""	"71"	""	"97"	""	"116"	""	"49"	""	"6534"	""	""
"139"	"96"	""	"7"	""	"101"	""	"141"	""	"5"	""	"94"	""	"3"	""	"6"	""	"6"	""	"0"	""	"3"	""	"1"	""	"2"	""	"1"	""	"2"	""	"1"	""	"4"	""	"61"	""	"1"	""	"439"	""	""
"140"	"96"	"A"	"4"	""	"82"	""	"170"	""	"4"	""	"24"	""	"1"	""	"5"	""	"3"	""	"0"	""	"6"	""	"2"	""	"0"	""	"1"	""	"2"	""	"2"	""	"2"	""	"20"	""	"0"	""	"328"	""	""
"141"	"97"	""	"5"	""	"200"	""	"421"	""	"9"	""	"2"	""	"7"	""	"10"	""	"1"	""	"2"	""	"10"	""	"4"	""	"2"	""	"7"	""	"6"	""	"7"	""	"9"	""	"4"	""	"3"	""	"709"	""	""
"142"	"98"	""	"4"	""	"191"	""	"275"	""	"7"	""	"7"	""	"0"	""	"2"	""	"2"	""	"0"	""	"0"	""	"3"	""	"1"	""	"5"	""	"4"	""	"1"	""	"5"	""	"12"	""	"11"	""	"530"	""	""
"143"	"99"	""	"9"	""	"222"	""	"291"	""	"15"	""	"13"	""	"1"	""	"9"	""	"1"	""	"0"	""	"1"	""	"3"	""	"2"	""	"6"	""	"9"	""	"6"	""	"6"	""	"19"	""	"9"	""	"622"	""	""
"144"	"100"	""	"2"	""	"10"	""	"31"	""	"1"	""	"3"	""	"0"	""	"0"	""	"9"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"1"	""	"1"	""	"1"	""	"620"	""	"7"	""	"687"	""	""
"145"	"101"	""	"11"	""	"285"	""	"179"	""	"7"	""	"5"	""	"12"	""	"3"	""	"14"	""	"0"	""	"4"	""	"2"	""	"1"	""	"10"	""	"4"	""	"11"	""	"8"	""	"44"	""	"20"	""	"620"	""	""
"146"	"102"	""	"17"	""	"264"	""	"229"	""	"14"	""	"18"	""	"0"	""	"5"	""	"5"	""	"2"	""	"0"	""	"2"	""	"3"	""	"15"	""	"13"	""	"18"	""	"13"	""	"19"	""	"24"	""	"661"	""	""
"147"	"103"	""	"6"	""	"79"	""	"150"	""	"2"	""	"23"	""	"1"	""	"5"	""	"7"	""	"0"	""	"0"	""	"2"	""	"1"	""	"2"	""	"14"	""	"7"	""	"6"	""	"29"	""	"3"	""	"337"	""	""
"148"	"104"	""	"10"	""	"70"	""	"162"	""	"13"	""	"10"	""	"0"	""	"3"	""	"6"	""	"1"	""	"0"	""	"0"	""	"2"	""	"1"	""	"4"	""	"1"	""	"7"	""	"6"	""	"0"	""	"296"	""	""
"149"	"105"	""	"5"	""	"94"	""	"197"	""	"47"	""	"1"	""	"3"	""	"3"	""	"7"	""	"0"	""	"1"	""	"0"	""	"1"	""	"3"	""	"4"	""	"3"	""	"2"	""	"15"	""	"3"	""	"389"	""	""
"150"	"106"	""	"8"	""	"164"	""	"259"	""	"12"	""	"13"	""	"8"	""	"9"	""	"5"	""	"2"	""	"2"	""	"2"	""	"1"	""	"8"	""	"12"	""	"10"	""	"15"	""	"36"	""	"18"	""	"584"	""	""
"151"	"107"	""	"12"	""	"191"	""	"176"	""	"86"	""	"12"	""	"3"	""	"2"	""	"2"	""	"2"	""	"0"	""	"1"	""	"1"	""	"8"	""	"2"	""	"6"	""	"9"	""	"36"	""	"8"	""	"557"	""	""
"152"	"108"	""	"7"	""	"106"	""	"188"	""	"4"	""	"38"	""	"15"	""	"4"	""	"8"	""	"1"	""	"2"	""	"4"	""	"2"	""	"2"	""	"2"	""	"4"	""	"7"	""	"13"	""	"2"	""	"409"	""	""
"153"	"8"	""	"107"	""	"2059"	""	"2869"	""	"226"	""	"263"	""	"54"	""	"66"	""	"76"	""	"10"	""	"29"	""	"26"	""	"20"	""	"69"	""	"79"	""	"78"	""	"94"	""	"934"	""	"109"	""	"7168"	""	""
"154"	"109"	""	"5"	""	"139"	""	"234"	""	"16"	""	"72"	""	"5"	""	"6"	""	"11"	""	"1"	""	"0"	""	"3"	""	"5"	""	"6"	""	"5"	""	"5"	""	"11"	""	"83"	""	"10"	""	"617"	""	""
"155"	"110"	""	"3"	""	"90"	""	"233"	""	"11"	""	"18"	""	"2"	""	"1"	""	"5"	""	"1"	""	"2"	""	"2"	""	"5"	""	"6"	""	"8"	""	"3"	""	"4"	""	"22"	""	"10"	""	"426"	""	""
"156"	"111"	""	"2"	""	"42"	""	"181"	""	"15"	""	"11"	""	"5"	""	"1"	""	"6"	""	"1"	""	"2"	""	"1"	""	"0"	""	"4"	""	"0"	""	"2"	""	"2"	""	"2"	""	"1"	""	"278"	""	""
"157"	"112"	""	"11"	""	"128"	""	"135"	""	"42"	""	"8"	""	"2"	""	"2"	""	"3"	""	"1"	""	"1"	""	"2"	""	"2"	""	"7"	""	"7"	""	"59"	""	"6"	""	"7"	""	"3"	""	"426"	""	""
"158"	"113"	""	"2"	""	"82"	""	"174"	""	"15"	""	"5"	""	"4"	""	"1"	""	"3"	""	"3"	""	"0"	""	"2"	""	"0"	""	"10"	""	"7"	""	"52"	""	"9"	""	"28"	""	"6"	""	"403"	""	""
"159"	"114"	""	"9"	""	"154"	""	"304"	""	"4"	""	"8"	""	"1"	""	"6"	""	"5"	""	"0"	""	"5"	""	"4"	""	"0"	""	"6"	""	"6"	""	"1"	""	"11"	""	"9"	""	"5"	""	"538"	""	""
"160"	"115"	""	"17"	""	"185"	""	"276"	""	"5"	""	"4"	""	"3"	""	"4"	""	"3"	""	"2"	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	"3"	""	"14"	""	"7"	""	"526"	""	""
"161"	"116"	""	"10"	""	"340"	""	"162"	""	"6"	""	"34"	""	"2"	""	"1"	""	"2"	""	"1"	""	"0"	""	"4"	""	"2"	""	"9"	""	"11"	""	"13"	""	"18"	""	"5"	""	"8"	""	"628"	""	""
"162"	"117"	""	"12"	""	"295"	""	"163"	""	"8"	""	"14"	""	"3"	""	"1"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	""	"3"	""	"2"	""	"6"	""	"6"	""	"10"	""	"6"	""	"531"	""	""
"163"	"118"	""	"5"	""	"165"	""	"222"	""	"3"	""	"6"	""	"4"	""	"1"	""	"1"	""	"0"	""	"1"	""	"3"	""	"1"	""	"4"	""	"3"	""	"2"	""	"2"	""	"2"	""	"0"	""	"425"	""	""
"164"	"119"	""	"3"	""	"197"	""	"260"	""	"6"	""	"34"	""	"11"	""	"2"	""	"2"	""	"0"	""	"3"	""	"3"	""	"2"	""	"13"	""	"6"	""	"8"	""	"7"	""	"8"	""	"1"	""	"566"	""	""
"165"	"120"	""	"4"	""	"125"	""	"222"	""	"7"	""	"16"	""	"63"	""	"3"	""	"11"	""	"1"	""	"1"	""	"3"	""	"2"	""	"5"	""	"8"	""	"4"	""	"4"	""	"65"	""	"5"	""	"549"	""	""
"166"	"121"	""	"5"	""	"125"	""	"119"	""	"6"	""	"3"	""	"1"	""	"0"	""	"3"	""	"1"	""	"2"	""	"1"	""	"1"	""	"1"	""	"3"	""	"2"	""	"3"	""	"15"	""	"3"	""	"294"	""	""
"167"	"122"	""	"0"	""	"41"	""	"416"	""	"2"	""	"19"	""	"37"	""	"1"	""	"6"	""	"1"	""	"0"	""	"1"	""	"1"	""	"1"	""	"4"	""	"0"	""	"2"	""	"7"	""	"1"	""	"540"	""	""
"168"	"9"	""	"88"	""	"2108"	""	"3101"	""	"146"	""	"252"	""	"143"	""	"30"	""	"62"	""	"14"	""	"18"	""	"29"	""	"21"	""	"75"	""	"71"	""	"158"	""	"88"	""	"277"	""	"66"	""	"6747"	""	""
"169"	"123"	""	"12"	""	"100"	""	"163"	""	"19"	""	"10"	""	"19"	""	"10"	""	"2"	""	"2"	""	"3"	""	"3"	""	"1"	""	"4"	""	"7"	""	"7"	""	"9"	""	"7"	""	"1"	""	""	""	""
"170"	"124"	""	"15"	""	"216"	""	"178"	""	"5"	""	"6"	""	"2"	""	"1"	""	"1"	""	"0"	""	"2"	""	"0"	""	"1"	""	"1"	""	"5"	""	"5"	""	"6"	""	"6"	""	"6"	""	""	""	""
"171"	"125"	""	"27"	""	"93"	""	"87"	""	"6"	""	"5"	""	"5"	""	"6"	""	"1"	""	"1"	""	"5"	""	"56"	""	"5"	""	"7"	""	"3"	""	"10"	""	"5"	""	"5"	""	"8"	""	""	""	""
"172"	"126"	""	"12"	""	"67"	""	"219"	""	"5"	""	"10"	""	"4"	""	"4"	""	"4"	""	"1"	""	"1"	""	"1"	""	"1"	""	"7"	""	"6"	""	"6"	""	"7"	""	"8"	""	"1"	""	""	""	""
"173"	"126"	"A"	"9"	""	"42"	""	"179"	""	"2"	""	"4"	""	"0"	""	"3"	""	"0"	""	"0"	""	"1"	""	"5"	""	"1"	""	"8"	""	"11"	""	"2"	""	"5"	""	"6"	""	"6"	""	""	""	""
"174"	"127"	""	"3"	""	"99"	""	"106"	""	"1"	""	"8"	""	"1"	""	"3"	""	"2"	""	"0"	""	"1"	""	"1"	""	"1"	""	"5"	""	"10"	""	"6"	""	"11"	""	"21"	""	"1"	""	""	""	""
"175"	"128"	""	"8"	""	"108"	""	"48"	""	"6"	""	"6"	""	"2"	""	"4"	""	"2"	""	"0"	""	"2"	""	"1"	""	"0"	""	"0"	""	"5"	""	"4"	""	"1"	""	"10"	""	"9"	""	""	""	""
"176"	"379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"456"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"335"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"364"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"129"	""	"6"	""	"146"	""	"298"	""	"3"	""	"7"	""	"1"	""	"2"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"2"	""	"1"	""	"2"	""	"1"	""	"1"	""	"1"	""	""	""	""
"184"	"129"	"A"	"6"	""	"105"	""	"210"	""	"2"	""	"7"	""	"3"	""	"0"	""	"1"	""	"0"	""	"0"	""	"4"	""	"1"	""	"7"	""	"4"	""	"4"	""	"5"	""	"7"	""	"3"	""	""	""	""
"185"	"130"	""	"8"	""	"126"	""	"476"	""	"11"	""	"39"	""	"11"	""	"4"	""	"4"	""	"0"	""	"1"	""	"6"	""	"1"	""	"9"	""	"8"	""	"10"	""	"7"	""	"3"	""	"4"	""	""	""	""
"186"	"131"	""	"3"	""	"47"	""	"434"	""	"4"	""	"16"	""	"4"	""	"4"	""	"2"	""	"0"	""	"1"	""	"1"	""	"1"	""	"10"	""	"9"	""	"3"	""	"7"	""	"3"	""	"8"	""	""	""	""
"187"	"132"	""	"0"	""	"78"	""	"249"	""	"6"	""	"8"	""	"2"	""	"3"	""	"0"	""	"0"	""	"1"	""	"1"	""	"1"	""	"2"	""	"2"	""	"10"	""	"1"	""	"1"	""	"8"	""	""	""	""
"188"	"132"	"A"	"5"	""	"161"	""	"194"	""	"19"	""	"19"	""	"1"	""	"4"	""	"0"	""	"2"	""	"0"	""	"1"	""	"0"	""	"4"	""	"3"	""	"5"	""	"2"	""	"5"	""	"3"	""	""	""	""
"189"	"133"	""	"7"	""	"58"	""	"167"	""	"23"	""	"24"	""	"4"	""	"3"	""	"2"	""	"0"	""	"1"	""	"7"	""	"3"	""	"6"	""	"5"	""	"14"	""	"8"	""	"5"	""	"3"	""	""	""	""
"190"	"10"	""	"121"	""	"1446"	""	"3008"	""	"112"	""	"169"	""	"59"	""	"51"	""	"21"	""	"6"	""	"20"	""	"88"	""	"17"	""	"72"	""	"79"	""	"88"	""	"75"	""	"88"	""	"62"	""	"5582"	""	""
"191"	"134"	""	"12"	""	"165"	""	"148"	""	"6"	""	"6"	""	"2"	""	"3"	""	"0"	""	"0"	""	"1"	""	"2"	""	"0"	""	"4"	""	"3"	""	"4"	""	"3"	""	"1"	""	"1"	""	"361"	""	""
"192"	"134"	"A"	"7"	""	"152"	""	"127"	""	"5"	""	"3"	""	"10"	""	"4"	""	"2"	""	"0"	""	"1"	""	"1"	""	"3"	""	"2"	""	"3"	""	"5"	""	"5"	""	"8"	""	"8"	""	"346"	""	""
"193"	"135"	""	"4"	""	"135"	""	"321"	""	"15"	""	"8"	""	"9"	""	"8"	""	"0"	""	"2"	""	"2"	""	"5"	""	"0"	""	"13"	""	"9"	""	"1"	""	"3"	""	"5"	""	"3"	""	"543"	""	""
"194"	"136"	""	"13"	""	"195"	""	"216"	""	"5"	""	"14"	""	"6"	""	"7"	""	"3"	""	"2"	""	"4"	""	"6"	""	"7"	""	"16"	""	"22"	""	"12"	""	"22"	""	"10"	""	"9"	""	"569"	""	""
"195"	"137"	""	"18"	""	"166"	""	"219"	""	"10"	""	"5"	""	"6"	""	"4"	""	"2"	""	"2"	""	"5"	""	"1"	""	"1"	""	"10"	""	"7"	""	"7"	""	"9"	""	"13"	""	"15"	""	"500"	""	""
"196"	"138"	""	"18"	""	"269"	""	"78"	""	"3"	""	"28"	""	"32"	""	"5"	""	"3"	""	"1"	""	"4"	""	"7"	""	"0"	""	"2"	""	"2"	""	"4"	""	"3"	""	"5"	""	"3"	""	"467"	""	""
"197"	"139"	""	"5"	""	"33"	""	"252"	""	"3"	""	"9"	""	"5"	""	"4"	""	"6"	""	"1"	""	"2"	""	"4"	""	"0"	""	"10"	""	"3"	""	"1"	""	"4"	""	"1"	""	"2"	""	"345"	""	""
"198"	"140"	""	"5"	""	"103"	""	"265"	""	"20"	""	"15"	""	"5"	""	"4"	""	"2"	""	"1"	""	"2"	""	"2"	""	"1"	""	"7"	""	"11"	""	"9"	""	"4"	""	"3"	""	"3"	""	"462"	""	""
"199"	"141"	""	"6"	""	"64"	""	"228"	""	"4"	""	"10"	""	"1"	""	"2"	""	"0"	""	"0"	""	"1"	""	"4"	""	"2"	""	"4"	""	"11"	""	"3"	""	"12"	""	"2"	""	"0"	""	"354"	""	""
"200"	"142"	""	"11"	""	"98"	""	"169"	""	"10"	""	"61"	""	"4"	""	"7"	""	"2"	""	"0"	""	"8"	""	"5"	""	"2"	""	"4"	""	"4"	""	"0"	""	"4"	""	"2"	""	"1"	""	"392"	""	""
"201"	"143"	""	"4"	""	"68"	""	"240"	""	"4"	""	"6"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"1"	""	"3"	""	"2"	""	"1"	""	"1"	""	"1"	""	"333"	""	""
"202"	"144"	""	"4"	""	"84"	""	"489"	""	"2"	""	"4"	""	"1"	""	"2"	""	"1"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"4"	""	"3"	""	"3"	""	"2"	""	"0"	""	"601"	""	""
"203"	"145"	""	"8"	""	"94"	""	"118"	""	"2"	""	"5"	""	"1"	""	"0"	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"2"	""	"5"	""	"0"	""	"4"	""	"4"	""	"246"	""	""
"204"	"146"	""	"7"	""	"129"	""	"321"	""	"6"	""	"10"	""	"2"	""	"2"	""	"0"	""	"1"	""	"3"	""	"4"	""	"7"	""	"14"	""	"23"	""	"13"	""	"14"	""	"0"	""	"1"	""	"557"	""	""
"205"	"11"	""	"122"	""	"1755"	""	"3191"	""	"95"	""	"184"	""	"84"	""	"52"	""	"23"	""	"10"	""	"34"	""	"44"	""	"23"	""	"88"	""	"107"	""	"69"	""	"87"	""	"57"	""	"51"	""	"6076"	""	""
"206"	"147"	""	"16"	""	"139"	""	"326"	""	"3"	""	"5"	""	"2"	""	"4"	""	"0"	""	"1"	""	"2"	""	"1"	""	"2"	""	"5"	""	"4"	""	"2"	""	"3"	""	"1"	""	"8"	""	"524"	""	""
"207"	"148"	""	"1"	""	"46"	""	"125"	""	"2"	""	"10"	""	"0"	""	"2"	""	"0"	""	"2"	""	"0"	""	"0"	""	"2"	""	"6"	""	"4"	""	"0"	""	"2"	""	"0"	""	"2"	""	"204"	""	""
"208"	"149"	""	"8"	""	"113"	""	"104"	""	"5"	""	"31"	""	"1"	""	"2"	""	"1"	""	"2"	""	"2"	""	"1"	""	"3"	""	"3"	""	"5"	""	"1"	""	"5"	""	"6"	""	"5"	""	"298"	""	""
"209"	"150"	""	"1"	""	"12"	""	"127"	""	"12"	""	"10"	""	"0"	""	"2"	""	"1"	""	"1"	""	"3"	""	"2"	""	"2"	""	"7"	""	"9"	""	"1"	""	"8"	""	"3"	""	"5"	""	"206"	""	""
"210"	"151"	""	"16"	""	"149"	""	"166"	""	"14"	""	"32"	""	"1"	""	"5"	""	"3"	""	"0"	""	"3"	""	"2"	""	"3"	""	"3"	""	"2"	""	"0"	""	"3"	""	"10"	""	"2"	""	"414"	""	""
