"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ 163&csygj  fo/kku   l Hkk fuokZpu {ks= esa fo/kku l Hkk l nL;  ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"¼l l anh;   vkSj  fo/kku  l Hkk  nksuksa  fuokZpuksa  d s  fy ,  mi ; ksx  esa  y k; k  t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ 163&csygj  fo/kku l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k 247575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"143"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"144"	""	"fxfj /kkj h
; kno"	"efgi y ky
i afMr"	"e`R; qat ;
d qekj i afMr"	"j kenso
; kno"	"foy {k. k
j fonkl"	"v Vy
fogkj h"	"VquVqu
nkl"	"cspq
; kno"	"Jh/kj
; kno"	"l qj sUnz
i zl kn xqIr k"	"mes' k
; kno"	"eukst
; kno"	"e`xsUnz
d qekj fl ag"	"j kt
fd ' kksj
i zl kn  mQZ i Ii q  ; kno"	""	""	""	""
"145"	"124"	"132"	"49"	"5"	"72"	"9"	"2"	"4"	"31"	"6"	"38"	"4"	"47"	"7"	"2"	"408"	"0"	"408"	"0"
"146"	"125"	"241"	"12"	"11"	"213"	"64"	"3"	"1"	"30"	"1"	"53"	"7"	"108"	"6"	"12"	"762"	"0"	"762"	"0"
"147"	"126"	"25"	"10"	"14"	"460"	"4"	"1"	"7"	"28"	"4"	"18"	"3"	"132"	"11"	"6"	"723"	"0"	"723"	"0"
"148"	"127"	"28"	"8"	"7"	"136"	"21"	"7"	"5"	"23"	"3"	"15"	"4"	"163"	"3"	"7"	"430"	"0"	"430"	"0"
"149"	"128"	"99"	"18"	"6"	"100"	"4"	"4"	"3"	"19"	"3"	"44"	"6"	"207"	"11"	"4"	"528"	"0"	"528"	"0"
"150"	"129"	"251"	"16"	"12"	"37"	"12"	"4"	"6"	"33"	"7"	"73"	"16"	"64"	"10"	"32"	"573"	"0"	"573"	"0"
"151"	"130"	"314"	"15"	"6"	"52"	"7"	"11"	"6"	"37"	"8"	"83"	"16"	"67"	"16"	"21"	"659"	"0"	"659"	"0"
"152"	"131"	"50"	"6"	"3"	"9"	"6"	"3"	"11"	"29"	"7"	"39"	"10"	"179"	"12"	"19"	"383"	"0"	"383"	"0"
"153"	"132"	"55"	"20"	"9"	"60"	"9"	"21"	"19"	"38"	"9"	"50"	"16"	"201"	"6"	"5"	"518"	"0"	"518"	"0"
"154"	"133"	"69"	"15"	"5"	"236"	"8"	"10"	"5"	"14"	"3"	"17"	"4"	"95"	"4"	"3"	"488"	"0"	"488"	"0"
"155"	"134"	"90"	"12"	"6"	"60"	"5"	"7"	"11"	"44"	"10"	"68"	"10"	"227"	"9"	"10"	"569"	"0"	"569"	"0"
"156"	"135"	"30"	"39"	"3"	"10"	"0"	"2"	"1"	"11"	"2"	"10"	"5"	"228"	"5"	"13"	"359"	"0"	"359"	"0"
"157"	"136"	"44"	"4"	"0"	"45"	"0"	"5"	"6"	"1"	"1"	"7"	"3"	"198"	"3"	"4"	"321"	"0"	"321"	"0"
"158"	"137"	"99"	"28"	"3"	"59"	"12"	"3"	"1"	"11"	"0"	"21"	"3"	"140"	"15"	"38"	"433"	"0"	"433"	"0"
"159"	"138"	"49"	"26"	"18"	"219"	"5"	"2"	"7"	"19"	"3"	"22"	"4"	"31"	"6"	"14"	"425"	"0"	"425"	"0"
"160"	"139"	"29"	"4"	"1"	"21"	"3"	"4"	"4"	"18"	"2"	"13"	"2"	"128"	"6"	"7"	"242"	"0"	"242"	"0"
"161"	"140"	"138"	"8"	"6"	"62"	"53"	"9"	"4"	"38"	"5"	"53"	"10"	"46"	"8"	"13"	"453"	"0"	"453"	"0"
"162"	"141"	"130"	"17"	"7"	"126"	"8"	"7"	"5"	"42"	"10"	"53"	"16"	"237"	"16"	"39"	"713"	"0"	"713"	"0"
"163"	"142"	"65"	"15"	"14"	"143"	"94"	"3"	"4"	"42"	"11"	"50"	"12"	"68"	"15"	"19"	"555"	"0"	"555"	"0"
"164"	"143"	"53"	"2"	"1"	"13"	"137"	"2"	"1"	"29"	"4"	"10"	"1"	"47"	"1"	"4"	"305"	"0"	"305"	"0"
"165"	"144"	"53"	"7"	"5"	"91"	"6"	"7"	"3"	"36"	"2"	"11"	"4"	"167"	"6"	"12"	"410"	"0"	"410"	"0"
"166"	"145"	"62"	"7"	"6"	"51"	"23"	"4"	"5"	"17"	"2"	"67"	"12"	"55"	"9"	"21"	"341"	"0"	"341"	"0"
"167"	"146"	"107"	"15"	"12"	"106"	"7"	"4"	"3"	"21"	"1"	"23"	"5"	"92"	"6"	"9"	"411"	"0"	"411"	"0"
"168"	"147"	"126"	"33"	"4"	"294"	"2"	"1"	"1"	"20"	"2"	"33"	"3"	"17"	"6"	"19"	"561"	"0"	"561"	"0"
"169"	"148"	"334"	"23"	"0"	"31"	"10"	"4"	"2"	"29"	"9"	"59"	"2"	"28"	"4"	"22"	"557"	"0"	"557"	"0"
"170"	"149"	"138"	"23"	"4"	"94"	"12"	"2"	"2"	"30"	"3"	"43"	"7"	"31"	"17"	"11"	"417"	"0"	"417"	"0"
"171"	"150"	"90"	"6"	"5"	"106"	"11"	"0"	"0"	"23"	"0"	"22"	"6"	"19"	"11"	"10"	"309"	"0"	"309"	"0"
"172"	"151"	"42"	"13"	"7"	"335"	"92"	"23"	"0"	"13"	"3"	"21"	"14"	"25"	"12"	"34"	"634"	"0"	"634"	"0"
"173"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"174"	""	"fxfj /kkj h
; kno"	"efgi y ky
i afMr"	"e`R; qat ;
d qekj i afMr"	"j kenso
; kno"	"foy {k. k
j fonkl"	"v Vy
fogkj h"	"VquVqu
nkl"	"cspq
; kno"	"Jh/kj
; kno"	"l qj sUnz
i zl kn xqIr k"	"mes' k
; kno"	"eukst
; kno"	"e`xsUnz
d qekj fl ag"	"j kt
fd ' kksj
i zl kn  mQZ i Ii q  ; kno"	""	""	""	""
"175"	"152"	"134"	"22"	"6"	"57"	"80"	"6"	"4"	"18"	"2"	"35"	"2"	"9"	"2"	"2"	"379"	"0"	"379"	"0"
"176"	"153"	"49"	"20"	"4"	"156"	"4"	"17"	"3"	"0"	"1"	"8"	"4"	"55"	"5"	"12"	"338"	"0"	"338"	"0"
"177"	"154"	"63"	"4"	"3"	"185"	"4"	"30"	"2"	"16"	"0"	"60"	"7"	"42"	"7"	"19"	"442"	"0"	"442"	"0"
"178"	"155"	"163"	"23"	"15"	"159"	"17"	"6"	"5"	"33"	"3"	"31"	"8"	"63"	"17"	"8"	"551"	"0"	"551"	"0"
"179"	"156"	"94"	"155"	"44"	"99"	"4"	"5"	"7"	"14"	"2"	"14"	"10"	"15"	"7"	"14"	"484"	"0"	"484"	"0"
"180"	"157"	"93"	"17"	"14"	"19"	"92"	"4"	"2"	"7"	"3"	"18"	"3"	"3"	"1"	"0"	"276"	"0"	"276"	"0"
"181"	"158"	"162"	"68"	"20"	"17"	"101"	"10"	"5"	"48"	"6"	"55"	"9"	"54"	"8"	"12"	"575"	"0"	"575"	"0"
"182"	"159"	"150"	"16"	"1"	"25"	"2"	"2"	"0"	"16"	"1"	"148"	"4"	"16"	"2"	"1"	"384"	"0"	"384"	"0"
"183"	"160"	"309"	"23"	"3"	"17"	"6"	"2"	"2"	"22"	"2"	"53"	"5"	"39"	"3"	"4"	"490"	"0"	"490"	"0"
"184"	"161"	"253"	"16"	"4"	"42"	"30"	"4"	"8"	"59"	"8"	"57"	"9"	"75"	"12"	"11"	"588"	"0"	"588"	"0"
"185"	"162"	"77"	"35"	"9"	"178"	"8"	"2"	"4"	"22"	"2"	"33"	"7"	"12"	"6"	"11"	"406"	"0"	"406"	"0"
"186"	"163"	"63"	"6"	"15"	"29"	"201"	"2"	"9"	"39"	"1"	"21"	"6"	"80"	"8"	"10"	"490"	"0"	"490"	"0"
"187"	"164"	"159"	"4"	"4"	"15"	"64"	"2"	"3"	"32"	"2"	"57"	"5"	"72"	"5"	"26"	"450"	"0"	"450"	"0"
"188"	"165"	"104"	"10"	"12"	"108"	"125"	"4"	"7"	"27"	"4"	"26"	"8"	"14"	"5"	"22"	"476"	"0"	"476"	"0"
"189"	"165A"	"76"	"7"	"1"	"37"	"12"	"2"	"3"	"17"	"3"	"18"	"7"	"8"	"4"	"6"	"201"	"0"	"201"	"0"
"190"	"166"	"199"	"62"	"10"	"16"	"48"	"4"	"7"	"59"	"4"	"76"	"12"	"85"	"11"	"26"	"619"	"0"	"619"	"0"
"191"	"167"	"78"	"4"	"5"	"132"	"7"	"6"	"5"	"36"	"3"	"19"	"6"	"30"	"8"	"12"	"351"	"0"	"351"	"0"
"192"	"168"	"86"	"11"	"14"	"55"	"20"	"5"	"5"	"12"	"5"	"28"	"4"	"23"	"7"	"9"	"284"	"0"	"284"	"0"
"193"	"169"	"231"	"16"	"8"	"110"	"18"	"5"	"9"	"54"	"7"	"27"	"2"	"18"	"2"	"3"	"510"	"0"	"510"	"0"
"194"	"170"	"147"	"15"	"10"	"128"	"3"	"3"	"3"	"24"	"1"	"29"	"4"	"68"	"4"	"13"	"452"	"0"	"452"	"0"
"195"	"171"	"120"	"9"	"5"	"106"	"29"	"1"	"4"	"19"	"2"	"28"	"2"	"73"	"3"	"3"	"404"	"0"	"404"	"0"
"196"	"172"	"45"	"5"	"11"	"161"	"75"	"9"	"6"	"17"	"3"	"3"	"0"	"50"	"2"	"3"	"390"	"0"	"390"	"0"
"197"	"173"	"104"	"23"	"13"	"165"	"12"	"7"	"7"	"25"	"4"	"13"	"1"	"40"	"4"	"18"	"436"	"0"	"436"	"0"
"198"	"174"	"124"	"19"	"20"	"80"	"44"	"6"	"6"	"27"	"7"	"30"	"3"	"75"	"6"	"9"	"456"	"0"	"456"	"0"
"199"	"175"	"117"	"34"	"30"	"274"	"19"	"8"	"8"	"18"	"6"	"27"	"6"	"38"	"6"	"18"	"609"	"0"	"609"	"0"
"200"	"176"	"104"	"8"	"2"	"52"	"9"	"2"	"4"	"42"	"2"	"38"	"4"	"19"	"2"	"23"	"311"	"0"	"311"	"0"
"201"	"176A"	"50"	"11"	"3"	"46"	"2"	"1"	"1"	"19"	"0"	"24"	"3"	"4"	"0"	"2"	"166"	"0"	"166"	"0"
"202"	"177"	"245"	"35"	"2"	"27"	"3"	"2"	"3"	"48"	"0"	"47"	"3"	"4"	"1"	"6"	"426"	"0"	"426"	"0"
"203"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"204"	""	"fxfj /kkj h
; kno"	"efgi y ky
i afMr"	"e`R; qat ;
d qekj i afMr"	"j kenso
; kno"	"foy {k. k
j fonkl"	"v Vy
fogkj h"	"VquVqu
nkl"	"cspq
; kno"	"Jh/kj
; kno"	"l qj sUnz
i zl kn xqIr k"	"mes' k
; kno"	"eukst
; kno"	"e`xsUnz
d qekj fl ag"	"j kt
fd ' kksj
i zl kn  mQZ i Ii q  ; kno"	""	""	""	""
"205"	"178"	"132"	"26"	"11"	"239"	"12"	"10"	"12"	"72"	"1"	"27"	"7"	"9"	"17"	"22"	"597"	"0"	"597"	"0"
"206"	"179"	"49"	"14"	"10"	"70"	"2"	"1"	"1"	"9"	"2"	"10"	"0"	"1"	"1"	"5"	"175"	"0"	"175"	"0"
"207"	"180"	"65"	"11"	"8"	"66"	"4"	"1"	"0"	"26"	"0"	"45"	"6"	"23"	"10"	"18"	"283"	"0"	"283"	"0"
"208"	"181"	"46"	"107"	"16"	"22"	"2"	"0"	"2"	"16"	"3"	"22"	"4"	"33"	"0"	"6"	"279"	"0"	"279"	"0"
"209"	"182"	"16"	"14"	"1"	"66"	"5"	"1"	"2"	"31"	"1"	"3"	"4"	"6"	"1"	"6"	"157"	"0"	"157"	"0"
"210"	"183"	"32"	"98"	"212"	"32"	"3"	"0"	"4"	"22"	"6"	"19"	"3"	"6"	"10"	"9"	"456"	"0"	"456"	"0"
"211"	"184"	"113"	"60"	"28"	"174"	"18"	"10"	"5"	"51"	"9"	"41"	"8"	"11"	"12"	"16"	"556"	"0"	"556"	"0"
"212"	"185"	"174"	"23"	"11"	"118"	"48"	"4"	"9"	"65"	"8"	"27"	"3"	"12"	"7"	"23"	"532"	"0"	"532"	"0"
"213"	"186"	"133"	"20"	"8"	"70"	"25"	"7"	"7"	"36"	"3"	"60"	"9"	"15"	"4"	"15"	"412"	"0"	"412"	"0"
"214"	"187"	"93"	"6"	"10"	"141"	"5"	"2"	"4"	"21"	"1"	"24"	"5"	"16"	"8"	"15"	"351"	"0"	"351"	"0"
"215"	"188"	"125"	"31"	"12"	"143"	"8"	"5"	"3"	"26"	"6"	"32"	"9"	"11"	"7"	"54"	"472"	"0"	"472"	"0"
"216"	"189"	"301"	"21"	"8"	"136"	"18"	"5"	"8"	"66"	"2"	"39"	"5"	"24"	"10"	"13"	"656"	"0"	"656"	"0"
"217"	"190"	"203"	"28"	"10"	"196"	"33"	"9"	"8"	"61"	"6"	"35"	"10"	"39"	"9"	"33"	"680"	"0"	"680"	"0"
"218"	"191"	"129"	"25"	"26"	"210"	"19"	"4"	"3"	"23"	"4"	"15"	"11"	"81"	"10"	"19"	"579"	"0"	"579"	"0"
"219"	"192"	"75"	"16"	"7"	"65"	"4"	"5"	"5"	"27"	"6"	"76"	"2"	"20"	"5"	"15"	"328"	"0"	"328"	"0"
"220"	"193"	"47"	"13"	"9"	"145"	"19"	"3"	"8"	"63"	"12"	"103"	"5"	"25"	"10"	"63"	"525"	"0"	"525"	"0"
"221"	"194"	"94"	"11"	"5"	"81"	"1"	"1"	"0"	"39"	"0"	"12"	"1"	"29"	"3"	"6"	"283"	"0"	"283"	"0"
"222"	"195"	"96"	"15"	"3"	"126"	"6"	"1"	"1"	"23"	"1"	"30"	"5"	"36"	"1"	"16"	"360"	"0"	"360"	"0"
"223"	"196"	"131"	"6"	"1"	"43"	"12"	"5"	"3"	"19"	"1"	"33"	"4"	"11"	"1"	"22"	"292"	"0"	"292"	"0"
"224"	"197"	"154"	"9"	"2"	"19"	"3"	"2"	"1"	"24"	"0"	"35"	"0"	"38"	"1"	"3"	"291"	"0"	"291"	"0"
"225"	"198"	"220"	"19"	"10"	"46"	"87"	"6"	"4"	"71"	"5"	"39"	"9"	"78"	"11"	"27"	"632"	"0"	"632"	"0"
"226"	"199"	"109"	"16"	"10"	"170"	"7"	"2"	"9"	"19"	"2"	"21"	"4"	"44"	"10"	"15"	"438"	"0"	"438"	"0"
"227"	"200"	"173"	"20"	"10"	"136"	"40"	"10"	"13"	"56"	"9"	"63"	"14"	"13"	"9"	"26"	"592"	"0"	"592"	"0"
"228"	"201"	"101"	"17"	"6"	"151"	"13"	"2"	"6"	"37"	"4"	"27"	"3"	"41"	"7"	"11"	"426"	"0"	"426"	"0"
"229"	"202"	"136"	"59"	"9"	"62"	"28"	"3"	"4"	"54"	"5"	"33"	"3"	"23"	"10"	"16"	"445"	"0"	"445"	"0"
"230"	"203"	"45"	"17"	"4"	"118"	"16"	"4"	"3"	"10"	"1"	"5"	"4"	"1"	"1"	"3"	"232"	"0"	"232"	"0"
"231"	"204"	"35"	"8"	"4"	"84"	"42"	"2"	"1"	"21"	"3"	"5"	"3"	"14"	"4"	"6"	"232"	"0"	"232"	"0"
"232"	"205"	"38"	"13"	"10"	"85"	"24"	"5"	"1"	"32"	"5"	"20"	"7"	"12"	"7"	"4"	"263"	"0"	"263"	"0"
"233"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"234"	""	"fxfj /kkj h
; kno"	"efgi y ky
i afMr"	"e`R; qat ;
d qekj i afMr"	"j kenso
; kno"	"foy {k. k
j fonkl"	"v Vy
fogkj h"	"VquVqu
nkl"	"cspq
; kno"	"Jh/kj
; kno"	"l qj sUnz
i zl kn xqIr k"	"mes' k
; kno"	"eukst
; kno"	"e`xsUnz
d qekj fl ag"	"j kt
fd ' kksj
i zl kn  mQZ i Ii q  ; kno"	""	""	""	""
"235"	"206"	"50"	"16"	"10"	"145"	"38"	"3"	"8"	"58"	"7"	"27"	"5"	"10"	"4"	"15"	"396"	"0"	"396"	"0"
"236"	"207"	"121"	"17"	"13"	"190"	"10"	"7"	"6"	"61"	"0"	"19"	"7"	"14"	"8"	"12"	"485"	"0"	"485"	"0"
"237"	"208"	"77"	"19"	"8"	"80"	"58"	"6"	"1"	"102"	"4"	"25"	"4"	"13"	"5"	"12"	"414"	"0"	"414"	"0"
"238"	"209"	"60"	"4"	"3"	"12"	"4"	"5"	"3"	"312"	"6"	"24"	"2"	"1"	"11"	"7"	"454"	"0"	"454"	"0"
"239"	"210"	"75"	"7"	"13"	"102"	"32"	"12"	"10"	"279"	"13"	"25"	"13"	"12"	"25"	"38"	"656"	"0"	"656"	"0"
"240"	"211"	"148"	"12"	"3"	"33"	"11"	"6"	"6"	"76"	"3"	"57"	"8"	"4"	"4"	"9"	"380"	"0"	"380"	"0"
"241"	"212"	"62"	"4"	"3"	"5"	"62"	"0"	"5"	"73"	"3"	"33"	"4"	"7"	"9"	"9"	"279"	"0"	"279"	"0"
"242"	"213"	"132"	"20"	"9"	"32"	"39"	"7"	"11"	"97"	"9"	"93"	"7"	"19"	"18"	"39"	"532"	"0"	"532"	"0"
"243"	"214"	"107"	"7"	"3"	"117"	"4"	"2"	"1"	"4"	"2"	"7"	"6"	"10"	"4"	"18"	"292"	"0"	"292"	"0"
"244"	"215"	"124"	"12"	"7"	"134"	"8"	"6"	"1"	"35"	"4"	"37"	"1"	"8"	"7"	"9"	"393"	"0"	"393"	"0"
"245"	"216"	"96"	"23"	"23"	"115"	"15"	"2"	"7"	"21"	"7"	"28"	"11"	"7"	"10"	"27"	"392"	"0"	"392"	"0"
"246"	"217"	"134"	"22"	"12"	"160"	"13"	"8"	"7"	"64"	"7"	"40"	"7"	"27"	"11"	"11"	"523"	"0"	"523"	"0"
"247"	"218"	"142"	"9"	"0"	"23"	"6"	"1"	"1"	"53"	"5"	"45"	"3"	"9"	"7"	"17"	"321"	"0"	"321"	"0"
"248"	"219"	"139"	"48"	"15"	"99"	"34"	"16"	"8"	"60"	"10"	"71"	"8"	"12"	"7"	"21"	"548"	"0"	"548"	"0"
"249"	"220"	"194"	"23"	"4"	"40"	"5"	"4"	"1"	"65"	"2"	"66"	"10"	"7"	"8"	"21"	"450"	"0"	"450"	"0"
"250"	"221"	"140"	"13"	"4"	"52"	"11"	"2"	"1"	"35"	"3"	"50"	"3"	"12"	"3"	"5"	"334"	"0"	"334"	"0"
"251"	"222"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"11"	"0"	"11"	"0"
"252"	"223"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"7"	"0"	"9"	"0"	"1"	"0"	"0"	"21"	"0"	"21"	"0"
"253"	"224"	"6"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"3"	"0"	"0"	"19"	"0"	"19"	"0"
"254"	"225"	"102"	"8"	"3"	"79"	"7"	"0"	"5"	"35"	"1"	"13"	"4"	"36"	"15"	"10"	"318"	"0"	"318"	"0"
"255"	"226"	"60"	"9"	"9"	"33"	"66"	"7"	"5"	"202"	"12"	"27"	"6"	"5"	"13"	"14"	"468"	"0"	"468"	"0"
"256"	"226A"	"10"	"1"	"1"	"18"	"3"	"0"	"1"	"48"	"0"	"3"	"0"	"0"	"0"	"0"	"85"	"0"	"85"	"0"
"257"	"227"	"60"	"6"	"17"	"184"	"20"	"2"	"6"	"23"	"7"	"27"	"8"	"19"	"7"	"29"	"415"	"0"	"415"	"0"
"258"	"228"	"69"	"8"	"2"	"0"	"3"	"2"	"3"	"30"	"1"	"17"	"0"	"26"	"1"	"4"	"166"	"0"	"166"	"0"
"259"	"229"	"17"	"3"	"4"	"128"	"2"	"0"	"1"	"1"	"0"	"2"	"0"	"1"	"1"	"3"	"163"	"0"	"163"	"0"
"260"	"230"	"156"	"25"	"18"	"88"	"8"	"6"	"0"	"26"	"2"	"12"	"1"	"1"	"4"	"5"	"352"	"0"	"352"	"0"
"261"	"231"	"48"	"9"	"18"	"75"	"90"	"7"	"8"	"19"	"4"	"51"	"4"	"10"	"6"	"28"	"377"	"0"	"377"	"0"
"262"	"232"	"131"	"16"	"12"	"112"	"6"	"5"	"3"	"37"	"0"	"18"	"1"	"3"	"7"	"15"	"366"	"0"	"366"	"0"
"263"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"264"	""	"fxfj /kkj h
; kno"	"efgi y ky
i afMr"	"e`R; qat ;
d qekj i afMr"	"j kenso
; kno"	"foy {k. k
j fonkl"	"v Vy
fogkj h"	"VquVqu
nkl"	"cspq
; kno"	"Jh/kj
; kno"	"l qj sUnz
i zl kn xqIr k"	"mes' k
; kno"	"eukst
; kno"	"e`xsUnz
d qekj fl ag"	"j kt
fd ' kksj
i zl kn  mQZ i Ii q  ; kno"	""	""	""	""
"265"	"233"	"110"	"12"	"4"	"68"	"10"	"8"	"3"	"38"	"1"	"35"	"9"	"5"	"2"	"21"	"326"	"0"	"326"	"0"
"266"	"234"	"172"	"21"	"8"	"148"	"10"	"9"	"11"	"50"	"7"	"59"	"8"	"12"	"12"	"24"	"551"	"0"	"551"	"0"
"267"	"235"	"203"	"12"	"2"	"70"	"5"	"8"	"8"	"33"	"4"	"53"	"9"	"11"	"10"	"43"	"471"	"0"	"471"	"0"
"268"	"236"	"84"	"15"	"5"	"35"	"1"	"0"	"4"	"34"	"1"	"45"	"3"	"6"	"8"	"15"	"256"	"0"	"256"	"0"
"269"	"237"	"146"	"18"	"133"	"40"	"10"	"4"	"7"	"17"	"1"	"45"	"4"	"10"	"7"	"11"	"453"	"0"	"453"	"0"
"270"	"238"	"268"	"10"	"9"	"20"	"4"	"5"	"3"	"17"	"2"	"35"	"5"	"2"	"1"	"9"	"390"	"0"	"390"	"0"
"271"	"239"	"109"	"6"	"6"	"17"	"3"	"1"	"0"	"13"	"9"	"24"	"12"	"7"	"5"	"28"	"240"	"0"	"240"	"0"
"272"	"240"	"144"	"32"	"7"	"154"	"10"	"1"	"5"	"14"	"0"	"46"	"6"	"10"	"5"	"31"	"465"	"0"	"465"	"0"
"273"	"241"	"234"	"30"	"60"	"68"	"25"	"9"	"6"	"37"	"7"	"41"	"8"	"16"	"9"	"33"	"583"	"0"	"583"	"0"
"274"	"242"	"273"	"15"	"10"	"28"	"5"	"2"	"2"	"11"	"1"	"15"	"4"	"8"	"0"	"9"	"383"	"0"	"383"	"0"
"275"	"243"	"126"	"23"	"13"	"64"	"74"	"11"	"6"	"51"	"1"	"61"	"5"	"9"	"7"	"11"	"462"	"0"	"462"	"0"
"276"	"244"	"127"	"36"	"13"	"24"	"16"	"5"	"8"	"46"	"3"	"31"	"3"	"7"	"4"	"30"	"353"	"0"	"353"	"0"
"277"	"245"	"81"	"15"	"7"	"154"	"11"	"5"	"6"	"29"	"4"	"33"	"9"	"8"	"1"	"37"	"400"	"0"	"400"	"0"
"278"	"246"	"71"	"5"	"3"	"34"	"3"	"3"	"1"	"19"	"3"	"102"	"6"	"6"	"1"	"11"	"268"	"0"	"268"	"0"
"279"	"247"	"266"	"129"	"3"	"41"	"8"	"3"	"3"	"44"	"5"	"87"	"8"	"19"	"6"	"9"	"631"	"0"	"631"	"0"
"280"	"248"	"147"	"132"	"16"	"78"	"5"	"4"	"3"	"49"	"6"	"75"	"10"	"49"	"9"	"23"	"606"	"0"	"606"	"0"
"281"	"249"	"159"	"167"	"5"	"26"	"14"	"5"	"8"	"49"	"4"	"104"	"5"	"46"	"9"	"11"	"612"	"0"	"612"	"0"
"282"	"250"	"71"	"59"	"3"	"26"	"4"	"1"	"6"	"38"	"1"	"82"	"4"	"21"	"23"	"14"	"353"	"0"	"353"	"0"
"283"	"251"	"79"	"53"	"4"	"23"	"1"	"1"	"3"	"21"	"0"	"15"	"1"	"38"	"1"	"1"	"241"	"0"	"241"	"0"
"284"	"252"	"151"	"9"	"8"	"38"	"3"	"1"	"3"	"14"	"1"	"20"	"1"	"9"	"1"	"5"	"264"	"0"	"264"	"0"
"285"	"253"	"141"	"34"	"7"	"74"	"17"	"4"	"0"	"18"	"1"	"39"	"2"	"15"	"3"	"10"	"365"	"0"	"365"	"0"
"286"	"254"	"175"	"13"	"17"	"46"	"43"	"5"	"7"	"84"	"4"	"135"	"2"	"16"	"8"	"9"	"564"	"0"	"564"	"0"
"287"	"255"	"93"	"40"	"7"	"134"	"17"	"6"	"7"	"70"	"6"	"29"	"8"	"16"	"11"	"25"	"469"	"0"	"469"	"0"
"288"	"256"	"107"	"8"	"4"	"64"	"7"	"4"	"1"	"15"	"3"	"83"	"3"	"4"	"5"	"3"	"311"	"0"	"311"	"0"
